actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
56,PT06M37.00S,2021-11-27T03:18:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,84.57621550591328,53.92156862745098,1610612744,16,12,2021-11-27T03:18:09Z,560000,20.0,92.0,1,right,MISS A. Wiggins 9' turnaround Shot,[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,9.46,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M35.00S,2021-11-27T03:18:08.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,16,12,2021-11-27T03:18:42Z,570000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,
58,PT06M27.00S,2021-11-27T03:18:18.5Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612757,16,12,2021-11-27T03:18:23Z,580000,,,0,,K. Looney shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1626172, 203994]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,1201.0,,,,,,,,,,,,,1.0,0.0,Nurkic,203994.0,
60,PT06M27.00S,2021-11-27T03:18:26.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,16,12,2021-11-27T03:18:26Z,600000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M27.00S,2021-11-27T03:21:26.6Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,16,12,2021-11-27T03:21:26Z,610000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M27.00S,2021-11-27T03:21:26.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,16,12,2021-11-27T03:21:26Z,620000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,
63,PT06M27.00S,2021-11-27T03:21:43.5Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,16,13,2021-11-27T03:21:43Z,630000,,,0,,J. Nurkic Free Throw 2 of 2 (5 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
64,PT06M07.00S,2021-11-27T03:22:07.2Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612744,16,13,2021-11-27T03:22:10Z,640000,,,0,,A. Wiggins lost ball out-of-bounds TURNOVER (1 TO),[203952],1610612744.0,GSW,lost ball,,,Wiggins,A. Wiggins,,,,,,,,1201.0,1.0,,,,,,,,,,,,,,,,
68,PT05M53.00S,2021-11-27T03:22:28.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203468,23.078186596583443,47.794117647058826,1610612757,16,13,2021-11-27T03:22:31Z,650000,11.0,164.0,1,left,MISS C. McCollum 16' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,16.48,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M51.00S,2021-11-27T03:22:30.2Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,16,13,2021-11-27T03:32:21Z,660000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,68.0,1.0,0.0,1.0,,,,,,,
70,PT05M47.00S,2021-11-27T03:22:34.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203496,32.802233902759525,44.6078431372549,1610612757,16,13,2021-11-27T03:22:35Z,670000,27.0,256.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M44.00S,2021-11-27T03:22:36.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,16,13,2021-11-27T03:22:36Z,680000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,
72,PT05M37.00S,2021-11-27T03:22:45.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,16,13,2021-11-27T03:22:45Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,16,13,2021-11-27T03:22:54Z,710000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,in,[],203490,,,1610612744,16,13,2021-11-27T03:22:54Z,720000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,16,13,2021-11-27T03:22:54Z,730000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,out,[],203468,,,1610612744,16,13,2021-11-27T03:23:01Z,740000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,in,[],1629014,,,1610612744,16,13,2021-11-27T03:23:01Z,750000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M37.00S,2021-11-27T03:22:47.9Z,1,REGULAR,substitution,out,[],201939,,,1610612744,16,13,2021-11-27T03:23:08Z,760000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M32.00S,2021-11-27T03:23:15.9Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,16,13,2021-11-27T03:23:17Z,770000,,,0,,D. Green bad pass out-of-bounds TURNOVER (3 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,2534.0,3.0,,,,,,,,,,,,,,,,
