actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
92,PT03M52.00S,2021-11-13T03:35:05.0Z,1,REGULAR,3pt,Jump Shot,[],1630245,90.88370565045992,94.36274509803921,1610612741,14,21,2021-11-13T03:35:07Z,870000,222.0,33.0,1,right,A. Dosunmu 3PT  (3 PTS) (D. Jones Jr. 1 AST),"[1630245, 1627884]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,22.43,Made,3.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,,,,
94,PT03M43.00S,2021-11-13T03:35:16.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,14,21,2021-11-13T03:35:16Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M43.00S,2021-11-13T03:35:19.7Z,1,REGULAR,substitution,out,[],203952,,,1610612744,14,21,2021-11-13T03:35:25Z,900000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M43.00S,2021-11-13T03:35:19.7Z,1,REGULAR,substitution,in,[],2738,,,1610612744,14,21,2021-11-13T03:35:25Z,910000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M26.00S,2021-11-13T03:35:49.4Z,1,REGULAR,3pt,Jump Shot,[],1627780,6.258212877792378,3.9215686274509802,1610612744,14,21,2021-11-13T03:35:51Z,920000,230.0,6.0,1,left,MISS G. Payton II 3PT,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
98,PT03M24.00S,2021-11-13T03:35:52.2Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,14,21,2021-11-13T03:35:52Z,930000,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,
99,PT03M18.00S,2021-11-13T03:35:58.4Z,1,REGULAR,3pt,Jump Shot,[],1630245,91.40932982917214,96.32352941176471,1610612741,14,24,2021-11-13T03:36:01Z,940000,232.0,28.0,1,right,A. Dosunmu 3PT  (6 PTS) (A. Caruso 1 AST),"[1630245, 1627936]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,23.33,Made,6.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,,,
101,PT03M12.00S,2021-11-13T03:36:08.0Z,1,REGULAR,turnover,out-of-bounds,[],1629673,,,1610612744,14,24,2021-11-13T03:36:10Z,960000,,,0,,J. Poole bad pass out-of-bounds TURNOVER (3 TO),[1629673],1610612744.0,GSW,bad pass,,,Poole,J. Poole,,,,,,,,,,,,,,,202037.0,3.0,,,,,,,,,
102,PT03M02.00S,2021-11-13T03:36:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627936,66.3107752956636,37.00980392156863,1610612741,14,24,2021-11-13T03:36:28Z,970000,-65.0,264.0,1,right,MISS A. Caruso 27' pullup 3PT,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,27.21,Missed,,,,,,,,,,,,,,,,,,,
103,PT03M00.00S,2021-11-13T03:36:26.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,14,24,2021-11-13T03:44:27Z,980000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,102.0,2.0,2.0,0.0,,,,,,,,,,,
104,PT02M55.00S,2021-11-13T03:36:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203110,8.492115637319317,53.92156862745098,1610612744,16,24,2021-11-13T03:37:32Z,990000,-20.0,27.0,1,left,D. Green running Layup (2 PTS),[203110],1610612744.0,GSW,running,,,Green,D. Green,,,,,3.36,Made,2.0,,,,,,,,,,,,,,,,,,
105,PT02M43.00S,2021-11-13T03:36:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628993,81.553876478318,49.754901960784316,1610612741,16,24,2021-11-13T03:37:11Z,1000000,-1.0,121.0,1,right,MISS A. Johnson 12' driving floating Shot,[1628993],1610612741.0,CHI,driving floating,,,Johnson,A. Johnson,,,,,12.09,Missed,,,,,,,,,,,,,,,,,,,
106,PT02M41.00S,2021-11-13T03:36:46.2Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,16,24,2021-11-13T03:44:20Z,1010000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,
107,PT02M34.00S,2021-11-13T03:36:53.5Z,1,REGULAR,3pt,Jump Shot,[],202357,33.327858081471746,40.931372549019606,1610612744,19,24,2021-11-13T03:38:31Z,1020000,45.0,261.0,1,left,N. Bjelica 26' 3PT pullup (3 PTS) (A. Iguodala 1 AST),"[202357, 2738]",1610612744.0,GSW,pullup,,,Bjelica,N. Bjelica,,,,,26.47,Made,3.0,A. Iguodala,2738.0,1.0,,,,,,,,,,,,,,,
108,PT02M09.00S,2021-11-13T03:37:21.1Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612741,19,24,2021-11-13T03:37:33Z,1030000,,,0,,D. Green shooting personal FOUL (1 PF) (Johnson 2 FT),"[203110, 1628993]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Johnson,1628993.0,
111,PT02M09.00S,2021-11-13T03:37:47.4Z,1,REGULAR,freethrow,1 of 2,[],1628993,,,1610612741,19,24,2021-11-13T03:37:47Z,1050000,,,0,,MISS A. Johnson Free Throw 1 of 2,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
112,PT02M09.00S,2021-11-13T03:37:47.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,19,24,2021-11-13T03:37:47Z,1060000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,
113,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,out,[],1627780,,,1610612741,19,24,2021-11-13T03:38:03Z,1070000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,out,[],1629673,,,1610612741,19,24,2021-11-13T03:38:03Z,1080000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,out,[],203110,,,1610612741,19,24,2021-11-13T03:38:03Z,1090000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,out,[],203897,,,1610612741,19,24,2021-11-13T03:38:03Z,1100000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,in,[],203490,,,1610612741,19,24,2021-11-13T03:38:03Z,1110000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,in,[],1630228,,,1610612741,19,24,2021-11-13T03:38:03Z,1120000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,in,[],201939,,,1610612741,19,24,2021-11-13T03:38:03Z,1130000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M09.00S,2021-11-13T03:37:48.3Z,1,REGULAR,substitution,in,[],201942,,,1610612741,19,24,2021-11-13T03:38:03Z,1140000,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M09.00S,2021-11-13T03:38:05.1Z,1,REGULAR,freethrow,2 of 2,[],1628993,,,1610612741,19,25,2021-11-13T03:38:05Z,1150000,,,0,,A. Johnson Free Throw 2 of 2 (1 PTS),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
122,PT01M54.00S,2021-11-13T03:38:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2738,9.411957950065702,49.01960784313725,1610612744,21,25,2021-11-13T03:39:54Z,1160000,5.0,36.0,1,left,A. Iguodala cutting Layup (2 PTS) (N. Bjelica 1 AST),"[2738, 202357]",1610612744.0,GSW,cutting,,,Iguodala,A. Iguodala,,,,,3.63,Made,2.0,N. Bjelica,202357.0,1.0,,,,,,,,,,,,,,,
124,PT01M30.00S,2021-11-13T03:38:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1630228,,,1610612741,21,25,2021-11-13T03:38:57Z,1180000,,,0,,J. Kuminga shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1630228, 201942]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,202007.0,,,,,,1.0,0.0,DeRozan,201942.0,
126,PT01M30.00S,2021-11-13T03:39:16.2Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,21,26,2021-11-13T03:39:16Z,1200000,,,0,,D. DeRozan Free Throw 1 of 2 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
127,PT01M30.00S,2021-11-13T03:39:34.2Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,21,27,2021-11-13T03:39:34Z,1210000,,,0,,D. DeRozan Free Throw 2 of 2 (6 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
128,PT01M19.00S,2021-11-13T03:39:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,8.09789750328515,47.30392156862745,1610612744,23,27,2021-11-13T03:39:49Z,1220000,13.0,24.0,1,left,S. Curry driving Layup (7 PTS),[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,2.72,Made,7.0,,,,,,,,,,,,,,,,,,
129,PT01M07.00S,2021-11-13T03:39:59.0Z,1,REGULAR,2pt,Jump Shot,[],201942,80.89684625492772,75.49019607843137,1610612741,23,27,2021-11-13T03:40:02Z,1230000,127.0,127.0,1,right,MISS D. DeRozan 18' step back Shot,[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,18.0,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M05.00S,2021-11-13T03:40:01.0Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612741,23,27,2021-11-13T03:40:14Z,1240000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,129.0,1.0,0.0,1.0,,,,,,,,,,,
131,PT01M02.00S,2021-11-13T03:40:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627884,91.5407358738502,50.73529411764706,1610612741,23,29,2021-11-13T03:40:06Z,1250000,4.0,27.0,1,right,D. Jones Jr. putback Layup (2 PTS),[1627884],1610612741.0,CHI,putback,,,Jones Jr.,D. Jones Jr.,,,,,2.73,Made,2.0,,,,,,,,,,,,,,,,,,
132,PT00M50.20S,2021-11-13T03:40:17.3Z,1,REGULAR,3pt,Jump Shot,[],201939,25.706307490144546,7.107843137254902,1610612744,23,29,2021-11-13T03:40:20Z,1260000,214.0,189.0,1,left,MISS S. Curry 28' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,28.6,Missed,,,,,,,,,,,,,,,,,,,
133,PT00M48.50S,2021-11-13T03:40:19.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,23,29,2021-11-13T03:40:48Z,1270000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,
134,PT00M41.40S,2021-11-13T03:40:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,90.22667542706965,57.107843137254896,1610612741,23,29,2021-11-13T03:40:29Z,1280000,36.0,39.0,1,right,MISS D. DeRozan driving Layup - blocked,"[201942, 2738]",1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,5.3,Missed,,,,,,,,,,,Iguodala,2738.0,,,,,,,
135,PT00M41.40S,2021-11-13T03:40:26.5Z,1,REGULAR,block,,[],2738,,,1610612741,23,29,2021-11-13T03:40:30Z,1290000,,,0,,A. Iguodala BLOCK (1 BLK),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M41.40S,2021-11-13T03:40:31.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,23,29,2021-11-13T03:40:31Z,1300000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,
137,PT00M41.40S,2021-11-13T03:40:32.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,23,29,2021-11-13T03:40:32Z,1310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M26.60S,2021-11-13T03:40:56.7Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,23,29,2021-11-13T03:40:58Z,1320000,,,0,,A. Dosunmu bad pass TURNOVER (2 TO),"[1630245, 203490]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,2.0,,,Porter Jr.,203490.0,,,,,
139,PT00M26.60S,2021-11-13T03:40:56.7Z,1,REGULAR,steal,,[],203490,,,1610612744,23,29,2021-11-13T03:40:59Z,1330000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M26.40S,2021-11-13T03:41:03.1Z,1,REGULAR,foul,personal,[],201942,,,1610612744,23,29,2021-11-13T03:44:28Z,1340000,,,0,,D. DeRozan take personal FOUL (1 PF),"[201942, 203490]",1610612741.0,CHI,take,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,202007.0,,,,,,1.0,0.0,Porter Jr.,203490.0,
142,PT00M26.40S,2021-11-13T03:41:12.8Z,1,REGULAR,substitution,out,[],1630228,,,1610612744,23,29,2021-11-13T03:41:20Z,1360000,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M26.40S,2021-11-13T03:41:12.8Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,23,29,2021-11-13T03:41:20Z,1370000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M07.60S,2021-11-13T03:41:49.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,23,29,2021-11-13T03:41:49Z,1380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M04.10S,2021-11-13T03:42:10.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,34.247700394218136,17.401960784313726,1610612744,23,29,2021-11-13T03:45:12Z,1390000,163.0,269.0,1,left,MISS J. Poole 31' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,31.49,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M01.30S,2021-11-13T03:42:13.0Z,1,REGULAR,rebound,offensive,[],202357,,,1610612744,23,29,2021-11-13T03:45:12Z,1400000,,,0,,N. Bjelica REBOUND (Off:1 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,145.0,2.0,1.0,1.0,,,,,,,,,,,
147,PT00M00.00S,2021-11-13T03:42:32.1Z,1,REGULAR,period,end,[],0,,,1610612744,23,29,2021-11-13T03:42:32Z,1410000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2021-11-13T03:42:21.1Z,1,REGULAR,instantreplay,request,[],0,,,1610612744,23,29,2021-11-13T03:43:28Z,1420000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,End Period - No Basket
149,PT12M00.00S,2021-11-13T03:45:36.3Z,2,REGULAR,substitution,out,['startperiod'],1629673,,,1610612744,23,29,2021-11-13T03:45:49Z,1430000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-11-13T03:45:36.3Z,2,REGULAR,substitution,out,['startperiod'],1630245,,,1610612744,23,29,2021-11-13T03:45:49Z,1440000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-11-13T03:45:36.3Z,2,REGULAR,substitution,in,['startperiod'],1630228,,,1610612744,23,29,2021-11-13T03:45:49Z,1450000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-11-13T03:45:36.3Z,2,REGULAR,substitution,in,['startperiod'],1628366,,,1610612744,23,29,2021-11-13T03:45:49Z,1460000,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-11-13T03:45:50.9Z,2,REGULAR,period,start,[],0,,,1610612744,23,29,2021-11-13T03:45:50Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M48.00S,2021-11-13T03:46:02.9Z,2,REGULAR,3pt,Jump Shot,[],203490,32.933639947437584,45.588235294117645,1610612744,23,29,2021-11-13T03:46:05Z,1480000,22.0,257.0,1,left,MISS O. Porter Jr. 25' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
155,PT11M46.00S,2021-11-13T03:46:04.9Z,2,REGULAR,rebound,defensive,[],1627884,,,1610612741,23,29,2021-11-13T03:46:39Z,1490000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,154.0,2.0,1.0,1.0,,,,,,,,,,,
156,PT11M26.00S,2021-11-13T03:46:23.3Z,2,REGULAR,3pt,Jump Shot,[],1628366,68.15045992115637,26.96078431372549,1610612741,23,29,2021-11-13T03:46:26Z,1500000,-115.0,247.0,1,right,MISS L. Ball 27' step back 3PT,[1628366],1610612741.0,CHI,step back,,,Ball,L. Ball,,,,,27.25,Missed,,,,,,,,,,,,,,,,,,,
157,PT11M24.00S,2021-11-13T03:46:25.3Z,2,REGULAR,rebound,offensive,[],1628993,,,1610612741,23,29,2021-11-13T03:46:35Z,1510000,,,0,,A. Johnson REBOUND (Off:1 Def:1),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,156.0,2.0,1.0,1.0,,,,,,,,,,,
158,PT11M20.00S,2021-11-13T03:46:29.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627884,91.93495400788436,50.49019607843137,1610612741,23,31,2021-11-13T03:46:31Z,1520000,2.0,23.0,1,right,D. Jones Jr. DUNK (4 PTS) (A. Caruso 2 AST),"[1627884, 1627936]",1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,2.34,Made,4.0,A. Caruso,1627936.0,2.0,,,,,,,,,,,,,,,
161,PT11M09.00S,2021-11-13T03:46:41.0Z,2,REGULAR,3pt,Jump Shot,[],203490,20.45006570302234,95.09803921568627,1610612744,23,31,2021-11-13T03:46:44Z,1550000,-225.0,140.0,1,left,MISS O. Porter Jr. 26' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
162,PT11M07.00S,2021-11-13T03:46:43.0Z,2,REGULAR,rebound,defensive,[],1627884,,,1610612741,23,31,2021-11-13T03:47:31Z,1560000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:2),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,161.0,3.0,2.0,1.0,,,,,,,,,,,
163,PT10M55.00S,2021-11-13T03:46:55.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628993,87.59855453350855,47.794117647058826,1610612741,23,31,2021-11-13T03:56:00Z,1570000,-11.0,64.0,1,right,MISS A. Johnson 6' turnaround Hook,[1628993],1610612741.0,CHI,turnaround,,,Johnson,A. Johnson,,,,,6.5,Missed,,,,,,,,,,,,,,,,,,,
164,PT10M53.00S,2021-11-13T03:46:57.3Z,2,REGULAR,rebound,defensive,[],203490,,,1610612744,23,31,2021-11-13T03:47:24Z,1580000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,
165,PT10M48.00S,2021-11-13T03:47:04.8Z,2,REGULAR,foul,personal,[],1627936,,,1610612744,23,31,2021-11-13T03:47:12Z,1590000,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 203490]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Porter Jr.,203490.0,
167,PT10M48.00S,2021-11-13T03:47:56.5Z,2,REGULAR,substitution,out,[],203490,,,1610612744,23,31,2021-11-13T03:48:04Z,1610000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M48.00S,2021-11-13T03:47:56.5Z,2,REGULAR,substitution,in,[],1627780,,,1610612744,23,31,2021-11-13T03:48:04Z,1620000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M44.00S,2021-11-13T03:48:18.9Z,2,REGULAR,3pt,Jump Shot,[],201939,33.459264126149804,44.6078431372549,1610612744,26,31,2021-11-13T03:48:27Z,1630000,27.0,262.0,1,left,S. Curry 26' 3PT  (10 PTS) (A. Iguodala 2 AST),"[201939, 2738]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.34,Made,10.0,A. Iguodala,2738.0,2.0,,,,,,,,,,,,,,,
171,PT10M21.00S,2021-11-13T03:48:39.1Z,2,REGULAR,3pt,Jump Shot,[],201942,94.56307490144546,94.85294117647058,1610612741,26,31,2021-11-13T03:48:41Z,1650000,224.0,-1.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,22.43,Missed,,,,,,,,,,,,,,,,,,,
172,PT10M19.00S,2021-11-13T03:48:41.1Z,2,REGULAR,rebound,defensive,[],1630228,,,1610612744,26,31,2021-11-13T03:50:02Z,1660000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,,
173,PT10M05.00S,2021-11-13T03:48:54.8Z,2,REGULAR,3pt,Jump Shot,[],1630228,8.492115637319317,2.696078431372549,1610612744,26,31,2021-11-13T03:48:57Z,1670000,237.0,27.0,1,left,MISS J. Kuminga 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,23.81,Missed,,,,,,,,,,,,,,,,,,,
174,PT10M02.00S,2021-11-13T03:48:58.9Z,2,REGULAR,rebound,defensive,[],1627936,,,1610612741,26,31,2021-11-13T03:48:58Z,1680000,,,0,,A. Caruso REBOUND (Off:0 Def:2),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,173.0,2.0,2.0,0.0,,,,,,,,,,,
175,PT09M53.00S,2021-11-13T03:49:08.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,93.38042049934296,39.950980392156865,1610612741,26,33,2021-11-13T03:49:11Z,1690000,-50.0,10.0,1,right,A. Caruso driving finger roll Layup (2 PTS) (L. Ball 2 AST),"[1627936, 1628366]",1610612741.0,CHI,driving finger roll,,,Caruso,A. Caruso,,,,,5.11,Made,2.0,L. Ball,1628366.0,2.0,,,,,,,,,,,,,,,
177,PT09M43.00S,2021-11-13T03:49:17.5Z,2,REGULAR,3pt,Jump Shot,[],201939,22.026938239159,10.784313725490197,1610612744,29,33,2021-11-13T03:49:20Z,1710000,196.0,155.0,1,left,S. Curry 24' 3PT pullup (13 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,24.97,Made,13.0,,,,,,,,,,,,,,,,,,
178,PT09M23.00S,2021-11-13T03:49:42.2Z,2,REGULAR,foul,personal,[],201939,,,1610612741,29,33,2021-11-13T03:49:44Z,1720000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 1628366]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,202037.0,,,,,,1.0,0.0,Ball,1628366.0,
180,PT09M23.00S,2021-11-13T03:49:49.5Z,2,REGULAR,substitution,out,[],202357,,,1610612741,29,33,2021-11-13T03:49:57Z,1740000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT09M23.00S,2021-11-13T03:49:49.5Z,2,REGULAR,substitution,out,[],1628993,,,1610612741,29,33,2021-11-13T03:49:57Z,1750000,,,0,,SUB out: A. Johnson,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
