actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
88,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,in,[],202357,,,1610612760,20,13,2021-10-31T00:53:53Z,880000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,in,[],203488,,,1610612760,20,13,2021-10-31T00:53:53Z,890000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,20,13,2021-10-31T00:53:53Z,900000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M38.00S,2021-10-31T00:53:55.5Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,20,14,2021-10-31T00:53:55Z,910000,,,0,,D. Bazley Free Throw 2 of 2 (3 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
92,PT04M24.00S,2021-10-31T00:54:09.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203110,93.38042049934296,51.225490196078425,1610612744,22,14,2021-10-31T00:54:17Z,920000,6.0,10.0,1,right,D. Green DUNK (11 PTS) (J. Poole 3 AST),"[203110, 1629673]",1610612744.0,GSW,,,,Green,D. Green,,,,,1.15,Made,,,,,11.0,,,,,J. Poole,1629673.0,3.0,,,,,,,
94,PT04M23.00S,2021-10-31T00:54:17.9Z,1,REGULAR,stoppage,other,[],0,,,1610612760,22,14,2021-10-31T00:54:17Z,940000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M03.00S,2021-10-31T00:54:39.0Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,22,14,2021-10-31T00:54:51Z,950000,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 203952]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,,,,
96,PT04M03.00S,2021-10-31T00:54:39.0Z,1,REGULAR,steal,,[],203952,,,1610612744,22,14,2021-10-31T00:54:41Z,960000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M55.00S,2021-10-31T00:54:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,94.30026281208936,49.754901960784316,1610612744,22,14,2021-10-31T00:55:23Z,970000,-1.0,1.0,1,right,MISS A. Wiggins Layup,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,0.16,Missed,,,,,,,,,,,,,,,,,,,
98,PT03M52.00S,2021-10-31T00:54:50.2Z,1,REGULAR,rebound,defensive,[],203488,,,1610612760,22,14,2021-10-31T00:55:23Z,980000,,,0,,M. Muscala REBOUND (Off:0 Def:1),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
99,PT03M52.00S,2021-10-31T00:55:01.5Z,1,REGULAR,foul,personal,[],203110,,,1610612760,22,14,2021-10-31T00:55:33Z,990000,,,0,,D. Green take personal FOUL (1 PF),"[203110, 1629026]",1610612744.0,GSW,take,,,Green,D. Green,,,,,,,,,,,,1662.0,,,,,,,,,1.0,0.0,Williams,1629026.0,
101,PT03M52.00S,2021-10-31T00:55:07.1Z,1,REGULAR,substitution,out,[],203952,,,1610612760,22,14,2021-10-31T00:55:16Z,1010000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M52.00S,2021-10-31T00:55:07.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,22,14,2021-10-31T00:55:16Z,1020000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M52.00S,2021-10-31T00:55:07.1Z,1,REGULAR,substitution,in,[],2738,,,1610612760,22,14,2021-10-31T00:55:16Z,1030000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M52.00S,2021-10-31T00:55:07.1Z,1,REGULAR,substitution,in,[],1630197,,,1610612760,22,14,2021-10-31T00:55:16Z,1040000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M47.00S,2021-10-31T00:55:22.2Z,1,REGULAR,turnover,bad pass,[],1629026,,,1610612760,22,14,2021-10-31T00:55:31Z,1050000,,,0,,K. Williams bad pass TURNOVER (1 TO),"[1629026, 1629673]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,1.0,Poole,1629673.0,,,,,,,,,,
106,PT03M47.00S,2021-10-31T00:55:22.2Z,1,REGULAR,steal,,[],1629673,,,1610612744,22,14,2021-10-31T00:55:27Z,1060000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M44.00S,2021-10-31T00:55:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629673,91.5407358738502,54.166666666666664,1610612744,22,14,2021-10-31T00:55:42Z,1070000,21.0,27.0,1,right,MISS J. Poole Layup - blocked,"[1629673, 1630197]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,3.41,Missed,,,,,,,,,,,,,Pokusevski,1630197.0,,,,,
108,PT03M44.00S,2021-10-31T00:55:35.2Z,1,REGULAR,block,,[],1630197,,,1610612744,22,14,2021-10-31T00:55:38Z,1080000,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M44.00S,2021-10-31T00:55:35.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,22,14,2021-10-31T00:55:42Z,1090000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,
110,PT03M44.00S,2021-10-31T00:55:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,22,14,2021-10-31T00:55:43Z,1100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M40.00S,2021-10-31T00:55:46.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629673,71.17279894875165,75.24509803921569,1610612744,22,14,2021-10-31T00:55:51Z,1110000,126.0,218.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
112,PT03M37.00S,2021-10-31T00:55:49.3Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,22,14,2021-10-31T00:55:51Z,1120000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
113,PT03M24.00S,2021-10-31T00:56:02.5Z,1,REGULAR,3pt,Jump Shot,[],1628983,25.969119579500656,18.137254901960784,1610612760,22,14,2021-10-31T00:57:07Z,1130000,159.0,192.0,1,left,MISS S. Gilgeous-Alexander 24' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,,
114,PT03M20.00S,2021-10-31T00:56:06.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,22,14,2021-10-31T00:56:09Z,1140000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,113.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
115,PT02M59.00S,2021-10-31T00:56:28.0Z,1,REGULAR,3pt,Jump Shot,[],1629185,81.15965834428384,7.107843137254902,1610612744,22,14,2021-10-31T00:56:34Z,1150000,-214.0,125.0,1,right,MISS C. Chiozza 24' 3PT,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,,
116,PT02M55.00S,2021-10-31T00:56:32.0Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,22,14,2021-10-31T00:56:34Z,1160000,,,0,,A. Pokusevski REBOUND (Off:0 Def:2),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,115.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
117,PT02M49.00S,2021-10-31T00:56:37.6Z,1,REGULAR,3pt,Jump Shot,[],1629026,5.863994743758213,95.83333333333334,1610612760,22,14,2021-10-31T00:56:43Z,1170000,-229.0,3.0,1,left,MISS K. Williams 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
118,PT02M47.00S,2021-10-31T00:56:39.6Z,1,REGULAR,rebound,defensive,[],2738,,,1610612744,22,14,2021-10-31T00:56:43Z,1180000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
119,PT02M36.00S,2021-10-31T00:56:51.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,22,14,2021-10-31T00:56:58Z,1190000,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1628983]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,2.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,
120,PT02M36.00S,2021-10-31T00:56:51.9Z,1,REGULAR,steal,,[],1628983,,,1610612760,22,14,2021-10-31T00:56:55Z,1200000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M28.00S,2021-10-31T00:56:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203488,25.706307490144546,18.137254901960784,1610612760,22,14,2021-10-31T00:57:07Z,1210000,159.0,189.0,1,left,MISS M. Muscala 24' 3PT,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M24.00S,2021-10-31T00:57:03.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,22,14,2021-10-31T00:57:07Z,1220000,,,0,,D. Green REBOUND (Off:0 Def:4),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,121.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
123,PT02M18.00S,2021-10-31T00:57:14.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,22,14,2021-10-31T00:57:14Z,1230000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,22,14,2021-10-31T00:59:58Z,1240000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,out,[],203110,,,1610612744,22,14,2021-10-31T00:59:58Z,1250000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,out,[],1629647,,,1610612744,22,14,2021-10-31T00:59:58Z,1260000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,in,[],203490,,,1610612744,22,14,2021-10-31T00:59:58Z,1270000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,in,[],201939,,,1610612744,22,14,2021-10-31T00:59:58Z,1280000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M18.00S,2021-10-31T00:59:35.9Z,1,REGULAR,substitution,in,[],1629652,,,1610612744,22,14,2021-10-31T00:59:58Z,1290000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M04.00S,2021-10-31T01:00:23.1Z,1,REGULAR,2pt,Jump Shot,[],203490,78.13731931668858,35.294117647058826,1610612744,24,14,2021-10-31T01:00:30Z,1300000,-74.0,153.0,1,right,O. Porter Jr. 16' Jump Shot (2 PTS) (C. Chiozza 1 AST),"[203490, 1629185]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,16.97,Made,,,,,2.0,,,,,C. Chiozza,1629185.0,1.0,,,,,,,
132,PT01M46.00S,2021-10-31T01:00:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,15.719448094612352,45.588235294117645,1610612760,24,16,2021-10-31T01:00:48Z,1320000,22.0,95.0,1,left,L. Dort 9' floating Jump Shot (5 PTS),[1629652],1610612760.0,OKC,floating,,,Dort,L. Dort,,,,,9.78,Made,,,,,5.0,,,,,,,,,,,,,,
133,PT01M33.00S,2021-10-31T01:00:53.3Z,1,REGULAR,3pt,Jump Shot,[],1629185,71.82982917214193,78.18627450980392,1610612744,27,16,2021-10-31T01:00:59Z,1330000,141.0,212.0,1,right,C. Chiozza 25' 3PT  (3 PTS) (N. Bjelica 1 AST),"[1629185, 202357]",1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,25.48,Made,,,,,3.0,,,,,N. Bjelica,202357.0,1.0,,,,,,,
135,PT01M21.00S,2021-10-31T01:01:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.389618922470433,44.6078431372549,1610612760,27,16,2021-10-31T01:01:12Z,1350000,27.0,8.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.8,Missed,,,,,,,,,,,,,,,,,,,
136,PT01M19.00S,2021-10-31T01:01:08.1Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,27,16,2021-10-31T01:01:12Z,1360000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
137,PT01M02.00S,2021-10-31T01:01:25.0Z,1,REGULAR,3pt,Jump Shot,[],203490,90.22667542706965,96.07843137254902,1610612744,27,16,2021-10-31T01:01:31Z,1370000,230.0,39.0,1,right,MISS O. Porter Jr. 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,23.37,Missed,,,,,,,,,,,,,,,,,,,
138,PT00M58.60S,2021-10-31T01:01:28.4Z,1,REGULAR,rebound,offensive,[],202357,,,1610612744,27,16,2021-10-31T01:01:31Z,1380000,,,0,,N. Bjelica REBOUND (Off:1 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,137.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
139,PT00M58.30S,2021-10-31T01:01:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1630197,,,1610612744,27,16,2021-10-31T01:01:46Z,1390000,,,0,,A. Pokusevski shooting personal FOUL (1 PF) (Bjelica 2 FT),"[1630197, 202357]",1610612760.0,OKC,shooting,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,202027.0,,,,,,,,,1.0,0.0,Bjelica,202357.0,
141,PT00M58.30S,2021-10-31T01:01:55.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202357,,,1610612744,27,16,2021-10-31T01:01:55Z,1410000,,,0,,MISS N. Bjelica Free Throw 1 of 2,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M58.30S,2021-10-31T01:01:55.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,27,16,2021-10-31T01:01:55Z,1420000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,,
143,PT00M58.30S,2021-10-31T01:01:58.4Z,1,REGULAR,substitution,out,[],1628983,,,1610612744,27,16,2021-10-31T01:02:01Z,1430000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M58.30S,2021-10-31T01:01:58.4Z,1,REGULAR,substitution,in,[],1629660,,,1610612744,27,16,2021-10-31T01:02:01Z,1440000,,,0,,SUB in: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M58.30S,2021-10-31T01:02:15.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202357,,,1610612744,28,16,2021-10-31T01:02:15Z,1450000,,,0,,N. Bjelica Free Throw 2 of 2 (1 PTS),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
146,PT00M46.00S,2021-10-31T01:02:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629660,6.389618922470433,48.77450980392157,1610612760,28,18,2021-10-31T01:02:34Z,1460000,6.0,8.0,1,left,T. Jerome driving Layup (2 PTS),[1629660],1610612760.0,OKC,driving,,,Jerome,T. Jerome,,,,,0.97,Made,,,,,2.0,,,,,,,,,,,,,,
147,PT00M31.00S,2021-10-31T01:02:46.9Z,1,REGULAR,turnover,out-of-bounds,[],203490,,,1610612744,28,18,2021-10-31T01:02:58Z,1470000,,,0,,O. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[203490],1610612744.0,GSW,bad pass,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,1627524.0,1.0,,,,,,,,,,,,
148,PT00M24.80S,2021-10-31T01:03:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,5.469776609724048,52.450980392156865,1610612760,28,20,2021-10-31T01:03:13Z,1480000,-12.0,-1.0,1,left,L. Dort driving Layup (7 PTS),[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,1.23,Made,,,,,7.0,,,,,,,,,,,,,,
149,PT00M04.80S,2021-10-31T01:03:25.1Z,1,REGULAR,3pt,Jump Shot,[],2738,91.5407358738502,93.87254901960785,1610612744,28,20,2021-10-31T01:03:32Z,1490000,219.0,27.0,1,right,MISS A. Iguodala 3PT,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,22.11,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M01.30S,2021-10-31T01:03:28.5Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,28,20,2021-10-31T01:03:28Z,1500000,,,0,,A. Pokusevski REBOUND (Off:0 Def:3),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,149.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
151,PT00M00.00S,2021-10-31T01:03:30.7Z,1,REGULAR,3pt,Jump Shot,[],1629026,45.41721419185282,66.66666666666666,1610612760,28,20,2021-10-31T01:03:45Z,1510000,-83.0,374.0,1,left,MISS K. Williams 38' running 3PT,[1629026],1610612760.0,OKC,running,,,Williams,K. Williams,,,,,38.36,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M00.00S,2021-10-31T01:03:30.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,28,20,2021-10-31T01:03:45Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,
153,PT00M00.00S,2021-10-31T01:03:50.0Z,1,REGULAR,period,end,[],0,,,1610612760,28,20,2021-10-31T01:03:50Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-10-31T01:05:52.1Z,2,REGULAR,substitution,out,['startperiod'],1629185,,,1610612760,28,20,2021-10-31T01:06:14Z,1540000,,,0,,SUB out: C. Chiozza,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-10-31T01:05:52.1Z,2,REGULAR,substitution,out,['startperiod'],201939,,,1610612760,28,20,2021-10-31T01:06:14Z,1550000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-10-31T01:05:52.1Z,2,REGULAR,substitution,in,['startperiod'],1629673,,,1610612760,28,20,2021-10-31T01:06:14Z,1560000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-10-31T01:05:52.1Z,2,REGULAR,substitution,in,['startperiod'],1630541,,,1610612760,28,20,2021-10-31T01:06:14Z,1570000,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-10-31T01:06:13.4Z,2,REGULAR,period,start,[],0,,,1610612760,28,20,2021-10-31T01:06:15Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M47.00S,2021-10-31T01:06:25.9Z,2,REGULAR,turnover,bad pass,[],203488,,,1610612760,28,20,2021-10-31T01:06:32Z,1590000,,,0,,M. Muscala bad pass TURNOVER (1 TO),"[203488, 203490]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,1.0,Porter Jr.,203490.0,,,,,,,,,,
160,PT11M47.00S,2021-10-31T01:06:25.9Z,2,REGULAR,steal,,[],203490,,,1610612744,28,20,2021-10-31T01:07:00Z,1600000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M26.00S,2021-10-31T01:06:46.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202357,94.03745072273325,49.01960784313725,1610612744,30,20,2021-10-31T01:06:53Z,1610000,-5.0,4.0,1,right,N. Bjelica driving Layup (3 PTS),[202357],1610612744.0,GSW,driving,,,Bjelica,N. Bjelica,,,,,0.6,Made,,,,,3.0,,,,,,,,,,,,,,
162,PT11M07.00S,2021-10-31T01:07:05.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,6.1268068331143235,45.588235294117645,1610612760,30,20,2021-10-31T01:07:11Z,1620000,22.0,5.0,1,left,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,,
163,PT11M04.00S,2021-10-31T01:07:08.5Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,30,20,2021-10-31T01:07:11Z,1630000,,,0,,A. Iguodala REBOUND (Off:0 Def:2),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
164,PT11M02.00S,2021-10-31T01:07:10.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630541,76.42904073587385,12.5,1610612744,33,20,2021-10-31T01:07:20Z,1640000,-188.0,169.0,1,right,M. Moody 25' 3PT  (3 PTS) (A. Iguodala 1 AST),"[1630541, 2738]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,25.25,Made,,,,,3.0,,,,,A. Iguodala,2738.0,1.0,,,,,,,
166,PT10M40.00S,2021-10-31T01:07:31.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203488,12.697109067017081,53.92156862745098,1610612760,33,20,2021-10-31T01:07:40Z,1660000,-20.0,67.0,1,left,MISS M. Muscala 6' turnaround Hook,[203488],1610612760.0,OKC,turnaround,,,Muscala,M. Muscala,,,,,6.97,Missed,,,,,,,,,,,,,,,,,,,
167,PT10M34.00S,2021-10-31T01:07:37.5Z,2,REGULAR,rebound,defensive,[],203490,,,1610612744,33,20,2021-10-31T01:07:40Z,1670000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,166.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
168,PT10M20.00S,2021-10-31T01:07:52.7Z,2,REGULAR,2pt,Jump Shot,[],203490,75.50919842312747,26.225490196078432,1610612744,35,20,2021-10-31T01:08:00Z,1680000,-119.0,178.0,1,right,O. Porter Jr. 21' Jump Shot (4 PTS) (N. Bjelica 2 AST),"[203490, 202357]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,21.38,Made,,,,,4.0,,,,,N. Bjelica,202357.0,2.0,,,,,,,
170,PT09M56.00S,2021-10-31T01:08:16.1Z,2,REGULAR,3pt,Jump Shot,[],1630197,27.020367936925098,81.37254901960785,1610612760,35,20,2021-10-31T01:08:22Z,1700000,-157.0,201.0,1,left,MISS A. Pokusevski 25' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
171,PT09M53.00S,2021-10-31T01:08:19.1Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,35,20,2021-10-31T01:08:22Z,1710000,,,0,,A. Iguodala REBOUND (Off:0 Def:3),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,170.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
172,PT09M36.00S,2021-10-31T01:08:37.2Z,2,REGULAR,3pt,Jump Shot,[],1629673,71.04139290407359,76.22549019607843,1610612744,35,20,2021-10-31T01:08:43Z,1720000,131.0,220.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
