actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
89,PT05M00.00S,2021-11-04T02:26:40.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,91.80354796320631,52.20588235294118,1610612744,10,14,2021-11-04T02:37:09Z,890000,11.0,25.0,1,right,K. Looney DUNK (2 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,2.69,Made,,,,,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,
91,PT04M45.00S,2021-11-04T02:26:55.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,7.046649145860711,2.941176470588235,1610612766,10,14,2021-11-04T02:26:58Z,910000,235.0,14.0,1,left,MISS L. Ball step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,23.57,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M42.00S,2021-11-04T02:26:58.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,10,14,2021-11-04T02:38:44Z,920000,,,0,,S. Curry REBOUND (Off:0 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,91.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
93,PT04M40.00S,2021-11-04T02:27:01.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203110,94.82588699080158,55.392156862745104,1610612744,10,14,2021-11-04T02:37:31Z,930000,27.0,-4.0,1,right,MISS D. Green running DUNK,[203110],1610612744.0,GSW,running,,,Green,D. Green,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,,
94,PT04M38.00S,2021-11-04T02:27:03.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,10,14,2021-11-04T02:28:16Z,940000,,,0,,T. Rozier REBOUND (Off:1 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,93.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
95,PT04M34.00S,2021-11-04T02:27:07.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,22.158344283837057,7.8431372549019605,1610612766,10,14,2021-11-04T02:27:11Z,950000,211.0,156.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
96,PT04M32.00S,2021-11-04T02:27:09.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,10,14,2021-11-04T02:28:10Z,960000,,,0,,S. Curry REBOUND (Off:0 Def:4),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,95.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
97,PT04M24.00S,2021-11-04T02:27:17.1Z,1,REGULAR,3pt,Jump Shot,[],203952,91.01511169513797,3.9215686274509802,1610612744,10,14,2021-11-04T02:27:20Z,970000,-230.0,32.0,1,right,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,,
98,PT04M22.00S,2021-11-04T02:27:19.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,10,14,2021-11-04T02:28:04Z,980000,,,0,,L. Ball REBOUND (Off:1 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,97.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
99,PT04M13.00S,2021-11-04T02:27:27.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,12.040078843626807,50.98039215686274,1610612766,10,16,2021-11-04T02:27:30Z,990000,-5.0,61.0,1,left,M. Plumlee 6' Hook (2 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,6.09,Made,,,,,2.0,L. Ball,1630163.0,2.0,,,,,,,,,,,
101,PT03M57.00S,2021-11-04T02:27:44.3Z,1,REGULAR,2pt,Jump Shot,[],203110,75.9526938239159,81.88572303921569,1610612744,10,16,2021-11-04T02:38:47Z,1010000,159.0,174.0,1,right,MISS D. Green 23' Jump Shot,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M54.00S,2021-11-04T02:27:47.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,10,16,2021-11-04T02:38:47Z,1020000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,101.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
103,PT03M49.00S,2021-11-04T02:27:56.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,10,16,2021-11-04T02:27:56Z,1030000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],201939,,,1610612766,10,16,2021-11-04T02:31:04Z,1040000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],1626172,,,1610612766,10,16,2021-11-04T02:31:04Z,1050000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],203952,,,1610612766,10,16,2021-11-04T02:31:04Z,1060000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,10,16,2021-11-04T02:31:04Z,1070000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,10,16,2021-11-04T02:31:04Z,1080000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,10,16,2021-11-04T02:31:04Z,1090000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,out,[],203486,,,1610612766,10,16,2021-11-04T02:31:04Z,1100000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],2738,,,1610612766,10,16,2021-11-04T02:31:04Z,1110000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612766,10,16,2021-11-04T02:31:04Z,1120000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],202357,,,1610612766,10,16,2021-11-04T02:31:04Z,1130000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],202397,,,1610612766,10,16,2021-11-04T02:31:04Z,1140000,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,10,16,2021-11-04T02:31:04Z,1150000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,10,16,2021-11-04T02:31:04Z,1160000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M49.00S,2021-11-04T02:29:43.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,10,16,2021-11-04T02:31:04Z,1170000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M35.00S,2021-11-04T02:31:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,18.74178712220762,47.549019607843135,1610612766,10,16,2021-11-04T02:31:33Z,1180000,12.0,124.0,1,left,MISS G. Hayward 12' Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,12.43,Missed,,,,,,,,,,,,,,,,,,,
119,PT03M32.00S,2021-11-04T02:31:33.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,10,16,2021-11-04T02:31:33Z,1190000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
120,PT03M10.00S,2021-11-04T02:31:55.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,63.6826544021025,40.68627450980392,1610612744,10,16,2021-11-04T02:32:00Z,1200000,-47.0,289.0,1,right,MISS J. Poole 29' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,29.26,Missed,,,,,,,,,,,,,,,,,,,
121,PT03M08.00S,2021-11-04T02:31:57.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,10,16,2021-11-04T02:37:00Z,1210000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
122,PT02M55.00S,2021-11-04T02:32:10.8Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612766,10,16,2021-11-04T02:32:12Z,1220000,,,0,,I. Smith bad pass TURNOVER (1 TO),"[202397, 202357]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,1.0,Bjelica,202357.0,,,,,,,
123,PT02M55.00S,2021-11-04T02:32:10.8Z,1,REGULAR,steal,,[],202357,,,1610612744,10,16,2021-11-04T02:32:13Z,1230000,,,0,,N. Bjelica STEAL (1 STL),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M49.00S,2021-11-04T02:32:16.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203110,92.06636005256242,48.28431372549019,1610612744,12,16,2021-11-04T02:32:23Z,1240000,-9.0,22.0,1,right,D. Green running Layup (2 PTS) (G. Payton II 1 AST),"[203110, 1627780]",1610612744.0,GSW,running,,,Green,D. Green,,,,,2.37,Made,,,,,2.0,G. Payton II,1627780.0,1.0,,,,,,,,,,,
126,PT02M37.00S,2021-11-04T02:32:28.4Z,1,REGULAR,3pt,Jump Shot,[],202330,12.302890932982917,4.6568627450980395,1610612766,12,19,2021-11-04T02:32:31Z,1260000,227.0,63.0,1,left,G. Hayward 3PT  (5 PTS) (K. Oubre Jr. 1 AST),"[202330, 1626162]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,23.53,Made,,,,,5.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,
128,PT02M25.00S,2021-11-04T02:32:41.6Z,1,REGULAR,3pt,Jump Shot,[],202357,72.48685939553219,12.254901960784313,1610612744,15,19,2021-11-04T02:32:44Z,1280000,-189.0,206.0,1,right,N. Bjelica 27' 3PT  (3 PTS) (A. Iguodala 1 AST),"[202357, 2738]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,27.94,Made,,,,,3.0,A. Iguodala,2738.0,1.0,,,,,,,,,,,
130,PT02M14.00S,2021-11-04T02:32:51.8Z,1,REGULAR,turnover,lost ball,[],202397,,,1610612766,15,19,2021-11-04T02:32:53Z,1300000,,,0,,I. Smith lost ball TURNOVER (2 TO),"[202397, 1627780]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,2.0,Payton II,1627780.0,,,,,,,
131,PT02M14.00S,2021-11-04T02:32:51.8Z,1,REGULAR,steal,,[],1627780,,,1610612744,15,19,2021-11-04T02:32:53Z,1310000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M56.00S,2021-11-04T02:33:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627780,71.82982917214193,78.67647058823529,1610612744,15,19,2021-11-04T02:33:13Z,1320000,143.0,212.0,1,right,MISS G. Payton II 25' 3PT,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M54.00S,2021-11-04T02:33:12.4Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,15,19,2021-11-04T02:36:48Z,1330000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
134,PT01M42.00S,2021-11-04T02:33:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,33.196452036793694,46.32352941176471,1610612766,15,19,2021-11-04T02:33:26Z,1340000,18.0,260.0,1,left,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M40.00S,2021-11-04T02:33:25.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,19,2021-11-04T02:36:43Z,1350000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,134.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
136,PT01M34.00S,2021-11-04T02:33:32.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627780,92.85479632063075,47.30392156862745,1610612744,17,19,2021-11-04T02:33:36Z,1360000,-13.0,15.0,1,right,G. Payton II DUNK (2 PTS) (D. Green 3 AST),"[1627780, 203110]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,2.0,Made,,,,,2.0,D. Green,203110.0,3.0,,,,,,,,,,,
138,PT01M23.00S,2021-11-04T02:33:43.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.86005256241787,19.852941176470587,1610612766,17,22,2021-11-04T02:33:45Z,1380000,151.0,219.0,1,left,P. Washington 26' 3PT  (3 PTS) (C. Martin 1 AST),"[1629023, 1628998]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,26.57,Made,,,,,3.0,C. Martin,1628998.0,1.0,,,,,,,,,,,
140,PT01M13.00S,2021-11-04T02:33:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,92.9862023653088,55.14705882352941,1610612744,19,22,2021-11-04T02:33:57Z,1400000,26.0,13.0,1,right,J. Poole driving Layup (10 PTS),[1629673],1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,2.9,Made,,,,,10.0,,,,,,,,,,,,,,
142,PT01M01.00S,2021-11-04T02:34:04.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,27.677398160315374,16.911764705882355,1610612766,19,22,2021-11-04T02:34:07Z,1420000,165.0,208.0,1,left,MISS K. Oubre Jr. 26' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M59.80S,2021-11-04T02:34:05.2Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,19,22,2021-11-04T02:36:37Z,1430000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,142.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
144,PT00M54.20S,2021-11-04T02:34:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,5.995400788436268,44.85294117647059,1610612766,19,24,2021-11-04T02:34:15Z,1440000,26.0,4.0,1,left,G. Hayward driving Layup (7 PTS),[202330],1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,2.6,Made,,,,,7.0,,,,,,,,,,,,,,
145,PT00M31.70S,2021-11-04T02:34:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202357,92.32917214191852,55.63725490196079,1610612744,21,24,2021-11-04T02:34:41Z,1450000,28.0,20.0,1,right,N. Bjelica cutting Layup (5 PTS) (A. Iguodala 2 AST),"[202357, 2738]",1610612744.0,GSW,cutting,,,Bjelica,N. Bjelica,,,,,3.43,Made,,,,,5.0,A. Iguodala,2738.0,2.0,,,,,,,,,,,
147,PT00M31.70S,2021-11-04T02:34:43.2Z,1,REGULAR,foul,personal,['1freethrow'],1628998,,,1610612744,21,24,2021-11-04T02:34:49Z,1470000,,,0,,C. Martin shooting personal FOUL (1 PF) (Bjelica 1 FT),"[1628998, 202357]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,,,,,,,,,,,202041.0,,,,1.0,0.0,Bjelica,202357.0,,,
149,PT00M31.70S,2021-11-04T02:34:52.0Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,21,24,2021-11-04T02:35:12Z,1490000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M31.70S,2021-11-04T02:34:52.0Z,1,REGULAR,substitution,out,[],203110,,,1610612744,21,24,2021-11-04T02:35:12Z,1500000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M31.70S,2021-11-04T02:34:52.0Z,1,REGULAR,substitution,in,[],203490,,,1610612744,21,24,2021-11-04T02:35:12Z,1510000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M31.70S,2021-11-04T02:34:52.0Z,1,REGULAR,substitution,in,[],201939,,,1610612744,21,24,2021-11-04T02:35:12Z,1520000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M31.70S,2021-11-04T02:35:11.0Z,1,REGULAR,freethrow,1 of 1,[],202357,,,1610612744,21,24,2021-11-04T02:35:11Z,1530000,,,0,,MISS N. Bjelica Free Throw 1 of 1,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,Missed,,,,,,,,,,,,,,,,,,,
154,PT00M30.30S,2021-11-04T02:35:12.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,21,24,2021-11-04T02:35:12Z,1540000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,153.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
155,PT00M11.40S,2021-11-04T02:35:31.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,20.318659658344284,90.68627450980392,1610612766,21,24,2021-11-04T02:35:34Z,1550000,-203.0,138.0,1,left,MISS K. Oubre Jr. 24' step back 3PT,[1626162],1610612766.0,CHA,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,,
156,PT00M09.60S,2021-11-04T02:35:32.8Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,21,24,2021-11-04T02:36:27Z,1560000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
157,PT00M06.00S,2021-11-04T02:35:36.4Z,1,REGULAR,turnover,bad pass,[],202357,,,1610612744,21,24,2021-11-04T02:35:38Z,1570000,,,0,,N. Bjelica bad pass TURNOVER (1 TO),"[202357, 202330]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,1.0,Hayward,202330.0,,,,,,,
158,PT00M06.00S,2021-11-04T02:35:36.4Z,1,REGULAR,steal,,[],202330,,,1610612766,21,24,2021-11-04T02:35:38Z,1580000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M05.40S,2021-11-04T02:35:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202330,6.1268068331143235,47.30392156862745,1610612766,21,26,2021-11-04T02:35:40Z,1590000,13.0,5.0,1,left,G. Hayward Layup (9 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,1.44,Made,,,,,9.0,,,,,,,,,,,,,,
160,PT00M00.40S,2021-11-04T02:35:49.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],2738,78.26872536136662,76.7156862745098,1610612744,21,26,2021-11-04T02:36:21Z,1600000,134.0,152.0,1,right,MISS A. Iguodala 20' pullup Shot,[2738],1610612744.0,GSW,pullup,,,Iguodala,A. Iguodala,,,,,20.22,Missed,,,,,,,,,,,,,,,,,,,
161,PT00M00.10S,2021-11-04T02:35:49.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,21,26,2021-11-04T02:36:21Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,
162,PT00M00.00S,2021-11-04T02:35:55.7Z,1,REGULAR,period,end,[],0,,,1610612744,21,26,2021-11-04T02:35:55Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,out,['startperiod'],1627780,,,1610612744,21,26,2021-11-04T02:39:09Z,1630000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,out,['startperiod'],202357,,,1610612744,21,26,2021-11-04T02:39:09Z,1640000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,out,['startperiod'],1628998,,,1610612744,21,26,2021-11-04T02:39:09Z,1650000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,out,['startperiod'],202330,,,1610612744,21,26,2021-11-04T02:39:09Z,1660000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,in,['startperiod'],1627814,,,1610612744,21,26,2021-11-04T02:39:09Z,1670000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,in,['startperiod'],1629308,,,1610612744,21,26,2021-11-04T02:39:09Z,1680000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,in,['startperiod'],1628970,,,1610612744,21,26,2021-11-04T02:39:09Z,1690000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-11-04T02:38:56.0Z,2,REGULAR,substitution,in,['startperiod'],1626179,,,1610612744,21,26,2021-11-04T02:39:09Z,1700000,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-11-04T02:39:25.6Z,2,REGULAR,period,start,[],0,,,1610612744,21,26,2021-11-04T02:39:25Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M45.00S,2021-11-04T02:39:39.9Z,2,REGULAR,2pt,Jump Shot,[],201939,70.51576872536137,48.28431372549019,1610612744,23,26,2021-11-04T02:39:42Z,1720000,-9.0,225.0,1,right,S. Curry 22' Jump Shot (2 PTS) (J. Toscano-Anderson 1 AST),"[201939, 1629308]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,22.49,Made,,,,,2.0,J. Toscano-Anderson,1629308.0,1.0,,,,,,,,,,,
336,PT11M29.00S,2021-11-04T02:39:47.8Z,2,REGULAR,turnover,lost ball,[],1629023,,,1610612766,23,26,2021-11-04T03:17:26Z,1740000,,,0,,P. Washington lost ball TURNOVER (1 TO),"[1629023, 2738]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,1.0,Iguodala,2738.0,,,,,,,
337,PT11M29.00S,2021-11-04T02:39:47.8Z,2,REGULAR,steal,,[],2738,,,1610612744,23,26,2021-11-04T03:17:26Z,1745000,,,0,,A. Iguodala STEAL (1 STL),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M08.00S,2021-11-04T02:40:16.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],2738,77.21747700394218,87.74509803921569,1610612744,26,26,2021-11-04T03:17:33Z,1780000,189.0,162.0,1,right,A. Iguodala 24' 3PT  (3 PTS) (O. Porter Jr. 1 AST),"[2738, 203490]",1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,24.85,Made,,,,,3.0,O. Porter Jr.,203490.0,1.0,,,,,,,,,,,
