actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
51,PT07M02.00S,2023-01-15T23:20:06.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,77.4802890932983,90.19607843137256,1610612760,10,12,2023-01-15T23:20:10Z,510000,False,201.0,159.0,1,right,L. Dort 25' 3PT  (6 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.64,Made,,,,,,,6.0,J. Giddey,1630581.0,1.0,,,,,,,
53,PT07M01.00S,2023-01-15T23:20:11.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,12,2023-01-15T23:20:11Z,530000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M01.00S,2023-01-15T23:20:13.0Z,1,REGULAR,substitution,out,[],203925,,,1610612751,10,12,2023-01-15T23:23:06Z,540000,False,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2023-01-15T23:20:13.0Z,1,REGULAR,substitution,in,[],1629139,,,1610612751,10,12,2023-01-15T23:23:06Z,550000,False,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M01.00S,2023-01-15T23:23:11.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,10,12,2023-01-15T23:23:18Z,560000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612760.0,OKC,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M43.00S,2023-01-15T23:23:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,19.053876478318003,44.87974877450981,1610612751,12,12,2023-01-15T23:24:47Z,570000,False,26.0,127.0,1,left,K. Irving 12' step back Jump Shot (5 PTS),[202681],1610612751.0,BKN,,step back,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,12.92,Made,,,,,,,5.0,,,,,,,,,,
59,PT06M23.00S,2023-01-15T23:23:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,92.46057818659659,55.14705882352941,1610612760,12,14,2023-01-15T23:25:15Z,590000,False,26.0,18.0,1,right,J. Giddey driving floating bank Jump Shot (4 PTS),[1630581],1610612760.0,OKC,,driving floating bank,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,3.16,Made,,,,,,,4.0,,,,,,,,,,
60,PT06M14.00S,2023-01-15T23:24:08.2Z,1,REGULAR,foul,offensive,[],1629651,,,1610612751,12,14,2023-01-15T23:24:16Z,600000,False,,,0,,N. Claxton offensive FOUL (1 PF),"[1629651, 1629652]",1610612751.0,BKN,2003.0,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,0.0,Dort,1629652.0,,,
62,PT06M14.00S,2023-01-15T23:24:08.2Z,1,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,12,14,2023-01-15T23:24:08Z,620000,False,,,0,,N. Claxton offensive foul TURNOVER (1 TO),[1629651],1610612751.0,BKN,2003.0,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,1.0,,
63,PT06M14.00S,2023-01-15T23:24:15.9Z,1,REGULAR,substitution,out,[],1626220,,,1610612760,12,14,2023-01-15T23:24:28Z,630000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M14.00S,2023-01-15T23:24:15.9Z,1,REGULAR,substitution,out,[],1629651,,,1610612760,12,14,2023-01-15T23:24:28Z,640000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M14.00S,2023-01-15T23:24:15.9Z,1,REGULAR,substitution,in,[],202693,,,1610612760,12,14,2023-01-15T23:24:28Z,650000,False,,,0,,SUB in: M. Morris,[202693],1610612751.0,BKN,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M14.00S,2023-01-15T23:24:15.9Z,1,REGULAR,substitution,in,[],203933,,,1610612760,12,14,2023-01-15T23:24:28Z,660000,False,,,0,,SUB in: T. Warren,[203933],1610612751.0,BKN,,,,,Warren,T. Warren,,,,,,,,,,,,,,,,,,,,,,,,,
