actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
87,PT04M38.00S,2022-10-29T23:54:16.6Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,15,11,2022-10-29T23:54:19Z,850000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,
88,PT04M31.00S,2022-10-29T23:54:23.0Z,1,REGULAR,3pt,Jump Shot,[],1630537,6.521024967148489,3.431372549019608,1610612754,15,11,2022-10-29T23:54:27Z,860000,233.0,9.0,1,left,MISS C. Duarte 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Right Corner 3,24+ Right,,,,23.3,Missed,,,,,,,,,,,,,,,
89,PT04M28.00S,2022-10-29T23:54:26.0Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,15,11,2022-10-29T23:54:27Z,870000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,88.0,1.0,1.0,0.0,,
90,PT04M19.00S,2022-10-29T23:54:38.1Z,1,REGULAR,foul,personal,[],1630169,,,1610612751,15,11,2022-10-29T23:55:02Z,880000,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1627732]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right,,,,,,,,,,1626302.0,1.0,0.0,Simmons,1627732.0,,,,,,
92,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,out,[],202681,,,1610612751,15,11,2022-10-29T23:54:58Z,900000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,out,[],1630537,,,1610612751,15,11,2022-10-29T23:54:58Z,910000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,out,[],1630543,,,1610612751,15,11,2022-10-29T23:54:58Z,920000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,out,[],1627741,,,1610612751,15,11,2022-10-29T23:54:58Z,930000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,in,[],203925,,,1610612751,15,11,2022-10-29T23:54:58Z,940000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,in,[],1629048,,,1610612751,15,11,2022-10-29T23:54:58Z,950000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,in,[],1631097,,,1610612751,15,11,2022-10-29T23:54:58Z,960000,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M19.00S,2022-10-29T23:54:44.5Z,1,REGULAR,substitution,in,[],1629614,,,1610612751,15,11,2022-10-29T23:54:58Z,970000,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M16.00S,2022-10-29T23:55:08.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,92.72339027595268,50.0,1610612751,17,11,2022-10-29T23:55:12Z,980000,0.0,16.0,1,right,K. Durant cutting DUNK (2 PTS) (B. Simmons 1 AST),"[201142, 1627732]",1610612751.0,BKN,cutting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,1.59,Made,2.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,
102,PT03M58.00S,2022-10-29T23:55:26.1Z,1,REGULAR,2pt,Jump Shot,[],1630188,14.536793692509855,11.519607843137255,1610612754,17,11,2022-10-29T23:55:30Z,1000000,192.0,84.0,1,left,MISS J. Smith 21' Jump Shot,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Right,,,,21.0,Missed,,,,,,,,,,,,,,,
103,PT03M55.00S,2022-10-29T23:55:29.1Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,17,11,2022-10-29T23:55:33Z,1010000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,102.0,1.0,1.0,0.0,,
104,PT03M50.00S,2022-10-29T23:55:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,93.77463863337714,53.18627450980392,1610612751,19,11,2022-10-29T23:55:41Z,1020000,16.0,6.0,1,right,J. Harris driving Layup (2 PTS),[203925],1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,1.7,Made,2.0,,,,,,,,,,,,,,
105,PT03M50.00S,2022-10-29T23:55:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,19,11,2022-10-29T23:55:45Z,1030000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M50.00S,2022-10-29T23:55:48.0Z,1,REGULAR,substitution,out,[],1630188,,,1610612754,19,11,2022-10-29T23:58:20Z,1040000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M50.00S,2022-10-29T23:55:48.0Z,1,REGULAR,substitution,in,[],201949,,,1610612754,19,11,2022-10-29T23:58:20Z,1050000,,,0,,SUB in: J. Johnson,[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M30.00S,2022-10-29T23:58:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1627732,,,1610612754,19,11,2022-10-29T23:59:10Z,1060000,,,0,,B. Simmons shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1627732, 1631097]",1610612751.0,BKN,shooting,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1629178.0,1.0,0.0,Mathurin,1631097.0,,,,,,
110,PT03M30.00S,2022-10-29T23:59:20.4Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,19,12,2022-10-29T23:59:20Z,1080000,,,0,,B. Mathurin Free Throw 1 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
111,PT03M30.00S,2022-10-29T23:59:37.8Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,19,13,2022-10-29T23:59:37Z,1090000,,,0,,B. Mathurin Free Throw 2 of 2 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
112,PT03M13.00S,2022-10-29T23:59:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,94.56307490144546,54.90196078431373,1610612751,21,13,2022-10-30T00:00:04Z,1100000,25.0,-1.0,1,right,J. Harris driving Layup (4 PTS) (K. Durant 2 AST),"[203925, 201142]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,2.45,Made,4.0,K. Durant,201142.0,2.0,,,,,,,,,,,
114,PT03M13.00S,2022-10-30T00:00:00.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629048,,,1610612751,21,13,2022-10-30T00:00:13Z,1120000,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Harris 1 FT),"[1629048, 203925]",1610612754.0,IND,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,1629178.0,1.0,0.0,Harris,203925.0,,,,,,
116,PT03M13.00S,2022-10-30T00:00:18.0Z,1,REGULAR,substitution,out,[],1630169,,,1610612751,21,13,2022-10-30T00:00:22Z,1140000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M13.00S,2022-10-30T00:00:18.0Z,1,REGULAR,substitution,in,[],1630537,,,1610612751,21,13,2022-10-30T00:00:22Z,1150000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M13.00S,2022-10-30T00:00:37.2Z,1,REGULAR,freethrow,1 of 1,[],203925,,,1610612751,22,13,2022-10-30T00:00:37Z,1160000,,,0,,J. Harris Free Throw 1 of 1 (5 PTS),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
119,PT03M03.00S,2022-10-30T00:00:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,7.046649145860711,50.245098039215684,1610612754,22,15,2022-10-30T00:00:52Z,1170000,-1.0,14.0,1,left,B. Mathurin driving Layup (4 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,1.38,Made,4.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,
121,PT02M42.00S,2022-10-30T00:01:08.6Z,1,REGULAR,3pt,Jump Shot,[],203552,82.9993429697766,4.6568627450980395,1610612751,22,15,2022-10-30T00:01:14Z,1190000,-227.0,107.0,1,right,MISS S. Curry 25' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,25.08,Missed,,,,,,,,,,,,,,,
122,PT02M37.00S,2022-10-30T00:01:13.6Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,22,15,2022-10-30T00:01:14Z,1200000,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,121.0,1.0,1.0,0.0,,
123,PT02M31.00S,2022-10-30T00:01:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,5.601182654402102,54.41176470588235,1610612754,22,17,2022-10-30T00:01:25Z,1210000,-22.0,0.0,1,left,G. Bitadze reverse Layup (2 PTS) (B. Mathurin 1 AST),"[1629048, 1631097]",1610612754.0,IND,reverse,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,2.21,Made,2.0,B. Mathurin,1631097.0,1.0,,,,,,,,,,,
126,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,out,[],1626220,,,1610612751,22,17,2022-10-30T00:01:50Z,1240000,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,out,[],201142,,,1610612751,22,17,2022-10-30T00:01:50Z,1250000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,out,[],1627732,,,1610612751,22,17,2022-10-30T00:01:50Z,1260000,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,in,[],1629139,,,1610612751,22,17,2022-10-30T00:01:50Z,1270000,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,in,[],201988,,,1610612751,22,17,2022-10-30T00:01:50Z,1280000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M16.00S,2022-10-30T00:01:40.1Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,22,17,2022-10-30T00:01:50Z,1290000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M11.00S,2022-10-30T00:02:05.1Z,1,REGULAR,3pt,Jump Shot,[],203925,91.80354796320631,95.58823529411765,1610612751,22,17,2022-10-30T00:02:11Z,1300000,228.0,25.0,1,right,MISS J. Harris 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,,,,22.92,Missed,,,,,,,,,,,,,,,
133,PT02M07.00S,2022-10-30T00:02:09.1Z,1,REGULAR,rebound,defensive,[],201949,,,1610612754,22,17,2022-10-30T00:02:11Z,1310000,,,0,,J. Johnson REBOUND (Off:0 Def:1),[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,132.0,1.0,1.0,0.0,,
134,PT02M00.00S,2022-10-30T00:02:16.3Z,1,REGULAR,3pt,Jump Shot,[],1631097,33.459264126149804,42.15686274509804,1610612754,22,20,2022-10-30T00:02:21Z,1320000,39.0,262.0,1,left,B. Mathurin 26' 3PT pullup (7 PTS) (J. Johnson 1 AST),"[1631097, 201949]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,26.49,Made,7.0,J. Johnson,201949.0,1.0,,,,,,,,,,,
136,PT01M43.00S,2022-10-30T00:02:32.5Z,1,REGULAR,3pt,Jump Shot,[],201988,78.53153745072274,92.40196078431373,1610612751,25,20,2022-10-30T00:02:37Z,1340000,212.0,149.0,1,right,P. Mills 25' 3PT  (3 PTS) (J. Harris 1 AST),"[201988, 203925]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Right Center,,,,25.93,Made,3.0,J. Harris,203925.0,1.0,,,,,,,,,,,
138,PT01M30.00S,2022-10-30T00:02:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,6.389618922470433,44.36274509803921,1610612754,25,20,2022-10-30T00:02:49Z,1360000,28.0,8.0,1,left,MISS J. Johnson cutting Layup,[201949],1610612754.0,IND,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,2.92,Missed,,,,,,,,,,,,,,,
139,PT01M28.00S,2022-10-30T00:02:47.3Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,25,20,2022-10-30T00:02:49Z,1370000,,,0,,J. Harris REBOUND (Off:0 Def:2),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,138.0,2.0,2.0,0.0,,
140,PT01M19.00S,2022-10-30T00:02:56.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.70105124835742,46.568627450980394,1610612751,25,20,2022-10-30T00:03:00Z,1380000,-17.0,44.0,1,right,MISS N. Claxton turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,4.75,Missed,,,,,,,,,,,,,,,
141,PT01M16.00S,2022-10-30T00:02:59.6Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,25,20,2022-10-30T00:03:00Z,1390000,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,140.0,2.0,2.0,0.0,,
142,PT01M11.00S,2022-10-30T00:03:04.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629614,26.10052562417871,14.460784313725492,1610612754,25,20,2022-10-30T00:03:28Z,1400000,178.0,193.0,1,left,MISS A. Nembhard 26' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,26.22,Missed,,,,,,,,,,,,,,,
143,PT01M06.00S,2022-10-30T00:03:09.1Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,25,20,2022-10-30T00:03:28Z,1410000,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,142.0,1.0,0.0,1.0,,
144,PT01M06.00S,2022-10-30T00:03:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,8.886333771353483,48.77450980392157,1610612754,25,22,2022-10-30T00:03:49Z,1420000,6.0,31.0,1,left,G. Bitadze tip Layup (4 PTS),[1629048],1610612754.0,IND,tip,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,3.16,Made,4.0,,,,,,,,,,,,,,
145,PT00M53.40S,2022-10-30T00:03:42.9Z,1,REGULAR,3pt,Jump Shot,[],203925,89.83245729303549,94.85294117647058,1610612751,25,22,2022-10-30T00:03:51Z,1430000,224.0,43.0,1,right,MISS J. Harris 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,,,,22.84,Missed,,,,,,,,,,,,,,,
146,PT00M53.40S,2022-10-30T00:03:42.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,25,22,2022-10-30T00:03:51Z,1440000,,,0,,N. Claxton REBOUND (Off:1 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,145.0,4.0,3.0,1.0,,
147,PT00M49.30S,2022-10-30T00:03:46.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203552,70.77858081471747,22.794117647058822,1610612751,25,22,2022-10-30T00:03:54Z,1450000,-136.0,222.0,1,right,MISS S. Curry 26' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,26.05,Missed,,,,,,,,,,,,,,,
148,PT00M46.90S,2022-10-30T00:03:49.2Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,25,22,2022-10-30T00:03:54Z,1460000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,147.0,1.0,1.0,0.0,,
149,PT00M41.90S,2022-10-30T00:03:56.9Z,1,REGULAR,foul,personal,[],203552,,,1610612754,25,22,2022-10-30T00:04:13Z,1470000,,,0,,S. Curry personal FOUL (2 PF),"[203552, 1630537]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,1146.0,2.0,0.0,Duarte,1630537.0,,,,,,
151,PT00M41.90S,2022-10-30T00:04:06.2Z,1,REGULAR,substitution,out,[],203552,,,1610612754,25,22,2022-10-30T00:04:09Z,1490000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M41.90S,2022-10-30T00:04:06.2Z,1,REGULAR,substitution,in,[],202681,,,1610612754,25,22,2022-10-30T00:04:09Z,1500000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M38.90S,2022-10-30T00:04:37.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201988,,,1610612754,25,22,2022-10-30T00:04:42Z,1510000,,,0,,P. Mills personal FOUL (1 PF) (Nembhard 2 FT),"[201988, 1629614]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1626302.0,1.0,0.0,Nembhard,1629614.0,,,,,,
155,PT00M38.90S,2022-10-30T00:04:54.4Z,1,REGULAR,freethrow,1 of 2,[],1629614,,,1610612754,25,23,2022-10-30T00:04:54Z,1530000,,,0,,A. Nembhard Free Throw 1 of 2 (1 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
156,PT00M38.90S,2022-10-30T00:05:06.5Z,1,REGULAR,freethrow,2 of 2,[],1629614,,,1610612754,25,24,2022-10-30T00:05:06Z,1540000,,,0,,A. Nembhard Free Throw 2 of 2 (2 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
157,PT00M31.50S,2022-10-30T00:05:18.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631097,,,1610612751,25,24,2022-10-30T00:05:26Z,1550000,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Irving 2 FT),"[1631097, 202681]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626302.0,1.0,0.0,Irving,202681.0,,,,,,
159,PT00M31.50S,2022-10-30T00:05:56.2Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,25,24,2022-10-30T00:05:56Z,1570000,,,0,,MISS K. Irving Free Throw 1 of 2,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
160,PT00M31.50S,2022-10-30T00:05:56.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,25,24,2022-10-30T00:05:56Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,
161,PT00M31.50S,2022-10-30T00:06:14.9Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,26,24,2022-10-30T00:06:14Z,1590000,,,0,,K. Irving Free Throw 2 of 2 (7 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
162,PT00M13.50S,2022-10-30T00:06:37.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629651,,,1610612754,26,24,2022-10-30T00:06:58Z,1600000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629651, 1631097]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626302.0,1.0,0.0,Mathurin,1631097.0,,,,,,
164,PT00M13.50S,2022-10-30T00:07:03.6Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,26,25,2022-10-30T00:07:03Z,1620000,,,0,,B. Mathurin Free Throw 1 of 2 (8 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
165,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,out,[],1629139,,,1610612754,26,25,2022-10-30T00:07:27Z,1630000,,,0,,SUB out: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612754,26,25,2022-10-30T00:07:27Z,1640000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,out,[],1629048,,,1610612754,26,25,2022-10-30T00:07:27Z,1650000,,,0,,SUB out: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,in,[],201142,,,1610612754,26,25,2022-10-30T00:07:27Z,1660000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,in,[],203552,,,1610612754,26,25,2022-10-30T00:07:27Z,1670000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M13.50S,2022-10-30T00:07:04.2Z,1,REGULAR,substitution,in,[],1630678,,,1610612754,26,25,2022-10-30T00:07:27Z,1680000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M13.50S,2022-10-30T00:07:31.3Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,26,26,2022-10-30T00:07:31Z,1690000,,,0,,B. Mathurin Free Throw 2 of 2 (9 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
172,PT00M00.00S,2022-10-30T00:07:51.0Z,1,REGULAR,3pt,Jump Shot,[],202681,74.72076215505913,87.5,1610612751,26,26,2022-10-30T00:07:57Z,1700000,188.0,185.0,1,right,MISS K. Irving 26' pullup 3PT,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,26.35,Missed,,,,,,,,,,,,,,,
173,PT00M00.00S,2022-10-30T00:07:52.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,26,26,2022-10-30T00:07:52Z,1710000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,172.0,,,,,
174,PT00M00.00S,2022-10-30T00:07:56.8Z,1,REGULAR,period,end,[],0,,,1610612751,26,26,2022-10-30T00:07:56Z,1720000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-10-30T00:08:05.7Z,2,REGULAR,substitution,out,['startperiod'],203925,,,1610612751,26,26,2022-10-30T00:10:14Z,1730000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
