actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
86,PT04M25.00S,2022-11-01T23:51:49.7Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,13,17,2022-11-01T23:51:49Z,850000,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
87,PT04M25.00S,2022-11-01T23:51:53.9Z,1,REGULAR,substitution,out,[],1630172,,,1610612751,13,17,2022-11-01T23:51:57Z,860000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M25.00S,2022-11-01T23:51:53.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612751,13,17,2022-11-01T23:51:57Z,870000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M25.00S,2022-11-01T23:52:10.3Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,14,17,2022-11-01T23:52:10Z,880000,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
90,PT04M10.00S,2022-11-01T23:52:28.2Z,1,REGULAR,turnover,traveling,[],1630245,,,1610612741,14,17,2022-11-01T23:52:41Z,890000,,,0,,A. Dosunmu traveling TURNOVER (2 TO),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Left,,,,,,,,2.0,,,,,,,,,,,,
91,PT03M54.00S,2022-11-01T23:53:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628410,31.225361366622867,32.35294117647059,1610612751,14,17,2022-11-01T23:53:07Z,900000,88.0,241.0,1,left,MISS E. Sumner 25' 3PT,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
92,PT03M49.00S,2022-11-01T23:53:07.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,14,17,2022-11-01T23:53:07Z,910000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT03M42.00S,2022-11-01T23:53:14.4Z,1,REGULAR,2pt,Jump Shot,[],201942,76.82325886990802,59.80392156862745,1610612741,14,17,2022-11-01T23:53:18Z,920000,49.0,165.0,1,right,MISS D. DeRozan 17' turnaround Shot,[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,17.25,Missed,,,,,,,,,,,,,,,,,,
94,PT03M40.00S,2022-11-01T23:53:16.4Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612751,14,17,2022-11-01T23:53:18Z,930000,,,0,,Y. Watanabe REBOUND (Off:0 Def:2),[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Mid-Range,16-24 Center,,,93.0,2.0,2.0,0.0,,,,,,,,,,,,,,
95,PT03M34.00S,2022-11-01T23:53:22.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,30.962549277266753,23.03921568627451,1610612751,17,17,2022-11-01T23:53:31Z,940000,135.0,239.0,1,left,K. Durant 27' 3PT running pullup (7 PTS),[201142],1610612751.0,BKN,running pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,27.4,Made,,,,,,,7.0,,,,,,,,,,,
96,PT03M33.00S,2022-11-01T23:53:26.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,17,17,2022-11-01T23:53:26Z,950000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M33.00S,2022-11-01T23:55:38.5Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,17,17,2022-11-01T23:56:00Z,960000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M33.00S,2022-11-01T23:55:38.5Z,1,REGULAR,substitution,in,[],201609,,,1610612741,17,17,2022-11-01T23:56:00Z,970000,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M15.00S,2022-11-01T23:57:05.2Z,1,REGULAR,2pt,Jump Shot,[],201942,79.31997371879106,72.54901960784314,1610612741,17,17,2022-11-01T23:57:08Z,980000,113.0,142.0,1,right,MISS D. DeRozan 18' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,18.12,Missed,,,,,,,,,,,,,,,,,,
100,PT03M13.00S,2022-11-01T23:57:07.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,17,17,2022-11-01T23:57:07Z,990000,,,0,,N. Vucevic REBOUND (Off:1 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,,,99.0,5.0,4.0,1.0,,,,,,,,,,,,,,
101,PT03M05.00S,2022-11-01T23:57:15.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201609,68.01905387647832,22.30392156862745,1610612741,17,20,2022-11-01T23:57:20Z,1000000,-138.0,248.0,1,right,G. Dragic 28' 3PT  (3 PTS) (A. Caruso 1 AST),"[201609, 1627936]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Left Center,28.41,Made,,,,,,,3.0,A. Caruso,1627936.0,1.0,,,,,,,,
103,PT02M40.00S,2022-11-01T23:57:40.1Z,1,REGULAR,3pt,Jump Shot,[],1629139,5.732588699080158,96.07843137254902,1610612751,20,20,2022-11-01T23:57:43Z,1020000,-230.0,1.0,1,left,Y. Watanabe 3PT  (3 PTS) (D. Duke Jr. 1 AST),"[1629139, 1630561]",1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Left Corner 3,24+ Left,23.04,Made,,,,,,,3.0,D. Duke Jr.,1630561.0,1.0,,,,,,,,
105,PT02M26.00S,2022-11-01T23:57:53.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,89.17542706964521,52.94117647058824,1610612741,20,20,2022-11-01T23:57:58Z,1040000,15.0,49.0,1,right,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,5.14,Missed,,,,,,,,,,,,,,,,,,
106,PT02M26.00S,2022-11-01T23:57:53.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,20,20,2022-11-01T23:57:58Z,1050000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,105.0,3.0,3.0,0.0,,,,,,,,,,,,,,
107,PT02M26.00S,2022-11-01T23:57:57.3Z,1,REGULAR,foul,personal,[],202696,,,1610612751,20,20,2022-11-01T23:58:52Z,1060000,,,0,,N. Vucevic personal FOUL (1 PF),"[202696, 201142]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203593.0,,,,,,1.0,0.0,Durant,201142.0,,,,
109,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,20,20,2022-11-01T23:58:16Z,1080000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,out,[],202696,,,1610612751,20,20,2022-11-01T23:58:16Z,1090000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,out,[],201942,,,1610612751,20,20,2022-11-01T23:58:16Z,1100000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,in,[],203925,,,1610612751,20,20,2022-11-01T23:58:16Z,1110000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,in,[],1627884,,,1610612751,20,20,2022-11-01T23:58:16Z,1120000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M26.00S,2022-11-01T23:58:05.2Z,1,REGULAR,substitution,in,[],203897,,,1610612751,20,20,2022-11-01T23:58:16Z,1130000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M04.00S,2022-11-01T23:58:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,10.5946123521682,58.57843137254902,1610612751,20,20,2022-11-01T23:58:56Z,1140000,-43.0,47.0,1,left,MISS K. Durant 6' driving floating Shot,[201142],1610612751.0,BKN,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,,
116,PT02M01.00S,2022-11-01T23:58:51.6Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,20,20,2022-11-01T23:58:51Z,1150000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,,
117,PT01M56.00S,2022-11-01T23:58:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201609,89.70105124835742,3.431372549019608,1610612741,20,23,2022-11-01T23:59:05Z,1160000,-233.0,44.0,1,right,G. Dragic 3PT  (6 PTS) (Z. LaVine 5 AST),"[201609, 203897]",1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Left Corner 3,24+ Left,23.7,Made,,,,,,,6.0,Z. LaVine,203897.0,5.0,,,,,,,,
119,PT01M35.00S,2022-11-01T23:59:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,15.193823915900131,63.970588235294116,1610612751,22,23,2022-11-01T23:59:22Z,1180000,-70.0,90.0,1,left,K. Durant 11' turnaround Jump Shot (9 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,11.42,Made,,,,,,,9.0,,,,,,,,,,,
120,PT01M20.00S,2022-11-01T23:59:32.9Z,1,REGULAR,2pt,Jump Shot,[],203897,91.40932982917214,23.52941176470588,1610612741,22,23,2022-11-01T23:59:42Z,1190000,-132.0,28.0,1,right,MISS Z. LaVine 13' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,13.54,Missed,,,,,,,,,,,,,,,,,,
121,PT01M13.00S,2022-11-01T23:59:39.9Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612741,22,23,2022-11-01T23:59:42Z,1200000,,,0,,D. Jones Jr. REBOUND (Off:1 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,8-16 Left,,,120.0,2.0,1.0,1.0,,,,,,,,,,,,,,
122,PT01M13.00S,2022-11-01T23:59:39.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627884,94.40999984741211,50.0,1610612741,22,23,2022-11-01T23:59:46Z,1210000,0.0,0.0,1,right,MISS D. Jones Jr. tip Layup,[1627884],1610612741.0,CHI,tip,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
123,PT01M12.00S,2022-11-01T23:59:40.3Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612741,22,23,2022-11-01T23:59:46Z,1220000,,,0,,D. Jones Jr. REBOUND (Off:2 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,122.0,3.0,1.0,2.0,,,,,,,,,,,,,,
124,PT01M12.00S,2022-11-01T23:59:41.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627884,94.40999984741211,50.0,1610612741,22,25,2022-11-01T23:59:49Z,1230000,0.0,0.0,1,right,D. Jones Jr. tip Layup (2 PTS),[1627884],1610612741.0,CHI,tip,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
125,PT01M05.00S,2022-11-01T23:59:48.0Z,1,REGULAR,3pt,Jump Shot,[],201142,32.802233902759525,50.98039215686274,1610612751,25,25,2022-11-02T00:00:54Z,1240000,-5.0,256.0,1,left,K. Durant 25' 3PT pullup (12 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.58,Made,,,,,,,12.0,,,,,,,,,,,
126,PT00M54.20S,2022-11-02T00:00:01.6Z,1,REGULAR,foul,personal,[],1628410,,,1610612741,25,25,2022-11-02T00:00:26Z,1250000,,,0,,E. Sumner personal FOUL (1 PF),"[1628410, 1627884]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201246.0,,,,,,1.0,0.0,Jones Jr.,1627884.0,,,,
128,PT00M54.20S,2022-11-02T00:00:08.6Z,1,REGULAR,substitution,out,[],1629139,,,1610612741,25,25,2022-11-02T00:00:22Z,1270000,,,0,,SUB out: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT00M54.20S,2022-11-02T00:00:08.6Z,1,REGULAR,substitution,out,[],203925,,,1610612741,25,25,2022-11-02T00:00:22Z,1280000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT00M54.20S,2022-11-02T00:00:08.6Z,1,REGULAR,substitution,in,[],202681,,,1610612741,25,25,2022-11-02T00:00:22Z,1290000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT00M54.20S,2022-11-02T00:00:08.6Z,1,REGULAR,substitution,in,[],1626220,,,1610612741,25,25,2022-11-02T00:00:22Z,1300000,,,0,,SUB in: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M38.60S,2022-11-02T00:00:44.4Z,1,REGULAR,3pt,Jump Shot,[],1627884,89.56964520367937,2.941176470588235,1610612741,25,25,2022-11-02T00:00:49Z,1310000,-235.0,46.0,1,right,MISS D. Jones Jr. 3PT,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Left Corner 3,24+ Left,23.97,Missed,,,,,,,,,,,,,,,,,,
133,PT00M34.90S,2022-11-02T00:00:48.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,25,25,2022-11-02T00:00:49Z,1320000,,,0,,K. Durant REBOUND (Off:0 Def:4),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,132.0,4.0,4.0,0.0,,,,,,,,,,,,,,
134,PT00M24.60S,2022-11-02T00:00:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,17.16491458607096,59.55882352941176,1610612751,27,25,2022-11-02T00:01:01Z,1330000,-48.0,109.0,1,left,K. Durant 11' pullup Jump Shot (14 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,11.89,Made,,,,,,,14.0,,,,,,,,,,,
135,PT00M13.80S,2022-11-02T00:01:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,84.70762155059133,56.61764705882353,1610612741,27,25,2022-11-02T00:01:18Z,1340000,33.0,91.0,1,right,MISS A. Caruso 9' pullup Shot,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,9.7,Missed,,,,,,,,,,,,,,,,,,
136,PT00M10.60S,2022-11-02T00:01:15.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,27,25,2022-11-02T00:01:18Z,1350000,,,0,,K. Durant REBOUND (Off:0 Def:5),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,135.0,5.0,5.0,0.0,,,,,,,,,,,,,,
137,PT00M02.90S,2022-11-02T00:01:25.1Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,27,25,2022-11-02T00:01:30Z,1360000,,,0,,K. Irving step out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,step,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,203593.0,1.0,,,,,,,,,,,,
138,PT00M00.00S,2022-11-02T00:01:41.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,55.92969776609724,31.372549019607842,1610612741,27,25,2022-11-02T00:01:49Z,1370000,-93.0,362.0,1,right,MISS Z. LaVine 37' running pullup 3PT,[203897],1610612741.0,CHI,running pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,37.36,Missed,,,,,,,,,,,,,,,,,,
139,PT00M00.00S,2022-11-02T00:01:43.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,27,25,2022-11-02T00:01:43Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,138.0,,,,,,,,,,,,,,,,,
140,PT00M00.00S,2022-11-02T00:01:47.6Z,1,REGULAR,period,end,[],0,,,1610612741,27,25,2022-11-02T00:01:47Z,1390000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,out,['startperiod'],1628410,,,1610612741,27,25,2022-11-02T00:04:36Z,1400000,,,0,,SUB out: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612741,27,25,2022-11-02T00:04:36Z,1410000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612741,27,25,2022-11-02T00:04:36Z,1420000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,in,['startperiod'],1629139,,,1610612741,27,25,2022-11-02T00:04:36Z,1430000,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,in,['startperiod'],201988,,,1610612741,27,25,2022-11-02T00:04:36Z,1440000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-11-02T00:02:31.1Z,2,REGULAR,substitution,in,['startperiod'],1630172,,,1610612741,27,25,2022-11-02T00:04:36Z,1450000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-11-02T00:05:19.8Z,2,REGULAR,period,start,[],0,,,1610612751,27,25,2022-11-02T00:05:19Z,1460000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M43.00S,2022-11-02T00:05:36.5Z,2,REGULAR,3pt,Jump Shot,[],201988,20.97568988173456,8.823529411764707,1610612751,30,25,2022-11-02T00:05:41Z,1470000,206.0,145.0,1,left,P. Mills 25' 3PT  (3 PTS) (R. O'Neale 1 AST),"[201988, 1626220]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Right Center,25.17,Made,,,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,
150,PT11M33.00S,2022-11-02T00:05:48.4Z,2,REGULAR,foul,personal,[],202681,,,1610612741,30,25,2022-11-02T00:05:53Z,1490000,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1627936]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,201246.0,,,,,,1.0,0.0,Caruso,1627936.0,,,,
152,PT11M24.00S,2022-11-02T00:06:12.6Z,2,REGULAR,foul,personal,['2freethrow'],202681,,,1610612741,30,25,2022-11-02T00:06:20Z,1510000,,,0,,K. Irving shooting personal FOUL (2 PF) (Jones Jr. 2 FT),"[202681, 1627884]",1610612751.0,BKN,shooting,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,202058.0,,,,,,2.0,0.0,Jones Jr.,1627884.0,,,,
154,PT11M24.00S,2022-11-02T00:06:38.5Z,2,REGULAR,freethrow,1 of 2,[],1627884,,,1610612741,30,26,2022-11-02T00:06:38Z,1530000,,,0,,D. Jones Jr. Free Throw 1 of 2 (3 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
155,PT11M24.00S,2022-11-02T00:06:57.3Z,2,REGULAR,freethrow,2 of 2,[],1627884,,,1610612741,30,27,2022-11-02T00:06:57Z,1540000,,,0,,D. Jones Jr. Free Throw 2 of 2 (4 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
156,PT11M23.00S,2022-11-02T00:07:02.9Z,2,REGULAR,turnover,out-of-bounds,[],1630561,,,1610612751,30,27,2022-11-02T00:07:12Z,1550000,,,0,,D. Duke Jr. bad pass out-of-bounds TURNOVER (1 TO),[1630561],1610612751.0,BKN,bad pass,,,Duke Jr.,D. Duke Jr.,,,,,Mid-Range,8-16 Left,,,,,,,203593.0,1.0,,,,,,,,,,,,
158,PT11M18.00S,2022-11-02T00:07:22.8Z,2,REGULAR,violation,kicked ball,[],1629139,,,1610612741,30,27,2022-11-02T00:07:35Z,1570000,,,0,,Y. Watanabe kicked ball VIOLATION,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,202058.0,,,,,,,,,,,,,
159,PT11M12.00S,2022-11-02T00:07:40.5Z,2,REGULAR,foul,personal,['2freethrow'],201988,,,1610612741,30,27,2022-11-02T00:07:47Z,1580000,,,0,,P. Mills shooting personal FOUL (1 PF) (Dragic 2 FT),"[201988, 201609]",1610612751.0,BKN,shooting,,,Mills,P. Mills,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203593.0,,,,,,1.0,0.0,Dragic,201609.0,,,,
161,PT11M12.00S,2022-11-02T00:08:02.4Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],201609,,,1610612741,30,27,2022-11-02T00:08:02Z,1600000,,,0,,MISS G. Dragic Free Throw 1 of 2,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT11M12.00S,2022-11-02T00:08:02.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,30,27,2022-11-02T00:08:02Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,
163,PT11M12.00S,2022-11-02T00:08:14.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],201609,,,1610612741,30,28,2022-11-02T00:08:14Z,1620000,,,0,,G. Dragic Free Throw 2 of 2 (7 PTS),[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
164,PT10M54.00S,2022-11-02T00:08:34.5Z,2,REGULAR,3pt,Jump Shot,[],202681,23.078186596583443,10.53921568627451,1610612751,30,28,2022-11-02T00:08:39Z,1630000,197.0,164.0,1,left,MISS K. Irving 25' step back 3PT,[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
165,PT10M51.00S,2022-11-02T00:08:37.5Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,30,28,2022-11-02T00:08:39Z,1640000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,
166,PT10M41.00S,2022-11-02T00:08:47.1Z,2,REGULAR,3pt,Jump Shot,[],201609,68.9388961892247,74.75490196078431,1610612741,30,28,2022-11-02T00:08:50Z,1650000,124.0,239.0,1,right,MISS G. Dragic 26' 3PT,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
167,PT10M38.00S,2022-11-02T00:08:50.1Z,2,REGULAR,rebound,defensive,[],202681,,,1610612751,30,28,2022-11-02T00:08:50Z,1660000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,166.0,1.0,1.0,0.0,,,,,,,,,,,,,,
168,PT10M34.00S,2022-11-02T00:08:55.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630561,5.863994743758213,57.59803921568627,1610612751,30,28,2022-11-02T00:08:58Z,1670000,-38.0,3.0,1,left,MISS D. Duke Jr. driving Layup - blocked,"[1630561, 1630172]",1610612751.0,BKN,driving,,,Duke Jr.,D. Duke Jr.,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,Williams,1630172.0
