actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
86,PT05M02.00S,2023-11-09T01:26:22.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,7.178055190538765,51.71568627450981,1610612747,17,11,2023-11-09T01:26:27Z,850000,False,-9.0,15.0,1,left,R. Hachimura cutting DUNK (2 PTS) (D. Russell 2 AST),"[1629060, 1626156]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.73,Made,,,,2.0,,,,D. Russell,1626156.0,2.0,,,,,,,,
88,PT04M52.00S,2023-11-09T01:26:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612745,17,11,2023-11-09T01:26:49Z,870000,False,,,0,,C. Wood shooting personal FOUL (1 PF) (Green 2 FT),"[1626174, 201145]",1610612747.0,LAL,shooting,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2002.0,1.0,0.0,Green,201145.0,,,
90,PT04M52.00S,2023-11-09T01:27:09.2Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612745,18,11,2023-11-09T01:27:09Z,890000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
91,PT04M52.00S,2023-11-09T01:27:10.1Z,1,REGULAR,substitution,out,[],1627752,,,1610612745,18,11,2023-11-09T01:27:25Z,900000,False,,,0,,SUB out: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M52.00S,2023-11-09T01:27:10.1Z,1,REGULAR,substitution,in,[],1629629,,,1610612745,18,11,2023-11-09T01:27:25Z,910000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M52.00S,2023-11-09T01:27:09.2Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612745,18,11,2023-11-09T01:27:38Z,920000,False,,,0,,MISS J. Green Free Throw 2 of 2,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
94,PT04M51.00S,2023-11-09T01:27:10.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612747,18,11,2023-11-09T01:27:38Z,930000,False,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,,,,93.0,,3.0,3.0,0.0,,,,,,,,,,,
95,PT04M31.00S,2023-11-09T01:27:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,19.267411300919843,49.754901960784316,1610612747,18,11,2023-11-09T01:28:01Z,940000,False,1.0,129.0,1,left,MISS R. Hachimura 12' turnaround fadeaway Shot,[1629060],1610612747.0,LAL,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,12.86,Missed,,,,,,,,,,,,,,,,,,
96,PT04M30.00S,2023-11-09T01:27:54.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,18,11,2023-11-09T01:28:01Z,950000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,95.0,,3.0,3.0,0.0,,,,,,,,,,,
97,PT04M23.00S,2023-11-09T01:28:01.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631095,92.85479632063075,52.450980392156865,1610612745,20,11,2023-11-09T01:31:26Z,960000,False,12.0,15.0,1,right,J. Smith Jr. driving finger roll Layup (4 PTS),[1631095],1610612745.0,HOU,driving finger roll,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.92,Made,,,,4.0,,,,,,,,,,,,,,
98,PT04M09.00S,2023-11-09T01:28:15.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.283180026281208,17.15686274509804,1610612747,20,11,2023-11-09T01:53:04Z,970000,False,164.0,204.0,1,left,MISS D. Russell 26' pullup 3PT,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
99,PT04M08.00S,2023-11-09T01:28:16.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,20,11,2023-11-09T01:28:22Z,980000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,98.0,,3.0,3.0,0.0,,,,,,,,,,,
100,PT03M59.00S,2023-11-09T01:28:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630256,74.19513797634691,15.441176470588236,1610612745,20,11,2023-11-09T01:28:32Z,990000,False,-173.0,190.0,1,right,MISS J. Tate 25' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
101,PT03M58.00S,2023-11-09T01:28:26.0Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,20,11,2023-11-09T01:28:32Z,1000000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,100.0,,1.0,1.0,0.0,,,,,,,,,,,
102,PT03M51.00S,2023-11-09T01:28:34.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630224,,,1610612747,20,11,2023-11-09T01:28:39Z,1010000,False,,,0,,J. Green shooting personal FOUL (2 PF) (Hachimura 2 FT),"[1630224, 1629060]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2002.0,2.0,0.0,Hachimura,1629060.0,,,
105,PT03M51.00S,2023-11-09T01:29:07.3Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612747,20,12,2023-11-09T01:29:38Z,1030000,False,,,0,,R. Hachimura Free Throw 1 of 2 (3 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
106,PT03M51.00S,2023-11-09T01:29:07.9Z,1,REGULAR,substitution,out,[],1630224,,,1610612747,20,12,2023-11-09T01:29:17Z,1040000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M51.00S,2023-11-09T01:29:07.9Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,20,12,2023-11-09T01:29:17Z,1050000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M51.00S,2023-11-09T01:29:07.9Z,1,REGULAR,substitution,in,[],1627832,,,1610612747,20,12,2023-11-09T01:29:17Z,1060000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M51.00S,2023-11-09T01:29:07.9Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,20,12,2023-11-09T01:29:17Z,1070000,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M51.00S,2023-11-09T01:29:07.3Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612747,20,12,2023-11-09T01:29:38Z,1080000,False,,,0,,MISS R. Hachimura Free Throw 2 of 2,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
111,PT03M50.00S,2023-11-09T01:29:08.3Z,1,REGULAR,rebound,defensive,[],201145,,,1610612745,20,12,2023-11-09T01:29:38Z,1090000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,110.0,,1.0,1.0,0.0,,,,,,,,,,,
112,PT03M31.00S,2023-11-09T01:29:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,91.27792378449409,42.64705882352941,1610612745,20,12,2023-11-09T01:29:59Z,1100000,False,-37.0,29.0,1,right,MISS F. VanVleet driving Layup,[1627832],1610612745.0,HOU,driving,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
113,PT03M28.00S,2023-11-09T01:29:54.2Z,1,REGULAR,rebound,offensive,[],201145,,,1610612745,20,12,2023-11-09T01:29:54Z,1110000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,112.0,,2.0,1.0,1.0,,,,,,,,,,,
114,PT03M28.00S,2023-11-09T01:29:54.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201145,94.40999984741211,50.0,1610612745,20,12,2023-11-09T01:52:33Z,1120000,False,0.0,0.0,1,right,MISS J. Green putback Layup,[201145],1610612745.0,HOU,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
115,PT03M26.00S,2023-11-09T01:29:56.2Z,1,REGULAR,rebound,offensive,[],201145,,,1610612745,20,12,2023-11-09T01:52:33Z,1130000,False,,,0,,J. Green REBOUND (Off:2 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,114.0,,3.0,1.0,2.0,,,,,,,,,,,
116,PT03M26.00S,2023-11-09T01:29:55.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201145,94.40999984741211,50.0,1610612745,22,12,2023-11-09T01:51:17Z,1140000,False,0.0,0.0,1,right,J. Green putback Layup (3 PTS),[201145],1610612745.0,HOU,putback,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.0,Made,,,,3.0,,,,,,,,,,,,,,
117,PT03M12.00S,2023-11-09T01:30:09.8Z,1,REGULAR,3pt,Jump Shot,[],1630559,31.35676741130092,32.84313725490196,1610612747,22,12,2023-11-09T01:30:16Z,1150000,False,86.0,242.0,1,left,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
118,PT03M11.00S,2023-11-09T01:30:10.8Z,1,REGULAR,rebound,defensive,[],201145,,,1610612745,22,12,2023-11-09T01:30:16Z,1160000,False,,,0,,J. Green REBOUND (Off:2 Def:2),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,117.0,,4.0,2.0,2.0,,,,,,,,,,,
119,PT02M55.00S,2023-11-09T01:30:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,81.15965834428384,44.36274509803921,1610612745,22,12,2023-11-09T01:54:50Z,1170000,False,-28.0,125.0,1,right,MISS J. Smith Jr. 12' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.78,Missed,,,,,,,,,,,,,,,,,,
120,PT02M54.00S,2023-11-09T01:30:28.2Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,22,12,2023-11-09T01:39:25Z,1180000,False,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,In The Paint (Non-RA),8-16 Center,,,,,119.0,,1.0,0.0,1.0,,,,,,,,,,,
121,PT02M53.00S,2023-11-09T01:30:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,93.9060446780552,45.83333333333333,1610612745,24,12,2023-11-09T01:30:53Z,1190000,False,-21.0,5.0,1,right,J. Tate Layup (2 PTS) (A. Holiday 1 AST),"[1630256, 1628988]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,2.13,Made,,,,2.0,,,,A. Holiday,1628988.0,1.0,,,,,,,,
123,PT02M29.00S,2023-11-09T01:30:55.3Z,1,REGULAR,turnover,traveling,[],1630559,,,1610612747,24,12,2023-11-09T01:31:10Z,1210000,False,,,0,,A. Reaves traveling TURNOVER (1 TO),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2002.0,,,,,1.0,,
124,PT02M29.00S,2023-11-09T01:31:00.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,24,12,2023-11-09T01:31:00Z,1220000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,out,[],1628988,,,1610612745,24,12,2023-11-09T01:34:02Z,1230000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,out,[],1631095,,,1610612745,24,12,2023-11-09T01:34:02Z,1240000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,out,[],1631108,,,1610612745,24,12,2023-11-09T01:34:02Z,1250000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,out,[],1626174,,,1610612745,24,12,2023-11-09T01:34:02Z,1260000,False,,,0,,SUB out: C. Wood,[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,in,[],1628415,,,1610612745,24,12,2023-11-09T01:34:02Z,1270000,False,,,0,,SUB in: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,24,12,2023-11-09T01:34:02Z,1280000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,in,[],2544,,,1610612745,24,12,2023-11-09T01:34:02Z,1290000,False,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M29.00S,2023-11-09T01:33:45.0Z,1,REGULAR,substitution,in,[],1630658,,,1610612745,24,12,2023-11-09T01:34:02Z,1300000,False,,,0,,SUB in: C. Castleton,[1630658],1610612747.0,LAL,,,,Castleton,C. Castleton,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M17.00S,2023-11-09T01:34:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201145,93.51182654402102,54.65686274509803,1610612745,26,12,2023-11-09T01:34:23Z,1310000,False,23.0,8.0,1,right,J. Green driving Layup (5 PTS),[201145],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.48,Made,,,,5.0,,,,,,,,,,,,,,
136,PT02M00.00S,2023-11-09T01:34:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,13.091327201051248,50.98039215686274,1610612747,26,12,2023-11-09T01:34:44Z,1320000,False,-5.0,71.0,1,left,MISS L. James 7' driving Layup - blocked,"[2544, 1630256]",1610612747.0,LAL,driving,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,7.08,Missed,Tate,1630256.0,,,,,,,,,,,,,,,,
137,PT02M00.00S,2023-11-09T01:34:34.2Z,1,REGULAR,block,,[],1630256,,,1610612747,26,12,2023-11-09T01:34:36Z,1330000,False,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
138,PT01M59.00S,2023-11-09T01:34:35.2Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,26,12,2023-11-09T01:34:44Z,1340000,False,,,0,,L. James REBOUND (Off:1 Def:0),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,136.0,,1.0,0.0,1.0,,,,,,,,,,,
139,PT01M59.00S,2023-11-09T01:34:38.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631106,,,1610612747,26,12,2023-11-09T01:34:50Z,1350000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (James 2 FT),"[1631106, 2544]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202027.0,1.0,0.0,James,2544.0,,,
141,PT01M59.00S,2023-11-09T01:35:05.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2544,,,1610612747,26,12,2023-11-09T01:35:05Z,1370000,False,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
142,PT01M59.00S,2023-11-09T01:35:05.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,26,12,2023-11-09T01:35:05Z,1380000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,
143,PT01M59.00S,2023-11-09T01:35:06.9Z,1,REGULAR,substitution,out,[],201145,,,1610612747,26,12,2023-11-09T01:35:11Z,1390000,False,,,0,,SUB out: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M59.00S,2023-11-09T01:35:06.9Z,1,REGULAR,substitution,in,[],1630578,,,1610612747,26,12,2023-11-09T01:35:11Z,1400000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M59.00S,2023-11-09T01:35:25.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2544,,,1610612747,26,13,2023-11-09T01:35:25Z,1410000,False,,,0,,L. James Free Throw 2 of 2 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
146,PT01M41.00S,2023-11-09T01:35:47.7Z,1,REGULAR,foul,personal,[],1630658,,,1610612745,26,13,2023-11-09T01:36:01Z,1420000,False,,,0,,C. Castleton personal FOUL (1 PF),"[1630658, 1630578]",1610612747.0,LAL,,,,Castleton,C. Castleton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202027.0,1.0,0.0,Sengun,1630578.0,,,
148,PT01M29.00S,2023-11-09T01:36:22.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,87.72996057818659,50.0,1610612745,28,13,2023-11-09T01:36:26Z,1440000,False,0.0,63.0,1,right,A. Sengun 6' driving Hook (4 PTS) (F. VanVleet 3 AST),"[1630578, 1627832]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,6.28,Made,,,,4.0,,,,F. VanVleet,1627832.0,3.0,,,,,,,,
150,PT01M16.00S,2023-11-09T01:36:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629060,32.14520367936925,63.725490196078425,1610612747,28,16,2023-11-09T01:36:39Z,1460000,False,-69.0,250.0,1,left,R. Hachimura 25' 3PT  (6 PTS) (A. Reaves 1 AST),"[1629060, 1630559]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,25.9,Made,,,,6.0,,,,A. Reaves,1630559.0,1.0,,,,,,,,
152,PT00M58.90S,2023-11-09T01:36:52.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,68.28186596583443,60.78431372549019,1610612745,28,16,2023-11-09T01:37:02Z,1480000,False,54.0,246.0,1,right,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,25.15,Missed,,,,,,,,,,,,,,,,,,
153,PT00M56.50S,2023-11-09T01:36:55.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,28,16,2023-11-09T01:37:02Z,1490000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,,152.0,,1.0,1.0,0.0,,,,,,,,,,,
154,PT00M46.00S,2023-11-09T01:37:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.652431011826544,48.03921568627451,1610612747,28,18,2023-11-09T01:37:12Z,1500000,False,10.0,10.0,1,left,L. James driving Layup (5 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,1.4,Made,,,,5.0,,,,,,,,,,,,,,
155,PT00M32.60S,2023-11-09T01:37:21.3Z,1,REGULAR,3pt,Jump Shot,[],1631106,94.69448094612353,96.81372549019608,1610612745,31,18,2023-11-09T01:37:30Z,1510000,False,234.0,-3.0,1,right,T. Eason 3PT  (3 PTS) (A. Sengun 2 AST),"[1631106, 1630578]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Right Corner 3,24+ Right,23.41,Made,,,,3.0,,,,A. Sengun,1630578.0,2.0,,,,,,,,
157,PT00M15.80S,2023-11-09T01:37:42.1Z,1,REGULAR,3pt,Jump Shot,[],1629629,9.280551905387648,3.1862745098039214,1610612747,31,18,2023-11-09T01:37:51Z,1530000,False,234.0,35.0,1,left,MISS C. Reddish 3PT,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
158,PT00M14.00S,2023-11-09T01:37:45.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,31,18,2023-11-09T01:37:45Z,1540000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Right Corner 3,24+ Right,,,,,157.0,,,,,,,,,,,,,,,
160,PT00M02.80S,2023-11-09T01:38:04.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630658,,,1610612745,31,18,2023-11-09T01:38:09Z,1560000,False,,,0,,C. Castleton shooting personal FOUL (2 PF) (Sengun 2 FT),"[1630658, 1630578]",1610612747.0,LAL,shooting,,,Castleton,C. Castleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1626300.0,2.0,0.0,Sengun,1630578.0,,,
163,PT00M02.80S,2023-11-09T01:38:38.4Z,1,REGULAR,substitution,out,[],1630658,,,1610612745,31,18,2023-11-09T01:38:42Z,1590000,False,,,0,,SUB out: C. Castleton,[1630658],1610612747.0,LAL,,,,Castleton,C. Castleton,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M02.80S,2023-11-09T01:38:38.4Z,1,REGULAR,substitution,in,[],1627752,,,1610612745,31,18,2023-11-09T01:38:42Z,1600000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M02.80S,2023-11-09T01:38:42.8Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,32,18,2023-11-09T01:46:58Z,1602500,False,,,0,,A. Sengun Free Throw 1 of 2 (5 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
165,PT00M02.80S,2023-11-09T01:38:42.8Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,32,18,2023-11-09T01:46:58Z,1603750,False,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
166,PT00M02.60S,2023-11-09T01:38:43.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,32,18,2023-11-09T01:46:58Z,1604375,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,165.0,,2.0,2.0,0.0,,,,,,,,,,,
167,PT00M00.20S,2023-11-09T01:39:24.8Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1628415,,,1610612747,32,18,2023-11-09T01:41:04Z,1605000,False,,,0,,D. Brooks shooting personal FOUL (2 PF) (Hachimura 3 FT),"[1628415, 1629060]",1610612745.0,HOU,shooting,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,202027.0,2.0,0.0,Hachimura,1629060.0,,,
170,PT00M00.20S,2023-11-09T01:41:33.8Z,1,REGULAR,freethrow,1 of 3,[],1629060,,,1610612747,32,18,2023-11-09T01:43:03Z,1660000,False,,,0,,MISS R. Hachimura Free Throw 1 of 3,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
171,PT00M00.20S,2023-11-09T01:41:33.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,32,18,2023-11-09T01:43:03Z,1670000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,
172,PT00M00.20S,2023-11-09T01:41:33.8Z,1,REGULAR,freethrow,2 of 3,[],1629060,,,1610612747,32,19,2023-11-09T01:43:03Z,1680000,False,,,0,,R. Hachimura Free Throw 2 of 3 (7 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,7.0,,,,,,,,,,,,,,
173,PT00M00.20S,2023-11-09T01:41:57.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612747,32,19,2023-11-09T01:42:00Z,1690000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M00.20S,2023-11-09T01:41:57.1Z,1,REGULAR,substitution,in,[],1631095,,,1610612747,32,19,2023-11-09T01:42:00Z,1700000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
