actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
88,PT04M13.00S,2022-04-08T23:54:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.389618922470433,44.6078431372549,1610612745,13,19,2022-04-08T23:54:54Z,870000,27.0,8.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1630173]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,2.8,Missed,,,,,,,,,,,,,,,,,Achiuwa,1630173.0
89,PT04M13.00S,2022-04-08T23:54:47.7Z,1,REGULAR,block,,[],1630173,,,1610612745,13,19,2022-04-08T23:54:50Z,880000,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M10.00S,2022-04-08T23:54:50.7Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,13,19,2022-04-08T23:54:54Z,890000,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,
91,PT04M09.00S,2022-04-08T23:54:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630224,7.5722733245729295,49.50980392156863,1610612745,13,21,2022-04-09T00:00:40Z,900000,2.0,19.0,1,left,J. Green putback Layup (4 PTS),[1630224],1610612745.0,HOU,putback,,,Green,J. Green,,,,,1.89,Made,4.0,,,,,,,,,,,,,,,,,
92,PT03M59.00S,2022-04-08T23:55:01.6Z,1,REGULAR,3pt,Jump Shot,[],1630173,74.45795006570303,11.76470588235294,1610612761,13,21,2022-04-08T23:55:06Z,910000,-191.0,188.0,1,right,MISS P. Achiuwa 26' 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,
93,PT03M57.00S,2022-04-08T23:55:03.6Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,13,21,2022-04-08T23:55:06Z,920000,,,0,,G. Mathews REBOUND (Off:0 Def:3),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,92.0,3.0,3.0,0.0,,,,,,,,,,
94,PT03M49.00S,2022-04-08T23:55:12.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,17.0335085413929,75.49019607843137,1610612745,13,21,2022-04-08T23:55:19Z,930000,-127.0,108.0,1,left,MISS J. Green 16' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,16.68,Missed,,,,,,,,,,,,,,,,,,
95,PT03M45.00S,2022-04-08T23:55:16.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,13,21,2022-04-08T23:55:19Z,940000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,
96,PT03M38.00S,2022-04-08T23:55:24.4Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612761,13,21,2022-04-08T23:55:34Z,950000,,,0,,A. Sengun shooting personal FOUL (2 PF) (Boucher 2 FT),"[1630578, 1628449]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,,,,,,,,,,,202026.0,,2.0,0.0,Boucher,1628449.0,,,,
98,PT03M38.00S,2022-04-08T23:55:54.3Z,1,REGULAR,freethrow,1 of 2,[],1628449,,,1610612761,14,21,2022-04-08T23:55:54Z,970000,,,0,,C. Boucher Free Throw 1 of 2 (1 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
99,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,out,[],1629717,,,1610612761,14,21,2022-04-08T23:56:08Z,980000,,,0,,SUB out: A. Brooks,[1629717],1610612761.0,TOR,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,out,[],1630256,,,1610612761,14,21,2022-04-08T23:56:08Z,990000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,out,[],1629726,,,1610612761,14,21,2022-04-08T23:56:08Z,1000000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,in,[],1630201,,,1610612761,14,21,2022-04-08T23:56:08Z,1010000,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,in,[],1630231,,,1610612761,14,21,2022-04-08T23:56:08Z,1020000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M38.00S,2022-04-08T23:55:55.1Z,1,REGULAR,substitution,in,[],1630528,,,1610612761,14,21,2022-04-08T23:56:08Z,1030000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M38.00S,2022-04-08T23:56:17.1Z,1,REGULAR,freethrow,2 of 2,[],1628449,,,1610612761,15,21,2022-04-08T23:56:17Z,1040000,,,0,,C. Boucher Free Throw 2 of 2 (2 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
106,PT03M27.00S,2022-04-08T23:56:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,15,21,2022-04-08T23:56:35Z,1050000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M19.00S,2022-04-08T23:56:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,7.178055190538765,47.05882352941176,1610612745,15,23,2022-04-08T23:57:01Z,1060000,15.0,15.0,1,left,A. Sengun turnaround bank Hook (6 PTS),[1630578],1610612745.0,HOU,turnaround bank,,,Sengun,A. Sengun,,,,,2.1,Made,6.0,,,,,,,,,,,,,,,,,
108,PT03M09.00S,2022-04-08T23:57:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.30026281208936,51.9607843137255,1610612761,15,23,2022-04-08T23:57:05Z,1070000,10.0,1.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,0.99,Missed,,,,,,,,,,,,,,,,,,
109,PT03M09.00S,2022-04-08T23:57:00.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,15,23,2022-04-08T23:57:05Z,1080000,,,0,,J. Green REBOUND (Off:1 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,108.0,3.0,2.0,1.0,,,,,,,,,,
110,PT02M57.00S,2022-04-08T23:57:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629645,20.18725361366623,6.61764705882353,1610612745,15,26,2022-04-08T23:57:18Z,1090000,217.0,137.0,1,left,K. Porter Jr. 25' 3PT step back (7 PTS),[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,25.67,Made,7.0,,,,,,,,,,,,,,,,,
111,PT02M40.00S,2022-04-08T23:57:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.51182654402102,51.470588235294116,1610612761,15,26,2022-04-08T23:57:35Z,1100000,7.0,8.0,1,right,MISS P. Siakam driving Layup - blocked,"[1627783, 1630231]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,1.13,Missed,,,,,,,,,,,,,,,,,Martin Jr.,1630231.0
112,PT02M40.00S,2022-04-08T23:57:28.8Z,1,REGULAR,block,,[],1630231,,,1610612761,15,26,2022-04-08T23:57:31Z,1110000,,,0,,K. Martin Jr. BLOCK (1 BLK),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M38.00S,2022-04-08T23:57:30.8Z,1,REGULAR,rebound,defensive,[],1630528,,,1610612745,15,26,2022-04-08T23:57:35Z,1120000,,,0,,J. Christopher REBOUND (Off:0 Def:1),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,,
114,PT02M35.00S,2022-04-08T23:57:35.7Z,1,REGULAR,turnover,out-of-bounds,[],1630528,,,1610612745,15,26,2022-04-08T23:57:47Z,1130000,,,0,,J. Christopher bad pass out-of-bounds TURNOVER (1 TO),[1630528],1610612745.0,HOU,bad pass,,,Christopher,J. Christopher,,,,,,,,,,,,,,,2004.0,1.0,,,,,,,,
115,PT02M35.00S,2022-04-08T23:57:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,15,26,2022-04-08T23:57:42Z,1140000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M35.00S,2022-04-08T23:59:20.2Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,15,26,2022-04-09T00:00:28Z,1150000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M35.00S,2022-04-08T23:59:20.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,15,26,2022-04-09T00:00:28Z,1160000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M35.00S,2022-04-08T23:59:20.2Z,1,REGULAR,substitution,in,[],1630551,,,1610612761,15,26,2022-04-09T00:00:28Z,1170000,,,0,,SUB in: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M35.00S,2022-04-08T23:59:20.2Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,15,26,2022-04-09T00:00:28Z,1180000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M10.00S,2022-04-09T00:01:00.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628449,93.9060446780552,4.411764705882353,1610612761,15,26,2022-04-09T00:01:04Z,1190000,-228.0,5.0,1,right,MISS C. Boucher 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
121,PT02M08.00S,2022-04-09T00:01:02.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,15,26,2022-04-09T00:01:04Z,1200000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,120.0,3.0,3.0,0.0,,,,,,,,,,
122,PT02M04.00S,2022-04-09T00:01:06.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,23.603810775295663,89.95098039215686,1610612745,15,26,2022-04-09T00:01:15Z,1210000,-200.0,169.0,1,left,MISS J. Green 26' running 3PT,[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,
123,PT02M01.00S,2022-04-09T00:01:09.1Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,15,26,2022-04-09T00:01:15Z,1220000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,122.0,4.0,3.0,1.0,,,,,,,,,,
124,PT02M00.00S,2022-04-09T00:01:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629645,7.30946123521682,43.38235294117647,1610612745,15,28,2022-04-09T00:01:18Z,1230000,33.0,16.0,1,left,K. Porter Jr. putback Layup (9 PTS),[1629645],1610612745.0,HOU,putback,,,Porter Jr.,K. Porter Jr.,,,,,3.69,Made,9.0,,,,,,,,,,,,,,,,,
125,PT01M43.00S,2022-04-09T00:01:27.5Z,1,REGULAR,3pt,Jump Shot,[],1630201,66.44218134034165,57.35294117647059,1610612761,15,28,2022-04-09T00:01:32Z,1240000,37.0,263.0,1,right,MISS M. Flynn 26' 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,
126,PT01M41.00S,2022-04-09T00:01:29.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,15,28,2022-04-09T00:01:32Z,1250000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,
127,PT01M41.00S,2022-04-09T00:01:32.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,15,28,2022-04-09T00:01:32Z,1260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M41.00S,2022-04-09T00:01:34.7Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,15,28,2022-04-09T00:01:39Z,1270000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M41.00S,2022-04-09T00:01:34.7Z,1,REGULAR,substitution,in,[],1630586,,,1610612745,15,28,2022-04-09T00:01:39Z,1280000,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M19.00S,2022-04-09T00:02:06.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,32.40801576872536,44.85294117647059,1610612745,15,28,2022-04-09T00:02:11Z,1290000,26.0,252.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
131,PT01M15.00S,2022-04-09T00:02:10.9Z,1,REGULAR,rebound,offensive,[],1630586,,,1610612745,15,28,2022-04-09T00:02:11Z,1300000,,,0,,U. Garuba REBOUND (Off:1 Def:0),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,130.0,1.0,0.0,1.0,,,,,,,,,,
132,PT01M14.00S,2022-04-09T00:02:12.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630528,32.013797634691194,68.62745098039215,1610612745,15,28,2022-04-09T00:02:16Z,1310000,-93.0,248.0,1,left,MISS J. Christopher 26' 3PT,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,
133,PT01M10.00S,2022-04-09T00:02:16.0Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612761,15,28,2022-04-09T00:02:16Z,1320000,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,
134,PT01M07.00S,2022-04-09T00:02:18.1Z,1,REGULAR,turnover,lost ball,[],1630551,,,1610612761,15,28,2022-04-09T00:02:24Z,1330000,,,0,,J. Champagnie lost ball TURNOVER (1 TO),"[1630551, 1630586]",1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,1.0,,,,,Garuba,1630586.0,,
135,PT01M07.00S,2022-04-09T00:02:18.1Z,1,REGULAR,steal,,[],1630586,,,1610612745,15,28,2022-04-09T00:02:21Z,1340000,,,0,,U. Garuba STEAL (1 STL),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M02.00S,2022-04-09T00:02:23.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,33.327858081471746,48.03921568627451,1610612745,15,31,2022-04-09T00:02:27Z,1350000,10.0,261.0,1,left,K. Porter Jr. 26' 3PT  (12 PTS) (U. Garuba 1 AST),"[1629645, 1630586]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,26.1,Made,12.0,U. Garuba,1630586.0,1.0,,,,,,,,,,,,,,
138,PT00M53.90S,2022-04-09T00:02:34.0Z,1,REGULAR,foul,personal,['2freethrow'],1630231,,,1610612761,15,31,2022-04-09T00:03:13Z,1370000,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Achiuwa 2 FT),"[1630231, 1630173]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,2004.0,,1.0,0.0,Achiuwa,1630173.0,,,,
140,PT00M53.90S,2022-04-09T00:02:59.0Z,1,REGULAR,freethrow,1 of 2,[],1630173,,,1610612761,16,31,2022-04-09T00:02:59Z,1390000,,,0,,P. Achiuwa Free Throw 1 of 2 (1 PTS),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
141,PT00M53.90S,2022-04-09T00:03:12.3Z,1,REGULAR,freethrow,2 of 2,[],1630173,,,1610612761,17,31,2022-04-09T00:03:12Z,1400000,,,0,,P. Achiuwa Free Throw 2 of 2 (2 PTS),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
142,PT00M46.30S,2022-04-09T00:03:29.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630586,7.5722733245729295,48.28431372549019,1610612745,17,33,2022-04-09T00:03:34Z,1410000,9.0,19.0,1,left,U. Garuba cutting DUNK (2 PTS) (J. Green 3 AST),"[1630586, 1630224]",1610612745.0,HOU,cutting,,,Garuba,U. Garuba,,,,,2.06,Made,2.0,J. Green,1630224.0,3.0,,,,,,,,,,,,,,
144,PT00M34.60S,2022-04-09T00:03:48.8Z,1,REGULAR,2pt,Jump Shot,[],1630201,74.72076215505913,69.6078431372549,1610612761,17,33,2022-04-09T00:03:55Z,1430000,98.0,185.0,1,right,MISS M. Flynn 20' pullup Shot,[1630201],1610612761.0,TOR,pullup,,,Flynn,M. Flynn,,,,,20.94,Missed,,,,,,,,,,,,,,,,,,
145,PT00M29.70S,2022-04-09T00:03:53.7Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,17,33,2022-04-09T00:03:55Z,1440000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:4),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,144.0,5.0,4.0,1.0,,,,,,,,,,
146,PT00M10.50S,2022-04-09T00:04:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,25.04927726675427,17.401960784313726,1610612745,17,36,2022-04-09T00:04:17Z,1450000,163.0,183.0,1,left,K. Porter Jr. 24' 3PT pullup (15 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,24.51,Made,15.0,,,,,,,,,,,,,,,,,
147,PT00M01.50S,2022-04-09T00:04:25.3Z,1,REGULAR,3pt,Jump Shot,[],1630551,93.24901445466492,4.166666666666666,1610612761,20,36,2022-04-09T00:04:29Z,1460000,-229.0,11.0,1,right,J. Champagnie 3PT  (3 PTS) (M. Flynn 1 AST),"[1630551, 1630201]",1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,22.95,Made,3.0,M. Flynn,1630201.0,1.0,,,,,,,,,,,,,,
149,PT00M00.30S,2022-04-09T00:04:33.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,85.23324572930355,79.65686274509804,1610612745,20,36,2022-04-09T00:04:49Z,1480000,-148.0,749.0,1,left,MISS J. Green 76' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,76.32,Missed,,,,,,,,,,,,,,,,,,
150,PT00M00.10S,2022-04-09T00:04:33.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,20,36,2022-04-09T00:04:49Z,1490000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,
151,PT00M00.00S,2022-04-09T00:04:39.3Z,1,REGULAR,period,end,[],0,,,1610612745,20,36,2022-04-09T00:04:39Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-04-09T00:05:17.9Z,2,REGULAR,substitution,out,['startperiod'],1630224,,,1610612745,20,36,2022-04-09T00:07:05Z,1510000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-04-09T00:05:17.9Z,2,REGULAR,substitution,in,['startperiod'],1630227,,,1610612745,20,36,2022-04-09T00:07:05Z,1520000,,,0,,SUB in: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-04-09T00:07:23.1Z,2,REGULAR,period,start,[],0,,,1610612745,20,36,2022-04-09T00:07:23Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M46.00S,2022-04-09T00:07:36.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630528,6.521024967148489,46.07843137254902,1610612745,20,38,2022-04-09T00:07:42Z,1540000,20.0,9.0,1,left,J. Christopher driving finger roll Layup (2 PTS) (K. Martin Jr. 1 AST),"[1630528, 1630231]",1610612745.0,HOU,driving finger roll,,,Christopher,J. Christopher,,,,,2.15,Made,2.0,K. Martin Jr.,1630231.0,1.0,,,,,,,,,,,,,,
157,PT11M29.00S,2022-04-09T00:07:53.0Z,2,REGULAR,turnover,bad pass,[],1630567,,,1610612761,20,38,2022-04-09T00:07:57Z,1560000,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1630528]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,1.0,,,,,Christopher,1630528.0,,
158,PT11M29.00S,2022-04-09T00:07:53.0Z,2,REGULAR,steal,,[],1630528,,,1610612745,20,38,2022-04-09T00:07:54Z,1570000,,,0,,J. Christopher STEAL (1 STL),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M25.00S,2022-04-09T00:07:56.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629645,6.783837056504599,49.754901960784316,1610612745,20,40,2022-04-09T00:08:03Z,1580000,1.0,11.0,1,left,K. Porter Jr. running finger roll Layup (17 PTS) (J. Christopher 1 AST),"[1629645, 1630528]",1610612745.0,HOU,running finger roll,,,Porter Jr.,K. Porter Jr.,,,,,1.14,Made,17.0,J. Christopher,1630528.0,1.0,,,,,,,,,,,,,,
161,PT11M18.00S,2022-04-09T00:08:04.2Z,2,REGULAR,3pt,Jump Shot,[],1630173,88.25558475689881,96.32352941176471,1610612761,23,40,2022-04-09T00:08:09Z,1600000,232.0,58.0,1,right,P. Achiuwa 3PT  (5 PTS) (S. Barnes 1 AST),"[1630173, 1630567]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,23.87,Made,5.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
163,PT11M03.00S,2022-04-09T00:08:18.3Z,2,REGULAR,3pt,Jump Shot,[],1630231,23.73521681997372,87.5,1610612745,23,40,2022-04-09T00:08:23Z,1620000,-188.0,171.0,1,left,MISS K. Martin Jr. 25' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,
164,PT11M02.00S,2022-04-09T00:08:19.3Z,2,REGULAR,rebound,offensive,[],1630227,,,1610612745,23,40,2022-04-09T00:08:23Z,1630000,,,0,,D. Nix REBOUND (Off:1 Def:0),[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,163.0,1.0,0.0,1.0,,,,,,,,,,
165,PT10M59.00S,2022-04-09T00:08:22.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629645,32.14520367936925,44.85294117647059,1610612745,23,40,2022-04-09T00:08:27Z,1640000,26.0,250.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
166,PT10M55.00S,2022-04-09T00:08:26.8Z,2,REGULAR,rebound,defensive,[],1630551,,,1610612761,23,40,2022-04-09T00:08:27Z,1650000,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,165.0,2.0,2.0,0.0,,,,,,,,,,
167,PT10M41.00S,2022-04-09T00:08:40.6Z,2,REGULAR,3pt,Jump Shot,[],1628449,78.66294349540078,4.6568627450980395,1610612761,23,40,2022-04-09T00:08:45Z,1660000,-227.0,148.0,1,right,MISS C. Boucher 27' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,27.08,Missed,,,,,,,,,,,,,,,,,,
168,PT10M38.00S,2022-04-09T00:08:43.6Z,2,REGULAR,rebound,defensive,[],1630528,,,1610612745,23,40,2022-04-09T00:08:45Z,1670000,,,0,,J. Christopher REBOUND (Off:0 Def:2),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,
169,PT10M36.00S,2022-04-09T00:08:45.8Z,2,REGULAR,turnover,lost ball,[],1630528,,,1610612745,23,40,2022-04-09T00:08:50Z,1680000,,,0,,J. Christopher lost ball TURNOVER (2 TO),"[1630528, 1630551]",1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,2.0,,,,,Champagnie,1630551.0,,
170,PT10M36.00S,2022-04-09T00:08:45.8Z,2,REGULAR,steal,,[],1630551,,,1610612761,23,40,2022-04-09T00:08:48Z,1690000,,,0,,J. Champagnie STEAL (1 STL),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,
171,PT10M32.00S,2022-04-09T00:08:49.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630551,80.1084099868594,4.901960784313726,1610612761,23,40,2022-04-09T00:08:54Z,1700000,-225.0,134.0,1,right,MISS J. Champagnie 26' 3PT,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,
