actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
91,PT04M38.00S,2021-12-11T00:54:50.9Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612761,23,10,2021-12-11T00:54:57Z,910000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Siakam 2 FT),"[1629011, 1627783]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,1627964.0,,,,,,,1.0,0.0,Siakam,1627783.0,,,
93,PT04M38.00S,2021-12-11T00:55:21.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627783,,,1610612761,24,10,2021-12-11T00:55:21Z,930000,,,0,,P. Siakam Free Throw 1 of 2 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
94,PT04M38.00S,2021-12-11T00:55:22.1Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,24,10,2021-12-11T00:55:27Z,940000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M38.00S,2021-12-11T00:55:22.1Z,1,REGULAR,substitution,out,[],202692,,,1610612761,24,10,2021-12-11T00:55:27Z,950000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M38.00S,2021-12-11T00:55:22.1Z,1,REGULAR,substitution,in,[],1630551,,,1610612761,24,10,2021-12-11T00:55:27Z,960000,,,0,,SUB in: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M38.00S,2021-12-11T00:55:22.1Z,1,REGULAR,substitution,in,[],201565,,,1610612761,24,10,2021-12-11T00:55:27Z,970000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M38.00S,2021-12-11T00:55:48.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627783,,,1610612761,25,10,2021-12-11T00:55:48Z,980000,,,0,,P. Siakam Free Throw 2 of 2 (4 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
99,PT04M16.00S,2021-12-11T00:56:13.7Z,1,REGULAR,3pt,Jump Shot,[],201565,7.966491458607096,1.9607843137254901,1610612752,25,10,2021-12-11T01:01:12Z,990000,240.0,22.0,1,left,MISS D. Rose 24' 3PT,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,24.12,Missed,,,,,,,,,,,,,,,,,,,
100,PT04M12.00S,2021-12-11T00:56:17.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,25,10,2021-12-11T00:56:21Z,1000000,,,0,,P. Siakam REBOUND (Off:0 Def:5),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,99.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
101,PT04M02.00S,2021-12-11T00:56:27.0Z,1,REGULAR,2pt,Jump Shot,[],1627783,89.96386333771353,72.79411764705883,1610612761,25,10,2021-12-11T00:56:32Z,1010000,114.0,42.0,1,right,MISS P. Siakam 12' turnaround fadeaway Shot,[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,12.14,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M59.00S,2021-12-11T00:56:30.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,25,10,2021-12-11T00:56:32Z,1020000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
103,PT03M47.00S,2021-12-11T00:56:42.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,7.440867279894875,95.09803921568627,1610612752,25,10,2021-12-11T00:56:47Z,1030000,-225.0,17.0,1,left,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.62,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M44.00S,2021-12-11T00:56:45.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,25,10,2021-12-11T00:56:47Z,1040000,,,0,,P. Siakam REBOUND (Off:0 Def:6),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,103.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
105,PT03M32.00S,2021-12-11T00:56:56.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,68.41327201051249,67.15686274509804,1610612761,25,10,2021-12-11T00:57:01Z,1050000,86.0,244.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
106,PT03M29.00S,2021-12-11T00:56:59.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,25,10,2021-12-11T00:57:01Z,1060000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
107,PT03M13.00S,2021-12-11T00:57:16.1Z,1,REGULAR,3pt,Jump Shot,[],203095,32.14520367936925,19.852941176470587,1610612752,25,10,2021-12-11T00:57:20Z,1070000,151.0,250.0,1,left,MISS E. Fournier 29' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,29.17,Missed,,,,,,,,,,,,,,,,,,,
108,PT03M10.00S,2021-12-11T00:57:19.1Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612761,25,10,2021-12-11T00:57:20Z,1080000,,,0,,Y. Watanabe REBOUND (Off:0 Def:1),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
109,PT03M02.00S,2021-12-11T00:57:26.7Z,1,REGULAR,2pt,Jump Shot,[],1629018,74.06373193166885,52.20588235294118,1610612761,27,10,2021-12-11T00:57:30Z,1090000,11.0,191.0,1,right,G. Trent Jr. 19' pullup Jump Shot (5 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,19.16,Made,,,,,5.0,,,,,,,,,,,,,,
110,PT02M46.00S,2021-12-11T00:57:42.4Z,1,REGULAR,3pt,Jump Shot,[],201565,7.178055190538765,2.696078431372549,1610612752,27,10,2021-12-11T00:57:46Z,1100000,237.0,15.0,1,left,MISS D. Rose 3PT,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
111,PT02M44.00S,2021-12-11T00:57:44.4Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612761,27,10,2021-12-11T00:57:46Z,1110000,,,0,,Y. Watanabe REBOUND (Off:0 Def:2),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,110.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
112,PT02M34.00S,2021-12-11T00:57:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,71.82982917214193,14.705882352941178,1610612761,30,10,2021-12-11T00:57:59Z,1120000,-176.0,212.0,1,right,G. Trent Jr. 27' 3PT  (8 PTS) (F. VanVleet 4 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,27.61,Made,,,,,8.0,,F. VanVleet,1627832.0,4.0,,,,,,,,,,
114,PT02M22.00S,2021-12-11T00:58:10.5Z,1,REGULAR,turnover,out-of-bounds,[],201565,,,1610612752,30,10,2021-12-11T00:58:22Z,1140000,,,0,,D. Rose lost ball out-of-bounds TURNOVER (1 TO),[201565],1610612752.0,NYK,lost ball,,,Rose,D. Rose,,,,,,,,,,,,2004.0,,,,1.0,,,,,,,,,
115,PT02M22.00S,2021-12-11T00:58:16.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,30,10,2021-12-11T00:58:16Z,1150000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M22.00S,2021-12-11T00:58:37.0Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,30,10,2021-12-11T01:00:13Z,1160000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M22.00S,2021-12-11T00:58:37.0Z,1,REGULAR,substitution,out,[],203095,,,1610612761,30,10,2021-12-11T01:00:13Z,1170000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M22.00S,2021-12-11T00:58:37.0Z,1,REGULAR,substitution,in,[],1629004,,,1610612761,30,10,2021-12-11T01:00:13Z,1180000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M22.00S,2021-12-11T00:58:37.0Z,1,REGULAR,substitution,in,[],1630193,,,1610612761,30,10,2021-12-11T01:00:13Z,1190000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M07.00S,2021-12-11T01:01:15.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629018,80.23981603153744,60.049019607843135,1610612761,30,10,2021-12-11T01:01:19Z,1200000,50.0,133.0,1,right,MISS G. Trent Jr. 14' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,14.23,Missed,,,,,,,,,,,,,,,,,,,
121,PT02M05.00S,2021-12-11T01:01:17.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,30,10,2021-12-11T01:01:19Z,1210000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,120.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
122,PT01M53.00S,2021-12-11T01:01:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,8.229303547963205,55.63725490196079,1610612752,30,12,2021-12-11T01:01:34Z,1220000,-28.0,25.0,1,left,D. Rose driving finger roll Layup (2 PTS) (J. Randle 3 AST),"[201565, 203944]",1610612752.0,NYK,driving finger roll,,,Rose,D. Rose,,,,,3.76,Made,,,,,2.0,,J. Randle,203944.0,3.0,,,,,,,,,,
124,PT01M32.00S,2021-12-11T01:01:50.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.56701708278581,85.04901960784314,1610612761,30,12,2021-12-11T01:01:55Z,1240000,175.0,215.0,1,right,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,27.72,Missed,,,,,,,,,,,,,,,,,,,
125,PT01M29.00S,2021-12-11T01:01:53.6Z,1,REGULAR,rebound,defensive,[],201565,,,1610612752,30,12,2021-12-11T01:01:55Z,1250000,,,0,,D. Rose REBOUND (Off:0 Def:1),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
126,PT01M27.00S,2021-12-11T01:01:58.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,30,12,2021-12-11T01:01:58Z,1260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M27.00S,2021-12-11T01:01:59.5Z,1,REGULAR,substitution,out,[],1629018,,,1610612752,30,12,2021-12-11T01:02:03Z,1270000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M27.00S,2021-12-11T01:01:59.5Z,1,REGULAR,substitution,in,[],1630567,,,1610612752,30,12,2021-12-11T01:02:03Z,1280000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M21.00S,2021-12-11T01:02:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,16.770696452036795,45.83333333333333,1610612752,30,12,2021-12-11T01:02:28Z,1290000,21.0,105.0,1,left,MISS I. Quickley 10' driving floating Shot,[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,10.71,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M19.00S,2021-12-11T01:02:25.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,30,12,2021-12-11T01:02:28Z,1300000,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,129.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
131,PT01M14.00S,2021-12-11T01:02:33.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629011,,,1610612761,30,12,2021-12-11T01:02:45Z,1310000,,,0,,M. Robinson shooting personal FOUL (2 PF) (Watanabe 2 FT),"[1629011, 1629139]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,202026.0,,,,,,,2.0,0.0,Watanabe,1629139.0,,,
133,PT01M14.00S,2021-12-11T01:02:59.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629139,,,1610612761,30,12,2021-12-11T01:02:59Z,1330000,,,0,,MISS Y. Watanabe Free Throw 1 of 2,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,Missed,,,,,,,,,,,,,,,,,,,
134,PT01M14.00S,2021-12-11T01:02:59.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,30,12,2021-12-11T01:02:59Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,
135,PT01M14.00S,2021-12-11T01:03:00.5Z,1,REGULAR,substitution,out,[],203944,,,1610612761,30,12,2021-12-11T01:03:06Z,1350000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M14.00S,2021-12-11T01:03:00.5Z,1,REGULAR,substitution,in,[],1630167,,,1610612761,30,12,2021-12-11T01:03:06Z,1360000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M14.00S,2021-12-11T01:03:19.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629139,,,1610612761,31,12,2021-12-11T01:03:19Z,1370000,,,0,,Y. Watanabe Free Throw 2 of 2 (1 PTS),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
138,PT00M49.10S,2021-12-11T01:03:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,13.748357424441524,48.03921568627451,1610612752,31,12,2021-12-11T01:05:16Z,1380000,10.0,77.0,1,left,MISS D. Rose 7' driving floating bank Shot,[201565],1610612752.0,NYK,driving floating bank,,,Rose,D. Rose,,,,,7.73,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M47.10S,2021-12-11T01:03:48.5Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612761,31,12,2021-12-11T01:03:48Z,1390000,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
140,PT00M43.30S,2021-12-11T01:03:52.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629139,70.12155059132719,16.42156862745098,1610612761,31,12,2021-12-11T01:03:59Z,1400000,-168.0,228.0,1,right,MISS Y. Watanabe 28' running pullup 3PT,[1629139],1610612761.0,TOR,running pullup,,,Watanabe,Y. Watanabe,,,,,28.35,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M40.00S,2021-12-11T01:03:55.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,31,12,2021-12-11T01:03:59Z,1410000,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,140.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
142,PT00M26.80S,2021-12-11T01:04:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630167,7.178055190538765,51.470588235294116,1610612752,31,12,2021-12-11T01:04:15Z,1420000,-7.0,15.0,1,left,MISS O. Toppin driving finger roll Layup,[1630167],1610612752.0,NYK,driving finger roll,,,Toppin,O. Toppin,,,,,1.67,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M26.80S,2021-12-11T01:04:09.2Z,1,REGULAR,rebound,offensive,[],1630167,,,1610612752,31,12,2021-12-11T01:04:15Z,1430000,,,0,,O. Toppin REBOUND (Off:1 Def:0),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,142.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
144,PT00M26.80S,2021-12-11T01:04:13.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630167,5.590000152587891,50.0,1610612752,31,14,2021-12-11T01:04:13Z,1440000,0.0,0.0,1,left,O. Toppin tip DUNK (2 PTS),[1630167],1610612752.0,NYK,tip,,,Toppin,O. Toppin,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
145,PT00M03.00S,2021-12-11T01:04:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,83.78777923784494,41.17647058823529,1610612761,31,14,2021-12-11T01:04:48Z,1450000,-44.0,100.0,1,right,MISS S. Barnes 10' fadeaway Shot,[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,10.92,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M03.00S,2021-12-11T01:04:40.4Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,31,14,2021-12-11T01:04:48Z,1460000,,,0,,O. Toppin REBOUND (Off:1 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,145.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
147,PT00M00.00S,2021-12-11T01:04:46.7Z,1,REGULAR,period,end,[],0,,,1610612752,31,14,2021-12-11T01:04:46Z,1470000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-12-11T01:04:57.7Z,2,REGULAR,substitution,out,['startperiod'],1630551,,,1610612752,31,14,2021-12-11T01:07:05Z,1480000,,,0,,SUB out: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-12-11T01:04:57.7Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612752,31,14,2021-12-11T01:07:05Z,1490000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-12-11T01:04:57.7Z,2,REGULAR,substitution,in,['startperiod'],1630625,,,1610612752,31,14,2021-12-11T01:07:05Z,1500000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-12-11T01:04:57.7Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612752,31,14,2021-12-11T01:07:05Z,1510000,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-12-11T01:07:22.3Z,2,REGULAR,period,start,[],0,,,1610612752,31,14,2021-12-11T01:07:22Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M42.00S,2021-12-11T01:07:38.9Z,2,REGULAR,turnover,bad pass,[],1630167,,,1610612752,31,14,2021-12-11T01:07:43Z,1530000,,,0,,O. Toppin bad pass TURNOVER (1 TO),"[1630167, 1629139]",1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,1.0,Watanabe,1629139.0,,,,,,,
154,PT11M42.00S,2021-12-11T01:07:38.9Z,2,REGULAR,steal,,[],1629139,,,1610612761,31,14,2021-12-11T01:07:40Z,1540000,,,0,,Y. Watanabe STEAL (1 STL),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M32.00S,2021-12-11T01:07:50.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627783,90.62089356110381,43.627450980392155,1610612761,31,14,2021-12-11T01:07:59Z,1550000,-32.0,36.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,,
156,PT11M29.00S,2021-12-11T01:07:53.3Z,2,REGULAR,rebound,defensive,[],1629011,,,1610612752,31,14,2021-12-11T01:07:59Z,1560000,,,0,,M. Robinson REBOUND (Off:0 Def:4),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,155.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
157,PT11M19.00S,2021-12-11T01:08:02.8Z,2,REGULAR,3pt,Jump Shot,[],1629628,29.911300919842315,25.0,1610612752,31,17,2021-12-11T01:08:07Z,1570000,125.0,229.0,1,left,R. Barrett 26' 3PT  (5 PTS) (D. Rose 1 AST),"[1629628, 201565]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,26.06,Made,,,,,5.0,,D. Rose,201565.0,1.0,,,,,,,,,,
159,PT10M54.00S,2021-12-11T01:08:27.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629139,89.83245729303549,38.23529411764706,1610612761,31,17,2021-12-11T01:08:33Z,1590000,-59.0,43.0,1,right,MISS Y. Watanabe 7' driving Hook - blocked,"[1629139, 1629011]",1610612761.0,TOR,driving,,,Watanabe,Y. Watanabe,,,,,7.29,Missed,,,,,,,,,,,,,,,,,Robinson,1629011.0,
160,PT10M54.00S,2021-12-11T01:08:27.7Z,2,REGULAR,block,,[],1629011,,,1610612761,31,17,2021-12-11T01:08:30Z,1600000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT10M51.00S,2021-12-11T01:08:30.7Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,31,17,2021-12-11T01:08:33Z,1610000,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
162,PT10M51.00S,2021-12-11T01:08:34.0Z,2,REGULAR,foul,personal,['2freethrow'],1630625,,,1610612752,31,17,2021-12-11T01:08:47Z,1620000,,,0,,D. Banton shooting personal FOUL (1 PF) (Toppin 2 FT),"[1630625, 1630167]",1610612761.0,TOR,shooting,,,Banton,D. Banton,,,,,,,,,,,,2004.0,,,,,,,1.0,0.0,Toppin,1630167.0,,,
164,PT10M51.00S,2021-12-11T01:09:01.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630167,,,1610612752,31,18,2021-12-11T01:09:01Z,1640000,,,0,,O. Toppin Free Throw 1 of 2 (3 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
165,PT10M51.00S,2021-12-11T01:09:02.5Z,2,REGULAR,substitution,out,[],1629628,,,1610612752,31,18,2021-12-11T01:09:10Z,1650000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M51.00S,2021-12-11T01:09:02.5Z,2,REGULAR,substitution,in,[],202692,,,1610612752,31,18,2021-12-11T01:09:10Z,1660000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M51.00S,2021-12-11T01:09:17.8Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630167,,,1610612752,31,19,2021-12-11T01:09:17Z,1670000,,,0,,O. Toppin Free Throw 2 of 2 (4 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
168,PT10M39.00S,2021-12-11T01:09:31.8Z,2,REGULAR,3pt,Jump Shot,[],1629139,95.3515111695138,95.83333333333334,1610612761,34,19,2021-12-11T01:09:36Z,1680000,229.0,-9.0,1,right,Y. Watanabe 3PT  (4 PTS) (D. Banton 1 AST),"[1629139, 1630625]",1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,22.94,Made,,,,,4.0,,D. Banton,1630625.0,1.0,,,,,,,,,,
170,PT10M18.00S,2021-12-11T01:09:53.8Z,2,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612752,34,19,2021-12-11T01:10:05Z,1700000,,,0,,S. Barnes shooting personal FOUL (1 PF) (Toppin 2 FT),"[1630567, 1630167]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,,,,,,,,2004.0,,,,,,,1.0,0.0,Toppin,1630167.0,,,
172,PT10M18.00S,2021-12-11T01:10:18.7Z,2,REGULAR,freethrow,1 of 2,[],1630167,,,1610612752,34,20,2021-12-11T01:10:18Z,1720000,,,0,,O. Toppin Free Throw 1 of 2 (5 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
173,PT10M18.00S,2021-12-11T01:10:34.0Z,2,REGULAR,freethrow,2 of 2,[],1630167,,,1610612752,34,21,2021-12-11T01:10:34Z,1730000,,,0,,O. Toppin Free Throw 2 of 2 (6 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
174,PT10M05.00S,2021-12-11T01:10:49.7Z,2,REGULAR,3pt,Jump Shot,[],1629004,74.72076215505913,14.950980392156863,1610612761,34,21,2021-12-11T01:10:54Z,1740000,-175.0,185.0,1,right,MISS S. Mykhailiuk 25' 3PT,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,,
