actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
88,PT04M12.00S,2021-12-01T00:54:21.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,11,16,2021-12-01T00:54:24Z,880000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,87.0,2.0,1.0,1.0,,,,,,,,,,,,,,
89,PT04M07.00S,2021-12-01T00:54:26.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629139,14.931011826544022,3.431372549019608,1610612761,14,16,2021-12-01T00:54:34Z,890000,233.0,88.0,1,left,Y. Watanabe 24' 3PT running (3 PTS) (P. Siakam 1 AST),"[1629139, 1627783]",1610612761.0,TOR,running,,,Watanabe,Y. Watanabe,,,,,24.88,Made,3.0,,,,,,,,,,,,,P. Siakam,1627783.0,1.0,,,
91,PT04M05.00S,2021-12-01T00:54:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,14,16,2021-12-01T00:54:32Z,910000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,out,[],1630173,,,1610612763,14,16,2021-12-01T00:57:00Z,920000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,out,[],203500,,,1610612763,14,16,2021-12-01T00:57:00Z,930000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,out,[],1626145,,,1610612763,14,16,2021-12-01T00:57:00Z,940000,,,0,,SUB out: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612763,14,16,2021-12-01T00:57:00Z,950000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,in,[],1628991,,,1610612763,14,16,2021-12-01T00:57:00Z,960000,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M05.00S,2021-12-01T00:56:10.7Z,1,REGULAR,substitution,in,[],1630217,,,1610612763,14,16,2021-12-01T00:57:00Z,970000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M52.00S,2021-12-01T00:57:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630583,73.53810775295663,80.63725490196079,1610612763,14,16,2021-12-01T00:57:39Z,980000,153.0,196.0,1,right,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M50.00S,2021-12-01T00:57:34.8Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,14,16,2021-12-01T00:57:39Z,990000,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,98.0,2.0,1.0,1.0,,,,,,,,,,,,,,
100,PT03M48.00S,2021-12-01T00:57:37.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203937,93.11760840998686,59.31372549019608,1610612763,14,18,2021-12-01T00:58:32Z,1000000,47.0,12.0,1,right,K. Anderson floating Jump Shot (2 PTS),[203937],1610612763.0,MEM,floating,,,Anderson,K. Anderson,,,,,4.82,Made,2.0,,,,,,,,,,,,,,,,,,
101,PT03M33.00S,2021-12-01T00:57:52.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,11.514454664914586,77.45098039215686,1610612761,14,18,2021-12-01T00:57:58Z,1010000,-137.0,56.0,1,left,MISS S. Barnes 14' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,14.82,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M31.00S,2021-12-01T00:57:54.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,14,18,2021-12-01T00:57:58Z,1020000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,,,
103,PT03M19.00S,2021-12-01T00:58:07.0Z,1,REGULAR,3pt,Jump Shot,[],1630583,91.14651773981603,4.901960784313726,1610612763,14,18,2021-12-01T00:58:16Z,1030000,-225.0,31.0,1,right,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,22.76,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M18.00S,2021-12-01T00:58:08.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,14,18,2021-12-01T00:58:17Z,1040000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,
105,PT03M18.00S,2021-12-01T00:58:20.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,14,18,2021-12-01T00:58:20Z,1050000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M02.00S,2021-12-01T00:58:42.4Z,1,REGULAR,2pt,Jump Shot,[],1627783,11.12023653088042,70.83333333333334,1610612761,16,18,2021-12-01T00:58:49Z,1060000,-104.0,52.0,1,left,P. Siakam 11' turnaround fadeaway Jump Shot (7 PTS),[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,11.65,Made,7.0,,,,,,,,,,,,,,,,,,
107,PT02M51.00S,2021-12-01T00:58:57.2Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612763,16,18,2021-12-01T00:59:05Z,1070000,,,0,,P. Siakam shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[1627783, 1628991]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,,,1627519.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
109,PT02M51.00S,2021-12-01T00:59:21.2Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,16,19,2021-12-01T00:59:36Z,1090000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (4 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
110,PT02M51.00S,2021-12-01T00:59:21.2Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,16,19,2021-12-01T00:59:36Z,1100000,,,0,,MISS J. Jackson Jr. Free Throw 2 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
111,PT02M49.00S,2021-12-01T00:59:23.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,19,2021-12-01T00:59:36Z,1110000,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,110.0,3.0,2.0,1.0,,,,,,,,,,,,,,
112,PT02M36.00S,2021-12-01T00:59:47.9Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,16,19,2021-12-01T00:59:52Z,1120000,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 203937]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,1.0,,,,,,Anderson,203937.0,,,,,,
113,PT02M36.00S,2021-12-01T00:59:47.9Z,1,REGULAR,steal,,[],203937,,,1610612763,16,19,2021-12-01T00:59:50Z,1130000,,,0,,K. Anderson STEAL (1 STL),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M29.00S,2021-12-01T00:59:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629001,82.47371879106439,40.19607843137255,1610612763,16,19,2021-12-01T01:00:04Z,1140000,-49.0,112.0,1,right,MISS D. Melton 12' driving floating Shot,[1629001],1610612763.0,MEM,driving floating,,,Melton,D. Melton,,,,,12.24,Missed,,,,,,,,,,,,,,,,,,,
115,PT02M27.00S,2021-12-01T01:00:01.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,16,19,2021-12-01T01:00:01Z,1150000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,
116,PT02M27.00S,2021-12-01T01:00:03.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629139,,,1610612763,16,19,2021-12-01T01:00:13Z,1160000,,,0,,Y. Watanabe loose ball personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1629139, 1628991]",1610612761.0,TOR,loose ball,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,1179.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
118,PT02M27.00S,2021-12-01T01:00:25.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1628991,,,1610612763,16,20,2021-12-01T01:00:25Z,1180000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (5 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
119,PT02M27.00S,2021-12-01T01:00:38.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1628991,,,1610612763,16,21,2021-12-01T01:00:38Z,1190000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (6 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
120,PT02M08.00S,2021-12-01T01:00:59.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,26.231931668856767,17.647058823529413,1610612761,16,21,2021-12-01T01:01:05Z,1200000,162.0,194.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
121,PT02M05.00S,2021-12-01T01:01:02.5Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,16,21,2021-12-01T01:04:10Z,1210000,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,,,,,,
124,PT01M57.00S,2021-12-01T01:01:10.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,69.33311432325887,19.362745098039216,1610612763,16,21,2021-12-01T01:04:14Z,1240000,-153.0,236.0,1,right,MISS D. Bane 28' running 3PT,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,28.12,Missed,,,,,,,,,,,,,,,,,,,
125,PT01M55.00S,2021-12-01T01:01:12.2Z,1,REGULAR,rebound,defensive,[],1630625,,,1610612761,16,21,2021-12-01T01:01:12Z,1250000,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT01M50.00S,2021-12-01T01:01:20.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,16,21,2021-12-01T01:01:20Z,1260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M50.00S,2021-12-01T01:01:24.2Z,1,REGULAR,substitution,out,[],1627832,,,1610612761,16,21,2021-12-01T01:01:35Z,1270000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M50.00S,2021-12-01T01:01:24.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,16,21,2021-12-01T01:01:35Z,1280000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M50.00S,2021-12-01T01:01:24.2Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,16,21,2021-12-01T01:01:35Z,1290000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M50.00S,2021-12-01T01:01:24.2Z,1,REGULAR,substitution,in,[],1630201,,,1610612761,16,21,2021-12-01T01:01:35Z,1300000,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M44.00S,2021-12-01T01:01:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630625,30.17411300919842,24.509803921568626,1610612761,16,21,2021-12-01T01:01:55Z,1310000,127.0,231.0,1,left,MISS D. Banton 26' 3PT,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
132,PT01M41.00S,2021-12-01T01:01:52.9Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,16,21,2021-12-01T01:01:55Z,1320000,,,0,,D. Melton REBOUND (Off:0 Def:3),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,131.0,3.0,3.0,0.0,,,,,,,,,,,,,,
133,PT01M36.00S,2021-12-01T01:01:57.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203937,92.9862023653088,95.83333333333334,1610612763,16,21,2021-12-01T01:02:08Z,1330000,229.0,13.0,1,right,MISS K. Anderson running 3PT,[203937],1610612763.0,MEM,running,,,Anderson,K. Anderson,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,,
134,PT01M34.00S,2021-12-01T01:02:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,16,21,2021-12-01T01:02:02Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,
135,PT01M34.00S,2021-12-01T01:02:04.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,16,21,2021-12-01T01:02:04Z,1350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M34.00S,2021-12-01T01:02:07.6Z,1,REGULAR,substitution,out,[],1629001,,,1610612763,16,21,2021-12-01T01:02:26Z,1360000,,,0,,SUB out: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M34.00S,2021-12-01T01:02:07.6Z,1,REGULAR,substitution,out,[],203937,,,1610612763,16,21,2021-12-01T01:02:26Z,1370000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M34.00S,2021-12-01T01:02:07.6Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,16,21,2021-12-01T01:02:26Z,1380000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M34.00S,2021-12-01T01:02:07.6Z,1,REGULAR,substitution,in,[],1628415,,,1610612763,16,21,2021-12-01T01:02:26Z,1390000,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M24.00S,2021-12-01T01:02:39.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,85.62746386333771,5.637254901960785,1610612763,16,24,2021-12-01T01:05:56Z,1400000,-222.0,83.0,1,right,D. Bane 3PT pullup (10 PTS) (J. Jackson Jr. 1 AST),"[1630217, 1628991]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,23.67,Made,10.0,,,,,,,,,,,,,J. Jackson Jr.,1628991.0,1.0,,,
142,PT01M11.00S,2021-12-01T01:02:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629139,33.065045992115635,56.61764705882353,1610612761,16,24,2021-12-01T01:02:57Z,1420000,-33.0,258.0,1,left,MISS Y. Watanabe 26' 3PT,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
143,PT01M08.00S,2021-12-01T01:02:55.0Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,16,24,2021-12-01T01:02:57Z,1430000,,,0,,D. Bane REBOUND (Off:1 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,,,,,,
144,PT01M03.00S,2021-12-01T01:03:00.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629634,87.07293035479631,40.19607843137255,1610612763,16,24,2021-12-01T01:06:36Z,1440000,-49.0,69.0,1,right,MISS B. Clarke 8' running pullup Shot,[1629634],1610612763.0,MEM,running pullup,,,Clarke,B. Clarke,,,,,8.46,Missed,,,,,,,,,,,,,,,,,,,
145,PT01M01.00S,2021-12-01T01:03:02.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,16,24,2021-12-01T01:03:10Z,1450000,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,144.0,3.0,2.0,1.0,,,,,,,,,,,,,,
146,PT00M49.70S,2021-12-01T01:03:14.5Z,1,REGULAR,turnover,bad pass,[],1630625,,,1610612761,16,24,2021-12-01T01:03:19Z,1460000,,,0,,D. Banton bad pass TURNOVER (1 TO),"[1630625, 1628415]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,1.0,,,,,,Brooks,1628415.0,,,,,,
147,PT00M49.70S,2021-12-01T01:03:14.5Z,1,REGULAR,steal,,[],1628415,,,1610612763,16,24,2021-12-01T01:03:17Z,1470000,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M43.40S,2021-12-01T01:03:20.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,67.7562417871222,62.745098039215684,1610612763,16,27,2021-12-01T01:03:33Z,1480000,64.0,251.0,1,right,D. Bane 25' 3PT running (13 PTS) (S. Aldama 1 AST),"[1630217, 1630583]",1610612763.0,MEM,running,,,Bane,D. Bane,,,,,25.86,Made,13.0,,,,,,,,,,,,,S. Aldama,1630583.0,1.0,,,
150,PT00M30.90S,2021-12-01T01:03:36.5Z,1,REGULAR,3pt,Jump Shot,[],1630201,34.247700394218136,60.29411764705882,1610612761,16,27,2021-12-01T01:08:27Z,1500000,-51.0,269.0,1,left,MISS M. Flynn 27' pullup 3PT,[1630201],1610612761.0,TOR,pullup,,,Flynn,M. Flynn,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,,
151,PT00M26.40S,2021-12-01T01:03:41.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,16,27,2021-12-01T01:03:48Z,1510000,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,150.0,3.0,2.0,1.0,,,,,,,,,,,,,,
152,PT00M26.40S,2021-12-01T01:03:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,5.590000152587891,50.0,1610612761,16,27,2021-12-01T01:03:41Z,1520000,0.0,0.0,1,left,MISS P. Achiuwa tip Layup,[1630173],1610612761.0,TOR,tip,,,Achiuwa,P. Achiuwa,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
153,PT00M26.10S,2021-12-01T01:03:41.9Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612761,16,27,2021-12-01T01:03:41Z,1530000,,,0,,D. Banton REBOUND (Off:1 Def:1),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,152.0,2.0,1.0,1.0,,,,,,,,,,,,,,
154,PT00M26.10S,2021-12-01T01:03:43.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630625,7.178055190538765,49.01960784313725,1610612761,18,27,2021-12-01T01:03:53Z,1540000,5.0,15.0,1,left,D. Banton putback Layup (2 PTS),[1630625],1610612761.0,TOR,putback,,,Banton,D. Banton,,,,,1.58,Made,2.0,,,,,,,,,,,,,,,,,,
155,PT00M06.50S,2021-12-01T01:04:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,71.69842312746385,11.76470588235294,1610612763,18,27,2021-12-01T01:04:17Z,1550000,-191.0,214.0,1,right,MISS D. Bane 28' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,28.66,Missed,,,,,,,,,,,,,,,,,,,
156,PT00M05.20S,2021-12-01T01:04:14.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,18,27,2021-12-01T01:04:14Z,1560000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,
157,PT00M05.20S,2021-12-01T01:04:16.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,18,27,2021-12-01T01:04:16Z,1570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M05.20S,2021-12-01T01:04:19.6Z,1,REGULAR,substitution,out,[],1630173,,,1610612761,18,27,2021-12-01T01:04:32Z,1580000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M05.20S,2021-12-01T01:04:19.6Z,1,REGULAR,substitution,out,[],1630625,,,1610612761,18,27,2021-12-01T01:04:32Z,1590000,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M05.20S,2021-12-01T01:04:19.6Z,1,REGULAR,substitution,in,[],1629004,,,1610612761,18,27,2021-12-01T01:04:32Z,1600000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M05.20S,2021-12-01T01:04:19.6Z,1,REGULAR,substitution,in,[],1627832,,,1610612761,18,27,2021-12-01T01:04:32Z,1610000,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M01.40S,2021-12-01T01:04:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,7.966491458607096,55.14705882352941,1610612761,18,27,2021-12-01T01:06:22Z,1620000,-26.0,22.0,1,left,MISS S. Mykhailiuk driving finger roll Layup - blocked,"[1629004, 1629634]",1610612761.0,TOR,driving finger roll,,,Mykhailiuk,S. Mykhailiuk,,,,,3.41,Missed,,,,,,,,,,,,,,,,,Clarke,1629634.0,
163,PT00M01.40S,2021-12-01T01:04:49.1Z,1,REGULAR,block,,[],1629634,,,1610612761,18,27,2021-12-01T01:04:51Z,1630000,,,0,,B. Clarke BLOCK (1 BLK),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M01.00S,2021-12-01T01:04:49.5Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,18,27,2021-12-01T01:06:22Z,1640000,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,162.0,2.0,1.0,1.0,,,,,,,,,,,,,,
165,PT00M00.00S,2021-12-01T01:05:01.0Z,1,REGULAR,period,end,[],0,,,1610612763,18,27,2021-12-01T01:05:01Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,out,['startperiod'],1629004,,,1610612763,18,27,2021-12-01T01:07:21Z,1660000,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,out,['startperiod'],1630583,,,1610612763,18,27,2021-12-01T01:07:21Z,1670000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,out,['startperiod'],1630217,,,1610612763,18,27,2021-12-01T01:07:21Z,1680000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,in,['startperiod'],1630173,,,1610612763,18,27,2021-12-01T01:07:21Z,1690000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,in,['startperiod'],1626145,,,1610612763,18,27,2021-12-01T01:07:21Z,1700000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-12-01T01:05:49.5Z,2,REGULAR,substitution,in,['startperiod'],1629723,,,1610612763,18,27,2021-12-01T01:07:21Z,1710000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-12-01T01:07:40.8Z,2,REGULAR,period,start,[],0,,,1610612761,18,27,2021-12-01T01:07:40Z,1720000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M44.00S,2021-12-01T01:07:56.8Z,2,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612761,18,27,2021-12-01T01:08:07Z,1730000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Achiuwa 2 FT),"[1628991, 1630173]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,1179.0,1.0,0.0,Achiuwa,1630173.0,,,,,,,,
