actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value
94,PT04M44.00S,2022-01-26T00:25:47.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,71.04139290407359,13.480392156862745,1610612761,29,14,2022-01-26T00:25:51Z,920000,-183.0,220.0,1,right,MISS G. Trent Jr. 28' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Missed,,28.57,,,,,,,,,,,,,
95,PT04M41.00S,2022-01-26T00:25:50.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,29,14,2022-01-26T00:25:51Z,930000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,
97,PT04M30.00S,2022-01-26T00:26:01.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,25.969119579500656,17.892156862745097,1610612766,29,14,2022-01-26T00:26:07Z,950000,161.0,192.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Missed,,24.99,,,,,,,,,,,,,
98,PT04M26.00S,2022-01-26T00:26:05.0Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612761,29,14,2022-01-26T00:26:07Z,960000,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,97.0,2.0,2.0,0.0,,,
99,PT04M21.00S,2022-01-26T00:26:09.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627783,91.01511169513797,70.09803921568627,1610612761,29,14,2022-01-26T00:26:16Z,970000,100.0,32.0,1,right,MISS P. Siakam 10' driving floating bank Shot,[1627783],1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,,,,,,Missed,,10.55,,,,,,,,,,,,,
100,PT04M19.00S,2022-01-26T00:26:11.6Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,29,14,2022-01-26T00:26:11Z,980000,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,99.0,4.0,3.0,1.0,,,
101,PT04M18.00S,2022-01-26T00:26:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630625,87.99277266754271,3.9215686274509802,1610612761,32,14,2022-01-26T00:26:20Z,990000,-230.0,60.0,1,right,D. Banton 3PT  (6 PTS) (P. Siakam 4 AST),"[1630625, 1627783]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,Made,6.0,23.82,P. Siakam,1627783.0,4.0,,,,,,,,,,
103,PT04M06.00S,2022-01-26T00:26:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,7.30946123521682,51.225490196078425,1610612766,32,14,2022-01-26T00:26:29Z,1010000,-6.0,16.0,1,left,MISS M. Bridges driving Layup - blocked,"[1628970, 1630625]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,,,,Missed,,1.73,,,,,Banton,1630625.0,,,,,,,
104,PT04M06.00S,2022-01-26T00:26:24.6Z,1,REGULAR,block,,[],1630625,,,1610612766,32,14,2022-01-26T00:26:26Z,1020000,,,0,,D. Banton BLOCK (1 BLK),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M03.00S,2022-01-26T00:26:27.6Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,32,14,2022-01-26T00:26:27Z,1030000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,103.0,1.0,0.0,1.0,,,
106,PT04M01.00S,2022-01-26T00:26:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,7.440867279894875,2.696078431372549,1610612766,32,14,2022-01-26T00:26:38Z,1040000,237.0,17.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,Missed,,23.71,,,,,,,,,,,,,
107,PT03M57.00S,2022-01-26T00:26:33.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,32,14,2022-01-26T00:26:38Z,1050000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,
108,PT03M57.00S,2022-01-26T00:26:36.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,32,14,2022-01-26T00:26:36Z,1060000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M57.00S,2022-01-26T00:26:37.4Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,32,14,2022-01-26T00:26:40Z,1070000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M57.00S,2022-01-26T00:26:37.4Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,32,14,2022-01-26T00:26:40Z,1080000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M47.00S,2022-01-26T00:27:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630625,84.70762155059133,35.53921568627451,1610612761,32,14,2022-01-26T00:27:06Z,1090000,-72.0,91.0,1,right,MISS D. Banton 11' pullup Shot,[1630625],1610612761.0,TOR,pullup,,,Banton,D. Banton,,,,,,,,,,Missed,,11.64,,,,,,,,,,,,,
112,PT03M44.00S,2022-01-26T00:27:04.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,32,14,2022-01-26T00:27:06Z,1100000,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,111.0,2.0,1.0,1.0,,,
113,PT03M38.00S,2022-01-26T00:27:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630163,9.806176084099869,43.38235294117647,1610612766,32,16,2022-01-26T00:27:24Z,1110000,33.0,40.0,1,left,L. Ball running finger roll Layup (7 PTS),[1630163],1610612766.0,CHA,running finger roll,,,Ball,L. Ball,,,,,,,,,,Made,7.0,5.17,,,,,,,,,,,,,
114,PT03M20.00S,2022-01-26T00:27:28.1Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,32,16,2022-01-26T00:27:34Z,1120000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1626179]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,1.0,,,,,,,Rozier,1626179.0,
115,PT03M20.00S,2022-01-26T00:27:28.1Z,1,REGULAR,steal,,[],1626179,,,1610612766,32,16,2022-01-26T00:27:30Z,1130000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M17.00S,2022-01-26T00:27:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626179,6.783837056504599,46.81372549019608,1610612766,32,18,2022-01-26T00:27:41Z,1140000,16.0,11.0,1,left,T. Rozier running Layup (7 PTS),[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,,,,,,Made,7.0,1.95,,,,,,,,,,,,,
117,PT03M17.00S,2022-01-26T00:27:35.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,32,18,2022-01-26T00:27:35Z,1150000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M17.00S,2022-01-26T00:28:39.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612761,32,18,2022-01-26T00:29:52Z,1160000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M17.00S,2022-01-26T00:28:39.7Z,1,REGULAR,substitution,in,[],1630547,,,1610612761,32,18,2022-01-26T00:29:52Z,1170000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M57.00S,2022-01-26T00:30:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.38042049934296,52.20588235294118,1610612761,34,18,2022-01-26T00:30:46Z,1180000,11.0,10.0,1,right,P. Siakam cutting Layup (11 PTS) (J. Champagnie 1 AST),"[1627783, 1630551]",1610612761.0,TOR,cutting,,,Siakam,P. Siakam,,,,,,,,,,Made,11.0,1.47,J. Champagnie,1630551.0,1.0,,,,,,,,,,
122,PT02M35.00S,2022-01-26T00:31:03.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,33.459264126149804,60.049019607843135,1610612766,34,21,2022-01-26T00:31:08Z,1200000,-50.0,262.0,1,left,P. Washington 26' 3PT  (3 PTS) (J. Bouknight 1 AST),"[1629023, 1630547]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,Made,3.0,26.68,J. Bouknight,1630547.0,1.0,,,,,,,,,,
124,PT02M13.00S,2022-01-26T00:31:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,89.96386333771353,96.81372549019608,1610612761,37,21,2022-01-26T00:31:31Z,1220000,234.0,42.0,1,right,G. Trent Jr. 3PT  (11 PTS) (D. Banton 3 AST),"[1629018, 1630625]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,11.0,23.78,D. Banton,1630625.0,3.0,,,,,,,,,,
126,PT02M01.00S,2022-01-26T00:31:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,9.806176084099869,41.42156862745098,1610612766,37,21,2022-01-26T00:32:44Z,1240000,43.0,40.0,1,left,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,,,,Missed,,5.85,,,,,,,,,,,,,
127,PT01M59.00S,2022-01-26T00:31:39.4Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,37,21,2022-01-26T00:31:42Z,1250000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,126.0,1.0,1.0,0.0,,,
128,PT01M54.00S,2022-01-26T00:31:45.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,74.19513797634691,14.215686274509803,1610612761,37,21,2022-01-26T00:31:54Z,1260000,-179.0,190.0,1,right,MISS G. Trent Jr. 26' running 3PT,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Missed,,26.1,,,,,,,,,,,,,
129,PT01M51.00S,2022-01-26T00:31:48.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,37,21,2022-01-26T00:31:54Z,1270000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,128.0,1.0,1.0,0.0,,,
130,PT01M45.00S,2022-01-26T00:31:53.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,6.783837056504599,2.696078431372549,1610612766,37,24,2022-01-26T00:32:10Z,1280000,237.0,11.0,1,left,K. Oubre Jr. 3PT  (3 PTS) (M. Bridges 1 AST),"[1626162, 1628970]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,Made,3.0,23.68,M. Bridges,1628970.0,1.0,,,,,,,,,,
132,PT01M46.00S,2022-01-26T00:32:58.4Z,1,REGULAR,instantreplay,altercationrequest,[],0,,,1610612761,37,24,2022-01-26T00:32:59Z,1300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT01M46.00S,2022-01-26T00:33:37.6Z,1,REGULAR,foul,technical,['inpenalty'],1630551,,,1610612761,37,24,2022-01-26T01:19:05Z,1302500,,,0,,J. Champagnie double technical FOUL (1 Tech),[1630551],1610612761.0,TOR,double,,,Champagnie,J. Champagnie,,,,,201246.0,0.0,1.0,,,,,,,,,,,,,,,,,,
337,PT01M46.00S,2022-01-26T00:33:37.6Z,1,REGULAR,foul,technical,[],1629023,,,1610612761,37,24,2022-01-26T01:19:05Z,1303750,,,0,,P. Washington double technical FOUL (1 Tech),[1629023],1610612766.0,CHA,double,,,Washington,P. Washington,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
133,PT01M46.00S,2022-01-26T00:35:35.3Z,1,REGULAR,ejection,other,[],1629023,,,1610612761,37,24,2022-01-26T00:36:04Z,1310000,,,0,,Ejection P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,201246.0,,,,,,,,,,,,,,,,,,,,
134,PT01M46.00S,2022-01-26T00:35:42.9Z,1,REGULAR,ejection,other,[],1630551,,,1610612761,37,24,2022-01-26T00:36:29Z,1320000,,,0,,Ejection J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,201246.0,,,,,,,,,,,,,,,,,,,,
135,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,out,[],1630551,,,1610612761,37,24,2022-01-26T00:36:11Z,1330000,,,0,,SUB out: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,37,24,2022-01-26T00:36:11Z,1340000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,out,[],1629023,,,1610612761,37,24,2022-01-26T00:36:11Z,1350000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,in,[],1629139,,,1610612761,37,24,2022-01-26T00:36:11Z,1360000,,,0,,SUB in: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,in,[],1628384,,,1610612761,37,24,2022-01-26T00:36:11Z,1370000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M46.00S,2022-01-26T00:35:51.2Z,1,REGULAR,substitution,in,[],1628998,,,1610612761,37,24,2022-01-26T00:36:11Z,1380000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M27.00S,2022-01-26T00:36:46.7Z,1,REGULAR,2pt,Jump Shot,[],1628384,77.87450722733246,26.715686274509803,1610612761,37,24,2022-01-26T00:36:55Z,1390000,-116.0,155.0,1,right,MISS O. Anunoby 19' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,,,,,,Missed,,19.42,,,,,,,,,,,,,
142,PT01M26.00S,2022-01-26T00:36:47.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,37,24,2022-01-26T00:36:55Z,1400000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,
143,PT01M26.00S,2022-01-26T00:36:53.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630625,,,1610612766,37,24,2022-01-26T00:37:41Z,1410000,,,0,,D. Banton loose ball personal FOUL (3 PF) (Rozier 2 FT),"[1630625, 1626179]",1610612761.0,TOR,loose ball,,,Banton,D. Banton,,,,,203592.0,3.0,0.0,Rozier,1626179.0,,,,,,,,,,,,,,,,
145,PT01M26.00S,2022-01-26T00:37:21.7Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,37,25,2022-01-26T00:37:21Z,1430000,,,0,,T. Rozier Free Throw 1 of 2 (8 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
146,PT01M26.00S,2022-01-26T00:37:22.5Z,1,REGULAR,substitution,out,[],1630625,,,1610612766,37,25,2022-01-26T00:37:25Z,1440000,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M26.00S,2022-01-26T00:37:22.5Z,1,REGULAR,substitution,in,[],1630201,,,1610612766,37,25,2022-01-26T00:37:25Z,1450000,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M26.00S,2022-01-26T00:37:40.1Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,37,25,2022-01-26T00:37:40Z,1460000,,,0,,MISS T. Rozier Free Throw 2 of 2,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,Missed,,,,,,,,,,,,,,,
149,PT01M24.00S,2022-01-26T00:37:41.4Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,37,25,2022-01-26T00:37:41Z,1470000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,148.0,2.0,2.0,0.0,,,
150,PT01M08.00S,2022-01-26T00:37:57.6Z,1,REGULAR,2pt,Jump Shot,[],1629018,92.72339027595268,71.81372549019608,1610612761,39,25,2022-01-26T00:38:03Z,1480000,109.0,16.0,1,right,G. Trent Jr. 11' step back Jump Shot (13 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,13.0,11.03,,,,,,,,,,,,,
151,PT00M57.40S,2022-01-26T00:38:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,7.178055190538765,49.26470588235294,1610612766,39,27,2022-01-26T00:38:15Z,1490000,4.0,15.0,1,left,T. Rozier driving Layup (10 PTS),[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,,,,Made,10.0,1.54,,,,,,,,,,,,,
152,PT00M40.60S,2022-01-26T00:38:29.0Z,1,REGULAR,foul,offensive,['inpenalty'],1630201,,,1610612761,39,27,2022-01-26T00:38:39Z,1500000,,,0,,M. Flynn charge offensive FOUL (1 PF),"[1630201, 1626179]",1610612761.0,TOR,charge,,,Flynn,M. Flynn,,,,,201246.0,1.0,0.0,Rozier,1626179.0,,,,,,,,,,,,,,,,
154,PT00M40.60S,2022-01-26T00:38:29.0Z,1,REGULAR,turnover,offensive foul,[],1630201,,,1610612761,39,27,2022-01-26T00:38:29Z,1520000,,,0,,M. Flynn offensive foul TURNOVER (1 TO),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,201246.0,,,,,,,,,,,1.0,,,,,,,,,
156,PT00M26.80S,2022-01-26T00:38:54.9Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,39,27,2022-01-26T00:39:15Z,1540000,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (2 TO),[1628970],1610612766.0,CHA,bad pass,,,Bridges,M. Bridges,,,,,201246.0,,,,,,,,,,,2.0,,,,,,,,,
157,PT00M03.40S,2022-01-26T00:39:29.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,69.33311432325887,18.872549019607842,1610612761,39,27,2022-01-26T00:39:34Z,1550000,-156.0,236.0,1,right,MISS O. Anunoby 28' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,,,,,,Missed,,28.25,,,,,,,,,,,,,
158,PT00M00.30S,2022-01-26T00:39:32.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,39,27,2022-01-26T00:39:34Z,1560000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,157.0,2.0,2.0,0.0,,,
159,PT00M00.30S,2022-01-26T00:39:33.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,74.06373193166885,31.862745098039213,1610612766,39,27,2022-01-26T00:40:24Z,1570000,91.0,644.0,1,left,MISS M. Bridges 65' driving floating 3PT,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,,,,,,Missed,,65.01,,,,,,,,,,,,,
160,PT00M00.10S,2022-01-26T00:39:34.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,39,27,2022-01-26T00:40:24Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,,
161,PT00M00.00S,2022-01-26T00:39:40.1Z,1,REGULAR,period,end,[],0,,,1610612766,39,27,2022-01-26T00:39:40Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-01-26T00:41:36.1Z,2,REGULAR,substitution,out,['startperiod'],1628970,,,1610612766,39,27,2022-01-26T00:41:55Z,1600000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-01-26T00:41:36.1Z,2,REGULAR,substitution,out,['startperiod'],1626179,,,1610612766,39,27,2022-01-26T00:41:55Z,1610000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-01-26T00:41:36.1Z,2,REGULAR,substitution,in,['startperiod'],203486,,,1610612766,39,27,2022-01-26T00:41:55Z,1620000,,,0,,SUB in: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-01-26T00:41:36.1Z,2,REGULAR,substitution,in,['startperiod'],1630163,,,1610612766,39,27,2022-01-26T00:41:55Z,1630000,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-01-26T00:42:09.4Z,2,REGULAR,period,start,[],0,,,1610612761,39,27,2022-01-26T00:42:09Z,1640000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M54.00S,2022-01-26T00:42:18.1Z,2,REGULAR,foul,offensive,[],1629139,,,1610612761,39,27,2022-01-26T00:42:30Z,1650000,,,0,,Y. Watanabe off-the-ball offensive FOUL (1 PF),"[1629139, 1630547]",1610612761.0,TOR,off-the-ball,,,Watanabe,Y. Watanabe,,,,,1628487.0,1.0,0.0,Bouknight,1630547.0,,,,,,,,,,,,,,,,
169,PT11M54.00S,2022-01-26T00:42:18.1Z,2,REGULAR,turnover,offensive foul,[],1629139,,,1610612761,39,27,2022-01-26T00:42:30Z,1670000,,,0,,Y. Watanabe offensive foul TURNOVER (1 TO),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,1628487.0,,,,,,,,,,,1.0,,,,,,,,,
170,PT11M48.00S,2022-01-26T00:42:42.0Z,2,REGULAR,foul,personal,[],1630201,,,1610612766,39,27,2022-01-26T00:42:56Z,1680000,,,0,,M. Flynn personal FOUL (2 PF),"[1630201, 1630163]",1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,1628487.0,2.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,,
172,PT11M42.00S,2022-01-26T00:43:05.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630163,9.543363994743759,56.372549019607845,1610612766,39,27,2022-01-26T00:43:12Z,1700000,-32.0,37.0,1,left,MISS L. Ball driving Hook,[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,,,,,,Missed,,4.9,,,,,,,,,,,,,
174,PT11M40.00S,2022-01-26T00:43:07.5Z,2,REGULAR,rebound,offensive,[],203486,,,1610612766,39,27,2022-01-26T00:43:12Z,1720000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,172.0,1.0,0.0,1.0,,,
175,PT11M40.00S,2022-01-26T00:43:12.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,39,27,2022-01-26T00:43:12Z,1730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M35.00S,2022-01-26T00:43:28.8Z,2,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612766,39,27,2022-01-26T00:43:36Z,1740000,,,0,,C. Boucher shooting personal FOUL (2 PF) (Bouknight 2 FT),"[1628449, 1630547]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,203592.0,2.0,0.0,Bouknight,1630547.0,,,,,,,,,,,,,,,,
178,PT11M35.00S,2022-01-26T00:43:55.8Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630547,,,1610612766,39,28,2022-01-26T00:43:55Z,1760000,,,0,,J. Bouknight Free Throw 1 of 2 (1 PTS),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
179,PT11M35.00S,2022-01-26T00:44:08.8Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630547,,,1610612766,39,29,2022-01-26T00:44:08Z,1770000,,,0,,J. Bouknight Free Throw 2 of 2 (2 PTS),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
180,PT11M19.00S,2022-01-26T00:44:27.0Z,2,REGULAR,turnover,lost ball,[],1629139,,,1610612761,39,29,2022-01-26T00:44:32Z,1780000,,,0,,Y. Watanabe lost ball TURNOVER (2 TO),"[1629139, 1628998]",1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,2.0,,,,,,,Martin,1628998.0,
181,PT11M19.00S,2022-01-26T00:44:27.0Z,2,REGULAR,steal,,[],1628998,,,1610612766,39,29,2022-01-26T00:49:24Z,1790000,,,0,,C. Martin STEAL (1 STL),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
