actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
60,PT06M34.00S,2023-03-11T00:18:12.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,14,11,2023-03-11T00:18:18Z,600000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),8-16 Left,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,
61,PT06M26.00S,2023-03-11T00:18:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,93.61038107752957,45.34313725490197,1610612737,14,13,2023-03-11T00:18:25Z,610000,False,-23.0,8.0,1,right,D. Hunter driving Layup (7 PTS),[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,,Restricted Area,0-8 Center,2.45,Made,7.0,,,,,,,,,,,,,,,,
62,PT06M17.00S,2023-03-11T00:18:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,7.933639947437584,40.44117647058824,1610612764,14,13,2023-03-11T00:23:48Z,620000,False,48.0,22.0,1,left,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,
63,PT06M14.00S,2023-03-11T00:18:33.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,14,13,2023-03-11T00:18:33Z,630000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),0-8 Center,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,
64,PT06M08.00S,2023-03-11T00:18:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,84.93758212877792,63.970588235294116,1610612737,14,13,2023-03-11T00:24:09Z,640000,False,70.0,89.0,1,right,MISS T. Young 11' driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,,In The Paint (Non-RA),8-16 Right,11.32,Missed,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2023-03-11T00:18:39.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,14,13,2023-03-11T00:24:09Z,650000,False,,,0,,C. Capela REBOUND (Off:2 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),8-16 Right,,,,64.0,4.0,2.0,2.0,,,,,,,,,,,,
66,PT06M06.00S,2023-03-11T00:18:41.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,92.16491458607096,49.01960784313726,1610612737,14,13,2023-03-11T00:18:47Z,660000,False,-5.0,21.0,1,right,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,
67,PT06M04.00S,2023-03-11T00:18:43.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,14,13,2023-03-11T00:18:47Z,670000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:4),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Restricted Area,0-8 Center,,,,66.0,4.0,4.0,0.0,,,,,,,,,,,,
68,PT05M57.00S,2023-03-11T00:18:50.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,6.093955321944804,49.50980392156863,1610612764,16,13,2023-03-11T00:19:35Z,680000,False,2.0,5.0,1,left,K. Porzingis cutting DUNK (4 PTS) (D. Gafford 1 AST),"[204001, 1629655]",1610612764.0,WAS,cutting,,,Porzingis,K. Porzingis,,,,,,Restricted Area,0-8 Center,0.54,Made,4.0,,,,,D. Gafford,1629655.0,1.0,,,,,,,,,
70,PT05M57.00S,2023-03-11T00:18:58.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,16,13,2023-03-11T00:18:58Z,700000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
