actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
87,PT04M47.00S,2022-10-21T23:30:28.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,18,21,2022-10-21T23:30:28Z,870000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M47.00S,2022-10-21T23:31:24.8Z,1,REGULAR,substitution,out,[],1628420,,,1610612764,18,21,2022-10-21T23:33:17Z,880000,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M47.00S,2022-10-21T23:31:24.8Z,1,REGULAR,substitution,in,[],1626153,,,1610612764,18,21,2022-10-21T23:33:17Z,890000,,,0,,SUB in: D. Wright,[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M30.00S,2022-10-21T23:33:39.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,90.32522996057818,48.28431372549019,1610612764,20,21,2022-10-21T23:33:43Z,900000,-9.0,38.0,1,right,R. Hachimura DUNK (2 PTS) (K. Porzingis 2 AST),"[1629060, 204001]",1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,3.94,Made,2.0,K. Porzingis,204001.0,2.0,,,,,,,,,,,,,
92,PT04M19.00S,2022-10-21T23:33:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,11.744415243101187,49.01960784313726,1610612741,20,21,2022-10-21T23:33:54Z,920000,5.0,58.0,1,left,MISS C. White fadeaway bank Shot,[1629632],1610612741.0,CHI,,fadeaway bank,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,
93,PT04M17.00S,2022-10-21T23:33:52.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,20,21,2022-10-21T23:33:54Z,930000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,
96,PT04M00.00S,2022-10-21T23:34:32.9Z,1,REGULAR,3pt,Jump Shot,[],204001,67.7233902759527,24.264705882352942,1610612764,20,21,2022-10-21T23:34:48Z,960000,-129.0,251.0,1,right,MISS K. Porzingis 28' 3PT,[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,28.2,Missed,,,,,,,,,,,,,,,,,
97,PT03M57.00S,2022-10-21T23:34:36.3Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,20,21,2022-10-21T23:34:36Z,970000,,,0,,A. Dosunmu REBOUND (Off:1 Def:2),[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,,,96.0,3.0,2.0,1.0,,,,,,,,,
98,PT03M50.00S,2022-10-21T23:34:43.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,14.50394218134035,94.8529411764706,1610612741,20,21,2022-10-21T23:34:50Z,980000,-224.0,84.0,1,left,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,23.94,Missed,,,,,,,,,,,,,,,,,
99,PT03M47.00S,2022-10-21T23:34:46.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,20,21,2022-10-21T23:34:50Z,990000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,Left Corner 3,24+ Left,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,,
100,PT03M25.00S,2022-10-21T23:35:07.3Z,1,REGULAR,2pt,Jump Shot,[],1629060,87.82851511169514,27.450980392156865,1610612764,22,21,2022-10-21T23:37:13Z,1000000,-113.0,62.0,1,right,R. Hachimura 12' pullup Jump Shot (4 PTS),[1629060],1610612764.0,WAS,,pullup,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,12.86,Made,4.0,,,,,,,,,,,,,,,,
101,PT03M09.00S,2022-10-21T23:35:24.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,14.50394218134035,51.470588235294116,1610612741,22,21,2022-10-21T23:38:06Z,1010000,-7.0,84.0,1,left,MISS N. Vucevic 8' driving Hook - blocked,"[202696, 204001]",1610612741.0,CHI,,driving,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,8.41,Missed,,,,,,,,,,,,,Porzingis,204001.0,,,
102,PT03M09.00S,2022-10-21T23:35:24.1Z,1,REGULAR,block,,[],204001,,,1610612741,22,21,2022-10-21T23:35:26Z,1020000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
103,PT03M06.00S,2022-10-21T23:35:27.1Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612764,22,21,2022-10-21T23:35:28Z,1030000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,
104,PT03M03.00S,2022-10-21T23:35:32.0Z,1,REGULAR,turnover,out-of-bounds,[],1626153,,,1610612764,22,21,2022-10-21T23:38:47Z,1040000,,,0,,D. Wright bad pass out-of-bounds TURNOVER (1 TO),[1626153],1610612764.0,WAS,2003.0,bad pass,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,1.0,,
105,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,out,[],204001,,,1610612741,22,21,2022-10-21T23:35:51Z,1050000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,out,[],1628398,,,1610612741,22,21,2022-10-21T23:35:51Z,1060000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,out,[],202696,,,1610612741,22,21,2022-10-21T23:35:51Z,1070000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,22,21,2022-10-21T23:35:51Z,1080000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,in,[],203115,,,1610612741,22,21,2022-10-21T23:35:51Z,1090000,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,in,[],1629655,,,1610612741,22,21,2022-10-21T23:35:51Z,1100000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,in,[],203083,,,1610612741,22,21,2022-10-21T23:35:51Z,1110000,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M03.00S,2022-10-21T23:35:35.0Z,1,REGULAR,substitution,in,[],201609,,,1610612741,22,21,2022-10-21T23:35:51Z,1120000,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M51.00S,2022-10-21T23:36:05.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,18.446123521681997,29.166666666666657,1610612741,22,23,2022-10-21T23:36:09Z,1130000,104.0,121.0,1,left,D. DeRozan 15' pullup Jump Shot (6 PTS) (G. Dragic 1 AST),"[201942, 201609]",1610612741.0,CHI,,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,15.96,Made,6.0,G. Dragic,201609.0,1.0,,,,,,,,,,,,,
114,PT02M29.00S,2022-10-21T23:36:28.1Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612764,22,23,2022-10-21T23:36:34Z,1140000,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612764.0,WAS,2003.0,bad pass,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,1.0,,
115,PT02M20.00S,2022-10-21T23:36:47.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201942,20.02299605781866,92.15686274509804,1610612741,22,23,2022-10-21T23:36:51Z,1150000,-211.0,136.0,1,left,MISS D. DeRozan 25' 3PT,[201942],1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,
116,PT02M17.00S,2022-10-21T23:36:50.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,22,23,2022-10-21T23:36:51Z,1160000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,
117,PT02M10.00S,2022-10-21T23:36:57.5Z,1,REGULAR,2pt,Jump Shot,[],203115,87.43429697766098,24.019607843137265,1610612764,24,23,2022-10-21T23:41:02Z,1170000,-130.0,66.0,1,right,W. Barton 14' step back Jump Shot (2 PTS),[203115],1610612764.0,WAS,,step back,,,Barton,W. Barton,,,,,Mid-Range,8-16 Left,14.55,Made,2.0,,,,,,,,,,,,,,,,
118,PT01M56.00S,2022-10-21T23:37:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,7.227332457293031,43.87637867647059,1610612741,24,25,2022-10-21T23:41:42Z,1180000,31.0,15.0,1,left,D. DeRozan driving Layup (8 PTS) (J. Green 1 AST),"[201942, 1629750]",1610612741.0,CHI,,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,3.43,Made,8.0,J. Green,1629750.0,1.0,,,,,,,,,,,,,
119,PT01M35.00S,2022-10-21T23:37:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,93.82391590013141,48.62898284313726,1610612764,24,25,2022-10-21T23:43:09Z,1190000,-7.0,6.0,1,right,MISS R. Hachimura driving reverse Layup,[1629060],1610612764.0,WAS,,driving reverse,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,
120,PT01M33.00S,2022-10-21T23:37:33.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,24,25,2022-10-21T23:37:36Z,1200000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,
121,PT01M24.00S,2022-10-21T23:37:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,11.087385019710908,49.26470588235294,1610612741,24,25,2022-10-21T23:43:43Z,1210000,4.0,52.0,1,left,MISS D. DeRozan turnaround bank Shot,[201942],1610612741.0,CHI,,turnaround bank,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,5.18,Missed,,,,,,,,,,,,,,,,,
122,PT01M20.00S,2022-10-21T23:37:47.4Z,1,REGULAR,rebound,offensive,[],203083,,,1610612741,24,25,2022-10-21T23:37:48Z,1220000,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,121.0,2.0,1.0,1.0,,,,,,,,,
123,PT01M20.00S,2022-10-21T23:37:46.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203083,6.750985545335084,49.01960784313726,1610612741,24,27,2022-10-21T23:43:48Z,1230000,5.0,11.0,1,left,A. Drummond tip DUNK (2 PTS),[203083],1610612741.0,CHI,,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.2,Made,2.0,,,,,,,,,,,,,,,,
124,PT01M12.00S,2022-10-21T23:37:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,87.82851511169514,47.79411764705882,1610612764,24,27,2022-10-21T23:38:00Z,1240000,-11.0,62.0,1,right,MISS B. Beal 6' driving Layup,[203078],1610612764.0,WAS,,driving,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,
125,PT01M09.00S,2022-10-21T23:37:58.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,24,27,2022-10-21T23:38:00Z,1250000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,124.0,3.0,2.0,1.0,,,,,,,,,
126,PT01M04.00S,2022-10-21T23:38:03.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,28.038764783180028,85.7843137254902,1610612741,24,30,2022-10-21T23:38:12Z,1260000,-179.0,211.0,1,left,C. White 27' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1629632, 201942]",1610612741.0,CHI,,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,27.67,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
128,PT00M40.20S,2022-10-21T23:38:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626153,87.9599211563732,49.50980392156863,1610612764,26,30,2022-10-21T23:38:34Z,1280000,-2.0,61.0,1,right,D. Wright 6' driving finger roll Layup (2 PTS) (W. Barton 1 AST),"[1626153, 203115]",1610612764.0,WAS,,driving finger roll,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,2.0,W. Barton,203115.0,1.0,,,,,,,,,,,,,
130,PT00M31.10S,2022-10-21T23:38:48.6Z,1,REGULAR,2pt,Jump Shot,[],1629750,8.459264126149804,82.84313725490196,1610612741,26,30,2022-10-21T23:38:53Z,1300000,-164.0,27.0,1,left,MISS J. Green 16' pullup Shot,[1629750],1610612741.0,CHI,,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left,16.64,Missed,,,,,,,,,,,,,,,,,
131,PT00M27.70S,2022-10-21T23:38:52.0Z,1,REGULAR,rebound,defensive,[],203115,,,1610612764,26,30,2022-10-21T23:38:53Z,1310000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,Mid-Range,16-24 Left,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,
132,PT00M12.00S,2022-10-21T23:39:09.1Z,1,REGULAR,foul,personal,[],201609,,,1610612764,26,30,2022-10-21T23:39:19Z,1320000,,,0,,G. Dragic personal FOUL (1 PF),"[201609, 203115]",1610612741.0,CHI,1627534.0,,,,Dragic,G. Dragic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Barton,203115.0,,,,,
134,PT00M12.00S,2022-10-21T23:39:16.7Z,1,REGULAR,substitution,out,[],201942,,,1610612764,26,30,2022-10-21T23:39:28Z,1340000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M12.00S,2022-10-21T23:39:16.7Z,1,REGULAR,substitution,in,[],1630172,,,1610612764,26,30,2022-10-21T23:39:28Z,1350000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M00.80S,2022-10-21T23:39:41.7Z,1,REGULAR,3pt,Jump Shot,[],203115,79.15571616294349,5.14705882352942,1610612764,26,30,2022-10-21T23:39:48Z,1360000,-224.0,143.0,1,right,MISS W. Barton 26' 3PT,[203115],1610612764.0,WAS,,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,
137,PT00M00.80S,2022-10-21T23:39:41.7Z,1,REGULAR,rebound,offensive,[],1626153,,,1610612764,26,30,2022-10-21T23:39:48Z,1370000,,,0,,D. Wright REBOUND (Off:1 Def:1),[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,,,,,,,136.0,2.0,1.0,1.0,,,,,,,,,
138,PT00M00.20S,2022-10-21T23:39:50.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626153,88.74835742444152,69.11764705882354,1610612764,26,30,2022-10-21T23:40:08Z,1380000,96.0,53.0,1,right,MISS D. Wright 10' Jump Shot,[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Right,10.95,Missed,,,,,,,,,,,,,,,,,
139,PT00M00.10S,2022-10-21T23:39:50.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,26,30,2022-10-21T23:49:00Z,1390000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,138.0,,,,,,,,,,,,
140,PT00M00.00S,2022-10-21T23:39:59.3Z,1,REGULAR,period,end,[],0,,,1610612764,26,30,2022-10-21T23:49:00Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-10-21T23:40:21.9Z,2,REGULAR,substitution,out,['startperiod'],203078,,,1610612764,26,30,2022-10-21T23:49:00Z,1410000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-10-21T23:40:21.9Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612764,26,30,2022-10-21T23:49:00Z,1420000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-10-21T23:40:21.9Z,2,REGULAR,substitution,in,['startperiod'],1630264,,,1610612764,26,30,2022-10-21T23:49:00Z,1430000,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-10-21T23:40:21.9Z,2,REGULAR,substitution,in,['startperiod'],1627936,,,1610612764,26,30,2022-10-21T23:49:00Z,1440000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-10-21T23:42:32.7Z,2,REGULAR,period,start,[],0,,,1610612764,26,30,2022-10-21T23:42:32Z,1450000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M40.00S,2022-10-21T23:42:51.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,82.04664914586071,48.529411764705884,1610612764,28,30,2022-10-21T23:42:55Z,1460000,-7.0,116.0,1,right,D. Wright 11' pullup Jump Shot (4 PTS),[1626153],1610612764.0,WAS,,pullup,,,Wright,D. Wright,,,,,In The Paint (Non-RA),8-16 Center,11.65,Made,4.0,,,,,,,,,,,,,,,,
147,PT11M19.00S,2022-10-21T23:43:13.3Z,2,REGULAR,3pt,Jump Shot,[],1629632,29.747043363994734,19.85294117647058,1610612741,28,30,2022-10-21T23:43:18Z,1470000,151.0,227.0,1,left,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,27.26,Missed,,,,,,,,,,,,,,,,,
148,PT11M15.00S,2022-10-21T23:43:17.3Z,2,REGULAR,rebound,defensive,[],1630264,,,1610612764,28,30,2022-10-21T23:43:18Z,1480000,,,0,,A. Gill REBOUND (Off:0 Def:1),[1630264],1610612764.0,WAS,,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Right Center,,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,
149,PT11M08.00S,2022-10-21T23:43:25.3Z,2,REGULAR,turnover,out-of-bounds,[],203115,,,1610612764,28,30,2022-10-21T23:53:34Z,1490000,,,0,,W. Barton bad pass out-of-bounds TURNOVER (1 TO),[203115],1610612764.0,WAS,101283.0,bad pass,,,Barton,W. Barton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,1.0,,
150,PT10M50.00S,2022-10-21T23:43:48.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201609,29.352825229960573,20.833333333333343,1610612741,28,30,2022-10-21T23:43:53Z,1500000,146.0,223.0,1,left,MISS G. Dragic 26' 3PT,[201609],1610612741.0,CHI,,,,,Dragic,G. Dragic,,,,,Above the Break 3,24+ Right Center,26.68,Missed,,,,,,,,,,,,,,,,,
151,PT10M47.00S,2022-10-21T23:43:51.3Z,2,REGULAR,rebound,offensive,[],203083,,,1610612741,28,30,2022-10-21T23:43:53Z,1510000,,,0,,A. Drummond REBOUND (Off:2 Def:2),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,,,,,,,150.0,4.0,2.0,2.0,,,,,,,,,
152,PT10M45.00S,2022-10-21T23:43:55.1Z,2,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612741,28,30,2022-10-21T23:44:02Z,1520000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Drummond 2 FT),"[1629655, 203083]",1610612764.0,WAS,1627534.0,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Drummond,203083.0,,,,,
155,PT10M45.00S,2022-10-21T23:44:16.3Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203083,,,1610612741,28,30,2022-10-21T23:44:33Z,1540000,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,
156,PT10M45.00S,2022-10-21T23:44:16.3Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,28,30,2022-10-21T23:44:33Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,
158,PT10M45.00S,2022-10-21T23:44:16.3Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203083,,,1610612741,28,30,2022-10-21T23:44:33Z,1560000,,,0,,MISS A. Drummond Free Throw 2 of 2,[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,
159,PT10M42.00S,2022-10-21T23:44:19.3Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612764,28,30,2022-10-21T23:44:33Z,1570000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,
160,PT10M35.00S,2022-10-21T23:44:42.4Z,2,REGULAR,foul,offensive,[],1629655,,,1610612764,28,30,2022-10-21T23:44:54Z,1580000,,,0,,D. Gafford off-the-ball offensive FOUL (2 PF),"[1629655, 1627936]",1610612764.0,WAS,101283.0,off-the-ball,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,0.0,Caruso,1627936.0,,,,,
162,PT10M35.00S,2022-10-21T23:44:42.4Z,2,REGULAR,turnover,offensive foul,[],1629655,,,1610612764,28,30,2022-10-21T23:44:42Z,1600000,,,0,,D. Gafford offensive foul TURNOVER (1 TO),[1629655],1610612764.0,WAS,101283.0,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,1.0,,
163,PT10M21.00S,2022-10-21T23:45:12.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630172,26.330486202365307,14.215686274509807,1610612741,28,33,2022-10-21T23:45:16Z,1610000,179.0,195.0,1,left,P. Williams 26' 3PT  (3 PTS) (A. Caruso 1 AST),"[1630172, 1627936]",1610612741.0,CHI,,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.46,Made,3.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,
165,PT10M04.00S,2022-10-21T23:45:28.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203115,86.38304862023654,54.16666666666667,1610612764,28,33,2022-10-22T00:39:36Z,1630000,21.0,75.0,1,right,MISS W. Barton 7' driving Layup - blocked,"[203115, 203083]",1610612764.0,WAS,,driving,,,Barton,W. Barton,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,,,,,Drummond,203083.0,,,
166,PT10M04.00S,2022-10-21T23:45:28.6Z,2,REGULAR,block,,[],203083,,,1610612764,28,33,2022-10-21T23:45:31Z,1640000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
167,PT09M59.00S,2022-10-21T23:45:33.6Z,2,REGULAR,rebound,offensive,[],1626153,,,1610612764,28,33,2022-10-21T23:45:39Z,1650000,,,0,,D. Wright REBOUND (Off:2 Def:1),[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,165.0,3.0,1.0,2.0,,,,,,,,,
168,PT09M52.00S,2022-10-21T23:45:41.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626153,69.03745072273324,20.588235294117652,1610612764,28,33,2022-10-21T23:45:45Z,1660000,-147.0,239.0,1,right,MISS D. Wright 28' 3PT,[1626153],1610612764.0,WAS,,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,28.02,Missed,,,,,,,,,,,,,,,,,
169,PT09M49.00S,2022-10-21T23:45:44.1Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,28,33,2022-10-21T23:45:44Z,1670000,,,0,,A. Drummond REBOUND (Off:2 Def:3),[203083],1610612741.0,CHI,,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,168.0,5.0,3.0,2.0,,,,,,,,,
