actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
87,PT04M19.00S,2022-11-20T23:26:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1630692,,,1610612766,24,22,2022-11-20T23:26:40Z,870000,False,,,0,,J. Goodwin shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1630692, 203486]",1610612764.0,WAS,shooting,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628172.0,,,,,,,1.0,0.0,Plumlee,203486.0
89,PT04M19.00S,2022-11-20T23:26:53.3Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,24,22,2022-11-20T23:26:53Z,890000,False,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
90,PT04M19.00S,2022-11-20T23:26:53.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,24,22,2022-11-20T23:26:53Z,900000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,
91,PT04M19.00S,2022-11-20T23:27:06.9Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,24,23,2022-11-20T23:27:06Z,910000,False,,,0,,M. Plumlee Free Throw 2 of 2 (3 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
92,PT04M09.00S,2022-11-20T23:27:22.9Z,1,REGULAR,foul,offensive,[],203078,,,1610612764,24,23,2022-11-20T23:37:00Z,920000,False,,,0,,B. Beal charge offensive FOUL (1 PF),"[203078, 1628372]",1610612764.0,WAS,charge,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,101284.0,,,,,,,1.0,0.0,Smith Jr.,1628372.0
94,PT04M09.00S,2022-11-20T23:27:22.9Z,1,REGULAR,turnover,offensive foul,[],203078,,,1610612764,24,23,2022-11-20T23:27:35Z,940000,False,,,0,,B. Beal offensive foul TURNOVER (2 TO),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628172.0,2.0,,,,,,,,,
95,PT03M50.00S,2022-11-20T23:27:53.1Z,1,REGULAR,turnover,bad pass,[],1628372,,,1610612766,24,23,2022-11-20T23:27:56Z,950000,False,,,0,,D. Smith Jr. bad pass TURNOVER (1 TO),"[1628372, 203078]",1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,Beal,203078.0,,,,
96,PT03M50.00S,2022-11-20T23:27:53.1Z,1,REGULAR,steal,,[],203078,,,1610612764,24,23,2022-11-20T23:27:55Z,960000,False,,,0,,B. Beal STEAL (1 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT03M42.00S,2022-11-20T23:28:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630166,9.149145860709593,53.431372549019606,1610612764,26,23,2022-11-20T23:28:10Z,970000,False,-17.0,34.0,1,left,D. Avdija Layup (4 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.77,Made,4.0,,,,,,,,,,,,,,,,,
98,PT03M29.00S,2022-11-20T23:28:13.6Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,26,23,2022-11-20T23:28:19Z,980000,False,,,0,,G. Hayward bad pass TURNOVER (2 TO),"[202330, 203078]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,,,,Beal,203078.0,,,,
99,PT03M29.00S,2022-11-20T23:28:13.6Z,1,REGULAR,steal,,[],203078,,,1610612764,26,23,2022-11-20T23:28:15Z,990000,False,,,0,,B. Beal STEAL (2 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
100,PT03M27.00S,2022-11-20T23:28:19.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630166,7.046649145860711,53.92156862745098,1610612764,28,23,2022-11-20T23:43:44Z,1000000,False,-20.0,14.0,1,left,D. Avdija cutting Layup (6 PTS) (B. Beal 4 AST),"[1630166, 203078]",1610612764.0,WAS,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.39,Made,6.0,B. Beal,203078.0,4.0,,,,,,,,,,,,,,
102,PT03M27.00S,2022-11-20T23:28:22.5Z,1,REGULAR,foul,personal,['1freethrow'],1629667,,,1610612764,28,23,2022-11-20T23:28:31Z,1020000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Avdija 1 FT),"[1629667, 1630166]",1610612766.0,CHA,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,101284.0,,,,,,,1.0,0.0,Avdija,1630166.0
104,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,out,[],1626162,,,1610612764,28,23,2022-11-20T23:28:59Z,1040000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,out,[],202330,,,1610612764,28,23,2022-11-20T23:28:59Z,1050000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,out,[],203486,,,1610612764,28,23,2022-11-20T23:28:59Z,1060000,False,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,in,[],1629023,,,1610612764,28,23,2022-11-20T23:28:59Z,1070000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,in,[],1626179,,,1610612764,28,23,2022-11-20T23:28:59Z,1080000,False,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M27.00S,2022-11-20T23:28:31.8Z,1,REGULAR,substitution,in,[],1630208,,,1610612764,28,23,2022-11-20T23:28:59Z,1090000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M27.00S,2022-11-20T23:28:57.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630166,,,1610612764,28,23,2022-11-20T23:29:02Z,1100000,False,,,0,,MISS D. Avdija Free Throw 1 of 1,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
111,PT03M24.00S,2022-11-20T23:29:00.8Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,28,23,2022-11-20T23:29:02Z,1110000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,110.0,,,1.0,0.0,1.0,,,,,,
112,PT03M23.00S,2022-11-20T23:29:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630166,6.389618922470433,55.392156862745104,1610612764,30,23,2022-11-20T23:29:08Z,1120000,False,-27.0,8.0,1,left,D. Avdija driving Layup (8 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.8,Made,8.0,,,,,,,,,,,,,,,,,
113,PT03M01.00S,2022-11-20T23:29:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,88.64980289093299,61.51960784313726,1610612766,30,23,2022-11-20T23:45:09Z,1130000,False,58.0,54.0,1,right,MISS J. McDaniels 7' driving finger roll Layup,[1629667],1610612766.0,CHA,driving finger roll,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,7.91,Missed,,,,,,,,,,,,,,,,,,
114,PT02M59.00S,2022-11-20T23:29:24.5Z,1,REGULAR,rebound,offensive,[],1629667,,,1610612766,30,23,2022-11-20T23:29:27Z,1140000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:2),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,113.0,,,3.0,2.0,1.0,,,,,,
115,PT02M59.00S,2022-11-20T23:29:25.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629667,93.77463863337714,57.84313725490197,1610612766,30,23,2022-11-20T23:45:34Z,1150000,False,39.0,6.0,1,right,MISS J. McDaniels putback Layup - blocked,"[1629667, 1630692]",1610612766.0,CHA,putback,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,Goodwin,1630692.0,,,,,,,,,,,,
116,PT02M59.00S,2022-11-20T23:29:25.4Z,1,REGULAR,block,,[],1630692,,,1610612766,30,23,2022-11-20T23:29:27Z,1160000,False,,,0,,J. Goodwin BLOCK (2 BLK),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
117,PT02M59.00S,2022-11-20T23:29:25.4Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,30,23,2022-11-20T23:29:30Z,1170000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,115.0,,,2.0,1.0,1.0,,,,,,
118,PT02M54.00S,2022-11-20T23:29:30.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203115,18.347568988173457,13.970588235294118,1610612764,30,23,2022-11-20T23:47:00Z,1180000,False,180.0,120.0,1,left,MISS W. Barton 21' Jump Shot,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Mid-Range,16-24 Right,21.64,Missed,,,,,,,,,,,,,,,,,,
119,PT02M48.00S,2022-11-20T23:29:36.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,30,23,2022-11-20T23:29:38Z,1190000,False,,,0,,T. Rozier REBOUND (Off:1 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,16-24 Right,,,,,,,,,118.0,,,2.0,1.0,1.0,,,,,,
120,PT02M46.00S,2022-11-20T23:29:38.5Z,1,REGULAR,turnover,lost ball,[],1626179,,,1610612766,30,23,2022-11-20T23:29:53Z,1200000,False,,,0,,T. Rozier lost ball TURNOVER (1 TO),"[1626179, 204001]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1.0,,,,Porzingis,204001.0,,,,
121,PT02M46.00S,2022-11-20T23:29:38.5Z,1,REGULAR,steal,,[],204001,,,1610612764,30,23,2022-11-20T23:29:46Z,1210000,False,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
125,PT02M46.00S,2022-11-20T23:33:07.1Z,1,REGULAR,foul,personal,[],1629667,,,1610612764,30,23,2022-11-20T23:33:31Z,1250000,False,,,0,,J. McDaniels personal FOUL (2 PF),"[1629667, 204001]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,101284.0,,,,,,,2.0,0.0,Porzingis,204001.0
127,PT02M46.00S,2022-11-20T23:33:20.6Z,1,REGULAR,foul,technical,['1freethrow'],204001,,,1610612764,30,23,2022-11-20T23:33:27Z,1270000,False,,,0,,K. Porzingis technical FOUL (1 Tech),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,101284.0,,,,,,,0.0,1.0,,
128,PT02M46.00S,2022-11-20T23:33:28.5Z,1,REGULAR,freethrow,1 of 1,[],1626179,,,1610612764,30,23,2022-11-20T23:33:28Z,1280000,False,,,0,,MISS T. Rozier technical Free Throw 1 of 1,[1626179],1610612766.0,CHA,technical,,,Rozier,T. Rozier,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
129,PT02M46.00S,2022-11-20T23:33:28.5Z,1,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612764,30,23,2022-11-20T23:33:28Z,1290000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,
130,PT02M46.00S,2022-11-20T23:33:29.4Z,1,REGULAR,substitution,out,[],204001,,,1610612764,30,23,2022-11-20T23:33:43Z,1300000,False,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M46.00S,2022-11-20T23:33:29.4Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,30,23,2022-11-20T23:33:43Z,1310000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M46.00S,2022-11-20T23:33:29.4Z,1,REGULAR,substitution,in,[],1629655,,,1610612764,30,23,2022-11-20T23:33:43Z,1320000,False,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M46.00S,2022-11-20T23:33:29.4Z,1,REGULAR,substitution,in,[],1628398,,,1610612764,30,23,2022-11-20T23:33:43Z,1330000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M36.00S,2022-11-20T23:33:55.1Z,1,REGULAR,foul,offensive,[],1629655,,,1610612764,30,23,2022-11-20T23:51:50Z,1340000,False,,,0,,D. Gafford offensive FOUL (1 PF),"[1629655, 1626179]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,200833.0,,,,,,,1.0,0.0,Rozier,1626179.0
136,PT02M36.00S,2022-11-20T23:33:55.1Z,1,REGULAR,turnover,offensive foul,[],1629655,,,1610612764,30,23,2022-11-20T23:34:10Z,1360000,False,,,0,,D. Gafford offensive foul TURNOVER (1 TO),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,200833.0,1.0,,,,,,,,,
137,PT02M16.00S,2022-11-20T23:34:26.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628372,82.07950065703022,68.38235294117648,1610612766,30,25,2022-11-20T23:53:48Z,1370000,False,92.0,116.0,1,right,D. Smith Jr. 14' driving floating Jump Shot (2 PTS),[1628372],1610612766.0,CHA,driving floating,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,8-16 Right,14.8,Made,2.0,,,,,,,,,,,,,,,,,
138,PT02M01.00S,2022-11-20T23:34:42.0Z,1,REGULAR,2pt,Jump Shot,[],203115,9.280551905387648,20.34313725490196,1610612764,30,25,2022-11-20T23:54:14Z,1380000,False,148.0,35.0,1,left,MISS W. Barton 15' pullup Shot,[203115],1610612764.0,WAS,pullup,,,Barton,W. Barton,,,,,Mid-Range,8-16 Right,15.23,Missed,,,,,,,,,,,,,,,,,,
139,PT02M01.00S,2022-11-20T23:34:42.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,30,25,2022-11-20T23:34:45Z,1390000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,138.0,,,,,,,,,,,
141,PT01M57.00S,2022-11-20T23:35:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203078,8.623521681997373,55.63725490196079,1610612764,30,25,2022-11-20T23:35:08Z,1410000,False,-28.0,29.0,1,left,MISS B. Beal Layup - blocked,"[203078, 1628372]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,Smith Jr.,1628372.0,,,,,,,,,,,,
142,PT01M57.00S,2022-11-20T23:35:01.8Z,1,REGULAR,block,,[],1628372,,,1610612764,30,25,2022-11-20T23:35:04Z,1420000,False,,,0,,D. Smith Jr. BLOCK (1 BLK),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
143,PT01M57.00S,2022-11-20T23:35:01.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,30,25,2022-11-20T23:35:08Z,1430000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,141.0,,,,,,,,,,,
145,PT01M57.00S,2022-11-20T23:35:09.2Z,1,REGULAR,substitution,out,[],1630692,,,1610612764,30,25,2022-11-20T23:35:12Z,1450000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M57.00S,2022-11-20T23:35:09.2Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,30,25,2022-11-20T23:35:12Z,1460000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M54.00S,2022-11-20T23:35:28.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203115,5.075558475689881,6.127450980392156,1610612764,33,25,2022-11-20T23:35:32Z,1470000,False,219.0,-5.0,1,left,W. Barton 3PT  (3 PTS) (K. Kuzma 3 AST),"[203115, 1628398]",1610612764.0,WAS,,,,Barton,W. Barton,,,,,Right Corner 3,24+ Right,21.95,Made,3.0,K. Kuzma,1628398.0,3.0,,,,,,,,,,,,,,
149,PT01M38.00S,2022-11-20T23:35:44.5Z,1,REGULAR,2pt,Jump Shot,[],1629023,77.61169513797634,71.81372549019608,1610612766,33,25,2022-11-20T23:35:51Z,1490000,False,109.0,158.0,1,right,MISS P. Washington 19' floating Shot,[1629023],1610612766.0,CHA,floating,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right Center,19.2,Missed,,,,,,,,,,,,,,,,,,
150,PT01M31.00S,2022-11-20T23:35:51.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,33,25,2022-11-20T23:35:51Z,1500000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,149.0,,,1.0,1.0,0.0,,,,,,
151,PT01M19.00S,2022-11-20T23:36:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,19.66162943495401,44.85294117647059,1610612764,35,25,2022-11-20T23:36:08Z,1510000,False,26.0,132.0,1,left,B. Beal 13' step back Jump Shot (4 PTS),[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,13.48,Made,4.0,,,,,,,,,,,,,,,,,
152,PT01M04.00S,2022-11-20T23:36:17.9Z,1,REGULAR,turnover,lost ball,[],1629023,,,1610612766,35,25,2022-11-20T23:36:26Z,1520000,False,,,0,,P. Washington lost ball TURNOVER (1 TO),"[1629023, 203078]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1.0,,,,Beal,203078.0,,,,
153,PT01M04.00S,2022-11-20T23:36:17.9Z,1,REGULAR,steal,,[],203078,,,1610612764,35,25,2022-11-20T23:36:19Z,1530000,False,,,0,,B. Beal STEAL (3 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
154,PT00M58.80S,2022-11-20T23:36:23.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630557,6.915243101182654,46.07843137254902,1610612764,35,25,2022-11-21T00:37:29Z,1540000,False,20.0,13.0,1,left,MISS C. Kispert running Layup,[1630557],1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,2.32,Missed,,,,,,,,,,,,,,,,,,
155,PT00M55.50S,2022-11-20T23:36:27.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,35,25,2022-11-20T23:36:36Z,1550000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,154.0,,,1.0,1.0,0.0,,,,,,
156,PT00M53.90S,2022-11-20T23:36:28.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,71.30420499342969,17.15686274509804,1610612766,35,25,2022-11-20T23:36:40Z,1560000,False,-164.0,217.0,1,right,MISS T. Rozier 27' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,27.23,Missed,,,,,,,,,,,,,,,,,,
157,PT00M51.00S,2022-11-20T23:36:31.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,35,25,2022-11-20T23:36:40Z,1570000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,,,,156.0,,,2.0,2.0,0.0,,,,,,
158,PT00M32.10S,2022-11-20T23:36:50.8Z,1,REGULAR,3pt,Jump Shot,[],203115,5.601182654402102,96.81372549019608,1610612764,35,25,2022-11-20T23:36:55Z,1580000,False,-234.0,0.0,1,left,MISS W. Barton 3PT,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
159,PT00M29.30S,2022-11-20T23:36:53.6Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,35,25,2022-11-20T23:36:55Z,1590000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:3),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,,,,,,,,,158.0,,,4.0,3.0,1.0,,,,,,
160,PT00M10.50S,2022-11-20T23:37:12.5Z,1,REGULAR,2pt,Jump Shot,[],1626179,80.76544021024968,66.17647058823529,1610612766,35,25,2022-11-20T23:37:18Z,1600000,False,81.0,128.0,1,right,MISS T. Rozier 15' step back Shot,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,15.17,Missed,,,,,,,,,,,,,,,,,,
161,PT00M08.20S,2022-11-20T23:37:14.8Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,35,25,2022-11-20T23:37:18Z,1610000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,,,,,,,,,160.0,,,2.0,1.0,1.0,,,,,,
162,PT00M08.20S,2022-11-20T23:37:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,94.40999984741211,50.0,1610612766,35,27,2022-11-20T23:37:17Z,1620000,False,0.0,0.0,1,right,N. Richards tip Layup (2 PTS),[1630208],1610612766.0,CHA,tip,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
163,PT00M00.30S,2022-11-20T23:37:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,10.5946123521682,42.8921568627451,1610612764,35,27,2022-11-20T23:38:05Z,1630000,False,36.0,47.0,1,left,MISS K. Kuzma driving Layup,[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.9,Missed,,,,,,,,,,,,,,,,,,
164,PT00M00.10S,2022-11-20T23:37:25.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,35,27,2022-11-20T23:38:05Z,1640000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,163.0,,,3.0,2.0,1.0,,,,,,
165,PT00M00.00S,2022-11-20T23:37:37.3Z,1,REGULAR,period,end,[],0,,,1610612766,35,27,2022-11-20T23:37:37Z,1650000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-11-20T23:39:30.1Z,2,REGULAR,substitution,out,['startperiod'],203078,,,1610612766,35,27,2022-11-20T23:39:44Z,1660000,False,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-11-20T23:39:30.1Z,2,REGULAR,substitution,out,['startperiod'],1628372,,,1610612766,35,27,2022-11-20T23:39:44Z,1670000,False,,,0,,SUB out: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-11-20T23:39:30.1Z,2,REGULAR,substitution,in,['startperiod'],1630692,,,1610612766,35,27,2022-11-20T23:39:44Z,1680000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-11-20T23:39:30.1Z,2,REGULAR,substitution,in,['startperiod'],202330,,,1610612766,35,27,2022-11-20T23:39:44Z,1690000,False,,,0,,SUB in: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-11-20T23:40:09.0Z,2,REGULAR,period,start,[],0,,,1610612766,35,27,2022-11-20T23:40:09Z,1700000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
