actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
42,PT08M26.00S,2023-03-04T22:15:17.5Z,1,REGULAR,steal,,[],1627751,,,1610612761,7,4,2023-03-04T22:15:19Z,420000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612761.0,TOR,,Poeltl,J. Poeltl,,,,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2023-03-04T22:15:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,8.754927726675426,50.0,1610612761,7,6,2023-03-04T22:15:34Z,430000,False,0.0,30.0,1,left,P. Siakam finger roll Layup (4 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,,Siakam,P. Siakam,finger roll,,,,,,,Restricted Area,0-8 Center,2.98,Made,4.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,
45,PT08M01.00S,2023-03-04T22:15:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,93.9060446780552,45.34313725490196,1610612764,7,6,2023-03-04T22:15:47Z,450000,False,-23.0,5.0,1,right,MISS B. Beal driving reverse Layup,[203078],1610612764.0,WAS,,Beal,B. Beal,driving reverse,,,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,
46,PT07M59.00S,2023-03-04T22:15:45.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,7,6,2023-03-04T22:15:47Z,460000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,Poeltl,J. Poeltl,,,,,,,,Restricted Area,0-8 Center,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT07M51.00S,2023-03-04T22:15:52.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,7.966491458607096,49.50980392156863,1610612761,7,8,2023-03-04T22:15:57Z,470000,False,2.0,22.0,1,left,S. Barnes driving DUNK (4 PTS),[1630567],1610612761.0,TOR,,Barnes,S. Barnes,driving,,,,,,,Restricted Area,0-8 Center,2.25,Made,4.0,,,,,,,,,,,,,,,,
48,PT07M34.00S,2023-03-04T22:16:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612764,7,8,2023-03-04T22:16:17Z,480000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1627751, 1628398]",1610612761.0,TOR,1628484.0,Poeltl,J. Poeltl,shooting,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Kuzma,1628398.0,,,,,
50,PT07M34.00S,2023-03-04T22:16:43.1Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,8,8,2023-03-04T22:16:43Z,500000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
51,PT07M34.00S,2023-03-04T22:17:03.3Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,9,8,2023-03-04T22:17:03Z,510000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
52,PT07M18.00S,2023-03-04T22:17:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,10.463206307490145,58.333333333333336,1610612761,9,8,2023-03-04T22:17:26Z,520000,False,-42.0,46.0,1,left,MISS J. Poeltl 6' cutting Layup,[1627751],1610612761.0,TOR,,Poeltl,J. Poeltl,cutting,,,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,,,,,,,,,,,
53,PT07M15.00S,2023-03-04T22:17:24.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,9,8,2023-03-04T22:17:26Z,530000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,Porzingis,K. Porzingis,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,
54,PT07M06.00S,2023-03-04T22:17:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626153,94.03745072273325,48.03921568627451,1610612764,11,8,2023-03-04T22:17:38Z,540000,False,-10.0,4.0,1,right,D. Wright driving reverse Layup (2 PTS) (K. Porzingis 1 AST),"[1626153, 204001]",1610612764.0,WAS,,Wright,D. Wright,driving reverse,,,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,
56,PT06M59.00S,2023-03-04T22:17:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,20.18725361366623,6.372549019607843,1610612761,11,8,2023-03-04T22:17:47Z,560000,False,218.0,137.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612761.0,TOR,,Anunoby,O. Anunoby,,,,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2023-03-04T22:17:44.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,11,8,2023-03-04T22:17:47Z,570000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,
58,PT06M51.00S,2023-03-04T22:17:51.5Z,1,REGULAR,foul,offensive,[],1628398,,,1610612764,11,8,2023-03-04T22:18:07Z,580000,False,,,0,,K. Kuzma charge offensive FOUL (1 PF),"[1628398, 1627751]",1610612764.0,WAS,1179.0,Kuzma,K. Kuzma,charge,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,,,
60,PT06M51.00S,2023-03-04T22:17:51.5Z,1,REGULAR,turnover,offensive foul,[],1628398,,,1610612764,11,8,2023-03-04T22:17:51Z,600000,False,,,0,,K. Kuzma offensive foul TURNOVER (1 TO),[1628398],1610612764.0,WAS,1179.0,Kuzma,K. Kuzma,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,1.0,,
61,PT06M51.00S,2023-03-04T22:18:00.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,11,8,2023-03-04T22:18:00Z,610000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2023-03-04T22:20:01.8Z,1,REGULAR,substitution,out,[],1629655,,,1610612761,11,8,2023-03-04T22:20:45Z,620000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2023-03-04T22:20:01.8Z,1,REGULAR,substitution,out,[],1628398,,,1610612761,11,8,2023-03-04T22:20:45Z,630000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2023-03-04T22:20:01.8Z,1,REGULAR,substitution,in,[],1630166,,,1610612761,11,8,2023-03-04T22:20:45Z,640000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M51.00S,2023-03-04T22:20:01.8Z,1,REGULAR,substitution,in,[],1630557,,,1610612761,11,8,2023-03-04T22:20:45Z,650000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M35.00S,2023-03-04T22:21:08.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,5.863994743758213,49.26470588235294,1610612761,11,10,2023-03-04T22:21:17Z,660000,False,4.0,3.0,1,left,J. Poeltl cutting Layup (2 PTS) (F. VanVleet 1 AST),"[1627751, 1627832]",1610612761.0,TOR,,Poeltl,J. Poeltl,cutting,,,,,,,Restricted Area,0-8 Center,0.45,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,
68,PT06M19.00S,2023-03-04T22:21:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,93.64323258869908,57.59803921568627,1610612764,13,10,2023-03-04T22:21:29Z,680000,False,38.0,7.0,1,right,B. Beal driving floating bank Jump Shot (2 PTS),[203078],1610612764.0,WAS,,Beal,B. Beal,driving floating bank,,,,,,,Restricted Area,0-8 Center,3.87,Made,2.0,,,,,,,,,,,,,,,,
69,PT06M09.00S,2023-03-04T22:21:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612761,13,10,2023-03-04T22:21:46Z,690000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Siakam 2 FT),"[1630166, 1627783]",1610612764.0,WAS,1662.0,Avdija,D. Avdija,shooting,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Siakam,1627783.0,,,,,
71,PT06M09.00S,2023-03-04T22:22:04.8Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,13,11,2023-03-04T22:22:08Z,710000,False,,,0,,P. Siakam Free Throw 1 of 2 (5 PTS),[1627783],1610612761.0,TOR,,Siakam,P. Siakam,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,
72,PT06M09.00S,2023-03-04T22:22:05.7Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,13,11,2023-03-04T22:22:12Z,720000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M09.00S,2023-03-04T22:22:05.7Z,1,REGULAR,substitution,in,[],1629018,,,1610612761,13,11,2023-03-04T22:22:12Z,730000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2023-03-04T22:22:28.7Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,13,12,2023-03-04T22:22:28Z,740000,False,,,0,,P. Siakam Free Throw 2 of 2 (6 PTS),[1627783],1610612761.0,TOR,,Siakam,P. Siakam,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,
75,PT05M54.00S,2023-03-04T22:22:49.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,79.97700394218134,95.09803921568627,1610612764,13,12,2023-03-04T22:23:04Z,750000,False,225.0,136.0,1,right,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,Avdija,D. Avdija,,,,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2023-03-04T22:22:52.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,13,12,2023-03-04T22:22:56Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,75.0,,,,,,,,,,,,
81,PT05M50.00S,2023-03-04T22:23:36.7Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612764,13,12,2023-03-04T22:24:28Z,765000,False,,,0,,Jump Ball K. Porzingis vs. J. Poeltl: Tip to D. Avdija,"[1630166, 204001, 1627751]",1610612764.0,WAS,,Avdija,D. Avdija,heldball,D. Avdija,1630166.0,Porzingis,204001.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
