actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
88,PT04M01.00S,2022-10-25T23:26:53.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630191,25.18068331143233,54.65686274509803,1610612765,18,21,2022-10-25T23:27:00Z,870000,-23.0,184.0,1,left,I. Stewart 18' Jump Shot (4 PTS) (J. Ivey 2 AST),"[1630191, 1631093]",1610612765.0,DET,,,,,,,Mid-Range,16-24 Center,18.57,Made,Stewart,I. Stewart,,,,,,,,,,4.0,J. Ivey,1631093.0,2.0,,,,,
90,PT03M37.00S,2022-10-25T23:27:17.1Z,1,REGULAR,3pt,Jump Shot,[],203078,72.48685939553219,21.323529411764707,1610612764,18,21,2022-10-25T23:27:21Z,890000,-143.0,206.0,1,right,MISS B. Beal 25' 3PT,[203078],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,25.11,Missed,Beal,B. Beal,,,,,,,,,,,,,,,,,,
91,PT03M37.00S,2022-10-25T23:27:17.1Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,18,21,2022-10-25T23:28:06Z,900000,,,0,,B. Bogdanovic REBOUND (Off:1 Def:1),[202711],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Bogdanovic,B. Bogdanovic,90.0,2.0,1.0,1.0,,,,,,,,,,,,,,
92,PT03M24.00S,2022-10-25T23:27:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,7.703679369250986,42.64705882352941,1610612765,18,23,2022-10-25T23:27:36Z,910000,37.0,20.0,1,left,J. Ivey driving Layup (5 PTS) (I. Stewart 1 AST),"[1631093, 1630191]",1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,4.18,Made,Ivey,J. Ivey,,,,,,,,,,5.0,I. Stewart,1630191.0,1.0,,,,,
93,PT03M16.00S,2022-10-25T23:27:40.9Z,1,REGULAR,foul,personal,['2freethrow'],202711,,,1610612764,18,23,2022-10-25T23:27:46Z,920000,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Hachimura 2 FT),"[202711, 1629060]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,Bogdanovic,B. Bogdanovic,,,,,1627519.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,
95,PT03M16.00S,2022-10-25T23:28:07.0Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612764,19,23,2022-10-25T23:28:07Z,940000,,,0,,R. Hachimura Free Throw 1 of 2 (3 PTS),[1629060],1610612764.0,WAS,,,,,,,,,,Made,Hachimura,R. Hachimura,,,,,,,,,,3.0,,,,,,,,
97,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,out,[],204001,,,1610612764,19,23,2022-10-25T23:28:26Z,950000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,,,,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
98,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,out,[],1631093,,,1610612764,19,23,2022-10-25T23:28:26Z,960000,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,,,,,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,
99,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,out,[],1630191,,,1610612764,19,23,2022-10-25T23:28:26Z,970000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
100,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,in,[],1629655,,,1610612764,19,23,2022-10-25T23:28:26Z,980000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,,,,,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,
101,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,in,[],1630165,,,1610612764,19,23,2022-10-25T23:28:26Z,990000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,
102,PT03M16.00S,2022-10-25T23:28:11.8Z,1,REGULAR,substitution,in,[],1631105,,,1610612764,19,23,2022-10-25T23:28:26Z,1000000,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,,,,,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,
103,PT03M16.00S,2022-10-25T23:28:29.6Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612764,20,23,2022-10-25T23:28:29Z,1010000,,,0,,R. Hachimura Free Throw 2 of 2 (4 PTS),[1629060],1610612764.0,WAS,,,,,,,,,,Made,Hachimura,R. Hachimura,,,,,,,,,,4.0,,,,,,,,
104,PT03M11.00S,2022-10-25T23:28:39.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,20,23,2022-10-25T23:28:39Z,1020000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M11.00S,2022-10-25T23:28:51.8Z,1,REGULAR,substitution,out,[],202711,,,1610612765,20,23,2022-10-25T23:31:11Z,1030000,,,0,,SUB out: B. Bogdanovic,[202711],1610612765.0,DET,,,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,
106,PT03M11.00S,2022-10-25T23:28:51.8Z,1,REGULAR,substitution,in,[],1630587,,,1610612765,20,23,2022-10-25T23:31:11Z,1040000,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,,,,,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,
107,PT03M02.00S,2022-10-25T23:31:42.0Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,20,23,2022-10-25T23:31:48Z,1050000,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1626153]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,1.0,Wright,1626153.0,,
108,PT03M02.00S,2022-10-25T23:31:42.0Z,1,REGULAR,steal,,[],1626153,,,1610612764,20,23,2022-10-25T23:31:43Z,1060000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,
109,PT02M59.00S,2022-10-25T23:31:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626153,94.03745072273325,47.794117647058826,1610612764,22,23,2022-10-25T23:31:54Z,1070000,-11.0,4.0,1,right,D. Wright running Layup (2 PTS) (B. Beal 3 AST),"[1626153, 203078]",1610612764.0,WAS,running,,,,,,Restricted Area,0-8 Center,1.15,Made,Wright,D. Wright,,,,,,,,,,2.0,B. Beal,203078.0,3.0,,,,,
111,PT02M36.00S,2022-10-25T23:32:07.2Z,1,REGULAR,2pt,Jump Shot,[],1630180,17.95335085413929,65.93137254901961,1610612765,22,23,2022-10-25T23:32:16Z,1090000,-80.0,116.0,1,left,MISS S. Bey 14' pullup Shot,[1630180],1610612765.0,DET,pullup,,,,,,Mid-Range,8-16 Left,14.1,Missed,Bey,S. Bey,,,,,,,,,,,,,,,,,,
112,PT02M33.00S,2022-10-25T23:32:10.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,22,23,2022-10-25T23:32:16Z,1100000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Left,,,Gafford,D. Gafford,111.0,1.0,1.0,0.0,,,,,,,,,,,,,,
113,PT02M22.00S,2022-10-25T23:32:22.8Z,1,REGULAR,turnover,out-of-bounds,[],1629060,,,1610612764,22,23,2022-10-25T23:32:43Z,1110000,,,0,,R. Hachimura bad pass out-of-bounds TURNOVER (1 TO),[1629060],1610612764.0,WAS,bad pass,,,,,,Above the Break 3,24+ Center,,,Hachimura,R. Hachimura,,,,,202007.0,,,,,,,,,1.0,,,,
115,PT02M22.00S,2022-10-25T23:32:30.6Z,1,REGULAR,substitution,out,[],203078,,,1610612765,22,23,2022-10-25T23:32:32Z,1130000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,,,,,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,
116,PT02M22.00S,2022-10-25T23:32:30.6Z,1,REGULAR,substitution,in,[],1628398,,,1610612765,22,23,2022-10-25T23:32:32Z,1140000,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
117,PT02M13.00S,2022-10-25T23:32:49.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630595,24.78646517739816,44.85294117647059,1610612765,22,25,2022-10-25T23:32:55Z,1150000,26.0,180.0,1,left,C. Cunningham 18' pullup Jump Shot (4 PTS),[1630595],1610612765.0,DET,pullup,,,,,,Mid-Range,16-24 Center,18.23,Made,Cunningham,C. Cunningham,,,,,,,,,,4.0,,,,,,,,
118,PT01M58.00S,2022-10-25T23:33:04.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,71.43561103810775,20.098039215686274,1610612764,22,25,2022-10-25T23:33:11Z,1160000,-150.0,216.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,26.27,Missed,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
119,PT01M54.00S,2022-10-25T23:33:08.5Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,22,25,2022-10-25T23:33:11Z,1170000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Gafford,D. Gafford,118.0,2.0,1.0,1.0,,,,,,,,,,,,,,
120,PT01M53.00S,2022-10-25T23:33:09.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629655,93.51182654402102,50.0,1610612764,24,25,2022-10-25T23:35:57Z,1180000,0.0,8.0,1,right,D. Gafford putback DUNK (2 PTS),[1629655],1610612764.0,WAS,putback,,,,,,Restricted Area,0-8 Center,0.85,Made,Gafford,D. Gafford,,,,,,,,,,2.0,,,,,,,,
121,PT01M45.00S,2022-10-25T23:33:20.4Z,1,REGULAR,turnover,out-of-bounds,[],1630165,,,1610612765,24,25,2022-10-25T23:33:27Z,1190000,,,0,,K. Hayes lost ball out-of-bounds TURNOVER (1 TO),[1630165],1610612765.0,DET,lost ball,,,,,,Above the Break 3,24+ Right Center,,,Hayes,K. Hayes,,,,,202007.0,,,,,,,,,1.0,,,,
122,PT01M29.00S,2022-10-25T23:33:41.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629060,82.60512483574244,30.392156862745097,1610612764,26,25,2022-10-25T23:33:45Z,1200000,-98.0,111.0,1,right,R. Hachimura 14' pullup Jump Shot (6 PTS),[1629060],1610612764.0,WAS,pullup,,,,,,Mid-Range,8-16 Left,14.81,Made,Hachimura,R. Hachimura,,,,,,,,,,6.0,,,,,,,,
123,PT01M12.00S,2022-10-25T23:33:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,10.85742444152431,65.44117647058823,1610612765,26,25,2022-10-25T23:34:01Z,1210000,-77.0,50.0,1,left,MISS J. Duren 9' alley-oop Layup - blocked,"[1631105, 1629655]",1610612765.0,DET,alley-oop,,,,,,In The Paint (Non-RA),8-16 Left,9.18,Missed,Duren,J. Duren,,,,,,,,,,,,,,,,,Gafford,1629655.0
124,PT01M12.00S,2022-10-25T23:33:56.8Z,1,REGULAR,block,,[],1629655,,,1610612765,26,25,2022-10-25T23:34:00Z,1220000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),8-16 Left,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,
125,PT01M09.00S,2022-10-25T23:33:59.8Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,26,25,2022-10-25T23:39:18Z,1230000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),8-16 Left,,,Hachimura,R. Hachimura,123.0,2.0,2.0,0.0,,,,,,,,,,,,,,
126,PT01M05.00S,2022-10-25T23:34:04.4Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",1629655,89.96386333771353,52.20588235294118,1610612764,28,25,2022-10-25T23:39:41Z,1240000,11.0,42.0,1,right,D. Gafford turnaround Hook (4 PTS) (D. Wright 1 AST),"[1629655, 1626153]",1610612764.0,WAS,turnaround,,,,,,Restricted Area,0-8 Center,4.32,Made,Gafford,D. Gafford,,,,,,,,,,4.0,D. Wright,1626153.0,1.0,,,,,
128,PT00M47.90S,2022-10-25T23:34:22.6Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,28,25,2022-10-25T23:34:28Z,1260000,,,0,,C. Cunningham bad pass TURNOVER (2 TO),"[1630595, 203115]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,2.0,Barton,203115.0,,
129,PT00M47.90S,2022-10-25T23:34:22.6Z,1,REGULAR,steal,,[],203115,,,1610612764,28,25,2022-10-25T23:34:24Z,1270000,,,0,,W. Barton STEAL (1 STL),[203115],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Left,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,
130,PT00M47.10S,2022-10-25T23:34:26.2Z,1,REGULAR,foul,personal,[],1630595,,,1610612764,28,25,2022-10-25T23:34:47Z,1280000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 203115]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Cunningham,C. Cunningham,,,,,1627519.0,1.0,0.0,Barton,203115.0,,,,,,,,,
132,PT00M47.10S,2022-10-25T23:34:34.5Z,1,REGULAR,substitution,out,[],1630595,,,1610612764,28,25,2022-10-25T23:34:43Z,1300000,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
133,PT00M47.10S,2022-10-25T23:34:34.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612764,28,25,2022-10-25T23:34:43Z,1310000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,,,,,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,
134,PT00M47.10S,2022-10-25T23:34:34.5Z,1,REGULAR,substitution,in,[],202709,,,1610612764,28,25,2022-10-25T23:34:43Z,1320000,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,,,,,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,
135,PT00M47.10S,2022-10-25T23:34:34.5Z,1,REGULAR,substitution,in,[],1628977,,,1610612764,28,25,2022-10-25T23:34:43Z,1330000,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,,,,,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,
136,PT00M28.40S,2022-10-25T23:35:15.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629060,78.40013140604468,52.94117647058824,1610612764,28,25,2022-10-25T23:41:05Z,1340000,15.0,151.0,1,right,MISS R. Hachimura 15' Jump Shot,[1629060],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Center,15.12,Missed,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,
137,PT00M24.50S,2022-10-25T23:35:18.9Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,28,25,2022-10-25T23:35:20Z,1350000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,,,,Mid-Range,8-16 Center,,,Joseph,C. Joseph,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
138,PT00M01.60S,2022-10-25T23:35:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,16.63929040735874,37.5,1610612765,28,25,2022-10-25T23:35:51Z,1360000,62.0,104.0,1,left,MISS K. Hayes 12' pullup Shot,[1630165],1610612765.0,DET,pullup,,,,,,In The Paint (Non-RA),8-16 Right,12.12,Missed,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,
139,PT00M01.60S,2022-10-25T23:35:41.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,28,25,2022-10-25T23:35:51Z,1370000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),8-16 Right,,,Kuzma,K. Kuzma,138.0,2.0,2.0,0.0,,,,,,,,,,,,,,
140,PT00M00.00S,2022-10-25T23:35:54.6Z,1,REGULAR,period,end,[],0,,,1610612764,28,25,2022-10-25T23:35:54Z,1380000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-10-25T23:38:29.6Z,2,REGULAR,period,start,[],0,,,1610612764,28,25,2022-10-25T23:38:29Z,1390000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT11M46.00S,2022-10-25T23:38:55.2Z,2,REGULAR,foul,personal,[],1631105,,,1610612764,28,25,2022-10-25T23:39:04Z,1410000,,,0,,J. Duren personal FOUL (1 PF),"[1631105, 1629655]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Duren,J. Duren,,,,,202007.0,1.0,0.0,Gafford,1629655.0,,,,,,,,,
146,PT11M33.00S,2022-10-25T23:39:20.7Z,2,REGULAR,2pt,Jump Shot,[],1628398,96.40275952693824,88.48039215686273,1610612764,28,25,2022-10-25T23:39:30Z,1440000,192.0,-19.0,1,right,MISS K. Kuzma 19' fadeaway Shot,[1628398],1610612764.0,WAS,fadeaway,,,,,,Mid-Range,16-24 Right,19.33,Missed,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
147,PT11M29.00S,2022-10-25T23:39:24.7Z,2,REGULAR,rebound,defensive,[],1628977,,,1610612765,28,25,2022-10-25T23:39:30Z,1450000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,,,,Mid-Range,16-24 Right,,,Diallo,H. Diallo,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
148,PT11M16.00S,2022-10-25T23:39:37.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628977,9.937582128777924,53.18627450980392,1610612765,28,25,2022-10-25T23:39:46Z,1460000,-16.0,41.0,1,left,MISS H. Diallo Hook,[1628977],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,4.39,Missed,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,
149,PT11M10.00S,2022-10-25T23:39:43.4Z,2,REGULAR,rebound,offensive,[],1631105,,,1610612765,28,25,2022-10-25T23:39:46Z,1470000,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,148.0,1.0,0.0,1.0,,,,,,,,,,,,,,
150,PT11M10.00S,2022-10-25T23:39:42.7Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1631105,5.590000152587891,50.0,1610612765,28,27,2022-10-25T23:44:00Z,1480000,0.0,0.0,1,left,J. Duren tip DUNK (2 PTS),[1631105],1610612765.0,DET,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Duren,J. Duren,,,,,,,,,,2.0,,,,,,,,
151,PT11M05.00S,2022-10-25T23:39:47.0Z,2,REGULAR,3pt,Jump Shot,[],1626153,74.32654402102497,89.70588235294117,1610612764,28,27,2022-10-25T23:39:54Z,1490000,199.0,189.0,1,right,MISS D. Wright 27' 3PT,[1626153],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,27.39,Missed,Wright,D. Wright,,,,,,,,,,,,,,,,,,
152,PT11M03.00S,2022-10-25T23:39:49.0Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612765,28,27,2022-10-25T23:39:54Z,1500000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Hayes,K. Hayes,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,
153,PT11M00.00S,2022-10-25T23:39:53.9Z,2,REGULAR,turnover,out-of-bounds,[],1630165,,,1610612765,28,27,2022-10-25T23:40:01Z,1510000,,,0,,K. Hayes bad pass out-of-bounds TURNOVER (2 TO),[1630165],1610612765.0,DET,bad pass,,,,,,Above the Break 3,24+ Left Center,,,Hayes,K. Hayes,,,,,202007.0,,,,,,,,,2.0,,,,
154,PT10M45.00S,2022-10-25T23:40:20.1Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629655,88.38699080157687,51.225490196078425,1610612764,28,27,2022-10-25T23:40:24Z,1520000,6.0,57.0,1,right,MISS D. Gafford Hook,[1629655],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,
155,PT10M42.00S,2022-10-25T23:40:23.1Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,28,27,2022-10-25T23:40:24Z,1530000,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Duren,J. Duren,154.0,2.0,1.0,1.0,,,,,,,,,,,,,,
156,PT10M35.00S,2022-10-25T23:40:30.0Z,2,REGULAR,3pt,Jump Shot,[],1630587,25.04927726675427,14.950980392156863,1610612765,28,27,2022-10-25T23:40:38Z,1540000,175.0,183.0,1,left,MISS I. Livers 25' 3PT,[1630587],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,25.33,Missed,Livers,I. Livers,,,,,,,,,,,,,,,,,,
157,PT10M32.00S,2022-10-25T23:40:33.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,28,27,2022-10-25T23:40:38Z,1550000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,,,156.0,,,,,,,,,,,,,,,,,
159,PT10M11.00S,2022-10-25T23:41:03.4Z,2,REGULAR,3pt,Jump Shot,[],1628398,82.34231274638634,95.09803921568627,1610612764,28,27,2022-10-25T23:41:08Z,1570000,225.0,113.0,1,right,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,25.25,Missed,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
160,PT10M07.00S,2022-10-25T23:41:07.4Z,2,REGULAR,rebound,defensive,[],1628977,,,1610612765,28,27,2022-10-25T23:41:08Z,1580000,,,0,,H. Diallo REBOUND (Off:0 Def:2),[1628977],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Diallo,H. Diallo,159.0,2.0,2.0,0.0,,,,,,,,,,,,,,
161,PT09M58.00S,2022-10-25T23:41:16.3Z,2,REGULAR,3pt,Jump Shot,[],1630165,19.66162943495401,97.30392156862744,1610612765,28,27,2022-10-25T23:41:20Z,1590000,-237.0,132.0,1,left,MISS K. Hayes 27' step back 3PT,[1630165],1610612765.0,DET,step back,,,,,,Above the Break 3,24+ Left Center,27.1,Missed,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,
162,PT09M55.00S,2022-10-25T23:41:19.3Z,2,REGULAR,rebound,defensive,[],1629655,,,1610612764,28,27,2022-10-25T23:41:20Z,1600000,,,0,,D. Gafford REBOUND (Off:1 Def:2),[1629655],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Gafford,D. Gafford,161.0,3.0,2.0,1.0,,,,,,,,,,,,,,
163,PT09M50.00S,2022-10-25T23:41:24.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,90.75229960578186,58.333333333333336,1610612764,28,27,2022-10-25T23:41:29Z,1610000,42.0,34.0,1,right,MISS W. Barton driving Layup,[203115],1610612764.0,WAS,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,Barton,W. Barton,,,,,,,,,,,,,,,,,,
164,PT09M48.00S,2022-10-25T23:41:26.6Z,2,REGULAR,rebound,defensive,[],1628977,,,1610612765,28,27,2022-10-25T23:41:29Z,1620000,,,0,,H. Diallo REBOUND (Off:0 Def:3),[1628977],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Diallo,H. Diallo,163.0,3.0,3.0,0.0,,,,,,,,,,,,,,
165,PT09M37.00S,2022-10-25T23:41:39.2Z,2,REGULAR,turnover,out-of-bounds,[],202709,,,1610612765,28,27,2022-10-25T23:41:46Z,1630000,,,0,,C. Joseph bad pass out-of-bounds TURNOVER (1 TO),[202709],1610612765.0,DET,bad pass,,,,,,In The Paint (Non-RA),8-16 Center,,,Joseph,C. Joseph,,,,,204059.0,,,,,,,,,1.0,,,,
167,PT09M25.00S,2022-10-25T23:41:58.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628398,93.51182654402102,61.029411764705884,1610612764,30,27,2022-10-25T23:42:03Z,1650000,55.0,8.0,1,right,K. Kuzma driving bank Jump Shot (4 PTS) (D. Wright 2 AST),"[1628398, 1626153]",1610612764.0,WAS,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,5.58,Made,Kuzma,K. Kuzma,,,,,,,,,,4.0,D. Wright,1626153.0,2.0,,,,,
169,PT09M14.00S,2022-10-25T23:42:09.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,8.886333771353483,56.61764705882353,1610612765,30,27,2022-10-25T23:42:16Z,1670000,-33.0,31.0,1,left,MISS K. Hayes driving Layup - blocked,"[1630165, 203115]",1610612765.0,DET,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.53,Missed,Hayes,K. Hayes,,,,,,,,,,,,,,,,,Barton,203115.0
170,PT09M14.00S,2022-10-25T23:42:09.5Z,2,REGULAR,block,,[],203115,,,1610612765,30,27,2022-10-25T23:42:12Z,1680000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,
171,PT09M14.00S,2022-10-25T23:42:09.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612765,30,27,2022-10-25T23:42:16Z,1690000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,169.0,,,,,,,,,,,,,,,,,
173,PT09M10.00S,2022-10-25T23:42:31.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,6.915243101182654,47.549019607843135,1610612765,30,27,2022-10-25T23:42:38Z,1710000,12.0,13.0,1,left,MISS J. Duren Layup,[1631105],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,1.75,Missed,Duren,J. Duren,,,,,,,,,,,,,,,,,,
