actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
188,PT11M18.00S,2025-12-21T01:38:16.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642848,88.91261498028909,54.41176470588235,1610612764,32,27,2025-12-21T01:44:32Z,1840000,False,22.0,52.0,1,right,T. Johnson driving floating bank Jump Shot (7 PTS),[1642848],1610612764.0,WAS,driving floating bank,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.62,Made,7.0,,,,,,,,,,,,,,,,,
189,PT11M05.00S,2025-12-21T01:38:30.4Z,2,REGULAR,3pt,Jump Shot,[],1642907,32.670827858081466,41.42156862745098,1610612763,35,27,2025-12-21T01:38:34Z,1850000,False,43.0,255.0,1,left,C. Coward 25' 3PT  (3 PTS) (O. Prosper 2 AST),"[1642907, 1641765]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Center,25.82,Made,3.0,,,,,,,,,,,O. Prosper,1641765.0,2.0,,,,
191,PT10M52.00S,2025-12-21T01:38:43.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642273,86.67871222076215,63.48039215686274,1610612764,35,29,2025-12-21T01:38:46Z,1870000,False,67.0,73.0,1,right,K. George 9' pullup Jump Shot (4 PTS),[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Right,9.91,Made,4.0,,,,,,,,,,,,,,,,,
192,PT10M39.00S,2025-12-21T01:38:56.6Z,2,REGULAR,2pt,Jump Shot,[],203484,5.601182654402102,70.09803921568627,1610612763,37,29,2025-12-21T01:38:59Z,1880000,False,-100.0,0.0,1,left,K. Caldwell-Pope 10' pullup Jump Shot (2 PTS),[203484],1610612763.0,MEM,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,10.05,Made,2.0,,,,,,,,,,,,,,,,,
194,PT10M24.00S,2025-12-21T01:39:10.7Z,2,REGULAR,3pt,Jump Shot,[],1642860,77.34888304862024,11.029411764705882,1610612764,37,32,2025-12-21T01:39:14Z,1900000,False,-195.0,160.0,1,right,W. Riley 25' 3PT  (4 PTS) (B. Carrington 2 AST),"[1642860, 1642267]",1610612764.0,WAS,,,,Riley,W. Riley,,,,,Above the Break 3,24+ Left Center,25.24,Made,4.0,,,,,,,,,,,B. Carrington,1642267.0,2.0,,,,
196,PT10M03.00S,2025-12-21T01:39:32.7Z,2,REGULAR,3pt,Jump Shot,[],1628991,28.86005256241787,73.0392156862745,1610612763,40,32,2025-12-21T01:39:36Z,1920000,False,-115.0,219.0,1,left,J. Jackson Jr. 24' 3PT  (15 PTS) (S. Aldama 2 AST),"[1628991, 1630583]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,24.73,Made,15.0,,,,,,,,,,,S. Aldama,1630583.0,2.0,,,,
198,PT09M47.00S,2025-12-21T01:39:47.9Z,2,REGULAR,3pt,Jump Shot,[],1642860,71.43561103810775,22.058823529411764,1610612764,40,32,2025-12-21T01:39:52Z,1940000,False,-140.0,216.0,1,right,MISS W. Riley 25' 3PT,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
199,PT09M44.00S,2025-12-21T01:39:50.9Z,2,REGULAR,rebound,defensive,[],1642907,,,1610612763,40,32,2025-12-21T01:39:52Z,1950000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,,,,,,198.0,1.0,1.0,0.0,,,,,,,,,,,
200,PT09M43.00S,2025-12-21T01:39:55.6Z,2,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612763,40,32,2025-12-21T01:40:14Z,1960000,False,,,0,,T. Johnson shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1642848, 203484]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,Caldwell-Pope,203484.0
202,PT09M43.00S,2025-12-21T01:40:42.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],203484,,,1610612763,41,32,2025-12-21T01:40:42Z,1980000,False,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (3 PTS),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
203,PT09M43.00S,2025-12-21T01:40:58.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203484,,,1610612763,42,32,2025-12-21T01:40:58Z,1990000,False,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (4 PTS),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
204,PT09M31.00S,2025-12-21T01:41:11.3Z,2,REGULAR,3pt,Jump Shot,[],1642848,70.12155059132719,73.52941176470588,1610612764,42,35,2025-12-21T01:41:15Z,2000000,False,118.0,228.0,1,right,T. Johnson 25' 3PT pullup (10 PTS) (M. Bagley III 1 AST),"[1642848, 1628963]",1610612764.0,WAS,pullup,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,25.69,Made,10.0,,,,,,,,,,,M. Bagley III,1628963.0,1.0,,,,
206,PT09M09.00S,2025-12-21T01:41:36.5Z,2,REGULAR,foul,personal,[],1628963,,,1610612763,42,35,2025-12-21T01:41:44Z,2020000,False,,,0,,M. Bagley III personal FOUL (2 PF),"[1628963, 1628991]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202026.0,,,,,,,2.0,0.0,Jackson Jr.,1628991.0
208,PT09M09.00S,2025-12-21T01:41:45.9Z,2,REGULAR,substitution,out,[],1642848,,,1610612763,42,35,2025-12-21T01:41:50Z,2040000,False,,,0,,SUB out: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT09M09.00S,2025-12-21T01:41:45.9Z,2,REGULAR,substitution,in,[],1630551,,,1610612763,42,35,2025-12-21T01:41:50Z,2050000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT09M03.00S,2025-12-21T01:42:05.0Z,2,REGULAR,3pt,Jump Shot,[],1628991,30.699737187910642,61.029411764705884,1610612763,42,35,2025-12-21T01:42:08Z,2060000,False,-55.0,236.0,1,left,MISS J. Jackson Jr. 24' pullup 3PT,[1628991],1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,24.24,Missed,,,,,,,,,,,,,,,,,,
211,PT09M00.00S,2025-12-21T01:42:08.0Z,2,REGULAR,rebound,defensive,[],1630551,,,1610612764,42,35,2025-12-21T01:42:08Z,2070000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:2),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,210.0,3.0,2.0,1.0,,,,,,,,,,,
212,PT08M49.00S,2025-12-21T01:42:18.7Z,2,REGULAR,2pt,Jump Shot,[],1642267,75.24638633377135,68.13725490196079,1610612764,42,37,2025-12-21T01:42:22Z,2080000,False,91.0,180.0,1,right,B. Carrington 20' pullup Jump Shot (4 PTS) (K. George 3 AST),"[1642267, 1642273]",1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,20.17,Made,4.0,,,,,,,,,,,K. George,1642273.0,3.0,,,,
216,PT08M40.00S,2025-12-21T01:42:33.5Z,2,REGULAR,foul,offensive,[],1628991,,,1610612763,42,37,2025-12-21T01:45:38Z,2120000,False,,,0,,J. Jackson Jr. charge offensive FOUL (2 PF),"[1628991, 1628963]",1610612763.0,MEM,charge,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628159.0,,,,,,,2.0,0.0,Bagley III,1628963.0
222,PT08M40.00S,2025-12-21T01:42:33.5Z,2,REGULAR,turnover,offensive foul,[],1628991,,,1610612763,42,37,2025-12-21T01:42:33Z,2135000,False,,,0,,J. Jackson Jr. offensive foul TURNOVER (2 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628159.0,2.0,,,,,,,,,
218,PT08M40.00S,2025-12-21T01:42:45.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,42,37,2025-12-21T01:42:33Z,2140000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M40.00S,2025-12-21T01:45:15.5Z,2,REGULAR,substitution,out,[],1642273,,,1610612764,42,37,2025-12-21T01:42:33Z,2160000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M40.00S,2025-12-21T01:45:15.5Z,2,REGULAR,substitution,in,[],203468,,,1610612764,42,37,2025-12-21T01:42:33Z,2170000,False,,,0,,SUB in: C. McCollum,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M29.00S,2025-12-21T01:45:52.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203468,78.40013140604468,31.127450980392158,1610612764,42,39,2025-12-21T01:45:56Z,2180000,False,-94.0,151.0,1,right,C. McCollum 17' pullup Jump Shot (5 PTS) (M. Bagley III 2 AST),"[203468, 1628963]",1610612764.0,WAS,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,17.77,Made,5.0,,,,,,,,,,,M. Bagley III,1628963.0,2.0,,,,
225,PT08M29.00S,2025-12-21T01:45:55.2Z,2,REGULAR,foul,personal,['1freethrow'],203484,,,1610612764,42,39,2025-12-21T01:46:01Z,2200000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (McCollum 1 FT),"[203484, 203468]",1610612763.0,MEM,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,McCollum,203468.0
227,PT08M29.00S,2025-12-21T01:46:17.5Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],203468,,,1610612764,42,40,2025-12-21T01:46:17Z,2220000,False,,,0,,C. McCollum Free Throw 1 of 1 (6 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
228,PT08M15.00S,2025-12-21T01:46:33.2Z,2,REGULAR,3pt,Jump Shot,[],1642907,31.882391590013142,37.00980392156863,1610612763,45,40,2025-12-21T01:46:36Z,2230000,False,65.0,247.0,1,left,C. Coward 25' 3PT  (6 PTS) (J. Jackson Jr. 1 AST),"[1642907, 1628991]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Center,25.56,Made,6.0,,,,,,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,
230,PT07M51.00S,2025-12-21T01:46:57.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,92.9862023653088,55.14705882352941,1610612764,45,42,2025-12-21T01:47:02Z,2250000,False,26.0,13.0,1,right,M. Bagley III reverse Layup (8 PTS) (B. Carrington 3 AST),"[1628963, 1642267]",1610612764.0,WAS,reverse,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,2.9,Made,8.0,,,,,,,,,,,B. Carrington,1642267.0,3.0,,,,
232,PT07M33.00S,2025-12-21T01:47:15.8Z,2,REGULAR,2pt,Jump Shot,[],203484,20.318659658344284,23.52941176470588,1610612763,47,42,2025-12-21T01:47:20Z,2270000,False,132.0,138.0,1,left,K. Caldwell-Pope 19' pullup Jump Shot (6 PTS) (O. Prosper 3 AST),"[203484, 1641765]",1610612763.0,MEM,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,19.16,Made,6.0,,,,,,,,,,,O. Prosper,1641765.0,3.0,,,,
234,PT07M20.00S,2025-12-21T01:47:28.3Z,2,REGULAR,turnover,bad pass,[],1642267,,,1610612764,47,42,2025-12-21T01:47:31Z,2290000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1628991]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,
235,PT07M20.00S,2025-12-21T01:47:28.3Z,2,REGULAR,steal,,[],1628991,,,1610612763,47,42,2025-12-21T01:47:29Z,2300000,False,,,0,,J. Jackson Jr. STEAL (2 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
236,PT07M14.00S,2025-12-21T01:47:34.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630583,12.302890932982917,50.49019607843137,1610612763,49,42,2025-12-21T01:47:37Z,2310000,False,-2.0,63.0,1,left,S. Aldama 6' driving floating Jump Shot (15 PTS) (J. Jackson Jr. 2 AST),"[1630583, 1628991]",1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,15.0,,,,,,,,,,,J. Jackson Jr.,1628991.0,2.0,,,,
238,PT06M57.00S,2025-12-21T01:47:51.0Z,2,REGULAR,3pt,Jump Shot,[],1630551,74.72076215505913,12.990196078431374,1610612764,49,42,2025-12-21T01:47:54Z,2330000,False,-185.0,185.0,1,right,MISS J. Champagnie 26' 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
239,PT06M55.00S,2025-12-21T01:47:53.0Z,2,REGULAR,rebound,offensive,[],1642860,,,1610612764,49,42,2025-12-21T01:47:54Z,2340000,False,,,0,,W. Riley REBOUND (Off:1 Def:0),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Above the Break 3,24+ Left Center,,,,,,238.0,1.0,0.0,1.0,,,,,,,,,,,
240,PT06M52.00S,2025-12-21T01:47:55.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630551,93.24901445466492,46.07843137254902,1610612764,49,42,2025-12-21T01:57:58Z,2350000,False,-20.0,11.0,1,right,MISS J. Champagnie driving Layup,[1630551],1610612764.0,WAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
241,PT06M52.00S,2025-12-21T01:47:55.7Z,2,REGULAR,rebound,offensive,[],1630551,,,1610612764,49,42,2025-12-21T01:47:59Z,2360000,False,,,0,,J. Champagnie REBOUND (Off:2 Def:2),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,240.0,4.0,2.0,2.0,,,,,,,,,,,
242,PT06M52.00S,2025-12-21T01:48:01.4Z,2,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612764,49,42,2025-12-21T01:48:08Z,2370000,False,,,0,,S. Aldama shooting personal FOUL (1 PF) (Champagnie 2 FT),"[1630583, 1630551]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628159.0,,,,,,,1.0,0.0,Champagnie,1630551.0
244,PT06M52.00S,2025-12-21T01:48:28.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630551,,,1610612764,49,42,2025-12-21T01:48:28Z,2390000,False,,,0,,MISS J. Champagnie Free Throw 1 of 2,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
245,PT06M52.00S,2025-12-21T01:48:28.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,49,42,2025-12-21T01:48:28Z,2400000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,244.0,,,,,,,,,,,,,,
246,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,out,[],1628991,,,1610612764,49,42,2025-12-21T01:48:43Z,2410000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,out,[],1641765,,,1610612764,49,42,2025-12-21T01:48:43Z,2420000,False,,,0,,SUB out: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,out,[],1642907,,,1610612764,49,42,2025-12-21T01:48:43Z,2430000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,out,[],1642860,,,1610612764,49,42,2025-12-21T01:48:43Z,2440000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,out,[],1628963,,,1610612764,49,42,2025-12-21T01:48:43Z,2450000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,in,[],1642377,,,1610612764,49,42,2025-12-21T01:48:43Z,2460000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,in,[],1642285,,,1610612764,49,42,2025-12-21T01:48:43Z,2470000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,in,[],1629111,,,1610612764,49,42,2025-12-21T01:48:43Z,2480000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,in,[],1642259,,,1610612764,49,42,2025-12-21T01:48:43Z,2490000,False,,,0,,SUB in: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT06M52.00S,2025-12-21T01:48:29.4Z,2,REGULAR,substitution,in,[],1642273,,,1610612764,49,42,2025-12-21T01:48:43Z,2500000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT06M52.00S,2025-12-21T01:48:49.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630551,,,1610612764,49,43,2025-12-21T01:48:49Z,2510000,False,,,0,,J. Champagnie Free Throw 2 of 2 (1 PTS),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
257,PT06M40.00S,2025-12-21T01:49:02.5Z,2,REGULAR,2pt,Jump Shot,[],1642285,24.392247043363994,60.049019607843135,1610612763,49,43,2025-12-21T01:49:06Z,2520000,False,-50.0,177.0,1,left,MISS C. Spencer 18' pullup Shot,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Mid-Range,16-24 Center,18.38,Missed,,,,,,,,,,,,,,,,,,
258,PT06M36.00S,2025-12-21T01:49:06.5Z,2,REGULAR,rebound,defensive,[],203468,,,1610612764,49,43,2025-12-21T01:49:06Z,2530000,False,,,0,,C. McCollum REBOUND (Off:1 Def:2),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,257.0,3.0,2.0,1.0,,,,,,,,,,,
259,PT06M33.00S,2025-12-21T01:49:11.6Z,2,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612764,49,43,2025-12-21T01:49:26Z,2540000,False,,,0,,S. Aldama shooting personal FOUL (2 PF) (Champagnie 2 FT),"[1630583, 1630551]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,202026.0,,,,,,,2.0,0.0,Champagnie,1630551.0
261,PT06M33.00S,2025-12-21T01:49:37.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630551,,,1610612764,49,43,2025-12-21T01:49:37Z,2560000,False,,,0,,MISS J. Champagnie Free Throw 1 of 2,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
262,PT06M33.00S,2025-12-21T01:49:37.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,49,43,2025-12-21T01:49:37Z,2570000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,
263,PT06M33.00S,2025-12-21T01:49:58.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630551,,,1610612764,49,43,2025-12-21T01:49:58Z,2580000,False,,,0,,MISS J. Champagnie Free Throw 2 of 2,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
264,PT06M31.00S,2025-12-21T01:49:59.0Z,2,REGULAR,rebound,defensive,[],1630583,,,1610612763,49,43,2025-12-21T01:49:59Z,2590000,False,,,0,,S. Aldama REBOUND (Off:4 Def:3),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,263.0,7.0,3.0,4.0,,,,,,,,,,,
265,PT06M22.00S,2025-12-21T01:50:10.1Z,2,REGULAR,foul,personal,['2freethrow'],1630551,,,1610612763,49,43,2025-12-21T01:50:19Z,2600000,False,,,0,,J. Champagnie shooting personal FOUL (2 PF) (Landale 2 FT),"[1630551, 1629111]",1610612764.0,WAS,shooting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,202026.0,,,,,,,2.0,0.0,Landale,1629111.0
267,PT06M22.00S,2025-12-21T01:50:33.8Z,2,REGULAR,freethrow,1 of 2,[],1629111,,,1610612763,49,43,2025-12-21T01:50:33Z,2620000,False,,,0,,MISS J. Landale Free Throw 1 of 2,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
268,PT06M22.00S,2025-12-21T01:50:33.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,49,43,2025-12-21T01:50:33Z,2630000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,
269,PT06M22.00S,2025-12-21T01:50:53.1Z,2,REGULAR,freethrow,2 of 2,[],1629111,,,1610612763,50,43,2025-12-21T01:50:53Z,2640000,False,,,0,,J. Landale Free Throw 2 of 2 (1 PTS),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
270,PT06M00.00S,2025-12-21T01:51:18.0Z,2,REGULAR,2pt,Jump Shot,[],1642273,75.50919842312747,57.35294117647059,1610612764,50,43,2025-12-21T02:07:43Z,2650000,False,37.0,178.0,1,right,MISS K. George 18' step back Shot,[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,Mid-Range,16-24 Center,18.15,Missed,,,,,,,,,,,,,,,,,,
271,PT05M56.00S,2025-12-21T01:51:22.0Z,2,REGULAR,rebound,defensive,[],1642377,,,1610612763,50,43,2025-12-21T01:51:21Z,2660000,False,,,0,,J. Wells REBOUND (Off:0 Def:2),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Center,,,,,,270.0,2.0,2.0,0.0,,,,,,,,,,,
272,PT05M48.00S,2025-12-21T01:51:28.7Z,2,REGULAR,3pt,Jump Shot,[],1629111,25.312089356110377,83.33333333333334,1610612763,50,43,2025-12-21T01:51:32Z,2670000,False,-167.0,185.0,1,left,MISS J. Landale 24' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,24.93,Missed,,,,,,,,,,,,,,,,,,
273,PT05M44.00S,2025-12-21T01:51:32.7Z,2,REGULAR,rebound,defensive,[],1630551,,,1610612764,50,43,2025-12-21T01:51:32Z,2680000,False,,,0,,J. Champagnie REBOUND (Off:2 Def:3),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,272.0,5.0,3.0,2.0,,,,,,,,,,,
274,PT05M34.00S,2025-12-21T01:51:43.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1642259,86.67871222076215,47.30392156862745,1610612764,50,43,2025-12-21T01:51:46Z,2690000,False,-13.0,73.0,1,right,MISS A. Sarr 7' turnaround Hook,[1642259],1610612764.0,WAS,turnaround,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,7.39,Missed,,,,,,,,,,,,,,,,,,
275,PT05M32.00S,2025-12-21T01:51:45.0Z,2,REGULAR,rebound,offensive,[],1630551,,,1610612764,50,43,2025-12-21T01:51:46Z,2700000,False,,,0,,J. Champagnie REBOUND (Off:3 Def:3),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,274.0,6.0,3.0,3.0,,,,,,,,,,,
276,PT05M30.00S,2025-12-21T01:51:47.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203468,67.23061760840999,58.08823529411765,1610612764,50,46,2025-12-21T01:51:49Z,2710000,False,40.0,256.0,1,right,C. McCollum 25' 3PT  (9 PTS) (J. Champagnie 1 AST),"[203468, 1630551]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.87,Made,9.0,,,,,,,,,,,J. Champagnie,1630551.0,1.0,,,,
