actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
186,PT00M01.10S,2025-10-25T00:36:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,17.0335085413929,37.5,1610612763,25,44,2025-10-25T00:36:40Z,1840000,False,62.0,108.0,1,left,MISS J. Morant 12' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,12.44,Missed,,,,,,,,,,,,,,,,,,
187,PT00M01.10S,2025-10-25T00:36:33.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,25,44,2025-10-25T00:36:40Z,1850000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,186.0,,,,,,,,,,,,
188,PT00M00.00S,2025-10-25T00:36:38.5Z,1,REGULAR,period,end,[],0,,,1610612763,25,44,2025-10-25T00:36:38Z,1860000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2025-10-25T00:39:29.6Z,2,REGULAR,period,start,[],0,,,1610612748,25,44,2025-10-25T00:39:29Z,1870000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT11M42.00S,2025-10-25T00:39:47.7Z,2,REGULAR,foul,personal,['2freethrow'],1641713,,,1610612748,25,44,2025-10-25T00:40:00Z,1880000,False,,,0,,G. Jackson shooting personal FOUL (1 PF) (Ware 2 FT),"[1641713, 1642276]",1610612763.0,MEM,shooting,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1830.0,,,,,1.0,0.0,Ware,1642276.0,,,,,
192,PT11M42.00S,2025-10-25T00:40:12.5Z,2,REGULAR,freethrow,1 of 2,[],1642276,,,1610612748,25,45,2025-10-25T00:40:12Z,1900000,False,,,0,,K. Ware Free Throw 1 of 2 (7 PTS),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
193,PT11M42.00S,2025-10-25T00:40:27.3Z,2,REGULAR,freethrow,2 of 2,[],1642276,,,1610612748,25,46,2025-10-25T00:40:27Z,1910000,False,,,0,,K. Ware Free Throw 2 of 2 (8 PTS),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
194,PT11M29.00S,2025-10-25T00:40:42.6Z,2,REGULAR,3pt,Jump Shot,[],1641713,8.360709592641262,3.1862745098039214,1610612763,25,46,2025-10-25T00:40:49Z,1920000,False,234.0,26.0,1,left,MISS G. Jackson 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Right Corner 3,24+ Right,23.56,Missed,,,,,,,,,,,,,,,,,,
195,PT11M28.00S,2025-10-25T00:40:43.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,25,46,2025-10-25T00:40:49Z,1930000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,194.0,,,,,,,,,,,,
196,PT11M28.00S,2025-10-25T00:40:47.3Z,2,REGULAR,foul,personal,[],1631323,,,1610612763,25,46,2025-10-25T00:40:58Z,1940000,False,,,0,,S. Fontecchio loose ball personal FOUL (1 PF),"[1631323, 1629111]",1610612748.0,MIA,loose ball,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,,,,,1.0,0.0,Landale,1629111.0,,,,,
198,PT11M19.00S,2025-10-25T00:41:10.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,7.30946123521682,3.431372549019608,1610612763,25,46,2025-10-25T00:41:17Z,1960000,False,233.0,16.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,,
199,PT11M16.00S,2025-10-25T00:41:13.1Z,2,REGULAR,rebound,offensive,[],1641713,,,1610612763,25,46,2025-10-25T00:41:17Z,1970000,False,,,0,,G. Jackson REBOUND (Off:1 Def:0),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Right Corner 3,24+ Right,,,,,,,,198.0,1.0,0.0,1.0,,,,,,,,,
200,PT11M13.00S,2025-10-25T00:41:15.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641713,12.565703022339028,49.26470588235294,1610612763,25,46,2025-10-25T00:41:20Z,1980000,False,4.0,66.0,1,left,MISS G. Jackson 6' turnaround Shot,[1641713],1610612763.0,MEM,turnaround,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
201,PT11M13.00S,2025-10-25T00:41:15.9Z,2,REGULAR,rebound,offensive,[],1629111,,,1610612763,25,46,2025-10-25T00:41:20Z,1990000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,200.0,1.0,0.0,1.0,,,,,,,,,
203,PT11M09.00S,2025-10-25T00:41:35.3Z,2,REGULAR,turnover,bad pass,[],1642285,,,1610612763,25,46,2025-10-25T00:41:39Z,2010000,False,,,0,,C. Spencer bad pass TURNOVER (1 TO),"[1642285, 1642276]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,Ware,1642276.0,,
204,PT11M09.00S,2025-10-25T00:41:35.3Z,2,REGULAR,steal,,[],1642276,,,1610612748,25,46,2025-10-25T00:41:37Z,2020000,False,,,0,,K. Ware STEAL (1 STL),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
205,PT11M09.00S,2025-10-25T00:41:39.7Z,2,REGULAR,turnover,out-of-bounds,[],1642276,,,1610612748,25,46,2025-10-25T00:46:36Z,2030000,False,,,0,,K. Ware lost ball out-of-bounds TURNOVER (1 TO),[1642276],1610612748.0,MIA,lost ball,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,,,1628159.0,,,,,,,,,1.0,,,,
206,PT10M54.00S,2025-10-25T00:42:03.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629111,30.699737187910642,30.88235294117647,1610612763,25,46,2025-10-25T00:42:07Z,2040000,False,96.0,236.0,1,left,MISS J. Landale 25' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
207,PT10M52.00S,2025-10-25T00:42:05.8Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,25,46,2025-10-25T00:42:07Z,2050000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,206.0,5.0,4.0,1.0,,,,,,,,,
208,PT10M42.00S,2025-10-25T00:42:16.0Z,2,REGULAR,3pt,Jump Shot,[],1631170,73.9323258869908,82.84313725490196,1610612748,25,46,2025-10-25T00:42:22Z,2060000,False,164.0,193.0,1,right,MISS J. Jaquez Jr. 25' 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,25.3,Missed,,,,,,,,,,,,,,,,,,
209,PT10M38.00S,2025-10-25T00:42:20.0Z,2,REGULAR,rebound,defensive,[],1642285,,,1610612763,25,46,2025-10-25T00:42:22Z,2070000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,,,,,,,,208.0,1.0,1.0,0.0,,,,,,,,,
210,PT10M30.00S,2025-10-25T00:42:28.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.258212877792378,45.09803921568628,1610612763,25,46,2025-10-25T00:42:34Z,2080000,False,25.0,6.0,1,left,MISS J. Morant driving reverse Layup,[1629630],1610612763.0,MEM,driving reverse,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,2.53,Missed,,,,,,,,,,,,,,,,,,
211,PT10M27.00S,2025-10-25T00:42:31.3Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,25,46,2025-10-25T00:42:34Z,2090000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:5),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,210.0,6.0,5.0,1.0,,,,,,,,,
212,PT10M25.00S,2025-10-25T00:42:33.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642276,93.11760840998686,52.94117647058824,1610612748,25,48,2025-10-25T00:42:40Z,2100000,False,15.0,12.0,1,right,K. Ware running alley-oop DUNK (10 PTS) (J. Jaquez Jr. 2 AST),"[1642276, 1631170]",1610612748.0,MIA,running alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,1.91,Made,10.0,J. Jaquez Jr.,1631170.0,2.0,,,,,,,,,,,,,,
214,PT10M03.00S,2025-10-25T00:42:55.1Z,2,REGULAR,3pt,Jump Shot,[],1642377,29.6484888304862,69.6078431372549,1610612763,28,48,2025-10-25T00:43:00Z,2120000,False,-98.0,226.0,1,left,J. Wells 24' 3PT  (3 PTS) (J. Morant 3 AST),"[1642377, 1629630]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,24.65,Made,3.0,J. Morant,1629630.0,3.0,,,,,,,,,,,,,,
216,PT09M40.00S,2025-10-25T00:43:18.1Z,2,REGULAR,3pt,Jump Shot,[],1631323,68.9388961892247,68.87254901960785,1610612748,28,51,2025-10-25T00:43:23Z,2140000,False,94.0,239.0,1,right,S. Fontecchio 25' 3PT  (6 PTS) (N. Jović 1 AST),"[1631323, 1631107]",1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,25.74,Made,6.0,N. Jović,1631107.0,1.0,,,,,,,,,,,,,,
218,PT09M29.00S,2025-10-25T00:43:31.9Z,2,REGULAR,foul,personal,['2freethrow'],1631323,,,1610612763,28,51,2025-10-25T00:43:38Z,2160000,False,,,0,,S. Fontecchio shooting personal FOUL (2 PF) (Morant 2 FT),"[1631323, 1629630]",1610612748.0,MIA,shooting,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1830.0,,,,,2.0,0.0,Morant,1629630.0,,,,,
220,PT09M29.00S,2025-10-25T00:43:52.7Z,2,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,29,51,2025-10-25T00:43:52Z,2180000,False,,,0,,J. Morant Free Throw 1 of 2 (9 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
221,PT09M29.00S,2025-10-25T00:43:53.2Z,2,REGULAR,substitution,out,[],1629111,,,1610612763,29,51,2025-10-25T00:44:00Z,2190000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M29.00S,2025-10-25T00:43:53.2Z,2,REGULAR,substitution,out,[],1642276,,,1610612763,29,51,2025-10-25T00:44:00Z,2200000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M29.00S,2025-10-25T00:43:53.2Z,2,REGULAR,substitution,in,[],1628991,,,1610612763,29,51,2025-10-25T00:44:00Z,2210000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M29.00S,2025-10-25T00:43:53.2Z,2,REGULAR,substitution,in,[],1628389,,,1610612763,29,51,2025-10-25T00:44:00Z,2220000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT09M29.00S,2025-10-25T00:44:09.6Z,2,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,30,51,2025-10-25T00:44:09Z,2230000,False,,,0,,J. Morant Free Throw 2 of 2 (10 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
226,PT09M17.00S,2025-10-25T00:44:24.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,93.38042049934296,50.0,1610612748,30,53,2025-10-25T00:44:29Z,2240000,False,0.0,10.0,1,right,B. Adebayo cutting DUNK (20 PTS) (J. Jaquez Jr. 3 AST),"[1628389, 1631170]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.97,Made,20.0,J. Jaquez Jr.,1631170.0,3.0,,,,,,,,,,,,,,
228,PT09M02.00S,2025-10-25T00:44:38.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642377,6.258212877792378,49.754901960784316,1610612763,30,53,2025-10-25T00:44:44Z,2260000,False,1.0,6.0,1,left,MISS J. Wells cutting DUNK,[1642377],1610612763.0,MEM,cutting,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,0.64,Missed,,,,,,,,,,,,,,,,,,
229,PT09M00.00S,2025-10-25T00:44:40.8Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,30,53,2025-10-25T00:44:44Z,2270000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:6),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,228.0,7.0,6.0,1.0,,,,,,,,,
230,PT08M57.00S,2025-10-25T00:44:43.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631323,74.98357424441524,88.72549019607843,1610612748,30,56,2025-10-25T00:44:49Z,2280000,False,194.0,183.0,1,right,S. Fontecchio 26' 3PT running (9 PTS) (J. Jaquez Jr. 4 AST),"[1631323, 1631170]",1610612748.0,MIA,running,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,26.62,Made,9.0,J. Jaquez Jr.,1631170.0,4.0,,,,,,,,,,,,,,
232,PT08M56.00S,2025-10-25T00:44:50.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,30,56,2025-10-25T00:44:50Z,2300000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,out,[],1629630,,,1610612763,30,56,2025-10-25T00:47:32Z,2310000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,out,[],1642285,,,1610612763,30,56,2025-10-25T00:47:32Z,2320000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,out,[],1641713,,,1610612763,30,56,2025-10-25T00:47:32Z,2330000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,in,[],1642914,,,1610612763,30,56,2025-10-25T00:47:32Z,2340000,False,,,0,,SUB in: J. Small,[1642914],1610612763.0,MEM,,,,Small,J. Small,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,in,[],1642907,,,1610612763,30,56,2025-10-25T00:47:32Z,2350000,False,,,0,,SUB in: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT08M56.00S,2025-10-25T00:47:17.4Z,2,REGULAR,substitution,in,[],1641765,,,1610612763,30,56,2025-10-25T00:47:32Z,2360000,False,,,0,,SUB in: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M38.00S,2025-10-25T00:47:56.0Z,2,REGULAR,3pt,Jump Shot,[],1642914,14.011169513797633,95.83333333333334,1610612763,30,56,2025-10-25T00:48:01Z,2370000,False,-229.0,79.0,1,left,MISS J. Small 24' step back 3PT,[1642914],1610612763.0,MEM,step back,,,Small,J. Small,,,,,Left Corner 3,24+ Left,24.25,Missed,,,,,,,,,,,,,,,,,,
240,PT08M34.00S,2025-10-25T00:48:00.0Z,2,REGULAR,rebound,defensive,[],1631107,,,1610612748,30,56,2025-10-25T00:48:01Z,2380000,False,,,0,,N. Jović REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Left Corner 3,24+ Left,,,,,,,,239.0,1.0,1.0,0.0,,,,,,,,,
241,PT08M25.00S,2025-10-25T00:48:11.2Z,2,REGULAR,foul,personal,['2freethrow'],1642377,,,1610612748,30,56,2025-10-25T00:48:19Z,2390000,False,,,0,,J. Wells shooting personal FOUL (1 PF) (Jović 2 FT),"[1642377, 1631107]",1610612763.0,MEM,shooting,,,Wells,J. Wells,,,,,Mid-Range,8-16 Right,,,,,,,1830.0,,,,,1.0,0.0,Jović,1631107.0,,,,,
243,PT08M25.00S,2025-10-25T00:48:36.4Z,2,REGULAR,freethrow,1 of 2,[],1631107,,,1610612748,30,57,2025-10-25T00:48:36Z,2410000,False,,,0,,N. Jović Free Throw 1 of 2 (3 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
244,PT08M25.00S,2025-10-25T00:48:51.3Z,2,REGULAR,freethrow,2 of 2,[],1631107,,,1610612748,30,58,2025-10-25T00:48:51Z,2420000,False,,,0,,N. Jović Free Throw 2 of 2 (4 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
245,PT08M13.00S,2025-10-25T00:49:04.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641765,6.915243101182654,49.50980392156863,1610612763,32,58,2025-10-25T00:49:10Z,2430000,False,2.0,13.0,1,left,O. Prosper cutting DUNK (2 PTS) (J. Small 2 AST),"[1641765, 1642914]",1610612763.0,MEM,cutting,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,1.27,Made,2.0,J. Small,1642914.0,2.0,,,,,,,,,,,,,,
247,PT07M55.00S,2025-10-25T00:49:22.1Z,2,REGULAR,3pt,Jump Shot,[],1631323,72.22404730617609,21.568627450980394,1610612748,32,61,2025-10-25T00:49:27Z,2450000,False,-142.0,209.0,1,right,S. Fontecchio 25' 3PT  (12 PTS) (B. Adebayo 1 AST),"[1631323, 1628389]",1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,25.25,Made,12.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
249,PT07M44.00S,2025-10-25T00:49:33.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,6.258212877792378,48.28431372549019,1610612763,34,61,2025-10-25T00:49:37Z,2470000,False,9.0,6.0,1,left,J. Jackson Jr. alley-oop DUNK (6 PTS) (J. Small 3 AST),"[1628991, 1642914]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.07,Made,6.0,J. Small,1642914.0,3.0,,,,,,,,,,,,,,
251,PT07M32.00S,2025-10-25T00:49:45.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,91.40932982917214,62.99019607843137,1610612748,34,63,2025-10-25T00:49:51Z,2490000,False,65.0,28.0,1,right,J. Jaquez Jr. 7' driving floating Jump Shot (6 PTS) (N. Jović 2 AST),"[1631170, 1631107]",1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,6.0,N. Jović,1631107.0,2.0,,,,,,,,,,,,,,
253,PT07M21.00S,2025-10-25T00:49:56.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642914,16.507884362680684,41.42156862745098,1610612763,34,63,2025-10-25T00:50:03Z,2510000,False,43.0,103.0,1,left,MISS J. Small 11' driving floating Shot - blocked,"[1642914, 1630696]",1610612763.0,MEM,driving floating,,,Small,J. Small,,,,,In The Paint (Non-RA),8-16 Center,11.13,Missed,,,,,,,,,,,,,,,,,Smith,1630696.0
254,PT07M21.00S,2025-10-25T00:49:56.2Z,2,REGULAR,block,,[],1630696,,,1610612763,34,63,2025-10-25T00:50:03Z,2520000,False,,,0,,D. Smith BLOCK (1 BLK),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
255,PT07M16.00S,2025-10-25T00:50:01.2Z,2,REGULAR,rebound,defensive,[],1631323,,,1610612748,34,63,2025-10-25T00:50:03Z,2530000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:2),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,253.0,2.0,2.0,0.0,,,,,,,,,
256,PT07M15.00S,2025-10-25T00:50:02.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631323,92.85479632063075,53.18627450980392,1610612748,34,65,2025-10-25T00:50:09Z,2540000,False,16.0,15.0,1,right,S. Fontecchio running alley-oop Layup (14 PTS) (J. Jaquez Jr. 5 AST),"[1631323, 1631170]",1610612748.0,MIA,running alley-oop,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,2.17,Made,14.0,J. Jaquez Jr.,1631170.0,5.0,,,,,,,,,,,,,,
258,PT07M01.00S,2025-10-25T00:50:16.9Z,2,REGULAR,turnover,lost ball,[],1642377,,,1610612763,34,65,2025-10-25T00:50:20Z,2560000,False,,,0,,J. Wells lost ball TURNOVER (1 TO),"[1642377, 1630696]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Smith,1630696.0,,
259,PT07M01.00S,2025-10-25T00:50:16.9Z,2,REGULAR,steal,,[],1630696,,,1610612748,34,65,2025-10-25T00:50:18Z,2570000,False,,,0,,D. Smith STEAL (2 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
260,PT06M57.00S,2025-10-25T00:50:21.9Z,2,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612748,34,65,2025-10-25T00:50:33Z,2580000,False,,,0,,J. Jackson Jr. shooting personal FOUL (2 PF) (Jović 2 FT),"[1628991, 1631107]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,101283.0,,,,,2.0,0.0,Jović,1631107.0,,,,,
262,PT06M57.00S,2025-10-25T00:50:55.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1631107,,,1610612748,34,66,2025-10-25T00:50:55Z,2600000,False,,,0,,N. Jović Free Throw 1 of 2 (5 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
263,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,out,[],1642377,,,1610612748,34,66,2025-10-25T00:51:09Z,2610000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,out,[],1628991,,,1610612748,34,66,2025-10-25T00:51:09Z,2620000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,out,[],1631170,,,1610612748,34,66,2025-10-25T00:51:09Z,2630000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,out,[],1630696,,,1610612748,34,66,2025-10-25T00:51:09Z,2640000,False,,,0,,SUB out: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,in,[],203484,,,1610612748,34,66,2025-10-25T00:51:09Z,2650000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,in,[],1629111,,,1610612748,34,66,2025-10-25T00:51:09Z,2660000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,in,[],203952,,,1610612748,34,66,2025-10-25T00:51:09Z,2670000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT06M57.00S,2025-10-25T00:50:55.9Z,2,REGULAR,substitution,in,[],1630558,,,1610612748,34,66,2025-10-25T00:51:09Z,2680000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M57.00S,2025-10-25T00:51:16.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1631107,,,1610612748,34,67,2025-10-25T00:51:16Z,2690000,False,,,0,,N. Jović Free Throw 2 of 2 (6 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
