actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
91,PT04M17.00S,2024-04-13T00:27:10.3Z,1,REGULAR,3pt,Jump Shot,[],1631107,72.88107752956637,16.176470588235293,1610612748,22,15,2024-04-13T00:27:14Z,890000,False,-169.0,202.0,1,right,N. Jovic 26' 3PT  (9 PTS) (T. Herro 2 AST),"[1631107, 1629639]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,26.37,Made,9.0,,,,,,,T. Herro,1629639.0,2.0,,,,,,,,
93,PT04M11.00S,2024-04-13T00:27:20.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,22,15,2024-04-13T00:27:20Z,910000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M11.00S,2024-04-13T00:29:53.5Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,22,15,2024-04-13T00:30:07Z,920000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M11.00S,2024-04-13T00:29:53.5Z,1,REGULAR,substitution,in,[],1631241,,,1610612761,22,15,2024-04-13T00:30:07Z,930000,False,,,0,,SUB in: J. Freeman-Liberty,[1631241],1610612761.0,TOR,,,,Freeman-Liberty,J. Freeman-Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M51.00S,2024-04-13T00:30:37.7Z,1,REGULAR,2pt,Jump Shot,[],1628971,18.74178712220762,31.372549019607842,1610612761,22,17,2024-04-13T00:30:44Z,940000,False,93.0,124.0,1,left,B. Brown 15' driving floating Jump Shot (2 PTS) (G. Trent Jr. 1 AST),"[1628971, 1629018]",1610612761.0,TOR,driving floating,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,15.48,Made,2.0,,,,,,,G. Trent Jr.,1629018.0,1.0,,,,,,,,
98,PT03M40.00S,2024-04-13T00:30:53.7Z,1,REGULAR,foul,personal,[],1628971,,,1610612748,22,17,2024-04-13T00:31:08Z,960000,False,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 1631107]",1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,,,,1155.0,,,,,,,,,1.0,0.0,Jovic,1631107.0,,,,
100,PT03M40.00S,2024-04-13T00:30:59.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,22,17,2024-04-13T00:31:07Z,980000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M40.00S,2024-04-13T00:30:59.8Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,22,17,2024-04-13T00:31:07Z,990000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M40.00S,2024-04-13T00:30:59.8Z,1,REGULAR,substitution,in,[],201567,,,1610612748,22,17,2024-04-13T00:31:07Z,1000000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M40.00S,2024-04-13T00:30:59.8Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,22,17,2024-04-13T00:31:07Z,1010000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M28.00S,2024-04-13T00:31:28.3Z,1,REGULAR,3pt,Jump Shot,[],201567,93.64323258869908,1.9607843137254901,1610612748,22,17,2024-04-13T00:31:33Z,1020000,False,-240.0,7.0,1,right,MISS K. Love 24' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Left Corner 3,24+ Left,24.03,Missed,,,,,,,,,,,,,,,,,,
105,PT03M25.00S,2024-04-13T00:31:31.3Z,1,REGULAR,rebound,defensive,[],1642013,,,1610612761,22,17,2024-04-13T00:31:33Z,1030000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,Left Corner 3,24+ Left,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,
106,PT03M14.00S,2024-04-13T00:31:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,10.200394218134035,55.88235294117647,1610612761,22,17,2024-04-13T00:31:48Z,1040000,False,-29.0,43.0,1,left,MISS G. Trent Jr. turnaround Shot,[1629018],1610612761.0,TOR,turnaround,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.24,Missed,,,,,,,,,,,,,,,,,,
107,PT03M11.00S,2024-04-13T00:31:45.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,22,17,2024-04-13T00:31:48Z,1050000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,
108,PT02M55.00S,2024-04-13T00:32:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201567,94.1688567674113,50.49019607843137,1610612748,24,17,2024-04-13T00:32:14Z,1060000,False,2.0,2.0,1,right,K. Love reverse Layup (2 PTS) (T. Herro 3 AST),"[201567, 1629639]",1610612748.0,MIA,reverse,,,Love,K. Love,,,,,Restricted Area,0-8 Center,0.34,Made,2.0,,,,,,,T. Herro,1629639.0,3.0,,,,,,,,
110,PT02M32.00S,2024-04-13T00:32:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,5.863994743758213,50.49019607843137,1610612761,24,19,2024-04-13T00:32:34Z,1080000,False,-2.0,3.0,1,left,B. Brown driving finger roll Layup (4 PTS),[1628971],1610612761.0,TOR,driving finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,0.36,Made,4.0,,,,,,,,,,,,,,,,,
111,PT02M18.00S,2024-04-13T00:32:37.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,68.28186596583443,25.245098039215684,1610612748,27,19,2024-04-13T00:32:41Z,1090000,False,-124.0,246.0,1,right,T. Herro 27' 3PT  (6 PTS) (N. Jovic 1 AST),"[1629639, 1631107]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,27.51,Made,6.0,,,,,,,N. Jovic,1631107.0,1.0,,,,,,,,
113,PT01M57.00S,2024-04-13T00:32:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642013,12.434296977660972,54.90196078431373,1610612761,27,19,2024-04-13T00:33:05Z,1110000,False,-25.0,64.0,1,left,MISS M. Williams 6' turnaround Shot,[1642013],1610612761.0,TOR,turnaround,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.89,Missed,,,,,,,,,,,,,,,,,,
114,PT01M54.00S,2024-04-13T00:33:01.4Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,27,19,2024-04-13T00:33:01Z,1120000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,
115,PT01M38.00S,2024-04-13T00:33:18.4Z,1,REGULAR,3pt,Jump Shot,[],1631107,73.80091984231275,16.176470588235293,1610612748,27,19,2024-04-13T00:33:31Z,1130000,False,-169.0,194.0,1,right,MISS N. Jovic 25' pullup 3PT,[1631107],1610612748.0,MIA,pullup,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
116,PT01M36.00S,2024-04-13T00:33:20.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,27,19,2024-04-13T00:33:22Z,1140000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,
117,PT01M28.00S,2024-04-13T00:33:28.2Z,1,REGULAR,3pt,Jump Shot,[],1631241,5.338370565045992,96.32352941176471,1610612761,27,19,2024-04-13T00:33:35Z,1150000,False,-232.0,-2.0,1,left,MISS J. Freeman-Liberty 3PT,[1631241],1610612761.0,TOR,,,,Freeman-Liberty,J. Freeman-Liberty,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
118,PT01M22.00S,2024-04-13T00:33:34.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,27,19,2024-04-13T00:33:35Z,1160000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Left Corner 3,24+ Left,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,
119,PT01M17.00S,2024-04-13T00:33:41.0Z,1,REGULAR,foul,personal,[],1629018,,,1610612748,27,19,2024-04-13T00:33:51Z,1170000,False,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1631170]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1155.0,,,,,,,,,1.0,0.0,Jaquez Jr.,1631170.0,,,,
121,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,out,[],1631107,,,1610612748,27,19,2024-04-13T00:34:05Z,1190000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,27,19,2024-04-13T00:34:05Z,1200000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,out,[],1629018,,,1610612748,27,19,2024-04-13T00:34:05Z,1210000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,in,[],1626153,,,1610612748,27,19,2024-04-13T00:34:05Z,1220000,False,,,0,,SUB in: D. Wright,[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,in,[],202710,,,1610612748,27,19,2024-04-13T00:34:05Z,1230000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M17.00S,2024-04-13T00:33:48.7Z,1,REGULAR,substitution,in,[],1629628,,,1610612748,27,19,2024-04-13T00:34:05Z,1240000,False,,,0,,SUB in: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M10.00S,2024-04-13T00:34:19.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631241,,,1610612748,27,19,2024-04-13T00:34:30Z,1250000,False,,,0,,J. Freeman-Liberty personal FOUL (1 PF) (Butler 2 FT),"[1631241, 202710]",1610612761.0,TOR,,,,Freeman-Liberty,J. Freeman-Liberty,,,,,Mid-Range,16-24 Right Center,,,,1193.0,,,,,,,,,1.0,0.0,Butler,202710.0,,,,
129,PT01M10.00S,2024-04-13T00:34:44.7Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,28,19,2024-04-13T00:34:44Z,1270000,False,,,0,,J. Butler Free Throw 1 of 2 (6 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
130,PT01M10.00S,2024-04-13T00:35:03.7Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,29,19,2024-04-13T00:35:03Z,1280000,False,,,0,,J. Butler Free Throw 2 of 2 (7 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
131,PT00M50.90S,2024-04-13T00:35:28.6Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612761,29,19,2024-04-13T00:35:36Z,1290000,False,,,0,,B. Brown step out-of-bounds TURNOVER (1 TO),[1628971],1610612761.0,TOR,step,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,,,,1193.0,1.0,,,,,,,,,,,,,,,
132,PT00M35.90S,2024-04-13T00:35:52.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629312,88.91261498028909,53.18627450980392,1610612748,31,19,2024-04-13T00:36:00Z,1300000,False,16.0,52.0,1,right,H. Highsmith pullup Jump Shot (2 PTS) (J. Butler 2 AST),"[1629312, 202710]",1610612748.0,MIA,pullup,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,2.0,,,,,,,J. Butler,202710.0,2.0,,,,,,,,
137,PT00M31.60S,2024-04-13T00:35:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,13.87976346911958,50.98039215686274,1610612761,31,21,2024-04-13T00:36:34Z,1315000,False,-5.0,78.0,1,left,R. Barrett 7' driving floating Jump Shot (6 PTS),[1629628],1610612761.0,TOR,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,7.82,Made,6.0,,,,,,,,,,,,,,,,,
134,PT00M31.60S,2024-04-13T00:36:01.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626153,,,1610612761,31,21,2024-04-13T01:19:18Z,1320000,False,,,0,,D. Wright shooting personal FOUL (1 PF) (Barrett 1 FT),"[1626153, 1629628]",1610612748.0,MIA,shooting,,,Wright,D. Wright,,,,,In The Paint (Non-RA),8-16 Left,,,,1193.0,,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,
136,PT00M31.60S,2024-04-13T00:36:29.5Z,1,REGULAR,freethrow,1 of 1,[],1629628,,,1610612761,31,22,2024-04-13T00:36:29Z,1340000,False,,,0,,R. Barrett Free Throw 1 of 1 (7 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
139,PT00M22.20S,2024-04-13T00:36:59.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642013,,,1610612748,31,22,2024-04-13T00:37:23Z,1360000,False,,,0,,M. Williams personal FOUL (1 PF) (Love 2 FT),"[1642013, 201567]",1610612761.0,TOR,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,201639.0,,,,,,,,,1.0,0.0,Love,201567.0,,,,
141,PT00M22.20S,2024-04-13T00:37:23.8Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612748,32,22,2024-04-13T00:37:23Z,1380000,False,,,0,,K. Love Free Throw 1 of 2 (3 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
142,PT00M22.20S,2024-04-13T00:37:39.1Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612748,33,22,2024-04-13T00:37:39Z,1390000,False,,,0,,K. Love Free Throw 2 of 2 (4 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
143,PT00M05.10S,2024-04-13T00:38:01.2Z,1,REGULAR,3pt,Jump Shot,[],1631241,11.777266754270697,1.4705882352941175,1610612761,33,22,2024-04-13T00:38:19Z,1400000,False,243.0,58.0,1,left,MISS J. Freeman-Liberty 24' 3PT,[1631241],1610612761.0,TOR,,,,Freeman-Liberty,J. Freeman-Liberty,,,,,Right Corner 3,24+ Right,24.95,Missed,,,,,,,,,,,,,,,,,,
144,PT00M04.10S,2024-04-13T00:38:02.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,33,22,2024-04-13T00:38:19Z,1410000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Right Corner 3,24+ Right,,,,,,143.0,3.0,3.0,0.0,,,,,,,,,,,
148,PT00M00.00S,2024-04-13T00:38:19.3Z,1,REGULAR,period,end,[],0,,,1610612748,33,22,2024-04-13T00:38:19Z,1450000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2024-04-13T00:40:20.5Z,2,REGULAR,substitution,out,['startperiod'],1630534,,,1610612748,33,22,2024-04-13T00:40:47Z,1460000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-04-13T00:40:20.5Z,2,REGULAR,substitution,in,['startperiod'],1641711,,,1610612748,33,22,2024-04-13T00:40:47Z,1470000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-04-13T00:40:58.2Z,2,REGULAR,period,start,[],0,,,1610612761,33,22,2024-04-13T00:40:58Z,1480000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M46.00S,2024-04-13T00:41:11.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631241,6.521024967148489,46.07843137254902,1610612761,33,24,2024-04-13T00:41:15Z,1490000,False,20.0,9.0,1,left,J. Freeman-Liberty driving finger roll Layup (2 PTS) (B. Brown 1 AST),"[1631241, 1628971]",1610612761.0,TOR,driving finger roll,,,Freeman-Liberty,J. Freeman-Liberty,,,,,Restricted Area,0-8 Center,2.15,Made,2.0,,,,,,,B. Brown,1628971.0,1.0,,,,,,,,
154,PT11M28.00S,2024-04-13T00:41:29.3Z,2,REGULAR,3pt,Jump Shot,[],201567,70.12155059132719,19.607843137254903,1610612748,33,24,2024-04-13T00:41:46Z,1510000,False,-152.0,228.0,1,right,MISS K. Love 27' pullup 3PT,[201567],1610612748.0,MIA,pullup,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,27.44,Missed,,,,,,,,,,,,,,,,,,
155,PT11M24.00S,2024-04-13T00:41:33.3Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612761,33,24,2024-04-13T00:41:34Z,1520000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,154.0,1.0,1.0,0.0,,,,,,,,,,,
156,PT11M21.00S,2024-04-13T00:41:41.5Z,2,REGULAR,foul,personal,['2freethrow'],1629312,,,1610612761,33,24,2024-04-13T00:41:54Z,1530000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Brown 2 FT),"[1629312, 1628971]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,201639.0,,,,,,,,,1.0,0.0,Brown,1628971.0,,,,
158,PT11M21.00S,2024-04-13T00:42:05.9Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1628971,,,1610612761,33,25,2024-04-13T00:42:05Z,1550000,False,,,0,,B. Brown Free Throw 1 of 2 (5 PTS),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
159,PT11M21.00S,2024-04-13T00:42:05.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1628971,,,1610612761,33,26,2024-04-13T00:42:24Z,1560000,False,,,0,,B. Brown Free Throw 2 of 2 (6 PTS),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
160,PT11M10.00S,2024-04-13T00:42:30.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,89.04402102496715,53.67647058823529,1610612748,35,26,2024-04-13T00:43:12Z,1570000,False,18.0,50.0,1,right,J. Jaquez Jr. driving bank Jump Shot (2 PTS) (J. Butler 3 AST),"[1631170, 202710]",1610612748.0,MIA,driving bank,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.37,Made,2.0,,,,,,,J. Butler,202710.0,3.0,,,,,,,,
162,PT10M59.00S,2024-04-13T00:42:40.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,5.732588699080158,51.9607843137255,1610612761,35,28,2024-04-13T00:43:36Z,1590000,False,-10.0,1.0,1,left,R. Barrett driving finger roll Layup (9 PTS),[1629628],1610612761.0,TOR,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.99,Made,9.0,,,,,,,,,,,,,,,,,
163,PT10M45.00S,2024-04-13T00:42:54.8Z,2,REGULAR,3pt,Jump Shot,[],201567,66.83639947437582,54.41176470588235,1610612748,38,28,2024-04-13T00:43:03Z,1600000,False,22.0,259.0,1,right,K. Love 26' 3PT  (7 PTS) (J. Butler 4 AST),"[201567, 202710]",1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,26.01,Made,7.0,,,,,,,J. Butler,202710.0,4.0,,,,,,,,
165,PT10M31.00S,2024-04-13T00:43:08.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631241,12.697109067017081,44.36274509803921,1610612761,38,28,2024-04-13T00:43:15Z,1620000,False,28.0,67.0,1,left,MISS J. Freeman-Liberty 7' driving floating bank Shot,[1631241],1610612761.0,TOR,driving floating bank,,,Freeman-Liberty,J. Freeman-Liberty,,,,,In The Paint (Non-RA),0-8 Center,7.26,Missed,,,,,,,,,,,,,,,,,,
166,PT10M31.00S,2024-04-13T00:43:08.5Z,2,REGULAR,rebound,defensive,[],201567,,,1610612748,38,28,2024-04-13T00:43:15Z,1630000,False,,,0,,K. Love REBOUND (Off:0 Def:4),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,,,,165.0,4.0,4.0,0.0,,,,,,,,,,,
167,PT10M25.00S,2024-04-13T00:43:16.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201567,67.7562417871222,30.637254901960787,1610612748,38,28,2024-04-13T00:43:37Z,1640000,False,-97.0,251.0,1,right,MISS K. Love 26' running 3PT,[201567],1610612748.0,MIA,running,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,26.86,Missed,,,,,,,,,,,,,,,,,,
168,PT10M23.00S,2024-04-13T00:43:18.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,38,28,2024-04-13T00:43:37Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,167.0,,,,,,,,,,,,,,
169,PT10M23.00S,2024-04-13T00:43:32.4Z,2,REGULAR,foul,personal,[],1629628,,,1610612748,38,28,2024-04-13T00:43:41Z,1660000,False,,,0,,R. Barrett loose ball personal FOUL (1 PF),"[1629628, 202710]",1610612761.0,TOR,loose ball,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,1193.0,,,,,,,,,1.0,0.0,Butler,202710.0,,,,
172,PT10M09.00S,2024-04-13T00:44:02.3Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612748,38,28,2024-04-13T00:44:22Z,1690000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
173,PT09M55.00S,2024-04-13T00:44:19.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,27.283180026281208,15.686274509803921,1610612761,38,31,2024-04-13T00:44:25Z,1700000,False,172.0,204.0,1,left,B. Brown 26' 3PT  (9 PTS) (R. Barrett 1 AST),"[1628971, 1629628]",1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,26.66,Made,9.0,,,,,,,R. Barrett,1629628.0,1.0,,,,,,,,
175,PT09M29.00S,2024-04-13T00:44:48.3Z,2,REGULAR,3pt,Jump Shot,[],201567,65.91655716162943,79.90196078431373,1610612748,38,31,2024-04-13T00:45:16Z,1720000,False,150.0,268.0,1,right,MISS K. Love 30' step back 3PT,[201567],1610612748.0,MIA,step back,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,30.68,Missed,,,,,,,,,,,,,,,,,,
176,PT09M28.00S,2024-04-13T00:44:49.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,38,31,2024-04-13T00:44:57Z,1730000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,175.0,,,,,,,,,,,,,,
177,PT09M28.00S,2024-04-13T00:44:55.5Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612748,38,31,2024-04-13T00:50:03Z,1740000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,1193.0,,,,,,,,,,,,,,,,
188,PT09M07.00S,2024-04-13T00:45:07.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641711,10.726018396846255,57.107843137254896,1610612761,38,31,2024-04-13T00:47:56Z,1745000,False,-36.0,48.0,1,left,MISS G. Dick cutting finger roll Layup,[1641711],1610612761.0,TOR,cutting finger roll,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,,,,,,,,,,,,,,
189,PT09M06.00S,2024-04-13T00:45:08.7Z,2,REGULAR,rebound,offensive,[],1642013,,,1610612761,38,31,2024-04-13T00:47:05Z,1747500,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,188.0,2.0,1.0,1.0,,,,,,,,,,,
178,PT09M02.00S,2024-04-13T00:45:20.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629628,32.50657030223391,53.67647058823529,1610612761,38,31,2024-04-13T00:57:18Z,1750000,False,-18.0,253.0,1,left,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
180,PT08M59.00S,2024-04-13T00:45:23.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612748,38,31,2024-04-13T00:57:33Z,1770000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,178.0,,,,,,,,,,,,,,
