actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
82,PT04M44.00S,2024-01-11T00:55:00.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,23,15,2024-01-11T00:55:02Z,820000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT04M34.00S,2024-01-11T00:55:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,15.456636005256241,47.05882352941176,1610612748,25,15,2024-01-11T00:59:00Z,830000,False,15.0,93.0,1,left,K. Love 9' driving floating Jump Shot (2 PTS),[201567],1610612748.0,MIA,driving floating,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,9.4,Made,,,,,2.0,,,,,,,,,,,,,
86,PT04M20.00S,2024-01-11T00:55:23.3Z,1,REGULAR,3pt,Jump Shot,[],1631119,68.9388961892247,64.95098039215686,1610612760,25,18,2024-01-11T00:55:29Z,840000,False,75.0,239.0,1,right,J. Williams 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631119, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,25.09,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
87,PT03M58.00S,2024-01-11T00:55:45.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,9.149145860709593,2.450980392156863,1610612748,25,18,2024-01-11T00:55:56Z,850000,False,238.0,34.0,1,left,MISS T. Herro 24' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,,
88,PT03M58.00S,2024-01-11T00:55:45.1Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,25,18,2024-01-11T00:55:56Z,860000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,
90,PT03M48.00S,2024-01-11T00:55:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,90.09526938239159,56.127450980392155,1610612760,25,20,2024-01-11T00:56:05Z,870000,False,31.0,41.0,1,right,S. Gilgeous-Alexander driving floating bank Jump Shot (8 PTS),[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.08,Made,,,,,8.0,,,,,,,,,,,,,
91,PT03M48.00S,2024-01-11T00:56:03.4Z,1,REGULAR,foul,personal,['1freethrow'],1631107,,,1610612760,25,20,2024-01-11T00:56:08Z,880000,False,,,0,,N. Jovic shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1631107, 1628983]",1610612748.0,MIA,shooting,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,1.0,0.0,,,Gilgeous-Alexander,1628983.0,,
93,PT03M48.00S,2024-01-11T00:56:25.5Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,25,21,2024-01-11T00:56:25Z,900000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (9 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
94,PT03M26.00S,2024-01-11T00:56:52.9Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612748,25,21,2024-01-11T00:57:00Z,910000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Love 2 FT),"[1631119, 201567]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,1.0,0.0,,,Love,201567.0,,
96,PT03M26.00S,2024-01-11T00:57:21.2Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612748,26,21,2024-01-11T00:57:21Z,930000,False,,,0,,K. Love Free Throw 1 of 2 (3 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
97,PT03M26.00S,2024-01-11T00:57:21.9Z,1,REGULAR,substitution,out,[],1631107,,,1610612748,26,21,2024-01-11T00:57:31Z,940000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M26.00S,2024-01-11T00:57:21.9Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,26,21,2024-01-11T00:57:31Z,950000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M26.00S,2024-01-11T00:58:46.6Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612748,27,21,2024-01-11T00:58:46Z,970000,False,,,0,,K. Love Free Throw 2 of 2 (4 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
101,PT03M02.00S,2024-01-11T00:59:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,89.43823915900131,54.41176470588235,1610612760,27,23,2024-01-11T00:59:14Z,980000,False,22.0,47.0,1,right,K. Williams Layup (2 PTS) (J. Williams 2 AST),"[1629026, 1631119]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,,,,,2.0,J. Williams,1631119.0,2.0,,,,,,,,,,
103,PT02M47.00S,2024-01-11T00:59:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201567,9.937582128777924,43.872549019607845,1610612748,29,23,2024-01-11T01:03:06Z,1000000,False,31.0,41.0,1,left,K. Love reverse Layup (6 PTS) (H. Highsmith 2 AST),"[201567, 1629312]",1610612748.0,MIA,reverse,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,5.11,Made,,,,,6.0,H. Highsmith,1629312.0,2.0,,,,,,,,,,
105,PT02M47.00S,2024-01-11T00:59:35.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,29,23,2024-01-11T00:59:35Z,1020000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M34.00S,2024-01-11T01:03:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,90.3580814717477,54.65686274509803,1610612760,29,25,2024-01-11T01:03:40Z,1040000,False,23.0,38.0,1,right,C. Wallace cutting finger roll Layup (2 PTS) (S. Gilgeous-Alexander 2 AST),"[1641717, 1628983]",1610612760.0,OKC,cutting finger roll,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,
109,PT02M20.00S,2024-01-11T01:03:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,11.514454664914586,56.372549019607845,1610612748,31,25,2024-01-11T01:03:53Z,1060000,False,-32.0,56.0,1,left,K. Love 6' fadeaway bank Jump Shot (8 PTS) (J. Richardson 1 AST),"[201567, 1626196]",1610612748.0,MIA,fadeaway bank,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,,,,,8.0,J. Richardson,1626196.0,1.0,,,,,,,,,,
111,PT02M03.00S,2024-01-11T01:04:05.1Z,1,REGULAR,3pt,Jump Shot,[],1631119,80.50262812089356,91.42156862745098,1610612760,31,25,2024-01-11T01:04:08Z,1080000,False,207.0,131.0,1,right,MISS J. Williams 24' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,24.49,Missed,,,,,,,,,,,,,,,,,,
112,PT02M01.00S,2024-01-11T01:04:07.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,31,25,2024-01-11T01:04:08Z,1090000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,111.0,2.0,2.0,0.0,,,,,,,,,,,,,,
113,PT01M51.00S,2024-01-11T01:04:16.6Z,1,REGULAR,3pt,Jump Shot,[],1626196,33.327858081471746,32.35294117647059,1610612748,31,25,2024-01-11T01:04:30Z,1100000,False,88.0,261.0,1,left,MISS J. Richardson 27' 3PT,[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,27.53,Missed,,,,,,,,,,,,,,,,,,
114,PT01M49.00S,2024-01-11T01:04:18.6Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,31,25,2024-01-11T01:04:21Z,1110000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT01M40.00S,2024-01-11T01:04:29.2Z,1,REGULAR,turnover,bad pass,[],1629026,,,1610612760,31,25,2024-01-11T01:04:34Z,1120000,False,,,0,,K. Williams bad pass TURNOVER (1 TO),"[1629026, 1626196]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,Richardson,1626196.0
116,PT01M40.00S,2024-01-11T01:04:29.2Z,1,REGULAR,steal,,[],1626196,,,1610612748,31,25,2024-01-11T01:06:06Z,1130000,False,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
117,PT01M25.00S,2024-01-11T01:04:43.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629639,19.66162943495401,41.42156862745098,1610612748,33,25,2024-01-11T01:04:51Z,1140000,False,43.0,132.0,1,left,T. Herro 13' turnaround fadeaway Jump Shot (9 PTS),[1629639],1610612748.0,MIA,turnaround fadeaway,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,13.91,Made,,,,,9.0,,,,,,,,,,,,,
118,PT01M08.00S,2024-01-11T01:05:01.3Z,1,REGULAR,turnover,bad pass,[],1629026,,,1610612760,33,25,2024-01-11T01:05:05Z,1150000,False,,,0,,K. Williams bad pass TURNOVER (2 TO),"[1629026, 1629312]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2.0,,,,,,,Highsmith,1629312.0
119,PT01M08.00S,2024-01-11T01:05:01.3Z,1,REGULAR,steal,,[],1629312,,,1610612748,33,25,2024-01-11T01:05:03Z,1160000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
120,PT01M04.00S,2024-01-11T01:05:07.4Z,1,REGULAR,turnover,traveling,[],1626196,,,1610612748,33,25,2024-01-11T01:05:19Z,1170000,False,,,0,,J. Richardson traveling TURNOVER (1 TO),[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,1.0,,,,,,,,
121,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,out,[],1629639,,,1610612760,33,25,2024-01-11T01:05:23Z,1180000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,out,[],1629312,,,1610612760,33,25,2024-01-11T01:05:23Z,1190000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,out,[],1629026,,,1610612760,33,25,2024-01-11T01:05:23Z,1200000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,in,[],1631170,,,1610612760,33,25,2024-01-11T01:05:23Z,1210000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,in,[],1628389,,,1610612760,33,25,2024-01-11T01:05:23Z,1220000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M04.00S,2024-01-11T01:05:10.4Z,1,REGULAR,substitution,in,[],1631114,,,1610612760,33,25,2024-01-11T01:05:23Z,1230000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT00M47.00S,2024-01-11T01:05:45.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,91.01511169513797,55.63725490196079,1610612760,33,27,2024-01-11T01:06:00Z,1240000,False,28.0,32.0,1,right,J. Williams cutting Layup (2 PTS) (S. Gilgeous-Alexander 3 AST),"[1631114, 1628983]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,4.27,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,,
129,PT00M26.90S,2024-01-11T01:06:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.062417871222076,46.07843137254902,1610612748,35,27,2024-01-11T01:06:11Z,1260000,False,20.0,89.0,1,left,B. Adebayo 9' turnaround fadeaway Jump Shot (4 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.12,Made,,,,,4.0,,,,,,,,,,,,,
130,PT00M04.10S,2024-01-11T01:06:31.7Z,1,REGULAR,2pt,Jump Shot,[],1628983,84.31340341655716,21.07843137254902,1610612760,35,29,2024-01-11T01:06:35Z,1270000,False,-145.0,95.0,1,right,S. Gilgeous-Alexander 17' pullup Jump Shot (11 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left,17.3,Made,,,,,11.0,,,,,,,,,,,,,
131,PT00M01.50S,2024-01-11T01:06:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,37.40144546649146,27.941176470588236,1610612748,35,29,2024-01-11T01:07:53Z,1280000,False,110.0,299.0,1,left,MISS D. Robinson 31' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,31.88,Missed,,,,,,,,,,,,,,,,,,
132,PT00M00.10S,2024-01-11T01:06:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,35,29,2024-01-11T01:07:12Z,1290000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,131.0,,,,,,,,,,,,,,,,,
133,PT00M00.00S,2024-01-11T01:06:46.8Z,1,REGULAR,period,end,[],0,,,1610612748,35,29,2024-01-11T01:06:46Z,1300000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612748,35,29,2024-01-11T01:09:26Z,1310000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,out,['startperiod'],1631119,,,1610612748,35,29,2024-01-11T01:09:26Z,1320000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,out,['startperiod'],1630198,,,1610612748,35,29,2024-01-11T01:09:26Z,1330000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,out,['startperiod'],1641717,,,1610612748,35,29,2024-01-11T01:09:26Z,1340000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,in,['startperiod'],1631096,,,1610612748,35,29,2024-01-11T01:09:26Z,1350000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,in,['startperiod'],203995,,,1610612748,35,29,2024-01-11T01:09:26Z,1360000,False,,,0,,SUB in: V. Micic,[203995],1610612760.0,OKC,,,,Micic,V. Micic,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,in,['startperiod'],1630598,,,1610612748,35,29,2024-01-11T01:09:26Z,1370000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2024-01-11T01:07:14.8Z,2,REGULAR,substitution,in,['startperiod'],1629652,,,1610612748,35,29,2024-01-11T01:09:26Z,1380000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2024-01-11T01:09:32.7Z,2,REGULAR,period,start,[],0,,,1610612760,35,29,2024-01-11T01:09:32Z,1390000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT11M48.00S,2024-01-11T01:09:43.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,91.80354796320631,42.15686274509804,1610612760,35,31,2024-01-11T01:09:47Z,1400000,False,-39.0,25.0,1,right,J. Williams driving finger roll Layup (4 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,driving finger roll,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,4.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,
145,PT11M27.00S,2024-01-11T01:10:05.0Z,2,REGULAR,3pt,Jump Shot,[],1629130,31.09395532194481,68.62745098039215,1610612748,38,31,2024-01-11T01:10:09Z,1420000,False,-93.0,240.0,1,left,D. Robinson 25' 3PT pullup (3 PTS),[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.72,Made,,,,,3.0,,,,,,,,,,,,,
146,PT11M10.00S,2024-01-11T01:10:21.5Z,2,REGULAR,2pt,Jump Shot,[],1631114,82.7365308804205,23.03921568627451,1610612760,38,33,2024-01-11T01:10:34Z,1430000,False,-135.0,110.0,1,right,J. Williams 17' step back Jump Shot (6 PTS),[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,17.39,Made,,,,,6.0,,,,,,,,,,,,,
147,PT10M49.00S,2024-01-11T01:10:42.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629130,12.565703022339028,47.794117647058826,1610612748,38,33,2024-01-11T01:11:23Z,1440000,False,11.0,66.0,1,left,MISS D. Robinson 6' Hook,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,6.65,Missed,,,,,,,,,,,,,,,,,,
148,PT10M47.00S,2024-01-11T01:10:44.5Z,2,REGULAR,rebound,offensive,[],201567,,,1610612748,38,33,2024-01-11T01:11:23Z,1450000,False,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,,,
149,PT10M46.00S,2024-01-11T01:10:46.8Z,2,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612748,38,33,2024-01-11T01:10:57Z,1460000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Jaquez Jr. 2 FT),"[1631096, 1631170]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,1.0,0.0,,,Jaquez Jr.,1631170.0,,
151,PT10M46.00S,2024-01-11T01:11:16.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1631170,,,1610612748,39,33,2024-01-11T01:11:16Z,1480000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 2 (4 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
152,PT10M46.00S,2024-01-11T01:11:16.5Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1631170,,,1610612748,39,33,2024-01-11T01:11:35Z,1490000,False,,,0,,MISS J. Jaquez Jr. Free Throw 2 of 2,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
153,PT10M42.00S,2024-01-11T01:11:20.5Z,2,REGULAR,rebound,defensive,[],1631096,,,1610612760,39,33,2024-01-11T01:11:35Z,1500000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,,,
154,PT10M24.00S,2024-01-11T01:11:52.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,90.75229960578186,45.09803921568628,1610612760,39,35,2024-01-11T01:11:56Z,1510000,False,-25.0,34.0,1,right,L. Dort driving finger roll Layup (2 PTS) (V. Micic 1 AST),"[1629652, 203995]",1610612760.0,OKC,driving finger roll,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,4.22,Made,,,,,2.0,V. Micic,203995.0,1.0,,,,,,,,,,
156,PT10M09.00S,2024-01-11T01:12:05.9Z,2,REGULAR,3pt,Jump Shot,[],1629130,7.5722733245729295,95.58823529411765,1610612748,39,35,2024-01-11T01:12:08Z,1530000,False,-228.0,19.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,22.87,Missed,,,,,,,,,,,,,,,,,,
157,PT10M07.00S,2024-01-11T01:12:07.9Z,2,REGULAR,rebound,defensive,[],203995,,,1610612760,39,35,2024-01-11T01:12:08Z,1540000,False,,,0,,V. Micic REBOUND (Off:0 Def:1),[203995],1610612760.0,OKC,,,,Micic,V. Micic,,,,,Left Corner 3,24+ Left,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,,,
158,PT09M55.00S,2024-01-11T01:12:20.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,90.3580814717477,54.166666666666664,1610612760,39,37,2024-01-11T01:12:27Z,1550000,False,21.0,38.0,1,right,C. Holmgren alley-oop Layup (7 PTS) (J. Williams 2 AST),"[1631096, 1631114]",1610612760.0,OKC,alley-oop,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,4.34,Made,,,,,7.0,J. Williams,1631114.0,2.0,,,,,,,,,,
160,PT09M43.00S,2024-01-11T01:12:33.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,10.463206307490145,54.41176470588235,1610612748,41,37,2024-01-11T01:12:42Z,1570000,False,-22.0,46.0,1,left,B. Adebayo cutting DUNK (6 PTS) (K. Love 1 AST),"[1628389, 201567]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.09,Made,,,,,6.0,K. Love,201567.0,1.0,,,,,,,,,,
162,PT09M20.00S,2024-01-11T01:12:55.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,88.43626806833115,43.40533088235294,1610612760,41,39,2024-01-11T01:13:39Z,1590000,False,-33.0,56.0,1,right,A. Wiggins 6' pullup Jump Shot (2 PTS) (J. Williams 3 AST),"[1630598, 1631114]",1610612760.0,OKC,pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.52,Made,,,,,2.0,J. Williams,1631114.0,3.0,,,,,,,,,,
164,PT09M06.00S,2024-01-11T01:13:09.2Z,2,REGULAR,3pt,Jump Shot,[],1626196,6.783837056504599,95.83333333333334,1610612748,44,39,2024-01-11T01:13:12Z,1610000,False,-229.0,11.0,1,left,J. Richardson 3PT  (3 PTS) (J. Jaquez Jr. 1 AST),"[1626196, 1631170]",1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,Left Corner 3,24+ Left,22.95,Made,,,,,3.0,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,
166,PT08M45.00S,2024-01-11T01:13:30.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,91.01511169513797,53.431372549019606,1610612760,44,41,2024-01-11T01:14:28Z,1630000,False,17.0,32.0,1,right,C. Holmgren alley-oop Layup (9 PTS) (J. Williams 4 AST),"[1631096, 1631114]",1610612760.0,OKC,alley-oop,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,9.0,J. Williams,1631114.0,4.0,,,,,,,,,,
168,PT08M38.00S,2024-01-11T01:13:44.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.63929040735874,50.245098039215684,1610612748,46,41,2024-01-11T01:15:02Z,1650000,False,-1.0,104.0,1,left,B. Adebayo 10' pullup Jump Shot (8 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.39,Made,,,,,8.0,,,,,,,,,,,,,
169,PT08M21.00S,2024-01-11T01:13:53.6Z,2,REGULAR,2pt,Jump Shot,[],1631114,77.21747700394218,26.96078431372549,1610612760,46,41,2024-01-11T01:13:56Z,1660000,False,-115.0,162.0,1,right,MISS J. Williams 19' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,19.85,Missed,,,,,,,,,,,,,,,,,,
