actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
63,PT06M11.00S,2022-12-31T00:52:24.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,16.113666228646515,78.43137254901961,1610612761,14,10,2022-12-31T00:52:29Z,620000,False,-142.0,99.0,1,left,MISS G. Trent Jr. 17' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left,17.33,Missed,,,,,,,,,,,,,,,,,,
64,PT06M09.00S,2022-12-31T00:52:26.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,14,10,2022-12-31T00:52:29Z,630000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left,,,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,
65,PT06M04.00S,2022-12-31T00:52:32.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629006,95.0886990801577,2.2058823529411766,1610612756,14,10,2022-12-31T00:52:37Z,640000,False,-239.0,-6.0,1,right,MISS J. Okogie running 3PT,[1629006],1610612756.0,PHX,running,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,23.91,Missed,,,,,,,,,,,,,,,,,,
66,PT06M00.00S,2022-12-31T00:52:36.3Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,14,10,2022-12-31T00:52:37Z,650000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,
67,PT05M45.00S,2022-12-31T00:52:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631132,9.674770039421814,49.754901960784316,1610612761,16,10,2022-12-31T00:52:56Z,660000,False,1.0,38.0,1,left,C. Koloko cutting finger roll Layup (4 PTS) (O. Anunoby 2 AST),"[1631132, 1628384]",1610612761.0,TOR,cutting finger roll,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,3.84,Made,,,,,,,4.0,O. Anunoby,1628384.0,2.0,,,,,,,,
69,PT05M22.00S,2022-12-31T00:53:13.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,73.9323258869908,15.441176470588236,1610612756,16,13,2022-12-31T00:53:17Z,680000,False,-173.0,193.0,1,right,T. Craig 25' 3PT  (8 PTS) (J. Okogie 1 AST),"[1628470, 1629006]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,25.87,Made,,,,,,,8.0,J. Okogie,1629006.0,1.0,,,,,,,,
71,PT05M09.00S,2022-12-31T00:53:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629018,31.882391590013142,66.42156862745098,1610612761,19,13,2022-12-31T00:53:31Z,700000,False,-82.0,247.0,1,left,G. Trent Jr. 26' 3PT  (5 PTS) (P. Siakam 2 AST),"[1629018, 1627783]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,26.05,Made,,,,,,,5.0,P. Siakam,1627783.0,2.0,,,,,,,,
73,PT04M45.00S,2022-12-31T00:53:50.3Z,1,REGULAR,2pt,Jump Shot,[],1629028,91.93495400788436,21.07843137254902,1610612756,19,15,2022-12-31T00:53:54Z,720000,False,-145.0,23.0,1,right,D. Ayton 14' turnaround fadeaway Jump Shot (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,14.65,Made,,,,,,,2.0,M. Bridges,1628969.0,1.0,,,,,,,,
75,PT04M37.00S,2022-12-31T00:54:00.7Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612761,19,15,2022-12-31T00:54:21Z,740000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1629028, 1628384]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203593.0,,,,1.0,0.0,Anunoby,1628384.0
77,PT04M37.00S,2022-12-31T00:54:32.5Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,20,15,2022-12-31T00:54:32Z,760000,False,,,0,,O. Anunoby Free Throw 1 of 2 (6 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
