actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT06M07.00S,2023-02-09T00:53:26.5Z,1,REGULAR,substitution,out,[],1628966,,,1610612761,12,15,2023-02-09T00:53:32Z,830000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M07.00S,2023-02-09T00:53:26.5Z,1,REGULAR,substitution,in,[],1629676,,,1610612761,12,15,2023-02-09T00:53:32Z,840000,False,,,0,,SUB in: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M07.00S,2023-02-09T00:53:46.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612761,13,15,2023-02-09T00:53:46Z,850000,False,,,0,,P. Siakam Free Throw 2 of 2 (10 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
87,PT05M53.00S,2023-02-09T00:54:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,8.09789750328515,49.01960784313725,1610612759,13,15,2023-02-09T00:54:19Z,860000,False,5.0,24.0,1,left,MISS M. Branham driving floating Shot,[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
88,PT05M50.00S,2023-02-09T00:54:04.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,13,15,2023-02-09T00:54:07Z,870000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,87.0,3.0,3.0,0.0,,,,,,,,,,,,,,
89,PT05M42.00S,2023-02-09T00:54:12.4Z,1,REGULAR,3pt,Jump Shot,[],201152,66.44218134034165,50.0,1610612761,13,15,2023-02-09T00:54:17Z,880000,False,0.0,263.0,1,right,MISS T. Young 26' 3PT,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2023-02-09T00:54:15.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,13,15,2023-02-09T00:54:17Z,890000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,89.0,3.0,2.0,1.0,,,,,,,,,,,,,,
91,PT05M32.00S,2023-02-09T00:54:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629676,11.777266754270697,37.00980392156863,1610612759,13,17,2023-02-09T00:54:30Z,900000,False,65.0,58.0,1,left,I. Roby 8' driving floating bank Jump Shot (2 PTS) (K. Johnson 1 AST),"[1629676, 1629640]",1610612759.0,SAS,driving floating bank,,,Roby,I. Roby,,,,,In The Paint (Non-RA),8-16 Right,8.72,Made,,,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,,,,
127,PT05M19.00S,2023-02-09T00:54:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201152,91.63929040735874,39.950980392156865,1610612761,13,17,2023-02-09T01:00:39Z,925000,False,-50.0,26.0,1,right,MISS T. Young cutting Layup - blocked,"[201152, 1626196]",1610612761.0,TOR,cutting,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.66,Missed,,,,,Richardson,1626196.0,,,,,,,,,,,,
128,PT05M19.00S,2023-02-09T00:54:34.0Z,1,REGULAR,block,,[],1626196,,,1610612761,13,17,2023-02-09T01:00:39Z,932500,False,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
129,PT05M18.00S,2023-02-09T00:54:35.0Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,13,17,2023-02-09T01:00:39Z,936250,False,,,0,,J. Richardson REBOUND (Off:0 Def:2),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,127.0,2.0,2.0,0.0,,,,,,,,,,,,,,
95,PT05M10.00S,2023-02-09T00:54:44.6Z,1,REGULAR,turnover,bad pass,[],1629676,,,1610612759,13,17,2023-02-09T00:58:15Z,940000,False,,,0,,I. Roby bad pass TURNOVER (1 TO),"[1629676, 1629018]",1610612759.0,SAS,,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,
96,PT05M10.00S,2023-02-09T00:54:44.6Z,1,REGULAR,steal,,[],1629018,,,1610612761,13,17,2023-02-09T02:54:04Z,950000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT05M04.00S,2023-02-09T00:54:51.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628449,78.66294349540078,8.823529411764707,1610612761,16,17,2023-02-09T00:58:33Z,960000,False,-206.0,148.0,1,right,C. Boucher 25' 3PT running (3 PTS) (G. Trent Jr. 1 AST),"[1628449, 1629018]",1610612761.0,TOR,running,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Left Center,25.36,Made,,,,,,,3.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,
99,PT04M47.00S,2023-02-09T00:55:07.5Z,1,REGULAR,3pt,Jump Shot,[],1631103,32.14520367936925,35.53921568627451,1610612759,16,17,2023-02-09T00:55:14Z,980000,False,72.0,250.0,1,left,MISS M. Branham 26' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Center,26.0,Missed,,,,,,,,,,,,,,,,,,
100,PT04M45.00S,2023-02-09T00:55:09.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,17,2023-02-09T00:55:14Z,990000,False,,,0,,P. Siakam REBOUND (Off:0 Def:4),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,99.0,4.0,4.0,0.0,,,,,,,,,,,,,,
101,PT04M40.00S,2023-02-09T00:55:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,93.51182654402102,48.03921568627451,1610612761,18,17,2023-02-09T00:55:24Z,1000000,False,-10.0,8.0,1,right,P. Siakam running finger roll Layup (12 PTS),[1627783],1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,,,12.0,,,,,,,,,,,
102,PT04M40.00S,2023-02-09T00:55:22.5Z,1,REGULAR,foul,personal,['1freethrow'],1629676,,,1610612761,18,17,2023-02-09T00:55:56Z,1010000,False,,,0,,I. Roby shooting personal FOUL (1 PF) (Siakam 1 FT),"[1629676, 1627783]",1610612759.0,SAS,shooting,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628171.0,,,,1.0,0.0,Siakam,1627783.0
104,PT04M40.00S,2023-02-09T00:55:28.2Z,1,REGULAR,substitution,out,[],1626196,,,1610612761,18,17,2023-02-09T00:55:35Z,1030000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M40.00S,2023-02-09T00:55:28.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,18,17,2023-02-09T00:55:35Z,1040000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M40.00S,2023-02-09T00:55:28.2Z,1,REGULAR,substitution,in,[],203926,,,1610612761,18,17,2023-02-09T00:55:35Z,1050000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M40.00S,2023-02-09T00:55:28.2Z,1,REGULAR,substitution,in,[],1628380,,,1610612761,18,17,2023-02-09T00:55:35Z,1060000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M40.00S,2023-02-09T00:55:57.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627783,,,1610612761,19,17,2023-02-09T00:55:57Z,1070000,False,,,0,,P. Siakam Free Throw 1 of 1 (13 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
110,PT04M19.00S,2023-02-09T00:56:32.3Z,1,REGULAR,turnover,lost ball,[],1629676,,,1610612759,19,17,2023-02-09T00:56:40Z,1090000,False,,,0,,I. Roby lost ball TURNOVER (2 TO),"[1629676, 1627832]",1610612759.0,SAS,,,,Roby,I. Roby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2.0,VanVleet,1627832.0,,,,
111,PT04M19.00S,2023-02-09T00:56:32.3Z,1,REGULAR,steal,,[],1627832,,,1610612761,19,17,2023-02-09T00:56:34Z,1100000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
112,PT04M04.00S,2023-02-09T00:56:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,93.38042049934296,96.32352941176471,1610612761,22,17,2023-02-09T00:56:52Z,1110000,False,232.0,10.0,1,right,P. Siakam 3PT  (16 PTS) (F. VanVleet 2 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,23.18,Made,,,,,,,16.0,F. VanVleet,1627832.0,2.0,,,,,,,,
114,PT04M03.00S,2023-02-09T00:56:52.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,22,17,2023-02-09T00:56:52Z,1130000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M03.00S,2023-02-09T00:56:54.0Z,1,REGULAR,substitution,out,[],1629018,,,1610612759,22,17,2023-02-09T00:59:16Z,1140000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M03.00S,2023-02-09T00:56:54.0Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,22,17,2023-02-09T00:59:16Z,1150000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M03.00S,2023-02-09T00:56:54.0Z,1,REGULAR,substitution,in,[],1627823,,,1610612759,22,17,2023-02-09T00:59:16Z,1160000,False,,,0,,SUB in: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M03.00S,2023-02-09T00:56:54.0Z,1,REGULAR,substitution,in,[],1631104,,,1610612759,22,17,2023-02-09T00:59:16Z,1170000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M46.00S,2023-02-09T01:00:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,6.783837056504599,50.245098039215684,1610612759,22,17,2023-02-09T01:00:06Z,1180000,False,-1.0,11.0,1,left,MISS B. Wesley cutting Layup - blocked,"[1631104, 1628449]",1610612759.0,SAS,cutting,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,1.14,Missed,,,,,Boucher,1628449.0,,,,,,,,,,,,
120,PT03M46.00S,2023-02-09T01:00:02.6Z,1,REGULAR,block,,[],1628449,,,1610612759,22,17,2023-02-09T01:00:05Z,1190000,False,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
121,PT03M44.00S,2023-02-09T01:00:04.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,22,17,2023-02-09T01:00:06Z,1200000,False,,,0,,P. Siakam REBOUND (Off:0 Def:5),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,119.0,5.0,5.0,0.0,,,,,,,,,,,,,,
122,PT03M42.00S,2023-02-09T01:00:06.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,68.80749014454665,72.79411764705883,1610612761,25,17,2023-02-09T01:00:22Z,1210000,False,114.0,241.0,1,right,F. VanVleet 26' 3PT running pullup (3 PTS) (P. Siakam 2 AST),"[1627832, 1627783]",1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,26.63,Made,,,,,,,3.0,P. Siakam,1627783.0,2.0,,,,,,,,
123,PT03M26.00S,2023-02-09T01:00:24.0Z,1,REGULAR,turnover,bad pass,[],1631104,,,1610612759,25,17,2023-02-09T01:04:13Z,1220000,False,,,0,,B. Wesley bad pass TURNOVER (1 TO),"[1631104, 1627832]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,
124,PT03M26.00S,2023-02-09T01:00:24.0Z,1,REGULAR,steal,,[],1627832,,,1610612761,25,17,2023-02-09T01:00:26Z,1230000,False,,,0,,F. VanVleet STEAL (2 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
125,PT03M21.00S,2023-02-09T01:00:27.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627832,94.1688567674113,2.941176470588235,1610612761,25,17,2023-02-09T01:04:37Z,1240000,False,-235.0,2.0,1,right,MISS F. VanVleet running 3PT,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
126,PT03M19.00S,2023-02-09T01:00:30.3Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,25,17,2023-02-09T01:00:30Z,1250000,False,,,0,,P. Siakam REBOUND (Off:1 Def:5),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,125.0,6.0,5.0,1.0,,,,,,,,,,,,,,
130,PT03M10.00S,2023-02-09T01:00:40.0Z,1,REGULAR,turnover,bad pass,[],201152,,,1610612761,25,17,2023-02-09T01:00:47Z,1260000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[201152, 1628380]",1610612761.0,TOR,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Collins,1628380.0,,,,
131,PT03M10.00S,2023-02-09T01:00:40.0Z,1,REGULAR,steal,,[],1628380,,,1610612759,25,17,2023-02-09T01:00:42Z,1270000,False,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
132,PT03M04.00S,2023-02-09T01:00:45.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203926,32.276609724047304,59.80392156862745,1610612759,25,17,2023-02-09T01:00:53Z,1280000,False,-49.0,251.0,1,left,MISS D. McDermott 25' 3PT - blocked,"[203926, 1628449]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,Boucher,1628449.0,,,,,,,,,,,,
167,PT03M04.00S,2023-02-09T01:00:45.7Z,1,REGULAR,block,,[],1628449,,,1610612759,25,17,2023-02-09T01:04:18Z,1285000,False,,,0,,C. Boucher BLOCK (2 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
133,PT03M01.00S,2023-02-09T01:00:48.7Z,1,REGULAR,rebound,defensive,[],201152,,,1610612761,25,17,2023-02-09T01:14:12Z,1290000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,,
134,PT02M56.00S,2023-02-09T01:00:53.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627823,76.42904073587385,11.27450980392157,1610612761,25,17,2023-02-09T01:06:20Z,1300000,False,-194.0,169.0,1,right,MISS J. Hernangomez 25' running 3PT,[1627823],1610612761.0,TOR,running,,,Hernangomez,J. Hernangomez,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
135,PT02M51.00S,2023-02-09T01:00:58.3Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,25,17,2023-02-09T01:08:36Z,1310000,False,,,0,,C. Boucher REBOUND (Off:1 Def:0),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Left Center,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,,
136,PT02M51.00S,2023-02-09T01:00:59.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628449,94.40999984741211,50.0,1610612761,27,17,2023-02-09T01:06:19Z,1320000,False,0.0,0.0,1,right,C. Boucher tip Layup (5 PTS),[1628449],1610612761.0,TOR,tip,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,5.0,,,,,,,,,,,
137,PT02M39.00S,2023-02-09T01:01:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,6.652431011826544,49.26470588235294,1610612759,27,19,2023-02-09T01:08:08Z,1330000,False,4.0,10.0,1,left,B. Wesley driving reverse Layup (2 PTS),[1631104],1610612759.0,SAS,driving reverse,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,2.0,,,,,,,,,,,
138,PT02M24.00S,2023-02-09T01:01:25.3Z,1,REGULAR,2pt,Jump Shot,[],1627832,78.66294349540078,50.0,1610612761,27,19,2023-02-09T01:08:35Z,1340000,False,0.0,148.0,1,right,MISS F. VanVleet 14' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Center,14.81,Missed,,,,,,,,,,,,,,,,,,
139,PT02M19.00S,2023-02-09T01:01:30.3Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612759,27,19,2023-02-09T01:01:32Z,1350000,False,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Mid-Range,8-16 Center,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,
140,PT02M07.00S,2023-02-09T01:01:41.9Z,1,REGULAR,3pt,Jump Shot,[],1629640,6.521024967148489,96.81372549019608,1610612759,27,19,2023-02-09T01:01:46Z,1360000,False,-234.0,9.0,1,left,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,
141,PT02M05.00S,2023-02-09T01:01:43.9Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612761,27,19,2023-02-09T01:01:46Z,1370000,False,,,0,,J. Hernangomez REBOUND (Off:0 Def:1),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Left Corner 3,24+ Left,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,,
142,PT02M00.00S,2023-02-09T01:01:49.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,93.64323258869908,50.73529411764706,1610612761,29,19,2023-02-09T01:01:56Z,1380000,False,4.0,7.0,1,right,F. VanVleet running Layup (5 PTS),[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,,,5.0,,,,,,,,,,,
143,PT01M48.00S,2023-02-09T01:02:00.8Z,1,REGULAR,3pt,Jump Shot,[],1631104,6.389618922470433,96.81372549019608,1610612759,29,22,2023-02-09T01:02:06Z,1390000,False,-234.0,8.0,1,left,B. Wesley 3PT  (5 PTS) (D. McDermott 1 AST),"[1631104, 203926]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Left Corner 3,24+ Left,23.42,Made,,,,,,,5.0,D. McDermott,203926.0,1.0,,,,,,,,
145,PT01M30.00S,2023-02-09T01:02:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,84.31340341655716,43.38235294117647,1610612761,31,22,2023-02-09T01:02:24Z,1410000,False,-33.0,95.0,1,right,P. Siakam 10' fadeaway Jump Shot (18 PTS) (T. Young 1 AST),"[1627783, 201152]",1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,10.06,Made,,,,,,,18.0,T. Young,201152.0,1.0,,,,,,,,
147,PT01M22.00S,2023-02-09T01:02:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,8.886333771353483,58.82352941176471,1610612759,31,22,2023-02-09T01:02:31Z,1430000,False,-44.0,31.0,1,left,MISS K. Johnson driving floating bank Shot,[1629640],1610612759.0,SAS,driving floating bank,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
148,PT01M20.00S,2023-02-09T01:02:29.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,31,22,2023-02-09T01:02:31Z,1440000,False,,,0,,P. Siakam REBOUND (Off:1 Def:6),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,147.0,7.0,6.0,1.0,,,,,,,,,,,,,,
149,PT01M10.00S,2023-02-09T01:02:39.0Z,1,REGULAR,turnover,bad pass,[],201152,,,1610612761,31,22,2023-02-09T01:02:42Z,1450000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[201152, 1631104]",1610612761.0,TOR,,,,Young,T. Young,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,2.0,Wesley,1631104.0,,,,
150,PT01M10.00S,2023-02-09T01:02:39.0Z,1,REGULAR,steal,,[],1631104,,,1610612759,31,22,2023-02-09T01:02:41Z,1460000,False,,,0,,B. Wesley STEAL (1 STL),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
151,PT01M06.00S,2023-02-09T01:02:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629676,6.521024967148489,44.11764705882353,1610612759,31,24,2023-02-09T01:02:48Z,1470000,False,29.0,9.0,1,left,I. Roby running Layup (4 PTS) (B. Wesley 1 AST),"[1629676, 1631104]",1610612759.0,SAS,running,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,,,4.0,B. Wesley,1631104.0,1.0,,,,,,,,
154,PT00M46.30S,2023-02-09T01:03:03.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,65.91655716162943,60.049019607843135,1610612761,31,24,2023-02-09T01:03:09Z,1500000,False,50.0,268.0,1,right,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,27.26,Missed,,,,,,,,,,,,,,,,,,
155,PT00M43.10S,2023-02-09T01:03:06.3Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,31,24,2023-02-09T01:03:09Z,1510000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,154.0,1.0,1.0,0.0,,,,,,,,,,,,,,
156,PT00M36.60S,2023-02-09T01:03:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629640,27.414586070959263,80.88235294117648,1610612759,31,24,2023-02-09T01:14:47Z,1520000,False,-154.0,205.0,1,left,MISS K. Johnson 25' step back bank 3PT,[1629640],1610612759.0,SAS,step back bank,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
157,PT00M33.00S,2023-02-09T01:03:17.3Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,31,24,2023-02-09T01:03:23Z,1530000,False,,,0,,C. Boucher REBOUND (Off:1 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Left Center,,,156.0,2.0,1.0,1.0,,,,,,,,,,,,,,
158,PT00M30.20S,2023-02-09T01:03:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,93.11760840998686,50.245098039215684,1610612761,33,24,2023-02-09T01:03:28Z,1540000,False,1.0,12.0,1,right,F. VanVleet running finger roll Layup (7 PTS),[1627832],1610612761.0,TOR,running finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,7.0,,,,,,,,,,,
159,PT00M30.20S,2023-02-09T01:03:28.6Z,1,REGULAR,foul,personal,['1freethrow'],203926,,,1610612761,33,24,2023-02-09T01:03:58Z,1550000,False,,,0,,D. McDermott shooting personal FOUL (1 PF) (VanVleet 1 FT),"[203926, 1627832]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,,,,1.0,0.0,VanVleet,1627832.0
161,PT00M30.20S,2023-02-09T01:03:36.6Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,33,24,2023-02-09T01:03:42Z,1570000,False,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M30.20S,2023-02-09T01:03:36.6Z,1,REGULAR,substitution,out,[],1629640,,,1610612761,33,24,2023-02-09T01:03:42Z,1580000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M30.20S,2023-02-09T01:03:36.6Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,33,24,2023-02-09T01:03:42Z,1590000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
