actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
64,PT05M55.00S,2023-03-18T23:22:53.0Z,1,REGULAR,substitution,out,[],201144,,,1610612750,14,13,2023-03-18T23:22:59Z,610000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M55.00S,2023-03-18T23:22:53.0Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,14,13,2023-03-18T23:22:59Z,620000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2023-03-18T23:23:15.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629162,14.4053876478318,50.49019607843137,1610612750,14,15,2023-03-18T23:23:21Z,630000,False,-2.0,83.0,1,left,J. McLaughlin 8' driving finger roll Layup (2 PTS) (R. Gobert 3 AST),"[1629162, 203497]",1610612750.0,MIN,driving finger roll,,,McLaughlin,J. McLaughlin,,,,,In The Paint (Non-RA),8-16 Center,8.29,Made,,,,,,,2.0,,,,,R. Gobert,203497.0,3.0,,,,
68,PT05M25.00S,2023-03-18T23:23:37.8Z,1,REGULAR,2pt,Jump Shot,[],1627751,93.5611038107753,29.564950980392158,1610612761,16,15,2023-03-18T23:23:44Z,650000,False,-102.0,8.0,1,right,J. Poeltl 10' Jump Shot (6 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,10.25,Made,,,,,,,6.0,,,,,S. Barnes,1630567.0,1.0,,,,
70,PT05M08.00S,2023-03-18T23:23:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,14.273981603153747,53.18627450980392,1610612750,16,15,2023-03-18T23:26:49Z,670000,False,-16.0,82.0,1,left,MISS T. Prince 8' driving floating Shot,[1627752],1610612750.0,MIN,driving floating,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,8.32,Missed,,,,,,,,,,,,,,,,,,
71,PT05M05.00S,2023-03-18T23:23:57.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,15,2023-03-18T23:24:00Z,680000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT04M58.00S,2023-03-18T23:24:04.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,73.66951379763469,79.65686274509804,1610612761,19,15,2023-03-18T23:24:12Z,690000,False,148.0,195.0,1,right,F. VanVleet 24' 3PT  (10 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,24.5,Made,,,,,,,10.0,,,,,P. Siakam,1627783.0,1.0,,,,
74,PT04M42.00S,2023-03-18T23:24:20.8Z,1,REGULAR,3pt,Jump Shot,[],1630183,7.703679369250986,96.32352941176471,1610612750,19,15,2023-03-18T23:24:25Z,710000,False,-232.0,20.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.25,Missed,,,,,,,,,,,,,,,,,,
75,PT04M39.00S,2023-03-18T23:24:23.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,19,15,2023-03-18T23:24:25Z,720000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT04M32.00S,2023-03-18T23:24:33.7Z,1,REGULAR,foul,personal,[],1629162,,,1610612761,19,15,2023-03-18T23:24:45Z,730000,False,,,0,,J. McLaughlin personal FOUL (1 PF),"[1629162, 1628384]",1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Mid-Range,8-16 Left,,,,,,,2530.0,,,1.0,0.0,Anunoby,1628384.0,,,,,,,
78,PT04M32.00S,2023-03-18T23:24:40.8Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,19,15,2023-03-18T23:24:51Z,750000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M32.00S,2023-03-18T23:24:40.8Z,1,REGULAR,substitution,out,[],203497,,,1610612761,19,15,2023-03-18T23:24:51Z,760000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M32.00S,2023-03-18T23:24:40.8Z,1,REGULAR,substitution,in,[],1629018,,,1610612761,19,15,2023-03-18T23:24:51Z,770000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M32.00S,2023-03-18T23:24:40.8Z,1,REGULAR,substitution,in,[],1629675,,,1610612761,19,15,2023-03-18T23:24:51Z,780000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
