actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
91,PT04M26.00S,2023-01-11T00:54:32.0Z,1,REGULAR,turnover,offensive foul,[],1627832,,,1610612761,26,25,2023-01-11T00:54:32Z,900000,False,,,0,,F. VanVleet offensive foul TURNOVER (1 TO),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201246.0,,,,,,,,,1.0,,,,
92,PT04M12.00S,2023-01-11T00:54:53.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203486,8.492115637319317,42.15686274509804,1610612766,26,27,2023-01-11T00:55:04Z,910000,False,39.0,27.0,1,left,M. Plumlee reverse Layup (7 PTS) (D. Smith Jr. 1 AST),"[203486, 1628372]",1610612766.0,CHA,reverse,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,,,,,,7.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,
94,PT04M04.00S,2023-01-11T00:55:02.0Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,26,27,2023-01-11T00:55:06Z,930000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1628372]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Smith Jr.,1628372.0,,
95,PT04M04.00S,2023-01-11T00:55:02.0Z,1,REGULAR,steal,,[],1628372,,,1610612766,26,27,2023-01-11T00:55:04Z,940000,False,,,0,,D. Smith Jr. STEAL (1 STL),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
96,PT03M56.00S,2023-01-11T00:55:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630550,6.1268068331143235,95.09803921568627,1610612766,26,27,2023-01-11T00:55:15Z,950000,False,-225.0,5.0,1,left,MISS J. Thor 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Left Corner 3,24+ Left,22.56,Missed,,,,,,,,,,,,,,,,,,
97,PT03M53.00S,2023-01-11T00:55:12.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,26,27,2023-01-11T00:55:15Z,960000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,96.0,2.0,1.0,1.0,,,,,,,,,,,,,,
98,PT03M50.00S,2023-01-11T00:55:21.2Z,1,REGULAR,foul,offensive,[],1631132,,,1610612761,26,27,2023-01-11T00:56:02Z,970000,False,,,0,,C. Koloko offensive FOUL (1 PF),"[1631132, 1626179]",1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,1.0,0.0,Rozier,1626179.0,,,,,
100,PT03M50.00S,2023-01-11T00:55:21.2Z,1,REGULAR,turnover,offensive foul,[],1631132,,,1610612761,26,27,2023-01-11T00:55:21Z,990000,False,,,0,,C. Koloko offensive foul TURNOVER (1 TO),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,,,,,1.0,,,,
101,PT03M50.00S,2023-01-11T00:55:29.2Z,1,REGULAR,substitution,out,[],203486,,,1610612766,26,27,2023-01-11T00:55:34Z,1000000,False,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M50.00S,2023-01-11T00:55:29.2Z,1,REGULAR,substitution,in,[],1631109,,,1610612766,26,27,2023-01-11T00:55:34Z,1010000,False,,,0,,SUB in: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M50.00S,2023-01-11T00:55:49.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,26,27,2023-01-11T00:57:34Z,1020000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,2003.0,,,,,,,,,,,,,
104,PT03M30.00S,2023-01-11T00:56:08.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628998,7.178055190538765,2.2058823529411766,1610612766,26,30,2023-01-11T00:56:12Z,1030000,False,239.0,15.0,1,left,C. Martin 3PT  (3 PTS) (D. Smith Jr. 2 AST),"[1628998, 1628372]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,23.95,Made,,,,,,3.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,
106,PT03M06.00S,2023-01-11T00:56:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.59198423127464,48.03921568627451,1610612761,26,30,2023-01-11T00:56:38Z,1050000,False,-10.0,17.0,1,right,MISS F. VanVleet driving reverse Layup,[1627832],1610612761.0,TOR,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
107,PT03M03.00S,2023-01-11T00:56:35.5Z,1,REGULAR,rebound,offensive,[],1631132,,,1610612761,26,30,2023-01-11T00:56:35Z,1060000,False,,,0,,C. Koloko REBOUND (Off:1 Def:0),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,106.0,1.0,0.0,1.0,,,,,,,,,,,,,,
108,PT03M03.00S,2023-01-11T00:56:35.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631132,94.40999984741211,50.0,1610612761,26,30,2023-01-11T00:56:57Z,1070000,False,0.0,0.0,1,right,MISS C. Koloko reverse Layup,[1631132],1610612761.0,TOR,reverse,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
109,PT03M01.00S,2023-01-11T00:56:37.5Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,26,30,2023-01-11T00:56:57Z,1080000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,108.0,1.0,0.0,1.0,,,,,,,,,,,,,,
110,PT02M58.00S,2023-01-11T00:56:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627823,91.27792378449409,49.26470588235294,1610612761,28,30,2023-01-11T00:56:45Z,1090000,False,-4.0,29.0,1,right,J. Hernangomez cutting finger roll Layup (2 PTS) (F. VanVleet 3 AST),"[1627823, 1627832]",1610612761.0,TOR,cutting finger roll,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,2.0,F. VanVleet,1627832.0,3.0,,,,,,,,,
112,PT02M42.00S,2023-01-11T00:56:55.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628998,6.1268068331143235,51.225490196078425,1610612766,28,30,2023-01-11T00:57:00Z,1110000,False,-6.0,5.0,1,left,MISS C. Martin cutting DUNK - blocked,"[1628998, 1627823]",1610612766.0,CHA,cutting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,0.8,Missed,,,,,,,,,,,,,,,,,Hernangomez,1627823.0
113,PT02M42.00S,2023-01-11T00:56:55.8Z,1,REGULAR,block,,[],1627823,,,1610612766,28,30,2023-01-11T00:56:58Z,1120000,False,,,0,,J. Hernangomez BLOCK (1 BLK),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
114,PT02M42.00S,2023-01-11T00:56:55.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,28,30,2023-01-11T00:57:00Z,1130000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,112.0,3.0,2.0,1.0,,,,,,,,,,,,,,
115,PT02M38.00S,2023-01-11T00:57:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1628998,,,1610612761,28,30,2023-01-11T00:57:13Z,1140000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (VanVleet 2 FT),"[1628998, 1627832]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,1628482.0,,,,,1.0,0.0,VanVleet,1627832.0,,,,,
117,PT02M38.00S,2023-01-11T00:57:15.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,28,30,2023-01-11T00:57:15Z,1160000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M38.00S,2023-01-11T01:00:07.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612761,29,30,2023-01-11T01:00:07Z,1170000,False,,,0,,F. VanVleet Free Throw 1 of 2 (4 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,4.0,,,,,,,,,,,,
119,PT02M38.00S,2023-01-11T01:00:22.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612761,30,30,2023-01-11T01:00:22Z,1180000,False,,,0,,F. VanVleet Free Throw 2 of 2 (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
120,PT02M17.00S,2023-01-11T01:00:44.5Z,1,REGULAR,2pt,Jump Shot,[],1628372,20.844283837056505,43.38235294117647,1610612766,30,30,2023-01-11T01:00:51Z,1190000,False,33.0,143.0,1,left,MISS D. Smith Jr. 14' fadeaway Shot,[1628372],1610612766.0,CHA,fadeaway,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,8-16 Center,14.72,Missed,,,,,,,,,,,,,,,,,,
121,PT02M17.00S,2023-01-11T01:00:44.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,30,30,2023-01-11T01:00:51Z,1200000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,8-16 Center,,,120.0,,,,,,,,,,,,,,,,,
122,PT02M17.00S,2023-01-11T01:00:51.5Z,1,REGULAR,foul,personal,[],1631109,,,1610612761,30,30,2023-01-11T01:01:35Z,1210000,False,,,0,,M. Williams loose ball personal FOUL (1 PF),"[1631109, 1627783]",1610612766.0,CHA,loose ball,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628482.0,,,,,1.0,0.0,Siakam,1627783.0,,,,,
124,PT02M17.00S,2023-01-11T01:01:01.0Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,30,30,2023-01-11T01:01:06Z,1230000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M17.00S,2023-01-11T01:01:01.0Z,1,REGULAR,substitution,out,[],1627832,,,1610612761,30,30,2023-01-11T01:01:06Z,1240000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M17.00S,2023-01-11T01:01:01.0Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,30,30,2023-01-11T01:01:06Z,1250000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M17.00S,2023-01-11T01:01:01.0Z,1,REGULAR,substitution,in,[],1630201,,,1610612761,30,30,2023-01-11T01:01:06Z,1260000,False,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M07.00S,2023-01-11T01:01:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,91.80354796320631,56.372549019607845,1610612761,32,30,2023-01-11T01:02:20Z,1270000,False,32.0,25.0,1,right,P. Siakam driving Layup (14 PTS) (M. Flynn 1 AST),"[1627783, 1630201]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,4.02,Made,,,,,,14.0,M. Flynn,1630201.0,1.0,,,,,,,,,
130,PT01M51.00S,2023-01-11T01:01:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.95335085413929,49.26470588235294,1610612766,32,32,2023-01-11T01:01:40Z,1290000,False,4.0,116.0,1,left,T. Rozier 11' turnaround fadeaway Jump Shot (9 PTS),[1626179],1610612766.0,CHA,turnaround fadeaway,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,11.64,Made,,,,,,9.0,,,,,,,,,,,,
131,PT01M37.00S,2023-01-11T01:01:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,82.21090670170827,48.529411764705884,1610612761,32,32,2023-01-11T01:01:53Z,1300000,False,-7.0,115.0,1,right,MISS P. Siakam 11' turnaround Shot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,11.49,Missed,,,,,,,,,,,,,,,,,,
132,PT01M35.00S,2023-01-11T01:01:50.2Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,32,32,2023-01-11T01:01:53Z,1310000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,131.0,1.0,1.0,0.0,,,,,,,,,,,,,,
133,PT01M32.00S,2023-01-11T01:01:54.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,26.757555847568987,18.627450980392158,1610612766,32,32,2023-01-11T01:02:02Z,1320000,False,157.0,199.0,1,left,MISS T. Rozier 25' running pullup 3PT,[1626179],1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,25.34,Missed,,,,,,,,,,,,,,,,,,
134,PT01M27.00S,2023-01-11T01:01:58.9Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,32,32,2023-01-11T01:01:58Z,1330000,False,,,0,,T. Rozier REBOUND (Off:1 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,133.0,3.0,2.0,1.0,,,,,,,,,,,,,,
135,PT01M19.00S,2023-01-11T01:02:07.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628372,29.122864651773984,23.774509803921568,1610612766,32,32,2023-01-11T01:02:12Z,1340000,False,131.0,221.0,1,left,MISS D. Smith Jr. 25' 3PT,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
136,PT01M15.00S,2023-01-11T01:02:11.6Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612761,32,32,2023-01-11T01:02:12Z,1350000,False,,,0,,J. Hernangomez REBOUND (Off:0 Def:1),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Above the Break 3,24+ Right Center,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,,
137,PT01M07.00S,2023-01-11T01:02:18.3Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,32,32,2023-01-11T01:02:23Z,1360000,False,,,0,,P. Siakam lost ball TURNOVER (2 TO),"[1627783, 1628372]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,2.0,Smith Jr.,1628372.0,,
138,PT01M07.00S,2023-01-11T01:02:18.3Z,1,REGULAR,steal,,[],1628372,,,1610612766,32,32,2023-01-11T01:02:20Z,1370000,False,,,0,,D. Smith Jr. STEAL (2 STL),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
139,PT01M04.00S,2023-01-11T01:02:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631109,7.178055190538765,50.0,1610612766,32,34,2023-01-11T01:02:28Z,1380000,False,0.0,15.0,1,left,M. Williams running Layup (2 PTS) (D. Smith Jr. 3 AST),"[1631109, 1628372]",1610612766.0,CHA,running,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,,2.0,D. Smith Jr.,1628372.0,3.0,,,,,,,,,
141,PT00M40.70S,2023-01-11T01:02:45.5Z,1,REGULAR,3pt,Jump Shot,[],1627823,93.9060446780552,2.941176470588235,1610612761,35,34,2023-01-11T01:02:51Z,1400000,False,-235.0,5.0,1,right,J. Hernangomez 3PT  (5 PTS) (P. Siakam 1 AST),"[1627823, 1627783]",1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Left Corner 3,24+ Left,23.53,Made,,,,,,5.0,P. Siakam,1627783.0,1.0,,,,,,,,,
144,PT00M31.60S,2023-01-11T01:03:00.7Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,35,34,2023-01-11T01:03:05Z,1430000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M31.60S,2023-01-11T01:03:00.7Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,35,34,2023-01-11T01:03:05Z,1440000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M28.40S,2023-01-11T01:03:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,5.995400788436268,44.36274509803921,1610612766,35,34,2023-01-11T01:03:28Z,1450000,False,28.0,4.0,1,left,MISS M. Williams cutting Layup - blocked,"[1631109, 1631132]",1610612766.0,CHA,cutting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.85,Missed,,,,,,,,,,,,,,,,,Koloko,1631132.0
147,PT00M28.40S,2023-01-11T01:03:22.9Z,1,REGULAR,block,,[],1631132,,,1610612766,35,34,2023-01-11T01:04:11Z,1460000,False,,,0,,C. Koloko BLOCK (1 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
148,PT00M25.10S,2023-01-11T01:03:26.2Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612761,35,34,2023-01-11T01:03:28Z,1470000,False,,,0,,J. Hernangomez REBOUND (Off:0 Def:2),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,,,146.0,2.0,2.0,0.0,,,,,,,,,,,,,,
149,PT00M05.70S,2023-01-11T01:03:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630201,86.5473061760841,42.8921568627451,1610612761,35,34,2023-01-11T01:03:50Z,1480000,False,-36.0,74.0,1,right,MISS M. Flynn 8' driving floating Shot,[1630201],1610612761.0,TOR,driving floating,,,Flynn,M. Flynn,,,,,In The Paint (Non-RA),8-16 Center,8.21,Missed,,,,,,,,,,,,,,,,,,
150,PT00M02.70S,2023-01-11T01:03:48.6Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,35,34,2023-01-11T01:03:50Z,1490000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,149.0,2.0,2.0,0.0,,,,,,,,,,,,,,
151,PT00M00.00S,2023-01-11T01:03:53.7Z,1,REGULAR,period,end,[],0,,,1610612766,35,34,2023-01-11T01:03:53Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,out,['startperiod'],1630567,,,1610612766,35,34,2023-01-11T01:06:27Z,1510000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,out,['startperiod'],1627823,,,1610612766,35,34,2023-01-11T01:06:27Z,1520000,False,,,0,,SUB out: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,out,['startperiod'],1627783,,,1610612766,35,34,2023-01-11T01:06:27Z,1530000,False,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,out,['startperiod'],1628998,,,1610612766,35,34,2023-01-11T01:06:27Z,1540000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,out,['startperiod'],1630550,,,1610612766,35,34,2023-01-11T01:06:27Z,1550000,False,,,0,,SUB out: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,in,['startperiod'],1630173,,,1610612766,35,34,2023-01-11T01:06:27Z,1560000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,in,['startperiod'],1628449,,,1610612766,35,34,2023-01-11T01:06:27Z,1570000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,in,['startperiod'],1629018,,,1610612766,35,34,2023-01-11T01:06:27Z,1580000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,in,['startperiod'],1629023,,,1610612766,35,34,2023-01-11T01:06:27Z,1590000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-01-11T01:04:43.7Z,2,REGULAR,substitution,in,['startperiod'],1630163,,,1610612766,35,34,2023-01-11T01:06:27Z,1600000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-01-11T01:06:31.0Z,2,REGULAR,period,start,[],0,,,1610612766,35,34,2023-01-11T01:06:31Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M45.00S,2023-01-11T01:06:48.8Z,2,REGULAR,violation,kicked ball,[],1631132,,,1610612766,35,34,2023-01-11T01:07:11Z,1620000,False,,,0,,C. Koloko kicked ball VIOLATION,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,1628482.0,,,,,,,,,,,,,
164,PT11M37.00S,2023-01-11T01:07:09.3Z,2,REGULAR,3pt,Jump Shot,[],1630163,32.670827858081466,78.67647058823529,1610612766,35,37,2023-01-11T01:07:15Z,1630000,False,-143.0,255.0,1,left,L. Ball 29' 3PT  (8 PTS) (D. Smith Jr. 4 AST),"[1630163, 1628372]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,29.22,Made,,,,,,8.0,D. Smith Jr.,1628372.0,4.0,,,,,,,,,
166,PT11M19.00S,2023-01-11T01:07:26.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,92.9862023653088,50.245098039215684,1610612761,37,37,2023-01-11T01:07:31Z,1650000,False,1.0,13.0,1,right,G. Trent Jr. driving finger roll Layup (5 PTS) (C. Koloko 1 AST),"[1629018, 1631132]",1610612761.0,TOR,driving finger roll,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,5.0,C. Koloko,1631132.0,1.0,,,,,,,,,
168,PT11M12.00S,2023-01-11T01:07:33.1Z,2,REGULAR,3pt,Jump Shot,[],1629023,5.732588699080158,95.83333333333334,1610612766,37,37,2023-01-11T01:07:39Z,1670000,False,-229.0,1.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
169,PT11M08.00S,2023-01-11T01:07:37.2Z,2,REGULAR,rebound,offensive,[],1629023,,,1610612766,37,37,2023-01-11T01:07:37Z,1680000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,,,168.0,1.0,0.0,1.0,,,,,,,,,,,,,,
170,PT11M00.00S,2023-01-11T01:07:45.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,21.76412614980289,92.64705882352942,1610612766,37,37,2023-01-11T01:07:50Z,1690000,False,-213.0,152.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
171,PT10M57.00S,2023-01-11T01:07:48.9Z,2,REGULAR,rebound,defensive,[],1630173,,,1610612761,37,37,2023-01-11T01:07:50Z,1700000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,
172,PT10M47.00S,2023-01-11T01:07:58.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,86.81011826544021,44.11764705882353,1610612761,37,37,2023-01-11T01:08:03Z,1710000,False,-29.0,71.0,1,right,MISS P. Achiuwa 7' driving finger roll Layup,[1630173],1610612761.0,TOR,driving finger roll,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,7.73,Missed,,,,,,,,,,,,,,,,,,
