actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
90,PT04M34.00S,2022-10-28T23:55:43.0Z,1,REGULAR,turnover,lost ball,[],1630625,,,1610612761,14,20,2022-10-29T00:05:46Z,900000,,,0,,D. Banton lost ball TURNOVER (1 TO),"[1630625, 1629001]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,1.0,Melton,1629001.0,,,,,,,,,,,2715.0,,,,,,
95,PT04M34.00S,2022-10-28T23:55:43.0Z,1,REGULAR,steal,,[],1629001,,,1610612755,14,20,2022-10-28T23:57:00Z,905000,,,0,,D. Melton STEAL (2 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
91,PT04M16.00S,2022-10-28T23:55:54.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,7.440867279894875,97.05882352941177,1610612755,14,20,2022-10-28T23:56:09Z,910000,-235.0,17.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,23.59,Missed,,,,,,,,,,,,,,,
92,PT04M12.00S,2022-10-28T23:55:57.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,14,20,2022-10-28T23:55:57Z,920000,,,0,,O. Anunoby REBOUND (Off:1 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,91.0,3.0,2.0,1.0,,,,,,,
93,PT03M54.00S,2022-10-28T23:56:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,91.40932982917214,40.44117647058824,1610612761,16,20,2022-10-28T23:56:23Z,930000,-48.0,28.0,1,right,O. Anunoby driving Layup (5 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,5.55,Made,5.0,,,,,,,,,,,,,,
94,PT03M46.00S,2022-10-28T23:56:28.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,20,2022-10-28T23:56:28Z,940000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M46.00S,2022-10-28T23:58:31.7Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,16,20,2022-10-28T23:59:15Z,950000,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M46.00S,2022-10-28T23:58:31.7Z,1,REGULAR,substitution,out,[],200782,,,1610612755,16,20,2022-10-28T23:59:15Z,960000,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M46.00S,2022-10-28T23:58:31.7Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,16,20,2022-10-28T23:59:15Z,970000,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M46.00S,2022-10-28T23:58:31.7Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,16,20,2022-10-28T23:59:15Z,980000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M26.00S,2022-10-28T23:59:46.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,16,20,2022-10-29T00:00:02Z,990000,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
102,PT03M12.00S,2022-10-29T00:00:19.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628384,83.78777923784494,43.627450980392155,1610612761,18,20,2022-10-29T00:00:28Z,1000000,-32.0,100.0,1,right,O. Anunoby 10' turnaround fadeaway Jump Shot (7 PTS),[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,10.49,Made,7.0,,,,,,,,,,,,,,
103,PT02M51.00S,2022-10-29T00:00:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629680,7.046649145860711,3.431372549019608,1610612755,18,20,2022-10-29T00:00:44Z,1010000,233.0,14.0,1,left,MISS M. Thybulle 3PT - blocked,"[1629680, 1628449]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,23.32,Missed,,,,,,,,,,,,,,Boucher,1628449.0
104,PT02M51.00S,2022-10-29T00:00:39.7Z,1,REGULAR,block,,[],1628449,,,1610612755,18,20,2022-10-29T00:00:42Z,1020000,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
105,PT02M48.00S,2022-10-29T00:00:42.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,18,20,2022-10-29T00:00:44Z,1030000,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,,,,,,,,,,103.0,4.0,3.0,1.0,,,,,,,
106,PT02M45.00S,2022-10-29T00:00:46.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630625,81.2910643889619,94.36274509803921,1610612761,18,20,2022-10-29T00:00:59Z,1040000,222.0,123.0,1,right,MISS D. Banton 25' running 3PT,[1630625],1610612761.0,TOR,running,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,,,,25.38,Missed,,,,,,,,,,,,,,,
107,PT02M41.00S,2022-10-29T00:00:49.8Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,18,20,2022-10-29T00:00:49Z,1050000,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,106.0,1.0,0.0,1.0,,,,,,,
108,PT02M35.00S,2022-10-29T00:00:56.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630173,93.64323258869908,28.676470588235293,1610612761,18,20,2022-10-29T00:01:06Z,1060000,-107.0,7.0,1,right,MISS P. Achiuwa 10' Jump Shot - blocked,"[1630173, 1629680]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Left,,,,10.68,Missed,,,,,,,,,,,,,,Thybulle,1629680.0
109,PT02M35.00S,2022-10-29T00:00:56.7Z,1,REGULAR,block,,[],1629680,,,1610612761,18,20,2022-10-29T00:00:59Z,1070000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
110,PT02M35.00S,2022-10-29T00:00:56.7Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612761,18,20,2022-10-29T00:01:06Z,1080000,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,Mid-Range,8-16 Left,,,,,,,,,,108.0,1.0,0.0,1.0,,,,,,,
111,PT02M30.00S,2022-10-29T00:01:01.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,76.5604467805519,10.53921568627451,1610612761,18,20,2022-10-29T00:01:10Z,1090000,-197.0,168.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,25.9,Missed,,,,,,,,,,,,,,,
112,PT02M28.00S,2022-10-29T00:01:03.8Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,18,20,2022-10-29T00:01:03Z,1100000,,,0,,P. Achiuwa REBOUND (Off:2 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,111.0,2.0,0.0,2.0,,,,,,,
113,PT02M26.00S,2022-10-29T00:01:06.6Z,1,REGULAR,foul,personal,[],201935,,,1610612761,18,20,2022-10-29T00:01:21Z,1110000,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1627783]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1629183.0,1.0,0.0,Siakam,1627783.0,,
115,PT02M26.00S,2022-10-29T00:01:13.9Z,1,REGULAR,substitution,out,[],202699,,,1610612761,18,20,2022-10-29T00:01:20Z,1130000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M26.00S,2022-10-29T00:01:13.9Z,1,REGULAR,substitution,in,[],1626149,,,1610612761,18,20,2022-10-29T00:01:20Z,1140000,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M14.00S,2022-10-29T00:01:43.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,76.82325886990802,26.47058823529412,1610612761,20,20,2022-10-29T00:01:48Z,1150000,-118.0,165.0,1,right,P. Siakam 20' step back Jump Shot (8 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,20.29,Made,8.0,,,,,,,,,,,,,,
118,PT02M01.00S,2022-10-29T00:01:58.2Z,1,REGULAR,foul,offensive,[],1627863,,,1610612755,20,20,2022-10-29T00:02:09Z,1160000,,,0,,D. House Jr. offensive FOUL (1 PF),"[1627863, 1628449]",1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,201245.0,1.0,0.0,Boucher,1628449.0,,
120,PT02M01.00S,2022-10-29T00:01:58.2Z,1,REGULAR,turnover,offensive foul,[],1627863,,,1610612755,20,20,2022-10-29T00:01:58Z,1180000,,,0,,D. House Jr. offensive foul TURNOVER (1 TO),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,1.0,,,,,,,,,,,,,201245.0,,,,,,
121,PT02M01.00S,2022-10-29T00:02:07.9Z,1,REGULAR,substitution,out,[],201935,,,1610612761,20,20,2022-10-29T00:02:14Z,1190000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M01.00S,2022-10-29T00:02:07.9Z,1,REGULAR,substitution,in,[],1630178,,,1610612761,20,20,2022-10-29T00:02:14Z,1200000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M50.00S,2022-10-29T00:02:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630173,94.1688567674113,94.85294117647058,1610612761,20,20,2022-10-29T00:02:38Z,1210000,224.0,2.0,1,right,MISS P. Achiuwa 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Right Corner 3,24+ Right,,,,22.43,Missed,,,,,,,,,,,,,,,
124,PT01M46.00S,2022-10-29T00:02:37.1Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612755,20,20,2022-10-29T00:02:38Z,1220000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,123.0,1.0,1.0,0.0,,,,,,,
125,PT01M30.00S,2022-10-29T00:02:52.5Z,1,REGULAR,3pt,Jump Shot,[],1629680,19.004599211563733,5.88235294117647,1610612755,20,23,2022-10-29T00:02:56Z,1230000,221.0,126.0,1,left,M. Thybulle 25' 3PT  (3 PTS) (M. Harrell 1 AST),"[1629680, 1626149]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,,,,25.41,Made,3.0,M. Harrell,1626149.0,1.0,,,,,,,,,,,
127,PT01M08.00S,2022-10-29T00:03:17.9Z,1,REGULAR,foul,offensive,[],1630173,,,1610612761,20,23,2022-10-29T00:03:23Z,1250000,,,0,,P. Achiuwa charge offensive FOUL (1 PF),"[1630173, 1626149]",1610612761.0,TOR,charge,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Harrell,1626149.0,,
129,PT01M08.00S,2022-10-29T00:03:17.9Z,1,REGULAR,turnover,offensive foul,[],1630173,,,1610612761,20,23,2022-10-29T00:03:17Z,1270000,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,2715.0,,,,,,
130,PT01M08.00S,2022-10-29T00:03:24.7Z,1,REGULAR,substitution,out,[],1628384,,,1610612755,20,23,2022-10-29T00:03:32Z,1280000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M08.00S,2022-10-29T00:03:24.7Z,1,REGULAR,substitution,out,[],1630625,,,1610612755,20,23,2022-10-29T00:03:32Z,1290000,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M08.00S,2022-10-29T00:03:24.7Z,1,REGULAR,substitution,in,[],1629018,,,1610612755,20,23,2022-10-29T00:03:32Z,1300000,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M08.00S,2022-10-29T00:03:24.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612755,20,23,2022-10-29T00:03:32Z,1310000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M57.50S,2022-10-29T00:03:49.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629680,7.30946123521682,3.431372549019608,1610612755,20,26,2022-10-29T00:03:54Z,1320000,233.0,16.0,1,left,M. Thybulle 3PT  (6 PTS) (T. Maxey 1 AST),"[1629680, 1630178]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,23.34,Made,6.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
136,PT00M36.90S,2022-10-29T00:04:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,76.03482260183968,90.44117647058823,1610612761,23,26,2022-10-29T00:04:19Z,1340000,202.0,173.0,1,right,S. Barnes 26' 3PT  (6 PTS) (P. Siakam 2 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,26.6,Made,6.0,P. Siakam,1627783.0,2.0,,,,,,,,,,,
138,PT00M16.50S,2022-10-29T00:04:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,13.61695137976347,4.166666666666666,1610612755,23,26,2022-10-29T00:04:42Z,1360000,229.0,75.0,1,left,MISS M. Thybulle 24' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,24.13,Missed,,,,,,,,,,,,,,,
139,PT00M13.70S,2022-10-29T00:04:41.0Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,23,26,2022-10-29T00:04:41Z,1370000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Right Corner 3,24+ Right,,,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,
140,PT00M06.10S,2022-10-29T00:04:49.9Z,1,REGULAR,foul,personal,[],1630178,,,1610612761,23,26,2022-10-29T00:04:57Z,1380000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1627783]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Siakam,1627783.0,,
142,PT00M06.10S,2022-10-29T00:05:04.0Z,1,REGULAR,substitution,out,[],1628449,,,1610612761,23,26,2022-10-29T00:05:20Z,1400000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M06.10S,2022-10-29T00:05:04.0Z,1,REGULAR,substitution,out,[],1627777,,,1610612761,23,26,2022-10-29T00:05:20Z,1410000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M06.10S,2022-10-29T00:05:04.0Z,1,REGULAR,substitution,in,[],1627832,,,1610612761,23,26,2022-10-29T00:05:20Z,1420000,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M06.10S,2022-10-29T00:05:04.0Z,1,REGULAR,substitution,in,[],1629001,,,1610612761,23,26,2022-10-29T00:05:20Z,1430000,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M04.30S,2022-10-29T00:05:29.9Z,1,REGULAR,3pt,Jump Shot,[],1627783,66.70499342969777,54.41176470588235,1610612761,26,26,2022-10-29T00:06:05Z,1440000,22.0,260.0,1,right,P. Siakam 26' 3PT  (11 PTS) (F. VanVleet 2 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,26.14,Made,11.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,
148,PT00M00.00S,2022-10-29T00:05:38.2Z,1,REGULAR,2pt,Jump Shot,[],1630178,26.10052562417871,37.99019607843137,1610612755,26,28,2022-10-29T00:05:58Z,1460000,60.0,193.0,1,left,T. Maxey 20' driving floating Jump Shot (14 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,,20.19,Made,14.0,,,,,,,,,,,,,,
150,PT00M00.00S,2022-10-29T00:06:26.7Z,1,REGULAR,period,end,[],0,,,1610612761,26,28,2022-10-29T00:06:26Z,1480000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-10-29T00:07:24.2Z,2,REGULAR,substitution,out,['startperiod'],1627783,,,1610612761,26,28,2022-10-29T00:08:19Z,1490000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-10-29T00:07:24.2Z,2,REGULAR,substitution,out,['startperiod'],1629001,,,1610612761,26,28,2022-10-29T00:08:19Z,1500000,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-10-29T00:07:24.2Z,2,REGULAR,substitution,in,['startperiod'],1628449,,,1610612761,26,28,2022-10-29T00:08:19Z,1510000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-10-29T00:07:24.2Z,2,REGULAR,substitution,in,['startperiod'],1627777,,,1610612761,26,28,2022-10-29T00:08:19Z,1520000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-10-29T00:08:27.1Z,2,REGULAR,period,start,[],0,,,1610612755,26,28,2022-10-29T00:08:27Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M41.00S,2022-10-29T00:08:45.5Z,2,REGULAR,3pt,Jump Shot,[],1630178,4.812746386333772,3.1862745098039214,1610612755,26,31,2022-10-29T00:08:49Z,1540000,234.0,-7.0,1,left,T. Maxey 3PT  (17 PTS) (M. Thybulle 1 AST),"[1630178, 1629680]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,23.42,Made,17.0,M. Thybulle,1629680.0,1.0,,,,,,,,,,,
158,PT11M18.00S,2022-10-29T00:09:07.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,85.3646517739816,54.166666666666664,1610612761,26,31,2022-10-29T00:09:11Z,1560000,21.0,85.0,1,right,MISS F. VanVleet 8' driving floating Shot,[1627832],1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,8.76,Missed,,,,,,,,,,,,,,,
159,PT11M16.00S,2022-10-29T00:09:09.3Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,26,31,2022-10-29T00:09:11Z,1570000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,
160,PT11M07.00S,2022-10-29T00:09:19.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626149,9.937582128777924,43.872549019607845,1610612755,26,33,2022-10-29T00:09:24Z,1580000,31.0,41.0,1,left,M. Harrell driving Hook (2 PTS) (T. Maxey 2 AST),"[1626149, 1630178]",1610612755.0,PHI,driving,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,5.11,Made,2.0,T. Maxey,1630178.0,2.0,,,,,,,,,,,
162,PT10M51.00S,2022-10-29T00:09:36.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,93.9060446780552,55.392156862745104,1610612761,26,33,2022-10-29T00:09:44Z,1600000,27.0,5.0,1,right,MISS P. Achiuwa alley-oop Layup,[1630173],1610612761.0,TOR,alley-oop,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,2.74,Missed,,,,,,,,,,,,,,,
163,PT10M51.00S,2022-10-29T00:09:36.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612761,26,33,2022-10-29T00:09:44Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,162.0,,,,,,,,,,
164,PT10M51.00S,2022-10-29T00:09:41.6Z,2,REGULAR,turnover,traveling,[],1630173,,,1610612761,26,33,2022-10-29T00:09:52Z,1620000,,,0,,P. Achiuwa traveling TURNOVER (2 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,,,,,2715.0,,,,,,
165,PT10M39.00S,2022-10-29T00:10:00.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,28.465834428383708,77.45098039215686,1610612755,26,36,2022-10-29T00:10:04Z,1630000,-137.0,215.0,1,left,T. Maxey 25' 3PT  (20 PTS) (M. Harrell 2 AST),"[1630178, 1626149]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,25.52,Made,20.0,M. Harrell,1626149.0,2.0,,,,,,,,,,,
167,PT10M22.00S,2022-10-29T00:10:23.5Z,2,REGULAR,foul,technical,['1freethrow'],1626149,,,1610612761,26,36,2022-10-29T00:10:32Z,1650000,,,0,,M. Harrell defensive-3-second technical FOUL (1 Tech),[1626149],1610612755.0,PHI,defensive-3-second,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,2715.0,0.0,1.0,,,,
168,PT10M22.00S,2022-10-29T00:10:37.5Z,2,REGULAR,freethrow,1 of 1,[],1627832,,,1610612761,26,36,2022-10-29T00:10:37Z,1660000,,,0,,MISS F. VanVleet technical Free Throw 1 of 1,[1627832],1610612761.0,TOR,technical,,,VanVleet,F. VanVleet,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
169,PT10M22.00S,2022-10-29T00:10:37.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,26,36,2022-10-29T00:10:37Z,1670000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,
170,PT10M06.00S,2022-10-29T00:11:06.4Z,2,REGULAR,2pt,Jump Shot,[],1630567,79.188567674113,20.588235294117645,1610612761,28,36,2022-10-29T00:11:12Z,1680000,-147.0,143.0,1,right,S. Barnes 20' Jump Shot (8 PTS) (F. VanVleet 3 AST),"[1630567, 1627832]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,,20.52,Made,8.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,,
172,PT09M54.00S,2022-10-29T00:11:19.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,10.463206307490145,41.911764705882355,1610612755,28,38,2022-10-29T00:16:29Z,1700000,40.0,46.0,1,left,T. Maxey 6' finger roll Layup (22 PTS),[1630178],1610612755.0,PHI,finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.11,Made,22.0,,,,,,,,,,,,,,
173,PT09M30.00S,2022-10-29T00:11:42.5Z,2,REGULAR,3pt,Jump Shot,[],1630567,70.51576872536137,19.852941176470587,1610612761,31,38,2022-10-29T00:11:46Z,1710000,-151.0,225.0,1,right,S. Barnes 27' 3PT  (11 PTS) (P. Achiuwa 1 AST),"[1630567, 1630173]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,27.06,Made,11.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,
175,PT09M18.00S,2022-10-29T00:11:55.5Z,2,REGULAR,3pt,Jump Shot,[],1627777,27.94021024967148,82.35294117647058,1610612755,31,41,2022-10-29T00:11:59Z,1730000,-162.0,210.0,1,left,G. Niang 26' 3PT  (3 PTS) (T. Maxey 3 AST),"[1627777, 1630178]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,,,,26.52,Made,3.0,T. Maxey,1630178.0,3.0,,,,,,,,,,,
177,PT09M04.00S,2022-10-29T00:12:08.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,90.62089356110381,57.107843137254896,1610612761,31,41,2022-10-29T00:12:14Z,1750000,36.0,36.0,1,right,MISS P. Achiuwa driving finger roll Layup,[1630173],1610612761.0,TOR,driving finger roll,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,5.03,Missed,,,,,,,,,,,,,,,
