actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
91,PT03M58.00S,2023-04-07T02:18:56.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.964520367936927,51.286764705882355,1610612743,14,11,2023-04-07T02:27:58Z,870000,False,-6.0,13.0,1,left,D. Jordan DUNK (4 PTS) (P. Watson 1 AST),"[201599, 1631212]",1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1.45,Made,,,,,,,,,,,4.0,,,P. Watson,1631212.0,1.0,,
94,PT03M52.00S,2023-04-07T02:19:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1628427,,,1610612756,14,11,2023-04-07T02:19:18Z,900000,False,,,0,,V. Cancar shooting personal FOUL (1 PF) (Okogie 2 FT),"[1628427, 1629006]",1610612743.0,DEN,shooting,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,,203591.0,,,,,1.0,0.0,Okogie,1629006.0,,,,,,,,
96,PT03M52.00S,2023-04-07T02:19:35.3Z,1,REGULAR,freethrow,1 of 2,[],1629006,,,1610612756,14,11,2023-04-07T02:19:35Z,920000,False,,,0,,MISS J. Okogie Free Throw 1 of 2,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
97,PT03M52.00S,2023-04-07T02:19:35.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,14,11,2023-04-07T02:19:35Z,930000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,
98,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,14,11,2023-04-07T02:19:50Z,940000,False,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,out,[],201142,,,1610612756,14,11,2023-04-07T02:19:50Z,950000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,out,[],201599,,,1610612756,14,11,2023-04-07T02:19:50Z,960000,False,,,0,,SUB out: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,out,[],1631212,,,1610612756,14,11,2023-04-07T02:19:50Z,970000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,in,[],1628470,,,1610612756,14,11,2023-04-07T02:19:50Z,980000,False,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,in,[],202687,,,1610612756,14,11,2023-04-07T02:19:50Z,990000,False,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,in,[],1630192,,,1610612756,14,11,2023-04-07T02:19:50Z,1000000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M52.00S,2023-04-07T02:19:36.0Z,1,REGULAR,substitution,in,[],201145,,,1610612756,14,11,2023-04-07T02:19:50Z,1010000,False,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M52.00S,2023-04-07T02:20:10.7Z,1,REGULAR,freethrow,2 of 2,[],1629006,,,1610612756,15,11,2023-04-07T02:20:10Z,1020000,False,,,0,,J. Okogie Free Throw 2 of 2 (3 PTS),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
107,PT03M39.00S,2023-04-07T02:20:27.8Z,1,REGULAR,foul,personal,[],1626166,,,1610612743,15,11,2023-04-07T02:20:33Z,1030000,False,,,0,,C. Payne personal FOUL (1 PF),"[1626166, 1631128]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,Mid-Range,8-16 Left,,,,203591.0,,,,,1.0,0.0,Braun,1631128.0,,,,,,,,
109,PT03M39.00S,2023-04-07T02:20:33.6Z,1,REGULAR,substitution,out,[],1629006,,,1610612743,15,11,2023-04-07T02:20:35Z,1050000,False,,,0,,SUB out: J. Okogie,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M39.00S,2023-04-07T02:20:33.6Z,1,REGULAR,substitution,in,[],1629013,,,1610612743,15,11,2023-04-07T02:20:35Z,1060000,False,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M39.00S,2023-04-07T02:20:37.8Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,15,11,2023-04-07T02:20:44Z,1070000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M39.00S,2023-04-07T02:20:37.8Z,1,REGULAR,substitution,in,[],202397,,,1610612743,15,11,2023-04-07T02:20:44Z,1080000,False,,,0,,SUB in: I. Smith,[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M31.00S,2023-04-07T02:21:02.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628470,,,1610612743,15,11,2023-04-07T02:21:16Z,1090000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Green 2 FT),"[1628470, 201145]",1610612756.0,PHX,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,1626300.0,,,,,1.0,0.0,Green,201145.0,,,,,,,,
115,PT03M31.00S,2023-04-07T02:21:33.7Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,15,12,2023-04-07T02:21:33Z,1110000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
116,PT03M31.00S,2023-04-07T02:21:44.2Z,1,REGULAR,substitution,out,[],1628971,,,1610612743,15,12,2023-04-07T02:21:49Z,1120000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M31.00S,2023-04-07T02:21:44.2Z,1,REGULAR,substitution,in,[],202704,,,1610612743,15,12,2023-04-07T02:21:49Z,1130000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M31.00S,2023-04-07T02:22:02.2Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,15,13,2023-04-07T02:22:02Z,1140000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
119,PT03M12.00S,2023-04-07T02:22:21.8Z,1,REGULAR,3pt,Jump Shot,[],1628470,68.54467805519053,35.78431372549019,1610612756,18,13,2023-04-07T02:22:26Z,1150000,False,-71.0,243.0,1,right,T. Craig 25' 3PT  (3 PTS) (C. Payne 2 AST),"[1628470, 1626166]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,25.34,Made,,,,,,,,,,,3.0,,,C. Payne,1626166.0,2.0,,
121,PT02M57.00S,2023-04-07T02:22:37.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202397,9.806176084099869,48.529411764705884,1610612743,18,15,2023-04-07T02:22:42Z,1170000,False,7.0,40.0,1,left,I. Smith driving Hook (2 PTS),[202397],1610612743.0,DEN,driving,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,4.04,Made,,,,,,,,,,,2.0,,,,,,,
122,PT02M42.00S,2023-04-07T02:22:52.0Z,1,REGULAR,3pt,Jump Shot,[],1626166,96.00854139290408,95.09803921568627,1610612756,18,15,2023-04-07T02:22:57Z,1180000,False,225.0,-15.0,1,right,MISS C. Payne 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Right Corner 3,24+ Right,22.6,Missed,,,,,,,,,,,,,,,,,,
123,PT02M38.00S,2023-04-07T02:22:56.0Z,1,REGULAR,rebound,defensive,[],202397,,,1610612743,18,15,2023-04-07T02:22:57Z,1190000,False,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,Right Corner 3,24+ Right,,,122.0,,,1.0,1.0,0.0,,,,,,,,,,,,
124,PT02M32.00S,2023-04-07T02:23:02.8Z,1,REGULAR,3pt,Jump Shot,[],1628427,33.459264126149804,48.529411764705884,1610612743,18,15,2023-04-07T02:23:07Z,1200000,False,7.0,262.0,1,left,MISS V. Cancar 26' 3PT,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Above the Break 3,24+ Center,26.21,Missed,,,,,,,,,,,,,,,,,,
125,PT02M29.00S,2023-04-07T02:23:05.8Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,18,15,2023-04-07T02:23:07Z,1210000,False,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Center,,,124.0,,,1.0,1.0,0.0,,,,,,,,,,,,
126,PT02M08.00S,2023-04-07T02:23:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628470,82.86793692509855,41.911764705882355,1610612756,18,15,2023-04-07T02:34:56Z,1220000,False,-40.0,109.0,1,right,MISS T. Craig 11' turnaround Shot,[1628470],1610612756.0,PHX,turnaround,,,Craig,T. Craig,,,,,In The Paint (Non-RA),8-16 Center,11.58,Missed,,,,,,,,,,,,,,,,,,
127,PT02M05.00S,2023-04-07T02:23:29.6Z,1,REGULAR,rebound,offensive,[],202687,,,1610612756,18,15,2023-04-07T02:23:32Z,1230000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:0),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),8-16 Center,,,126.0,,,1.0,0.0,1.0,,,,,,,,,,,,
128,PT02M03.00S,2023-04-07T02:23:31.2Z,1,REGULAR,turnover,lost ball,[],202687,,,1610612756,18,15,2023-04-07T02:23:35Z,1240000,False,,,0,,B. Biyombo lost ball TURNOVER (1 TO),"[202687, 202704]",1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,1.0,,,,,,,,,Jackson,202704.0,,,,,
129,PT02M03.00S,2023-04-07T02:23:31.2Z,1,REGULAR,steal,,[],202704,,,1610612743,18,15,2023-04-07T02:23:32Z,1250000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
130,PT01M57.00S,2023-04-07T02:23:38.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626166,,,1610612743,18,15,2023-04-07T02:23:46Z,1260000,False,,,0,,C. Payne personal FOUL (2 PF) (Jackson 2 FT),"[1626166, 202704]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,,,,202041.0,,,,,2.0,0.0,Jackson,202704.0,,,,,,,,
132,PT01M57.00S,2023-04-07T02:23:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,18,15,2023-04-07T02:23:49Z,1280000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M57.00S,2023-04-07T02:27:25.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202704,,,1610612743,18,16,2023-04-07T02:27:25Z,1290000,False,,,0,,R. Jackson Free Throw 1 of 2 (3 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
134,PT01M57.00S,2023-04-07T02:27:48.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202704,,,1610612743,18,17,2023-04-07T02:27:48Z,1300000,False,,,0,,R. Jackson Free Throw 2 of 2 (4 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
135,PT01M47.00S,2023-04-07T02:28:00.3Z,1,REGULAR,2pt,Jump Shot,[],1628470,77.08607095926413,44.11764705882353,1610612756,20,17,2023-04-07T02:28:07Z,1310000,False,-29.0,163.0,1,right,T. Craig 16' Jump Shot (5 PTS) (L. Shamet 1 AST),"[1628470, 1629013]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Center,16.55,Made,,,,,,,,,,,5.0,,,L. Shamet,1629013.0,1.0,,
137,PT01M32.00S,2023-04-07T02:28:15.3Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612743,20,17,2023-04-07T02:28:21Z,1330000,False,,,0,,I. Smith bad pass TURNOVER (1 TO),"[202397, 1626166]",1610612743.0,DEN,,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Right,,,,,1.0,,,,,,,,,Payne,1626166.0,,,,,
138,PT01M32.00S,2023-04-07T02:28:15.3Z,1,REGULAR,steal,,[],1626166,,,1610612756,20,17,2023-04-07T02:38:29Z,1340000,False,,,0,,C. Payne STEAL (1 STL),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
139,PT01M23.00S,2023-04-07T02:28:24.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,96.66557161629436,96.56862745098039,1610612756,23,17,2023-04-07T02:28:28Z,1350000,False,233.0,-21.0,1,right,D. Booker 3PT  (3 PTS) (T. Craig 1 AST),"[1626164, 1628470]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,23.38,Made,,,,,,,,,,,3.0,,,T. Craig,1628470.0,1.0,,
141,PT01M08.00S,2023-04-07T02:28:39.1Z,1,REGULAR,3pt,Jump Shot,[],202704,35.167542706964525,58.57843137254902,1610612743,23,20,2023-04-07T02:39:13Z,1370000,False,-43.0,278.0,1,left,R. Jackson 28' 3PT pullup (7 PTS) (Z. Nnaji 1 AST),"[202704, 1630192]",1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,28.14,Made,,,,,,,,,,,7.0,,,Z. Nnaji,1630192.0,1.0,,
142,PT00M55.90S,2023-04-07T02:28:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629013,75.64060446780552,8.57843137254902,1610612756,23,20,2023-04-07T02:28:58Z,1380000,False,-207.0,176.0,1,right,MISS L. Shamet 27' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,27.21,Missed,,,,,,,,,,,,,,,,,,
143,PT00M53.20S,2023-04-07T02:28:56.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,23,20,2023-04-07T02:28:56Z,1390000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Left Center,,,142.0,,,,,,,,,,,,,,,,,
145,PT00M38.80S,2023-04-07T02:29:18.5Z,1,REGULAR,3pt,Jump Shot,[],201145,15.456636005256241,97.79411764705883,1610612743,23,23,2023-04-07T02:29:55Z,1410000,False,-239.0,93.0,1,left,J. Green 25' 3PT  (5 PTS) (I. Smith 1 AST),"[201145, 202397]",1610612743.0,DEN,,,,Green,J. Green,,,,,Above the Break 3,24+ Left,25.64,Made,,,,,,,,,,,5.0,,,I. Smith,202397.0,1.0,,
147,PT00M35.50S,2023-04-07T02:29:33.0Z,1,REGULAR,foul,personal,['2freethrow'],202704,,,1610612756,23,23,2023-04-07T02:29:57Z,1430000,False,,,0,,R. Jackson shooting personal FOUL (1 PF) (Booker 2 FT),"[202704, 1626164]",1610612743.0,DEN,shooting,,,Jackson,R. Jackson,,,,,Mid-Range,8-16 Right,,,,202041.0,,,,,1.0,0.0,Booker,1626164.0,,,,,,,,
149,PT00M35.50S,2023-04-07T02:30:14.7Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,24,23,2023-04-07T02:30:14Z,1450000,False,,,0,,D. Booker Free Throw 1 of 2 (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
150,PT00M35.50S,2023-04-07T02:30:28.6Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,25,23,2023-04-07T02:30:28Z,1460000,False,,,0,,D. Booker Free Throw 2 of 2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
151,PT00M30.10S,2023-04-07T02:30:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202397,16.63929040735874,51.225490196078425,1610612743,25,25,2023-04-07T02:41:26Z,1470000,False,-6.0,104.0,1,left,I. Smith 10' pullup Jump Shot (4 PTS),[202397],1610612743.0,DEN,pullup,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Center,10.41,Made,,,,,,,,,,,4.0,,,,,,,
152,PT00M07.10S,2023-04-07T02:31:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,94.69448094612353,57.35294117647059,1610612756,25,25,2023-04-07T02:31:14Z,1480000,False,37.0,-3.0,1,right,MISS L. Shamet driving floating Shot - blocked,"[1629013, 1628427]",1610612756.0,PHX,driving floating,,,Shamet,L. Shamet,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,Cancar,1628427.0
153,PT00M07.10S,2023-04-07T02:31:08.6Z,1,REGULAR,block,,[],1628427,,,1610612756,25,25,2023-04-07T02:31:10Z,1490000,False,,,0,,V. Cancar BLOCK (1 BLK),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
154,PT00M07.00S,2023-04-07T02:31:08.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,25,25,2023-04-07T02:31:14Z,1500000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,152.0,,,,,,,,,,,,,,,,,
156,PT00M04.90S,2023-04-07T02:31:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628470,94.43166885676742,50.98039215686274,1610612756,27,25,2023-04-07T02:31:30Z,1520000,False,5.0,0.0,1,right,T. Craig cutting Layup (7 PTS) (C. Payne 3 AST),"[1628470, 1626166]",1610612756.0,PHX,cutting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,,,,,,,7.0,,,C. Payne,1626166.0,3.0,,
158,PT00M00.00S,2023-04-07T02:31:36.5Z,1,REGULAR,3pt,Jump Shot,[],202397,25.04927726675427,9.558823529411764,1610612743,27,25,2023-04-07T02:42:15Z,1540000,False,202.0,183.0,1,left,MISS I. Smith 27' pullup 3PT,[202397],1610612743.0,DEN,pullup,,,Smith,I. Smith,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2023-04-07T02:31:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,27,25,2023-04-07T02:31:38Z,1550000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,158.0,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2023-04-07T02:31:39.5Z,1,REGULAR,period,end,[],0,,,1610612743,27,25,2023-04-07T02:31:39Z,1560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,out,['startperiod'],1626164,,,1610612743,27,25,2023-04-07T02:34:52Z,1570000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,out,['startperiod'],1629013,,,1610612743,27,25,2023-04-07T02:34:52Z,1580000,False,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,out,['startperiod'],1626166,,,1610612743,27,25,2023-04-07T02:34:52Z,1590000,False,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,out,['startperiod'],202687,,,1610612743,27,25,2023-04-07T02:34:52Z,1600000,False,,,0,,SUB out: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,in,['startperiod'],203082,,,1610612743,27,25,2023-04-07T02:34:52Z,1610000,False,,,0,,SUB in: T. Ross,[203082],1610612756.0,PHX,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,in,['startperiod'],201142,,,1610612743,27,25,2023-04-07T02:34:52Z,1620000,False,,,0,,SUB in: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,in,['startperiod'],1629111,,,1610612743,27,25,2023-04-07T02:34:52Z,1630000,False,,,0,,SUB in: J. Landale,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2023-04-07T02:32:39.0Z,2,REGULAR,substitution,in,['startperiod'],101108,,,1610612743,27,25,2023-04-07T02:34:52Z,1640000,False,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2023-04-07T02:35:17.3Z,2,REGULAR,period,start,[],0,,,1610612756,27,25,2023-04-07T02:35:17Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M46.00S,2023-04-07T02:35:30.4Z,2,REGULAR,turnover,bad pass,[],201142,,,1610612756,27,25,2023-04-07T02:35:36Z,1660000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 202704]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,1.0,,,,,,,,,Jackson,202704.0,,,,,
171,PT11M46.00S,2023-04-07T02:35:30.4Z,2,REGULAR,steal,,[],202704,,,1610612743,27,25,2023-04-07T02:35:31Z,1670000,False,,,0,,R. Jackson STEAL (2 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
172,PT11M43.00S,2023-04-07T02:35:33.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630192,6.258212877792378,50.73529411764706,1610612743,27,27,2023-04-07T02:35:43Z,1680000,False,-4.0,6.0,1,left,Z. Nnaji running alley-oop Layup (2 PTS) (R. Jackson 3 AST),"[1630192, 202704]",1610612743.0,DEN,running alley-oop,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,,,,,,,2.0,,,R. Jackson,202704.0,3.0,,
174,PT11M15.00S,2023-04-07T02:36:00.9Z,2,REGULAR,2pt,Jump Shot,[],201142,90.22667542706965,29.411764705882355,1610612756,29,27,2023-04-07T02:43:05Z,1700000,False,-103.0,39.0,1,right,K. Durant 11' turnaround fadeaway Jump Shot (8 PTS),[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,11.02,Made,,,,,,,,,,,8.0,,,,,,,
175,PT10M59.00S,2023-04-07T02:36:17.5Z,2,REGULAR,turnover,bad pass,[],202704,,,1610612743,29,27,2023-04-07T02:36:21Z,1710000,False,,,0,,R. Jackson bad pass TURNOVER (2 TO),"[202704, 101108]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,,2.0,,,,,,,,,Paul,101108.0,,,,,
176,PT10M59.00S,2023-04-07T02:36:17.5Z,2,REGULAR,steal,,[],101108,,,1610612756,29,27,2023-04-07T02:36:20Z,1720000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
177,PT10M53.00S,2023-04-07T02:36:23.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201142,67.7562417871222,54.166666666666664,1610612756,29,27,2023-04-07T02:36:32Z,1730000,False,21.0,251.0,1,right,MISS K. Durant 25' running 3PT,[201142],1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.15,Missed,,,,,,,,,,,,,,,,,,
178,PT10M50.00S,2023-04-07T02:36:26.3Z,2,REGULAR,rebound,defensive,[],201145,,,1610612743,29,27,2023-04-07T02:36:32Z,1740000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,177.0,,,1.0,1.0,0.0,,,,,,,,,,,,
179,PT10M44.00S,2023-04-07T02:36:32.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202704,5.601182654402102,51.225490196078425,1610612743,29,29,2023-04-07T02:36:46Z,1750000,False,-6.0,0.0,1,left,R. Jackson driving Layup (9 PTS),[202704],1610612743.0,DEN,driving,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,,,,,,,9.0,,,,,,,
