actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
87,PT04M19.00S,2022-10-29T02:29:05.3Z,1,REGULAR,2pt,Jump Shot,[],203468,73.80091984231275,55.392156862745104,1610612740,14,19,2022-10-29T02:33:27Z,860000,27.0,194.0,1,right,C. McCollum 19' pullup Jump Shot (2 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,19.57,Made,2.0,,,,,,,,,,,,,J. Valanciunas,202685.0,1.0,,
89,PT04M18.00S,2022-10-29T02:29:12.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,14,19,2022-10-29T02:29:12Z,880000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M18.00S,2022-10-29T02:30:31.4Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,14,19,2022-10-29T02:32:00Z,890000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M18.00S,2022-10-29T02:30:31.4Z,1,REGULAR,substitution,out,[],202685,,,1610612756,14,19,2022-10-29T02:32:00Z,900000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M18.00S,2022-10-29T02:30:31.4Z,1,REGULAR,substitution,in,[],1629111,,,1610612756,14,19,2022-10-29T02:32:00Z,910000,,,0,,SUB in: J. Landale,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M18.00S,2022-10-29T02:30:31.4Z,1,REGULAR,substitution,in,[],1626204,,,1610612756,14,19,2022-10-29T02:32:00Z,920000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M01.00S,2022-10-29T02:32:52.4Z,1,REGULAR,3pt,Jump Shot,[],1628470,9.149145860709593,2.941176470588235,1610612756,17,19,2022-10-29T02:32:57Z,930000,235.0,34.0,1,left,T. Craig 3PT  (3 PTS) (C. Payne 1 AST),"[1628470, 1626166]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,23.77,Made,3.0,,,,,,,,,,,,,C. Payne,1626166.0,1.0,,
96,PT03M42.00S,2022-10-29T02:33:11.7Z,1,REGULAR,2pt,Jump Shot,[],203468,78.66294349540078,35.294117647058826,1610612740,17,21,2022-10-29T02:33:15Z,950000,-74.0,148.0,1,right,C. McCollum 16' pullup Jump Shot (4 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,16.53,Made,4.0,,,,,,,,,,,,,,,,,
97,PT03M17.00S,2022-10-29T02:33:48.6Z,1,REGULAR,turnover,bad pass,[],1628470,,,1610612756,17,21,2022-10-29T02:33:52Z,960000,,,0,,T. Craig bad pass TURNOVER (1 TO),"[1628470, 1628984]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Graham,1628984.0,,,,,
98,PT03M17.00S,2022-10-29T02:33:48.6Z,1,REGULAR,steal,,[],1628984,,,1610612740,17,21,2022-10-29T02:42:05Z,970000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
99,PT03M13.00S,2022-10-29T02:33:52.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,69.85873850197109,76.47058823529412,1610612740,17,21,2022-10-29T02:35:44Z,980000,132.0,231.0,1,right,MISS C. McCollum 26' running 3PT,[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
100,PT03M09.00S,2022-10-29T02:33:56.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,17,21,2022-10-29T02:33:58Z,990000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,99.0,2.0,2.0,0.0,,,,,,,,,,,,,
101,PT02M59.00S,2022-10-29T02:34:06.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,22.026938239159,70.83333333333334,1610612756,17,21,2022-10-29T02:34:13Z,1000000,-104.0,155.0,1,left,MISS D. Booker 18' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,18.64,Missed,,,,,,,,,,,,,,,,,,
102,PT02M56.00S,2022-10-29T02:34:09.2Z,1,REGULAR,rebound,offensive,[],1628470,,,1610612756,17,21,2022-10-29T02:34:13Z,1010000,,,0,,T. Craig REBOUND (Off:1 Def:0),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Left Center,,,,101.0,1.0,0.0,1.0,,,,,,,,,,,,,
103,PT02M53.00S,2022-10-29T02:34:12.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,23.47240473061761,89.4607843137255,1610612756,17,21,2022-10-29T02:36:19Z,1020000,-197.0,168.0,1,left,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
104,PT02M50.00S,2022-10-29T02:34:15.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,17,21,2022-10-29T02:34:23Z,1030000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,,103.0,,,,,,,,,,,,,,,,
106,PT02M50.00S,2022-10-29T02:34:21.6Z,1,REGULAR,substitution,out,[],203468,,,1610612756,17,21,2022-10-29T02:34:25Z,1050000,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M50.00S,2022-10-29T02:34:21.6Z,1,REGULAR,substitution,out,[],1630230,,,1610612756,17,21,2022-10-29T02:34:25Z,1060000,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M50.00S,2022-10-29T02:34:21.6Z,1,REGULAR,substitution,in,[],202066,,,1610612756,17,21,2022-10-29T02:34:25Z,1070000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M50.00S,2022-10-29T02:34:21.6Z,1,REGULAR,substitution,in,[],1629637,,,1610612756,17,21,2022-10-29T02:34:25Z,1080000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M50.00S,2022-10-29T02:34:32.6Z,1,REGULAR,substitution,out,[],1628969,,,1610612756,17,21,2022-10-29T02:34:37Z,1090000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M50.00S,2022-10-29T02:34:32.6Z,1,REGULAR,substitution,in,[],1629013,,,1610612756,17,21,2022-10-29T02:34:37Z,1100000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M45.00S,2022-10-29T02:34:49.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629111,32.670827858081466,36.51960784313725,1610612756,17,21,2022-10-29T02:35:02Z,1110000,67.0,255.0,1,left,MISS J. Landale 26' 3PT,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
113,PT02M44.00S,2022-10-29T02:34:50.6Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,17,21,2022-10-29T02:35:02Z,1120000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Center,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,
114,PT02M24.00S,2022-10-29T02:35:11.1Z,1,REGULAR,3pt,Jump Shot,[],202066,68.67608409986859,75.98039215686273,1610612740,17,24,2022-10-29T02:35:16Z,1130000,130.0,242.0,1,right,G. Temple 27' 3PT  (3 PTS) (D. Graham 1 AST),"[202066, 1628984]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,Above the Break 3,24+ Right Center,27.46,Made,3.0,,,,,,,,,,,,,D. Graham,1628984.0,1.0,,
117,PT02M11.00S,2022-10-29T02:35:27.9Z,1,REGULAR,substitution,out,[],1630530,,,1610612756,17,24,2022-10-29T02:35:31Z,1160000,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M11.00S,2022-10-29T02:35:27.9Z,1,REGULAR,substitution,in,[],1630631,,,1610612756,17,24,2022-10-29T02:35:31Z,1170000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M08.00S,2022-10-29T02:35:42.2Z,1,REGULAR,3pt,Jump Shot,[],1629111,30.436925098554536,26.96078431372549,1610612756,17,24,2022-10-29T02:36:00Z,1180000,115.0,234.0,1,left,MISS J. Landale 26' 3PT,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
120,PT02M06.00S,2022-10-29T02:35:44.1Z,1,REGULAR,rebound,offensive,[],1629013,,,1610612756,17,24,2022-10-29T02:35:44Z,1190000,,,0,,L. Shamet REBOUND (Off:1 Def:0),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,,,,119.0,1.0,0.0,1.0,,,,,,,,,,,,,
121,PT01M56.00S,2022-10-29T02:35:54.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626166,2.3160315374507228,24.754901960784316,1610612756,19,24,2022-10-29T02:36:04Z,1200000,126.0,-31.0,1,left,C. Payne 12' step back Jump Shot (2 PTS),[1626166],1610612756.0,PHX,step back,,,Payne,C. Payne,,,,,Mid-Range,8-16 Right,12.99,Made,2.0,,,,,,,,,,,,,,,,,
122,PT01M46.00S,2022-10-29T02:36:03.9Z,1,REGULAR,3pt,Jump Shot,[],1626204,66.83639947437582,67.8921568627451,1610612740,19,24,2022-10-29T02:36:09Z,1210000,89.0,259.0,1,right,MISS L. Nance Jr. 27' 3PT,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,27.42,Missed,,,,,,,,,,,,,,,,,,
123,PT01M43.00S,2022-10-29T02:36:06.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,19,24,2022-10-29T02:36:09Z,1220000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,122.0,2.0,2.0,0.0,,,,,,,,,,,,,
124,PT01M37.00S,2022-10-29T02:36:13.0Z,1,REGULAR,turnover,lost ball,[],1626164,,,1610612756,19,24,2022-10-29T02:36:18Z,1230000,,,0,,D. Booker lost ball TURNOVER (2 TO),"[1626164, 1626204]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2.0,Nance Jr.,1626204.0,,,,,
125,PT01M37.00S,2022-10-29T02:36:13.0Z,1,REGULAR,steal,,[],1626204,,,1610612740,19,24,2022-10-29T02:37:21Z,1240000,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
126,PT01M30.00S,2022-10-29T02:36:20.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,67.09921156373193,70.83333333333334,1610612740,19,27,2022-10-29T02:36:26Z,1250000,104.0,257.0,1,right,D. Graham 27' 3PT  (3 PTS) (J. Hayes 1 AST),"[1628984, 1629637]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,27.71,Made,3.0,,,,,,,,,,,,,J. Hayes,1629637.0,1.0,,
128,PT01M09.00S,2022-10-29T02:36:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629013,9.806176084099869,96.07843137254902,1610612756,19,27,2022-10-29T02:36:47Z,1270000,-230.0,40.0,1,left,MISS L. Shamet 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Left Corner 3,24+ Left,23.38,Missed,,,,,,,,,,,,,,,,,,
129,PT01M04.00S,2022-10-29T02:36:45.9Z,1,REGULAR,rebound,offensive,[],1628470,,,1610612756,19,27,2022-10-29T02:36:47Z,1280000,,,0,,T. Craig REBOUND (Off:2 Def:0),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Left Corner 3,24+ Left,,,,128.0,2.0,0.0,2.0,,,,,,,,,,,,,
130,PT01M04.00S,2022-10-29T02:36:46.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628470,6.521024967148489,48.03921568627451,1610612756,21,27,2022-10-29T02:36:53Z,1290000,10.0,9.0,1,left,T. Craig tip DUNK (5 PTS),[1628470],1610612756.0,PHX,tip,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,1.32,Made,5.0,,,,,,,,,,,,,,,,,
131,PT00M45.50S,2022-10-29T02:37:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,93.24901445466492,34.068627450980394,1610612740,21,27,2022-10-29T02:38:26Z,1300000,-80.0,11.0,1,right,MISS D. Graham 8' floating Shot,[1628984],1610612740.0,NOP,floating,,,Graham,D. Graham,,,,,In The Paint (Non-RA),0-8 Center,8.05,Missed,,,,,,,,,,,,,,,,,,
132,PT00M43.80S,2022-10-29T02:37:07.3Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612756,21,27,2022-10-29T02:37:07Z,1310000,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,131.0,1.0,1.0,0.0,,,,,,,,,,,,,
133,PT00M31.50S,2022-10-29T02:37:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,7.30946123521682,46.81372549019608,1610612756,21,27,2022-10-29T02:37:25Z,1320000,16.0,16.0,1,left,MISS D. Booker driving Layup - blocked,"[1626164, 1626204]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,Nance Jr.,1626204.0
134,PT00M31.50S,2022-10-29T02:37:19.6Z,1,REGULAR,block,,[],1626204,,,1610612756,21,27,2022-10-29T02:37:22Z,1330000,,,0,,L. Nance Jr. BLOCK (1 BLK),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT00M30.70S,2022-10-29T02:37:20.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,21,27,2022-10-29T02:37:25Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,133.0,,,,,,,,,,,,,,,,
137,PT00M24.90S,2022-10-29T02:37:49.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629111,15.456636005256241,49.01960784313725,1610612756,21,27,2022-10-29T02:41:04Z,1360000,5.0,93.0,1,left,MISS J. Landale 9' floating Shot,[1629111],1610612756.0,PHX,floating,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,9.29,Missed,,,,,,,,,,,,,,,,,,
138,PT00M23.20S,2022-10-29T02:37:50.9Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,21,27,2022-10-29T02:37:53Z,1370000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,137.0,1.0,1.0,0.0,,,,,,,,,,,,,
139,PT00M03.00S,2022-10-29T02:38:11.1Z,1,REGULAR,turnover,lost ball,[],1630631,,,1610612740,21,27,2022-10-29T02:38:19Z,1380000,,,0,,J. Alvarado lost ball TURNOVER (2 TO),"[1630631, 1626166]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Payne,1626166.0,,,,,
140,PT00M03.00S,2022-10-29T02:38:11.1Z,1,REGULAR,steal,,[],1626166,,,1610612756,21,27,2022-10-29T02:38:12Z,1390000,,,0,,C. Payne STEAL (1 STL),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
141,PT00M02.40S,2022-10-29T02:38:16.5Z,1,REGULAR,turnover,out-of-bounds,[],1626166,,,1610612756,21,27,2022-10-29T02:38:30Z,1400000,,,0,,C. Payne lost ball out-of-bounds TURNOVER (1 TO),[1626166],1610612756.0,PHX,lost ball,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,,,,,,,,1627963.0,,,,,1.0,,,,,,,
142,PT00M02.40S,2022-10-29T02:38:24.5Z,1,REGULAR,substitution,out,[],1626164,,,1610612740,21,27,2022-10-29T02:38:27Z,1410000,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M02.40S,2022-10-29T02:38:24.5Z,1,REGULAR,substitution,in,[],1627814,,,1610612740,21,27,2022-10-29T02:38:27Z,1420000,,,0,,SUB in: D. Lee,[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M00.50S,2022-10-29T02:38:36.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,45.15440210249672,41.66666666666667,1610612740,21,27,2022-10-29T02:41:54Z,1430000,-42.0,463.0,1,right,MISS D. Graham 46' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,Above the Break 3,24+ Center,46.49,Missed,,,,,,,,,,,,,,,,,,
145,PT00M00.50S,2022-10-29T02:38:36.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,21,27,2022-10-29T02:38:44Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Center,,,,144.0,,,,,,,,,,,,,,,,
146,PT00M00.00S,2022-10-29T02:38:43.4Z,1,REGULAR,period,end,[],0,,,1610612740,21,27,2022-10-29T02:38:43Z,1450000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-10-29T02:42:18.2Z,2,REGULAR,period,start,[],0,,,1610612740,21,27,2022-10-29T02:42:18Z,1460000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M39.00S,2022-10-29T02:42:38.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626204,86.5473061760841,49.50980392156863,1610612740,21,29,2022-10-29T02:42:59Z,1470000,-2.0,74.0,1,right,L. Nance Jr. 7' floating Jump Shot (2 PTS) (D. Graham 2 AST),"[1626204, 1628984]",1610612740.0,NOP,floating,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.4,Made,2.0,,,,,,,,,,,,,D. Graham,1628984.0,2.0,,
151,PT11M16.00S,2022-10-29T02:43:13.6Z,2,REGULAR,3pt,Jump Shot,[],1629013,33.85348226018397,50.245098039215684,1610612756,24,29,2022-10-29T02:43:17Z,1500000,-1.0,266.0,1,left,L. Shamet 26' 3PT  (3 PTS) (J. Landale 1 AST),"[1629013, 1629111]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,26.57,Made,3.0,,,,,,,,,,,,,J. Landale,1629111.0,1.0,,
153,PT11M03.00S,2022-10-29T02:43:26.1Z,2,REGULAR,3pt,Jump Shot,[],1628984,71.04139290407359,18.627450980392158,1610612740,24,29,2022-10-29T02:43:32Z,1520000,-157.0,220.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Left Center,27.0,Missed,,,,,,,,,,,,,,,,,,
154,PT11M01.00S,2022-10-29T02:43:28.1Z,2,REGULAR,rebound,defensive,[],1626166,,,1610612756,24,29,2022-10-29T02:43:32Z,1530000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,
155,PT10M58.00S,2022-10-29T02:43:35.3Z,2,REGULAR,foul,personal,[],1630631,,,1610612756,24,29,2022-10-29T02:43:55Z,1540000,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1629111]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627963.0,1.0,0.0,Landale,1629111.0,,,,,,,,
157,PT10M49.00S,2022-10-29T02:44:04.5Z,2,REGULAR,3pt,Jump Shot,[],1626166,32.802233902759525,43.13725490196079,1610612756,27,29,2022-10-29T02:44:11Z,1560000,34.0,256.0,1,left,C. Payne 25' 3PT step back (5 PTS) (T. Craig 1 AST),"[1626166, 1628470]",1610612756.0,PHX,step back,,,Payne,C. Payne,,,,,Above the Break 3,24+ Center,25.81,Made,5.0,,,,,,,,,,,,,T. Craig,1628470.0,1.0,,
159,PT10M37.00S,2022-10-29T02:44:19.1Z,2,REGULAR,foul,offensive,[],1626204,,,1610612740,27,29,2022-10-29T02:44:25Z,1580000,,,0,,L. Nance Jr. offensive FOUL (1 PF),"[1626204, 1626166]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,203591.0,1.0,0.0,Payne,1626166.0,,,,,,,,
161,PT10M37.00S,2022-10-29T02:44:19.1Z,2,REGULAR,turnover,offensive foul,[],1626204,,,1610612740,27,29,2022-10-29T02:44:19Z,1600000,,,0,,L. Nance Jr. offensive foul TURNOVER (1 TO),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,203591.0,,,,,1.0,,,,,,,
162,PT10M21.00S,2022-10-29T02:44:50.5Z,2,REGULAR,2pt,Layup,['fromturnover'],1626166,6.521024967148489,32.59803921568628,1610612756,27,29,2022-10-29T02:44:59Z,1610000,87.0,9.0,1,left,MISS C. Payne 8' driving Layup,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,Mid-Range,8-16 Right,8.74,Missed,,,,,,,,,,,,,,,,,,
163,PT10M18.00S,2022-10-29T02:44:53.5Z,2,REGULAR,rebound,offensive,[],1626166,,,1610612756,27,29,2022-10-29T02:44:59Z,1620000,,,0,,C. Payne REBOUND (Off:1 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Mid-Range,8-16 Right,,,,162.0,2.0,1.0,1.0,,,,,,,,,,,,,
164,PT10M17.00S,2022-10-29T02:44:53.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628470,5.995400788436268,47.549019607843135,1610612756,29,29,2022-10-29T02:45:47Z,1630000,12.0,4.0,1,left,T. Craig DUNK (7 PTS) (C. Payne 2 AST),"[1628470, 1626166]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,1.29,Made,7.0,,,,,,,,,,,,,C. Payne,1626166.0,2.0,,
165,PT09M52.00S,2022-10-29T02:45:18.5Z,2,REGULAR,3pt,Jump Shot,[],1628984,94.82588699080158,4.411764705882353,1610612740,29,29,2022-10-29T02:45:26Z,1640000,-228.0,-4.0,1,right,MISS D. Graham step back 3PT - blocked,"[1628984, 1629111]",1610612740.0,NOP,step back,,,Graham,D. Graham,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,Landale,1629111.0
166,PT09M52.00S,2022-10-29T02:45:18.5Z,2,REGULAR,block,,[],1629111,,,1610612740,29,29,2022-10-29T02:45:20Z,1650000,,,0,,J. Landale BLOCK (1 BLK),[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
167,PT09M50.00S,2022-10-29T02:45:20.5Z,2,REGULAR,rebound,defensive,[],1628470,,,1610612756,29,29,2022-10-29T02:45:26Z,1660000,,,0,,T. Craig REBOUND (Off:2 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Left Corner 3,24+ Left,,,,165.0,3.0,1.0,2.0,,,,,,,,,,,,,
168,PT09M34.00S,2022-10-29T02:45:37.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627814,7.178055190538765,53.67647058823529,1610612756,29,29,2022-10-29T02:45:42Z,1670000,-18.0,15.0,1,left,MISS D. Lee driving Layup,[1627814],1610612756.0,PHX,driving,,,Lee,D. Lee,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
169,PT09M32.00S,2022-10-29T02:45:39.2Z,2,REGULAR,rebound,defensive,[],1628984,,,1610612740,29,29,2022-10-29T02:45:42Z,1680000,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,,,,168.0,2.0,2.0,0.0,,,,,,,,,,,,,
170,PT09M17.00S,2022-10-29T02:45:53.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626204,86.28449408672799,50.49019607843137,1610612740,29,29,2022-10-29T02:45:59Z,1690000,2.0,76.0,1,right,MISS L. Nance Jr. 7' Hook,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.64,Missed,,,,,,,,,,,,,,,,,,
