actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
57,PT06M45.00S,2025-03-30T22:19:10.6Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,6,8,2025-03-30T22:24:21Z,570000,False,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612752.0,NYK,,,,,,,,Towns,K. Towns,In The Paint (Non-RA),0-8 Center,,,56.0,1.0,0.0,1.0,,,,,,,,,,,,,,
82,PT06M45.00S,2025-03-30T22:19:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626157,5.601182654402102,49.50980392156863,1610612752,6,8,2025-03-30T22:24:48Z,575000,False,2.0,0.0,1,left,MISS K. Towns tip Layup,[1626157],1610612752.0,NYK,tip,,,,,,,Towns,K. Towns,Restricted Area,0-8 Center,0.25,Missed,,,,,,,,,,,,,,,,,,
83,PT06M43.00S,2025-03-30T22:19:13.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,6,8,2025-03-30T22:24:48Z,577500,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,,,,,Avdija,D. Avdija,Restricted Area,0-8 Center,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT06M40.00S,2025-03-30T22:19:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630166,94.82588699080158,50.49019607843137,1610612757,6,10,2025-03-30T22:19:22Z,580000,False,2.0,-4.0,1,right,D. Avdija running Layup (4 PTS),[1630166],1610612757.0,POR,running,,,,,,,Avdija,D. Avdija,Restricted Area,0-8 Center,0.46,Made,,,,,4.0,,,,,,,,,,,,,
59,PT06M38.00S,2025-03-30T22:19:24.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612752,6,10,2025-03-30T22:19:36Z,590000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612757.0,POR,,,,,,,202037.0,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M23.00S,2025-03-30T22:19:49.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,4.944152431011826,48.77450980392157,1610612752,8,10,2025-03-30T22:19:53Z,600000,False,6.0,-6.0,1,left,O. Anunoby alley-oop DUNK (6 PTS) (J. Hart 2 AST),"[1628384, 1628404]",1610612752.0,NYK,alley-oop,,,,,,,Anunoby,O. Anunoby,Restricted Area,0-8 Center,0.86,Made,,,,,6.0,J. Hart,1628404.0,2.0,,,,,,,,,,
62,PT06M08.00S,2025-03-30T22:20:04.6Z,1,REGULAR,3pt,Jump Shot,[],1631101,70.90998685939553,81.86274509803921,1610612757,8,10,2025-03-30T22:20:12Z,620000,False,159.0,221.0,1,right,MISS S. Sharpe 27' 3PT,[1631101],1610612757.0,POR,,,,,,,,Sharpe,S. Sharpe,Above the Break 3,24+ Right Center,27.23,Missed,,,,,,,,,,,,,,,,,,
63,PT06M05.00S,2025-03-30T22:20:07.6Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612752,8,10,2025-03-30T22:20:12Z,630000,False,,,0,,D. Wright REBOUND (Off:1 Def:1),[1626153],1610612752.0,NYK,,,,,,,,Wright,D. Wright,Above the Break 3,24+ Right Center,,,62.0,2.0,1.0,1.0,,,,,,,,,,,,,,
64,PT06M01.00S,2025-03-30T22:20:12.0Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612752,8,10,2025-03-30T22:21:36Z,640000,False,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1629014]",1610612752.0,NYK,,,,,,,,Hart,J. Hart,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,Simons,1629014.0,,,
65,PT06M01.00S,2025-03-30T22:20:12.0Z,1,REGULAR,steal,,[],1629014,,,1610612757,8,10,2025-03-30T22:20:13Z,650000,False,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,,,,,Simons,A. Simons,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
66,PT05M49.00S,2025-03-30T22:20:23.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631101,94.69448094612353,52.450980392156865,1610612757,8,12,2025-03-30T22:20:26Z,660000,False,12.0,-3.0,1,right,S. Sharpe driving Layup (4 PTS),[1631101],1610612757.0,POR,driving,,,,,,,Sharpe,S. Sharpe,Restricted Area,0-8 Center,1.26,Made,,,,,4.0,,,,,,,,,,,,,
68,PT05M31.00S,2025-03-30T22:20:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,15.456636005256241,38.970588235294116,1610612752,8,12,2025-03-30T22:24:31Z,680000,False,55.0,93.0,1,left,MISS K. Towns 10' turnaround Shot,[1626157],1610612752.0,NYK,turnaround,,,,,,,Towns,K. Towns,In The Paint (Non-RA),8-16 Center,10.79,Missed,,,,,,,,,,,,,,,,,,
69,PT05M28.00S,2025-03-30T22:20:44.6Z,1,REGULAR,rebound,offensive,[],1626153,,,1610612752,8,12,2025-03-30T22:20:50Z,690000,False,,,0,,D. Wright REBOUND (Off:2 Def:1),[1626153],1610612752.0,NYK,,,,,,,,Wright,D. Wright,In The Paint (Non-RA),8-16 Center,,,68.0,3.0,1.0,2.0,,,,,,,,,,,,,,
70,PT05M28.00S,2025-03-30T22:20:44.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626153,5.590000152587891,50.0,1610612752,8,12,2025-03-30T22:20:44Z,700000,False,0.0,0.0,1,left,MISS D. Wright tip Layup,[1626153],1610612752.0,NYK,tip,,,,,,,Wright,D. Wright,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
71,PT05M27.00S,2025-03-30T22:20:45.6Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,8,12,2025-03-30T22:20:45Z,710000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,,,,,Simons,A. Simons,Mid-Range,8-16 Left,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
