actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
83,PT05M01.00S,2023-12-21T00:25:15.8Z,1,REGULAR,substitution,in,[],203937,,,1610612755,14,12,2023-12-21T00:25:26Z,830000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M46.00S,2023-12-21T00:25:44.0Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,14,12,2023-12-21T00:25:57Z,840000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 1630183]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,,,McDaniels,1630183.0
85,PT04M46.00S,2023-12-21T00:25:44.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,14,12,2023-12-21T00:25:46Z,850000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
86,PT04M44.00S,2023-12-21T00:25:47.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,94.43166885676742,50.0,1610612750,14,14,2023-12-21T00:25:54Z,860000,False,0.0,0.0,1,right,J. McDaniels running Layup (7 PTS),[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.02,Made,,,,,,,,,,,7.0,,,,,,,
87,PT04M44.00S,2023-12-21T00:25:51.1Z,1,REGULAR,foul,personal,['1freethrow'],1630178,,,1610612750,14,14,2023-12-21T00:25:56Z,870000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (McDaniels 1 FT),"[1630178, 1630183]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,1627962.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
89,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,out,[],1630178,,,1610612750,14,14,2023-12-21T00:26:04Z,890000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612750,14,14,2023-12-21T00:26:04Z,900000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,out,[],202699,,,1610612750,14,14,2023-12-21T00:26:04Z,910000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,in,[],202694,,,1610612750,14,14,2023-12-21T00:26:04Z,920000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,in,[],201976,,,1610612750,14,14,2023-12-21T00:26:04Z,930000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M44.00S,2023-12-21T00:25:57.0Z,1,REGULAR,substitution,in,[],1627863,,,1610612750,14,14,2023-12-21T00:26:04Z,940000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M44.00S,2023-12-21T00:26:23.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630183,,,1610612750,14,15,2023-12-21T00:26:23Z,950000,False,,,0,,J. McDaniels Free Throw 1 of 1 (8 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
96,PT04M35.00S,2023-12-21T00:26:35.6Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612755,14,15,2023-12-21T00:26:41Z,960000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Melton 2 FT),"[1629675, 1629001]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,1627962.0,1.0,0.0,Melton,1629001.0,,,,,,,,,,,,
98,PT04M35.00S,2023-12-21T00:27:02.2Z,1,REGULAR,freethrow,1 of 2,[],1629001,,,1610612755,15,15,2023-12-21T00:27:02Z,980000,False,,,0,,D. Melton Free Throw 1 of 2 (1 PTS),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
99,PT04M35.00S,2023-12-21T00:27:16.7Z,1,REGULAR,freethrow,2 of 2,[],1629001,,,1610612755,16,15,2023-12-21T00:27:16Z,990000,False,,,0,,D. Melton Free Throw 2 of 2 (2 PTS),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
100,PT04M18.00S,2023-12-21T00:27:35.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,77.4802890932983,91.91176470588235,1610612750,16,15,2023-12-21T00:27:41Z,1000000,False,210.0,159.0,1,right,MISS J. McDaniels 26' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
101,PT04M14.00S,2023-12-21T00:27:38.4Z,1,REGULAR,rebound,defensive,[],201976,,,1610612755,16,15,2023-12-21T00:27:38Z,1010000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,100.0,,,,,,1.0,1.0,0.0,,,,,,,,,
102,PT03M57.00S,2023-12-21T00:27:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.66162943495401,47.794117647058826,1610612755,16,15,2023-12-21T00:27:58Z,1020000,False,11.0,132.0,1,left,MISS J. Embiid 13' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.28,Missed,,,,,,,,,,,,,,,,,,
103,PT03M55.00S,2023-12-21T00:27:57.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,15,2023-12-21T00:27:58Z,1030000,False,,,0,,K. Towns REBOUND (Off:1 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,102.0,,,,,,5.0,4.0,1.0,,,,,,,,,
104,PT03M49.00S,2023-12-21T00:28:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,87.59855453350855,53.92156862745098,1610612750,16,15,2023-12-21T00:28:09Z,1040000,False,20.0,64.0,1,right,MISS J. McDaniels 6' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,,
105,PT03M45.00S,2023-12-21T00:28:07.8Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,16,15,2023-12-21T00:28:15Z,1050000,False,,,0,,K. Towns REBOUND (Off:2 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,104.0,,,,,,6.0,4.0,2.0,,,,,,,,,
106,PT03M44.00S,2023-12-21T00:28:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,94.40999984741211,50.0,1610612750,16,17,2023-12-21T00:28:07Z,1060000,False,0.0,0.0,1,right,K. Towns tip Layup (4 PTS),[1626157],1610612750.0,MIN,tip,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,4.0,,,,,,,
107,PT03M30.00S,2023-12-21T00:28:26.9Z,1,REGULAR,foul,offensive,[],1629001,,,1610612755,16,17,2023-12-21T00:28:33Z,1070000,False,,,0,,D. Melton offensive FOUL (1 PF),"[1629001, 203937]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,16-24 Right Center,,,,1627962.0,1.0,0.0,Anderson,203937.0,,,,,,,,,,,,
109,PT03M30.00S,2023-12-21T00:28:26.9Z,1,REGULAR,turnover,offensive foul,[],1629001,,,1610612755,16,17,2023-12-21T00:28:26Z,1090000,False,,,0,,D. Melton offensive foul TURNOVER (1 TO),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,16-24 Right Center,,,,1627962.0,,,,,,,,1.0,,,,,,,,
110,PT03M30.00S,2023-12-21T00:28:37.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,16,17,2023-12-21T00:28:41Z,1100000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M30.00S,2023-12-21T00:28:37.5Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,16,17,2023-12-21T00:28:41Z,1110000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M21.00S,2023-12-21T00:29:00.8Z,1,REGULAR,turnover,out-of-bounds,[],203937,,,1610612750,16,17,2023-12-21T00:29:07Z,1120000,False,,,0,,K. Anderson bad pass out-of-bounds TURNOVER (1 TO),[203937],1610612750.0,MIN,bad pass,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,1627962.0,,,,,,,,1.0,,,,,,,,
113,PT03M11.00S,2023-12-21T00:29:19.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,31.225361366622867,33.33333333333333,1610612755,16,17,2023-12-21T00:31:42Z,1130000,False,83.0,241.0,1,left,MISS P. Beverley 25' pullup 3PT,[201976],1610612755.0,PHI,pullup,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,25.5,Missed,,,,,,,,,,,,,,,,,,
114,PT03M09.00S,2023-12-21T00:29:21.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,16,17,2023-12-21T00:29:28Z,1140000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,113.0,,,,,,1.0,1.0,0.0,,,,,,,,,
115,PT02M57.00S,2023-12-21T00:29:34.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629638,92.85479632063075,46.07843137254902,1610612750,16,19,2023-12-21T00:29:40Z,1150000,False,-20.0,15.0,1,right,N. Alexander-Walker driving Hook (2 PTS) (N. Reid 1 AST),"[1629638, 1629675]",1610612750.0,MIN,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,,2.0,N. Reid,1629675.0,1.0,,,,
117,PT02M45.00S,2023-12-21T00:29:47.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626157,,,1610612755,16,19,2023-12-21T00:29:54Z,1170000,False,,,0,,K. Towns shooting personal FOUL (2 PF) (Embiid 2 FT),"[1626157, 203954]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,202056.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,
119,PT02M45.00S,2023-12-21T00:29:57.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,19,2023-12-21T00:29:57Z,1190000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M45.00S,2023-12-21T00:33:07.7Z,1,REGULAR,substitution,out,[],1626157,,,1610612755,16,19,2023-12-21T00:33:13Z,1200000,False,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M45.00S,2023-12-21T00:33:07.7Z,1,REGULAR,substitution,in,[],1628972,,,1610612755,16,19,2023-12-21T00:33:13Z,1210000,False,,,0,,SUB in: T. Brown Jr.,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M45.00S,2023-12-21T00:33:17.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,17,19,2023-12-21T00:33:17Z,1220000,False,,,0,,J. Embiid Free Throw 1 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,7.0,,,,,,,
123,PT02M45.00S,2023-12-21T00:33:35.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,18,19,2023-12-21T00:33:35Z,1230000,False,,,0,,J. Embiid Free Throw 2 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
124,PT02M28.00S,2023-12-21T00:33:59.4Z,1,REGULAR,turnover,out-of-bounds,[],1629675,,,1610612750,18,19,2023-12-21T00:34:05Z,1240000,False,,,0,,N. Reid bad pass out-of-bounds TURNOVER (2 TO),[1629675],1610612750.0,MIN,bad pass,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,202056.0,,,,,,,,2.0,,,,,,,,
125,PT02M04.00S,2023-12-21T00:34:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203954,31.61957950065703,82.35294117647058,1610612755,18,19,2023-12-21T00:35:59Z,1250000,False,-162.0,245.0,1,left,MISS J. Embiid 29' step back 3PT,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,29.34,Missed,,,,,,,,,,,,,,,,,,
126,PT02M01.00S,2023-12-21T00:34:31.0Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,18,19,2023-12-21T00:37:12Z,1260000,False,,,0,,N. Reid REBOUND (Off:1 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,125.0,,,,,,2.0,1.0,1.0,,,,,,,,,
184,PT01M57.00S,2023-12-21T00:34:34.0Z,1,REGULAR,turnover,bad pass,[],203937,,,1610612750,18,19,2023-12-21T00:45:07Z,1275000,False,,,0,,K. Anderson bad pass TURNOVER (2 TO),"[203937, 203954]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2.0,,,,,,,Embiid,203954.0
185,PT01M57.00S,2023-12-21T00:34:34.0Z,1,REGULAR,steal,,[],203954,,,1610612755,18,19,2023-12-21T00:44:48Z,1282500,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
129,PT01M51.00S,2023-12-21T00:34:40.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201976,5.995400788436268,98.0392156862745,1610612755,21,19,2023-12-21T00:44:48Z,1290000,False,-240.0,4.0,1,left,P. Beverley 24' 3PT running (3 PTS) (D. Melton 1 AST),"[201976, 1629001]",1610612755.0,PHI,running,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,24.02,Made,,,,,,,,,,,3.0,D. Melton,1629001.0,1.0,,,,
131,PT01M39.00S,2023-12-21T00:34:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,86.67871222076215,48.03921568627451,1610612750,21,19,2023-12-21T00:34:56Z,1310000,False,-10.0,73.0,1,right,MISS K. Anderson 7' pullup Shot,[203937],1610612750.0,MIN,pullup,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,7.34,Missed,,,,,,,,,,,,,,,,,,
132,PT01M36.00S,2023-12-21T00:34:55.8Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,21,19,2023-12-21T00:34:56Z,1320000,False,,,0,,D. Melton REBOUND (Off:0 Def:3),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,131.0,,,,,,3.0,3.0,0.0,,,,,,,,,
133,PT01M31.00S,2023-12-21T00:35:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629001,6.521024967148489,50.73529411764706,1610612755,23,19,2023-12-21T00:35:09Z,1330000,False,-4.0,9.0,1,left,D. Melton running finger roll Layup (4 PTS),[1629001],1610612755.0,PHI,running finger roll,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,,,,4.0,,,,,,,
134,PT01M14.00S,2023-12-21T00:35:17.8Z,1,REGULAR,turnover,bad pass,[],1629675,,,1610612750,23,19,2023-12-21T01:57:31Z,1340000,False,,,0,,N. Reid bad pass TURNOVER (3 TO),"[1629675, 202694]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,3.0,,,,,,,Morris Sr.,202694.0
135,PT01M14.00S,2023-12-21T00:35:17.8Z,1,REGULAR,steal,,[],202694,,,1610612755,23,19,2023-12-21T00:35:20Z,1350000,False,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
136,PT00M56.80S,2023-12-21T00:35:35.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202694,8.229303547963205,3.1862745098039214,1610612755,26,19,2023-12-21T00:35:40Z,1360000,False,234.0,25.0,1,left,M. Morris Sr. 3PT  (3 PTS) (J. Embiid 2 AST),"[202694, 203954]",1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Right Corner 3,24+ Right,23.54,Made,,,,,,,,,,,3.0,J. Embiid,203954.0,2.0,,,,
138,PT00M37.40S,2023-12-21T00:35:57.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,77.7431011826544,93.62745098039215,1610612750,26,22,2023-12-21T00:36:01Z,1380000,False,218.0,157.0,1,right,A. Edwards 26' 3PT  (8 PTS) (N. Alexander-Walker 1 AST),"[1630162, 1629638]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,26.86,Made,,,,,,,,,,,8.0,N. Alexander-Walker,1629638.0,1.0,,,,
140,PT00M30.70S,2023-12-21T00:36:15.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629675,,,1610612755,26,22,2023-12-21T00:36:21Z,1400000,False,,,0,,N. Reid shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629675, 203954]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Mid-Range,16-24 Center,,,,202056.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,
142,PT00M30.70S,2023-12-21T00:36:43.9Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,27,22,2023-12-21T00:36:43Z,1420000,False,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,9.0,,,,,,,
143,PT00M30.70S,2023-12-21T00:37:03.2Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,28,22,2023-12-21T00:37:03Z,1430000,False,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
144,PT00M10.40S,2023-12-21T00:37:27.0Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612750,28,22,2023-12-21T00:37:50Z,1440000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Edwards 2 FT),"[202694, 1630162]",1610612755.0,PHI,shooting,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Left,,,,1179.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,
146,PT00M10.40S,2023-12-21T00:38:10.1Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,28,23,2023-12-21T00:38:10Z,1460000,False,,,0,,A. Edwards Free Throw 1 of 2 (9 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,,9.0,,,,,,,
147,PT00M10.40S,2023-12-21T00:38:10.8Z,1,REGULAR,substitution,out,[],1629001,,,1610612750,28,23,2023-12-21T00:38:21Z,1470000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M10.40S,2023-12-21T00:38:10.8Z,1,REGULAR,substitution,out,[],1627863,,,1610612750,28,23,2023-12-21T00:38:21Z,1480000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M10.40S,2023-12-21T00:38:10.8Z,1,REGULAR,substitution,in,[],202699,,,1610612750,28,23,2023-12-21T00:38:21Z,1490000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M10.40S,2023-12-21T00:38:10.8Z,1,REGULAR,substitution,in,[],1630178,,,1610612750,28,23,2023-12-21T00:38:21Z,1500000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M10.40S,2023-12-21T00:38:37.6Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,28,24,2023-12-21T00:38:37Z,1510000,False,,,0,,A. Edwards Free Throw 2 of 2 (10 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
152,PT00M01.00S,2023-12-21T00:38:54.6Z,1,REGULAR,2pt,Jump Shot,[],203954,23.078186596583443,57.107843137254896,1610612755,28,24,2023-12-21T00:39:01Z,1520000,False,-36.0,164.0,1,left,MISS J. Embiid 16' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,16.82,Missed,,,,,,,,,,,,,,,,,,
154,PT00M01.00S,2023-12-21T00:38:54.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,28,24,2023-12-21T00:39:01Z,1540000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Center,,,152.0,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2023-12-21T00:39:02.7Z,1,REGULAR,period,end,[],0,,,1610612755,28,24,2023-12-21T00:39:02Z,1550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,out,['startperiod'],203954,,,1610612755,28,24,2023-12-21T00:41:42Z,1560000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,out,['startperiod'],203937,,,1610612755,28,24,2023-12-21T00:41:42Z,1570000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,out,['startperiod'],1630162,,,1610612755,28,24,2023-12-21T00:41:42Z,1580000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,out,['startperiod'],1629675,,,1610612755,28,24,2023-12-21T00:41:42Z,1590000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,in,['startperiod'],1630194,,,1610612755,28,24,2023-12-21T00:41:42Z,1600000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,in,['startperiod'],1630183,,,1610612755,28,24,2023-12-21T00:41:42Z,1610000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,in,['startperiod'],201144,,,1610612755,28,24,2023-12-21T00:41:42Z,1620000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-12-21T00:39:10.8Z,2,REGULAR,substitution,in,['startperiod'],203497,,,1610612755,28,24,2023-12-21T00:41:42Z,1630000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-12-21T00:41:48.9Z,2,REGULAR,period,start,[],0,,,1610612755,28,24,2023-12-21T00:41:48Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M36.00S,2023-12-21T00:42:12.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201976,10.33180026281209,47.30392156862745,1610612755,28,24,2023-12-21T00:42:18Z,1650000,False,13.0,45.0,1,left,MISS P. Beverley driving Layup - blocked,"[201976, 1629638]",1610612755.0,PHI,driving,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,Alexander-Walker,1629638.0,,
166,PT11M36.00S,2023-12-21T00:42:12.9Z,2,REGULAR,block,,[],1629638,,,1610612755,28,24,2023-12-21T00:42:15Z,1660000,False,,,0,,N. Alexander-Walker BLOCK (1 BLK),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
