actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT05M28.00S,2026-03-18T02:26:24.0Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,20,14,2026-03-18T02:26:24Z,860000,False,,,0,,J. Murray REBOUND (Off:1 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,,85.0,3.0,2.0,1.0,,,,,,,,
87,PT05M27.00S,2026-03-18T02:26:25.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203501,67.62483574244416,66.42156862745098,1610612743,20,14,2026-03-18T02:26:30Z,870000,False,82.0,252.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,26.48,Missed,,,,,,,,,,,,,,,,,,
88,PT05M24.00S,2026-03-18T02:26:28.2Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,20,14,2026-03-18T02:26:28Z,880000,False,,,0,,J. Murray REBOUND (Off:2 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,87.0,4.0,2.0,2.0,,,,,,,,
89,PT05M15.00S,2026-03-18T02:26:36.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203501,79.71419185282524,92.8921568627451,1610612743,23,14,2026-03-18T02:26:41Z,890000,False,214.0,138.0,1,right,T. Hardaway Jr. 25' 3PT  (3 PTS) (N. Jokić 6 AST),"[203501, 203999]",1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,25.52,Made,3.0,N. Jokić,203999.0,6.0,,,,,,,,,,,,,,
91,PT04M57.00S,2026-03-18T02:26:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,31.750985545335087,39.46078431372549,1610612755,23,14,2026-03-18T02:26:58Z,910000,False,53.0,246.0,1,left,MISS Q. Grimes 25' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,25.16,Missed,,,,,,,,,,,,,,,,,,
92,PT04M55.00S,2026-03-18T02:26:55.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,23,14,2026-03-18T02:26:58Z,920000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,
94,PT04M49.00S,2026-03-18T02:27:06.3Z,1,REGULAR,substitution,out,[],203932,,,1610612743,23,14,2026-03-18T02:27:10Z,940000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M49.00S,2026-03-18T02:27:06.3Z,1,REGULAR,substitution,in,[],1642461,,,1610612743,23,14,2026-03-18T02:27:10Z,950000,False,,,0,,SUB in: S. Jones,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,out,[],1629656,,,1610612743,23,14,2026-03-18T02:27:34Z,960000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,out,[],1642348,,,1610612743,23,14,2026-03-18T02:27:34Z,970000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,out,[],1631230,,,1610612743,23,14,2026-03-18T02:27:34Z,980000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,in,[],1642845,,,1610612743,23,14,2026-03-18T02:27:34Z,990000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,in,[],1630570,,,1610612743,23,14,2026-03-18T02:27:34Z,1000000,False,,,0,,SUB in: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M49.00S,2026-03-18T02:27:19.5Z,1,REGULAR,substitution,in,[],1630699,,,1610612743,23,14,2026-03-18T02:27:34Z,1010000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612755.0,PHI,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M42.00S,2026-03-18T02:27:42.9Z,1,REGULAR,3pt,Jump Shot,[],1631128,92.19776609724047,2.941176470588235,1610612743,26,14,2026-03-18T02:27:48Z,1020000,False,-235.0,21.0,1,right,C. Braun 3PT  (8 PTS) (N. Jokić 7 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,23.62,Made,8.0,N. Jokić,203999.0,7.0,,,,,,,,,,,,,,
104,PT04M23.00S,2026-03-18T02:28:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,5.338370565045992,43.13725490196079,1610612755,26,14,2026-03-18T02:28:05Z,1040000,False,34.0,-2.0,1,left,MISS C. Payne driving floating bank Shot,[1626166],1610612755.0,PHI,driving floating bank,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,3.44,Missed,,,,,,,,,,,,,,,,,,
105,PT04M21.00S,2026-03-18T02:28:03.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,26,14,2026-03-18T02:28:05Z,1050000,False,,,0,,J. Murray REBOUND (Off:2 Def:3),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,104.0,5.0,3.0,2.0,,,,,,,,
106,PT04M13.00S,2026-03-18T02:28:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,89.83245729303549,48.529411764705884,1610612743,26,14,2026-03-18T02:28:20Z,1060000,False,-7.0,43.0,1,right,MISS N. Jokić floating Shot - blocked,"[203999, 1630570]",1610612743.0,DEN,floating,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,4.37,Missed,,,,,,,,,,,Watford,1630570.0,,,,,,
107,PT04M13.00S,2026-03-18T02:28:12.0Z,1,REGULAR,block,,[],1630570,,,1610612743,26,14,2026-03-18T02:28:20Z,1070000,False,,,0,,T. Watford BLOCK (1 BLK),[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
108,PT04M09.00S,2026-03-18T02:28:16.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,26,14,2026-03-18T02:28:20Z,1080000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,
109,PT04M04.00S,2026-03-18T02:28:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.258212877792378,51.225490196078425,1610612755,26,16,2026-03-18T02:36:59Z,1090000,False,-6.0,6.0,1,left,A. Drummond cutting Layup (2 PTS) (T. Watford 1 AST),"[203083, 1630570]",1610612755.0,PHI,cutting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,T. Watford,1630570.0,1.0,,,,,,,,,,,,,,
111,PT03M51.00S,2026-03-18T02:28:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,93.64323258869908,50.245098039215684,1610612743,28,16,2026-03-18T02:28:38Z,1110000,False,1.0,7.0,1,right,C. Braun cutting Layup (10 PTS) (N. Jokić 8 AST),"[1631128, 203999]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,0.74,Made,10.0,N. Jokić,203999.0,8.0,,,,,,,,,,,,,,
113,PT03M37.00S,2026-03-18T02:28:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,11.777266754270697,50.245098039215684,1610612755,28,16,2026-03-18T02:28:50Z,1130000,False,-1.0,58.0,1,left,MISS V. Edgecombe driving floating Shot,[1642845],1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
114,PT03M36.00S,2026-03-18T02:28:48.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,28,16,2026-03-18T02:28:50Z,1140000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,
115,PT03M30.00S,2026-03-18T02:28:54.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,88.78120893561103,4.411764705882353,1610612743,31,16,2026-03-18T02:29:02Z,1150000,False,-228.0,53.0,1,right,J. Murray 3PT step back (3 PTS) (T. Hardaway Jr. 1 AST),"[1627750, 203501]",1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,23.4,Made,3.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,,,
117,PT03M12.00S,2026-03-18T02:29:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630699,12.171484888304862,4.411764705882353,1610612755,31,19,2026-03-18T02:29:17Z,1170000,False,228.0,62.0,1,left,M. Beauchamp 3PT  (3 PTS) (T. Watford 2 AST),"[1630699, 1630570]",1610612755.0,PHI,,,,Beauchamp,M. Beauchamp,,,,,Right Corner 3,24+ Right,23.62,Made,3.0,T. Watford,1630570.0,2.0,,,,,,,,,,,,,,
119,PT02M58.00S,2026-03-18T02:29:28.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630570,,,1610612743,31,19,2026-03-18T02:39:51Z,1190000,False,,,0,,T. Watford personal FOUL (1 PF) (Murray 2 FT),"[1630570, 1627750]",1610612755.0,PHI,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Center,,,,,,,201245.0,,,,,,,,,,1.0,0.0,Murray,1627750.0
121,PT02M58.00S,2026-03-18T02:29:37.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,31,19,2026-03-18T02:29:37Z,1210000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M58.00S,2026-03-18T02:32:35.9Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,31,19,2026-03-18T02:33:11Z,1220000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M58.00S,2026-03-18T02:32:35.9Z,1,REGULAR,substitution,out,[],1626166,,,1610612743,31,19,2026-03-18T02:33:11Z,1230000,False,,,0,,SUB out: C. Payne,[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M58.00S,2026-03-18T02:32:35.9Z,1,REGULAR,substitution,in,[],1629661,,,1610612743,31,19,2026-03-18T02:33:11Z,1240000,False,,,0,,SUB in: C. Johnson,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M58.00S,2026-03-18T02:32:35.9Z,1,REGULAR,substitution,in,[],1631230,,,1610612743,31,19,2026-03-18T02:33:11Z,1250000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M58.00S,2026-03-18T02:33:17.8Z,1,REGULAR,freethrow,1 of 2,[],1627750,,,1610612743,32,19,2026-03-18T02:43:06Z,1260000,False,,,0,,J. Murray Free Throw 1 of 2 (4 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
127,PT02M58.00S,2026-03-18T02:33:17.8Z,1,REGULAR,freethrow,2 of 2,[],1627750,,,1610612743,33,19,2026-03-18T02:43:06Z,1270000,False,,,0,,J. Murray Free Throw 2 of 2 (5 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
128,PT02M40.00S,2026-03-18T02:33:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,15.719448094612352,49.754901960784316,1610612755,33,19,2026-03-18T02:33:57Z,1280000,False,1.0,95.0,1,left,MISS V. Edgecombe 9' turnaround fadeaway Shot,[1642845],1610612755.0,PHI,turnaround fadeaway,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,9.53,Missed,,,,,,,,,,,,,,,,,,
129,PT02M38.00S,2026-03-18T02:33:55.3Z,1,REGULAR,rebound,defensive,[],203501,,,1610612743,33,19,2026-03-18T02:33:57Z,1290000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,128.0,1.0,1.0,0.0,,,,,,,,
130,PT02M33.00S,2026-03-18T02:34:01.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203501,89.96386333771353,46.32352941176471,1610612743,33,19,2026-03-18T02:43:12Z,1300000,False,-18.0,42.0,1,right,MISS T. Hardaway Jr. running Layup - blocked,"[203501, 1642845]",1610612743.0,DEN,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,,,,,,Edgecombe,1642845.0,,,,,,
131,PT02M33.00S,2026-03-18T02:34:01.9Z,1,REGULAR,block,,[],1642845,,,1610612743,33,19,2026-03-18T02:34:05Z,1310000,False,,,0,,V. Edgecombe BLOCK (1 BLK),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
132,PT02M33.00S,2026-03-18T02:34:01.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,33,19,2026-03-18T02:34:12Z,1320000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,130.0,,,,,,,,,,,
134,PT02M33.00S,2026-03-18T02:34:07.4Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,33,19,2026-03-18T02:34:12Z,1340000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M33.00S,2026-03-18T02:34:07.4Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,33,19,2026-03-18T02:34:12Z,1350000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M33.00S,2026-03-18T02:34:30.4Z,1,REGULAR,foul,offensive,[],203999,,,1610612743,33,19,2026-03-18T02:34:37Z,1360000,False,,,0,,N. Jokić offensive FOUL (1 PF),"[203999, 203083]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,202041.0,,,,,,,,,,1.0,0.0,Drummond,203083.0
138,PT02M33.00S,2026-03-18T02:34:30.4Z,1,REGULAR,turnover,offensive foul,[],203999,,,1610612743,33,19,2026-03-18T02:34:30Z,1380000,False,,,0,,N. Jokić offensive foul TURNOVER (2 TO),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,202041.0,2.0,,,,,,,,,,,,
139,PT02M28.00S,2026-03-18T02:34:51.6Z,1,REGULAR,foul,personal,[],203999,,,1610612755,33,19,2026-03-18T02:34:56Z,1390000,False,,,0,,N. Jokić personal FOUL (2 PF),"[203999, 203083]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,201245.0,,,,,,,,,,2.0,0.0,Drummond,203083.0
141,PT02M28.00S,2026-03-18T02:35:07.9Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612755,33,19,2026-03-18T02:35:32Z,1410000,False,,,0,,N. Jokić technical FOUL (1 Tech),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,,,202041.0,,,,,,,,,,2.0,1.0,,
142,PT02M28.00S,2026-03-18T02:35:16.2Z,1,REGULAR,substitution,out,[],203999,,,1610612755,33,19,2026-03-18T02:35:23Z,1420000,False,,,0,,SUB out: N. Jokić,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M28.00S,2026-03-18T02:35:16.2Z,1,REGULAR,substitution,in,[],202685,,,1610612755,33,19,2026-03-18T02:35:23Z,1430000,False,,,0,,SUB in: J. Valančiūnas,[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M28.00S,2026-03-18T02:35:32.6Z,1,REGULAR,freethrow,1 of 1,[],1642845,,,1610612755,33,20,2026-03-18T02:35:32Z,1440000,False,,,0,,V. Edgecombe technical Free Throw 1 of 1 (5 PTS),[1642845],1610612755.0,PHI,technical,,,Edgecombe,V. Edgecombe,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
145,PT02M28.00S,2026-03-18T02:35:38.4Z,1,REGULAR,substitution,out,[],1631230,,,1610612755,33,20,2026-03-18T02:35:46Z,1450000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M28.00S,2026-03-18T02:35:38.4Z,1,REGULAR,substitution,in,[],1626166,,,1610612755,33,20,2026-03-18T02:35:46Z,1460000,False,,,0,,SUB in: C. Payne,[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M10.00S,2026-03-18T02:35:59.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203083,4.28712220762155,95.34313725490196,1610612755,33,20,2026-03-18T02:36:06Z,1470000,False,-227.0,-12.0,1,left,MISS A. Drummond 3PT,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,22.7,Missed,,,,,,,,,,,,,,,,,,
148,PT02M06.00S,2026-03-18T02:36:03.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612743,33,20,2026-03-18T02:36:57Z,1480000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,
149,PT01M51.00S,2026-03-18T02:36:18.4Z,1,REGULAR,3pt,Jump Shot,[],1642461,90.75229960578186,95.09803921568627,1610612743,36,20,2026-03-18T02:36:23Z,1490000,False,225.0,34.0,1,right,S. Jones 3PT  (3 PTS) (C. Johnson 1 AST),"[1642461, 1629661]",1610612743.0,DEN,,,,Jones,S. Jones,,,,,Right Corner 3,24+ Right,22.81,Made,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,
151,PT01M38.00S,2026-03-18T02:36:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,8.360709592641262,46.568627450980394,1610612755,36,22,2026-03-18T02:36:35Z,1510000,False,17.0,26.0,1,left,T. Watford cutting Layup (2 PTS) (A. Drummond 1 AST),"[1630570, 203083]",1610612755.0,PHI,cutting,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,3.13,Made,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,
153,PT01M23.00S,2026-03-18T02:36:46.6Z,1,REGULAR,3pt,Jump Shot,[],203501,77.7431011826544,4.411764705882353,1610612743,36,22,2026-03-18T02:36:54Z,1530000,False,-228.0,157.0,1,right,MISS T. Hardaway Jr. 27' 3PT,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,27.66,Missed,,,,,,,,,,,,,,,,,,
154,PT01M20.00S,2026-03-18T02:36:49.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,36,22,2026-03-18T02:36:54Z,1540000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,153.0,,,,,,,,,,,
156,PT01M10.00S,2026-03-18T02:37:10.7Z,1,REGULAR,turnover,out-of-bounds,[],1626166,,,1610612755,36,22,2026-03-18T02:37:16Z,1560000,False,,,0,,C. Payne lost ball out-of-bounds TURNOVER (1 TO),[1626166],1610612755.0,PHI,lost ball,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
158,PT01M01.00S,2026-03-18T02:37:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612743,36,22,2026-03-18T02:48:34Z,1580000,False,,,0,,B. Brown lost ball out-of-bounds TURNOVER (1 TO),[1628971],1610612743.0,DEN,lost ball,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,202041.0,1.0,,,,,,,,,,,,
159,PT00M49.50S,2026-03-18T02:38:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630570,31.35676741130092,25.49019607843137,1610612755,36,22,2026-03-18T02:38:18Z,1590000,False,123.0,242.0,1,left,MISS T. Watford 27' 3PT,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,27.15,Missed,,,,,,,,,,,,,,,,,,
160,PT00M47.30S,2026-03-18T02:38:15.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612743,36,22,2026-03-18T02:38:18Z,1600000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:1),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,
161,PT00M31.60S,2026-03-18T02:38:31.7Z,1,REGULAR,2pt,Jump Shot,[],203501,80.1084099868594,30.392156862745097,1610612743,36,22,2026-03-18T02:38:41Z,1610000,False,-98.0,134.0,1,right,MISS T. Hardaway Jr. 16' pullup Shot,[203501],1610612743.0,DEN,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,16.64,Missed,,,,,,,,,,,,,,,,,,
162,PT00M29.50S,2026-03-18T02:38:33.8Z,1,REGULAR,rebound,offensive,[],203501,,,1610612743,36,22,2026-03-18T02:38:33Z,1620000,False,,,0,,T. Hardaway Jr. REBOUND (Off:1 Def:2),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,161.0,3.0,2.0,1.0,,,,,,,,
163,PT00M29.40S,2026-03-18T02:38:34.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203501,84.31340341655716,34.31372549019608,1610612743,38,22,2026-03-18T02:38:39Z,1630000,False,-78.0,95.0,1,right,T. Hardaway Jr. 12' Jump Shot (5 PTS),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,12.32,Made,5.0,,,,,,,,,,,,,,,,,
164,PT00M08.90S,2026-03-18T02:38:56.7Z,1,REGULAR,2pt,Jump Shot,[],1626166,20.97568988173456,64.4607843137255,1610612755,38,22,2026-03-18T02:39:10Z,1640000,False,-72.0,145.0,1,left,MISS C. Payne 16' driving floating Shot,[1626166],1610612755.0,PHI,driving floating,,,Payne,C. Payne,,,,,Mid-Range,16-24 Left Center,16.18,Missed,,,,,,,,,,,,,,,,,,
165,PT00M05.10S,2026-03-18T02:39:00.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,38,22,2026-03-18T02:39:10Z,1650000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,164.0,,,,,,,,,,,
167,PT00M05.10S,2026-03-18T02:39:09.0Z,1,REGULAR,substitution,out,[],1642461,,,1610612743,38,22,2026-03-18T02:39:15Z,1670000,False,,,0,,SUB out: S. Jones,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M05.10S,2026-03-18T02:39:09.0Z,1,REGULAR,substitution,in,[],1627750,,,1610612743,38,22,2026-03-18T02:39:15Z,1680000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M00.20S,2026-03-18T02:39:27.7Z,1,REGULAR,2pt,Jump Shot,[],202685,86.41590013140605,71.81372549019608,1610612743,38,22,2026-03-18T02:39:35Z,1690000,False,109.0,75.0,1,right,MISS J. Valančiūnas 13' driving floating bank Shot,[202685],1610612743.0,DEN,driving floating bank,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Right,13.25,Missed,,,,,,,,,,,,,,,,,,
170,PT00M00.10S,2026-03-18T02:39:27.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,38,22,2026-03-18T02:39:35Z,1700000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,169.0,,,,,,,,,,,
171,PT00M00.00S,2026-03-18T02:39:34.7Z,1,REGULAR,period,end,[],0,,,1610612743,38,22,2026-03-18T02:39:34Z,1710000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2026-03-18T02:42:23.2Z,2,REGULAR,substitution,out,['startperiod'],1627750,,,1610612743,38,22,2026-03-18T02:43:06Z,1720000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2026-03-18T02:42:23.2Z,2,REGULAR,substitution,out,['startperiod'],203083,,,1610612743,38,22,2026-03-18T02:43:06Z,1730000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
