actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
48,PT08M02.00S,2025-12-26T03:48:30.2Z,1,REGULAR,3pt,Jump Shot,[],203944,68.15045992115637,28.921568627450984,1610612750,7,5,2025-12-26T03:48:36Z,470000,False,-105.0,247.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.85,Missed,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2025-12-26T03:48:34.2Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,7,5,2025-12-26T03:48:36Z,480000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Left Center,,,48.0,,,,,,,,,,,1.0,1.0,0.0,,,,
50,PT07M47.00S,2025-12-26T03:48:45.0Z,1,REGULAR,3pt,Jump Shot,[],1642461,9.806176084099869,4.6568627450980395,1610612743,7,5,2025-12-26T03:48:50Z,490000,False,227.0,40.0,1,left,MISS S. Jones 3PT,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Right Corner 3,24+ Right,23.01,Missed,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2025-12-26T03:48:47.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,5,2025-12-26T03:48:50Z,500000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,50.0,,,,,,,,,,,2.0,2.0,0.0,,,,
52,PT07M34.00S,2025-12-26T03:48:58.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,70.51576872536137,82.35294117647058,1610612750,7,8,2025-12-26T03:49:02Z,510000,False,162.0,225.0,1,right,A. Edwards 27' 3PT  (6 PTS) (J. Randle 3 AST),"[1630162, 203944]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,27.69,Made,,6.0,J. Randle,203944.0,3.0,,,,,,,,,,,,,
55,PT07M16.00S,2025-12-26T03:49:22.0Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,7,8,2025-12-26T03:49:29Z,540000,False,,,0,,J. Murray lost ball out-of-bounds TURNOVER (2 TO),[1627750],1610612743.0,DEN,lost ball,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,202901.0,2.0,,,,,,,,,
56,PT07M10.00S,2025-12-26T03:49:32.0Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,7,8,2025-12-26T03:49:39Z,550000,False,,,0,,A. Edwards bad pass TURNOVER (3 TO),"[1630162, 1631212]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,3.0,Watson,1631212.0,,,,,,,
57,PT07M10.00S,2025-12-26T03:49:32.0Z,1,REGULAR,steal,,[],1631212,,,1610612743,7,8,2025-12-26T03:49:33Z,560000,False,,,0,,P. Watson STEAL (1 STL),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
58,PT07M07.00S,2025-12-26T03:49:37.0Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612743,7,8,2025-12-26T03:49:47Z,570000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Jokić 2 FT),"[203497, 203999]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,202901.0,,,,,,,1.0,0.0,Jokić,203999.0
60,PT07M07.00S,2025-12-26T03:50:12.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203999,,,1610612743,8,8,2025-12-26T03:50:12Z,590000,False,,,0,,N. Jokić Free Throw 1 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
61,PT07M07.00S,2025-12-26T03:50:30.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203999,,,1610612743,9,8,2025-12-26T03:50:30Z,600000,False,,,0,,N. Jokić Free Throw 2 of 2 (7 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
62,PT06M51.00S,2025-12-26T03:50:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,67.88764783180025,78.43137254901961,1610612750,9,8,2025-12-26T03:50:54Z,610000,False,142.0,249.0,1,right,MISS D. DiVincenzo 28' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,28.71,Missed,,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2025-12-26T03:50:51.9Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,9,8,2025-12-26T03:56:36Z,620000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,62.0,,,,,,,,,,,3.0,2.0,1.0,,,,
64,PT06M48.00S,2025-12-26T03:50:53.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,94.40999984741211,50.0,1610612750,9,10,2025-12-26T03:56:40Z,630000,False,0.0,0.0,1,right,R. Gobert tip Layup (2 PTS),[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.0,Made,,2.0,,,,,,,,,,,,,,,,
65,PT06M43.00S,2025-12-26T03:50:59.9Z,1,REGULAR,3pt,Jump Shot,[],203501,25.969119579500656,11.76470588235294,1610612743,9,10,2025-12-26T03:57:12Z,640000,False,191.0,192.0,1,left,MISS T. Hardaway Jr. 27' 3PT,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
66,PT06M40.00S,2025-12-26T03:51:02.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,10,2025-12-26T03:57:12Z,650000,False,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,65.0,,,,,,,,,,,4.0,3.0,1.0,,,,
67,PT06M27.00S,2025-12-26T03:51:17.3Z,1,REGULAR,foul,personal,['3freethrow'],1642461,,,1610612750,9,10,2025-12-26T03:51:36Z,660000,False,,,0,,S. Jones shooting personal FOUL (1 PF) (Edwards 3 FT),"[1642461, 1630162]",1610612743.0,DEN,shooting,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,1162.0,,,,,,,1.0,0.0,Edwards,1630162.0
69,PT06M27.00S,2025-12-26T03:51:35.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,10,2025-12-26T03:51:35Z,680000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
