actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
87,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612759,22,19,2023-03-26T22:23:24Z,840000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,out,[],203935,,,1610612759,22,19,2023-03-26T22:23:24Z,850000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,out,[],201143,,,1610612759,22,19,2023-03-26T22:23:24Z,860000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,22,19,2023-03-26T22:23:24Z,870000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,22,19,2023-03-26T22:23:24Z,880000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612759,22,19,2023-03-26T22:23:24Z,890000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,in,[],1627763,,,1610612759,22,19,2023-03-26T22:23:24Z,900000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612759,22,19,2023-03-26T22:23:24Z,910000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,in,[],1628984,,,1610612759,22,19,2023-03-26T22:23:24Z,920000,False,,,0,,SUB in: D. Graham,[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M52.00S,2023-03-26T22:23:11.7Z,1,REGULAR,substitution,in,[],203926,,,1610612759,22,19,2023-03-26T22:23:24Z,930000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M34.00S,2023-03-26T22:23:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,9.017739816031538,55.392156862745104,1610612759,22,21,2023-03-26T22:31:54Z,940000,False,-27.0,32.0,1,left,Z. Collins finger roll Layup (9 PTS),[1628380],1610612759.0,SAS,finger roll,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,4.21,Made,9.0,,,,,,,,,,,,,,,,
98,PT03M22.00S,2023-03-26T22:23:54.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.64717477003943,22.058823529411764,1610612738,22,21,2023-03-26T22:32:29Z,950000,False,-140.0,223.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,26.35,Missed,,,,,,,,,,,,,,,,,
99,PT03M20.00S,2023-03-26T22:23:56.6Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,22,21,2023-03-26T22:23:59Z,960000,False,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,,98.0,3.0,3.0,0.0,,,,,,,,,
100,PT03M11.00S,2023-03-26T22:24:06.0Z,1,REGULAR,3pt,Jump Shot,[],203926,26.231931668856767,85.29411764705883,1610612759,22,21,2023-03-26T22:24:13Z,970000,False,-176.0,194.0,1,left,MISS D. McDermott 26' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,,26.23,Missed,,,,,,,,,,,,,,,,,
101,PT03M08.00S,2023-03-26T22:24:09.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,22,21,2023-03-26T22:24:13Z,980000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,100.0,,,,,,,,,,,,
103,PT03M08.00S,2023-03-26T22:24:13.4Z,1,REGULAR,substitution,out,[],1628380,,,1610612759,22,21,2023-03-26T22:24:16Z,1000000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M08.00S,2023-03-26T22:24:13.4Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,22,21,2023-03-26T22:24:16Z,1010000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M03.00S,2023-03-26T22:24:33.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203926,7.966491458607096,51.9607843137255,1610612759,22,23,2023-03-26T22:24:37Z,1020000,False,-10.0,22.0,1,left,D. McDermott cutting DUNK (2 PTS) (S. Mamukelashvili 1 AST),"[203926, 1630572]",1610612759.0,SAS,cutting,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,2.44,Made,2.0,S. Mamukelashvili,1630572.0,1.0,,,,,,,,,,,,,
107,PT02M46.00S,2023-03-26T22:24:55.0Z,1,REGULAR,foul,personal,[],203926,,,1610612738,22,23,2023-03-26T22:25:04Z,1040000,False,,,0,,D. McDermott personal FOUL (1 PF),"[203926, 1627763]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1626301.0,1.0,0.0,Brogdon,1627763.0,,,,
109,PT02M46.00S,2023-03-26T22:25:07.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,23,2023-03-26T22:25:07Z,1060000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M31.00S,2023-03-26T22:28:06.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,89.04402102496715,95.83333333333334,1610612738,22,23,2023-03-26T22:28:19Z,1070000,False,229.0,50.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,23.47,Missed,,,,,,,,,,,,,,,,,
111,PT02M30.00S,2023-03-26T22:28:07.1Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612759,22,23,2023-03-26T22:28:19Z,1080000,False,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,Right Corner 3,24+ Right,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,
112,PT02M23.00S,2023-03-26T22:28:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630572,7.046649145860711,50.98039215686274,1610612759,22,25,2023-03-26T22:28:22Z,1090000,False,-5.0,14.0,1,left,S. Mamukelashvili running Layup (5 PTS) (D. Graham 1 AST),"[1630572, 1628984]",1610612759.0,SAS,running,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,1.45,Made,5.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,
114,PT02M11.00S,2023-03-26T22:28:26.3Z,1,REGULAR,3pt,Jump Shot,[],1629684,93.38042049934296,97.54901960784314,1610612738,25,25,2023-03-26T22:28:30Z,1110000,False,238.0,10.0,1,right,G. Williams 3PT  (3 PTS) (M. Brogdon 1 AST),"[1629684, 1627763]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,,23.79,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,
116,PT01M51.00S,2023-03-26T22:28:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,10.85742444152431,44.85294117647059,1610612759,25,25,2023-03-26T22:28:51Z,1130000,False,26.0,50.0,1,left,MISS R. Langford driving Layup,[1629641],1610612759.0,SAS,driving,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,,5.59,Missed,,,,,,,,,,,,,,,,,
117,PT01M48.00S,2023-03-26T22:28:49.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,25,25,2023-03-26T22:28:51Z,1140000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,
118,PT01M42.00S,2023-03-26T22:28:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,46.568627450980394,1610612738,27,25,2023-03-26T22:28:59Z,1150000,False,-17.0,27.0,1,right,J. Brown driving Layup (15 PTS) (M. Brogdon 2 AST),"[1627759, 1627763]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,3.2,Made,15.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,,
120,PT01M30.00S,2023-03-26T22:29:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,10.200394218134035,45.588235294117645,1610612759,27,27,2023-03-26T22:34:53Z,1170000,False,22.0,43.0,1,left,R. Langford driving finger roll Layup (2 PTS) (D. Graham 2 AST),"[1629641, 1628984]",1610612759.0,SAS,driving finger roll,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,,4.87,Made,2.0,D. Graham,1628984.0,2.0,,,,,,,,,,,,,
122,PT01M18.00S,2023-03-26T22:29:19.0Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,27,27,2023-03-26T22:29:24Z,1190000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1628984]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right,1.0,,,,,,,,,,,,,,,,,,Graham,1628984.0
123,PT01M18.00S,2023-03-26T22:29:19.0Z,1,REGULAR,steal,,[],1628984,,,1610612759,27,27,2023-03-26T22:38:54Z,1200000,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
124,PT01M13.00S,2023-03-26T22:29:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630572,10.33180026281209,43.872549019607845,1610612759,27,27,2023-03-26T22:29:33Z,1210000,False,31.0,45.0,1,left,MISS S. Mamukelashvili running Layup,[1630572],1610612759.0,SAS,running,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),0-8 Center,,5.41,Missed,,,,,,,,,,,,,,,,,
125,PT01M12.00S,2023-03-26T22:29:25.3Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,27,27,2023-03-26T22:29:33Z,1220000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,124.0,2.0,1.0,1.0,,,,,,,,,
126,PT01M12.00S,2023-03-26T22:29:28.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628966,5.590000152587891,50.0,1610612759,27,29,2023-03-26T22:29:39Z,1230000,False,0.0,0.0,1,left,K. Bates-Diop tip Layup (2 PTS),[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,0.0,Made,2.0,,,,,,,,,,,,,,,,
127,PT01M01.00S,2023-03-26T22:29:36.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,69.46452036793693,20.833333333333336,1610612738,27,29,2023-03-26T22:36:51Z,1240000,False,-146.0,235.0,1,right,MISS M. Brogdon 27' pullup 3PT,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,,27.61,Missed,,,,,,,,,,,,,,,,,
128,PT01M00.00S,2023-03-26T22:29:37.8Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,27,29,2023-03-26T22:29:45Z,1250000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,,,,,,127.0,3.0,2.0,1.0,,,,,,,,,
129,PT00M51.50S,2023-03-26T22:29:47.0Z,1,REGULAR,3pt,Jump Shot,[],203926,33.459264126149804,56.127450980392155,1610612759,27,29,2023-03-26T22:37:15Z,1260000,False,-31.0,262.0,1,left,MISS D. McDermott 26' pullup 3PT - blocked,"[203926, 1629684]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,,26.38,Missed,,,,,,,,,,,,,,Williams,1629684.0,,
130,PT00M51.50S,2023-03-26T22:29:47.0Z,1,REGULAR,block,,[],1629684,,,1610612759,27,29,2023-03-26T22:29:50Z,1270000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
131,PT00M47.70S,2023-03-26T22:29:50.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,27,29,2023-03-26T22:34:04Z,1280000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,129.0,,,,,,,,,,,,
132,PT00M47.70S,2023-03-26T22:30:12.7Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,27,29,2023-03-26T22:33:06Z,1297500,False,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M47.70S,2023-03-26T22:30:12.7Z,1,REGULAR,substitution,in,[],1630200,,,1610612738,27,29,2023-03-26T22:33:06Z,1303750,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M47.70S,2023-03-26T22:30:50.6Z,1,REGULAR,jumpball,recovered,[],1629057,,,1610612738,27,29,2023-03-26T22:34:31Z,1310000,False,,,0,,Jump Ball G. Williams vs. D. Graham: Tip to R. Williams III,"[1629057, 1629684, 1628984]",1610612738.0,BOS,outofbounds,R. Williams III,1629057.0,Williams III,R. Williams III,Williams,1629684.0,Graham,1628984.0,,,,,,,,,,,,,,,,,,,,,,
137,PT00M32.20S,2023-03-26T22:31:03.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,78.13731931668858,90.68627450980392,1610612738,27,29,2023-03-26T22:31:07Z,1340000,False,203.0,153.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,25.45,Missed,,,,,,,,,,,,,,,,,
138,PT00M29.40S,2023-03-26T22:31:06.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,27,29,2023-03-26T22:31:07Z,1350000,False,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,,,,,137.0,2.0,1.0,1.0,,,,,,,,,
139,PT00M29.40S,2023-03-26T22:31:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,93.38042049934296,51.9607843137255,1610612738,29,29,2023-03-26T22:31:19Z,1360000,False,10.0,10.0,1,right,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,1.38,Made,2.0,,,,,,,,,,,,,,,,
140,PT00M29.40S,2023-03-26T22:31:10.4Z,1,REGULAR,foul,personal,['1freethrow'],1630200,,,1610612738,29,29,2023-03-26T22:31:25Z,1370000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Williams III 1 FT),"[1630200, 1629057]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,203177.0,1.0,0.0,Williams III,1629057.0,,,,
142,PT00M29.40S,2023-03-26T22:31:32.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629057,,,1610612738,30,29,2023-03-26T22:31:32Z,1390000,False,,,0,,R. Williams III Free Throw 1 of 1 (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
144,PT00M10.30S,2023-03-26T22:31:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630200,28.728646517739815,15.196078431372548,1610612759,30,32,2023-03-26T22:32:01Z,1400000,False,174.0,218.0,1,left,T. Jones 27' 3PT  (3 PTS) (S. Mamukelashvili 2 AST),"[1630200, 1630572]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,27.85,Made,3.0,S. Mamukelashvili,1630572.0,2.0,,,,,,,,,,,,,
146,PT00M02.40S,2023-03-26T22:32:07.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,65.52233902759527,74.50980392156863,1610612738,30,32,2023-03-26T22:32:34Z,1420000,False,123.0,272.0,1,right,MISS S. Hauser 29' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,29.79,Missed,,,,,,,,,,,,,,,,,
147,PT00M01.40S,2023-03-26T22:32:08.5Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,30,32,2023-03-26T22:32:40Z,1430000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,
149,PT00M00.00S,2023-03-26T22:32:14.5Z,1,REGULAR,period,end,[],0,,,1610612759,30,32,2023-03-26T22:32:14Z,1440000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612759,30,32,2023-03-26T22:34:48Z,1450000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,out,['startperiod'],1630573,,,1610612759,30,32,2023-03-26T22:34:48Z,1460000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,out,['startperiod'],1628966,,,1610612759,30,32,2023-03-26T22:34:48Z,1470000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612759,30,32,2023-03-26T22:34:48Z,1480000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,in,['startperiod'],203488,,,1610612759,30,32,2023-03-26T22:34:48Z,1490000,False,,,0,,SUB in: M. Muscala,[203488],1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-03-26T22:34:05.8Z,2,REGULAR,substitution,in,['startperiod'],1630170,,,1610612759,30,32,2023-03-26T22:34:48Z,1500000,False,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-03-26T22:34:51.2Z,2,REGULAR,period,start,[],0,,,1610612759,30,32,2023-03-26T22:34:51Z,1510000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M46.00S,2023-03-26T22:35:04.8Z,2,REGULAR,3pt,Jump Shot,[],203926,16.770696452036795,93.87254901960785,1610612759,30,35,2023-03-26T22:35:09Z,1520000,False,-219.0,105.0,1,left,D. McDermott 24' 3PT  (5 PTS) (D. Vassell 2 AST),"[203926, 1630170]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,,24.33,Made,5.0,D. Vassell,1630170.0,2.0,,,,,,,,,,,,,
159,PT11M23.00S,2023-03-26T22:35:26.2Z,2,REGULAR,3pt,Jump Shot,[],1628401,73.14388961892247,17.647058823529413,1610612738,30,35,2023-03-26T22:35:30Z,1540000,False,-162.0,200.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,25.72,Missed,,,,,,,,,,,,,,,,,
160,PT11M21.00S,2023-03-26T22:35:28.2Z,2,REGULAR,rebound,defensive,[],1630170,,,1610612759,30,35,2023-03-26T22:35:30Z,1550000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,
161,PT11M15.00S,2023-03-26T22:35:35.4Z,2,REGULAR,3pt,Jump Shot,[],203926,33.590670170827856,50.98039215686274,1610612759,30,35,2023-03-26T22:35:47Z,1560000,False,-5.0,263.0,1,left,MISS D. McDermott 26' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,,26.33,Missed,,,,,,,,,,,,,,,,,
162,PT11M14.00S,2023-03-26T22:35:36.4Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,30,35,2023-03-26T22:35:47Z,1570000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,161.0,2.0,2.0,0.0,,,,,,,,,
163,PT11M14.00S,2023-03-26T22:35:46.1Z,2,REGULAR,foul,personal,[],1630572,,,1610612738,30,35,2023-03-26T22:35:57Z,1580000,False,,,0,,S. Mamukelashvili personal FOUL (1 PF),"[1630572, 1628401]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,203177.0,1.0,0.0,White,1628401.0,,,,
165,PT11M14.00S,2023-03-26T22:35:52.2Z,2,REGULAR,substitution,out,[],1630572,,,1610612738,30,35,2023-03-26T22:35:55Z,1600000,False,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M14.00S,2023-03-26T22:35:52.2Z,2,REGULAR,substitution,in,[],1631230,,,1610612738,30,35,2023-03-26T22:35:55Z,1610000,False,,,0,,SUB in: D. Barlow,[1631230],1610612759.0,SAS,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M01.00S,2023-03-26T22:36:11.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629057,88.51839684625493,34.80392156862745,1610612738,30,35,2023-03-26T22:41:31Z,1620000,False,-76.0,55.0,1,right,MISS R. Williams III 9' Hook,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Left,,9.4,Missed,,,,,,,,,,,,,,,,,
168,PT10M58.00S,2023-03-26T22:36:14.8Z,2,REGULAR,rebound,defensive,[],203926,,,1610612759,30,35,2023-03-26T22:36:17Z,1630000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,
169,PT10M46.00S,2023-03-26T22:36:26.8Z,2,REGULAR,3pt,Jump Shot,[],1628984,32.14520367936925,31.61764705882353,1610612759,30,35,2023-03-26T22:41:59Z,1640000,False,92.0,250.0,1,left,MISS D. Graham 26' step back 3PT,[1628984],1610612759.0,SAS,step back,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,,26.61,Missed,,,,,,,,,,,,,,,,,
170,PT10M44.00S,2023-03-26T22:36:28.8Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,30,35,2023-03-26T22:36:33Z,1650000,False,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,,,,,169.0,3.0,2.0,1.0,,,,,,,,,
171,PT10M34.00S,2023-03-26T22:36:38.5Z,2,REGULAR,3pt,Jump Shot,[],203488,82.47371879106439,4.6568627450980395,1610612738,30,35,2023-03-26T22:36:45Z,1660000,False,-227.0,112.0,1,right,MISS M. Muscala 25' 3PT,[203488],1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Left Center,,25.29,Missed,,,,,,,,,,,,,,,,,
172,PT10M31.00S,2023-03-26T22:36:41.5Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,30,35,2023-03-26T22:36:45Z,1670000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,171.0,2.0,2.0,0.0,,,,,,,,,
173,PT10M19.00S,2023-03-26T22:36:53.8Z,2,REGULAR,3pt,Jump Shot,[],1630170,28.86005256241787,21.323529411764707,1610612759,30,38,2023-03-26T22:42:38Z,1680000,False,143.0,219.0,1,left,D. Vassell 26' 3PT pullup (7 PTS) (T. Jones 2 AST),"[1630170, 1630200]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,26.16,Made,7.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,
