actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
85,PT05M00.00S,2024-02-10T23:28:01.4Z,1,REGULAR,turnover,offensive foul,[],1628380,,,1610612759,16,10,2024-02-10T23:28:01Z,840000,False,,,0,,Z. Collins offensive foul TURNOVER (2 TO),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627541.0,,,2.0,,,,,,,,,
86,PT05M00.00S,2024-02-10T23:28:08.4Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,16,10,2024-02-10T23:28:18Z,850000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M00.00S,2024-02-10T23:28:08.4Z,1,REGULAR,substitution,in,[],1627827,,,1610612751,16,10,2024-02-10T23:28:18Z,860000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M46.00S,2024-02-10T23:28:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612751,16,10,2024-02-10T23:28:51Z,870000,False,,,0,,Z. Collins shooting personal FOUL (2 PF) (Finney-Smith 2 FT),"[1628380, 1627827]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,1662.0,2.0,0.0,,,,Finney-Smith,1627827.0,,,,,
90,PT04M46.00S,2024-02-10T23:29:04.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627827,,,1610612751,16,10,2024-02-10T23:29:24Z,890000,False,,,0,,MISS D. Finney-Smith Free Throw 1 of 2,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
91,PT04M46.00S,2024-02-10T23:29:04.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,16,10,2024-02-10T23:29:24Z,900000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,
92,PT04M46.00S,2024-02-10T23:29:05.2Z,1,REGULAR,substitution,out,[],1631110,,,1610612751,16,10,2024-02-10T23:29:07Z,910000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M46.00S,2024-02-10T23:29:05.2Z,1,REGULAR,substitution,in,[],1626224,,,1610612751,16,10,2024-02-10T23:29:07Z,920000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M46.00S,2024-02-10T23:29:04.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627827,,,1610612751,16,10,2024-02-10T23:29:24Z,930000,False,,,0,,MISS D. Finney-Smith Free Throw 2 of 2,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
95,PT04M43.00S,2024-02-10T23:29:07.5Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,16,10,2024-02-10T23:29:24Z,940000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,
96,PT04M25.00S,2024-02-10T23:29:48.6Z,1,REGULAR,foul,personal,[],1630592,,,1610612759,16,10,2024-02-10T23:30:07Z,950000,False,,,0,,J. Wilson personal FOUL (1 PF),"[1630592, 1629640]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,8-16 Center,,,,,,,,1662.0,1.0,0.0,,,,Johnson,1629640.0,,,,,
98,PT04M25.00S,2024-02-10T23:29:55.8Z,1,REGULAR,substitution,out,[],1630560,,,1610612759,16,10,2024-02-10T23:30:02Z,970000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M25.00S,2024-02-10T23:29:55.8Z,1,REGULAR,substitution,in,[],1628969,,,1610612759,16,10,2024-02-10T23:30:02Z,980000,False,,,0,,SUB in: M. Bridges,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M15.00S,2024-02-10T23:30:18.0Z,1,REGULAR,3pt,Jump Shot,[],1626224,89.70105124835742,96.07843137254902,1610612759,16,13,2024-02-10T23:30:23Z,990000,False,230.0,44.0,1,right,C. Osman 3PT  (3 PTS) (D. Vassell 1 AST),"[1626224, 1630170]",1610612759.0,SAS,,,,Osman,C. Osman,,,,,Right Corner 3,24+ Right,23.46,Made,3.0,,,,,,,,,,,,,D. Vassell,1630170.0,1.0,,
103,PT03M57.00S,2024-02-10T23:30:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630592,24.655059132720105,84.06862745098039,1610612751,19,13,2024-02-10T23:30:55Z,1020000,False,-170.0,179.0,1,left,J. Wilson 24' 3PT  (3 PTS) (D. Schroder 3 AST),"[1630592, 203471]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,24.73,Made,3.0,,,,,,,,,,,,,D. Schroder,203471.0,3.0,,
105,PT03M40.00S,2024-02-10T23:31:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,86.15308804204993,49.50980392156863,1610612759,19,15,2024-02-10T23:31:19Z,1040000,False,-2.0,78.0,1,right,K. Johnson 7' driving floating Jump Shot (2 PTS) (B. Wesley 1 AST),"[1629640, 1631104]",1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.77,Made,2.0,,,,,,,,,,,,,B. Wesley,1631104.0,1.0,,
106,PT03M32.00S,2024-02-10T23:31:16.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,32.14520367936925,50.245098039215684,1610612751,19,15,2024-02-10T23:31:24Z,1050000,False,-1.0,250.0,1,left,MISS D. Finney-Smith 24' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,,,
107,PT03M32.00S,2024-02-10T23:31:16.2Z,1,REGULAR,rebound,offensive,[],1630592,,,1610612751,19,15,2024-02-10T23:31:24Z,1060000,False,,,0,,J. Wilson REBOUND (Off:1 Def:0),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Center,,,,106.0,1.0,0.0,1.0,,,,,,,,,,,,,
108,PT03M26.00S,2024-02-10T23:31:22.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,26.231931668856767,19.607843137254903,1610612751,22,15,2024-02-10T23:31:26Z,1070000,False,152.0,194.0,1,left,M. Bridges 24' 3PT  (5 PTS) (J. Wilson 1 AST),"[1628969, 1630592]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,24.65,Made,5.0,,,,,,,,,,,,,J. Wilson,1630592.0,1.0,,
111,PT03M10.00S,2024-02-10T23:31:37.5Z,1,REGULAR,2pt,Hook,[],1628380,91.5407358738502,68.62745098039215,1610612759,22,15,2024-02-10T23:31:44Z,1090000,False,93.0,27.0,1,right,MISS Z. Collins 9' turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Right,9.69,Missed,,,,,,,,,,,,,,,,,,
112,PT03M05.00S,2024-02-10T23:31:42.5Z,1,REGULAR,rebound,offensive,[],1626224,,,1610612759,22,15,2024-02-10T23:32:14Z,1100000,False,,,0,,C. Osman REBOUND (Off:1 Def:0),[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,Mid-Range,8-16 Right,,,,111.0,1.0,0.0,1.0,,,,,,,,,,,,,
115,PT03M00.00S,2024-02-10T23:31:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626224,91.80354796320631,49.754901960784316,1610612759,22,15,2024-02-10T23:32:14Z,1130000,False,-1.0,25.0,1,right,MISS C. Osman driving Layup - blocked,"[1626224, 1627827]",1610612759.0,SAS,driving,,,Osman,C. Osman,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,Finney-Smith,1627827.0
116,PT03M00.00S,2024-02-10T23:31:48.0Z,1,REGULAR,block,,[],1627827,,,1610612759,22,15,2024-02-10T23:31:54Z,1140000,False,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
117,PT02M54.00S,2024-02-10T23:31:54.0Z,1,REGULAR,rebound,defensive,[],203471,,,1610612751,22,15,2024-02-10T23:31:59Z,1150000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT02M49.00S,2024-02-10T23:31:58.9Z,1,REGULAR,3pt,Jump Shot,[],203471,31.488173455978973,53.67647058823529,1610612751,25,15,2024-02-10T23:34:14Z,1160000,False,-18.0,243.0,1,left,D. Schroder 24' 3PT  (3 PTS),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,24.42,Made,3.0,,,,,,,,,,,,,,,,,
119,PT02M36.00S,2024-02-10T23:32:14.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630592,,,1610612759,25,15,2024-02-10T23:32:35Z,1170000,False,,,0,,J. Wilson shooting personal FOUL (2 PF) (Collins 2 FT),"[1630592, 1628380]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628159.0,2.0,0.0,,,,Collins,1628380.0,,,,,
121,PT02M36.00S,2024-02-10T23:32:41.5Z,1,REGULAR,freethrow,1 of 2,[],1628380,,,1610612759,25,16,2024-02-10T23:32:41Z,1190000,False,,,0,,Z. Collins Free Throw 1 of 2 (1 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
122,PT02M36.00S,2024-02-10T23:32:43.0Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,25,16,2024-02-10T23:32:49Z,1200000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M36.00S,2024-02-10T23:32:43.0Z,1,REGULAR,substitution,in,[],1631103,,,1610612759,25,16,2024-02-10T23:32:49Z,1210000,False,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M36.00S,2024-02-10T23:33:05.9Z,1,REGULAR,freethrow,2 of 2,[],1628380,,,1610612759,25,17,2024-02-10T23:33:05Z,1220000,False,,,0,,Z. Collins Free Throw 2 of 2 (2 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
125,PT02M22.00S,2024-02-10T23:33:26.0Z,1,REGULAR,3pt,Jump Shot,[],1630592,12.040078843626807,3.6764705882352944,1610612751,25,17,2024-02-10T23:33:30Z,1230000,False,232.0,61.0,1,left,MISS J. Wilson 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Right Corner 3,24+ Right,23.94,Missed,,,,,,,,,,,,,,,,,,
126,PT02M19.00S,2024-02-10T23:33:29.0Z,1,REGULAR,rebound,defensive,[],1626224,,,1610612759,25,17,2024-02-10T23:33:30Z,1240000,False,,,0,,C. Osman REBOUND (Off:1 Def:1),[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,Right Corner 3,24+ Right,,,,125.0,2.0,1.0,1.0,,,,,,,,,,,,,
127,PT02M12.00S,2024-02-10T23:33:35.8Z,1,REGULAR,3pt,Jump Shot,[],1626224,73.80091984231275,16.176470588235293,1610612759,25,20,2024-02-10T23:33:41Z,1250000,False,-169.0,194.0,1,right,C. Osman 25' 3PT  (6 PTS) (K. Johnson 1 AST),"[1626224, 1629640]",1610612759.0,SAS,,,,Osman,C. Osman,,,,,Above the Break 3,24+ Left Center,25.72,Made,6.0,,,,,,,,,,,,,K. Johnson,1629640.0,1.0,,
129,PT01M58.00S,2024-02-10T23:33:50.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,25.312089356110377,80.88235294117648,1610612751,28,20,2024-02-10T23:33:54Z,1270000,False,-154.0,185.0,1,left,M. Bridges 24' 3PT  (8 PTS) (D. Schroder 4 AST),"[1628969, 203471]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.13,Made,8.0,,,,,,,,,,,,,D. Schroder,203471.0,4.0,,
131,PT01M44.00S,2024-02-10T23:34:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,91.67214191852825,56.86274509803921,1610612759,28,22,2024-02-10T23:34:07Z,1290000,False,34.0,26.0,1,right,K. Johnson driving Layup (4 PTS) (Z. Collins 1 AST),"[1629640, 1628380]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,4.29,Made,4.0,,,,,,,,,,,,,Z. Collins,1628380.0,1.0,,
132,PT01M33.00S,2024-02-10T23:34:15.1Z,1,REGULAR,3pt,Jump Shot,[],203471,6.783837056504599,95.09803921568627,1610612751,31,22,2024-02-10T23:34:19Z,1300000,False,-225.0,11.0,1,left,D. Schroder 3PT  (6 PTS) (D. Smith Jr. 1 AST),"[203471, 1628372]",1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Left Corner 3,24+ Left,22.58,Made,6.0,,,,,,,,,,,,,D. Smith Jr.,1628372.0,1.0,,
134,PT01M24.00S,2024-02-10T23:34:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,87.46714848883047,37.99019607843137,1610612759,31,24,2024-02-10T23:34:27Z,1320000,False,-60.0,65.0,1,right,M. Branham 8' pullup Jump Shot (2 PTS) (B. Wesley 2 AST),"[1631103, 1631104]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Left,8.87,Made,2.0,,,,,,,,,,,,,B. Wesley,1631104.0,2.0,,
135,PT01M04.00S,2024-02-10T23:34:43.4Z,1,REGULAR,2pt,Jump Shot,[],1628969,20.18725361366623,69.85294117647058,1610612751,31,24,2024-02-10T23:34:48Z,1330000,False,-99.0,137.0,1,left,MISS M. Bridges 16' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,16.94,Missed,,,,,,,,,,,,,,,,,,
137,PT01M04.00S,2024-02-10T23:34:43.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,31,24,2024-02-10T23:34:48Z,1340000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left Center,,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,
138,PT00M55.50S,2024-02-10T23:34:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,91.67214191852825,43.38235294117647,1610612759,31,26,2024-02-10T23:34:58Z,1350000,False,-33.0,26.0,1,right,K. Johnson driving Layup (6 PTS),[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,4.2,Made,6.0,,,,,,,,,,,,,,,,,
141,PT00M39.30S,2024-02-10T23:35:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,19.92444152431012,35.53921568627451,1610612751,33,26,2024-02-10T23:35:49Z,1370000,False,72.0,135.0,1,left,D. Schroder 15' pullup Jump Shot (8 PTS),[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,15.3,Made,8.0,,,,,,,,,,,,,,,,,
142,PT00M29.70S,2024-02-10T23:35:59.9Z,1,REGULAR,3pt,Jump Shot,[],1628380,66.17936925098554,42.15686274509804,1610612759,33,26,2024-02-10T23:36:05Z,1380000,False,-39.0,265.0,1,right,MISS Z. Collins 26' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,26.83,Missed,,,,,,,,,,,,,,,,,,
143,PT00M26.60S,2024-02-10T23:36:02.9Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,33,26,2024-02-10T23:36:02Z,1390000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,,142.0,2.0,1.0,1.0,,,,,,,,,,,,,
144,PT00M17.80S,2024-02-10T23:36:12.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627827,,,1610612759,33,26,2024-02-10T23:36:21Z,1400000,False,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Wesley 2 FT),"[1627827, 1631104]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1628159.0,2.0,0.0,,,,Wesley,1631104.0,,,,,
146,PT00M17.80S,2024-02-10T23:36:39.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631104,,,1610612759,33,27,2024-02-10T23:36:39Z,1420000,False,,,0,,B. Wesley Free Throw 1 of 2 (1 PTS),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
147,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,out,[],1630592,,,1610612759,33,27,2024-02-10T23:37:00Z,1430000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,out,[],1627827,,,1610612759,33,27,2024-02-10T23:37:00Z,1440000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,out,[],1628380,,,1610612759,33,27,2024-02-10T23:37:00Z,1450000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,in,[],1629651,,,1610612759,33,27,2024-02-10T23:37:00Z,1460000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,in,[],1630560,,,1610612759,33,27,2024-02-10T23:37:00Z,1470000,False,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M17.80S,2024-02-10T23:36:40.1Z,1,REGULAR,substitution,in,[],1631110,,,1610612759,33,27,2024-02-10T23:37:00Z,1480000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M17.80S,2024-02-10T23:37:15.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631104,,,1610612759,33,28,2024-02-10T23:37:15Z,1490000,False,,,0,,B. Wesley Free Throw 2 of 2 (2 PTS),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
154,PT00M06.50S,2024-02-10T23:37:31.5Z,1,REGULAR,foul,personal,[],1631104,,,1610612751,33,28,2024-02-10T23:37:45Z,1500000,False,,,0,,B. Wesley personal FOUL (1 PF),"[1631104, 1630560]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627541.0,1.0,0.0,,,,Thomas,1630560.0,,,,,
156,PT00M05.00S,2024-02-10T23:37:55.9Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612751,33,28,2024-02-10T23:38:02Z,1520000,False,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1631104]",1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Wesley,1631104.0,,,,,,,
157,PT00M05.00S,2024-02-10T23:37:55.9Z,1,REGULAR,steal,,[],1631104,,,1610612759,33,28,2024-02-10T23:39:47Z,1530000,False,,,0,,B. Wesley STEAL (1 STL),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
158,PT00M03.80S,2024-02-10T23:37:58.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631104,92.32917214191852,50.245098039215684,1610612759,33,30,2024-02-10T23:38:05Z,1540000,False,1.0,20.0,1,right,B. Wesley running DUNK (4 PTS),[1631104],1610612759.0,SAS,running,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,1.96,Made,4.0,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2024-02-10T23:38:08.6Z,1,REGULAR,3pt,Jump Shot,[],1630560,31.35676741130092,21.07843137254902,1610612751,33,30,2024-02-10T23:38:38Z,1550000,False,145.0,242.0,1,left,MISS C. Thomas 28' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,28.22,Missed,,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2024-02-10T23:38:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,33,30,2024-02-10T23:38:38Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,159.0,,,,,,,,,,,,,,,,
161,PT00M00.00S,2024-02-10T23:38:12.9Z,1,REGULAR,period,end,[],0,,,1610612751,33,30,2024-02-10T23:38:12Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1628372,,,1610612751,33,30,2024-02-10T23:41:16Z,1580000,False,,,0,,SUB out: D. Smith Jr.,[1628372],1610612751.0,BKN,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],203471,,,1610612751,33,30,2024-02-10T23:41:16Z,1590000,False,,,0,,SUB out: D. Schroder,[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1629651,,,1610612751,33,30,2024-02-10T23:41:16Z,1600000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1631104,,,1610612751,33,30,2024-02-10T23:41:16Z,1610000,False,,,0,,SUB out: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,out,['startperiod'],1631110,,,1610612751,33,30,2024-02-10T23:41:16Z,1620000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1630592,,,1610612751,33,30,2024-02-10T23:41:16Z,1630000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1627732,,,1610612751,33,30,2024-02-10T23:41:16Z,1640000,False,,,0,,SUB in: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1627827,,,1610612751,33,30,2024-02-10T23:41:16Z,1650000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1641705,,,1610612751,33,30,2024-02-10T23:41:16Z,1660000,False,,,0,,SUB in: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2024-02-10T23:38:35.6Z,2,REGULAR,substitution,in,['startperiod'],1630200,,,1610612751,33,30,2024-02-10T23:41:16Z,1670000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2024-02-10T23:41:28.4Z,2,REGULAR,period,start,[],0,,,1610612759,33,30,2024-02-10T23:41:28Z,1680000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M45.00S,2024-02-10T23:41:43.5Z,2,REGULAR,foul,personal,['2freethrow'],1630592,,,1610612759,33,30,2024-02-10T23:41:59Z,1690000,False,,,0,,J. Wilson shooting personal FOUL (3 PF) (Osman 2 FT),"[1630592, 1626224]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,3.0,0.0,,,,Osman,1626224.0,,,,,
175,PT11M45.00S,2024-02-10T23:42:14.7Z,2,REGULAR,freethrow,1 of 2,[],1626224,,,1610612759,33,31,2024-02-10T23:42:14Z,1710000,False,,,0,,C. Osman Free Throw 1 of 2 (7 PTS),[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
