actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,value
96,PT04M47.00S,2022-04-07T00:02:58.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,15,16,2022-04-07T00:03:18Z,960000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,
97,PT04M36.00S,2022-04-07T00:03:08.9Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,15,16,2022-04-07T00:03:13Z,970000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 202681]",1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,,,,,,,,,,1.0,Irving,202681.0,,,,
98,PT04M36.00S,2022-04-07T00:03:08.9Z,1,REGULAR,steal,,[],202681,,,1610612751,15,16,2022-04-07T00:03:11Z,980000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
99,PT04M29.00S,2022-04-07T00:03:15.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629651,6.1268068331143235,50.245098039215684,1610612751,15,18,2022-04-07T00:03:21Z,990000,-1.0,5.0,1,left,N. Claxton DUNK (4 PTS) (S. Curry 1 AST),"[1629651, 203552]",1610612751.0,BKN,,,,,,,0.52,Made,4.0,Claxton,N. Claxton,S. Curry,203552.0,1.0,,,,,,,,,,,,,,,,
101,PT04M15.00S,2022-04-07T00:03:29.6Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,15,18,2022-04-07T00:03:35Z,1010000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 202681]",1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,1.0,Irving,202681.0,,,,
102,PT04M15.00S,2022-04-07T00:03:29.6Z,1,REGULAR,steal,,[],202681,,,1610612751,15,18,2022-04-07T00:03:31Z,1020000,,,0,,K. Irving STEAL (2 STL),[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
103,PT04M11.00S,2022-04-07T00:03:34.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630556,6.521024967148489,50.73529411764706,1610612751,15,20,2022-04-07T00:09:22Z,1030000,-4.0,9.0,1,left,K. Edwards running Layup (2 PTS) (K. Irving 1 AST),"[1630556, 202681]",1610612751.0,BKN,running,,,,,,0.95,Made,2.0,Edwards,K. Edwards,K. Irving,202681.0,1.0,,,,,,,,,,,,,,,,
105,PT04M05.00S,2022-04-07T00:03:42.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,15,20,2022-04-07T00:03:42Z,1050000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,out,[],202692,,,1610612752,15,20,2022-04-07T00:05:17Z,1060000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
107,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,out,[],1630579,,,1610612752,15,20,2022-04-07T00:05:17Z,1070000,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,
108,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,out,[],203552,,,1610612752,15,20,2022-04-07T00:05:17Z,1080000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
109,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,in,[],201959,,,1610612752,15,20,2022-04-07T00:05:17Z,1090000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,,,,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,
110,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,15,20,2022-04-07T00:05:17Z,1100000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,
111,PT04M05.00S,2022-04-07T00:03:42.5Z,1,REGULAR,substitution,in,[],200746,,,1610612752,15,20,2022-04-07T00:05:17Z,1110000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
112,PT03M54.00S,2022-04-07T00:05:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630167,71.04139290407359,75.24509803921569,1610612752,15,20,2022-04-07T00:05:46Z,1120000,126.0,220.0,1,right,MISS O. Toppin 25' 3PT,[1630167],1610612752.0,NYK,,,,,,,25.34,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,
113,PT03M52.00S,2022-04-07T00:05:42.0Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,15,20,2022-04-07T00:05:46Z,1130000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,,,,,,,Aldridge,L. Aldridge,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,
114,PT03M43.00S,2022-04-07T00:05:51.0Z,1,REGULAR,3pt,Jump Shot,[],1630556,11.908672798948752,4.166666666666666,1610612751,15,20,2022-04-07T00:05:55Z,1140000,229.0,59.0,1,left,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,,,,23.68,Missed,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
115,PT03M41.00S,2022-04-07T00:05:53.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,15,20,2022-04-07T00:05:55Z,1150000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,
116,PT03M41.00S,2022-04-07T00:05:55.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,15,20,2022-04-07T00:05:55Z,1160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M41.00S,2022-04-07T00:05:56.0Z,1,REGULAR,substitution,out,[],202681,,,1610612752,15,20,2022-04-07T00:06:02Z,1170000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
118,PT03M41.00S,2022-04-07T00:05:56.0Z,1,REGULAR,substitution,in,[],201988,,,1610612752,15,20,2022-04-07T00:06:02Z,1180000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
119,PT03M28.00S,2022-04-07T00:06:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.69448094612353,47.30392156862745,1610612752,15,20,2022-04-07T00:06:30Z,1190000,-13.0,-3.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 200746]",1610612752.0,NYK,driving,,,,,,1.37,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,Aldridge,200746.0,,
125,PT03M28.00S,2022-04-07T00:06:22.9Z,1,REGULAR,block,,[],200746,,,1610612752,15,20,2022-04-07T00:06:57Z,1195000,,,0,,L. Aldridge BLOCK (1 BLK),[200746],1610612751.0,BKN,,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
120,PT03M26.00S,2022-04-07T00:06:24.9Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,15,20,2022-04-07T00:06:57Z,1200000,,,0,,R. Barrett REBOUND (Off:1 Def:2),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,119.0,3.0,2.0,1.0,,,,,,,,,,,,
121,PT03M18.00S,2022-04-07T00:06:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630167,92.59198423127464,45.83333333333333,1610612752,17,20,2022-04-07T00:06:57Z,1210000,-21.0,17.0,1,right,O. Toppin driving Layup (3 PTS) (R. Barrett 3 AST),"[1630167, 1629628]",1610612752.0,NYK,driving,,,,,,2.69,Made,3.0,Toppin,O. Toppin,R. Barrett,1629628.0,3.0,,,,,,,,,,,,,,,,
123,PT03M07.00S,2022-04-07T00:06:43.7Z,1,REGULAR,3pt,Jump Shot,[],1630556,7.5722733245729295,4.901960784313726,1610612751,17,23,2022-04-07T00:06:47Z,1230000,225.0,19.0,1,left,K. Edwards 3PT  (5 PTS) (K. Durant 3 AST),"[1630556, 201142]",1610612751.0,BKN,,,,,,,22.63,Made,5.0,Edwards,K. Edwards,K. Durant,201142.0,3.0,,,,,,,,,,,,,,,,
126,PT02M54.00S,2022-04-07T00:06:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630193,73.66951379763469,19.362745098039216,1610612752,17,23,2022-04-07T00:07:09Z,1250000,-153.0,195.0,1,right,MISS I. Quickley 24' 3PT,[1630193],1610612752.0,NYK,,,,,,,24.8,Missed,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,
127,PT02M52.00S,2022-04-07T00:07:01.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,17,23,2022-04-07T00:07:09Z,1260000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,
128,PT02M52.00S,2022-04-07T00:07:03.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,17,23,2022-04-07T00:07:03Z,1270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M34.00S,2022-04-07T00:07:26.9Z,1,REGULAR,3pt,Jump Shot,[],1630556,5.206964520367937,2.696078431372549,1610612751,17,23,2022-04-07T00:07:32Z,1280000,237.0,-4.0,1,left,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,,,,23.65,Missed,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
130,PT02M32.00S,2022-04-07T00:07:28.9Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,17,23,2022-04-07T00:07:32Z,1290000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,,,,,,,Gibson,T. Gibson,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,
131,PT02M30.00S,2022-04-07T00:07:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,90.09526938239159,50.73529411764706,1610612752,17,23,2022-04-07T00:12:32Z,1300000,4.0,41.0,1,right,MISS R. Barrett running Layup - blocked,"[1629628, 1630556]",1610612752.0,NYK,running,,,,,,4.08,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,Edwards,1630556.0,,
132,PT02M30.00S,2022-04-07T00:07:35.6Z,1,REGULAR,block,,[],1630556,,,1610612752,17,23,2022-04-07T00:08:16Z,1310000,,,0,,K. Edwards BLOCK (1 BLK),[1630556],1610612751.0,BKN,,,,,,,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
133,PT02M28.00S,2022-04-07T00:07:37.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,17,23,2022-04-07T00:07:42Z,1320000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,
134,PT02M28.00S,2022-04-07T00:07:42.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,17,23,2022-04-07T00:07:42Z,1330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M19.00S,2022-04-07T00:07:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,5.206964520367937,47.30392156862745,1610612751,17,23,2022-04-07T00:07:57Z,1340000,13.0,-4.0,1,left,MISS K. Durant alley-oop Layup,[201142],1610612751.0,BKN,alley-oop,,,,,,1.4,Missed,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
136,PT02M17.00S,2022-04-07T00:07:55.7Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,17,23,2022-04-07T00:07:57Z,1350000,,,0,,O. Toppin REBOUND (Off:1 Def:1),[1630167],1610612752.0,NYK,,,,,,,,,,Toppin,O. Toppin,,,,135.0,2.0,1.0,1.0,,,,,,,,,,,,
137,PT02M11.00S,2022-04-07T00:08:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,84.1819973718791,48.529411764705884,1610612752,19,23,2022-04-07T00:08:09Z,1360000,-7.0,96.0,1,right,E. Fournier 9' running Jump Shot (2 PTS) (O. Toppin 1 AST),"[203095, 1630167]",1610612752.0,NYK,running,,,,,,9.65,Made,2.0,Fournier,E. Fournier,O. Toppin,1630167.0,1.0,,,,,,,,,,,,,,,,
139,PT01M55.00S,2022-04-07T00:08:17.2Z,1,REGULAR,2pt,Jump Shot,[],201142,16.113666228646515,21.813725490196077,1610612751,19,25,2022-04-07T00:13:34Z,1380000,141.0,99.0,1,left,K. Durant 17' pullup Jump Shot (4 PTS),[201142],1610612751.0,BKN,pullup,,,,,,17.22,Made,4.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
140,PT01M38.00S,2022-04-07T00:08:33.6Z,1,REGULAR,3pt,Jump Shot,[],203095,93.9060446780552,3.9215686274509802,1610612752,22,25,2022-04-07T00:08:38Z,1390000,-230.0,5.0,1,right,E. Fournier 3PT  (5 PTS) (I. Quickley 1 AST),"[203095, 1630193]",1610612752.0,NYK,,,,,,,23.04,Made,5.0,Fournier,E. Fournier,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,,,
142,PT01M26.00S,2022-04-07T00:08:46.0Z,1,REGULAR,3pt,Jump Shot,[],201142,31.750985545335087,50.245098039215684,1610612751,22,25,2022-04-07T00:08:51Z,1410000,-1.0,246.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,,,,24.6,Missed,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
143,PT01M24.00S,2022-04-07T00:08:48.0Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,22,25,2022-04-07T00:08:51Z,1420000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,142.0,2.0,2.0,0.0,,,,,,,,,,,,
144,PT01M17.00S,2022-04-07T00:08:54.8Z,1,REGULAR,3pt,Jump Shot,[],203095,91.93495400788436,3.9215686274509802,1610612752,22,25,2022-04-07T00:09:03Z,1430000,-230.0,23.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,,,,23.16,Missed,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,
145,PT01M15.00S,2022-04-07T00:08:56.8Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,22,25,2022-04-07T00:09:03Z,1440000,,,0,,L. Aldridge REBOUND (Off:0 Def:2),[200746],1610612751.0,BKN,,,,,,,,,,Aldridge,L. Aldridge,,,,144.0,2.0,2.0,0.0,,,,,,,,,,,,
146,PT01M08.00S,2022-04-07T00:09:05.1Z,1,REGULAR,turnover,out-of-bounds,[],200746,,,1610612751,22,25,2022-04-07T00:09:09Z,1450000,,,0,,L. Aldridge bad pass out-of-bounds TURNOVER (1 TO),[200746],1610612751.0,BKN,bad pass,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,1626301.0,,,,,1.0,,,,,,
147,PT00M55.80S,2022-04-07T00:09:31.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630193,83.13074901445466,47.05882352941176,1610612752,22,25,2022-04-07T00:09:37Z,1460000,-15.0,106.0,1,right,MISS I. Quickley 10' floating Shot,[1630193],1610612752.0,NYK,floating,,,,,,10.71,Missed,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,
148,PT00M54.10S,2022-04-07T00:09:33.0Z,1,REGULAR,rebound,offensive,[],201959,,,1610612752,22,25,2022-04-07T00:09:37Z,1470000,,,0,,T. Gibson REBOUND (Off:1 Def:1),[201959],1610612752.0,NYK,,,,,,,,,,Gibson,T. Gibson,,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,
149,PT00M53.90S,2022-04-07T00:09:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201959,94.03745072273325,50.0,1610612752,24,25,2022-04-07T00:15:13Z,1480000,0.0,4.0,1,right,T. Gibson putback Layup (2 PTS),[201959],1610612752.0,NYK,putback,,,,,,0.35,Made,2.0,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,
150,PT00M40.50S,2022-04-07T00:09:49.5Z,1,REGULAR,3pt,Jump Shot,[],201988,27.020367936925098,83.82352941176471,1610612751,24,25,2022-04-07T00:09:54Z,1490000,-169.0,201.0,1,left,MISS P. Mills 26' 3PT,[201988],1610612751.0,BKN,,,,,,,26.31,Missed,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
151,PT00M38.70S,2022-04-07T00:09:51.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,24,25,2022-04-07T00:09:54Z,1500000,,,0,,R. Barrett REBOUND (Off:1 Def:3),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,150.0,4.0,3.0,1.0,,,,,,,,,,,,
152,PT00M30.80S,2022-04-07T00:09:59.3Z,1,REGULAR,3pt,Jump Shot,[],1630167,92.72339027595268,5.392156862745098,1610612752,27,25,2022-04-07T00:10:03Z,1510000,-223.0,16.0,1,right,O. Toppin 3PT  (6 PTS) (E. Fournier 3 AST),"[1630167, 203095]",1610612752.0,NYK,,,,,,,22.36,Made,6.0,Toppin,O. Toppin,E. Fournier,203095.0,3.0,,,,,,,,,,,,,,,,
154,PT00M05.20S,2022-04-07T00:10:30.6Z,1,REGULAR,3pt,Jump Shot,[],1630556,10.33180026281209,3.9215686274509802,1610612751,27,25,2022-04-07T00:10:38Z,1530000,230.0,45.0,1,left,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,,,,23.47,Missed,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
155,PT00M03.20S,2022-04-07T00:10:32.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,27,25,2022-04-07T00:10:38Z,1540000,,,0,,R. Barrett REBOUND (Off:1 Def:4),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,154.0,5.0,4.0,1.0,,,,,,,,,,,,
156,PT00M00.30S,2022-04-07T00:10:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.1688567674113,50.73529411764706,1610612752,29,25,2022-04-07T00:16:24Z,1550000,4.0,2.0,1,right,R. Barrett running Layup (5 PTS),[1629628],1610612752.0,NYK,running,,,,,,0.44,Made,5.0,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
157,PT00M00.00S,2022-04-07T00:10:43.4Z,1,REGULAR,period,end,[],0,,,1610612751,29,25,2022-04-07T00:10:43Z,1560000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,out,['startperiod'],203095,,,1610612751,29,25,2022-04-07T00:14:32Z,1570000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,29,25,2022-04-07T00:14:32Z,1580000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,out,['startperiod'],1630556,,,1610612751,29,25,2022-04-07T00:14:32Z,1590000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,,,,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,out,['startperiod'],201988,,,1610612751,29,25,2022-04-07T00:14:32Z,1600000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,in,['startperiod'],1630540,,,1610612751,29,25,2022-04-07T00:14:32Z,1610000,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,,,,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,in,['startperiod'],1630560,,,1610612751,29,25,2022-04-07T00:14:32Z,1620000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,,,,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,in,['startperiod'],202681,,,1610612751,29,25,2022-04-07T00:14:32Z,1630000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-04-07T00:13:50.9Z,2,REGULAR,substitution,in,['startperiod'],203552,,,1610612751,29,25,2022-04-07T00:14:32Z,1640000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-04-07T00:14:38.1Z,2,REGULAR,period,start,[],0,,,1610612752,29,25,2022-04-07T00:14:38Z,1650000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M48.00S,2022-04-07T00:14:49.7Z,2,REGULAR,3pt,Jump Shot,[],201959,92.85479632063075,94.36274509803921,1610612752,32,25,2022-04-07T00:14:53Z,1660000,222.0,15.0,1,right,T. Gibson 3PT  (5 PTS) (R. Barrett 4 AST),"[201959, 1629628]",1610612752.0,NYK,,,,,,,22.23,Made,5.0,Gibson,T. Gibson,R. Barrett,1629628.0,4.0,,,,,,,,,,,,,,,,
169,PT11M25.00S,2022-04-07T00:15:12.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,9.017739816031538,50.0,1610612751,32,25,2022-04-07T00:17:18Z,1680000,0.0,32.0,1,left,MISS N. Claxton Hook,[1629651],1610612751.0,BKN,,,,,,,3.23,Missed,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,
170,PT11M23.00S,2022-04-07T00:15:14.5Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,32,25,2022-04-07T00:15:17Z,1690000,,,0,,O. Toppin REBOUND (Off:1 Def:2),[1630167],1610612752.0,NYK,,,,,,,,,,Toppin,O. Toppin,,,,169.0,3.0,2.0,1.0,,,,,,,,,,,,
171,PT11M08.00S,2022-04-07T00:15:31.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,92.32917214191852,53.92156862745098,1610612752,34,25,2022-04-07T00:15:37Z,1700000,20.0,20.0,1,right,R. Barrett turnaround Jump Shot (7 PTS),[1629628],1610612752.0,NYK,turnaround,,,,,,2.77,Made,7.0,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
172,PT11M08.00S,2022-04-07T00:15:34.0Z,2,REGULAR,foul,personal,['1freethrow'],200746,,,1610612752,34,25,2022-04-07T00:15:41Z,1710000,,,0,,L. Aldridge shooting personal FOUL (1 PF) (Barrett 1 FT),"[200746, 1629628]",1610612751.0,BKN,shooting,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,200832.0,1.0,0.0,Barrett,1629628.0,,,,,,,
174,PT11M08.00S,2022-04-07T00:15:51.1Z,2,REGULAR,freethrow,1 of 1,[],1629628,,,1610612752,35,25,2022-04-07T00:15:51Z,1730000,,,0,,R. Barrett Free Throw 1 of 1 (8 PTS),[1629628],1610612752.0,NYK,,,,,,,,Made,8.0,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
209,PT10M57.00S,2022-04-07T00:16:00.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,20.02299605781866,64.70588235294117,1610612751,35,25,2022-04-07T00:20:23Z,1735000,-74.0,136.0,1,left,MISS K. Irving 15' driving floating Shot - blocked,"[202681, 201959]",1610612751.0,BKN,driving floating,,,,,,15.43,Missed,,Irving,K. Irving,,,,,,,,,,,,,,,,Gibson,201959.0,,
210,PT10M57.00S,2022-04-07T00:16:00.8Z,2,REGULAR,block,,[],201959,,,1610612751,35,25,2022-04-07T00:20:06Z,1737500,,,0,,T. Gibson BLOCK (1 BLK),[201959],1610612752.0,NYK,,,,,,,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,
211,PT10M56.00S,2022-04-07T00:16:01.8Z,2,REGULAR,rebound,offensive,[],202681,,,1610612751,35,25,2022-04-07T00:20:23Z,1738750,,,0,,K. Irving REBOUND (Off:1 Def:1),[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,209.0,2.0,1.0,1.0,,,,,,,,,,,,
175,PT10M50.00S,2022-04-07T00:16:10.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],202681,5.732588699080158,98.77450980392157,1610612751,35,25,2022-04-07T00:20:06Z,1740000,-244.0,1.0,1,left,MISS K. Irving 24' 3PT,[202681],1610612751.0,BKN,,,,,,,24.39,Missed,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
176,PT10M48.00S,2022-04-07T00:16:13.0Z,2,REGULAR,rebound,defensive,[],1630540,,,1610612752,35,25,2022-04-07T00:16:13Z,1750000,,,0,,M. McBride REBOUND (Off:0 Def:1),[1630540],1610612752.0,NYK,,,,,,,,,,McBride,M. McBride,,,,175.0,1.0,1.0,0.0,,,,,,,,,,,,
177,PT10M42.00S,2022-04-07T00:16:19.0Z,2,REGULAR,3pt,Jump Shot,[],1630540,78.9257555847569,8.088235294117647,1610612752,35,25,2022-04-07T00:16:26Z,1760000,-210.0,146.0,1,right,MISS M. McBride 25' 3PT,[1630540],1610612752.0,NYK,,,,,,,25.52,Missed,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,
178,PT10M40.00S,2022-04-07T00:16:21.0Z,2,REGULAR,rebound,defensive,[],200746,,,1610612751,35,25,2022-04-07T00:16:26Z,1770000,,,0,,L. Aldridge REBOUND (Off:0 Def:3),[200746],1610612751.0,BKN,,,,,,,,,,Aldridge,L. Aldridge,,,,177.0,3.0,3.0,0.0,,,,,,,,,,,,
