actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
85,PT03M52.00S,2021-11-16T00:53:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,82.07950065703022,41.42156862745098,1610612752,14,13,2021-11-16T00:54:04Z,840000,-43.0,116.0,1,right,E. Fournier 12' floating Jump Shot (2 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,floating,,,Fournier,E. Fournier,,,,,12.37,Made,2.0,,,,,,,,,,,,,J. Randle,203944.0,1.0,,,
87,PT03M52.00S,2021-11-16T00:54:05.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612754,14,13,2021-11-16T00:54:05Z,860000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,out,[],1629628,,,1610612754,14,13,2021-11-16T00:56:51Z,870000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,out,[],1627763,,,1610612754,14,13,2021-11-16T00:56:51Z,880000,,,0,,SUB out: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,14,13,2021-11-16T00:56:51Z,890000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,out,[],1628470,,,1610612754,14,13,2021-11-16T00:56:51Z,900000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,in,[],202692,,,1610612754,14,13,2021-11-16T00:56:51Z,910000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,in,[],1627734,,,1610612754,14,13,2021-11-16T00:56:51Z,920000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,in,[],203200,,,1610612754,14,13,2021-11-16T00:56:51Z,930000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M52.00S,2021-11-16T00:54:05.9Z,1,REGULAR,substitution,in,[],1629048,,,1610612754,14,13,2021-11-16T00:56:51Z,940000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M28.00S,2021-11-16T00:57:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629103,6.915243101182654,51.71568627450981,1610612754,14,15,2021-11-16T00:57:30Z,950000,-9.0,13.0,1,left,K. Martin driving Layup (2 PTS) (J. Holiday 1 AST),"[1629103, 203200]",1610612754.0,IND,driving,,,Martin,K. Martin,,,,,1.52,Made,2.0,,,,,,,,,,,,,J. Holiday,203200.0,1.0,,,
98,PT03M14.00S,2021-11-16T00:57:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,93.51182654402102,47.794117647058826,1610612752,16,15,2021-11-16T00:57:43Z,970000,-11.0,8.0,1,right,D. Rose driving finger roll Layup (2 PTS),[201565],1610612752.0,NYK,driving finger roll,,,Rose,D. Rose,,,,,1.39,Made,2.0,,,,,,,,,,,,,,,,,,
99,PT02M57.00S,2021-11-16T00:57:54.9Z,1,REGULAR,2pt,Jump Shot,[],1629103,22.026938239159,54.65686274509803,1610612754,16,17,2021-11-16T01:14:00Z,980000,-23.0,155.0,1,left,K. Martin 15' pullup Jump Shot (4 PTS),[1629103],1610612754.0,IND,pullup,,,Martin,K. Martin,,,,,15.63,Made,4.0,,,,,,,,,,,,,,,,,,
100,PT02M40.00S,2021-11-16T00:58:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.77463863337714,50.73529411764706,1610612752,16,17,2021-11-16T00:58:18Z,990000,4.0,6.0,1,right,MISS J. Randle driving Layup - blocked,"[203944, 1629048]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,0.7,Missed,,,,,,,,Bitadze,1629048.0,,,,,,,,,,
101,PT02M40.00S,2021-11-16T00:58:12.7Z,1,REGULAR,block,,[],1629048,,,1610612752,16,17,2021-11-16T00:58:15Z,1000000,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M38.00S,2021-11-16T00:58:14.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,16,17,2021-11-16T00:58:18Z,1010000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,,
103,PT02M31.00S,2021-11-16T00:58:21.7Z,1,REGULAR,3pt,Jump Shot,[],203200,32.013797634691194,55.14705882352941,1610612754,16,17,2021-11-16T00:58:30Z,1020000,-26.0,248.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
104,PT02M29.00S,2021-11-16T00:58:23.7Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,16,17,2021-11-16T00:58:41Z,1030000,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,103.0,3.0,2.0,1.0,,,,,,,,,,,,,,
105,PT02M25.00S,2021-11-16T00:58:28.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629048,28.07161629434954,73.77450980392157,1610612754,16,17,2021-11-16T00:58:36Z,1040000,-119.0,211.0,1,left,MISS G. Bitadze 24' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,24.25,Missed,,,,,,,,,,,,,,,,,,,
106,PT02M23.00S,2021-11-16T00:58:30.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,16,17,2021-11-16T00:58:36Z,1050000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,,
107,PT02M13.00S,2021-11-16T00:58:39.4Z,1,REGULAR,3pt,Jump Shot,[],202692,85.3646517739816,3.6764705882352944,1610612752,16,17,2021-11-16T00:58:45Z,1060000,-232.0,85.0,1,right,MISS A. Burks 24' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,24.67,Missed,,,,,,,,,,,,,,,,,,,
108,PT02M11.00S,2021-11-16T00:58:41.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,16,17,2021-11-16T00:58:45Z,1070000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,107.0,4.0,3.0,1.0,,,,,,,,,,,,,,
109,PT01M56.00S,2021-11-16T00:58:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,11.12023653088042,48.03921568627451,1610612754,16,17,2021-11-16T00:59:00Z,1080000,10.0,52.0,1,left,MISS D. Sabonis Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,5.29,Missed,,,,,,,,,,,,,,,,,,,
110,PT01M54.00S,2021-11-16T00:58:58.4Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,16,17,2021-11-16T00:59:00Z,1090000,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,109.0,2.0,2.0,0.0,,,,,,,,,,,,,,
111,PT01M50.00S,2021-11-16T00:59:04.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,16,17,2021-11-16T00:59:04Z,1100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,out,[],203095,,,1610612752,16,17,2021-11-16T00:59:10Z,1110000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,out,[],203944,,,1610612752,16,17,2021-11-16T00:59:10Z,1120000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,in,[],1630167,,,1610612752,16,17,2021-11-16T00:59:10Z,1130000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,16,17,2021-11-16T00:59:10Z,1140000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,out,[],203200,,,1610612752,16,17,2021-11-16T00:59:33Z,1150000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M50.00S,2021-11-16T00:59:04.6Z,1,REGULAR,substitution,in,[],203087,,,1610612752,16,17,2021-11-16T00:59:33Z,1160000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M49.00S,2021-11-16T00:59:43.9Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,16,17,2021-11-16T00:59:46Z,1170000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1629048]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,1.0,,,,,,,,,,Bitadze,1629048.0,
119,PT01M49.00S,2021-11-16T00:59:43.9Z,1,REGULAR,steal,,[],1629048,,,1610612754,16,17,2021-11-16T00:59:45Z,1180000,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M44.00S,2021-11-16T00:59:48.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629103,28.86005256241787,73.0392156862745,1610612754,16,17,2021-11-16T00:59:59Z,1190000,-115.0,219.0,1,left,MISS K. Martin 24' 3PT,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
121,PT01M43.00S,2021-11-16T00:59:54.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,16,17,2021-11-16T00:59:54Z,1200000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,
122,PT01M43.00S,2021-11-16T00:59:56.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,16,17,2021-11-16T00:59:56Z,1210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M29.00S,2021-11-16T01:00:15.4Z,1,REGULAR,3pt,Jump Shot,[],202692,94.30026281208936,3.9215686274509802,1610612752,16,17,2021-11-16T01:00:21Z,1220000,-230.0,1.0,1,right,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
124,PT01M27.00S,2021-11-16T01:00:17.4Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,16,17,2021-11-16T01:00:21Z,1230000,,,0,,T. McConnell REBOUND (Off:0 Def:2),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,123.0,2.0,2.0,0.0,,,,,,,,,,,,,,
127,PT01M13.00S,2021-11-16T01:00:51.6Z,1,REGULAR,violation,kicked ball,[],202692,,,1610612754,16,17,2021-11-16T01:01:50Z,1260000,,,0,,A. Burks kicked ball VIOLATION,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,1155.0,,,,,,,,,,,,,
128,PT01M02.00S,2021-11-16T01:01:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,6.521024967148489,46.568627450980394,1610612754,16,19,2021-11-16T01:01:21Z,1270000,17.0,9.0,1,left,G. Bitadze Layup (2 PTS) (D. Sabonis 1 AST),"[1629048, 1627734]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,1.93,Made,2.0,,,,,,,,,,,,,D. Sabonis,1627734.0,1.0,,,
130,PT01M02.00S,2021-11-16T01:01:07.1Z,1,REGULAR,foul,personal,['1freethrow'],202692,,,1610612754,16,19,2021-11-16T01:02:19Z,1290000,,,0,,A. Burks shooting personal FOUL (1 PF) (Bitadze 1 FT),"[202692, 1629048]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,203177.0,,,,1.0,0.0,Bitadze,1629048.0,,,,,,
132,PT01M02.00S,2021-11-16T01:01:30.4Z,1,REGULAR,freethrow,1 of 1,[],1629048,,,1610612754,16,20,2021-11-16T01:01:30Z,1310000,,,0,,G. Bitadze Free Throw 1 of 1 (3 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
133,PT00M43.20S,2021-11-16T01:01:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,86.15308804204993,47.794117647058826,1610612752,16,20,2021-11-16T01:02:19Z,1320000,-11.0,78.0,1,right,MISS T. Gibson 7' floating Shot,[201959],1610612752.0,NYK,floating,,,Gibson,T. Gibson,,,,,7.85,Missed,,,,,,,,,,,,,,,,,,,
134,PT00M40.60S,2021-11-16T01:01:53.8Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,16,20,2021-11-16T01:01:56Z,1330000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,,,,,
135,PT00M30.10S,2021-11-16T01:02:09.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,16,20,2021-11-16T01:02:09Z,1340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M28.90S,2021-11-16T01:02:28.7Z,1,REGULAR,turnover,out-of-bounds,[],203087,,,1610612754,16,20,2021-11-16T01:02:36Z,1350000,,,0,,J. Lamb bad pass out-of-bounds TURNOVER (1 TO),[203087],1610612754.0,IND,bad pass,,,Lamb,J. Lamb,,,,,,,,,,,,1151.0,1.0,,,,,,,,,,,,
137,PT00M20.00S,2021-11-16T01:02:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630193,92.32917214191852,51.9607843137255,1610612752,16,20,2021-11-16T01:02:59Z,1360000,10.0,20.0,1,right,MISS I. Quickley driving Layup,[1630193],1610612752.0,NYK,driving,,,Quickley,I. Quickley,,,,,2.19,Missed,,,,,,,,,,,,,,,,,,,
138,PT00M18.80S,2021-11-16T01:02:44.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,16,20,2021-11-16T01:02:59Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,
139,PT00M18.80S,2021-11-16T01:02:48.0Z,1,REGULAR,foul,personal,[],203087,,,1610612752,16,20,2021-11-16T01:02:54Z,1380000,,,0,,J. Lamb loose ball personal FOUL (1 PF),"[203087, 201959]",1610612754.0,IND,loose ball,,,Lamb,J. Lamb,,,,,,,,,,,,1155.0,,,,1.0,0.0,Gibson,201959.0,,,,,,
141,PT00M18.80S,2021-11-16T01:02:48.1Z,1,REGULAR,substitution,out,[],1627734,,,1610612752,16,20,2021-11-16T01:03:05Z,1400000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M18.80S,2021-11-16T01:02:48.1Z,1,REGULAR,substitution,in,[],1628470,,,1610612752,16,20,2021-11-16T01:03:05Z,1410000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M05.20S,2021-11-16T01:03:26.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202692,76.03482260183968,84.55882352941177,1610612752,16,20,2021-11-16T01:03:46Z,1420000,173.0,173.0,1,right,MISS A. Burks 24' step back 3PT,[202692],1610612752.0,NYK,step back,,,Burks,A. Burks,,,,,24.44,Missed,,,,,,,,,,,,,,,,,,,
144,PT00M02.80S,2021-11-16T01:03:29.3Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,16,20,2021-11-16T01:03:35Z,1430000,,,0,,J. Lamb REBOUND (Off:0 Def:2),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,143.0,2.0,2.0,0.0,,,,,,,,,,,,,,
145,PT00M00.80S,2021-11-16T01:03:39.8Z,1,REGULAR,3pt,Jump Shot,[],204456,51.33048620236531,44.85294117647059,1610612754,16,20,2021-11-16T01:04:07Z,1440000,26.0,430.0,1,left,MISS T. McConnell 43' 3PT,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,43.08,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M00.60S,2021-11-16T01:03:40.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,16,20,2021-11-16T01:04:07Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2021-11-16T01:03:43.5Z,1,REGULAR,period,end,[],0,,,1610612754,16,20,2021-11-16T01:03:43Z,1460000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-11-16T01:05:37.2Z,2,REGULAR,substitution,out,['startperiod'],1629103,,,1610612754,16,20,2021-11-16T01:06:12Z,1470000,,,0,,SUB out: K. Martin,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-11-16T01:05:37.2Z,2,REGULAR,substitution,out,['startperiod'],1628470,,,1610612754,16,20,2021-11-16T01:06:12Z,1480000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-11-16T01:05:37.2Z,2,REGULAR,substitution,in,['startperiod'],1627734,,,1610612754,16,20,2021-11-16T01:06:12Z,1490000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-11-16T01:05:37.2Z,2,REGULAR,substitution,in,['startperiod'],1627747,,,1610612754,16,20,2021-11-16T01:06:12Z,1500000,,,0,,SUB in: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-11-16T01:06:12.0Z,2,REGULAR,period,start,[],0,,,1610612754,16,20,2021-11-16T01:06:13Z,1510000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M49.00S,2021-11-16T01:06:21.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,6.783837056504599,48.28431372549019,1610612754,16,20,2021-11-16T01:06:26Z,1520000,9.0,11.0,1,left,MISS T. McConnell cutting Layup,[204456],1610612754.0,IND,cutting,,,McConnell,T. McConnell,,,,,1.42,Missed,,,,,,,,,,,,,,,,,,,
154,PT11M47.00S,2021-11-16T01:06:23.9Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,16,20,2021-11-16T01:06:23Z,1530000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,,
155,PT11M38.00S,2021-11-16T01:06:33.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,85.75886990801577,49.01960784313725,1610612752,16,20,2021-11-16T01:06:40Z,1540000,-5.0,81.0,1,right,MISS I. Quickley 8' driving floating Shot,[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,8.15,Missed,,,,,,,,,,,,,,,,,,,
156,PT11M36.00S,2021-11-16T01:06:35.2Z,2,REGULAR,rebound,defensive,[],1629048,,,1610612754,16,20,2021-11-16T01:06:40Z,1550000,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,,,,
157,PT11M18.00S,2021-11-16T01:06:52.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,10.988830486202366,50.98039215686274,1610612754,16,20,2021-11-16T01:07:19Z,1560000,-5.0,51.0,1,left,MISS C. LeVert floating Shot,[1627747],1610612754.0,IND,floating,,,LeVert,C. LeVert,,,,,5.1,Missed,,,,,,,,,,,,,,,,,,,
158,PT11M16.00S,2021-11-16T01:06:54.5Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,16,20,2021-11-16T01:06:57Z,1570000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,,,,
159,PT11M02.00S,2021-11-16T01:07:09.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201565,93.51182654402102,45.09803921568628,1610612752,18,20,2021-11-16T01:07:17Z,1580000,-25.0,8.0,1,right,D. Rose driving finger roll Layup (4 PTS),[201565],1610612752.0,NYK,driving finger roll,,,Rose,D. Rose,,,,,2.59,Made,4.0,,,,,,,,,,,,,,,,,,
160,PT10M45.00S,2021-11-16T01:07:26.2Z,2,REGULAR,3pt,Jump Shot,[],203087,30.305519053876477,73.0392156862745,1610612754,18,20,2021-11-16T01:07:33Z,1590000,-115.0,232.0,1,left,MISS J. Lamb 25' 3PT,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
161,PT10M43.00S,2021-11-16T01:07:28.2Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,18,20,2021-11-16T01:07:33Z,1600000,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,
162,PT10M25.00S,2021-11-16T01:07:48.5Z,2,REGULAR,foul,personal,[],204456,,,1610612752,18,20,2021-11-16T01:07:53Z,1610000,,,0,,T. McConnell personal FOUL (1 PF),"[204456, 201565]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,1151.0,,,,1.0,0.0,Rose,201565.0,,,,,,
164,PT10M25.00S,2021-11-16T01:07:48.6Z,2,REGULAR,substitution,out,[],204456,,,1610612752,18,20,2021-11-16T01:07:57Z,1630000,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT10M25.00S,2021-11-16T01:07:48.6Z,2,REGULAR,substitution,in,[],1627763,,,1610612752,18,20,2021-11-16T01:07:57Z,1640000,,,0,,SUB in: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M17.00S,2021-11-16T01:08:19.9Z,2,REGULAR,3pt,Jump Shot,[],1630193,70.38436268068331,15.931372549019606,1610612752,21,20,2021-11-16T01:08:24Z,1650000,-170.0,226.0,1,right,I. Quickley 28' 3PT  (3 PTS) (D. Rose 1 AST),"[1630193, 201565]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,28.29,Made,3.0,,,,,,,,,,,,,D. Rose,201565.0,1.0,,,
168,PT09M58.00S,2021-11-16T01:08:39.0Z,2,REGULAR,3pt,Jump Shot,[],1627763,28.86005256241787,12.745098039215685,1610612754,21,20,2021-11-16T01:08:44Z,1670000,186.0,219.0,1,left,MISS M. Brogdon 28' 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,28.74,Missed,,,,,,,,,,,,,,,,,,,
169,PT09M56.00S,2021-11-16T01:08:41.0Z,2,REGULAR,rebound,defensive,[],201959,,,1610612752,21,20,2021-11-16T01:10:25Z,1680000,,,0,,T. Gibson REBOUND (Off:0 Def:3),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,168.0,3.0,3.0,0.0,,,,,,,,,,,,,,
170,PT09M50.00S,2021-11-16T01:08:46.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630167,76.74113009198423,87.0327818627451,1610612752,21,20,2021-11-16T01:08:54Z,1690000,185.0,166.0,1,right,MISS O. Toppin 24' 3PT,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,,
171,PT09M48.00S,2021-11-16T01:08:48.6Z,2,REGULAR,rebound,offensive,[],201959,,,1610612752,21,20,2021-11-16T01:08:54Z,1700000,,,0,,T. Gibson REBOUND (Off:1 Def:3),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,170.0,4.0,3.0,1.0,,,,,,,,,,,,,,
172,PT09M39.00S,2021-11-16T01:08:58.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201565,72.88107752956637,20.098039215686274,1610612752,21,20,2021-11-16T01:09:23Z,1710000,-150.0,202.0,1,right,MISS D. Rose 25' pullup 3PT,[201565],1610612752.0,NYK,pullup,,,Rose,D. Rose,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,,
