actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
88,PT04M19.00S,2021-11-24T00:48:19.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,21,11,2021-11-24T00:52:18Z,860000,,,0,,J. Randle REBOUND (Off:0 Def:6),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,87.0,6.0,6.0,0.0,,,,,,,,,,,,,,
89,PT04M10.00S,2021-11-24T00:48:31.8Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612752,21,11,2021-11-24T00:48:37Z,870000,,,0,,A. Davis shooting personal FOUL (1 PF) (Walker 2 FT),"[203076, 202689]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Walker,202689.0
92,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,out,[],203076,,,1610612752,21,11,2021-11-24T00:49:15Z,885000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,out,[],201599,,,1610612752,21,11,2021-11-24T00:49:15Z,887500,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,out,[],202340,,,1610612752,21,11,2021-11-24T00:49:15Z,888750,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,in,[],2730,,,1610612752,21,11,2021-11-24T00:49:15Z,889375,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,in,[],2546,,,1610612752,21,11,2021-11-24T00:49:15Z,889687,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M10.00S,2021-11-24T00:48:46.0Z,1,REGULAR,substitution,in,[],201961,,,1610612752,21,11,2021-11-24T00:49:15Z,889843,,,0,,SUB in: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M10.00S,2021-11-24T00:49:00.2Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612752,22,11,2021-11-24T00:49:00Z,890000,,,0,,K. Walker Free Throw 1 of 2 (3 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
98,PT04M10.00S,2021-11-24T00:49:34.5Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612752,23,11,2021-11-24T00:49:34Z,900000,,,0,,K. Walker Free Throw 2 of 2 (4 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
99,PT03M55.00S,2021-11-24T00:49:53.1Z,1,REGULAR,3pt,Jump Shot,[],1628370,31.225361366622867,32.84313725490196,1610612747,23,14,2021-11-24T00:49:58Z,910000,86.0,241.0,1,left,M. Monk 25' 3PT  (5 PTS) (D. Howard 1 AST),"[1628370, 2730]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,25.58,Made,,,,,5.0,,,D. Howard,2730.0,1.0,,,,,,,,
101,PT03M43.00S,2021-11-24T00:50:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.56307490144546,46.81372549019608,1610612752,25,14,2021-11-24T00:50:09Z,930000,-16.0,-1.0,1,right,J. Randle driving Layup (7 PTS) (K. Walker 2 AST),"[203944, 202689]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,1.6,Made,,,,,7.0,,,K. Walker,202689.0,2.0,,,,,,,,
103,PT03M27.00S,2021-11-24T00:50:21.2Z,1,REGULAR,3pt,Jump Shot,[],1629659,28.33442838370565,83.82352941176471,1610612747,25,14,2021-11-24T00:50:26Z,950000,-169.0,214.0,1,left,MISS T. Horton-Tucker 27' 3PT,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,
104,PT03M25.00S,2021-11-24T00:50:23.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,25,14,2021-11-24T00:50:26Z,960000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,103.0,2.0,2.0,0.0,,,,,,,,,,,,,,
105,PT03M15.00S,2021-11-24T00:50:33.2Z,1,REGULAR,3pt,Jump Shot,[],203944,68.9388961892247,66.66666666666666,1610612752,28,14,2021-11-24T00:50:37Z,970000,83.0,239.0,1,right,J. Randle 25' 3PT  (10 PTS) (K. Walker 3 AST),"[203944, 202689]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.36,Made,,,,,10.0,,,K. Walker,202689.0,3.0,,,,,,,,
107,PT03M14.00S,2021-11-24T00:50:40.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612747,28,14,2021-11-24T00:50:40Z,990000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,out,[],203457,,,1610612747,28,14,2021-11-24T00:53:43Z,1000000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,out,[],202689,,,1610612747,28,14,2021-11-24T00:53:43Z,1010000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,out,[],1629659,,,1610612747,28,14,2021-11-24T00:53:43Z,1020000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,in,[],1630167,,,1610612747,28,14,2021-11-24T00:53:43Z,1030000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,in,[],202692,,,1610612747,28,14,2021-11-24T00:53:43Z,1040000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M14.00S,2021-11-24T00:50:40.1Z,1,REGULAR,substitution,in,[],201566,,,1610612747,28,14,2021-11-24T00:53:43Z,1050000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M05.00S,2021-11-24T00:54:17.2Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612747,28,14,2021-11-24T00:54:27Z,1060000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1629628, 201566]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Westbrook,201566.0
116,PT03M05.00S,2021-11-24T00:54:42.8Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612747,28,14,2021-11-24T00:54:42Z,1080000,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Missed,,,,,,,,,,,,,,,,,,
117,PT03M05.00S,2021-11-24T00:54:42.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,28,14,2021-11-24T00:54:42Z,1090000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,
118,PT03M05.00S,2021-11-24T00:55:02.4Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612747,28,15,2021-11-24T00:55:02Z,1100000,,,0,,R. Westbrook Free Throw 2 of 2 (4 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
119,PT02M41.00S,2021-11-24T00:55:27.8Z,1,REGULAR,3pt,Jump Shot,[],203095,68.54467805519053,77.45098039215686,1610612752,31,15,2021-11-24T00:55:31Z,1110000,137.0,243.0,1,right,E. Fournier 27' 3PT  (11 PTS) (J. Randle 3 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,27.93,Made,,,,,11.0,,,J. Randle,203944.0,3.0,,,,,,,,
121,PT02M26.00S,2021-11-24T00:55:43.1Z,1,REGULAR,3pt,Jump Shot,[],2546,29.6484888304862,72.54901960784314,1610612747,31,15,2021-11-24T00:55:48Z,1130000,-113.0,226.0,1,left,MISS C. Anthony 25' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
122,PT02M24.00S,2021-11-24T00:55:45.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,31,15,2021-11-24T00:55:48Z,1140000,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,121.0,3.0,3.0,0.0,,,,,,,,,,,,,,
123,PT02M13.00S,2021-11-24T00:55:55.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,93.24901445466492,51.470588235294116,1610612752,33,15,2021-11-24T00:56:00Z,1150000,7.0,11.0,1,right,O. Toppin alley-oop DUNK (2 PTS) (R. Barrett 1 AST),"[1630167, 1629628]",1610612752.0,NYK,alley-oop,,,Toppin,O. Toppin,,,,,1.33,Made,,,,,2.0,,,R. Barrett,1629628.0,1.0,,,,,,,,
125,PT01M44.00S,2021-11-24T00:56:24.0Z,1,REGULAR,2pt,Jump Shot,[],2546,16.376478318002626,79.16666666666666,1610612747,33,15,2021-11-24T00:56:36Z,1170000,-146.0,101.0,1,left,MISS C. Anthony 17' step back Shot,[2546],1610612747.0,LAL,step back,,,Anthony,C. Anthony,,,,,17.76,Missed,,,,,,,,,,,,,,,,,,
126,PT01M42.00S,2021-11-24T00:56:26.0Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,33,15,2021-11-24T00:56:29Z,1180000,,,0,,R. Barrett REBOUND (Off:0 Def:4),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,125.0,4.0,4.0,0.0,,,,,,,,,,,,,,
127,PT01M28.00S,2021-11-24T00:56:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630167,94.95729303547962,4.411764705882353,1610612752,33,15,2021-11-24T00:56:45Z,1190000,-228.0,-5.0,1,right,MISS O. Toppin 3PT,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
128,PT01M26.00S,2021-11-24T00:56:41.7Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,33,15,2021-11-24T00:56:45Z,1200000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,,
129,PT01M18.00S,2021-11-24T00:56:50.9Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,33,15,2021-11-24T00:56:54Z,1210000,,,0,,R. Westbrook bad pass TURNOVER (3 TO),"[201566, 202692]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,3.0,,,,Burks,202692.0,,,,,,
130,PT01M18.00S,2021-11-24T00:56:50.9Z,1,REGULAR,steal,,[],202692,,,1610612752,33,15,2021-11-24T00:56:52Z,1220000,,,0,,A. Burks STEAL (1 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M11.00S,2021-11-24T00:56:57.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,94.03745072273325,97.05882352941177,1610612752,36,15,2021-11-24T00:57:02Z,1230000,235.0,4.0,1,right,R. Barrett 3PT  (9 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.53,Made,,,,,9.0,,,E. Fournier,203095.0,1.0,,,,,,,,
133,PT00M49.70S,2021-11-24T00:57:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628370,32.013797634691194,46.81372549019608,1610612747,36,15,2021-11-24T00:57:25Z,1250000,16.0,248.0,1,left,MISS M. Monk 24' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
134,PT00M47.80S,2021-11-24T00:57:20.8Z,1,REGULAR,rebound,offensive,[],2546,,,1610612747,36,15,2021-11-24T00:57:25Z,1260000,,,0,,C. Anthony REBOUND (Off:1 Def:0),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,133.0,1.0,0.0,1.0,,,,,,,,,,,,,,
135,PT00M46.50S,2021-11-24T00:57:22.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],2546,16.770696452036795,77.20588235294117,1610612747,36,15,2021-11-24T00:57:28Z,1270000,-136.0,105.0,1,left,MISS C. Anthony 17' Jump Shot,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,17.19,Missed,,,,,,,,,,,,,,,,,,
136,PT00M45.00S,2021-11-24T00:57:24.4Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612747,36,15,2021-11-24T00:57:24Z,1280000,,,0,,M. Monk REBOUND (Off:1 Def:0),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,135.0,1.0,0.0,1.0,,,,,,,,,,,,,,
137,PT00M44.90S,2021-11-24T00:57:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628370,7.178055190538765,54.41176470588235,1610612747,36,17,2021-11-24T00:58:54Z,1290000,-22.0,15.0,1,left,M. Monk putback Layup (7 PTS),[1628370],1610612747.0,LAL,putback,,,Monk,M. Monk,,,,,2.67,Made,,,,,7.0,,,,,,,,,,,,,
138,PT00M44.90S,2021-11-24T00:57:29.8Z,1,REGULAR,foul,personal,['1freethrow'],203095,,,1610612747,36,17,2021-11-24T00:57:35Z,1300000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Monk 1 FT),"[203095, 1628370]",1610612752.0,NYK,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,1198.0,,,,,,,,,1.0,0.0,Monk,1628370.0
140,PT00M44.90S,2021-11-24T00:57:29.8Z,1,REGULAR,substitution,out,[],203095,,,1610612747,36,17,2021-11-24T00:57:42Z,1320000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M44.90S,2021-11-24T00:57:29.8Z,1,REGULAR,substitution,in,[],1630193,,,1610612747,36,17,2021-11-24T00:57:42Z,1330000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M44.90S,2021-11-24T00:57:56.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628370,,,1610612747,36,18,2021-11-24T00:57:56Z,1340000,,,0,,M. Monk Free Throw 1 of 1 (8 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
143,PT00M32.80S,2021-11-24T00:58:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630193,66.96780551905388,56.86274509803921,1610612752,36,18,2021-11-24T00:58:18Z,1350000,34.0,258.0,1,right,MISS I. Quickley 26' 3PT,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
144,PT00M30.70S,2021-11-24T00:58:12.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,36,18,2021-11-24T00:58:18Z,1360000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,143.0,2.0,2.0,0.0,,,,,,,,,,,,,,
145,PT00M24.70S,2021-11-24T00:58:20.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628370,6.915243101182654,49.50980392156863,1610612747,36,20,2021-11-24T00:59:37Z,1370000,2.0,13.0,1,left,M. Monk running DUNK (10 PTS) (R. Westbrook 1 AST),"[1628370, 201566]",1610612747.0,LAL,running,,,Monk,M. Monk,,,,,1.27,Made,,,,,10.0,,,R. Westbrook,201566.0,1.0,,,,,,,,
147,PT00M00.70S,2021-11-24T00:58:54.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,36,20,2021-11-24T00:59:03Z,1390000,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2021-11-24T00:59:16.1Z,1,REGULAR,period,end,[],0,,,1610612747,36,20,2021-11-24T00:59:16Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-11-24T01:02:19.8Z,2,REGULAR,substitution,out,['startperiod'],1629628,,,1610612747,36,20,2021-11-24T01:02:56Z,1410000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-11-24T01:02:19.8Z,2,REGULAR,substitution,in,['startperiod'],1629656,,,1610612747,36,20,2021-11-24T01:02:56Z,1420000,,,0,,SUB in: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-11-24T01:02:57.3Z,2,REGULAR,period,start,[],0,,,1610612747,36,20,2021-11-24T01:02:57Z,1430000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M47.00S,2021-11-24T01:03:09.7Z,2,REGULAR,3pt,Jump Shot,[],2546,30.56833114323259,35.294117647058826,1610612747,36,23,2021-11-24T01:03:13Z,1440000,74.0,235.0,1,left,C. Anthony 24' 3PT  (3 PTS) (R. Westbrook 2 AST),"[2546, 201566]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,24.6,Made,,,,,3.0,,,R. Westbrook,201566.0,2.0,,,,,,,,
154,PT11M31.00S,2021-11-24T01:03:24.6Z,2,REGULAR,2pt,Jump Shot,[],203944,81.553876478318,73.2843137254902,1610612752,38,23,2021-11-24T01:03:49Z,1460000,116.0,121.0,1,right,J. Randle 16' pullup Jump Shot (12 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,16.78,Made,,,,,12.0,,,,,,,,,,,,,
155,PT11M07.00S,2021-11-24T01:03:48.9Z,2,REGULAR,turnover,bad pass,[],201566,,,1610612747,38,23,2021-11-24T01:04:07Z,1470000,,,0,,R. Westbrook bad pass TURNOVER (4 TO),"[201566, 1630167]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,4.0,,,,Toppin,1630167.0,,,,,,
156,PT11M07.00S,2021-11-24T01:03:48.9Z,2,REGULAR,steal,,[],1630167,,,1610612752,38,23,2021-11-24T01:04:19Z,1480000,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,
157,PT10M50.00S,2021-11-24T01:04:06.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630167,94.82588699080158,50.98039215686274,1610612752,40,23,2021-11-24T01:04:09Z,1490000,5.0,-4.0,1,right,O. Toppin driving Layup (4 PTS) (I. Quickley 1 AST),"[1630167, 1630193]",1610612752.0,NYK,driving,,,Toppin,O. Toppin,,,,,0.63,Made,,,,,4.0,,,I. Quickley,1630193.0,1.0,,,,,,,,
159,PT10M33.00S,2021-11-24T01:04:28.1Z,2,REGULAR,foul,personal,['2freethrow'],1630193,,,1610612747,40,23,2021-11-24T01:04:39Z,1510000,,,0,,I. Quickley shooting personal FOUL (1 PF) (Anthony 2 FT),"[1630193, 2546]",1610612752.0,NYK,shooting,,,Quickley,I. Quickley,,,,,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Anthony,2546.0
161,PT10M33.00S,2021-11-24T01:04:58.5Z,2,REGULAR,freethrow,1 of 2,[],2546,,,1610612747,40,23,2021-11-24T01:04:58Z,1530000,,,0,,MISS C. Anthony Free Throw 1 of 2,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT10M33.00S,2021-11-24T01:04:58.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,40,23,2021-11-24T01:04:58Z,1540000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,
163,PT10M33.00S,2021-11-24T01:05:20.7Z,2,REGULAR,freethrow,2 of 2,[],2546,,,1610612747,40,24,2021-11-24T01:05:20Z,1550000,,,0,,C. Anthony Free Throw 2 of 2 (4 PTS),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
164,PT10M21.00S,2021-11-24T01:05:34.3Z,2,REGULAR,3pt,Jump Shot,[],202692,88.91261498028909,4.166666666666666,1610612752,40,24,2021-11-24T01:05:43Z,1560000,-229.0,52.0,1,right,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,23.5,Missed,,,,,,,,,,,,,,,,,,
165,PT10M19.00S,2021-11-24T01:05:36.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612747,40,24,2021-11-24T01:05:43Z,1570000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,
166,PT10M19.00S,2021-11-24T01:05:43.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,40,24,2021-11-24T01:05:43Z,1580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M08.00S,2021-11-24T01:05:58.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.57030223390276,48.20389093137255,1610612747,40,24,2021-11-24T01:06:09Z,1590000,9.0,9.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.29,Missed,,,,,,,,,,,,,,,,,,
168,PT10M06.00S,2021-11-24T01:06:00.4Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,40,24,2021-11-24T01:06:09Z,1600000,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,
169,PT10M02.00S,2021-11-24T01:06:04.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203944,73.01248357424441,18.872549019607842,1610612752,40,24,2021-11-24T01:06:14Z,1610000,-156.0,201.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
170,PT10M00.00S,2021-11-24T01:06:06.1Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,40,24,2021-11-24T01:06:14Z,1620000,,,0,,R. Westbrook REBOUND (Off:0 Def:3),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,169.0,3.0,3.0,0.0,,,,,,,,,,,,,,
171,PT09M56.00S,2021-11-24T01:06:17.2Z,2,REGULAR,foul,personal,[],1629656,,,1610612747,40,24,2021-11-24T01:06:26Z,1630000,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 201566]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Westbrook,201566.0
173,PT09M56.00S,2021-11-24T01:06:17.3Z,2,REGULAR,substitution,out,[],203944,,,1610612747,40,24,2021-11-24T01:06:34Z,1650000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,
174,PT09M56.00S,2021-11-24T01:06:17.3Z,2,REGULAR,substitution,in,[],203457,,,1610612747,40,24,2021-11-24T01:06:34Z,1660000,,,0,,SUB in: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
175,PT09M56.00S,2021-11-24T01:06:54.1Z,2,REGULAR,stoppage,blood rule,[],0,,,1610612747,40,24,2021-11-24T01:06:54Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT09M44.00S,2021-11-24T01:08:15.1Z,2,REGULAR,3pt,Jump Shot,[],2546,24.129434954007884,86.27450980392157,1610612747,40,24,2021-11-24T01:08:20Z,1680000,-181.0,174.0,1,left,MISS C. Anthony 25' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,
177,PT09M42.00S,2021-11-24T01:08:17.1Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,40,24,2021-11-24T01:08:20Z,1690000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,,,,
178,PT09M37.00S,2021-11-24T01:08:24.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,40,24,2021-11-24T01:08:24Z,1700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT09M27.00S,2021-11-24T01:08:49.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630167,95.3515111695138,56.372549019607845,1610612752,40,24,2021-11-24T01:08:55Z,1710000,32.0,-9.0,1,right,MISS O. Toppin driving floating Shot,[1630167],1610612752.0,NYK,driving floating,,,Toppin,O. Toppin,,,,,3.31,Missed,,,,,,,,,,,,,,,,,,
180,PT09M25.00S,2021-11-24T01:08:51.1Z,2,REGULAR,rebound,offensive,[],203457,,,1610612752,40,24,2021-11-24T01:08:55Z,1720000,,,0,,N. Noel REBOUND (Off:2 Def:0),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,179.0,2.0,0.0,2.0,,,,,,,,,,,,,,
