actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
200,PT08M53.00S,2021-10-21T00:22:29.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,34,45,2021-10-21T00:25:03Z,1960000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M53.00S,2021-10-21T00:22:29.7Z,2,REGULAR,substitution,out,[],1630579,,,1610612752,34,45,2021-10-21T00:25:54Z,1970000,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M53.00S,2021-10-21T00:22:29.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612752,34,45,2021-10-21T00:25:54Z,1980000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M53.00S,2021-10-21T00:22:29.7Z,2,REGULAR,substitution,in,[],1629011,,,1610612752,34,45,2021-10-21T00:25:54Z,1990000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M53.00S,2021-10-21T00:22:29.7Z,2,REGULAR,substitution,in,[],1629684,,,1610612752,34,45,2021-10-21T00:25:54Z,2000000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M44.00S,2021-10-21T00:26:08.5Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612752,34,45,2021-10-21T00:26:15Z,2010000,,,0,,J. Brown shooting personal FOUL (2 PF) (Rose 2 FT),"[1627759, 201565]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,1162.0,2.0,0.0,Rose,201565.0,,,,,,
207,PT08M44.00S,2021-10-21T00:26:39.5Z,2,REGULAR,freethrow,1 of 2,[],201565,,,1610612752,35,45,2021-10-21T00:26:39Z,2030000,,,0,,D. Rose Free Throw 1 of 2 (1 PTS),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
208,PT08M44.00S,2021-10-21T00:26:56.7Z,2,REGULAR,freethrow,2 of 2,[],201565,,,1610612752,36,45,2021-10-21T00:26:56Z,2040000,,,0,,D. Rose Free Throw 2 of 2 (2 PTS),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
209,PT08M29.00S,2021-10-21T00:27:16.0Z,2,REGULAR,turnover,traveling,[],1629641,,,1610612738,36,45,2021-10-21T00:27:21Z,2050000,,,0,,R. Langford traveling TURNOVER (2 TO),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,2.0,,,,,,,2530.0,,,,,,,,,,
210,PT08M10.00S,2021-10-21T00:27:45.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201565,6.652431011826544,46.32352941176471,1610612752,38,45,2021-10-21T00:28:05Z,2060000,18.0,10.0,1,left,D. Rose driving finger roll Layup (4 PTS) (I. Quickley 1 AST),"[201565, 1630193]",1610612752.0,NYK,driving finger roll,,,Rose,D. Rose,,,,,2.09,Made,4.0,,,,,,,,,,,,,,,I. Quickley,1630193.0,1.0,
212,PT08M00.00S,2021-10-21T00:27:55.3Z,2,REGULAR,3pt,Jump Shot,[],1627759,78.79434954007884,91.17647058823529,1610612738,38,48,2021-10-21T00:27:59Z,2080000,206.0,147.0,1,right,J. Brown 25' 3PT  (25 PTS) (G. Williams 3 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.29,Made,25.0,,,,,,,,,,,,,,,G. Williams,1629684.0,3.0,
214,PT07M49.00S,2021-10-21T00:28:07.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201565,6.783837056504599,55.392156862745104,1610612752,38,48,2021-10-21T00:37:14Z,2100000,-27.0,11.0,1,left,MISS D. Rose driving Layup,[201565],1610612752.0,NYK,driving,,,Rose,D. Rose,,,,,2.93,Missed,,,,,,,,,,,,,,,,,,,
216,PT07M47.00S,2021-10-21T00:28:09.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,38,48,2021-10-21T00:28:13Z,2120000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,214.0,3.0,3.0,0.0,,,,,,,,,,,
217,PT07M39.00S,2021-10-21T00:28:18.2Z,2,REGULAR,turnover,lost ball,[],1627759,,,1610612738,38,48,2021-10-21T00:28:21Z,2130000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1630193]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,1.0,Quickley,1630193.0,,,,,,,,,,,,,,,
218,PT07M39.00S,2021-10-21T00:28:18.2Z,2,REGULAR,steal,,[],1630193,,,1610612752,38,48,2021-10-21T00:28:19Z,2140000,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M35.00S,2021-10-21T00:28:22.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630193,31.09395532194481,30.637254901960787,1610612752,38,48,2021-10-21T00:28:28Z,2150000,97.0,240.0,1,left,MISS I. Quickley 25' pullup 3PT,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
220,PT07M33.00S,2021-10-21T00:28:24.0Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,38,48,2021-10-21T00:28:28Z,2160000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,219.0,2.0,2.0,0.0,,,,,,,,,,,
221,PT07M21.00S,2021-10-21T00:28:35.7Z,2,REGULAR,turnover,bad pass,[],1629641,,,1610612738,38,48,2021-10-21T00:28:39Z,2170000,,,0,,R. Langford bad pass TURNOVER (3 TO),"[1629641, 201565]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,3.0,Rose,201565.0,,,,,,,,,,,,,,,
222,PT07M21.00S,2021-10-21T00:28:35.7Z,2,REGULAR,steal,,[],201565,,,1610612752,38,48,2021-10-21T00:28:37Z,2180000,,,0,,D. Rose STEAL (2 STL),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M18.00S,2021-10-21T00:28:39.3Z,2,REGULAR,turnover,bad pass,[],201565,,,1610612752,38,48,2021-10-21T00:28:42Z,2190000,,,0,,D. Rose bad pass TURNOVER (2 TO),"[201565, 1629684]",1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,2.0,Williams,1629684.0,,,,,,,,,,,,,,,
224,PT07M18.00S,2021-10-21T00:28:39.3Z,2,REGULAR,steal,,[],1629684,,,1610612738,38,48,2021-10-21T00:28:41Z,2200000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M13.00S,2021-10-21T00:28:45.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,38,48,2021-10-21T00:28:45Z,2210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,out,[],1627759,,,1610612738,38,48,2021-10-21T00:28:55Z,2220000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,out,[],1629641,,,1610612738,38,48,2021-10-21T00:28:55Z,2230000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,in,[],1630174,,,1610612738,38,48,2021-10-21T00:28:55Z,2240000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,38,48,2021-10-21T00:28:55Z,2250000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,out,[],201565,,,1610612738,38,48,2021-10-21T00:29:07Z,2260000,,,0,,SUB out: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M13.00S,2021-10-21T00:28:45.9Z,2,REGULAR,substitution,in,[],202689,,,1610612738,38,48,2021-10-21T00:29:07Z,2270000,,,0,,SUB in: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M06.00S,2021-10-21T00:29:23.3Z,2,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612738,38,48,2021-10-21T00:29:31Z,2280000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629011, 1628369]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,,,,203177.0,1.0,1.0,Tatum,1628369.0,,,,,,
234,PT07M06.00S,2021-10-21T00:29:45.2Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,38,49,2021-10-21T00:29:45Z,2300000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
235,PT07M06.00S,2021-10-21T00:29:57.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,38,50,2021-10-21T00:29:57Z,2310000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
236,PT06M55.00S,2021-10-21T00:30:11.0Z,2,REGULAR,3pt,Jump Shot,[],202692,5.863994743758213,5.392156862745098,1610612752,38,50,2021-10-21T00:30:17Z,2320000,223.0,3.0,1,left,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,,
237,PT06M53.00S,2021-10-21T00:30:13.0Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,38,50,2021-10-21T00:30:17Z,2330000,,,0,,G. Williams REBOUND (Off:0 Def:4),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,236.0,4.0,4.0,0.0,,,,,,,,,,,
238,PT06M43.00S,2021-10-21T00:30:22.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,84.05059132720105,3.9215686274509802,1610612738,38,50,2021-10-21T00:30:26Z,2340000,-230.0,97.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,,
239,PT06M41.00S,2021-10-21T00:30:24.3Z,2,REGULAR,rebound,defensive,[],1629011,,,1610612752,38,50,2021-10-21T00:30:26Z,2350000,,,0,,M. Robinson REBOUND (Off:3 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,238.0,6.0,3.0,3.0,,,,,,,,,,,
240,PT06M19.00S,2021-10-21T00:30:47.0Z,2,REGULAR,turnover,bad pass,[],1630193,,,1610612752,38,50,2021-10-21T00:30:50Z,2360000,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 203935]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,,,,,
241,PT06M19.00S,2021-10-21T00:30:47.0Z,2,REGULAR,steal,,[],203935,,,1610612738,38,50,2021-10-21T00:30:48Z,2370000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M10.00S,2021-10-21T00:30:55.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,68.28186596583443,60.29411764705882,1610612738,38,50,2021-10-21T00:31:06Z,2380000,51.0,246.0,1,right,MISS A. Nesmith 25' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,,
243,PT06M08.00S,2021-10-21T00:30:57.3Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,38,50,2021-10-21T00:31:06Z,2390000,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,242.0,3.0,2.0,1.0,,,,,,,,,,,
244,PT06M02.00S,2021-10-21T00:31:03.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628369,85.3646517739816,5.147058823529411,1610612738,38,50,2021-10-21T00:31:09Z,2400000,-224.0,85.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,,
245,PT06M00.00S,2021-10-21T00:31:05.0Z,2,REGULAR,rebound,defensive,[],202689,,,1610612752,38,50,2021-10-21T00:31:09Z,2410000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,244.0,1.0,1.0,0.0,,,,,,,,,,,
246,PT05M52.00S,2021-10-21T00:31:16.8Z,2,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612752,38,50,2021-10-21T00:31:23Z,2420000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Walker 2 FT),"[1630202, 202689]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,203177.0,1.0,0.0,Walker,202689.0,,,,,,
249,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,out,[],1630167,,,1610612752,38,50,2021-10-21T00:31:49Z,2435000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,out,[],1630193,,,1610612752,38,50,2021-10-21T00:31:49Z,2437500,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612752,38,50,2021-10-21T00:31:49Z,2438750,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,in,[],203944,,,1610612752,38,50,2021-10-21T00:31:49Z,2439375,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,in,[],203095,,,1610612752,38,50,2021-10-21T00:31:49Z,2439687,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M52.00S,2021-10-21T00:31:28.4Z,2,REGULAR,substitution,in,[],203471,,,1610612752,38,50,2021-10-21T00:31:49Z,2439843,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M52.00S,2021-10-21T00:31:40.1Z,2,REGULAR,freethrow,1 of 2,[],202689,,,1610612752,39,50,2021-10-21T00:32:03Z,2440000,,,0,,K. Walker Free Throw 1 of 2 (4 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
255,PT05M52.00S,2021-10-21T00:31:40.1Z,2,REGULAR,freethrow,2 of 2,[],202689,,,1610612752,39,50,2021-10-21T00:32:03Z,2450000,,,0,,MISS K. Walker Free Throw 2 of 2,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
256,PT05M50.00S,2021-10-21T00:31:42.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,39,50,2021-10-21T00:32:03Z,2460000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,255.0,2.0,2.0,0.0,,,,,,,,,,,
257,PT05M42.00S,2021-10-21T00:32:11.8Z,2,REGULAR,2pt,Jump Shot,[],1630174,93.9060446780552,32.84313725490196,1610612738,39,50,2021-10-21T00:32:27Z,2470000,-86.0,5.0,1,right,MISS A. Nesmith 8' driving floating Shot,[1630174],1610612738.0,BOS,driving floating,,,Nesmith,A. Nesmith,,,,,8.59,Missed,,,,,,,,,,,,,,,,,,,
258,PT05M40.00S,2021-10-21T00:32:13.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,39,50,2021-10-21T00:32:27Z,2480000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,
259,PT05M40.00S,2021-10-21T00:32:20.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,39,50,2021-10-21T00:32:20Z,2490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M35.00S,2021-10-21T00:32:37.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,75.64060446780552,85.04901960784314,1610612738,39,50,2021-10-21T00:32:43Z,2500000,175.0,176.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
261,PT05M33.00S,2021-10-21T00:32:39.7Z,2,REGULAR,rebound,defensive,[],1629011,,,1610612752,39,50,2021-10-21T00:32:43Z,2510000,,,0,,M. Robinson REBOUND (Off:3 Def:4),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,260.0,7.0,4.0,3.0,,,,,,,,,,,
262,PT05M17.00S,2021-10-21T00:32:54.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203944,6.389618922470433,50.98039215686274,1610612752,41,50,2021-10-21T00:32:57Z,2520000,-5.0,8.0,1,left,J. Randle Layup (13 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,0.9,Made,13.0,,,,,,,,,,,,,,,,,,
263,PT05M06.00S,2021-10-21T00:33:05.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,76.5604467805519,12.254901960784313,1610612738,41,50,2021-10-21T00:33:09Z,2530000,-189.0,168.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
264,PT05M04.00S,2021-10-21T00:33:07.0Z,2,REGULAR,rebound,defensive,[],203095,,,1610612752,41,50,2021-10-21T00:33:09Z,2540000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,263.0,2.0,2.0,0.0,,,,,,,,,,,
265,PT04M52.00S,2021-10-21T00:33:19.4Z,2,REGULAR,3pt,Jump Shot,[],202692,13.748357424441524,2.941176470588235,1610612752,41,50,2021-10-21T00:33:25Z,2550000,235.0,77.0,1,left,MISS A. Burks 24' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
266,PT04M50.00S,2021-10-21T00:33:21.4Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,41,50,2021-10-21T00:33:25Z,2560000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,265.0,3.0,3.0,0.0,,,,,,,,,,,
267,PT04M45.00S,2021-10-21T00:33:27.2Z,2,REGULAR,turnover,bad pass,[],203935,,,1610612738,41,50,2021-10-21T00:33:30Z,2570000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 202692]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,1.0,Burks,202692.0,,,,,,,,,,,,,,,
268,PT04M45.00S,2021-10-21T00:33:27.2Z,2,REGULAR,steal,,[],202692,,,1610612752,41,50,2021-10-21T00:37:32Z,2580000,,,0,,A. Burks STEAL (1 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT04M36.00S,2021-10-21T00:33:35.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203944,5.995400788436268,51.470588235294116,1610612752,43,50,2021-10-21T00:33:40Z,2590000,-7.0,4.0,1,left,J. Randle driving Layup (15 PTS),[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,0.84,Made,15.0,,,,,,,,,,,,,,,,,,
270,PT04M36.00S,2021-10-21T00:33:40.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,43,50,2021-10-21T00:33:40Z,2600000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT04M36.00S,2021-10-21T00:33:40.8Z,2,REGULAR,substitution,out,[],202692,,,1610612738,43,50,2021-10-21T00:36:52Z,2610000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT04M36.00S,2021-10-21T00:33:40.8Z,2,REGULAR,substitution,in,[],1629628,,,1610612738,43,50,2021-10-21T00:36:52Z,2620000,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT04M23.00S,2021-10-21T00:37:21.4Z,2,REGULAR,2pt,Jump Shot,[],1628369,78.26872536136662,69.6078431372549,1610612738,43,50,2021-10-21T00:38:16Z,2630000,98.0,152.0,1,right,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,18.07,Missed,,,,,,,,,,,,,,,,,,,
274,PT04M22.00S,2021-10-21T00:37:22.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,43,50,2021-10-21T00:37:28Z,2640000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,273.0,,,,,,,,,,,,,,
275,PT04M22.00S,2021-10-21T00:37:26.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,43,50,2021-10-21T00:37:26Z,2650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT04M17.00S,2021-10-21T00:37:50.6Z,2,REGULAR,turnover,offensive-kicked-ball,[],1629684,,,1610612738,43,50,2021-10-21T00:37:58Z,2660000,,,0,,G. Williams offensive-kicked-ball TURNOVER (2 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,2.0,,,,,,,,,,,,,,,,,
277,PT04M01.00S,2021-10-21T00:38:20.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203944,8.360709592641262,26.715686274509803,1610612752,45,50,2021-10-21T00:38:24Z,2670000,116.0,26.0,1,left,J. Randle 11' turnaround fadeaway Jump Shot (17 PTS),[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,11.93,Made,17.0,,,,,,,,,,,,,,,,,,
278,PT03M50.00S,2021-10-21T00:38:31.6Z,2,REGULAR,3pt,Jump Shot,[],1629684,68.28186596583443,37.00980392156863,1610612738,45,50,2021-10-21T00:38:36Z,2680000,-65.0,246.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
279,PT03M48.00S,2021-10-21T00:38:33.6Z,2,REGULAR,rebound,defensive,[],202689,,,1610612752,45,50,2021-10-21T00:38:36Z,2690000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,278.0,2.0,2.0,0.0,,,,,,,,,,,
280,PT03M42.00S,2021-10-21T00:38:40.1Z,2,REGULAR,3pt,Jump Shot,[],203944,31.750985545335087,51.225490196078425,1610612752,48,50,2021-10-21T00:39:25Z,2700000,-6.0,246.0,1,left,J. Randle 24' 3PT pullup (20 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,24.61,Made,20.0,,,,,,,,,,,,,,,K. Walker,202689.0,1.0,
282,PT03M23.00S,2021-10-21T00:39:17.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203471,92.72339027595268,59.55882352941176,1610612738,48,50,2021-10-21T00:39:23Z,2720000,48.0,16.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,5.04,Missed,,,,,,,,,,,,,,,,,,,
283,PT03M21.00S,2021-10-21T00:39:19.6Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,48,50,2021-10-21T00:39:23Z,2730000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,282.0,3.0,3.0,0.0,,,,,,,,,,,
284,PT03M20.00S,2021-10-21T00:39:22.4Z,2,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,48,50,2021-10-21T00:39:28Z,2740000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (3 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,3.0,,,,,,,203177.0,,,,,,,,,,
285,PT03M20.00S,2021-10-21T00:39:22.5Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,48,50,2021-10-21T00:39:37Z,2750000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M20.00S,2021-10-21T00:39:22.5Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,48,50,2021-10-21T00:39:37Z,2760000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
