actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
96,PT06M13.00S,2022-02-27T18:27:12.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,17,20,2022-02-27T18:27:15Z,920000,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,95.0,2.0,2.0,0.0,,,,,,,,,
97,PT06M02.00S,2022-02-27T18:27:40.9Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,17,20,2022-02-27T18:27:48Z,930000,,,0,,J. Embiid lost ball out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,lost ball,,,,,,202058.0,,,Embiid,J. Embiid,,,,,,,,,,1.0,,,,,,,,
98,PT05M49.00S,2022-02-27T18:28:04.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203954,,,1610612752,17,20,2022-02-27T18:28:10Z,940000,,,0,,J. Embiid shooting personal FOUL (2 PF) (Fournier 2 FT),"[203954, 203095]",1610612755.0,PHI,shooting,,,,,,201245.0,2.0,0.0,Embiid,J. Embiid,Fournier,203095.0,,,,,,,,,,,,,,,,
102,PT05M49.00S,2022-02-27T18:28:18.1Z,1,REGULAR,substitution,out,[],201935,,,1610612752,17,20,2022-02-27T18:28:39Z,955000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
103,PT05M49.00S,2022-02-27T18:28:18.1Z,1,REGULAR,substitution,out,[],202699,,,1610612752,17,20,2022-02-27T18:28:39Z,957500,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
104,PT05M49.00S,2022-02-27T18:28:18.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612752,17,20,2022-02-27T18:28:39Z,958750,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,
105,PT05M49.00S,2022-02-27T18:28:18.1Z,1,REGULAR,substitution,in,[],1627788,,,1610612752,17,20,2022-02-27T18:28:39Z,959375,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,
100,PT05M49.00S,2022-02-27T18:28:31.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203095,,,1610612752,17,20,2022-02-27T18:28:57Z,960000,,,0,,MISS E. Fournier Free Throw 1 of 2,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Missed,,,,,,,,,,,,,,,
101,PT05M49.00S,2022-02-27T18:28:31.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,17,20,2022-02-27T18:28:57Z,970000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,
106,PT05M49.00S,2022-02-27T18:28:31.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203095,,,1610612752,17,20,2022-02-27T18:28:57Z,980000,,,0,,MISS E. Fournier Free Throw 2 of 2,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Missed,,,,,,,,,,,,,,,
107,PT05M47.00S,2022-02-27T18:28:33.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,20,2022-02-27T18:28:57Z,990000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,106.0,2.0,2.0,0.0,,,,,,,,,
108,PT05M33.00S,2022-02-27T18:29:12.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630579,,,1610612755,17,20,2022-02-27T18:29:18Z,1000000,,,0,,J. Sims shooting personal FOUL (2 PF) (Embiid 2 FT),"[1630579, 203954]",1610612752.0,NYK,shooting,,,,,,201245.0,2.0,0.0,Sims,J. Sims,Embiid,203954.0,,,,,,,,,,,,,,,,
111,PT05M33.00S,2022-02-27T18:29:23.5Z,1,REGULAR,substitution,out,[],1629628,,,1610612755,17,20,2022-02-27T18:29:42Z,1015000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
112,PT05M33.00S,2022-02-27T18:29:23.5Z,1,REGULAR,substitution,in,[],1630193,,,1610612755,17,20,2022-02-27T18:29:42Z,1017500,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
110,PT05M33.00S,2022-02-27T18:29:34.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,17,21,2022-02-27T18:29:34Z,1020000,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,9.0,,,,,,,,,,,,,,
113,PT05M33.00S,2022-02-27T18:29:57.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,17,22,2022-02-27T18:29:57Z,1030000,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,10.0,,,,,,,,,,,,,,
114,PT05M19.00S,2022-02-27T18:30:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,82.47371879106439,59.068627450980394,1610612752,17,22,2022-02-27T18:30:26Z,1040000,45.0,112.0,1,right,MISS I. Quickley 12' turnaround Shot,[1630193],1610612752.0,NYK,turnaround,,,,,,,,,Quickley,I. Quickley,,,Missed,,12.1,,,,,,,,,,,,,
115,PT05M17.00S,2022-02-27T18:30:18.4Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,17,22,2022-02-27T18:30:26Z,1050000,,,0,,J. Sims REBOUND (Off:1 Def:2),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,114.0,3.0,2.0,1.0,,,,,,,,,
116,PT05M12.00S,2022-02-27T18:30:22.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630579,94.69448094612353,52.450980392156865,1610612752,17,22,2022-02-27T18:30:28Z,1060000,12.0,-3.0,1,right,MISS J. Sims Layup,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,Missed,,1.26,,,,,,,,,,,,,
117,PT05M10.00S,2022-02-27T18:30:25.3Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,17,22,2022-02-27T18:30:25Z,1070000,,,0,,J. Sims REBOUND (Off:2 Def:2),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,116.0,4.0,2.0,2.0,,,,,,,,,
118,PT05M04.00S,2022-02-27T18:30:31.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203944,79.84559789750328,73.2843137254902,1610612752,19,22,2022-02-27T18:30:35Z,1080000,116.0,137.0,1,right,J. Randle 17' step back Jump Shot (5 PTS),[203944],1610612752.0,NYK,step back,,,,,,,,,Randle,J. Randle,,,Made,5.0,17.98,,,,,,,,,,,,,
119,PT04M47.00S,2022-02-27T18:30:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.1268068331143235,51.9607843137255,1610612755,19,22,2022-02-27T18:30:51Z,1090000,-10.0,5.0,1,left,MISS J. Embiid Layup - blocked,"[203954, 1630579]",1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Missed,,1.1,,,,,,,,,,,Sims,1630579.0,
120,PT04M47.00S,2022-02-27T18:30:47.4Z,1,REGULAR,block,,[],1630579,,,1610612755,19,22,2022-02-27T18:30:49Z,1100000,,,0,,J. Sims BLOCK (1 BLK),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
121,PT04M45.00S,2022-02-27T18:30:49.4Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,19,22,2022-02-27T18:30:51Z,1110000,,,0,,J. Sims REBOUND (Off:2 Def:3),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,119.0,5.0,3.0,2.0,,,,,,,,,
122,PT04M41.00S,2022-02-27T18:30:54.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202692,74.06373193166885,17.892156862745097,1610612752,19,22,2022-02-27T18:31:01Z,1120000,-161.0,191.0,1,right,MISS A. Burks 24' 3PT,[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,Missed,,24.97,,,,,,,,,,,,,
123,PT04M39.00S,2022-02-27T18:30:56.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,19,22,2022-02-27T18:31:01Z,1130000,,,0,,T. Maxey REBOUND (Off:0 Def:3),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,122.0,3.0,3.0,0.0,,,,,,,,,
124,PT04M29.00S,2022-02-27T18:31:07.1Z,1,REGULAR,2pt,Jump Shot,[],1630178,21.107095926412615,48.77450980392157,1610612755,19,22,2022-02-27T18:32:51Z,1140000,6.0,146.0,1,left,MISS T. Maxey 14' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,,,,,,,Maxey,T. Maxey,,,Missed,,14.6,,,,,,,,,,,,,
125,PT04M27.00S,2022-02-27T18:31:09.1Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,19,22,2022-02-27T18:31:14Z,1150000,,,0,,J. Sims REBOUND (Off:2 Def:4),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,124.0,6.0,4.0,2.0,,,,,,,,,
126,PT04M18.00S,2022-02-27T18:31:16.5Z,1,REGULAR,3pt,Jump Shot,[],1630193,68.41327201051249,67.15686274509804,1610612752,19,22,2022-02-27T18:31:20Z,1160000,86.0,244.0,1,right,MISS I. Quickley 25' 3PT,[1630193],1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,Missed,,25.9,,,,,,,,,,,,,
127,PT04M16.00S,2022-02-27T18:31:18.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,19,22,2022-02-27T18:31:20Z,1170000,,,0,,T. Maxey REBOUND (Off:0 Def:4),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,126.0,4.0,4.0,0.0,,,,,,,,,
128,PT04M04.00S,2022-02-27T18:31:31.5Z,1,REGULAR,turnover,bad pass,[],1627788,,,1610612755,19,22,2022-02-27T18:31:35Z,1180000,,,0,,F. Korkmaz bad pass TURNOVER (1 TO),"[1627788, 1630579]",1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,1.0,,,,Sims,1630579.0,,,
129,PT04M04.00S,2022-02-27T18:31:31.5Z,1,REGULAR,steal,,[],1630579,,,1610612752,19,22,2022-02-27T18:31:33Z,1190000,,,0,,J. Sims STEAL (1 STL),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
130,PT04M03.00S,2022-02-27T18:31:36.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627777,,,1610612752,19,22,2022-02-27T18:31:42Z,1200000,,,0,,G. Niang personal FOUL (1 PF) (Randle 2 FT),"[1627777, 203944]",1610612755.0,PHI,,,,,,,200834.0,1.0,0.0,Niang,G. Niang,Randle,203944.0,,,,,,,,,,,,,,,,
134,PT04M03.00S,2022-02-27T18:31:57.5Z,1,REGULAR,substitution,out,[],1629680,,,1610612752,19,22,2022-02-27T18:32:27Z,1215000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
135,PT04M03.00S,2022-02-27T18:31:57.5Z,1,REGULAR,substitution,in,[],201980,,,1610612752,19,22,2022-02-27T18:32:27Z,1217500,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
132,PT04M03.00S,2022-02-27T18:32:19.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203944,,,1610612752,19,22,2022-02-27T18:32:19Z,1220000,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Missed,,,,,,,,,,,,,,,
133,PT04M03.00S,2022-02-27T18:32:19.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,19,22,2022-02-27T18:32:19Z,1230000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,
136,PT04M03.00S,2022-02-27T18:32:42.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203944,,,1610612752,20,22,2022-02-27T18:32:42Z,1240000,,,0,,J. Randle Free Throw 2 of 2 (6 PTS),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Made,6.0,,,,,,,,,,,,,,
137,PT03M42.00S,2022-02-27T18:33:04.1Z,1,REGULAR,3pt,Jump Shot,[],201980,19.530223390275953,7.352941176470589,1610612755,20,22,2022-02-27T18:33:10Z,1250000,213.0,131.0,1,left,MISS D. Green 25' step back 3PT,[201980],1610612755.0,PHI,step back,,,,,,,,,Green,D. Green,,,Missed,,25.03,,,,,,,,,,,,,
138,PT03M40.00S,2022-02-27T18:33:06.1Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,20,22,2022-02-27T18:33:10Z,1260000,,,0,,J. Sims REBOUND (Off:2 Def:5),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,137.0,7.0,5.0,2.0,,,,,,,,,
139,PT03M36.00S,2022-02-27T18:33:12.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627777,,,1610612752,20,22,2022-02-27T18:33:18Z,1270000,,,0,,G. Niang shooting personal FOUL (2 PF) (Randle 2 FT),"[1627777, 203944]",1610612755.0,PHI,shooting,,,,,,201245.0,2.0,0.0,Niang,G. Niang,Randle,203944.0,,,,,,,,,,,,,,,,
141,PT03M36.00S,2022-02-27T18:33:42.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203944,,,1610612752,21,22,2022-02-27T18:34:11Z,1290000,,,0,,J. Randle Free Throw 1 of 2 (7 PTS),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Made,7.0,,,,,,,,,,,,,,
142,PT03M36.00S,2022-02-27T18:33:42.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203944,,,1610612752,21,22,2022-02-27T18:34:11Z,1300000,,,0,,MISS J. Randle Free Throw 2 of 2,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Missed,,,,,,,,,,,,,,,
143,PT03M34.00S,2022-02-27T18:33:44.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,21,22,2022-02-27T18:34:11Z,1310000,,,0,,T. Maxey REBOUND (Off:0 Def:5),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,142.0,5.0,5.0,0.0,,,,,,,,,
144,PT03M12.00S,2022-02-27T18:34:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,11.251642575558476,60.29411764705882,1610612755,21,24,2022-02-27T18:34:33Z,1320000,-51.0,53.0,1,left,T. Maxey 7' driving floating Jump Shot (7 PTS),[1630178],1610612755.0,PHI,driving floating,,,,,,,,,Maxey,T. Maxey,,,Made,7.0,7.41,,,,,,,,,,,,,
145,PT03M03.00S,2022-02-27T18:34:38.7Z,1,REGULAR,3pt,Jump Shot,[],203095,95.6143232588699,2.696078431372549,1610612752,21,24,2022-02-27T18:34:44Z,1330000,-237.0,-11.0,1,right,MISS E. Fournier step back 3PT,[203095],1610612752.0,NYK,step back,,,,,,,,,Fournier,E. Fournier,,,Missed,,23.68,,,,,,,,,,,,,
146,PT03M01.00S,2022-02-27T18:34:40.7Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,21,24,2022-02-27T18:34:44Z,1340000,,,0,,T. Maxey REBOUND (Off:0 Def:6),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,145.0,6.0,6.0,0.0,,,,,,,,,
147,PT02M56.00S,2022-02-27T18:34:46.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627777,29.25427069645204,71.56862745098039,1610612755,21,27,2022-02-27T18:34:52Z,1350000,-108.0,222.0,1,left,G. Niang 24' 3PT pullup (3 PTS) (J. Embiid 1 AST),"[1627777, 203954]",1610612755.0,PHI,pullup,,,,,,,,,Niang,G. Niang,,,Made,3.0,24.72,,,,,,J. Embiid,203954.0,1.0,,,,,
149,PT02M41.00S,2022-02-27T18:35:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630193,69.99014454664915,68.38235294117648,1610612752,24,27,2022-02-27T18:35:09Z,1370000,92.0,230.0,1,right,I. Quickley 24' 3PT pullup (3 PTS),[1630193],1610612752.0,NYK,pullup,,,,,,,,,Quickley,I. Quickley,,,Made,3.0,24.73,,,,,,,,,,,,,
150,PT02M41.00S,2022-02-27T18:35:09.6Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630178,,,1610612752,24,27,2022-02-27T18:35:15Z,1380000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Quickley 1 FT),"[1630178, 1630193]",1610612755.0,PHI,shooting,,,,,,201245.0,1.0,0.0,Maxey,T. Maxey,Quickley,1630193.0,,,,,,,,,,,,,,,,
152,PT02M41.00S,2022-02-27T18:35:18.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,24,27,2022-02-27T18:35:18Z,1400000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,out,[],202692,,,1610612752,24,27,2022-02-27T18:38:06Z,1410000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,
154,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,out,[],203944,,,1610612752,24,27,2022-02-27T18:38:06Z,1420000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,
155,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,out,[],203954,,,1610612752,24,27,2022-02-27T18:38:06Z,1430000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,
156,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,out,[],1630178,,,1610612752,24,27,2022-02-27T18:38:06Z,1440000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
157,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,in,[],1629628,,,1610612752,24,27,2022-02-27T18:38:06Z,1450000,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
158,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,in,[],1630167,,,1610612752,24,27,2022-02-27T18:38:06Z,1460000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,
159,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,in,[],201935,,,1610612752,24,27,2022-02-27T18:38:06Z,1470000,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
160,PT02M41.00S,2022-02-27T18:35:18.2Z,1,REGULAR,substitution,in,[],200794,,,1610612752,24,27,2022-02-27T18:38:06Z,1480000,,,0,,SUB in: P. Millsap,[200794],1610612755.0,PHI,,,,,,,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,
161,PT02M41.00S,2022-02-27T18:38:48.6Z,1,REGULAR,freethrow,1 of 1,[],1630193,,,1610612752,25,27,2022-02-27T18:38:48Z,1490000,,,0,,I. Quickley Free Throw 1 of 1 (4 PTS),[1630193],1610612752.0,NYK,,,,,,,,,,Quickley,I. Quickley,,,Made,4.0,,,,,,,,,,,,,,
162,PT02M22.00S,2022-02-27T18:39:09.1Z,1,REGULAR,3pt,Jump Shot,[],1627777,30.56833114323259,64.4607843137255,1610612755,25,30,2022-02-27T18:39:14Z,1500000,-72.0,235.0,1,left,G. Niang 24' 3PT  (6 PTS) (J. Harden 4 AST),"[1627777, 201935]",1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,Made,6.0,24.57,,,,,,J. Harden,201935.0,4.0,,,,,
164,PT02M06.00S,2022-02-27T18:39:27.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200794,,,1610612752,25,30,2022-02-27T18:39:42Z,1520000,,,0,,P. Millsap shooting personal FOUL (1 PF) (Barrett 2 FT),"[200794, 1629628]",1610612755.0,PHI,shooting,,,,,,202058.0,1.0,0.0,Millsap,P. Millsap,Barrett,1629628.0,,,,,,,,,,,,,,,,
166,PT02M06.00S,2022-02-27T18:39:49.9Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,25,30,2022-02-27T18:39:49Z,1540000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,
167,PT02M06.00S,2022-02-27T18:39:49.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,25,30,2022-02-27T18:39:49Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,
168,PT02M06.00S,2022-02-27T18:40:03.6Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,26,30,2022-02-27T18:40:03Z,1560000,,,0,,R. Barrett Free Throw 2 of 2 (3 PTS),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Made,3.0,,,,,,,,,,,,,,
169,PT01M58.00S,2022-02-27T18:40:15.9Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612755,26,30,2022-02-27T18:40:23Z,1570000,,,0,,J. Harden lost ball out-of-bounds TURNOVER (1 TO),[201935],1610612755.0,PHI,lost ball,,,,,,202058.0,,,Harden,J. Harden,,,,,,,,,,1.0,,,,,,,,
170,PT01M44.00S,2022-02-27T18:40:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629628,92.59198423127464,46.81372549019608,1610612752,26,30,2022-02-27T18:40:40Z,1580000,-16.0,17.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Missed,,2.33,,,,,,,,,,,,,
171,PT01M42.00S,2022-02-27T18:40:36.3Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,26,30,2022-02-27T18:40:36Z,1590000,,,0,,J. Sims REBOUND (Off:3 Def:5),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,170.0,8.0,5.0,3.0,,,,,,,,,
172,PT01M41.00S,2022-02-27T18:40:37.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203095,70.12155059132719,71.32352941176471,1610612752,29,30,2022-02-27T18:40:42Z,1600000,107.0,228.0,1,right,E. Fournier 25' 3PT  (8 PTS) (J. Sims 2 AST),"[203095, 1630579]",1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Made,8.0,25.21,,,,,,J. Sims,1630579.0,2.0,,,,,
174,PT01M23.00S,2022-02-27T18:40:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200794,8.886333771353483,44.36274509803921,1610612755,29,30,2022-02-27T18:41:01Z,1620000,28.0,31.0,1,left,MISS P. Millsap driving Layup,[200794],1610612755.0,PHI,driving,,,,,,,,,Millsap,P. Millsap,,,Missed,,4.19,,,,,,,,,,,,,
175,PT01M21.00S,2022-02-27T18:40:57.1Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,29,30,2022-02-27T18:42:42Z,1630000,,,0,,J. Sims REBOUND (Off:3 Def:6),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,174.0,9.0,6.0,3.0,,,,,,,,,
176,PT01M18.00S,2022-02-27T18:41:00.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629628,94.95729303547962,49.50980392156863,1610612752,31,30,2022-02-27T18:43:17Z,1640000,-2.0,-5.0,1,right,R. Barrett running DUNK (5 PTS) (I. Quickley 1 AST),"[1629628, 1630193]",1610612752.0,NYK,running,,,,,,,,,Barrett,R. Barrett,,,Made,5.0,0.57,,,,,,I. Quickley,1630193.0,1.0,,,,,
178,PT01M03.00S,2022-02-27T18:41:14.8Z,1,REGULAR,3pt,Jump Shot,[],201935,28.991458607095925,25.0,1610612755,31,33,2022-02-27T18:41:19Z,1660000,125.0,220.0,1,left,J. Harden 25' 3PT step back (8 PTS),[201935],1610612755.0,PHI,step back,,,,,,,,,Harden,J. Harden,,,Made,8.0,25.3,,,,,,,,,,,,,
179,PT00M44.80S,2022-02-27T18:41:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.59198423127464,50.98039215686274,1610612752,31,33,2022-02-27T18:41:38Z,1670000,5.0,17.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Missed,,1.78,,,,,,,,,,,,,
180,PT00M44.60S,2022-02-27T18:41:34.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,31,33,2022-02-27T18:41:38Z,1680000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,
181,PT00M44.60S,2022-02-27T18:41:37.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,31,33,2022-02-27T18:41:37Z,1690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT00M44.60S,2022-02-27T18:41:37.1Z,1,REGULAR,substitution,out,[],1627777,,,1610612752,31,33,2022-02-27T18:41:45Z,1700000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,
183,PT00M44.60S,2022-02-27T18:41:37.1Z,1,REGULAR,substitution,in,[],202699,,,1610612752,31,33,2022-02-27T18:41:45Z,1710000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
