actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
433,PT05M03.00S,2025-03-20T01:37:40.5Z,3,REGULAR,substitution,out,[],1627824,,,1610612755,88,66,2025-03-20T01:37:55Z,4300000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
434,PT05M03.00S,2025-03-20T01:37:40.5Z,3,REGULAR,substitution,in,[],1641741,,,1610612755,88,66,2025-03-20T01:37:55Z,4310000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT05M03.00S,2025-03-20T01:37:40.5Z,3,REGULAR,substitution,in,[],1642024,,,1610612755,88,66,2025-03-20T01:37:55Z,4320000,False,,,0,,SUB in: A. Reese,[1642024],1610612755.0,PHI,,,,Reese,A. Reese,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT05M03.00S,2025-03-20T01:38:05.4Z,3,REGULAR,freethrow,2 of 2,[],1629656,,,1610612755,88,67,2025-03-20T01:38:05Z,4330000,False,,,0,,Q. Grimes Free Throw 2 of 2 (18 PTS),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,Made,18.0,,,,,,,,,,,,,,,,,
437,PT04M46.00S,2025-03-20T01:38:25.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,93.64323258869908,52.69607843137255,1610612760,90,67,2025-03-20T01:38:29Z,4340000,False,13.0,7.0,1,right,K. Williams driving Layup (10 PTS) (J. Williams 6 AST),"[1629026, 1631119]",1610612760.0,OKC,driving,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,1.53,Made,10.0,J. Williams,1631119.0,6.0,,,,,,,,,,,,,,
439,PT04M38.00S,2025-03-20T01:38:36.1Z,3,REGULAR,foul,personal,[],1629026,,,1610612755,90,67,2025-03-20T01:38:51Z,4360000,False,,,0,,K. Williams personal FOUL (1 PF),"[1629026, 1641720]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204058.0,,1.0,0.0,Hood-Schifino,1641720.0,,,,
441,PT04M24.00S,2025-03-20T01:39:11.9Z,3,REGULAR,3pt,Jump Shot,[],1642024,9.674770039421814,3.6764705882352944,1610612755,90,67,2025-03-20T01:39:18Z,4380000,False,232.0,38.0,1,left,MISS A. Reese 3PT,[1642024],1610612755.0,PHI,,,,Reese,A. Reese,,,,,Right Corner 3,24+ Right,23.48,Missed,,,,,,,,,,,,,,,,,,
442,PT04M19.00S,2025-03-20T01:39:16.9Z,3,REGULAR,rebound,defensive,[],1630198,,,1610612760,90,67,2025-03-20T01:39:18Z,4390000,False,,,0,,I. Joe REBOUND (Off:0 Def:3),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Right Corner 3,24+ Right,,,,,,,441.0,3.0,3.0,0.0,,,,,,,,,,
443,PT04M04.00S,2025-03-20T01:39:31.5Z,3,REGULAR,3pt,Jump Shot,[],1641794,96.40275952693824,2.941176470588235,1610612760,90,67,2025-03-20T01:39:36Z,4400000,False,-235.0,-19.0,1,right,MISS D. Jones 3PT,[1641794],1610612760.0,OKC,,,,Jones,D. Jones,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
444,PT04M00.00S,2025-03-20T01:39:35.5Z,3,REGULAR,rebound,defensive,[],1642024,,,1610612755,90,67,2025-03-20T01:39:36Z,4410000,False,,,0,,A. Reese REBOUND (Off:0 Def:1),[1642024],1610612755.0,PHI,,,,Reese,A. Reese,,,,,Left Corner 3,24+ Left,,,,,,,443.0,1.0,1.0,0.0,,,,,,,,,,
