actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
82,PT06M14.00S,2025-02-04T01:22:28.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1641753,,,1610612749,22,14,2025-02-04T01:22:28Z,820000,False,,,0,,C. Livingston Free Throw 1 of 1 (5 PTS),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2025-02-04T01:22:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,8.360709592641262,47.05882352941176,1610612760,24,14,2025-02-04T01:22:52Z,830000,False,15.0,26.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (13 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.0,Made,13.0,,,,,,,,,,,,,,,,,
84,PT05M39.00S,2025-02-04T01:23:08.0Z,1,REGULAR,foul,offensive,[],1641753,,,1610612749,24,14,2025-02-04T01:23:14Z,840000,False,,,0,,C. Livingston offensive FOUL (1 PF),"[1641753, 1629652]",1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Dort,1629652.0
86,PT05M39.00S,2025-02-04T01:23:08.0Z,1,REGULAR,turnover,offensive foul,[],1641753,,,1610612749,24,14,2025-02-04T01:23:08Z,860000,False,,,0,,C. Livingston offensive foul TURNOVER (2 TO),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,,,2714.0,,,,
87,PT05M39.00S,2025-02-04T01:23:12.9Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,24,14,2025-02-04T01:23:18Z,870000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M39.00S,2025-02-04T01:23:12.9Z,1,REGULAR,substitution,out,[],1628392,,,1610612760,24,14,2025-02-04T01:23:18Z,880000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M39.00S,2025-02-04T01:23:12.9Z,1,REGULAR,substitution,in,[],1631119,,,1610612760,24,14,2025-02-04T01:23:18Z,890000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2025-02-04T01:23:12.9Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,24,14,2025-02-04T01:23:18Z,900000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M25.00S,2025-02-04T01:23:49.0Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,24,14,2025-02-04T01:23:52Z,910000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1641753]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Livingston,1641753.0,,,,,
92,PT05M25.00S,2025-02-04T01:23:49.0Z,1,REGULAR,steal,,[],1641753,,,1610612749,24,14,2025-02-04T01:23:50Z,920000,False,,,0,,C. Livingston STEAL (1 STL),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
93,PT05M19.00S,2025-02-04T01:23:55.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629018,69.99014454664915,74.75490196078431,1610612749,24,17,2025-02-04T01:24:27Z,930000,False,124.0,230.0,1,right,G. Trent Jr. 26' 3PT step back (3 PTS),[1629018],1610612749.0,MIL,step back,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,26.08,Made,3.0,,,,,,,,,,,,,,,,,
94,PT05M00.00S,2025-02-04T01:24:13.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628983,6.1268068331143235,49.50980392156863,1610612760,26,17,2025-02-04T01:24:18Z,940000,False,2.0,5.0,1,left,S. Gilgeous-Alexander driving DUNK (15 PTS) (I. Joe 1 AST),"[1628983, 1630198]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.57,Made,15.0,,I. Joe,1630198.0,1.0,,,,,,,,,,,,,
96,PT04M50.00S,2025-02-04T01:24:22.9Z,1,REGULAR,2pt,Jump Shot,[],1631157,78.79434954007884,42.64705882352941,1610612749,26,17,2025-02-04T01:24:27Z,960000,False,-37.0,147.0,1,right,MISS R. Rollins 15' pullup Shot,[1631157],1610612749.0,MIL,pullup,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Center,15.13,Missed,,,,,,,,,,,,,,,,,,
97,PT04M48.00S,2025-02-04T01:24:24.9Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,26,17,2025-02-04T01:24:27Z,970000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Center,,,,96.0,,,,1.0,1.0,0.0,,,,,,,,,,
98,PT04M41.00S,2025-02-04T01:24:32.9Z,1,REGULAR,2pt,Jump Shot,[],1629652,20.71287779237845,52.20588235294118,1610612760,28,17,2025-02-04T01:24:36Z,980000,False,-11.0,142.0,1,left,L. Dort 14' step back Jump Shot (7 PTS),[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Mid-Range,8-16 Center,14.26,Made,7.0,,,,,,,,,,,,,,,,,
99,PT04M14.00S,2025-02-04T01:24:58.8Z,1,REGULAR,2pt,Jump Shot,[],1631260,81.42247043363994,22.30392156862745,1610612749,28,17,2025-02-04T01:25:02Z,990000,False,-138.0,122.0,1,right,MISS A. Green 18' pullup Shot,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Mid-Range,16-24 Left Center,18.46,Missed,,,,,,,,,,,,,,,,,,
100,PT04M12.00S,2025-02-04T01:25:00.8Z,1,REGULAR,rebound,defensive,[],1631172,,,1610612760,28,17,2025-02-04T01:25:02Z,1000000,False,,,0,,O. Dieng REBOUND (Off:0 Def:1),[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Mid-Range,16-24 Left Center,,,,99.0,,,,1.0,1.0,0.0,,,,,,,,,,
101,PT04M06.00S,2025-02-04T01:25:06.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1631172,7.835085413929041,52.20588235294118,1610612760,28,17,2025-02-04T01:26:00Z,1010000,False,-11.0,21.0,1,left,MISS O. Dieng driving floating Shot,[1631172],1610612760.0,OKC,driving floating,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
102,PT04M05.00S,2025-02-04T01:25:07.9Z,1,REGULAR,rebound,offensive,[],1631172,,,1610612760,28,17,2025-02-04T01:26:00Z,1020000,False,,,0,,O. Dieng REBOUND (Off:1 Def:1),[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,,,,101.0,,,,2.0,1.0,1.0,,,,,,,,,,
103,PT04M04.00S,2025-02-04T01:25:09.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630198,28.33442838370565,24.754901960784316,1610612760,28,17,2025-02-04T01:25:17Z,1030000,False,126.0,214.0,1,left,MISS I. Joe 24' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,24.83,Missed,,,,,,,,,,,,,,,,,,
104,PT03M59.00S,2025-02-04T01:25:14.9Z,1,REGULAR,rebound,defensive,[],1641753,,,1610612749,28,17,2025-02-04T01:25:17Z,1040000,False,,,0,,C. Livingston REBOUND (Off:1 Def:2),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Above the Break 3,24+ Right Center,,,,103.0,,,,3.0,2.0,1.0,,,,,,,,,,
105,PT03M51.00S,2025-02-04T01:25:22.3Z,1,REGULAR,2pt,Jump Shot,[],1629018,78.26872536136662,32.1078431372549,1610612749,28,19,2025-02-04T01:26:25Z,1050000,False,-89.0,152.0,1,right,G. Trent Jr. 17' step back Jump Shot (5 PTS),[1629018],1610612749.0,MIL,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,17.62,Made,5.0,,,,,,,,,,,,,,,,,
106,PT03M35.00S,2025-02-04T01:25:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.206964520367937,47.549019607843135,1610612760,30,19,2025-02-04T01:55:45Z,1060000,False,12.0,-4.0,1,left,S. Gilgeous-Alexander driving reverse Layup (17 PTS),[1628983],1610612760.0,OKC,driving reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.28,Made,17.0,,,,,,,,,,,,,,,,,
107,PT03M13.00S,2025-02-04T01:25:59.7Z,1,REGULAR,2pt,Jump Shot,[],1629018,71.43561103810775,43.13725490196079,1610612749,30,19,2025-02-04T01:26:47Z,1070000,False,-34.0,216.0,1,right,MISS G. Trent Jr. 21' step back Shot,[1629018],1610612749.0,MIL,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Center,21.87,Missed,,,,,,,,,,,,,,,,,,
108,PT03M12.00S,2025-02-04T01:26:00.7Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,30,19,2025-02-04T01:26:03Z,1080000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Center,,,,107.0,,,,2.0,2.0,0.0,,,,,,,,,,
109,PT02M56.00S,2025-02-04T01:26:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.206964520367937,47.30392156862745,1610612760,32,19,2025-02-04T01:27:05Z,1090000,False,13.0,-4.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (19 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.4,Made,19.0,,,,,,,,,,,,,,,,,
110,PT02M42.00S,2025-02-04T01:26:33.8Z,1,REGULAR,turnover,out-of-bounds,[],1631260,,,1610612749,32,19,2025-02-04T01:26:41Z,1100000,False,,,0,,A. Green bad pass out-of-bounds TURNOVER (1 TO),[1631260],1610612749.0,MIL,bad pass,,,Green,A. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,202901.0,,,,
111,PT02M42.00S,2025-02-04T01:26:38.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,32,19,2025-02-04T01:26:38Z,1110000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,32,19,2025-02-04T01:29:16Z,1120000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,out,[],1641753,,,1610612760,32,19,2025-02-04T01:29:16Z,1130000,False,,,0,,SUB out: C. Livingston,[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,out,[],1627752,,,1610612760,32,19,2025-02-04T01:29:16Z,1140000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,out,[],1631157,,,1610612760,32,19,2025-02-04T01:29:16Z,1150000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,in,[],1641794,,,1610612760,32,19,2025-02-04T01:29:16Z,1160000,False,,,0,,SUB in: D. Jones,[1641794],1610612760.0,OKC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,in,[],1641890,,,1610612760,32,19,2025-02-04T01:29:16Z,1170000,False,,,0,,SUB in: T. Smith,[1641890],1610612749.0,MIL,,,,Smith,T. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,in,[],1642358,,,1610612760,32,19,2025-02-04T01:29:16Z,1180000,False,,,0,,SUB in: A. Johnson,[1642358],1610612749.0,MIL,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M42.00S,2025-02-04T01:26:43.7Z,1,REGULAR,substitution,in,[],1626192,,,1610612760,32,19,2025-02-04T01:29:16Z,1190000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M31.00S,2025-02-04T01:29:38.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,30.305519053876477,24.509803921568626,1610612760,35,19,2025-02-04T01:29:44Z,1200000,False,127.0,232.0,1,left,I. Joe 26' 3PT  (3 PTS) (D. Jones 1 AST),"[1630198, 1641794]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,26.51,Made,3.0,,D. Jones,1641794.0,1.0,,,,,,,,,,,,,
122,PT02M13.00S,2025-02-04T01:29:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,92.9862023653088,55.88235294117647,1610612749,35,19,2025-02-04T01:30:20Z,1220000,False,29.0,13.0,1,right,MISS P. Connaughton driving finger roll Layup,[1626192],1610612749.0,MIL,driving finger roll,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
123,PT02M12.00S,2025-02-04T01:29:56.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,35,19,2025-02-04T01:29:58Z,1230000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,122.0,,,,1.0,1.0,0.0,,,,,,,,,,
124,PT02M07.00S,2025-02-04T01:30:01.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631172,7.30946123521682,49.754901960784316,1610612760,37,19,2025-02-04T01:30:45Z,1240000,False,1.0,16.0,1,left,O. Dieng running finger roll Layup (2 PTS) (S. Gilgeous-Alexander 2 AST),"[1631172, 1628983]",1610612760.0,OKC,running finger roll,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,1.62,Made,2.0,,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,
126,PT01M59.00S,2025-02-04T01:30:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,93.38042049934296,56.86274509803921,1610612749,37,19,2025-02-04T01:30:16Z,1260000,False,34.0,10.0,1,right,MISS A. Johnson driving Layup - blocked,"[1642358, 1631119]",1610612749.0,MIL,driving,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,3.56,Missed,,,,,,,,,Williams,1631119.0,,,,,,,,
127,PT01M59.00S,2025-02-04T01:30:10.5Z,1,REGULAR,block,,[],1631119,,,1610612749,37,19,2025-02-04T01:30:12Z,1270000,False,,,0,,J. Williams BLOCK (1 BLK),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
128,PT01M59.00S,2025-02-04T01:30:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,37,19,2025-02-04T01:30:16Z,1280000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,126.0,,,,,,,,,,,,,,,,
130,PT01M57.00S,2025-02-04T01:30:27.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631260,97.7168199737188,96.81372549019608,1610612749,37,19,2025-02-04T01:30:41Z,1300000,False,234.0,-31.0,1,right,MISS A. Green 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Right Corner 3,24+ Right,23.61,Missed,,,,,,,,,,,,,,,,,,
131,PT01M55.00S,2025-02-04T01:30:29.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,37,19,2025-02-04T01:34:04Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Right Corner 3,24+ Right,,,,130.0,,,,,,,,,,,,,,,,
132,PT01M55.00S,2025-02-04T01:30:37.1Z,1,REGULAR,foul,personal,[],1630198,,,1610612749,37,19,2025-02-04T01:33:59Z,1320000,False,,,0,,I. Joe loose ball personal FOUL (1 PF),"[1630198, 1631260]",1610612760.0,OKC,loose ball,,,Joe,I. Joe,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,1628172.0,1.0,0.0,Green,1631260.0
134,PT01M42.00S,2025-02-04T01:30:57.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641890,87.86136662286465,94.85294117647058,1610612749,37,19,2025-02-04T01:31:02Z,1340000,False,224.0,62.0,1,right,MISS T. Smith 3PT,[1641890],1610612749.0,MIL,,,,Smith,T. Smith,,,,,Right Corner 3,24+ Right,23.26,Missed,,,,,,,,,,,,,,,,,,
135,PT01M39.00S,2025-02-04T01:31:00.5Z,1,REGULAR,rebound,defensive,[],1631172,,,1610612760,37,19,2025-02-04T01:31:02Z,1350000,False,,,0,,O. Dieng REBOUND (Off:1 Def:2),[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Right Corner 3,24+ Right,,,,134.0,,,,3.0,2.0,1.0,,,,,,,,,,
136,PT01M32.00S,2025-02-04T01:31:07.6Z,1,REGULAR,2pt,Jump Shot,[],1628983,24.26084099868594,41.66666666666667,1610612760,39,19,2025-02-04T01:31:12Z,1360000,False,42.0,176.0,1,left,S. Gilgeous-Alexander 18' step back Jump Shot (21 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Center,18.05,Made,21.0,,,,,,,,,,,,,,,,,
137,PT01M09.00S,2025-02-04T01:31:31.1Z,1,REGULAR,3pt,Jump Shot,[],1641890,87.86136662286465,3.431372549019608,1610612749,39,22,2025-02-04T01:31:34Z,1370000,False,-233.0,62.0,1,right,T. Smith 24' 3PT  (3 PTS) (A. Johnson 1 AST),"[1641890, 1642358]",1610612749.0,MIL,,,,Smith,T. Smith,,,,,Left Corner 3,24+ Left,24.08,Made,3.0,,A. Johnson,1642358.0,1.0,,,,,,,,,,,,,
139,PT00M51.00S,2025-02-04T01:31:48.2Z,1,REGULAR,3pt,Jump Shot,[],1631119,15.325229960578188,3.1862745098039214,1610612760,39,22,2025-02-04T01:31:53Z,1390000,False,234.0,92.0,1,left,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right,25.14,Missed,,,,,,,,,,,,,,,,,,
140,PT00M48.50S,2025-02-04T01:31:50.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,39,22,2025-02-04T01:31:53Z,1400000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right,,,,139.0,,,,1.0,1.0,0.0,,,,,,,,,,
141,PT00M41.60S,2025-02-04T01:31:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,92.06636005256242,51.470588235294116,1610612749,39,22,2025-02-04T01:33:28Z,1410000,False,7.0,22.0,1,right,MISS G. Trent Jr. driving Layup,[1629018],1610612749.0,MIL,driving,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
142,PT00M39.80S,2025-02-04T01:32:00.5Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,39,22,2025-02-04T01:32:00Z,1420000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,141.0,,,,2.0,2.0,0.0,,,,,,,,,,
144,PT00M31.70S,2025-02-04T01:32:12.4Z,1,REGULAR,substitution,out,[],1631172,,,1610612760,39,22,2025-02-04T01:32:20Z,1440000,False,,,0,,SUB out: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M31.70S,2025-02-04T01:32:12.4Z,1,REGULAR,substitution,out,[],1631260,,,1610612760,39,22,2025-02-04T01:32:20Z,1450000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M31.70S,2025-02-04T01:32:12.4Z,1,REGULAR,substitution,in,[],1642505,,,1610612760,39,22,2025-02-04T01:32:20Z,1460000,False,,,0,,SUB in: A. Ducas,[1642505],1610612760.0,OKC,,,,Ducas,A. Ducas,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M31.70S,2025-02-04T01:32:12.4Z,1,REGULAR,substitution,in,[],1641748,,,1610612760,39,22,2025-02-04T01:32:20Z,1470000,False,,,0,,SUB in: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M25.00S,2025-02-04T01:32:34.6Z,1,REGULAR,2pt,Jump Shot,[],1630198,25.443495400788436,70.83333333333334,1610612760,39,22,2025-02-04T01:34:08Z,1480000,False,-104.0,187.0,1,left,MISS I. Joe 21' step back Shot,[1630198],1610612760.0,OKC,step back,,,Joe,I. Joe,,,,,Mid-Range,16-24 Left Center,21.38,Missed,,,,,,,,,,,,,,,,,,
149,PT00M20.80S,2025-02-04T01:32:38.8Z,1,REGULAR,rebound,offensive,[],1642505,,,1610612760,39,22,2025-02-04T01:32:42Z,1490000,False,,,0,,A. Ducas REBOUND (Off:1 Def:0),[1642505],1610612760.0,OKC,,,,Ducas,A. Ducas,,,,,Mid-Range,16-24 Left Center,,,,148.0,,,,1.0,0.0,1.0,,,,,,,,,,
150,PT00M20.80S,2025-02-04T01:32:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642505,5.590000152587891,50.0,1610612760,39,22,2025-02-04T01:32:38Z,1500000,False,0.0,0.0,1,left,MISS A. Ducas tip Layup,[1642505],1610612760.0,OKC,tip,,,Ducas,A. Ducas,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
151,PT00M19.90S,2025-02-04T01:32:39.8Z,1,REGULAR,rebound,defensive,[],1641748,,,1610612749,39,22,2025-02-04T01:32:39Z,1510000,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:1),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,8-16 Left,,,,150.0,,,,2.0,1.0,1.0,,,,,,,,,,
153,PT00M05.00S,2025-02-04T01:32:56.6Z,1,REGULAR,3pt,Jump Shot,[],1641890,96.40275952693824,94.36274509803921,1610612749,39,22,2025-02-04T01:35:58Z,1530000,False,222.0,-19.0,1,right,MISS T. Smith 3PT,[1641890],1610612749.0,MIL,,,,Smith,T. Smith,,,,,Right Corner 3,24+ Right,22.26,Missed,,,,,,,,,,,,,,,,,,
154,PT00M04.70S,2025-02-04T01:32:56.9Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,39,22,2025-02-04T01:35:58Z,1540000,False,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Right Corner 3,24+ Right,,,,153.0,,,,1.0,0.0,1.0,,,,,,,,,,
155,PT00M00.30S,2025-02-04T01:32:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641890,91.5407358738502,51.71568627450981,1610612749,39,22,2025-02-04T01:33:43Z,1550000,False,9.0,27.0,1,right,MISS T. Smith Layup,[1641890],1610612749.0,MIL,,,,Smith,T. Smith,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
156,PT00M00.10S,2025-02-04T01:32:59.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,39,22,2025-02-04T01:36:30Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,155.0,,,,,,,,,,,,,,,,
157,PT00M00.00S,2025-02-04T01:33:22.9Z,1,REGULAR,period,end,[],0,,,1610612749,39,22,2025-02-04T01:36:30Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-02-04T01:33:26.5Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612749,39,22,2025-02-04T01:36:30Z,1580000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-02-04T01:33:26.5Z,2,REGULAR,substitution,out,['startperiod'],1631119,,,1610612749,39,22,2025-02-04T01:36:30Z,1590000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-02-04T01:33:26.5Z,2,REGULAR,substitution,out,['startperiod'],1642505,,,1610612749,39,22,2025-02-04T01:36:30Z,1600000,False,,,0,,SUB out: A. Ducas,[1642505],1610612760.0,OKC,,,,Ducas,A. Ducas,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-02-04T01:33:26.5Z,2,REGULAR,substitution,in,['startperiod'],1628392,,,1610612749,39,22,2025-02-04T01:36:30Z,1610000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
