actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
81,PT05M33.00S,2025-03-04T01:23:21.0Z,1,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,14,17,2025-03-04T01:24:40Z,815000,False,,,0,,MISS J. Williams Free Throw 1 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
82,PT05M33.00S,2025-03-04T01:23:21.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,14,17,2025-03-04T01:24:40Z,822500,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,
107,PT05M33.00S,2025-03-04T01:23:39.8Z,1,REGULAR,substitution,out,[],1628392,,,1610612760,14,17,2025-03-04T01:26:32Z,824375,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT05M33.00S,2025-03-04T01:23:39.8Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,14,17,2025-03-04T01:26:32Z,825312,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT05M33.00S,2025-03-04T01:23:39.8Z,1,REGULAR,substitution,out,[],1642263,,,1610612760,14,17,2025-03-04T01:27:15Z,825781,False,,,0,,SUB out: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT05M33.00S,2025-03-04T01:23:39.8Z,1,REGULAR,substitution,in,[],1628988,,,1610612760,14,17,2025-03-04T01:27:15Z,826015,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M33.00S,2025-03-04T01:23:21.0Z,1,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,14,17,2025-03-04T01:24:40Z,826250,False,,,0,,MISS J. Williams Free Throw 2 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
88,PT05M32.00S,2025-03-04T01:23:22.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,14,17,2025-03-04T01:24:40Z,828125,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,87.0,,,,,,1.0,1.0,0.0,,
89,PT05M19.00S,2025-03-04T01:23:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641715,15.374507227332458,51.04166666666667,1610612745,14,17,2025-03-04T01:24:24Z,865000,False,-5.0,92.0,1,left,MISS C. Whitmore 9' pullup Shot,[1641715],1610612745.0,HOU,pullup,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Missed,,,9.21,,,,,,,,
90,PT05M18.00S,2025-03-04T01:23:59.6Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612745,14,17,2025-03-04T01:24:24Z,867500,False,,,0,,C. Whitmore REBOUND (Off:3 Def:0),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,89.0,,,,,,3.0,0.0,3.0,,
91,PT05M16.00S,2025-03-04T01:24:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641715,7.227332457293031,54.32751225490196,1610612745,14,19,2025-03-04T01:24:56Z,910000,False,-22.0,15.0,1,left,C. Whitmore putback Layup (6 PTS),[1641715],1610612745.0,HOU,putback,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,6.0,2.65,,,,,,,,
92,PT05M06.00S,2025-03-04T01:24:11.4Z,1,REGULAR,foul,personal,['2freethrow'],1628988,,,1610612760,14,19,2025-03-04T01:25:24Z,920000,False,,,0,,A. Holiday shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1628988, 1628983]",1610612745.0,HOU,shooting,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,202901.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
94,PT05M06.00S,2025-03-04T01:24:37.1Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,15,19,2025-03-04T01:24:37Z,940000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (7 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,Made,,7.0,,,,,,,,,
95,PT05M06.00S,2025-03-04T01:24:37.7Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,15,19,2025-03-04T01:24:46Z,950000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M06.00S,2025-03-04T01:24:37.7Z,1,REGULAR,substitution,out,[],1629111,,,1610612760,15,19,2025-03-04T01:24:46Z,960000,False,,,0,,SUB out: J. Landale,[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M06.00S,2025-03-04T01:24:37.7Z,1,REGULAR,substitution,in,[],1641717,,,1610612760,15,19,2025-03-04T01:24:46Z,970000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M06.00S,2025-03-04T01:24:37.7Z,1,REGULAR,substitution,in,[],201145,,,1610612760,15,19,2025-03-04T01:24:46Z,980000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M06.00S,2025-03-04T01:24:58.6Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,16,19,2025-03-04T01:24:58Z,990000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,Made,,8.0,,,,,,,,,
100,PT04M50.00S,2025-03-04T01:25:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,6.176084099868589,45.385263480392155,1610612745,16,21,2025-03-04T01:25:45Z,1000000,False,23.0,6.0,1,left,J. Smith Jr. cutting Layup (4 PTS) (A. Holiday 1 AST),"[1631095, 1628988]",1610612745.0,HOU,cutting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,4.0,2.38,A. Holiday,1628988.0,1.0,,,,,
102,PT04M38.00S,2025-03-04T01:25:29.7Z,1,REGULAR,3pt,Jump Shot,[],1628983,70.77858081471747,21.323529411764707,1610612760,16,21,2025-03-04T01:26:04Z,1020000,False,-143.0,222.0,1,right,MISS S. Gilgeous-Alexander 26' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,26.45,,,,,,,,
103,PT04M36.00S,2025-03-04T01:25:31.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,21,2025-03-04T01:26:04Z,1030000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,102.0,,,,,,3.0,3.0,0.0,,
104,PT04M27.00S,2025-03-04T01:25:39.8Z,1,REGULAR,3pt,Jump Shot,[],1628988,28.56438896189225,10.049019607843135,1610612745,16,24,2025-03-04T01:26:19Z,1040000,False,200.0,216.0,1,left,A. Holiday 29' 3PT  (3 PTS) (J. Green 2 AST),"[1628988, 1630224]",1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,,3.0,29.42,J. Green,1630224.0,2.0,,,,,
106,PT04M26.00S,2025-03-04T01:25:45.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,16,24,2025-03-04T01:25:45Z,1060000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M26.00S,2025-03-04T01:25:48.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,16,24,2025-03-04T01:28:22Z,1070000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M26.00S,2025-03-04T01:25:48.7Z,1,REGULAR,substitution,in,[],1631119,,,1610612760,16,24,2025-03-04T01:28:22Z,1080000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M14.00S,2025-03-04T01:28:53.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,74.90144546649145,11.741727941176478,1610612760,16,24,2025-03-04T01:29:14Z,1090000,False,-191.0,183.0,1,right,MISS A. Caruso 26' 3PT,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,26.5,,,,,,,,
114,PT04M12.00S,2025-03-04T01:28:55.3Z,1,REGULAR,rebound,defensive,[],201145,,,1610612745,16,24,2025-03-04T01:29:14Z,1100000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,113.0,,,,,,1.0,1.0,0.0,,
115,PT04M03.00S,2025-03-04T01:29:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,8.672798948751648,44.56188725490197,1610612745,16,24,2025-03-04T01:29:56Z,1110000,False,27.0,29.0,1,left,MISS J. Smith Jr. Layup,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,,3.98,,,,,,,,
116,PT04M02.00S,2025-03-04T01:29:06.6Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,16,24,2025-03-04T01:29:56Z,1120000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,115.0,,,,,,2.0,1.0,1.0,,
117,PT04M01.00S,2025-03-04T01:29:08.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631095,7.490144546649148,44.95251225490197,1610612745,16,24,2025-03-04T01:30:13Z,1130000,False,25.0,18.0,1,left,MISS J. Smith Jr. tip Layup,[1631095],1610612745.0,HOU,tip,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,,3.09,,,,,,,,
118,PT03M58.00S,2025-03-04T01:29:11.4Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612760,16,24,2025-03-04T01:30:13Z,1140000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,117.0,,,,,,1.0,1.0,0.0,,
119,PT03M50.00S,2025-03-04T01:29:17.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,90.67017082785809,74.97702205882354,1610612760,16,24,2025-03-04T01:30:59Z,1150000,False,125.0,35.0,1,right,MISS S. Gilgeous-Alexander 12' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,Missed,,,12.98,,,,,,,,
120,PT03M48.00S,2025-03-04T01:29:19.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,24,2025-03-04T01:30:49Z,1160000,False,,,0,,J. Green REBOUND (Off:0 Def:4),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,119.0,,,,,,4.0,4.0,0.0,,
121,PT03M33.00S,2025-03-04T01:29:34.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,31.461481603153743,75.9842218137255,1610612745,16,24,2025-03-04T01:31:18Z,1170000,False,-130.0,243.0,1,left,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,27.57,,,,,,,,
122,PT03M31.00S,2025-03-04T01:29:36.3Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612760,16,24,2025-03-04T01:31:18Z,1180000,False,,,0,,A. Caruso REBOUND (Off:0 Def:2),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,121.0,,,,,,2.0,2.0,0.0,,
123,PT03M25.00S,2025-03-04T01:29:43.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628983,90.80157687253613,58.16099877450981,1610612760,16,24,2025-03-04T01:31:50Z,1190000,False,41.0,34.0,1,right,MISS S. Gilgeous-Alexander running Layup,[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,,5.31,,,,,,,,
124,PT03M23.00S,2025-03-04T01:29:45.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,24,2025-03-04T01:31:50Z,1200000,False,,,0,,J. Green REBOUND (Off:0 Def:5),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,123.0,,,,,,5.0,5.0,0.0,,
125,PT03M19.00S,2025-03-04T01:29:48.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1641715,11.169513797634693,45.423560049019606,1610612745,16,24,2025-03-04T01:32:17Z,1210000,False,23.0,52.0,1,left,MISS C. Whitmore running DUNK,[1641715],1610612745.0,HOU,running,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,,5.73,,,,,,,,
126,PT03M17.00S,2025-03-04T01:29:50.9Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612760,16,24,2025-03-04T01:32:17Z,1220000,False,,,0,,A. Caruso REBOUND (Off:0 Def:3),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,125.0,,,,,,3.0,3.0,0.0,,
127,PT03M13.00S,2025-03-04T01:29:53.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628983,72.48685939553219,18.872549019607842,1610612760,19,24,2025-03-04T01:32:38Z,1230000,False,-156.0,206.0,1,right,S. Gilgeous-Alexander 25' 3PT running (11 PTS) (A. Caruso 1 AST),"[1628983, 1627936]",1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,,11.0,25.82,A. Caruso,1627936.0,1.0,,,,,
129,PT02M49.00S,2025-03-04T01:30:17.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,29.172141918528254,83.31035539215686,1610612745,19,27,2025-03-04T01:33:12Z,1250000,False,-167.0,222.0,1,left,J. Green 27' 3PT step back (6 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,,6.0,27.73,,,,,,,,
130,PT02M40.00S,2025-03-04T01:30:33.9Z,1,REGULAR,foul,personal,[],1641715,,,1610612760,19,27,2025-03-04T01:33:09Z,1260000,False,,,0,,C. Whitmore personal FOUL (1 PF),"[1641715, 1628983]",1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Mid-Range,16-24 Left Center,,,,2530.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
132,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,out,[],1630224,,,1610612760,19,27,2025-03-04T01:30:46Z,1280000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,out,[],1641715,,,1610612760,19,27,2025-03-04T01:30:46Z,1290000,False,,,0,,SUB out: C. Whitmore,[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,out,[],1631095,,,1610612760,19,27,2025-03-04T01:30:46Z,1300000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,in,[],1631466,,,1610612760,19,27,2025-03-04T01:30:46Z,1310000,False,,,0,,SUB in: N. Williams,[1631466],1610612745.0,HOU,,,,Williams,N. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,in,[],1642263,,,1610612760,19,27,2025-03-04T01:30:46Z,1320000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M40.00S,2025-03-04T01:30:37.6Z,1,REGULAR,substitution,in,[],1630256,,,1610612760,19,27,2025-03-04T01:30:46Z,1330000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M26.00S,2025-03-04T01:31:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,86.99080157687254,39.928002450980394,1610612760,19,27,2025-03-04T01:33:46Z,1340000,False,-50.0,70.0,1,right,MISS S. Gilgeous-Alexander 8' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,Missed,,,8.61,,,,,,,,
139,PT02M25.00S,2025-03-04T01:31:06.9Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,19,27,2025-03-04T01:33:46Z,1350000,False,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,138.0,,,,,,1.0,1.0,0.0,,
140,PT02M13.00S,2025-03-04T01:31:19.2Z,1,REGULAR,turnover,lost ball,[],1631466,,,1610612745,19,27,2025-03-04T01:34:24Z,1360000,False,,,0,,N. Williams lost ball TURNOVER (1 TO),"[1631466, 1627936]",1610612745.0,HOU,,,,Williams,N. Williams,,,,,Mid-Range,8-16 Right,1.0,Caruso,1627936.0,,,,,,,,,,,,,,,,,
141,PT02M13.00S,2025-03-04T01:31:19.2Z,1,REGULAR,steal,,[],1627936,,,1610612760,19,27,2025-03-04T01:31:21Z,1370000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
142,PT02M06.00S,2025-03-04T01:31:26.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628983,90.53876478318003,41.3985906862745,1610612760,21,27,2025-03-04T01:35:01Z,1380000,False,-43.0,36.0,1,right,S. Gilgeous-Alexander running Layup (13 PTS),[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,13.0,5.63,,,,,,,,
143,PT01M51.00S,2025-03-04T01:31:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628988,13.87976346911958,60.5392156862745,1610612745,21,29,2025-03-04T01:35:15Z,1390000,False,-53.0,78.0,1,left,A. Holiday 9' pullup Jump Shot (5 PTS) (R. Sheppard 1 AST),"[1628988, 1642263]",1610612745.0,HOU,pullup,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,Made,,5.0,9.41,R. Sheppard,1642263.0,1.0,,,,,
145,PT01M40.00S,2025-03-04T01:31:53.1Z,1,REGULAR,violation,kicked ball,[],201145,,,1610612760,21,29,2025-03-04T01:31:59Z,1410000,False,,,0,,J. Green kicked ball VIOLATION,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,2530.0,,,,,,,,,,,,,,,,
146,PT01M40.00S,2025-03-04T01:31:56.4Z,1,REGULAR,substitution,out,[],1627936,,,1610612760,21,29,2025-03-04T01:32:00Z,1420000,False,,,0,,SUB out: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M40.00S,2025-03-04T01:31:56.4Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,21,29,2025-03-04T01:32:00Z,1430000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M31.00S,2025-03-04T01:32:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630598,85.0197109067017,3.653492647058826,1610612760,21,29,2025-03-04T01:35:50Z,1440000,False,-232.0,88.0,1,right,MISS A. Wiggins 24' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,,24.8,,,,,,,,
149,PT01M29.00S,2025-03-04T01:32:17.7Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,21,29,2025-03-04T01:35:50Z,1450000,False,,,0,,K. Williams REBOUND (Off:1 Def:0),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,148.0,,,,,,1.0,0.0,1.0,,
150,PT01M28.00S,2025-03-04T01:32:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629026,92.11563731931669,44.584865196078425,1610612760,23,29,2025-03-04T01:36:05Z,1460000,False,-27.0,22.0,1,right,K. Williams putback Layup (2 PTS),[1629026],1610612760.0,OKC,putback,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,2.0,3.47,,,,,,,,
151,PT01M17.00S,2025-03-04T01:32:31.1Z,1,REGULAR,3pt,Jump Shot,[],1628988,8.623521681997373,95.58823529411765,1610612745,23,29,2025-03-04T01:36:24Z,1470000,False,-228.0,29.0,1,left,MISS A. Holiday 3PT,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,,22.97,,,,,,,,
152,PT01M15.00S,2025-03-04T01:32:33.1Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,23,29,2025-03-04T01:36:24Z,1480000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,,,,,151.0,,,,,,1.0,1.0,0.0,,
153,PT01M07.00S,2025-03-04T01:32:41.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630256,,,1610612760,23,29,2025-03-04T01:36:35Z,1490000,False,,,0,,J. Tate shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630256, 1628983]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,Mid-Range,8-16 Left,,,,202901.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
155,PT01M07.00S,2025-03-04T01:33:03.9Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,24,29,2025-03-04T01:33:03Z,1510000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (14 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,Made,,14.0,,,,,,,,,
156,PT01M07.00S,2025-03-04T01:33:17.6Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,25,29,2025-03-04T01:33:17Z,1520000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (15 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,Made,,15.0,,,,,,,,,
157,PT00M53.60S,2025-03-04T01:33:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630256,26.67542706964521,85.76133578431373,1610612745,25,29,2025-03-04T01:36:58Z,1530000,False,-179.0,198.0,1,left,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,26.69,,,,,,,,
158,PT00M51.30S,2025-03-04T01:33:37.8Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,25,29,2025-03-04T01:36:58Z,1540000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,157.0,,,,,,1.0,1.0,0.0,,
159,PT00M44.30S,2025-03-04T01:33:44.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628983,91.59001314060447,53.5922181372549,1610612760,27,29,2025-03-04T01:37:29Z,1550000,False,18.0,27.0,1,right,S. Gilgeous-Alexander running finger roll Layup (17 PTS),[1628983],1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,17.0,3.21,,,,,,,,
160,PT00M37.70S,2025-03-04T01:33:54.4Z,1,REGULAR,foul,personal,[],1629026,,,1610612745,27,29,2025-03-04T01:37:43Z,1560000,False,,,0,,K. Williams personal FOUL (1 PF),"[1629026, 1628988]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,16-24 Right Center,,,,203593.0,1.0,0.0,Holiday,1628988.0,,,,,,,,,,,,
162,PT00M34.20S,2025-03-04T01:34:15.5Z,1,REGULAR,3pt,Jump Shot,[],1631466,23.761908672798953,8.800551470588232,1610612745,27,29,2025-03-04T01:38:01Z,1580000,False,206.0,171.0,1,left,MISS N. Williams 26' 3PT,[1631466],1610612745.0,HOU,,,,Williams,N. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,,26.77,,,,,,,,
