actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
42,PT08M24.00S,2023-02-04T00:15:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,27.283180026281208,82.84313725490196,1610612766,13,5,2023-02-04T00:15:23Z,420000,False,-164.0,204.0,1,left,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,26.19,Missed,Washington,P. Washington,,,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2023-02-04T00:15:22.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,5,2023-02-04T00:15:23Z,430000,False,,,0,,I. Stewart REBOUND (Off:0 Def:3),[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Stewart,I. Stewart,42.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
44,PT08M15.00S,2023-02-04T00:15:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,92.85479632063075,54.166666666666664,1610612765,15,5,2023-02-04T00:15:32Z,440000,False,21.0,15.0,1,right,J. Duren Layup (2 PTS) (I. Stewart 2 AST),"[1631105, 1630191]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,2.55,Made,Duren,J. Duren,,,,,,,,2.0,I. Stewart,1630191.0,2.0,,,,,,,,
46,PT08M15.00S,2023-02-04T00:15:37.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,15,5,2023-02-04T00:15:37Z,460000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M58.00S,2023-02-04T00:18:45.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,6.1268068331143235,54.65686274509803,1610612766,15,5,2023-02-04T00:19:35Z,470000,False,-23.0,5.0,1,left,MISS M. Plumlee DUNK - blocked,"[203486, 1631105]",1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,2.39,Missed,Plumlee,M. Plumlee,,,,,,,,,,,,Duren,1631105.0,,,,,,
48,PT07M58.00S,2023-02-04T00:18:45.3Z,1,REGULAR,block,,[],1631105,,,1610612766,15,5,2023-02-04T00:18:48Z,480000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,
49,PT07M56.00S,2023-02-04T00:18:47.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,15,5,2023-02-04T00:19:35Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,,,47.0,,,,,,,,,,,,,,,,,,
51,PT07M53.00S,2023-02-04T00:19:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612766,15,5,2023-02-04T00:19:14Z,510000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Hayward 2 FT),"[1631105, 202330]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,,,,,,,,,,,,,,203593.0,1.0,0.0,Hayward,202330.0,
53,PT07M53.00S,2023-02-04T00:19:27.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202330,,,1610612766,15,6,2023-02-04T00:19:27Z,530000,False,,,0,,G. Hayward Free Throw 1 of 2 (4 PTS),[202330],1610612766.0,CHA,,,,,,,,,,Made,Hayward,G. Hayward,,,,,,,,4.0,,,,,,,,,,,
54,PT07M53.00S,2023-02-04T00:19:27.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202330,,,1610612766,15,6,2023-02-04T00:19:45Z,540000,False,,,0,,MISS G. Hayward Free Throw 2 of 2,[202330],1610612766.0,CHA,,,,,,,,,,Missed,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,
55,PT07M51.00S,2023-02-04T00:19:29.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,15,6,2023-02-04T00:19:45Z,550000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,,,,,,,,Duren,J. Duren,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
