actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
277,PT05M24.00S,2022-11-13T00:53:46.5Z,2,REGULAR,rebound,defensive,[],1630587,,,1610612765,37,41,2022-11-13T00:53:46Z,2670000,False,,,0,,I. Livers REBOUND (Off:1 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,,,,276.0,2.0,1.0,1.0,,,,,,,,,,,,,
278,PT05M18.00S,2022-11-13T00:53:54.9Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612765,37,41,2022-11-13T00:54:07Z,2680000,False,,,0,,D. White shooting personal FOUL (3 PF) (Bogdanovic 2 FT),"[1628401, 202711]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2882.0,3.0,0.0,Bogdanovic,202711.0,,,,,
280,PT05M18.00S,2022-11-13T00:54:24.9Z,2,REGULAR,freethrow,1 of 2,[],202711,,,1610612765,38,41,2022-11-13T00:54:24Z,2700000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (3 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
281,PT05M18.00S,2022-11-13T00:54:28.6Z,2,REGULAR,substitution,out,[],1630587,,,1610612765,38,41,2022-11-13T00:54:40Z,2710000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT05M18.00S,2022-11-13T00:54:28.6Z,2,REGULAR,substitution,out,[],1628401,,,1610612765,38,41,2022-11-13T00:54:40Z,2720000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT05M18.00S,2022-11-13T00:54:28.6Z,2,REGULAR,substitution,in,[],1631093,,,1610612765,38,41,2022-11-13T00:54:40Z,2730000,False,,,0,,SUB in: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
284,PT05M18.00S,2022-11-13T00:54:28.6Z,2,REGULAR,substitution,in,[],1630573,,,1610612765,38,41,2022-11-13T00:54:40Z,2740000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT05M18.00S,2022-11-13T00:54:48.7Z,2,REGULAR,freethrow,2 of 2,[],202711,,,1610612765,39,41,2022-11-13T00:54:48Z,2750000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (4 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
286,PT05M01.00S,2022-11-13T00:55:06.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,91.24507227332458,37.99019607843137,1610612738,39,43,2022-11-13T00:55:11Z,2760000,False,-60.0,30.0,1,right,G. Williams 6' driving floating bank Jump Shot (7 PTS),[1629684],1610612738.0,BOS,driving floating bank,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,7.0,,,,,,,,,,,,,,,,,
287,PT04M46.00S,2022-11-13T00:55:20.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,7.276609724047319,37.5,1610612765,41,43,2022-11-13T00:55:26Z,2770000,False,62.0,16.0,1,left,B. Bogdanovic 6' driving bank Jump Shot (6 PTS) (S. Bey 1 AST),"[202711, 1630180]",1610612765.0,DET,driving bank,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,6.45,Made,6.0,,,,,S. Bey,1630180.0,1.0,,,,,,,,,,
289,PT04M29.00S,2022-11-13T00:55:38.5Z,2,REGULAR,3pt,Jump Shot,[],203935,69.03745072273324,31.862745098039213,1610612738,41,46,2022-11-13T00:55:43Z,2790000,False,-91.0,239.0,1,right,M. Smart 25' 3PT pullup (5 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.52,Made,5.0,,,,,,,,,,,,,,,,,
290,PT04M08.00S,2022-11-13T00:55:58.6Z,2,REGULAR,3pt,Jump Shot,[],1630191,24.753613666228645,9.803921568627445,1610612765,44,46,2022-11-13T00:56:03Z,2800000,False,201.0,180.0,1,left,I. Stewart 27' 3PT  (5 PTS) (S. Bey 2 AST),"[1630191, 1630180]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,27.0,Made,5.0,,,,,S. Bey,1630180.0,2.0,,,,,,,,,,
292,PT03M42.00S,2022-11-13T00:56:25.6Z,2,REGULAR,2pt,Jump Shot,[],1628369,78.10446780551905,17.40196078431373,1610612738,44,46,2022-11-13T03:36:25Z,2820000,False,-163.0,153.0,1,right,MISS J. Tatum 22' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,22.38,Missed,,,,,,,,,,,,,,,,,,
293,PT03M40.00S,2022-11-13T00:56:27.6Z,2,REGULAR,rebound,defensive,[],1631093,,,1610612765,44,46,2022-11-13T03:36:25Z,2830000,False,,,0,,J. Ivey REBOUND (Off:1 Def:2),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left Center,,,,292.0,3.0,2.0,1.0,,,,,,,,,,,,,
294,PT03M40.00S,2022-11-13T00:56:31.1Z,2,REGULAR,foul,personal,['1freethrow'],203935,,,1610612765,44,46,2022-11-13T00:56:54Z,2840000,False,,,0,,M. Smart transition take personal FOUL (1 PF) (Ivey 1 FT),"[203935, 1631093]",1610612738.0,BOS,transition take,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,201245.0,1.0,0.0,Ivey,1631093.0,,,,,
296,PT03M40.00S,2022-11-13T00:57:03.0Z,2,REGULAR,freethrow,1 of 1,[],202711,,,1610612765,45,46,2022-11-13T00:57:03Z,2860000,False,,,0,,B. Bogdanovic transition take Free Throw 1 of 1 (7 PTS),[202711],1610612765.0,DET,transition take,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
297,PT03M40.00S,2022-11-13T00:57:11.4Z,2,REGULAR,substitution,out,[],201933,,,1610612738,45,46,2022-11-13T00:57:19Z,2870000,False,,,0,,SUB out: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT03M40.00S,2022-11-13T00:57:11.4Z,2,REGULAR,substitution,in,[],1628436,,,1610612738,45,46,2022-11-13T00:57:19Z,2880000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT03M31.00S,2022-11-13T00:57:34.1Z,2,REGULAR,2pt,Jump Shot,[],1630165,21.0742444152431,69.11764705882354,1610612765,45,46,2022-11-13T00:57:44Z,2890000,False,-96.0,146.0,1,left,MISS K. Hayes 17' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Left Center,17.42,Missed,,,,,,,,,,,,,,,,,,
300,PT03M28.00S,2022-11-13T00:57:42.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612765,45,46,2022-11-13T00:57:42Z,2900000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,16-24 Left Center,,,,299.0,,,,,,,,,,,,,,,,
302,PT03M16.00S,2022-11-13T00:58:07.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],202711,12.927069645203687,72.30392156862744,1610612765,47,46,2022-11-13T00:58:24Z,2920000,False,-112.0,69.0,1,left,B. Bogdanovic 13' pullup bank Jump Shot (9 PTS),[202711],1610612765.0,DET,pullup bank,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,13.11,Made,9.0,,,,,,,,,,,,,,,,,
303,PT03M13.00S,2022-11-13T00:58:18.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,47,46,2022-11-13T00:58:18Z,2930000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT02M56.00S,2022-11-13T01:01:29.3Z,2,REGULAR,3pt,Jump Shot,[],203935,77.18462549277267,11.029411764705884,1610612738,47,46,2022-11-13T01:01:37Z,2940000,False,-195.0,162.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
305,PT02M52.00S,2022-11-13T01:01:33.3Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,47,46,2022-11-13T01:01:37Z,2950000,False,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,304.0,4.0,3.0,1.0,,,,,,,,,,,,,
306,PT02M51.00S,2022-11-13T01:01:34.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630573,91.24507227332458,54.16666666666667,1610612738,47,48,2022-11-13T01:01:41Z,2960000,False,21.0,30.0,1,right,S. Hauser floating Jump Shot (5 PTS) (J. Tatum 1 AST),"[1630573, 1628369]",1610612738.0,BOS,floating,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,3.63,Made,5.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
