actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
84,PT06M07.00S,2022-11-08T00:44:04.4Z,1,REGULAR,2pt,Jump Shot,[],1630581,8.09789750328515,74.50980392156863,1610612760,16,12,2022-11-08T00:44:08Z,840000,-123.0,24.0,1,left,MISS J. Giddey 12' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,12.48,Missed,,,,,,,,,,,,,,,,,,
85,PT06M05.00S,2022-11-08T00:44:06.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,16,12,2022-11-08T00:44:08Z,850000,,,0,,I. Stewart REBOUND (Off:2 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,,,84.0,4.0,2.0,2.0,,,,,,,,,,,,,,
86,PT06M02.00S,2022-11-08T00:44:09.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,81.42247043363994,92.64705882352942,1610612765,16,12,2022-11-08T00:46:07Z,860000,213.0,122.0,1,right,MISS B. Bogdanovic 24' pullup 3PT,[202711],1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
87,PT06M00.00S,2022-11-08T00:44:11.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,16,12,2022-11-08T00:44:16Z,870000,,,0,,J. Giddey REBOUND (Off:0 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,86.0,4.0,4.0,0.0,,,,,,,,,,,,,,
88,PT06M00.00S,2022-11-08T00:44:17.9Z,1,REGULAR,foul,technical,['1freethrow'],202711,,,1610612760,16,12,2022-11-08T00:44:35Z,880000,,,0,,B. Bogdanovic technical FOUL (1 Tech),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right,,,,,,,,,,1627961.0,0.0,1.0,,,,,,,,
89,PT06M00.00S,2022-11-08T00:44:38.4Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,16,13,2022-11-08T00:44:38Z,890000,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (5 PTS),[1628983],1610612760.0,OKC,technical,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
90,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,out,[],1630180,,,1610612760,16,13,2022-11-08T00:44:55Z,900000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,16,13,2022-11-08T00:44:55Z,910000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,16,13,2022-11-08T00:44:55Z,920000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,in,[],1628977,,,1610612760,16,13,2022-11-08T00:44:55Z,930000,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,16,13,2022-11-08T00:44:55Z,940000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT06M00.00S,2022-11-08T00:44:40.2Z,1,REGULAR,substitution,in,[],203488,,,1610612760,16,13,2022-11-08T00:44:55Z,950000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M49.00S,2022-11-08T00:45:08.6Z,1,REGULAR,3pt,Jump Shot,[],203488,25.04927726675427,13.23529411764706,1610612760,16,13,2022-11-08T00:45:13Z,960000,184.0,183.0,1,left,MISS M. Muscala 25' 3PT,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Right Center,25.94,Missed,,,,,,,,,,,,,,,,,,
97,PT05M48.00S,2022-11-08T00:45:09.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,16,13,2022-11-08T00:45:13Z,970000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,96.0,,,,,,,,,,,,,,,,,
99,PT05M31.00S,2022-11-08T00:45:31.0Z,1,REGULAR,2pt,Jump Shot,[],1630595,78.40013140604468,68.38235294117648,1610612765,16,13,2022-11-08T00:47:37Z,990000,92.0,151.0,1,right,MISS C. Cunningham 17' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Right Center,17.63,Missed,,,,,,,,,,,,,,,,,,
100,PT05M30.00S,2022-11-08T00:45:33.1Z,1,REGULAR,rebound,offensive,[],1628977,,,1610612765,16,13,2022-11-08T00:45:33Z,1000000,,,0,,H. Diallo REBOUND (Off:1 Def:0),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,Mid-Range,16-24 Right Center,,,99.0,1.0,0.0,1.0,,,,,,,,,,,,,,
101,PT05M29.00S,2022-11-08T00:45:34.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,69.72733245729303,75.0,1610612765,16,13,2022-11-08T00:46:14Z,1010000,125.0,232.0,1,right,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
102,PT05M28.00S,2022-11-08T00:45:35.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,16,13,2022-11-08T00:46:14Z,1020000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,101.0,,,,,,,,,,,,,,,,,
103,PT05M28.00S,2022-11-08T00:45:46.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203488,,,1610612765,16,13,2022-11-08T00:47:15Z,1030000,,,0,,M. Muscala loose ball personal FOUL (1 PF) (Stewart 2 FT),"[203488, 1630191]",1610612760.0,OKC,loose ball,,,Muscala,M. Muscala,,,,,Mid-Range,8-16 Right,,,,,,,,,,203592.0,1.0,0.0,Stewart,1630191.0,,,,,,
105,PT05M28.00S,2022-11-08T00:46:14.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630191,,,1610612765,17,13,2022-11-08T00:46:14Z,1050000,,,0,,I. Stewart Free Throw 1 of 2 (5 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
106,PT05M28.00S,2022-11-08T00:46:22.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,17,13,2022-11-08T00:46:22Z,1060000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT05M28.00S,2022-11-08T00:46:14.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630191,,,1610612765,17,13,2022-11-08T00:49:32Z,1070000,,,0,,MISS I. Stewart Free Throw 2 of 2,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
108,PT05M24.00S,2022-11-08T00:46:18.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,17,13,2022-11-08T00:49:32Z,1080000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,
109,PT05M12.00S,2022-11-08T00:49:40.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,24.26084099868594,75.49019607843137,1610612760,17,15,2022-11-08T00:49:46Z,1090000,-127.0,176.0,1,left,S. Gilgeous-Alexander 21' pullup Jump Shot (7 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,21.7,Made,,,,,7.0,,,,,,,,,,,,,
110,PT04M55.00S,2022-11-08T00:49:57.7Z,1,REGULAR,3pt,Jump Shot,[],1631093,92.9862023653088,96.56862745098039,1610612765,17,15,2022-11-08T00:50:02Z,1100000,233.0,13.0,1,right,MISS J. Ivey 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,23.32,Missed,,,,,,,,,,,,,,,,,,
111,PT04M55.00S,2022-11-08T00:49:57.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,17,15,2022-11-08T00:50:02Z,1110000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Right Corner 3,24+ Right,,,110.0,,,,,,,,,,,,,,,,,
113,PT04M39.00S,2022-11-08T00:50:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.601182654402102,53.67647058823529,1610612760,17,17,2022-11-08T00:50:25Z,1130000,-18.0,0.0,1,left,S. Gilgeous-Alexander driving Layup (9 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,9.0,,,,,,,,,,,,,
114,PT04M22.00S,2022-11-08T00:50:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,82.3915900131406,37.810202205882355,1610612765,17,17,2022-11-08T00:51:40Z,1140000,-61.0,113.0,1,right,MISS H. Diallo 12' Jump Shot,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,In The Paint (Non-RA),8-16 Center,12.84,Missed,,,,,,,,,,,,,,,,,,
115,PT04M17.00S,2022-11-08T00:50:42.8Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,17,17,2022-11-08T00:50:49Z,1150000,,,0,,I. Stewart REBOUND (Off:3 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Center,,,114.0,5.0,2.0,3.0,,,,,,,,,,,,,,
116,PT04M16.00S,2022-11-08T00:50:47.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,17,17,2022-11-08T00:51:02Z,1160000,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,203592.0,,,,,,,,,,
117,PT04M16.00S,2022-11-08T00:50:57.0Z,1,REGULAR,substitution,out,[],1631093,,,1610612760,17,17,2022-11-08T00:51:13Z,1170000,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M16.00S,2022-11-08T00:50:57.0Z,1,REGULAR,substitution,out,[],1630191,,,1610612760,17,17,2022-11-08T00:51:13Z,1180000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M16.00S,2022-11-08T00:50:57.0Z,1,REGULAR,substitution,in,[],1630165,,,1610612760,17,17,2022-11-08T00:51:13Z,1190000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M16.00S,2022-11-08T00:50:57.0Z,1,REGULAR,substitution,in,[],1631105,,,1610612760,17,17,2022-11-08T00:51:13Z,1200000,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M01.00S,2022-11-08T00:51:21.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630544,10.463206307490145,41.17647058823529,1610612760,17,17,2022-11-08T00:52:54Z,1210000,44.0,46.0,1,left,MISS T. Mann 6' driving Hook - blocked,"[1630544, 1631105]",1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,Duren,1631105.0,,,,,,,,,,,
122,PT04M01.00S,2022-11-08T00:51:21.3Z,1,REGULAR,block,,[],1631105,,,1610612760,17,17,2022-11-08T00:51:23Z,1220000,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
123,PT03M58.00S,2022-11-08T00:51:24.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,17,17,2022-11-08T00:51:25Z,1230000,,,0,,C. Cunningham REBOUND (Off:0 Def:3),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,121.0,3.0,3.0,0.0,,,,,,,,,,,,,,
124,PT03M54.00S,2022-11-08T00:51:27.7Z,1,REGULAR,3pt,Jump Shot,[],202711,94.56307490144546,96.56862745098039,1610612765,17,17,2022-11-08T00:51:35Z,1240000,233.0,-1.0,1,right,MISS B. Bogdanovic 3PT - blocked,"[202711, 1628983]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
125,PT03M54.00S,2022-11-08T00:51:27.7Z,1,REGULAR,block,,[],1628983,,,1610612765,17,17,2022-11-08T00:51:30Z,1250000,,,0,,S. Gilgeous-Alexander BLOCK (2 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
126,PT03M49.00S,2022-11-08T00:51:32.7Z,1,REGULAR,rebound,offensive,[],1628977,,,1610612765,17,17,2022-11-08T00:51:35Z,1260000,,,0,,H. Diallo REBOUND (Off:2 Def:0),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,Right Corner 3,24+ Right,,,124.0,2.0,0.0,2.0,,,,,,,,,,,,,,
127,PT03M48.00S,2022-11-08T00:51:34.2Z,1,REGULAR,turnover,bad pass,[],1628977,,,1610612765,17,17,2022-11-08T00:51:38Z,1270000,,,0,,H. Diallo bad pass TURNOVER (1 TO),"[1628977, 1631114]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Williams,1631114.0,,,
128,PT03M48.00S,2022-11-08T00:51:34.2Z,1,REGULAR,steal,,[],1631114,,,1610612760,17,17,2022-11-08T00:51:36Z,1280000,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
129,PT03M45.00S,2022-11-08T00:51:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,6.521024967148489,48.77450980392157,1610612760,17,17,2022-11-08T00:51:42Z,1290000,6.0,9.0,1,left,MISS J. Williams running Layup,[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.07,Missed,,,,,,,,,,,,,,,,,,
130,PT03M41.00S,2022-11-08T00:51:40.5Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612760,17,17,2022-11-08T00:51:40Z,1300000,,,0,,T. Mann REBOUND (Off:1 Def:0),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,129.0,1.0,0.0,1.0,,,,,,,,,,,,,,
131,PT03M41.00S,2022-11-08T00:51:40.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630544,5.590000152587891,50.0,1610612760,17,17,2022-11-08T00:51:44Z,1310000,0.0,0.0,1,left,MISS T. Mann tip Layup,[1630544],1610612760.0,OKC,tip,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
132,PT03M41.00S,2022-11-08T00:51:40.5Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,17,17,2022-11-08T00:51:44Z,1320000,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,131.0,2.0,1.0,1.0,,,,,,,,,,,,,,
133,PT03M39.00S,2022-11-08T00:51:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629652,6.521024967148489,51.225490196078425,1610612760,17,19,2022-11-08T00:51:50Z,1330000,-6.0,9.0,1,left,L. Dort Layup (5 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,5.0,,,,,,,,,,,,,
134,PT03M34.00S,2022-11-08T00:51:51.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631114,,,1610612765,17,19,2022-11-08T00:51:59Z,1340000,,,0,,J. Williams personal FOUL (2 PF) (Bogdanovic 2 FT),"[1631114, 202711]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,201246.0,2.0,0.0,Bogdanovic,202711.0,,,,,,
136,PT03M34.00S,2022-11-08T00:52:16.9Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612765,18,19,2022-11-08T00:52:16Z,1360000,,,0,,B. Bogdanovic Free Throw 1 of 2 (4 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
137,PT03M34.00S,2022-11-08T00:52:17.4Z,1,REGULAR,substitution,out,[],1629652,,,1610612765,18,19,2022-11-08T00:52:27Z,1370000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT03M34.00S,2022-11-08T00:52:17.4Z,1,REGULAR,substitution,out,[],1631114,,,1610612765,18,19,2022-11-08T00:52:27Z,1380000,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT03M34.00S,2022-11-08T00:52:17.4Z,1,REGULAR,substitution,in,[],1629026,,,1610612765,18,19,2022-11-08T00:52:27Z,1390000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT03M34.00S,2022-11-08T00:52:17.4Z,1,REGULAR,substitution,in,[],1629647,,,1610612765,18,19,2022-11-08T00:52:27Z,1400000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT03M34.00S,2022-11-08T00:52:38.3Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612765,19,19,2022-11-08T00:52:38Z,1410000,,,0,,B. Bogdanovic Free Throw 2 of 2 (5 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
142,PT03M20.00S,2022-11-08T00:52:59.5Z,1,REGULAR,turnover,out-of-bounds,[],1630544,,,1610612760,19,19,2022-11-08T00:55:08Z,1420000,,,0,,T. Mann bad pass out-of-bounds TURNOVER (1 TO),[1630544],1610612760.0,OKC,bad pass,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201246.0,,,,,1.0,,,,,
143,PT03M04.00S,2022-11-08T00:53:18.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630165,86.85939553219448,52.17141544117647,1610612765,19,19,2022-11-08T01:03:33Z,1430000,11.0,71.0,1,right,MISS K. Hayes 7' pullup Shot - blocked,"[1630165, 1628983]",1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
144,PT03M04.00S,2022-11-08T00:53:18.0Z,1,REGULAR,block,,[],1628983,,,1610612765,19,19,2022-11-08T00:53:21Z,1440000,,,0,,S. Gilgeous-Alexander BLOCK (3 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT03M03.00S,2022-11-08T00:53:19.0Z,1,REGULAR,rebound,defensive,[],203488,,,1610612760,19,19,2022-11-08T00:53:56Z,1450000,,,0,,M. Muscala REBOUND (Off:0 Def:1),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,In The Paint (Non-RA),0-8 Center,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,,
146,PT03M03.00S,2022-11-08T00:53:23.2Z,1,REGULAR,foul,personal,[],1628977,,,1610612760,19,19,2022-11-08T00:53:26Z,1460000,,,0,,H. Diallo personal FOUL (1 PF),"[1628977, 203488]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,Mid-Range,16-24 Center,,,,,,,,,,203592.0,1.0,0.0,Muscala,203488.0,,,,,,
152,PT03M03.00S,2022-11-08T00:53:24.0Z,1,REGULAR,substitution,out,[],202711,,,1610612760,19,19,2022-11-08T00:54:54Z,1475000,,,0,,SUB out: B. Bogdanovic,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT03M03.00S,2022-11-08T00:53:24.0Z,1,REGULAR,substitution,in,[],1630587,,,1610612760,19,19,2022-11-08T00:54:54Z,1477500,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M44.00S,2022-11-08T00:53:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,16.770696452036795,52.69607843137255,1610612760,19,19,2022-11-08T00:54:02Z,1480000,-13.0,105.0,1,left,MISS S. Gilgeous-Alexander 10' floating Shot,[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.6,Missed,,,,,,,,,,,,,,,,,,
149,PT02M44.00S,2022-11-08T00:53:53.5Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,19,19,2022-11-08T00:54:02Z,1490000,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,In The Paint (Non-RA),8-16 Center,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,
150,PT02M38.00S,2022-11-08T00:54:03.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629026,,,1610612765,19,19,2022-11-08T00:58:58Z,1500000,,,0,,K. Williams shooting personal FOUL (1 PF) (Duren 2 FT),"[1629026, 1631105]",1610612760.0,OKC,shooting,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,203592.0,1.0,0.0,Duren,1631105.0,,,,,,
154,PT02M38.00S,2022-11-08T00:54:34.8Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,19,19,2022-11-08T00:54:34Z,1540000,,,0,,MISS J. Duren Free Throw 1 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
155,PT02M38.00S,2022-11-08T00:54:34.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,19,19,2022-11-08T00:54:34Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,
156,PT02M38.00S,2022-11-08T00:54:47.5Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,20,19,2022-11-08T00:54:47Z,1560000,,,0,,J. Duren Free Throw 2 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
157,PT02M31.00S,2022-11-08T00:54:58.2Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612760,20,19,2022-11-08T00:55:08Z,1570000,,,0,,I. Livers shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630587, 1628983]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,201246.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
159,PT02M31.00S,2022-11-08T00:55:24.6Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,20,20,2022-11-08T00:55:24Z,1590000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (10 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
160,PT02M31.00S,2022-11-08T00:55:29.5Z,1,REGULAR,substitution,out,[],203488,,,1610612760,20,20,2022-11-08T00:55:33Z,1600000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT02M31.00S,2022-11-08T00:55:29.5Z,1,REGULAR,substitution,in,[],1631172,,,1610612760,20,20,2022-11-08T00:55:33Z,1610000,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT02M31.00S,2022-11-08T00:55:43.5Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,20,21,2022-11-08T00:55:43Z,1620000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (11 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
163,PT02M19.00S,2022-11-08T00:55:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,69.33311432325887,73.0392156862745,1610612765,20,21,2022-11-08T00:56:11Z,1630000,115.0,236.0,1,right,MISS C. Cunningham 26' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.24,Missed,,,,,,,,,,,,,,,,,,
