actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
92,PT05M32.00S,2023-03-12T00:26:31.3Z,1,REGULAR,foul,personal,['2freethrow'],201949,,,1610612765,15,17,2023-03-12T00:26:49Z,920000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Duren 2 FT),"[201949, 1631105]",1610612754.0,IND,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,2715.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,
94,PT05M32.00S,2023-03-12T00:27:11.1Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,16,17,2023-03-12T00:27:38Z,940000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
95,PT05M32.00S,2023-03-12T00:27:11.1Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,16,17,2023-03-12T00:27:38Z,950000,False,,,0,,MISS J. Duren Free Throw 2 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
96,PT05M30.00S,2023-03-12T00:27:13.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,16,17,2023-03-12T00:27:38Z,960000,False,,,0,,B. Hield REBOUND (Off:1 Def:3),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,95.0,4.0,3.0,1.0,,,,
97,PT05M23.00S,2023-03-12T00:27:34.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,6.389618922470433,49.26470588235294,1610612754,16,19,2023-03-12T00:27:40Z,970000,False,4.0,8.0,1,left,I. Jackson cutting DUNK (9 PTS) (B. Hield 1 AST),"[1630543, 1627741]",1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,0.85,Made,9.0,,,,,,,B. Hield,1627741.0,1.0,,,,,,,,
99,PT05M06.00S,2023-03-12T00:27:52.1Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612765,16,19,2023-03-12T00:28:00Z,990000,False,,,0,,I. Jackson shooting personal FOUL (1 PF) (Duren 2 FT),"[1630543, 1631105]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,2715.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,
101,PT05M06.00S,2023-03-12T00:28:22.4Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,16,19,2023-03-12T00:28:22Z,1010000,False,,,0,,MISS J. Duren Free Throw 1 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT05M06.00S,2023-03-12T00:28:22.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,16,19,2023-03-12T00:28:22Z,1020000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,
103,PT05M06.00S,2023-03-12T00:28:24.0Z,1,REGULAR,substitution,out,[],203585,,,1610612765,16,19,2023-03-12T00:28:42Z,1030000,False,,,0,,SUB out: R. McGruder,[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M06.00S,2023-03-12T00:28:24.0Z,1,REGULAR,substitution,out,[],1630543,,,1610612765,16,19,2023-03-12T00:28:42Z,1040000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT05M06.00S,2023-03-12T00:28:24.0Z,1,REGULAR,substitution,in,[],202709,,,1610612765,16,19,2023-03-12T00:28:42Z,1050000,False,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT05M06.00S,2023-03-12T00:28:24.0Z,1,REGULAR,substitution,in,[],1630188,,,1610612765,16,19,2023-03-12T00:28:42Z,1060000,False,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT05M06.00S,2023-03-12T00:28:48.6Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,17,19,2023-03-12T00:28:48Z,1070000,False,,,0,,J. Duren Free Throw 2 of 2 (2 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
108,PT04M55.00S,2023-03-12T00:29:01.4Z,1,REGULAR,3pt,Jump Shot,[],1629614,27.94021024967148,79.16666666666666,1610612754,17,22,2023-03-12T00:29:08Z,1080000,False,-146.0,210.0,1,left,A. Nembhard 25' 3PT  (5 PTS) (J. Smith 1 AST),"[1629614, 1630188]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,25.57,Made,5.0,,,,,,,J. Smith,1630188.0,1.0,,,,,,,,
111,PT04M36.00S,2023-03-12T00:29:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,93.64323258869908,47.549019607843135,1610612765,19,22,2023-03-12T00:29:32Z,1100000,False,-12.0,7.0,1,right,J. Duren driving reverse Layup (4 PTS),[1631105],1610612765.0,DET,driving reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.43,Made,4.0,,,,,,,,,,,,,,,,,
112,PT04M13.00S,2023-03-12T00:29:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201588,7.440867279894875,54.41176470588235,1610612754,19,24,2023-03-12T00:30:00Z,1110000,False,-22.0,17.0,1,left,G. Hill driving Layup (2 PTS) (A. Nembhard 3 AST),"[201588, 1629614]",1610612754.0,IND,driving,,,Hill,G. Hill,,,,,Restricted Area,0-8 Center,2.81,Made,2.0,,,,,,,A. Nembhard,1629614.0,3.0,,,,,,,,
113,PT04M13.00S,2023-03-12T00:29:49.1Z,1,REGULAR,violation,defensive goaltending,[],1628963,,,1610612754,19,24,2023-03-12T00:30:00Z,1120000,False,,,0,,M. Bagley III defensive goaltending VIOLATION,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,203592.0,,,,,,,,,,,,,,,,
114,PT03M54.00S,2023-03-12T00:30:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630587,86.41590013140605,56.127450980392155,1610612765,19,24,2023-03-12T00:30:21Z,1130000,False,31.0,75.0,1,right,MISS I. Livers 8' step back Shot,[1630587],1610612765.0,DET,step back,,,Livers,I. Livers,,,,,In The Paint (Non-RA),8-16 Center,8.12,Missed,,,,,,,,,,,,,,,,,,
115,PT03M51.00S,2023-03-12T00:30:19.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,19,24,2023-03-12T00:30:21Z,1140000,False,,,0,,B. Hield REBOUND (Off:1 Def:4),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,114.0,5.0,4.0,1.0,,,,
116,PT03M46.00S,2023-03-12T00:30:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201949,14.273981603153747,40.19607843137255,1610612754,19,26,2023-03-12T00:33:52Z,1150000,False,49.0,82.0,1,left,J. Johnson 9' running pullup Jump Shot (4 PTS) (A. Nembhard 4 AST),"[201949, 1629614]",1610612754.0,IND,running pullup,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.53,Made,4.0,,,,,,,A. Nembhard,1629614.0,4.0,,,,,,,,
118,PT03M18.00S,2023-03-12T00:30:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,85.89027595269383,56.127450980392155,1610612765,19,26,2023-03-12T00:30:57Z,1170000,False,31.0,80.0,1,right,MISS K. Hayes 8' driving floating Shot,[1630165],1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,8.57,Missed,,,,,,,,,,,,,,,,,,
119,PT03M17.00S,2023-03-12T00:30:52.5Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,19,26,2023-03-12T00:30:57Z,1180000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,118.0,1.0,0.0,1.0,,,,
120,PT03M14.00S,2023-03-12T00:30:55.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631105,92.46057818659659,71.56862745098039,1610612765,19,26,2023-03-12T00:31:00Z,1190000,False,108.0,18.0,1,right,MISS J. Duren 10' pullup Shot,[1631105],1610612765.0,DET,pullup,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,10.94,Missed,,,,,,,,,,,,,,,,,,
121,PT03M11.00S,2023-03-12T00:30:58.8Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,19,26,2023-03-12T00:31:00Z,1200000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:2),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,120.0,2.0,2.0,0.0,,,,
122,PT03M06.00S,2023-03-12T00:31:04.4Z,1,REGULAR,3pt,Jump Shot,[],201588,28.07161629434954,74.01960784313727,1610612754,19,26,2023-03-12T00:31:09Z,1210000,False,-120.0,211.0,1,left,MISS G. Hill 24' 3PT,[201588],1610612754.0,IND,,,,Hill,G. Hill,,,,,Above the Break 3,24+ Left Center,24.31,Missed,,,,,,,,,,,,,,,,,,
123,PT03M05.00S,2023-03-12T00:31:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,19,26,2023-03-12T00:31:07Z,1220000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,122.0,,,,,,,
125,PT03M05.00S,2023-03-12T00:31:10.7Z,1,REGULAR,substitution,out,[],1628963,,,1610612765,19,26,2023-03-12T00:31:29Z,1240000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M05.00S,2023-03-12T00:31:10.7Z,1,REGULAR,substitution,out,[],1629614,,,1610612765,19,26,2023-03-12T00:31:29Z,1250000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M05.00S,2023-03-12T00:31:10.7Z,1,REGULAR,substitution,in,[],1630647,,,1610612765,19,26,2023-03-12T00:31:29Z,1260000,False,,,0,,SUB in: E. Omoruyi,[1630647],1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M05.00S,2023-03-12T00:31:10.7Z,1,REGULAR,substitution,in,[],1629052,,,1610612765,19,26,2023-03-12T00:31:29Z,1270000,False,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M52.00S,2023-03-12T00:31:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630587,90.75229960578186,3.1862745098039214,1610612765,22,26,2023-03-12T00:31:48Z,1280000,False,-234.0,34.0,1,right,I. Livers 3PT  (3 PTS) (C. Joseph 1 AST),"[1630587, 202709]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Left Corner 3,24+ Left,23.66,Made,3.0,,,,,,,C. Joseph,202709.0,1.0,,,,,,,,
131,PT02M35.00S,2023-03-12T00:32:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,9.149145860709593,45.83333333333333,1610612754,22,26,2023-03-12T00:32:05Z,1300000,False,21.0,34.0,1,left,MISS O. Brissett driving Layup - blocked,"[1629052, 1630165]",1610612754.0,IND,driving,,,Brissett,O. Brissett,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,Hayes,1630165.0,,
157,PT02M35.00S,2023-03-12T00:32:01.7Z,1,REGULAR,block,,[],1630165,,,1610612754,22,26,2023-03-12T00:37:10Z,1305000,False,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
132,PT02M33.00S,2023-03-12T00:32:03.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,22,26,2023-03-12T00:32:05Z,1310000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,131.0,2.0,1.0,1.0,,,,
133,PT02M26.00S,2023-03-12T00:32:10.9Z,1,REGULAR,turnover,lost ball,[],1630165,,,1610612765,22,26,2023-03-12T00:32:14Z,1320000,False,,,0,,K. Hayes lost ball TURNOVER (1 TO),"[1630165, 1627741]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,,,,,,,Hield,1627741.0
134,PT02M26.00S,2023-03-12T00:32:10.9Z,1,REGULAR,steal,,[],1627741,,,1610612754,22,26,2023-03-12T00:32:12Z,1330000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
135,PT02M21.00S,2023-03-12T00:32:15.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627741,8.492115637319317,59.80392156862745,1610612754,22,28,2023-03-12T00:39:03Z,1340000,False,-49.0,27.0,1,left,B. Hield running Layup (7 PTS) (G. Hill 1 AST),"[1627741, 201588]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,5.61,Made,7.0,,,,,,,G. Hill,201588.0,1.0,,,,,,,,
137,PT02M13.00S,2023-03-12T00:32:27.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,22,28,2023-03-12T00:32:27Z,1360000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M13.00S,2023-03-12T00:34:57.3Z,1,REGULAR,substitution,out,[],1630165,,,1610612765,22,28,2023-03-12T00:35:11Z,1370000,False,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M13.00S,2023-03-12T00:34:57.3Z,1,REGULAR,substitution,out,[],1627741,,,1610612765,22,28,2023-03-12T00:35:11Z,1380000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M13.00S,2023-03-12T00:34:57.3Z,1,REGULAR,substitution,in,[],1630181,,,1610612765,22,28,2023-03-12T00:35:11Z,1390000,False,,,0,,SUB in: R. Hampton,[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M13.00S,2023-03-12T00:34:57.3Z,1,REGULAR,substitution,in,[],1629670,,,1610612765,22,28,2023-03-12T00:35:11Z,1400000,False,,,0,,SUB in: J. Nwora,[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M59.00S,2023-03-12T00:35:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630587,88.51839684625493,55.14705882352941,1610612765,22,28,2023-03-12T00:40:37Z,1410000,False,26.0,55.0,1,right,MISS I. Livers 6' driving floating Shot - blocked,"[1630587, 201949]",1610612765.0,DET,driving floating,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,,,,,,,Johnson,201949.0,,
144,PT01M59.00S,2023-03-12T00:35:32.3Z,1,REGULAR,block,,[],201949,,,1610612765,22,28,2023-03-12T00:35:34Z,1420000,False,,,0,,J. Johnson BLOCK (1 BLK),[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT01M56.00S,2023-03-12T00:35:35.3Z,1,REGULAR,rebound,offensive,[],1630587,,,1610612765,22,28,2023-03-12T00:35:39Z,1430000,False,,,0,,I. Livers REBOUND (Off:1 Def:0),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,143.0,1.0,0.0,1.0,,,,
146,PT01M54.00S,2023-03-12T00:35:36.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202709,66.17936925098554,32.59803921568628,1610612765,22,28,2023-03-12T00:41:02Z,1440000,False,-87.0,265.0,1,right,MISS C. Joseph 27' pullup 3PT,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Center,27.93,Missed,,,,,,,,,,,,,,,,,,
147,PT01M54.00S,2023-03-12T00:35:36.7Z,1,REGULAR,rebound,defensive,[],201588,,,1610612754,22,28,2023-03-12T00:35:42Z,1450000,False,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612754.0,IND,,,,Hill,G. Hill,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,146.0,1.0,1.0,0.0,,,,
148,PT01M43.00S,2023-03-12T00:35:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629670,12.040078843626807,51.71568627450981,1610612754,22,30,2023-03-12T00:35:54Z,1460000,False,-9.0,61.0,1,left,J. Nwora 6' driving floating Jump Shot (2 PTS) (J. Johnson 1 AST),"[1629670, 201949]",1610612754.0,IND,driving floating,,,Nwora,J. Nwora,,,,,In The Paint (Non-RA),0-8 Center,6.13,Made,2.0,,,,,,,J. Johnson,201949.0,1.0,,,,,,,,
150,PT01M33.00S,2023-03-12T00:35:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1630181,,,1610612765,22,30,2023-03-12T00:36:10Z,1480000,False,,,0,,R. Hampton lost ball out-of-bounds TURNOVER (1 TO),[1630181],1610612765.0,DET,lost ball,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,,,,203592.0,,,,,1.0,,,,,,,,,,,
151,PT01M20.00S,2023-03-12T00:36:18.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629670,27.677398160315374,77.69607843137256,1610612754,22,33,2023-03-12T00:36:25Z,1490000,False,-138.0,208.0,1,left,J. Nwora 24' 3PT  (5 PTS) (G. Hill 2 AST),"[1629670, 201588]",1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Left Center,24.96,Made,5.0,,,,,,,G. Hill,201588.0,2.0,,,,,,,,
153,PT01M05.00S,2023-03-12T00:36:36.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629670,,,1610612765,22,33,2023-03-12T00:36:48Z,1510000,False,,,0,,J. Nwora personal FOUL (1 PF) (Hampton 2 FT),"[1629670, 1630181]",1610612754.0,IND,,,,Nwora,J. Nwora,,,,,In The Paint (Non-RA),8-16 Center,,,,203592.0,1.0,0.0,Hampton,1630181.0,,,,,,,,,,,,
155,PT01M05.00S,2023-03-12T00:36:58.9Z,1,REGULAR,freethrow,1 of 2,[],1630181,,,1610612765,22,33,2023-03-12T00:37:23Z,1530000,False,,,0,,MISS R. Hampton Free Throw 1 of 2,[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
156,PT01M05.00S,2023-03-12T00:36:58.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,22,33,2023-03-12T00:37:23Z,1540000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,
158,PT01M05.00S,2023-03-12T00:36:58.9Z,1,REGULAR,freethrow,2 of 2,[],1630181,,,1610612765,22,33,2023-03-12T00:37:23Z,1550000,False,,,0,,MISS R. Hampton Free Throw 2 of 2,[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
159,PT01M03.00S,2023-03-12T00:37:00.9Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,22,33,2023-03-12T00:37:23Z,1560000,False,,,0,,J. Duren REBOUND (Off:2 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,158.0,3.0,1.0,2.0,,,,
160,PT01M01.00S,2023-03-12T00:37:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630587,91.80354796320631,50.98039215686274,1610612765,22,33,2023-03-12T00:37:27Z,1570000,False,5.0,25.0,1,right,MISS I. Livers cutting Layup,[1630587],1610612765.0,DET,cutting,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,,,,,
161,PT00M57.70S,2023-03-12T00:37:26.6Z,1,REGULAR,rebound,defensive,[],201588,,,1610612754,22,33,2023-03-12T00:37:26Z,1580000,False,,,0,,G. Hill REBOUND (Off:0 Def:2),[201588],1610612754.0,IND,,,,Hill,G. Hill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,160.0,2.0,2.0,0.0,,,,
162,PT00M57.30S,2023-03-12T00:37:27.2Z,1,REGULAR,turnover,bad pass,[],201588,,,1610612754,22,33,2023-03-12T00:37:31Z,1590000,False,,,0,,G. Hill bad pass TURNOVER (1 TO),"[201588, 1630587]",1610612754.0,IND,,,,Hill,G. Hill,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Livers,1630587.0
163,PT00M57.30S,2023-03-12T00:37:27.2Z,1,REGULAR,steal,,[],1630587,,,1610612765,22,33,2023-03-12T00:37:28Z,1600000,False,,,0,,I. Livers STEAL (1 STL),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
164,PT00M55.20S,2023-03-12T00:37:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630587,90.48948751642575,50.245098039215684,1610612765,24,33,2023-03-12T00:37:35Z,1610000,False,1.0,37.0,1,right,I. Livers Layup (5 PTS),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,3.69,Made,5.0,,,,,,,,,,,,,,,,,
165,PT00M38.10S,2023-03-12T00:37:49.6Z,1,REGULAR,foul,personal,['2freethrow'],1630647,,,1610612754,24,33,2023-03-12T00:38:04Z,1620000,False,,,0,,E. Omoruyi shooting personal FOUL (1 PF) (Smith 2 FT),"[1630647, 1630188]",1610612765.0,DET,shooting,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,,,,203592.0,1.0,0.0,Smith,1630188.0,,,,,,,,,,,,
167,PT00M38.10S,2023-03-12T00:38:12.3Z,1,REGULAR,freethrow,1 of 2,[],1630188,,,1610612754,24,34,2023-03-12T00:38:12Z,1640000,False,,,0,,J. Smith Free Throw 1 of 2 (1 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
168,PT00M38.10S,2023-03-12T00:38:27.0Z,1,REGULAR,freethrow,2 of 2,[],1630188,,,1610612754,24,35,2023-03-12T00:38:27Z,1650000,False,,,0,,J. Smith Free Throw 2 of 2 (2 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
169,PT00M28.90S,2023-03-12T00:38:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630181,76.16622864651774,89.95098039215686,1610612765,27,35,2023-03-12T00:38:43Z,1660000,False,200.0,172.0,1,right,R. Hampton 26' 3PT  (3 PTS) (C. Joseph 2 AST),"[1630181, 202709]",1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,26.33,Made,3.0,,,,,,,C. Joseph,202709.0,2.0,,,,,,,,
171,PT00M12.90S,2023-03-12T00:38:59.6Z,1,REGULAR,turnover,out-of-bounds,[],201588,,,1610612754,27,35,2023-03-12T00:39:08Z,1680000,False,,,0,,G. Hill lost ball out-of-bounds TURNOVER (2 TO),[201588],1610612754.0,IND,lost ball,,,Hill,G. Hill,,,,,Mid-Range,8-16 Right,,,,2715.0,,,,,2.0,,,,,,,,,,,
172,PT00M01.60S,2023-03-12T00:39:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630647,75.1149802890933,15.196078431372548,1610612765,30,35,2023-03-12T00:39:26Z,1690000,False,-174.0,181.0,1,right,E. Omoruyi 25' 3PT  (3 PTS) (C. Joseph 3 AST),"[1630647, 202709]",1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,Above the Break 3,24+ Left Center,25.14,Made,3.0,,,,,,,C. Joseph,202709.0,3.0,,,,,,,,
174,PT00M00.00S,2023-03-12T00:39:24.6Z,1,REGULAR,period,end,[],0,,,1610612754,30,35,2023-03-12T00:39:24Z,1710000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-03-12T00:41:28.9Z,2,REGULAR,substitution,out,['startperiod'],1630587,,,1610612754,30,35,2023-03-12T00:42:04Z,1720000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-03-12T00:41:28.9Z,2,REGULAR,substitution,out,['startperiod'],201588,,,1610612754,30,35,2023-03-12T00:42:04Z,1730000,False,,,0,,SUB out: G. Hill,[201588],1610612754.0,IND,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2023-03-12T00:41:28.9Z,2,REGULAR,substitution,in,['startperiod'],203585,,,1610612754,30,35,2023-03-12T00:42:04Z,1740000,False,,,0,,SUB in: R. McGruder,[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2023-03-12T00:41:28.9Z,2,REGULAR,substitution,in,['startperiod'],1630537,,,1610612754,30,35,2023-03-12T00:42:04Z,1750000,False,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2023-03-12T00:42:16.8Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,30,35,2023-03-12T00:42:26Z,1755000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612765.0,DET,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,,,
