actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
94,PT04M24.00S,2026-03-26T23:28:48.1Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,16,17,2026-03-26T23:29:00Z,910000,False,,,0,,M. Sasser REBOUND (Off:0 Def:1),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Right Center,,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,
95,PT04M22.00S,2026-03-26T23:28:55.0Z,1,REGULAR,turnover,bad pass,[],1631204,,,1610612765,16,17,2026-03-26T23:29:07Z,920000,False,,,0,,M. Sasser bad pass TURNOVER (1 TO),"[1631204, 1629627]",1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,,,Williamson,1629627.0,,,,
96,PT04M22.00S,2026-03-26T23:28:55.0Z,1,REGULAR,steal,,[],1629627,,,1610612740,16,17,2026-03-26T23:28:57Z,930000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
97,PT04M19.00S,2026-03-26T23:28:58.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629627,90.19382391590013,57.35294117647059,1610612740,16,19,2026-03-26T23:33:08Z,940000,False,37.0,40.0,1,right,Z. Williamson driving DUNK (4 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,5.41,Made,4.0,,,,,,,,,,,,,,,
98,PT04M06.00S,2026-03-26T23:29:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641842,6.093955321944804,42.892156862745104,1610612765,18,19,2026-03-26T23:29:21Z,950000,False,36.0,5.0,1,left,R. Holland II cutting Layup (2 PTS) (J. Duren 2 AST),"[1641842, 1631105]",1610612765.0,DET,cutting,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,3.58,Made,2.0,J. Duren,1631105.0,2.0,,,,,,,,,,,,
100,PT03M57.00S,2026-03-26T23:29:18.6Z,1,REGULAR,foul,personal,[],1641842,,,1610612740,18,19,2026-03-26T23:29:29Z,970000,False,,,0,,R. Holland II personal FOUL (1 PF),"[1641842, 1627749]",1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Mid-Range,16-24 Center,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627749.0
102,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,out,[],1631105,,,1610612740,18,19,2026-03-26T23:29:43Z,990000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,out,[],202699,,,1610612740,18,19,2026-03-26T23:29:43Z,1000000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,18,19,2026-03-26T23:29:43Z,1010000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,out,[],1627749,,,1610612740,18,19,2026-03-26T23:29:43Z,1020000,False,,,0,,SUB out: D. Murray,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,in,[],1629750,,,1610612740,18,19,2026-03-26T23:29:43Z,1030000,False,,,0,,SUB in: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,in,[],1630194,,,1610612740,18,19,2026-03-26T23:29:43Z,1040000,False,,,0,,SUB in: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,in,[],1642852,,,1610612740,18,19,2026-03-26T23:29:43Z,1050000,False,,,0,,SUB in: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M57.00S,2026-03-26T23:29:26.2Z,1,REGULAR,substitution,in,[],1642847,,,1610612740,18,19,2026-03-26T23:29:43Z,1060000,False,,,0,,SUB in: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M41.00S,2026-03-26T23:29:59.1Z,1,REGULAR,2pt,Jump Shot,[],1642852,94.3988173455979,29.166666666666657,1610612740,18,19,2026-03-26T23:30:10Z,1070000,False,-104.0,0.0,1,right,MISS D. Queen 10' fadeaway Shot,[1642852],1610612740.0,NOP,fadeaway,,,Queen,D. Queen,,,,,Mid-Range,8-16 Left,,,10.42,Missed,,,,,,,,,,,,,,,,
111,PT03M40.00S,2026-03-26T23:30:00.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,18,19,2026-03-26T23:30:10Z,1080000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,110.0,,,,,,,,,,,
112,PT03M40.00S,2026-03-26T23:30:05.9Z,1,REGULAR,foul,personal,[],1630194,,,1610612740,18,19,2026-03-26T23:34:48Z,1090000,False,,,0,,P. Reed loose ball personal FOUL (1 PF),"[1630194, 1642274]",1610612765.0,DET,loose ball,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Missi,1642274.0
114,PT03M32.00S,2026-03-26T23:30:25.2Z,1,REGULAR,turnover,bad pass,[],1642847,,,1610612740,18,19,2026-03-26T23:30:29Z,1110000,False,,,0,,J. Fears bad pass TURNOVER (1 TO),"[1642847, 1630194]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Reed,1630194.0,,,,
115,PT03M32.00S,2026-03-26T23:30:25.2Z,1,REGULAR,steal,,[],1630194,,,1610612765,18,19,2026-03-26T23:30:27Z,1120000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
116,PT03M25.00S,2026-03-26T23:30:32.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641842,10.167542706964511,60.294117647058826,1610612765,18,19,2026-03-26T23:36:26Z,1130000,False,-51.0,43.0,1,left,MISS R. Holland II 6' running Layup - blocked,"[1641842, 1630529]",1610612765.0,DET,running,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,,6.72,Missed,,,,,,,,,Jones,1630529.0,,,,,,
117,PT03M25.00S,2026-03-26T23:30:32.6Z,1,REGULAR,block,,[],1630529,,,1610612765,18,19,2026-03-26T23:30:36Z,1140000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT03M24.00S,2026-03-26T23:30:33.6Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,18,19,2026-03-26T23:30:44Z,1150000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,
119,PT03M19.00S,2026-03-26T23:30:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642847,90.98226018396846,47.79411764705882,1610612740,18,21,2026-03-26T23:30:48Z,1160000,False,-11.0,32.0,1,right,J. Fears running Layup (2 PTS),[1642847],1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,3.41,Made,2.0,,,,,,,,,,,,,,,
120,PT03M06.00S,2026-03-26T23:30:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,4.911300919842304,57.1078431372549,1610612765,20,21,2026-03-26T23:31:01Z,1170000,False,-36.0,-6.0,1,left,K. Huerter reverse Layup (7 PTS) (M. Sasser 1 AST),"[1628989, 1631204]",1610612765.0,DET,reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,3.61,Made,7.0,M. Sasser,1631204.0,1.0,,,,,,,,,,,,
122,PT02M49.00S,2026-03-26T23:31:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,95.18725361366623,52.94117647058824,1610612740,20,23,2026-03-26T23:31:17Z,1190000,False,15.0,-7.0,1,right,D. Queen driving Layup (2 PTS) (Y. Missi 1 AST),"[1642852, 1642274]",1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,1.64,Made,2.0,Y. Missi,1642274.0,1.0,,,,,,,,,,,,
124,PT02M49.00S,2026-03-26T23:31:15.2Z,1,REGULAR,foul,personal,['1freethrow'],1630194,,,1610612740,20,23,2026-03-26T23:31:21Z,1210000,False,,,0,,P. Reed shooting personal FOUL (2 PF) (Queen 1 FT),"[1630194, 1642852]",1610612765.0,DET,shooting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,204059.0,,,,,,,,,,,,,,,,2.0,0.0,Queen,1642852.0
126,PT02M49.00S,2026-03-26T23:31:22.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612740,20,23,2026-03-26T23:31:51Z,1230000,False,,,0,,SUB out: K. Huerter,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M49.00S,2026-03-26T23:31:22.0Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,20,23,2026-03-26T23:31:51Z,1240000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M49.00S,2026-03-26T23:31:22.0Z,1,REGULAR,substitution,in,[],1642450,,,1610612740,20,23,2026-03-26T23:31:51Z,1250000,False,,,0,,SUB in: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M49.00S,2026-03-26T23:31:22.0Z,1,REGULAR,substitution,in,[],1630180,,,1610612740,20,23,2026-03-26T23:31:51Z,1260000,False,,,0,,SUB in: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M49.00S,2026-03-26T23:31:45.5Z,1,REGULAR,freethrow,1 of 1,[],1642852,,,1610612740,20,24,2026-03-26T23:31:45Z,1270000,False,,,0,,D. Queen Free Throw 1 of 1 (3 PTS),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
131,PT02M35.00S,2026-03-26T23:32:00.7Z,1,REGULAR,3pt,Jump Shot,[],1631204,8.459264126149804,97.79411764705883,1610612765,23,24,2026-03-26T23:32:04Z,1280000,False,-239.0,27.0,1,left,M. Sasser 24' 3PT  (3 PTS) (D. Jenkins 2 AST),"[1631204, 1642450]",1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Left Corner 3,24+ Left,,,24.05,Made,3.0,D. Jenkins,1642450.0,2.0,,,,,,,,,,,,
133,PT02M18.00S,2026-03-26T23:32:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,91.77069645203679,49.01960784313726,1610612740,23,24,2026-03-26T23:38:27Z,1300000,False,-5.0,25.0,1,right,MISS Y. Missi floating Shot,[1642274],1610612740.0,NOP,floating,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,2.54,Missed,,,,,,,,,,,,,,,,
134,PT02M16.00S,2026-03-26T23:32:19.3Z,1,REGULAR,rebound,offensive,[],1642847,,,1610612740,23,24,2026-03-26T23:32:19Z,1310000,False,,,0,,J. Fears REBOUND (Off:1 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,,,,133.0,2.0,1.0,1.0,,,,,,,,
135,PT02M11.00S,2026-03-26T23:32:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642274,90.06241787122208,48.0392156862745,1610612740,23,26,2026-03-26T23:32:31Z,1320000,False,-10.0,41.0,1,right,Y. Missi cutting Layup (2 PTS) (J. Fears 1 AST),"[1642274, 1642847]",1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,4.21,Made,2.0,J. Fears,1642847.0,1.0,,,,,,,,,,,,
137,PT01M49.00S,2026-03-26T23:32:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631204,19.365965834428394,49.754901960784316,1610612765,23,26,2026-03-26T23:32:52Z,1340000,False,1.0,130.0,1,left,MISS M. Sasser 12' pullup Shot,[1631204],1610612765.0,DET,pullup,,,Sasser,M. Sasser,,,,,In The Paint (Non-RA),8-16 Center,,,12.95,Missed,,,,,,,,,,,,,,,,
138,PT01M46.00S,2026-03-26T23:32:50.5Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,23,26,2026-03-26T23:32:52Z,1350000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,
139,PT01M44.00S,2026-03-26T23:32:53.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1642852,90.5880420499343,48.0392156862745,1610612740,23,26,2026-03-26T23:33:05Z,1360000,False,-10.0,36.0,1,right,MISS D. Queen running DUNK,[1642852],1610612740.0,NOP,running,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,3.73,Missed,,,,,,,,,,,,,,,,
140,PT01M43.00S,2026-03-26T23:32:54.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,23,26,2026-03-26T23:51:16Z,1370000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,139.0,2.0,1.0,1.0,,,,,,,,
142,PT01M43.00S,2026-03-26T23:33:00.0Z,1,REGULAR,substitution,out,[],1631204,,,1610612740,23,26,2026-03-26T23:33:06Z,1380000,False,,,0,,SUB out: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M43.00S,2026-03-26T23:33:00.0Z,1,REGULAR,substitution,in,[],1642404,,,1610612740,23,26,2026-03-26T23:33:06Z,1390000,False,,,0,,SUB in: C. Lanier,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M40.00S,2026-03-26T23:33:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,92.42772667542707,54.65686274509804,1610612740,23,28,2026-03-26T23:33:17Z,1400000,False,23.0,19.0,1,right,S. Bey Layup (10 PTS) (D. Queen 1 AST),"[1630180, 1642852]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,2.99,Made,10.0,D. Queen,1642852.0,1.0,,,,,,,,,,,,
146,PT01M21.00S,2026-03-26T23:33:32.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,6.356767411300922,2.6960784313725554,1610612765,23,28,2026-03-26T23:33:36Z,1420000,False,237.0,7.0,1,left,MISS J. Green 3PT,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,23.66,Missed,,,,,,,,,,,,,,,,
147,PT01M18.00S,2026-03-26T23:33:35.4Z,1,REGULAR,rebound,offensive,[],1641842,,,1610612765,23,28,2026-03-26T23:33:35Z,1430000,False,,,0,,R. Holland II REBOUND (Off:1 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Right Corner 3,24+ Right,,,,,,,,,146.0,2.0,1.0,1.0,,,,,,,,
148,PT01M17.00S,2026-03-26T23:33:36.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642404,7.408015768725363,97.05882352941177,1610612765,26,28,2026-03-26T23:33:40Z,1440000,False,-235.0,17.0,1,left,C. Lanier 3PT  (3 PTS) (R. Holland II 1 AST),"[1642404, 1641842]",1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Left Corner 3,24+ Left,,,23.59,Made,3.0,R. Holland II,1641842.0,1.0,,,,,,,,,,,,
150,PT01M04.00S,2026-03-26T23:33:49.7Z,1,REGULAR,3pt,Jump Shot,[],1641722,92.69053876478318,96.81372549019608,1610612740,26,31,2026-03-26T23:33:53Z,1460000,False,234.0,16.0,1,right,J. Hawkins 3PT  (3 PTS) (J. Fears 2 AST),"[1641722, 1642847]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Right Corner 3,24+ Right,,,23.47,Made,3.0,J. Fears,1642847.0,2.0,,,,,,,,,,,,
152,PT00M52.60S,2026-03-26T23:34:05.4Z,1,REGULAR,foul,personal,[],1642847,,,1610612765,26,31,2026-03-26T23:34:12Z,1480000,False,,,0,,J. Fears personal FOUL (1 PF),"[1642847, 1642450]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,Mid-Range,16-24 Left Center,1628953.0,,,,,,,,,,,,,,,,1.0,0.0,Jenkins,1642450.0
154,PT00M47.60S,2026-03-26T23:34:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641842,7.408015768725363,58.57843137254902,1610612765,26,31,2026-03-26T23:42:52Z,1500000,False,-43.0,17.0,1,left,MISS R. Holland II driving Layup - blocked,"[1641842, 1642274]",1610612765.0,DET,driving,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,,4.62,Missed,,,,,,,,,Missi,1642274.0,,,,,,
155,PT00M47.60S,2026-03-26T23:34:28.9Z,1,REGULAR,block,,[],1642274,,,1610612765,26,31,2026-03-26T23:34:31Z,1510000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
156,PT00M46.80S,2026-03-26T23:34:29.7Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,26,31,2026-03-26T23:34:37Z,1520000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,154.0,1.0,1.0,0.0,,,,,,,,
157,PT00M40.00S,2026-03-26T23:34:36.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642847,74.81931668856767,14.215686274509807,1610612740,26,31,2026-03-26T23:44:16Z,1530000,False,-179.0,184.0,1,right,MISS J. Fears 25' running 3PT,[1642847],1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,25.68,Missed,,,,,,,,,,,,,,,,
158,PT00M39.50S,2026-03-26T23:34:37.1Z,1,REGULAR,rebound,defensive,[],1642450,,,1610612765,26,31,2026-03-26T23:44:34Z,1540000,False,,,0,,D. Jenkins REBOUND (Off:0 Def:1),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,
159,PT00M36.60S,2026-03-26T23:34:42.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642450,33.55781865965835,58.088235294117645,1610612765,29,31,2026-03-26T23:44:42Z,1550000,False,-40.0,263.0,1,left,D. Jenkins 26' 3PT running pullup (5 PTS),[1642450],1610612765.0,DET,running pullup,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Center,,,26.6,Made,5.0,,,,,,,,,,,,,,,
160,PT00M16.70S,2026-03-26T23:35:02.6Z,1,REGULAR,3pt,Jump Shot,[],1642852,69.82588699080158,20.09803921568627,1610612740,29,31,2026-03-26T23:35:07Z,1560000,False,-150.0,231.0,1,right,MISS D. Queen 27' 3PT,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,,27.52,Missed,,,,,,,,,,,,,,,,
161,PT00M13.30S,2026-03-26T23:35:06.0Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,29,31,2026-03-26T23:35:06Z,1570000,False,,,0,,R. Holland II REBOUND (Off:1 Def:2),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Left Center,,,,,,,,,160.0,3.0,2.0,1.0,,,,,,,,
162,PT00M05.00S,2026-03-26T23:35:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,5.831143232588701,39.70588235294118,1610612765,31,31,2026-03-26T23:35:22Z,1580000,False,51.0,2.0,1,left,P. Reed Layup (2 PTS) (R. Holland II 2 AST),"[1630194, 1641842]",1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,5.16,Made,2.0,R. Holland II,1641842.0,2.0,,,,,,,,,,,,
164,PT00M05.00S,2026-03-26T23:35:20.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1642852,,,1610612765,31,31,2026-03-26T23:35:28Z,1600000,False,,,0,,D. Queen shooting personal FOUL (1 PF) (Reed 1 FT),"[1642852, 1630194]",1610612740.0,NOP,shooting,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Reed,1630194.0
166,PT00M05.00S,2026-03-26T23:35:31.5Z,1,REGULAR,substitution,out,[],1642404,,,1610612765,31,31,2026-03-26T23:36:00Z,1620000,False,,,0,,SUB out: C. Lanier,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M05.00S,2026-03-26T23:35:31.5Z,1,REGULAR,substitution,out,[],1642274,,,1610612765,31,31,2026-03-26T23:36:00Z,1630000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M05.00S,2026-03-26T23:35:31.5Z,1,REGULAR,substitution,in,[],1641709,,,1610612765,31,31,2026-03-26T23:36:00Z,1640000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M05.00S,2026-03-26T23:35:31.5Z,1,REGULAR,substitution,in,[],1629627,,,1610612765,31,31,2026-03-26T23:36:00Z,1650000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M05.00S,2026-03-26T23:35:58.8Z,1,REGULAR,freethrow,1 of 1,[],1630194,,,1610612765,31,31,2026-03-26T23:35:58Z,1660000,False,,,0,,MISS P. Reed Free Throw 1 of 1,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
171,PT00M02.70S,2026-03-26T23:36:01.1Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,31,31,2026-03-26T23:36:07Z,1670000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,170.0,2.0,2.0,0.0,,,,,,,,
172,PT00M00.40S,2026-03-26T23:36:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.87319316688567,41.666666666666664,1610612740,31,33,2026-03-26T23:46:08Z,1680000,False,-42.0,5.0,1,right,Z. Williamson driving Layup (6 PTS) (J. Fears 3 AST),"[1629627, 1642847]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,4.2,Made,6.0,J. Fears,1642847.0,3.0,,,,,,,,,,,,
175,PT00M00.00S,2026-03-26T23:36:39.1Z,1,REGULAR,period,end,[],0,,,1610612765,31,33,2026-03-26T23:36:39Z,1710000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,out,['startperiod'],1630194,,,1610612765,31,33,2026-03-26T23:38:56Z,1720000,False,,,0,,SUB out: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,out,['startperiod'],1641709,,,1610612765,31,33,2026-03-26T23:38:56Z,1730000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,out,['startperiod'],1630180,,,1610612765,31,33,2026-03-26T23:38:56Z,1740000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,in,['startperiod'],1631105,,,1610612765,31,33,2026-03-26T23:38:56Z,1750000,False,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,in,['startperiod'],1642404,,,1610612765,31,33,2026-03-26T23:38:56Z,1760000,False,,,0,,SUB in: C. Lanier,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2026-03-26T23:38:28.7Z,2,REGULAR,substitution,in,['startperiod'],1642274,,,1610612765,31,33,2026-03-26T23:38:56Z,1770000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2026-03-26T23:39:09.6Z,2,REGULAR,period,start,[],0,,,1610612765,31,33,2026-03-26T23:39:09Z,1780000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
