actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT05M14.00S,2025-11-13T00:23:28.0Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,18,9,2025-11-13T00:23:28Z,820000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,
85,PT05M10.00S,2025-11-13T00:23:31.6Z,1,REGULAR,turnover,lost ball,[],1630245,,,1610612741,18,9,2025-11-13T00:23:37Z,830000,False,,,0,,A. Dosunmu lost ball TURNOVER (1 TO),"[1630245, 1641842]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,,,,,,Holland II,1641842.0,,,,
86,PT05M10.00S,2025-11-13T00:23:31.6Z,1,REGULAR,steal,,[],1641842,,,1610612765,18,9,2025-11-13T00:23:34Z,840000,False,,,0,,R. Holland II STEAL (1 STL),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
87,PT04M55.00S,2025-11-13T00:23:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641842,8.754927726675426,96.32352941176471,1610612765,21,9,2025-11-13T00:23:50Z,850000,False,-232.0,30.0,1,left,R. Holland II 3PT  (3 PTS) (D. Jenkins 4 AST),"[1641842, 1642450]",1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Left Corner 3,24+ Left,,,23.35,Made,3.0,D. Jenkins,1642450.0,4.0,,,,,,,,,,,,
89,PT04M39.00S,2025-11-13T00:24:11.3Z,1,REGULAR,turnover,traveling,[],202696,,,1610612741,21,9,2025-11-13T00:24:19Z,870000,False,,,0,,N. Vučević traveling TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,,,,,,,,,,,,,,,,,,
90,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,out,[],1641842,,,1610612765,21,9,2025-11-13T00:24:44Z,880000,False,,,0,,SUB out: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,out,[],1630194,,,1610612765,21,9,2025-11-13T00:24:44Z,890000,False,,,0,,SUB out: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,out,[],1629130,,,1610612765,21,9,2025-11-13T00:24:44Z,900000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,out,[],202696,,,1610612765,21,9,2025-11-13T00:24:44Z,910000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,out,[],1630171,,,1610612765,21,9,2025-11-13T00:24:44Z,920000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,in,[],1642449,,,1610612765,21,9,2025-11-13T00:24:44Z,930000,False,,,0,,SUB in: T. Smith,[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,in,[],1642404,,,1610612765,21,9,2025-11-13T00:24:44Z,940000,False,,,0,,SUB in: C. Lanier,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,in,[],1627747,,,1610612765,21,9,2025-11-13T00:24:44Z,950000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,in,[],1628975,,,1610612765,21,9,2025-11-13T00:24:44Z,960000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M39.00S,2025-11-13T00:24:20.9Z,1,REGULAR,substitution,in,[],1630188,,,1610612765,21,9,2025-11-13T00:24:44Z,970000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M25.00S,2025-11-13T00:24:49.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642450,20.318659658344284,44.36274509803921,1610612765,21,9,2025-11-13T00:24:56Z,980000,False,28.0,138.0,1,left,MISS D. Jenkins 14' driving floating Shot,[1642450],1610612765.0,DET,driving floating,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),8-16 Center,,,14.13,Missed,,,,,,,,,,,,,,,,
101,PT04M20.00S,2025-11-13T00:24:54.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,21,9,2025-11-13T00:24:56Z,990000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,100.0,1.0,1.0,0.0,,,,,,,,
102,PT04M18.00S,2025-11-13T00:24:57.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630245,90.75229960578186,35.78431372549019,1610612741,21,9,2025-11-13T01:15:41Z,1000000,False,-71.0,34.0,1,right,MISS A. Dosunmu 7' driving floating Shot - blocked,"[1630245, 1642449]",1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,7.9,Missed,,,,,,,,,Smith,1642449.0,,,,,,
103,PT04M18.00S,2025-11-13T00:24:57.9Z,1,REGULAR,block,,[],1642449,,,1610612741,21,9,2025-11-13T00:25:01Z,1010000,False,,,0,,T. Smith BLOCK (1 BLK),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
104,PT04M16.00S,2025-11-13T00:24:59.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612741,21,9,2025-11-13T01:15:41Z,1020000,False,,,0,,J. Smith REBOUND (Off:1 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,102.0,2.0,1.0,1.0,,,,,,,,
105,PT04M15.00S,2025-11-13T00:25:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,89.70105124835742,50.0,1610612741,21,9,2025-11-13T04:00:16Z,1030000,False,0.0,44.0,1,right,MISS J. Smith putback Layup,[1630188],1610612741.0,CHI,putback,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,4.43,Missed,,,,,,,,,,,,,,,,
106,PT04M14.00S,2025-11-13T00:25:03.7Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612765,21,9,2025-11-13T01:16:00Z,1040000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,105.0,2.0,2.0,0.0,,,,,,,,
107,PT04M13.00S,2025-11-13T00:25:06.5Z,1,REGULAR,turnover,bad pass,[],1629750,,,1610612765,21,9,2025-11-13T01:16:13Z,1050000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1629750, 1628975]",1610612765.0,DET,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,,,Carter,1628975.0,,,,
108,PT04M13.00S,2025-11-13T00:25:06.5Z,1,REGULAR,steal,,[],1628975,,,1610612741,21,9,2025-11-13T00:25:09Z,1060000,False,,,0,,J. Carter STEAL (1 STL),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
109,PT04M12.00S,2025-11-13T00:25:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,69.69448094612352,75.49019607843138,1610612741,21,12,2025-11-13T01:16:18Z,1070000,False,127.0,232.0,1,right,J. Carter 26' 3PT pullup (3 PTS),[1628975],1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,,,26.51,Made,3.0,,,,,,,,,,,,,,,
110,PT03M49.00S,2025-11-13T00:25:27.1Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612765,21,12,2025-11-13T00:25:50Z,1080000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Green 2 FT),"[1630245, 1629750]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,2534.0,,,,,,,,,,,,,,,,1.0,0.0,Green,1629750.0
112,PT03M49.00S,2025-11-13T00:25:58.8Z,1,REGULAR,freethrow,1 of 2,[],1629750,,,1610612765,21,12,2025-11-13T00:26:31Z,1100000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
113,PT03M49.00S,2025-11-13T00:25:58.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,21,12,2025-11-13T00:26:31Z,1110000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,
114,PT03M49.00S,2025-11-13T00:25:59.9Z,1,REGULAR,substitution,out,[],1642450,,,1610612765,21,12,2025-11-13T00:26:04Z,1120000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M49.00S,2025-11-13T00:25:59.9Z,1,REGULAR,substitution,in,[],1641752,,,1610612765,21,12,2025-11-13T00:26:04Z,1130000,False,,,0,,SUB in: B. Klintman,[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M49.00S,2025-11-13T00:25:58.8Z,1,REGULAR,freethrow,2 of 2,[],1629750,,,1610612765,21,12,2025-11-13T00:26:31Z,1140000,False,,,0,,MISS J. Green Free Throw 2 of 2,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
117,PT03M48.00S,2025-11-13T00:25:59.8Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612765,21,12,2025-11-13T00:56:21Z,1150000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,116.0,3.0,2.0,1.0,,,,,,,,
120,PT03M46.00S,2025-11-13T00:26:37.7Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612765,21,12,2025-11-13T00:26:48Z,1180000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Green 2 FT),"[1630188, 1629750]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,1626300.0,,,,,,,,,,,,,,,,1.0,0.0,Green,1629750.0
122,PT03M46.00S,2025-11-13T00:26:57.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629750,,,1610612765,21,12,2025-11-13T00:26:57Z,1200000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
123,PT03M46.00S,2025-11-13T00:26:57.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,21,12,2025-11-13T00:26:57Z,1210000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,
124,PT03M46.00S,2025-11-13T00:27:13.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629750,,,1610612765,22,12,2025-11-13T00:27:13Z,1220000,False,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
125,PT03M35.00S,2025-11-13T00:27:30.1Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612741,22,12,2025-11-13T00:27:52Z,1230000,False,,,0,,C. LeVert shooting personal FOUL (1 PF) (Terry 2 FT),"[1627747, 1631207]",1610612765.0,DET,shooting,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Right,1626300.0,,,,,,,,,,,,,,,,1.0,0.0,Terry,1631207.0
127,PT03M35.00S,2025-11-13T00:27:55.5Z,1,REGULAR,freethrow,1 of 2,[],1631207,,,1610612741,22,12,2025-11-13T00:28:18Z,1250000,False,,,0,,MISS D. Terry Free Throw 1 of 2,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
128,PT03M35.00S,2025-11-13T00:27:55.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,22,12,2025-11-13T00:28:18Z,1260000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,
129,PT03M35.00S,2025-11-13T00:27:58.1Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,22,12,2025-11-13T00:28:03Z,1270000,False,,,0,,SUB out: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M35.00S,2025-11-13T00:27:58.1Z,1,REGULAR,substitution,in,[],1629130,,,1610612741,22,12,2025-11-13T00:28:03Z,1280000,False,,,0,,SUB in: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M35.00S,2025-11-13T00:27:55.5Z,1,REGULAR,freethrow,2 of 2,[],1631207,,,1610612741,22,12,2025-11-13T00:28:18Z,1290000,False,,,0,,MISS D. Terry Free Throw 2 of 2,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
132,PT03M33.00S,2025-11-13T00:27:57.5Z,1,REGULAR,rebound,defensive,[],1642449,,,1610612765,22,12,2025-11-13T00:28:18Z,1300000,False,,,0,,T. Smith REBOUND (Off:0 Def:1),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,,,,,,,,,,,131.0,1.0,1.0,0.0,,,,,,,,
133,PT03M15.00S,2025-11-13T00:28:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642449,8.492115637319317,59.068627450980394,1610612765,24,12,2025-11-13T00:28:38Z,1310000,False,-45.0,27.0,1,left,T. Smith Layup (2 PTS),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,5.29,Made,2.0,,,,,,,,,,,,,,,
134,PT03M09.00S,2025-11-13T00:28:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,91.67214191852825,53.92156862745098,1610612741,24,14,2025-11-13T00:28:45Z,1320000,False,20.0,26.0,1,right,A. Dosunmu driving Layup (2 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,3.24,Made,2.0,,,,,,,,,,,,,,,
135,PT02M54.00S,2025-11-13T00:28:55.3Z,1,REGULAR,turnover,bad pass,[],1641752,,,1610612765,24,14,2025-11-13T00:29:02Z,1330000,False,,,0,,B. Klintman bad pass TURNOVER (1 TO),"[1641752, 1631207]",1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,,,,,,,Terry,1631207.0,,,,
136,PT02M54.00S,2025-11-13T00:28:55.3Z,1,REGULAR,steal,,[],1631207,,,1610612741,24,14,2025-11-13T00:28:57Z,1340000,False,,,0,,D. Terry STEAL (1 STL),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
137,PT02M47.00S,2025-11-13T00:29:01.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630245,89.30683311432325,95.58823529411765,1610612741,24,14,2025-11-13T00:51:09Z,1350000,False,228.0,48.0,1,right,MISS A. Dosunmu running 3PT,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,,,23.29,Missed,,,,,,,,,,,,,,,,
138,PT02M45.00S,2025-11-13T00:29:03.2Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,24,14,2025-11-13T00:52:36Z,1360000,False,,,0,,P. Williams REBOUND (Off:2 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,137.0,2.0,0.0,2.0,,,,,,,,
139,PT02M39.00S,2025-11-13T00:29:10.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630172,68.9388961892247,71.56862745098039,1610612741,24,14,2025-11-13T00:29:14Z,1370000,False,108.0,239.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,26.26,Missed,,,,,,,,,,,,,,,,
140,PT02M36.00S,2025-11-13T00:29:13.3Z,1,REGULAR,rebound,defensive,[],1641752,,,1610612765,24,14,2025-11-13T00:29:13Z,1380000,False,,,0,,B. Klintman REBOUND (Off:0 Def:1),[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Above the Break 3,24+ Right Center,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,
141,PT02M27.00S,2025-11-13T00:29:21.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642449,7.835085413929041,49.50980392156863,1610612765,26,14,2025-11-13T00:29:29Z,1390000,False,2.0,21.0,1,left,T. Smith DUNK (4 PTS) (C. LeVert 1 AST),"[1642449, 1627747]",1610612765.0,DET,,,,Smith,T. Smith,,,,,Restricted Area,0-8 Center,,,2.12,Made,4.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,
143,PT02M18.00S,2025-11-13T00:29:30.4Z,1,REGULAR,3pt,Jump Shot,[],1628975,89.30683311432325,3.431372549019608,1610612741,26,17,2025-11-13T00:29:40Z,1410000,False,-233.0,48.0,1,right,J. Carter 3PT  (6 PTS) (D. Terry 1 AST),"[1628975, 1631207]",1610612741.0,CHI,,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,,,23.77,Made,6.0,D. Terry,1631207.0,1.0,,,,,,,,,,,,
145,PT01M55.00S,2025-11-13T00:29:53.5Z,1,REGULAR,3pt,Jump Shot,[],1627747,28.07161629434954,23.284313725490197,1610612765,26,17,2025-11-13T00:30:00Z,1430000,False,134.0,211.0,1,left,MISS C. LeVert 25' pullup 3PT,[1627747],1610612765.0,DET,pullup,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,25.01,Missed,,,,,,,,,,,,,,,,
146,PT01M53.00S,2025-11-13T00:29:55.5Z,1,REGULAR,rebound,offensive,[],1642449,,,1610612765,26,17,2025-11-13T00:30:00Z,1440000,False,,,0,,T. Smith REBOUND (Off:1 Def:1),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,145.0,2.0,1.0,1.0,,,,,,,,
147,PT01M51.00S,2025-11-13T00:29:57.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641752,30.436925098554536,72.05882352941177,1610612765,29,17,2025-11-13T00:30:02Z,1450000,False,-110.0,234.0,1,left,B. Klintman 25' 3PT  (3 PTS) (T. Smith 1 AST),"[1641752, 1642449]",1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Above the Break 3,24+ Left Center,,,25.83,Made,3.0,T. Smith,1642449.0,1.0,,,,,,,,,,,,
149,PT01M39.00S,2025-11-13T00:30:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630188,66.96780551905388,40.931372549019606,1610612741,29,17,2025-11-13T00:30:13Z,1470000,False,-45.0,258.0,1,right,MISS J. Smith 26' 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,26.19,Missed,,,,,,,,,,,,,,,,
150,PT01M36.00S,2025-11-13T00:30:12.1Z,1,REGULAR,rebound,defensive,[],1641752,,,1610612765,29,17,2025-11-13T00:30:13Z,1480000,False,,,0,,B. Klintman REBOUND (Off:0 Def:2),[1641752],1610612765.0,DET,,,,Klintman,B. Klintman,,,,,Above the Break 3,24+ Center,,,,,,,,,149.0,2.0,2.0,0.0,,,,,,,,
152,PT01M33.00S,2025-11-13T00:30:22.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,29,17,2025-11-13T00:30:22Z,1500000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M33.00S,2025-11-13T00:32:38.2Z,1,REGULAR,substitution,out,[],1630172,,,1610612765,29,17,2025-11-13T00:32:56Z,1510000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT01M33.00S,2025-11-13T00:32:38.2Z,1,REGULAR,substitution,in,[],1641763,,,1610612765,29,17,2025-11-13T00:32:56Z,1520000,False,,,0,,SUB in: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M27.00S,2025-11-13T00:33:21.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,11.645860709592641,4.411764705882353,1610612765,29,17,2025-11-13T00:33:25Z,1530000,False,228.0,57.0,1,left,MISS D. Robinson 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,23.49,Missed,,,,,,,,,,,,,,,,
156,PT01M24.00S,2025-11-13T00:33:24.2Z,1,REGULAR,rebound,defensive,[],1641763,,,1610612741,29,17,2025-11-13T00:33:25Z,1540000,False,,,0,,J. Phillips REBOUND (Off:0 Def:1),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Right Corner 3,24+ Right,,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,
157,PT01M11.00S,2025-11-13T00:33:37.0Z,1,REGULAR,3pt,Jump Shot,[],1630188,68.54467805519053,68.87254901960785,1610612741,29,20,2025-11-13T00:33:41Z,1550000,False,94.0,243.0,1,right,J. Smith 26' 3PT  (3 PTS) (J. Carter 1 AST),"[1630188, 1628975]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,26.09,Made,3.0,J. Carter,1628975.0,1.0,,,,,,,,,,,,
159,PT00M48.70S,2025-11-13T00:34:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1627747,8.229303547963205,44.36274509803921,1610612765,31,20,2025-11-13T00:34:20Z,1570000,False,28.0,25.0,1,left,C. LeVert driving Layup (2 PTS) (C. Lanier 1 AST),"[1627747, 1642404]",1610612765.0,DET,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,3.76,Made,2.0,C. Lanier,1642404.0,1.0,,,,,,,,,,,,
161,PT00M48.70S,2025-11-13T00:34:11.5Z,1,REGULAR,violation,defensive goaltending,[],1630188,,,1610612765,31,20,2025-11-13T00:34:35Z,1590000,False,,,0,,J. Smith defensive goaltending VIOLATION,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,1627519.0,,,,,,,,,,,,,,,,,,,
162,PT00M37.30S,2025-11-13T00:34:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,92.32917214191852,52.450980392156865,1610612741,31,20,2025-11-13T00:34:27Z,1600000,False,12.0,20.0,1,right,MISS J. Smith driving Layup,[1630188],1610612741.0,CHI,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,2.31,Missed,,,,,,,,,,,,,,,,
163,PT00M34.50S,2025-11-13T00:34:25.3Z,1,REGULAR,rebound,defensive,[],1642449,,,1610612765,31,20,2025-11-13T00:34:25Z,1610000,False,,,0,,T. Smith REBOUND (Off:1 Def:2),[1642449],1610612765.0,DET,,,,Smith,T. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,162.0,3.0,2.0,1.0,,,,,,,,
164,PT00M26.40S,2025-11-13T00:34:33.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,33.327858081471746,52.20588235294118,1610612765,34,20,2025-11-13T00:34:41Z,1620000,False,-11.0,261.0,1,left,D. Robinson 26' 3PT pullup (12 PTS) (T. Smith 2 AST),"[1629130, 1642449]",1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,26.1,Made,12.0,T. Smith,1642449.0,2.0,,,,,,,,,,,,
166,PT00M05.80S,2025-11-13T00:34:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630245,95.48291721419186,94.6078431372549,1610612741,34,23,2025-11-13T00:35:01Z,1640000,False,223.0,-10.0,1,right,A. Dosunmu 3PT  (5 PTS) (J. Carter 2 AST),"[1630245, 1628975]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,,,22.32,Made,5.0,J. Carter,1628975.0,2.0,,,,,,,,,,,,
168,PT00M00.80S,2025-11-13T00:35:20.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630245,,,1610612765,34,23,2025-11-13T00:36:39Z,1660000,False,,,0,,A. Dosunmu shooting personal FOUL (2 PF) (LeVert 2 FT),"[1630245, 1627747]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Left,1627519.0,,,,,,,,,,,,,,,,2.0,0.0,LeVert,1627747.0
171,PT00M00.80S,2025-11-13T00:36:47.1Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612765,35,23,2025-11-13T00:37:25Z,1675000,False,,,0,,C. LeVert Free Throw 1 of 2 (3 PTS),[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
