actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
202,PT10M00.00S,2025-11-18T00:49:24.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1631097,,,1610612754,32,25,2025-11-18T00:49:24Z,2020000,False,,,0,,B. Mathurin Free Throw 1 of 2 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
203,PT10M00.00S,2025-11-18T00:49:24.6Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1631097,,,1610612754,32,25,2025-11-18T00:49:45Z,2030000,False,,,0,,MISS B. Mathurin Free Throw 2 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
204,PT09M57.00S,2025-11-18T00:49:27.6Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,32,25,2025-11-18T00:49:45Z,2040000,False,,,0,,J. Duren REBOUND (Off:2 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,203.0,6.0,4.0,2.0,,,,,,,,,
205,PT09M47.00S,2025-11-18T00:49:57.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,10.200394218134035,53.18627450980392,1610612765,34,25,2025-11-18T00:50:09Z,2050000,False,-16.0,43.0,1,left,J. Duren alley-oop DUNK (12 PTS) (D. Jenkins 3 AST),"[1631105, 1642450]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,12.0,D. Jenkins,1642450.0,3.0,,,,,,,,,,,,,,
207,PT09M47.00S,2025-11-18T00:50:07.5Z,2,REGULAR,foul,personal,['1freethrow'],1631097,,,1610612765,34,25,2025-11-18T00:50:19Z,2070000,False,,,0,,B. Mathurin shooting personal FOUL (2 PF) (Duren 1 FT),"[1631097, 1631105]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1201.0,2.0,0.0,Duren,1631105.0,,,,
209,PT09M47.00S,2025-11-18T00:50:33.7Z,2,REGULAR,substitution,out,[],1641767,,,1610612765,34,25,2025-11-18T00:50:40Z,2090000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT09M47.00S,2025-11-18T00:50:33.7Z,2,REGULAR,substitution,in,[],1641716,,,1610612765,34,25,2025-11-18T00:50:40Z,2100000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT09M47.00S,2025-11-18T00:50:56.3Z,2,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,35,25,2025-11-18T00:50:56Z,2110000,False,,,0,,J. Duren Free Throw 1 of 1 (13 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
212,PT09M31.00S,2025-11-18T00:51:11.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,85.89027595269383,62.5,1610612754,35,25,2025-11-18T00:51:16Z,2120000,False,62.0,80.0,1,right,MISS T. McConnell 10' pullup Shot,[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),8-16 Right,10.16,Missed,,,,,,,,,,,,,,,,,,
213,PT09M29.00S,2025-11-18T00:51:14.4Z,2,REGULAR,rebound,defensive,[],1629750,,,1610612765,35,25,2025-11-18T00:51:14Z,2130000,False,,,0,,J. Green REBOUND (Off:1 Def:3),[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,212.0,4.0,3.0,1.0,,,,,,,,,
214,PT09M25.00S,2025-11-18T00:51:18.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,7.178055190538765,57.84313725490197,1610612765,37,25,2025-11-18T01:02:54Z,2140000,False,-39.0,15.0,1,left,J. Duren reverse DUNK (15 PTS) (D. Jenkins 4 AST),"[1631105, 1642450]",1610612765.0,DET,reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,4.2,Made,15.0,D. Jenkins,1642450.0,4.0,,,,,,,,,,,,,,
216,PT09M15.00S,2025-11-18T00:51:28.4Z,2,REGULAR,turnover,bad pass,[],1627783,,,1610612754,37,25,2025-11-18T00:51:32Z,2160000,False,,,0,,P. Siakam bad pass TURNOVER (2 TO),"[1627783, 1631111]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,2.0,,,,,,,,,,Moore Jr.,1631111.0,,
217,PT09M15.00S,2025-11-18T00:51:28.4Z,2,REGULAR,steal,,[],1631111,,,1610612765,37,25,2025-11-18T00:51:30Z,2170000,False,,,0,,W. Moore Jr. STEAL (1 STL),[1631111],1610612765.0,DET,,,,Moore Jr.,W. Moore Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
218,PT09M07.00S,2025-11-18T00:51:38.9Z,2,REGULAR,turnover,backcourt,[],1642450,,,1610612765,37,25,2025-11-18T00:51:49Z,2180000,False,,,0,,D. Jenkins backcourt TURNOVER (1 TO),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Center,,,,,,,1.0,,,,,1201.0,,,,,,,,
219,PT08M46.00S,2025-11-18T00:52:23.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,69.07030223390277,69.11764705882352,1610612754,37,25,2025-11-18T01:05:59Z,2190000,False,96.0,238.0,1,right,MISS B. Mathurin 25' pullup 3PT,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.67,Missed,,,,,,,,,,,,,,,,,,
220,PT08M43.00S,2025-11-18T00:52:26.6Z,2,REGULAR,rebound,defensive,[],1642404,,,1610612765,37,25,2025-11-18T00:52:26Z,2200000,False,,,0,,C. Lanier REBOUND (Off:0 Def:1),[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Above the Break 3,24+ Right Center,,,,,,,,219.0,1.0,1.0,0.0,,,,,,,,,
221,PT08M36.00S,2025-11-18T00:52:35.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,7.5722733245729295,44.11764705882353,1610612765,39,25,2025-11-18T00:52:41Z,2210000,False,29.0,19.0,1,left,D. Jenkins driving Layup (4 PTS),[1642450],1610612765.0,DET,driving,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,3.48,Made,4.0,,,,,,,,,,,,,,,,,
222,PT08M36.00S,2025-11-18T00:52:41.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,39,25,2025-11-18T00:52:41Z,2220000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,out,[],1629750,,,1610612754,39,25,2025-11-18T00:55:11Z,2230000,False,,,0,,SUB out: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,out,[],1631097,,,1610612754,39,25,2025-11-18T00:55:11Z,2240000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,out,[],1628396,,,1610612754,39,25,2025-11-18T00:55:11Z,2250000,False,,,0,,SUB out: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,in,[],1630191,,,1610612754,39,25,2025-11-18T00:55:11Z,2260000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,in,[],1630543,,,1610612754,39,25,2025-11-18T00:55:11Z,2270000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M36.00S,2025-11-18T00:52:41.8Z,2,REGULAR,substitution,in,[],1629614,,,1610612754,39,25,2025-11-18T00:55:11Z,2280000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M14.00S,2025-11-18T00:55:48.6Z,2,REGULAR,3pt,Jump Shot,[],1627783,67.49342969776609,31.862745098039213,1610612754,39,25,2025-11-18T00:55:57Z,2290000,False,-91.0,253.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,26.89,Missed,,,,,,,,,,,,,,,,,,
230,PT08M12.00S,2025-11-18T00:55:50.6Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,39,25,2025-11-18T00:56:08Z,2300000,False,,,0,,J. Duren REBOUND (Off:2 Def:5),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,,229.0,7.0,5.0,2.0,,,,,,,,,
231,PT08M05.00S,2025-11-18T00:55:54.4Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1642450,6.258212877792378,24.019607843137255,1610612765,41,25,2025-11-18T00:56:00Z,2310000,False,130.0,6.0,1,left,D. Jenkins 13' pullup Jump Shot (6 PTS),[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Right,13.01,Made,6.0,,,,,,,,,,,,,,,,,
233,PT07M54.00S,2025-11-18T00:56:05.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,88.78120893561103,49.50980392156863,1610612754,41,25,2025-11-18T00:56:13Z,2330000,False,-2.0,53.0,1,right,MISS T. McConnell turnaround Shot,[204456],1610612754.0,IND,turnaround,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
234,PT07M54.00S,2025-11-18T00:56:05.6Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,41,25,2025-11-18T00:56:13Z,2340000,False,,,0,,J. Duren REBOUND (Off:2 Def:6),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,233.0,8.0,6.0,2.0,,,,,,,,,
235,PT07M43.00S,2025-11-18T00:56:16.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,7.966491458607096,57.35294117647059,1610612765,43,25,2025-11-18T00:56:22Z,2350000,False,-37.0,22.0,1,left,I. Stewart Layup (5 PTS) (J. Duren 2 AST),"[1630191, 1631105]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,4.31,Made,5.0,J. Duren,1631105.0,2.0,,,,,,,,,,,,,,
237,PT07M28.00S,2025-11-18T00:56:38.0Z,2,REGULAR,turnover,out-of-bounds,[],204456,,,1610612754,43,25,2025-11-18T00:57:00Z,2370000,False,,,0,,T. McConnell step out-of-bounds TURNOVER (1 TO),[204456],1610612754.0,IND,step,,,McConnell,T. McConnell,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,,,,,,,,,,,,,
238,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,out,[],1642450,,,1610612765,43,25,2025-11-18T00:56:59Z,2380000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,out,[],204456,,,1610612765,43,25,2025-11-18T00:56:59Z,2390000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,out,[],1627783,,,1610612765,43,25,2025-11-18T00:56:59Z,2400000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,in,[],1627747,,,1610612765,43,25,2025-11-18T00:56:59Z,2410000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,in,[],1641767,,,1610612765,43,25,2025-11-18T00:56:59Z,2420000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT07M28.00S,2025-11-18T00:56:45.5Z,2,REGULAR,substitution,in,[],1630526,,,1610612765,43,25,2025-11-18T00:56:59Z,2430000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M07.00S,2025-11-18T00:57:15.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642404,27.677398160315374,82.1078431372549,1610612765,46,25,2025-11-18T00:57:20Z,2440000,False,-161.0,208.0,1,left,C. Lanier 26' 3PT  (3 PTS) (C. LeVert 1 AST),"[1642404, 1627747]",1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Above the Break 3,24+ Left Center,26.25,Made,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
246,PT06M58.00S,2025-11-18T00:57:28.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,91.67214191852825,45.34313725490196,1610612754,46,27,2025-11-18T00:57:37Z,2460000,False,-23.0,26.0,1,right,J. Walker finger roll Layup (4 PTS) (I. Jackson 1 AST),"[1641716, 1630543]",1610612754.0,IND,finger roll,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,3.48,Made,4.0,I. Jackson,1630543.0,1.0,,,,,,,,,,,,,,
248,PT06M58.00S,2025-11-18T00:57:33.9Z,2,REGULAR,foul,personal,['1freethrow'],1631105,,,1610612754,46,27,2025-11-18T00:57:41Z,2480000,False,,,0,,J. Duren shooting personal FOUL (2 PF) (Walker 1 FT),"[1631105, 1641716]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,201245.0,2.0,0.0,Walker,1641716.0,,,,
250,PT06M58.00S,2025-11-18T00:57:42.9Z,2,REGULAR,substitution,out,[],1631105,,,1610612754,46,27,2025-11-18T00:58:08Z,2500000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M58.00S,2025-11-18T00:57:42.9Z,2,REGULAR,substitution,in,[],1641842,,,1610612754,46,27,2025-11-18T00:58:08Z,2510000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M58.00S,2025-11-18T00:58:07.2Z,2,REGULAR,freethrow,1 of 1,[],1641716,,,1610612754,46,27,2025-11-18T00:58:09Z,2520000,False,,,0,,MISS J. Walker Free Throw 1 of 1,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
253,PT06M56.00S,2025-11-18T00:58:09.2Z,2,REGULAR,rebound,offensive,[],1630526,,,1610612754,46,27,2025-11-18T00:59:28Z,2530000,False,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:0),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,252.0,2.0,0.0,2.0,,,,,,,,,
254,PT06M56.00S,2025-11-18T00:58:09.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630526,92.85479632063075,54.90196078431373,1610612754,46,27,2025-11-18T00:58:26Z,2540000,False,25.0,15.0,1,right,MISS J. Robinson-Earl Layup - blocked,"[1630526, 1641842]",1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,Holland II,1641842.0
255,PT06M56.00S,2025-11-18T00:58:09.0Z,2,REGULAR,block,,[],1641842,,,1610612754,46,27,2025-11-18T00:58:11Z,2550000,False,,,0,,R. Holland II BLOCK (1 BLK),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
256,PT06M55.00S,2025-11-18T00:58:10.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,46,27,2025-11-18T00:58:26Z,2560000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,254.0,,,,,,,,,,,,
258,PT06M43.00S,2025-11-18T00:58:39.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629614,65.1281208935611,42.40196078431372,1610612754,46,27,2025-11-18T01:11:06Z,2580000,False,-38.0,275.0,1,right,MISS A. Nembhard 27' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,27.79,Missed,,,,,,,,,,,,,,,,,,
259,PT06M38.00S,2025-11-18T00:58:44.4Z,2,REGULAR,rebound,offensive,[],1641716,,,1610612754,46,27,2025-11-18T00:58:44Z,2590000,False,,,0,,J. Walker REBOUND (Off:2 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,,,,,,,,258.0,3.0,1.0,2.0,,,,,,,,,
260,PT06M38.00S,2025-11-18T00:58:44.9Z,2,REGULAR,turnover,lost ball,[],1641716,,,1610612754,46,27,2025-11-18T00:58:48Z,2600000,False,,,0,,J. Walker lost ball TURNOVER (2 TO),"[1641716, 1642404]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,,2.0,,,,,,,,,,Lanier,1642404.0,,
261,PT06M38.00S,2025-11-18T00:58:44.9Z,2,REGULAR,steal,,[],1642404,,,1610612765,46,27,2025-11-18T00:59:13Z,2610000,False,,,0,,C. Lanier STEAL (1 STL),[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
262,PT06M32.00S,2025-11-18T00:58:51.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631111,9.280551905387648,52.69607843137255,1610612765,46,27,2025-11-18T00:58:55Z,2620000,False,-13.0,35.0,1,left,MISS W. Moore Jr. running Layup,[1631111],1610612765.0,DET,running,,,Moore Jr.,W. Moore Jr.,,,,,Restricted Area,0-8 Center,3.72,Missed,,,,,,,,,,,,,,,,,,
263,PT06M29.00S,2025-11-18T00:58:53.4Z,2,REGULAR,rebound,defensive,[],1630526,,,1610612754,46,27,2025-11-18T00:58:53Z,2630000,False,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:1),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,262.0,3.0,1.0,2.0,,,,,,,,,
264,PT06M25.00S,2025-11-18T00:58:58.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641767,79.97700394218134,5.147058823529411,1610612754,46,27,2025-11-18T01:14:03Z,2640000,False,-224.0,136.0,1,right,MISS B. Sheppard 26' running 3PT,[1641767],1610612754.0,IND,running,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
265,PT06M22.00S,2025-11-18T00:59:01.2Z,2,REGULAR,rebound,offensive,[],1630543,,,1610612754,46,27,2025-11-18T01:13:56Z,2650000,False,,,0,,I. Jackson REBOUND (Off:2 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,,264.0,3.0,1.0,2.0,,,,,,,,,
266,PT06M20.00S,2025-11-18T00:59:01.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630543,92.19776609724047,53.431372549019606,1610612754,46,29,2025-11-18T01:15:55Z,2660000,False,17.0,21.0,1,right,I. Jackson putback DUNK (2 PTS),[1630543],1610612754.0,IND,putback,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,2.7,Made,2.0,,,,,,,,,,,,,,,,,
267,PT05M55.00S,2025-11-18T00:59:27.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,10.068988173455978,45.09803921568628,1610612765,46,29,2025-11-18T00:59:31Z,2670000,False,25.0,42.0,1,left,MISS I. Stewart Hook,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,,,,,,,,,,,
268,PT05M52.00S,2025-11-18T00:59:30.3Z,2,REGULAR,rebound,defensive,[],1630526,,,1610612754,46,29,2025-11-18T00:59:30Z,2680000,False,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:2),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,267.0,4.0,2.0,2.0,,,,,,,,,
269,PT05M38.00S,2025-11-18T00:59:44.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,93.11760840998686,57.107843137254896,1610612754,46,29,2025-11-18T00:59:53Z,2690000,False,36.0,12.0,1,right,MISS J. Robinson-Earl reverse Layup - blocked,"[1630526, 1641842]",1610612754.0,IND,reverse,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,3.75,Missed,,,,,,,,,,,,,,,,,Holland II,1641842.0
270,PT05M38.00S,2025-11-18T00:59:44.1Z,2,REGULAR,block,,[],1641842,,,1610612754,46,29,2025-11-18T00:59:47Z,2700000,False,,,0,,R. Holland II BLOCK (2 BLK),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
271,PT05M35.00S,2025-11-18T00:59:47.1Z,2,REGULAR,rebound,defensive,[],1631111,,,1610612765,46,29,2025-11-18T00:59:53Z,2710000,False,,,0,,W. Moore Jr. REBOUND (Off:0 Def:2),[1631111],1610612765.0,DET,,,,Moore Jr.,W. Moore Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,269.0,2.0,2.0,0.0,,,,,,,,,
272,PT05M30.00S,2025-11-18T01:00:00.0Z,2,REGULAR,timeout,full,['team'],0,,,1610612765,46,29,2025-11-18T01:00:00Z,2720000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT05M30.00S,2025-11-18T01:00:00.7Z,2,REGULAR,substitution,out,[],1631111,,,1610612765,46,29,2025-11-18T01:01:34Z,2730000,False,,,0,,SUB out: W. Moore Jr.,[1631111],1610612765.0,DET,,,,Moore Jr.,W. Moore Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT05M30.00S,2025-11-18T01:00:00.7Z,2,REGULAR,substitution,in,[],1629130,,,1610612765,46,29,2025-11-18T01:01:34Z,2740000,False,,,0,,SUB in: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT05M14.00S,2025-11-18T01:01:55.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,14.273981603153747,39.21568627450981,1610612765,46,29,2025-11-18T01:02:10Z,2750000,False,54.0,82.0,1,left,MISS C. LeVert 9' pullup Shot,[1627747],1610612765.0,DET,pullup,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Right,9.79,Missed,,,,,,,,,,,,,,,,,,
276,PT05M13.00S,2025-11-18T01:01:56.2Z,2,REGULAR,rebound,defensive,[],1630526,,,1610612754,46,29,2025-11-18T01:02:37Z,2760000,False,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:3),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,275.0,5.0,3.0,2.0,,,,,,,,,
277,PT04M59.00S,2025-11-18T01:02:10.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641767,94.43166885676742,42.15686274509804,1610612754,46,31,2025-11-18T01:02:17Z,2770000,False,-39.0,0.0,1,right,B. Sheppard reverse Layup (2 PTS) (I. Jackson 2 AST),"[1641767, 1630543]",1610612754.0,IND,reverse,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,3.92,Made,2.0,I. Jackson,1630543.0,2.0,,,,,,,,,,,,,,
279,PT04M50.00S,2025-11-18T01:02:22.3Z,2,REGULAR,foul,personal,[],1641767,,,1610612765,46,31,2025-11-18T01:02:38Z,2790000,False,,,0,,B. Sheppard personal FOUL (1 PF),"[1641767, 1629130]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,201245.0,1.0,0.0,Robinson,1629130.0,,,,
281,PT04M41.00S,2025-11-18T01:02:53.9Z,2,REGULAR,3pt,Jump Shot,[],1630191,30.699737187910642,22.54901960784314,1610612765,46,31,2025-11-18T01:02:57Z,2810000,False,137.0,236.0,1,left,MISS I. Stewart 27' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,27.31,Missed,,,,,,,,,,,,,,,,,,
282,PT04M38.00S,2025-11-18T01:02:56.0Z,2,REGULAR,rebound,offensive,[],1642404,,,1610612765,46,31,2025-11-18T01:02:56Z,2820000,False,,,0,,C. Lanier REBOUND (Off:1 Def:1),[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Above the Break 3,24+ Right Center,,,,,,,,281.0,2.0,1.0,1.0,,,,,,,,,
283,PT04M35.00S,2025-11-18T01:03:01.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642404,23.078186596583443,9.068627450980392,1610612765,46,31,2025-11-18T01:03:15Z,2830000,False,205.0,164.0,1,left,MISS C. Lanier 26' 3PT,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Above the Break 3,24+ Right Center,26.25,Missed,,,,,,,,,,,,,,,,,,
