actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
87,PT05M00.00S,2023-11-02T01:25:54.9Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,22,12,2023-11-02T01:25:56Z,870000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,86.0,2.0,2.0,0.0,,,
88,PT04M54.00S,2023-11-02T01:26:00.9Z,1,REGULAR,3pt,Jump Shot,[],1629012,32.933639947437584,36.27450980392157,1610612762,22,12,2023-11-02T01:26:05Z,880000,False,69.0,257.0,1,left,MISS C. Sexton 26' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Missed,,Above the Break 3,24+ Center,26.61,,,,,,,,,,,,,,
89,PT04M51.00S,2023-11-02T01:26:03.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,22,12,2023-11-02T01:26:05Z,890000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,88.0,1.0,1.0,0.0,,,
90,PT04M47.00S,2023-11-02T01:26:07.4Z,1,REGULAR,3pt,Jump Shot,[],1630217,65.91655716162943,69.6078431372549,1610612763,22,12,2023-11-02T01:26:14Z,900000,False,98.0,268.0,1,right,MISS D. Bane 28' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,Missed,,Above the Break 3,24+ Right Center,28.53,,,,,,,,,,,,,,
91,PT04M45.00S,2023-11-02T01:26:09.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,22,12,2023-11-02T01:26:14Z,910000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,90.0,,,,,,
93,PT04M45.00S,2023-11-02T01:26:13.7Z,1,REGULAR,substitution,out,[],1630217,,,1610612762,22,12,2023-11-02T01:26:18Z,930000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M45.00S,2023-11-02T01:26:13.7Z,1,REGULAR,substitution,in,[],1628379,,,1610612762,22,12,2023-11-02T01:26:18Z,940000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M35.00S,2023-11-02T01:26:41.5Z,1,REGULAR,turnover,out-of-bounds,[],203903,,,1610612762,22,12,2023-11-02T01:26:46Z,950000,False,,,0,,J. Clarkson bad pass out-of-bounds TURNOVER (1 TO),[203903],1610612762.0,UTA,bad pass,,,Clarkson,J. Clarkson,,,,,1146.0,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,
96,PT04M22.00S,2023-11-02T01:27:01.1Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612763,22,12,2023-11-02T01:27:05Z,960000,False,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1628381]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Collins,1628381.0
97,PT04M22.00S,2023-11-02T01:27:01.1Z,1,REGULAR,steal,,[],1628381,,,1610612762,22,12,2023-11-02T01:27:02Z,970000,False,,,0,,J. Collins STEAL (1 STL),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,
98,PT04M19.00S,2023-11-02T01:27:07.0Z,1,REGULAR,turnover,traveling,[],1629012,,,1610612762,22,12,2023-11-02T01:27:13Z,980000,False,,,0,,C. Sexton traveling TURNOVER (1 TO),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,1198.0,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,
99,PT04M10.00S,2023-11-02T01:27:33.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630533,79.84559789750328,6.127450980392156,1610612763,22,12,2023-11-02T01:27:39Z,990000,False,-219.0,137.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,Missed,,Above the Break 3,24+ Left Center,25.87,,,,,,,,,,,,,,
100,PT04M06.00S,2023-11-02T01:27:37.6Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,22,12,2023-11-02T01:27:39Z,1000000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:3),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,99.0,3.0,3.0,0.0,,,
101,PT03M57.00S,2023-11-02T01:27:47.0Z,1,REGULAR,foul,personal,['2freethrow'],1630214,,,1610612762,22,12,2023-11-02T01:27:54Z,1010000,False,,,0,,X. Tillman shooting personal FOUL (2 PF) (Sexton 2 FT),"[1630214, 1629012]",1610612763.0,MEM,shooting,,,Tillman,X. Tillman,,,,,203593.0,2.0,0.0,,,Restricted Area,0-8 Center,,,,,Sexton,1629012.0,,,,,,,,,
103,PT03M57.00S,2023-11-02T01:28:31.0Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,23,12,2023-11-02T01:28:31Z,1030000,False,,,0,,C. Sexton Free Throw 1 of 2 (4 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
104,PT03M57.00S,2023-11-02T01:28:32.5Z,1,REGULAR,substitution,out,[],1630214,,,1610612762,23,12,2023-11-02T01:28:35Z,1040000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M57.00S,2023-11-02T01:28:32.5Z,1,REGULAR,substitution,in,[],1628991,,,1610612762,23,12,2023-11-02T01:28:35Z,1050000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M57.00S,2023-11-02T01:28:50.6Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,24,12,2023-11-02T01:28:50Z,1060000,False,,,0,,C. Sexton Free Throw 2 of 2 (5 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
107,PT03M43.00S,2023-11-02T01:29:14.0Z,1,REGULAR,2pt,Jump Shot,[],1628379,79.45137976346912,45.83333333333333,1610612763,24,12,2023-11-02T01:29:21Z,1070000,False,-21.0,141.0,1,right,MISS L. Kennard 14' floating Shot,[1628379],1610612763.0,MEM,floating,,,Kennard,L. Kennard,,,,,,,,Missed,,Mid-Range,8-16 Center,14.22,,,,,,,,,,,,,,
108,PT03M39.00S,2023-11-02T01:29:18.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,24,12,2023-11-02T01:29:21Z,1080000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,,,107.0,,,,,,
110,PT03M36.00S,2023-11-02T01:29:36.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203935,89.43823915900131,49.50980392156863,1610612763,24,14,2023-11-02T01:29:43Z,1100000,False,-2.0,47.0,1,right,M. Smart alley-oop Layup (2 PTS) (L. Kennard 1 AST),"[203935, 1628379]",1610612763.0,MEM,alley-oop,,,Smart,M. Smart,,,,,,,,Made,2.0,In The Paint (Non-RA),0-8 Center,4.69,L. Kennard,1628379.0,1.0,,,,,,,,,,,
112,PT03M13.00S,2023-11-02T01:30:00.0Z,1,REGULAR,2pt,Jump Shot,[],1641718,12.434296977660972,28.186274509803923,1610612762,24,14,2023-11-02T01:32:18Z,1120000,False,109.0,64.0,1,left,MISS K. George 12' floating Shot,[1641718],1610612762.0,UTA,floating,,,George,K. George,,,,,,,,Missed,,Mid-Range,8-16 Right,12.67,,,,,,,,,,,,,,
113,PT03M08.00S,2023-11-02T01:30:05.0Z,1,REGULAR,rebound,offensive,[],203482,,,1610612762,24,14,2023-11-02T01:30:04Z,1130000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,112.0,2.0,1.0,1.0,,,
114,PT03M08.00S,2023-11-02T01:30:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203482,5.590000152587891,50.0,1610612762,26,14,2023-11-02T01:30:04Z,1140000,False,0.0,0.0,1,left,K. Olynyk tip Layup (2 PTS),[203482],1610612762.0,UTA,tip,,,Olynyk,K. Olynyk,,,,,,,,Made,2.0,Mid-Range,8-16 Left,0.0,,,,,,,,,,,,,,
115,PT02M58.00S,2023-11-02T01:30:16.1Z,1,REGULAR,foul,personal,['2freethrow'],203903,,,1610612763,26,14,2023-11-02T01:32:47Z,1150000,False,,,0,,J. Clarkson shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[203903, 1628991]",1610612762.0,UTA,shooting,,,Clarkson,J. Clarkson,,,,,1198.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,Jackson Jr.,1628991.0,,,,,,,,,
117,PT02M58.00S,2023-11-02T01:30:29.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,26,14,2023-11-02T01:30:29Z,1170000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,out,[],203903,,,1610612763,26,14,2023-11-02T01:33:17Z,1180000,False,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,out,[],1628381,,,1610612763,26,14,2023-11-02T01:33:17Z,1190000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,out,[],1630533,,,1610612763,26,14,2023-11-02T01:33:17Z,1200000,False,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,out,[],203935,,,1610612763,26,14,2023-11-02T01:33:17Z,1210000,False,,,0,,SUB out: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,in,[],1630534,,,1610612763,26,14,2023-11-02T01:33:17Z,1220000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,in,[],1628374,,,1610612763,26,14,2023-11-02T01:33:17Z,1230000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,in,[],1630217,,,1610612763,26,14,2023-11-02T01:33:17Z,1240000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M58.00S,2023-11-02T01:32:50.8Z,1,REGULAR,substitution,in,[],1631367,,,1610612763,26,14,2023-11-02T01:33:17Z,1250000,False,,,0,,SUB in: J. Gilyard,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M58.00S,2023-11-02T01:33:24.5Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,26,15,2023-11-02T01:33:24Z,1260000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (7 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
127,PT02M58.00S,2023-11-02T01:33:37.4Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,26,16,2023-11-02T01:33:37Z,1270000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (8 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
128,PT02M46.00S,2023-11-02T01:33:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,4.812746386333772,54.41176470588235,1610612762,28,16,2023-11-02T01:33:57Z,1280000,False,-22.0,-7.0,1,left,C. Sexton cutting Layup (7 PTS) (K. Olynyk 1 AST),"[1629012, 203482]",1610612762.0,UTA,cutting,,,Sexton,C. Sexton,,,,,,,,Made,7.0,Restricted Area,0-8 Center,2.33,K. Olynyk,203482.0,1.0,,,,,,,,,,,
130,PT02M34.00S,2023-11-02T01:34:04.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,78.66294349540078,6.372549019607843,1610612763,28,19,2023-11-02T01:34:12Z,1300000,False,-218.0,148.0,1,right,D. Bane 26' 3PT step back (6 PTS) (J. Jackson Jr. 1 AST),"[1630217, 1628991]",1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,,,,Made,6.0,Above the Break 3,24+ Left Center,26.36,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,
132,PT02M20.00S,2023-11-02T01:34:17.7Z,1,REGULAR,3pt,Jump Shot,[],203482,27.94021024967148,86.76470588235294,1610612762,31,19,2023-11-02T01:34:22Z,1320000,False,-184.0,210.0,1,left,K. Olynyk 27' 3PT  (5 PTS) (K. George 1 AST),"[203482, 1641718]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,5.0,Above the Break 3,24+ Left Center,27.91,K. George,1641718.0,1.0,,,,,,,,,,,
134,PT02M08.00S,2023-11-02T01:34:30.8Z,1,REGULAR,2pt,Jump Shot,[],1630217,83.65637319316689,27.205882352941174,1610612763,31,19,2023-11-02T01:34:36Z,1340000,False,-114.0,101.0,1,right,MISS D. Bane 15' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,,,,Missed,,Mid-Range,8-16 Left,15.24,,,,,,,,,,,,,,
135,PT02M06.00S,2023-11-02T01:34:32.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,31,19,2023-11-02T01:34:36Z,1350000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:3),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,134.0,3.0,3.0,0.0,,,
136,PT01M55.00S,2023-11-02T01:34:44.1Z,1,REGULAR,3pt,Jump Shot,[],1629012,28.991458607095925,19.607843137254903,1610612762,34,19,2023-11-02T01:34:48Z,1360000,False,152.0,220.0,1,left,C. Sexton 26' 3PT  (10 PTS) (K. Olynyk 2 AST),"[1629012, 203482]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,10.0,Above the Break 3,24+ Right Center,26.74,K. Olynyk,203482.0,2.0,,,,,,,,,,,
138,PT01M35.00S,2023-11-02T01:35:02.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,89.96386333771353,49.26470588235294,1610612763,34,19,2023-11-02T01:35:07Z,1380000,False,-4.0,42.0,1,right,MISS J. Jackson Jr. Hook,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,Restricted Area,0-8 Center,4.2,,,,,,,,,,,,,,
139,PT01M33.00S,2023-11-02T01:35:04.5Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,34,19,2023-11-02T01:35:07Z,1390000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,138.0,3.0,2.0,1.0,,,
140,PT01M29.00S,2023-11-02T01:35:09.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,23.73521681997372,5.147058823529411,1610612762,37,19,2023-11-02T01:35:16Z,1400000,False,224.0,171.0,1,left,L. Markkanen 28' 3PT  (7 PTS) (C. Sexton 2 AST),"[1628374, 1629012]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,7.0,Above the Break 3,24+ Right Center,28.18,C. Sexton,1629012.0,2.0,,,,,,,,,,,
142,PT01M25.00S,2023-11-02T01:35:15.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612763,37,19,2023-11-02T01:35:15Z,1420000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M07.00S,2023-11-02T01:37:08.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,74.85216819973719,15.441176470588236,1610612763,37,19,2023-11-02T01:37:16Z,1430000,False,-173.0,184.0,1,right,MISS D. Bane 25' step back 3PT,[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,,,,Missed,,Above the Break 3,24+ Left Center,25.23,,,,,,,,,,,,,,
144,PT01M03.00S,2023-11-02T01:37:12.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,37,19,2023-11-02T01:37:16Z,1440000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:4),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,143.0,4.0,4.0,0.0,,,
145,PT00M43.10S,2023-11-02T01:37:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,11.12023653088042,60.29411764705882,1610612762,39,19,2023-11-02T01:37:39Z,1450000,False,-51.0,52.0,1,left,K. George 7' driving floating Jump Shot (4 PTS) (O. Agbaji 1 AST),"[1641718, 1630534]",1610612762.0,UTA,driving floating,,,George,K. George,,,,,,,,Made,4.0,In The Paint (Non-RA),0-8 Center,7.32,O. Agbaji,1630534.0,1.0,,,,,,,,,,,
147,PT00M35.80S,2023-11-02T01:37:48.2Z,1,REGULAR,3pt,Jump Shot,[],1628991,70.64717477003943,20.34313725490196,1610612763,39,19,2023-11-02T01:37:53Z,1470000,False,-148.0,223.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,Above the Break 3,24+ Left Center,26.81,,,,,,,,,,,,,,
148,PT00M33.30S,2023-11-02T01:37:50.7Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,39,19,2023-11-02T01:37:53Z,1480000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:3),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,147.0,4.0,3.0,1.0,,,
149,PT00M17.80S,2023-11-02T01:38:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,31.09395532194481,70.58823529411765,1610612762,42,19,2023-11-02T01:38:11Z,1490000,False,-103.0,240.0,1,left,L. Markkanen 26' 3PT  (10 PTS) (C. Sexton 3 AST),"[1628374, 1629012]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,10.0,Above the Break 3,24+ Left Center,26.09,C. Sexton,1629012.0,3.0,,,,,,,,,,,
151,PT00M02.20S,2023-11-02T01:38:26.0Z,1,REGULAR,2pt,Jump Shot,[],1630217,87.46714848883047,33.33333333333333,1610612763,42,19,2023-11-02T01:38:30Z,1510000,False,-83.0,65.0,1,right,MISS D. Bane 10' Jump Shot - blocked,"[1630217, 1641718]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Missed,,Mid-Range,8-16 Left,10.58,,,,,,George,1641718.0,,,,,,,
152,PT00M02.20S,2023-11-02T01:38:26.0Z,1,REGULAR,block,,[],1641718,,,1610612763,42,19,2023-11-02T01:38:28Z,1520000,False,,,0,,K. George BLOCK (1 BLK),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,
153,PT00M02.20S,2023-11-02T01:38:26.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,42,19,2023-11-02T01:38:30Z,1530000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,151.0,,,,,,
155,PT00M00.20S,2023-11-02T01:38:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,96.92838370565046,95.34313725490196,1610612763,42,19,2023-11-02T01:38:52Z,1550000,False,227.0,-24.0,1,right,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Missed,,Right Corner 3,24+ Right,22.79,,,,,,,,,,,,,,
156,PT00M00.20S,2023-11-02T01:38:47.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,42,19,2023-11-02T01:38:52Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,155.0,,,,,,
157,PT00M00.00S,2023-11-02T01:38:53.2Z,1,REGULAR,period,end,[],0,,,1610612763,42,19,2023-11-02T01:38:53Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-11-02T01:41:01.0Z,2,REGULAR,substitution,out,['startperiod'],1629012,,,1610612763,42,19,2023-11-02T01:41:22Z,1580000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-11-02T01:41:01.0Z,2,REGULAR,substitution,out,['startperiod'],203482,,,1610612763,42,19,2023-11-02T01:41:22Z,1590000,False,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-11-02T01:41:01.0Z,2,REGULAR,substitution,in,['startperiod'],1629659,,,1610612763,42,19,2023-11-02T01:41:22Z,1600000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-11-02T01:41:01.0Z,2,REGULAR,substitution,in,['startperiod'],1631117,,,1610612763,42,19,2023-11-02T01:41:22Z,1610000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-11-02T01:41:28.9Z,2,REGULAR,period,start,[],0,,,1610612763,42,19,2023-11-02T01:41:28Z,1620000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M50.00S,2023-11-02T01:41:38.0Z,2,REGULAR,3pt,Jump Shot,[],1630217,85.75886990801577,95.83333333333334,1610612763,42,22,2023-11-02T01:41:43Z,1630000,False,229.0,81.0,1,right,D. Bane 24' 3PT  (9 PTS) (J. Gilyard 1 AST),"[1630217, 1631367]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,9.0,Right Corner 3,24+ Right,24.32,J. Gilyard,1631367.0,1.0,,,,,,,,,,,
165,PT11M33.00S,2023-11-02T01:41:54.6Z,2,REGULAR,3pt,Jump Shot,[],1630534,29.122864651773984,25.735294117647058,1610612762,42,22,2023-11-02T01:42:00Z,1650000,False,121.0,221.0,1,left,MISS O. Agbaji 25' 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,Missed,,Above the Break 3,24+ Right Center,25.24,,,,,,,,,,,,,,
166,PT11M31.00S,2023-11-02T01:41:56.6Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,42,22,2023-11-02T01:42:00Z,1660000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,165.0,3.0,3.0,0.0,,,
167,PT11M31.00S,2023-11-02T01:41:59.2Z,2,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,42,22,2023-11-02T01:42:06Z,1670000,False,,,0,,J. Jackson Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,lost ball,,,Jackson Jr.,J. Jackson Jr.,,,,,203593.0,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,,
168,PT11M29.00S,2023-11-02T01:42:25.9Z,2,REGULAR,turnover,bad pass,[],1641718,,,1610612762,42,22,2023-11-02T01:42:31Z,1680000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1628379]",1610612762.0,UTA,,,,George,K. George,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Kennard,1628379.0
169,PT11M29.00S,2023-11-02T01:42:25.9Z,2,REGULAR,steal,,[],1628379,,,1610612763,42,22,2023-11-02T01:42:27Z,1690000,False,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,
170,PT11M24.00S,2023-11-02T01:42:30.9Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631223,88.78120893561103,3.6764705882352944,1610612763,42,25,2023-11-02T01:42:36Z,1700000,False,-232.0,53.0,1,right,D. Roddy 3PT  (3 PTS) (L. Kennard 2 AST),"[1631223, 1628379]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,Made,3.0,Left Corner 3,24+ Left,23.76,L. Kennard,1628379.0,2.0,,,,,,,,,,,
172,PT11M23.00S,2023-11-02T01:42:35.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,42,25,2023-11-02T01:42:35Z,1720000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M23.00S,2023-11-02T01:45:02.2Z,2,REGULAR,substitution,out,[],1628379,,,1610612762,42,25,2023-11-02T01:45:04Z,1730000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
