actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
85,PT05M56.00S,2023-12-30T22:25:37.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,74.72076215505913,13.23529411764706,1610612762,15,13,2023-12-30T22:25:42Z,840000,False,-184.0,185.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
86,PT05M54.00S,2023-12-30T22:25:39.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,15,13,2023-12-30T22:25:41Z,850000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,
87,PT05M49.00S,2023-12-30T22:25:45.0Z,1,REGULAR,3pt,Jump Shot,[],201567,29.25427069645204,67.8921568627451,1610612748,15,13,2023-12-30T22:30:29Z,860000,False,-89.0,222.0,1,left,MISS K. Love pullup 3PT,[201567],1610612748.0,MIA,pullup,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,23.98,Missed,,,,,,,,,,,,,,,,,,
88,PT05M45.00S,2023-12-30T22:25:49.0Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,15,13,2023-12-30T22:25:53Z,870000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,
89,PT05M37.00S,2023-12-30T22:25:56.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,68.54467805519053,68.38235294117648,1610612762,15,13,2023-12-30T22:31:06Z,880000,False,92.0,243.0,1,right,MISS K. George 26' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,26.0,Missed,,,,,,,,,,,,,,,,,,
90,PT05M35.00S,2023-12-30T22:25:58.2Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612748,15,13,2023-12-30T22:25:58Z,890000,False,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612748.0,MIA,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,
91,PT05M19.00S,2023-12-30T22:26:13.7Z,1,REGULAR,3pt,Jump Shot,[],201567,30.831143232588698,36.27450980392157,1610612748,15,13,2023-12-30T22:26:17Z,900000,False,69.0,237.0,1,left,MISS K. Love 24' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,24.7,Missed,,,,,,,,,,,,,,,,,,
92,PT05M18.00S,2023-12-30T22:26:14.7Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,15,13,2023-12-30T22:26:17Z,910000,False,,,0,,T. Herro REBOUND (Off:1 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,91.0,2.0,1.0,1.0,,,,,,,,,,,,,
93,PT05M16.00S,2023-12-30T22:26:17.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629639,18.2161629434954,44.36274509803921,1610612748,15,15,2023-12-30T22:26:22Z,920000,False,28.0,119.0,1,left,T. Herro 12' turnaround Jump Shot (8 PTS),[1629639],1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,12.2,Made,8.0,,,,,,,,,,,,,,,,,
94,PT04M57.00S,2023-12-30T22:26:35.7Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,15,15,2023-12-30T22:26:39Z,930000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1629639]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Herro,1629639.0
95,PT04M57.00S,2023-12-30T22:26:35.7Z,1,REGULAR,steal,,[],1629639,,,1610612748,15,15,2023-12-30T22:29:54Z,940000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
96,PT04M54.00S,2023-12-30T22:26:38.8Z,1,REGULAR,turnover,lost ball,[],202710,,,1610612748,15,15,2023-12-30T22:29:58Z,950000,False,,,0,,J. Butler lost ball TURNOVER (1 TO),"[202710, 1631323]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Fontecchio,1631323.0
97,PT04M54.00S,2023-12-30T22:26:38.8Z,1,REGULAR,steal,,[],1631323,,,1610612762,15,15,2023-12-30T22:29:58Z,960000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
98,PT04M51.00S,2023-12-30T22:26:42.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631117,90.88370565045992,49.754901960784316,1610612762,17,15,2023-12-30T22:26:50Z,970000,False,-1.0,33.0,1,right,W. Kessler DUNK (4 PTS) (K. Dunn 3 AST),"[1631117, 1627739]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.32,Made,4.0,,,,,,,,,,,,K. Dunn,1627739.0,3.0,,,
100,PT04M38.00S,2023-12-30T22:26:54.9Z,1,REGULAR,3pt,Jump Shot,[],201567,31.882391590013142,45.588235294117645,1610612748,17,18,2023-12-30T22:26:59Z,990000,False,22.0,247.0,1,left,K. Love 24' 3PT  (3 PTS) (J. Butler 1 AST),"[201567, 202710]",1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,24.82,Made,3.0,,,,,,,,,,,,J. Butler,202710.0,1.0,,,
102,PT04M21.00S,2023-12-30T22:27:12.4Z,1,REGULAR,3pt,Jump Shot,[],1631323,93.64323258869908,95.83333333333334,1610612762,20,18,2023-12-30T22:27:17Z,1010000,False,229.0,7.0,1,right,S. Fontecchio 3PT  (3 PTS) (K. Dunn 4 AST),"[1631323, 1627739]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,22.93,Made,3.0,,,,,,,,,,,,K. Dunn,1627739.0,4.0,,,
104,PT04M15.00S,2023-12-30T22:27:23.5Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,20,18,2023-12-30T22:27:43Z,1030000,False,,,0,,J. Butler bad pass out-of-bounds TURNOVER (2 TO),[202710],1610612748.0,MIA,bad pass,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1162.0,,,,,,,,2.0,,
105,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,out,[],1627739,,,1610612762,20,18,2023-12-30T22:27:40Z,1040000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,out,[],1629639,,,1610612762,20,18,2023-12-30T22:27:40Z,1060000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,in,[],203482,,,1610612762,20,18,2023-12-30T22:27:40Z,1070000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,in,[],203903,,,1610612762,20,18,2023-12-30T22:27:40Z,1080000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,in,[],1629130,,,1610612762,20,18,2023-12-30T22:27:40Z,1090000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M15.00S,2023-12-30T22:27:29.2Z,1,REGULAR,substitution,out,[],1631323,,,1610612762,20,18,2023-12-30T22:28:12Z,1100000,False,,,0,,SUB out: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M54.00S,2023-12-30T22:28:36.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203482,92.06636005256242,45.588235294117645,1610612762,22,18,2023-12-30T22:28:43Z,1110000,False,-22.0,22.0,1,right,K. Olynyk driving reverse Layup (2 PTS),[203482],1610612762.0,UTA,driving reverse,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.13,Made,2.0,,,,,,,,,,,,,,,,,
113,PT03M54.00S,2023-12-30T22:28:40.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631170,,,1610612762,22,18,2023-12-30T22:28:51Z,1120000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Olynyk 1 FT),"[1631170, 203482]",1610612748.0,MIA,shooting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Olynyk,203482.0,,,,,,
115,PT03M54.00S,2023-12-30T22:28:51.8Z,1,REGULAR,substitution,out,[],1630181,,,1610612762,22,18,2023-12-30T22:29:54Z,1140000,False,,,0,,SUB out: R. Hampton,[1630181],1610612748.0,MIA,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M54.00S,2023-12-30T22:28:51.8Z,1,REGULAR,substitution,in,[],1629312,,,1610612762,22,18,2023-12-30T22:29:54Z,1150000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M54.00S,2023-12-30T22:29:03.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203482,,,1610612762,23,18,2023-12-30T22:29:03Z,1160000,False,,,0,,K. Olynyk Free Throw 1 of 1 (3 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
119,PT03M42.00S,2023-12-30T22:29:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,9.543363994743759,54.90196078431373,1610612748,23,20,2023-12-30T22:35:36Z,1170000,False,-25.0,37.0,1,left,J. Jaquez Jr. driving floating Jump Shot (2 PTS) (K. Love 1 AST),"[1631170, 201567]",1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,2.0,,,,,,,,,,,,K. Love,201567.0,1.0,,,
121,PT03M42.00S,2023-12-30T22:29:21.1Z,1,REGULAR,foul,personal,['1freethrow'],1641718,,,1610612748,23,20,2023-12-30T22:29:29Z,1190000,False,,,0,,K. George shooting personal FOUL (1 PF) (Jaquez Jr. 1 FT),"[1641718, 1631170]",1610612762.0,UTA,shooting,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Jaquez Jr.,1631170.0,,,,,,
123,PT03M42.00S,2023-12-30T22:29:48.5Z,1,REGULAR,freethrow,1 of 1,[],1631170,,,1610612748,23,21,2023-12-30T22:29:48Z,1210000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 1 (3 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
124,PT03M31.00S,2023-12-30T22:30:01.1Z,1,REGULAR,3pt,Jump Shot,[],203903,68.28186596583443,68.62745098039215,1610612762,23,21,2023-12-30T22:30:05Z,1220000,False,93.0,246.0,1,right,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
125,PT03M26.00S,2023-12-30T22:30:06.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,23,21,2023-12-30T22:30:09Z,1230000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,
126,PT03M18.00S,2023-12-30T22:30:13.7Z,1,REGULAR,3pt,Jump Shot,[],201567,31.488173455978973,42.64705882352941,1610612748,23,21,2023-12-30T22:30:18Z,1240000,False,37.0,243.0,1,left,MISS K. Love 24' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,24.63,Missed,,,,,,,,,,,,,,,,,,
127,PT03M14.00S,2023-12-30T22:30:17.7Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,23,21,2023-12-30T22:30:18Z,1250000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,
128,PT02M59.00S,2023-12-30T22:30:32.8Z,1,REGULAR,2pt,Layup,[],1641718,90.22667542706965,33.82352941176471,1610612762,23,21,2023-12-30T22:36:56Z,1260000,False,-81.0,39.0,1,right,MISS K. George 9' driving Layup - blocked,"[1641718, 1629312]",1610612762.0,UTA,driving,,,George,K. George,,,,,Mid-Range,8-16 Left,9.0,Missed,,,,,,Highsmith,1629312.0,,,,,,,,,,,
129,PT02M59.00S,2023-12-30T22:30:32.8Z,1,REGULAR,block,,[],1629312,,,1610612762,23,21,2023-12-30T22:30:35Z,1270000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
130,PT02M54.00S,2023-12-30T22:30:37.8Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,23,21,2023-12-30T22:30:37Z,1280000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,,,,128.0,1.0,1.0,0.0,,,,,,,,,,,,,
131,PT02M52.00S,2023-12-30T22:30:39.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631170,5.075558475689881,95.58823529411765,1610612748,23,21,2023-12-30T22:37:44Z,1290000,False,-228.0,-5.0,1,left,MISS J. Jaquez Jr. running 3PT,[1631170],1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
132,PT02M45.00S,2023-12-30T22:30:46.5Z,1,REGULAR,rebound,offensive,[],201567,,,1610612748,23,21,2023-12-30T22:30:51Z,1300000,False,,,0,,K. Love REBOUND (Off:1 Def:0),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Left Corner 3,24+ Left,,,,131.0,1.0,0.0,1.0,,,,,,,,,,,,,
133,PT02M45.00S,2023-12-30T22:30:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201567,5.590000152587891,50.0,1610612748,23,23,2023-12-30T22:30:45Z,1310000,False,0.0,0.0,1,left,K. Love putback Layup (5 PTS),[201567],1610612748.0,MIA,putback,,,Love,K. Love,,,,,Mid-Range,8-16 Left,0.0,Made,5.0,,,,,,,,,,,,,,,,,
134,PT02M31.00S,2023-12-30T22:31:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,86.5473061760841,46.81372549019608,1610612762,25,23,2023-12-30T22:38:29Z,1320000,False,-16.0,74.0,1,right,K. Olynyk 7' driving floating Jump Shot (5 PTS),[203482],1610612762.0,UTA,driving floating,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,7.57,Made,5.0,,,,,,,,,,,,,,,,,
135,PT02M31.00S,2023-12-30T22:31:08.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,25,23,2023-12-30T22:31:08Z,1330000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,out,[],1628374,,,1610612748,25,23,2023-12-30T22:34:08Z,1340000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,out,[],202710,,,1610612748,25,23,2023-12-30T22:34:08Z,1350000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,in,[],1630534,,,1610612748,25,23,2023-12-30T22:34:08Z,1360000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,25,23,2023-12-30T22:34:08Z,1370000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,out,[],1631117,,,1610612748,25,23,2023-12-30T22:35:00Z,1375000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M31.00S,2023-12-30T22:34:01.9Z,1,REGULAR,substitution,in,[],1628381,,,1610612748,25,23,2023-12-30T22:35:00Z,1377500,False,,,0,,SUB in: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M19.00S,2023-12-30T22:34:21.4Z,1,REGULAR,3pt,Jump Shot,[],1629312,28.07161629434954,74.75490196078431,1610612748,25,23,2023-12-30T22:34:26Z,1380000,False,-124.0,211.0,1,left,MISS H. Highsmith 24' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,24.5,Missed,,,,,,,,,,,,,,,,,,
141,PT02M16.00S,2023-12-30T22:34:24.4Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,25,23,2023-12-30T22:34:26Z,1390000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,140.0,2.0,2.0,0.0,,,,,,,,,,,,,
142,PT02M07.00S,2023-12-30T22:34:33.2Z,1,REGULAR,3pt,Jump Shot,[],1628381,69.99014454664915,73.0392156862745,1610612762,25,23,2023-12-30T22:34:38Z,1400000,False,115.0,230.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
143,PT02M03.00S,2023-12-30T22:34:36.4Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,25,23,2023-12-30T22:34:36Z,1410000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,
144,PT01M55.00S,2023-12-30T22:34:46.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628381,,,1610612748,25,23,2023-12-30T22:34:55Z,1420000,False,,,0,,J. Collins shooting personal FOUL (2 PF) (Love 2 FT),"[1628381, 201567]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,2.0,0.0,Love,201567.0,,,,,,
148,PT01M55.00S,2023-12-30T22:35:16.1Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612748,25,23,2023-12-30T22:35:36Z,1440000,False,,,0,,MISS K. Love Free Throw 1 of 2,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
149,PT01M55.00S,2023-12-30T22:35:16.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,25,23,2023-12-30T22:35:36Z,1450000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,
150,PT01M55.00S,2023-12-30T22:35:16.1Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612748,25,23,2023-12-30T22:35:36Z,1460000,False,,,0,,MISS K. Love Free Throw 2 of 2,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
151,PT01M54.00S,2023-12-30T22:35:17.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,25,23,2023-12-30T22:35:36Z,1470000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,150.0,1.0,1.0,0.0,,,,,,,,,,,,,
152,PT01M41.00S,2023-12-30T22:35:50.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629312,,,1610612762,25,23,2023-12-30T22:35:58Z,1480000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Clarkson 2 FT),"[1629312, 203903]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1627963.0,1.0,0.0,Clarkson,203903.0,,,,,,
154,PT01M41.00S,2023-12-30T22:36:17.4Z,1,REGULAR,freethrow,1 of 2,[],203903,,,1610612762,26,23,2023-12-30T22:36:17Z,1500000,False,,,0,,J. Clarkson Free Throw 1 of 2 (1 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
155,PT01M41.00S,2023-12-30T22:36:37.5Z,1,REGULAR,freethrow,2 of 2,[],203903,,,1610612762,27,23,2023-12-30T22:36:37Z,1510000,False,,,0,,J. Clarkson Free Throw 2 of 2 (2 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
156,PT01M19.00S,2023-12-30T22:37:01.3Z,1,REGULAR,2pt,Jump Shot,[],1628389,24.26084099868594,37.00980392156863,1610612748,27,23,2023-12-30T22:41:12Z,1520000,False,65.0,176.0,1,left,MISS B. Adebayo 18' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,18.72,Missed,,,,,,,,,,,,,,,,,,
157,PT01M16.00S,2023-12-30T22:37:04.3Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,27,23,2023-12-30T22:37:05Z,1530000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Right Center,,,,156.0,2.0,2.0,0.0,,,,,,,,,,,,,
158,PT01M06.00S,2023-12-30T22:37:13.9Z,1,REGULAR,3pt,Jump Shot,[],1630534,69.33311432325887,24.019607843137255,1610612762,27,23,2023-12-30T22:37:20Z,1540000,False,-130.0,236.0,1,right,MISS O. Agbaji 26' 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,26.92,Missed,,,,,,,,,,,,,,,,,,
159,PT01M03.00S,2023-12-30T22:37:16.9Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,27,23,2023-12-30T22:37:20Z,1550000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,
160,PT00M52.10S,2023-12-30T22:37:29.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203482,,,1610612748,27,23,2023-12-30T22:37:43Z,1560000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Love 2 FT),"[203482, 201567]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Love,201567.0,,,,,,
162,PT00M52.10S,2023-12-30T22:38:02.1Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612748,27,24,2023-12-30T22:38:02Z,1580000,False,,,0,,K. Love Free Throw 1 of 2 (6 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
163,PT00M52.10S,2023-12-30T22:38:03.6Z,1,REGULAR,substitution,out,[],1629312,,,1610612748,27,24,2023-12-30T22:38:07Z,1590000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M52.10S,2023-12-30T22:38:03.6Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,27,24,2023-12-30T22:38:07Z,1600000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M52.10S,2023-12-30T22:38:23.3Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612748,27,25,2023-12-30T22:38:23Z,1610000,False,,,0,,K. Love Free Throw 2 of 2 (7 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
166,PT00M28.50S,2023-12-30T22:38:49.1Z,1,REGULAR,2pt,Jump Shot,[],203903,86.67871222076215,68.13725490196079,1610612762,27,25,2023-12-30T22:38:53Z,1620000,False,91.0,73.0,1,right,MISS J. Clarkson 11' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,11.62,Missed,,,,,,,,,,,,,,,,,,
