actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
83,PT05M13.00S,2026-01-07T01:25:18.0Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,14,19,2026-01-07T01:25:20Z,820000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,
85,PT04M51.00S,2026-01-07T01:25:52.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,6.521024967148489,73.77450980392157,1610612750,14,19,2026-01-07T01:25:56Z,840000,False,-119.0,9.0,1,left,MISS A. Edwards 11' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,11.92,Missed,,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2026-01-07T01:25:54.8Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,14,19,2026-01-07T01:25:56Z,850000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,
87,PT04M45.00S,2026-01-07T01:26:00.5Z,1,REGULAR,foul,personal,[],1630183,,,1610612748,14,19,2026-01-07T01:26:07Z,860000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1626181]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,1628480.0,,,,,,,,1.0,0.0,Powell,1626181.0,,,,,
89,PT04M40.00S,2026-01-07T01:26:26.6Z,1,REGULAR,foul,personal,[],1630162,,,1610612748,14,19,2026-01-07T01:26:33Z,880000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1626181]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,1626301.0,,,,,,,,1.0,0.0,Powell,1626181.0,,,,,
91,PT04M35.00S,2026-01-07T01:26:48.3Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612748,14,19,2026-01-07T01:26:52Z,900000,False,,,0,,N. Powell bad pass out-of-bounds TURNOVER (1 TO),[1626181],1610612748.0,MIA,bad pass,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,,,,1628480.0,,,,,,,,,,,,1.0,,,,
92,PT04M26.00S,2026-01-07T01:27:03.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,31.225361366622867,62.00980392156863,1610612750,14,19,2026-01-07T01:27:07Z,910000,False,-60.0,241.0,1,left,MISS J. McDaniels 24' pullup 3PT,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,24.84,Missed,,,,,,,,,,,,,,,,,,
93,PT04M22.00S,2026-01-07T01:27:07.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,14,19,2026-01-07T01:27:07Z,920000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,
94,PT04M16.00S,2026-01-07T01:27:12.0Z,1,REGULAR,turnover,lost ball,[],1631107,,,1610612748,14,19,2026-01-07T01:27:15Z,930000,False,,,0,,N. Jović lost ball TURNOVER (1 TO),"[1631107, 1630183]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,McDaniels,1630183.0
95,PT04M16.00S,2026-01-07T01:27:12.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,14,19,2026-01-07T01:27:13Z,940000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
96,PT04M10.00S,2026-01-07T01:27:18.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203497,5.732588699080158,50.0,1610612750,16,19,2026-01-07T01:27:22Z,950000,False,0.0,1.0,1,left,R. Gobert running DUNK (4 PTS) (J. McDaniels 1 AST),"[203497, 1630183]",1610612750.0,MIN,running,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.14,Made,4.0,,,,,,J. McDaniels,1630183.0,1.0,,,,,,,,,
98,PT03M57.00S,2026-01-07T01:27:35.3Z,1,REGULAR,foul,personal,[],1630162,,,1610612748,16,19,2026-01-07T01:27:39Z,970000,False,,,0,,A. Edwards personal FOUL (2 PF),"[1630162, 1626181]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left,,,,1162.0,,,,,,,,2.0,0.0,Powell,1626181.0,,,,,
100,PT03M57.00S,2026-01-07T01:27:40.0Z,1,REGULAR,substitution,out,[],1626181,,,1610612748,16,19,2026-01-07T01:27:47Z,990000,False,,,0,,SUB out: N. Powell,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M57.00S,2026-01-07T01:27:40.0Z,1,REGULAR,substitution,in,[],1641796,,,1610612748,16,19,2026-01-07T01:27:47Z,1000000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M57.00S,2026-01-07T01:27:50.2Z,1,REGULAR,substitution,out,[],1630162,,,1610612748,16,19,2026-01-07T01:28:02Z,1010000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M57.00S,2026-01-07T01:27:50.2Z,1,REGULAR,substitution,in,[],1641740,,,1610612748,16,19,2026-01-07T01:28:02Z,1020000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M43.00S,2026-01-07T01:28:26.5Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,16,19,2026-01-07T01:28:30Z,1030000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1630183]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,,,McDaniels,1630183.0
105,PT03M43.00S,2026-01-07T01:28:26.5Z,1,REGULAR,steal,,[],1630183,,,1610612750,16,19,2026-01-07T01:28:28Z,1040000,False,,,0,,J. McDaniels STEAL (2 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
106,PT03M31.00S,2026-01-07T01:28:38.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,13.354139290407357,4.411764705882353,1610612750,16,19,2026-01-07T01:28:42Z,1050000,False,228.0,73.0,1,left,MISS M. Conley step back 3PT,[201144],1610612750.0,MIN,step back,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,23.93,Missed,,,,,,,,,,,,,,,,,,
107,PT03M28.00S,2026-01-07T01:28:41.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,16,19,2026-01-07T01:28:42Z,1060000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,,,,,106.0,2.0,2.0,0.0,,,,,,,,,,,,
108,PT03M15.00S,2026-01-07T01:28:53.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631107,91.80354796320631,55.14705882352941,1610612748,16,21,2026-01-07T01:30:40Z,1070000,False,26.0,25.0,1,right,N. Jović driving bank Hook (2 PTS) (B. Adebayo 3 AST),"[1631107, 1628389]",1610612748.0,MIA,driving bank,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,3.55,Made,2.0,,,,,,B. Adebayo,1628389.0,3.0,,,,,,,,,
110,PT03M04.00S,2026-01-07T01:29:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,6.389618922470433,44.85294117647059,1610612750,16,21,2026-01-07T01:31:14Z,1090000,False,26.0,8.0,1,left,MISS J. McDaniels driving floating bank Shot,[1630183],1610612750.0,MIN,driving floating bank,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,,
111,PT03M01.00S,2026-01-07T01:29:08.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,16,21,2026-01-07T01:29:11Z,1100000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,110.0,4.0,3.0,1.0,,,,,,,,,,,,
112,PT02M59.00S,2026-01-07T01:29:11.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,93.11760840998686,3.6764705882352944,1610612748,16,24,2026-01-07T01:30:09Z,1110000,False,-232.0,12.0,1,right,T. Herro 3PT running (3 PTS) (D. Mitchell 3 AST),"[1629639, 1630558]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,23.19,Made,3.0,,,,,,D. Mitchell,1630558.0,3.0,,,,,,,,,
114,PT02M43.00S,2026-01-07T01:29:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629675,31.35676741130092,40.68627450980392,1610612750,16,24,2026-01-07T01:32:04Z,1130000,False,47.0,242.0,1,left,MISS N. Reid 24' pullup 3PT,[1629675],1610612750.0,MIN,pullup,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,24.67,Missed,,,,,,,,,,,,,,,,,,
115,PT02M41.00S,2026-01-07T01:29:27.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,16,24,2026-01-07T01:29:28Z,1140000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,114.0,3.0,3.0,0.0,,,,,,,,,,,,
116,PT02M39.00S,2026-01-07T01:29:32.3Z,1,REGULAR,turnover,out-of-bounds,[],1631107,,,1610612748,16,24,2026-01-07T01:30:44Z,1150000,False,,,0,,N. Jović lost ball out-of-bounds TURNOVER (2 TO),[1631107],1610612748.0,MIA,lost ball,,,Jović,N. Jović,,,,,Above the Break 3,24+ Left Center,,,,1162.0,,,,,,,,,,,,2.0,,,,
117,PT02M39.00S,2026-01-07T01:29:42.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,16,24,2026-01-07T01:29:42Z,1160000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,out,[],203497,,,1610612750,16,24,2026-01-07T01:32:53Z,1170000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,out,[],1628389,,,1610612750,16,24,2026-01-07T01:32:53Z,1180000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,out,[],1630558,,,1610612750,16,24,2026-01-07T01:32:53Z,1190000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,in,[],203944,,,1610612750,16,24,2026-01-07T01:32:53Z,1200000,False,,,0,,SUB in: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,in,[],1630696,,,1610612750,16,24,2026-01-07T01:32:53Z,1210000,False,,,0,,SUB in: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M39.00S,2026-01-07T01:31:04.6Z,1,REGULAR,substitution,in,[],203952,,,1610612750,16,24,2026-01-07T01:32:53Z,1220000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M28.00S,2026-01-07T01:33:08.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629675,8.623521681997373,47.794117647058826,1610612750,18,24,2026-01-07T01:33:11Z,1230000,False,11.0,29.0,1,left,N. Reid driving floating Jump Shot (2 PTS) (M. Conley 1 AST),"[1629675, 201144]",1610612750.0,MIN,driving floating,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,3.06,Made,2.0,,,,,,M. Conley,201144.0,1.0,,,,,,,,,
126,PT02M10.00S,2026-01-07T01:33:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641796,92.06636005256242,60.049019607843135,1610612748,18,26,2026-01-07T01:35:00Z,1250000,False,50.0,22.0,1,right,P. Larsson driving floating Jump Shot (2 PTS),[1641796],1610612748.0,MIA,driving floating,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,5.48,Made,2.0,,,,,,,,,,,,,,,,,
127,PT02M03.00S,2026-01-07T01:33:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1630696,,,1610612750,18,26,2026-01-07T01:33:43Z,1260000,False,,,0,,D. Smith shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1630696, 1630183]",1610612748.0,MIA,shooting,,,Smith,D. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,1628480.0,,,,,,,,1.0,0.0,McDaniels,1630183.0,,,,,
129,PT02M03.00S,2026-01-07T01:33:58.0Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,19,26,2026-01-07T01:33:58Z,1280000,False,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
130,PT02M03.00S,2026-01-07T01:34:13.0Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,20,26,2026-01-07T01:34:13Z,1290000,False,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
131,PT01M44.00S,2026-01-07T01:34:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630696,91.27792378449409,4.411764705882353,1610612748,20,29,2026-01-07T01:34:38Z,1300000,False,-228.0,29.0,1,right,D. Smith 3PT  (3 PTS) (T. Herro 1 AST),"[1630696, 1629639]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Left Corner 3,24+ Left,22.98,Made,3.0,,,,,,T. Herro,1629639.0,1.0,,,,,,,,,
133,PT01M32.00S,2026-01-07T01:34:45.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,6.521024967148489,48.529411764705884,1610612750,22,29,2026-01-07T01:34:49Z,1320000,False,7.0,9.0,1,left,J. McDaniels driving DUNK (4 PTS) (M. Conley 2 AST),"[1630183, 201144]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.15,Made,4.0,,,,,,M. Conley,201144.0,2.0,,,,,,,,,
136,PT01M10.00S,2026-01-07T01:35:22.7Z,1,REGULAR,3pt,Jump Shot,[],1631107,70.90998685939553,20.098039215686274,1610612748,22,29,2026-01-07T01:35:26Z,1350000,False,-150.0,221.0,1,right,MISS N. Jović 26' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Left Center,26.67,Missed,,,,,,,,,,,,,,,,,,
137,PT01M07.00S,2026-01-07T01:35:25.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,22,29,2026-01-07T01:35:26Z,1360000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,136.0,2.0,2.0,0.0,,,,,,,,,,,,
138,PT00M58.90S,2026-01-07T01:35:33.5Z,1,REGULAR,3pt,Jump Shot,[],1629675,29.517082785808146,27.205882352941174,1610612750,22,29,2026-01-07T01:35:37Z,1370000,False,114.0,225.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,25.22,Missed,,,,,,,,,,,,,,,,,,
139,PT00M56.20S,2026-01-07T01:35:36.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,22,29,2026-01-07T01:35:37Z,1380000,False,,,0,,T. Herro REBOUND (Off:0 Def:4),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,138.0,4.0,4.0,0.0,,,,,,,,,,,,
140,PT00M45.30S,2026-01-07T01:35:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,90.22667542706965,54.41176470588235,1610612748,22,29,2026-01-07T01:35:52Z,1390000,False,22.0,39.0,1,right,MISS T. Herro driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,,,,,,,,,,,,,
141,PT00M43.40S,2026-01-07T01:35:49.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,22,29,2026-01-07T01:35:49Z,1400000,False,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,140.0,3.0,3.0,0.0,,,,,,,,,,,,
142,PT00M33.50S,2026-01-07T01:35:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,7.5722733245729295,51.9607843137255,1610612750,24,29,2026-01-07T01:36:02Z,1410000,False,-10.0,19.0,1,left,J. Randle driving Layup (6 PTS),[203944],1610612750.0,MIN,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.11,Made,6.0,,,,,,,,,,,,,,,,,
143,PT00M19.00S,2026-01-07T01:36:17.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630696,89.04402102496715,47.05882352941176,1610612748,24,29,2026-01-07T01:36:34Z,1420000,False,-15.0,50.0,1,right,MISS D. Smith driving Layup - blocked,"[1630696, 1629675]",1610612748.0,MIA,driving,,,Smith,D. Smith,,,,,In The Paint (Non-RA),0-8 Center,5.26,Missed,,,,,,,,,,,,,,,Reid,1629675.0,,
144,PT00M19.00S,2026-01-07T01:36:17.3Z,1,REGULAR,block,,[],1629675,,,1610612748,24,29,2026-01-07T01:40:00Z,1430000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT00M18.00S,2026-01-07T01:36:18.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,24,29,2026-01-07T01:36:34Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,143.0,,,,,,,,,,,,,,,
147,PT00M15.50S,2026-01-07T01:36:35.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,90.09526938239159,3.9215686274509802,1610612748,24,29,2026-01-07T01:36:46Z,1460000,False,-230.0,41.0,1,right,MISS A. Wiggins 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,23.39,Missed,,,,,,,,,,,,,,,,,,
148,PT00M13.80S,2026-01-07T01:36:37.3Z,1,REGULAR,rebound,defensive,[],1641740,,,1610612750,24,29,2026-01-07T01:36:46Z,1470000,False,,,0,,J. Clark REBOUND (Off:0 Def:1),[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,Left Corner 3,24+ Left,,,,,147.0,1.0,1.0,0.0,,,,,,,,,,,,
149,PT00M02.30S,2026-01-07T01:36:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629675,5.338370565045992,95.83333333333334,1610612750,27,29,2026-01-07T01:36:50Z,1480000,False,-229.0,-2.0,1,left,N. Reid 3PT  (5 PTS) (J. Randle 2 AST),"[1629675, 203944]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,22.92,Made,5.0,,,,,,J. Randle,203944.0,2.0,,,,,,,,,
151,PT00M00.20S,2026-01-07T01:36:53.6Z,1,REGULAR,heave,,[],0,,,1610612748,27,29,2026-01-07T01:37:05Z,1500000,False,,,0,,MIA Heave,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Center,68.94,,,,,,,,,,,,,,,,,,,
152,PT00M00.10S,2026-01-07T01:36:53.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,27,29,2026-01-07T01:37:05Z,1510000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Center,,,,,151.0,,,,,,,,,,,,,,,
153,PT00M00.00S,2026-01-07T01:37:00.7Z,1,REGULAR,period,end,[],0,,,1610612748,27,29,2026-01-07T01:37:00Z,1520000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,out,['startperiod'],1630183,,,1610612748,27,29,2026-01-07T01:40:18Z,1530000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,out,['startperiod'],201144,,,1610612748,27,29,2026-01-07T01:40:18Z,1540000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,out,['startperiod'],1641740,,,1610612748,27,29,2026-01-07T01:40:18Z,1550000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,in,['startperiod'],1630538,,,1610612748,27,29,2026-01-07T01:40:18Z,1560000,False,,,0,,SUB in: B. Hyland,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,in,['startperiod'],1628978,,,1610612748,27,29,2026-01-07T01:40:18Z,1570000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2026-01-07T01:39:02.6Z,2,REGULAR,substitution,in,['startperiod'],1630162,,,1610612748,27,29,2026-01-07T01:40:18Z,1580000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2026-01-07T01:40:35.2Z,2,REGULAR,period,start,[],0,,,1610612748,27,29,2026-01-07T01:40:35Z,1590000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M44.00S,2026-01-07T01:40:50.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631107,90.48948751642575,34.068627450980394,1610612748,27,29,2026-01-07T01:42:23Z,1600000,False,-80.0,37.0,1,right,MISS N. Jović 8' bank Shot,[1631107],1610612748.0,MIA,bank,,,Jović,N. Jović,,,,,In The Paint (Non-RA),8-16 Left,8.78,Missed,,,,,,,,,,,,,,,,,,
162,PT11M41.00S,2026-01-07T01:40:53.1Z,2,REGULAR,rebound,defensive,[],1629675,,,1610612750,27,29,2026-01-07T01:40:55Z,1610000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Left,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,
163,PT11M30.00S,2026-01-07T01:41:03.9Z,2,REGULAR,3pt,Jump Shot,[],1630538,28.728646517739815,25.735294117647058,1610612750,27,29,2026-01-07T01:41:08Z,1620000,False,121.0,218.0,1,left,MISS B. Hyland 24' 3PT,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
164,PT11M28.00S,2026-01-07T01:41:05.9Z,2,REGULAR,rebound,defensive,[],1631107,,,1610612748,27,29,2026-01-07T01:41:08Z,1630000,False,,,0,,N. Jović REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,,
165,PT11M09.00S,2026-01-07T01:41:25.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.75229960578186,51.71568627450981,1610612748,27,29,2026-01-07T01:43:45Z,1640000,False,9.0,34.0,1,right,MISS A. Wiggins driving Layup,[203952],1610612748.0,MIA,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,,,,,,
166,PT11M07.00S,2026-01-07T01:41:27.0Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,27,29,2026-01-07T01:41:28Z,1650000,False,,,0,,A. Edwards REBOUND (Off:0 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,165.0,3.0,3.0,0.0,,,,,,,,,,,,
167,PT11M04.00S,2026-01-07T01:41:32.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629675,5.732588699080158,3.9215686274509802,1610612750,30,29,2026-01-07T01:41:43Z,1660000,False,230.0,1.0,1,left,N. Reid 3PT running (8 PTS) (B. Hyland 1 AST),"[1629675, 1630538]",1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,23.04,Made,8.0,,,,,,B. Hyland,1630538.0,1.0,,,,,,,,,
