actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
84,PT05M46.00S,2025-01-23T00:53:51.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,15,20,2025-01-23T00:53:52Z,820000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,83.0,,,,,,,1.0,1.0,0.0,,
85,PT05M34.00S,2025-01-23T00:54:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,8.229303547963205,50.0,1610612765,15,22,2025-01-23T00:54:09Z,830000,False,0.0,25.0,1,left,A. Thompson cutting Layup (6 PTS) (C. Cunningham 3 AST),"[1641709, 1630595]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,2.49,Made,6.0,,C. Cunningham,1630595.0,3.0,,,,,,,,
87,PT05M19.00S,2025-01-23T00:54:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,89.70105124835742,52.69607843137255,1610612737,15,22,2025-01-23T00:54:23Z,850000,False,13.0,44.0,1,right,MISS D. Hunter driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.63,Missed,,,,,,,,,,,,,
88,PT05M17.00S,2025-01-23T00:54:20.3Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,15,22,2025-01-23T00:54:20Z,860000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,87.0,,,,,,,4.0,2.0,2.0,,
89,PT05M15.00S,2025-01-23T00:54:22.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,94.43166885676742,91.42156862745098,1610612737,17,22,2025-01-23T00:54:34Z,870000,False,207.0,0.0,1,right,D. Hunter 20' Jump Shot (2 PTS) (O. Okongwu 2 AST),"[1629631, 1630168]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,,,,,,20.71,Made,2.0,,O. Okongwu,1630168.0,2.0,,,,,,,,
91,PT05M05.00S,2025-01-23T00:54:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,17,22,2025-01-23T00:54:37Z,890000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,out,[],1629027,,,1610612765,17,22,2025-01-23T00:57:27Z,900000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,out,[],1630168,,,1610612765,17,22,2025-01-23T00:57:27Z,910000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,17,22,2025-01-23T00:57:27Z,920000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,in,[],203991,,,1610612765,17,22,2025-01-23T00:57:27Z,930000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,in,[],1630249,,,1610612765,17,22,2025-01-23T00:57:27Z,940000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M05.00S,2025-01-23T00:55:25.0Z,1,REGULAR,substitution,in,[],1627736,,,1610612765,17,22,2025-01-23T00:57:27Z,950000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M54.00S,2025-01-23T00:57:54.6Z,1,REGULAR,3pt,Jump Shot,[],1627736,24.78646517739816,15.686274509803921,1610612765,17,22,2025-01-23T00:57:59Z,960000,False,172.0,180.0,1,left,MISS M. Beasley 24' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,24.91,Missed,,,,,,,,,,,,,
99,PT04M51.00S,2025-01-23T00:57:57.6Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,17,22,2025-01-23T00:59:52Z,970000,False,,,0,,B. Bogdanović REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Right Center,,,,,,,,,98.0,,,,,,,1.0,1.0,0.0,,
100,PT04M38.00S,2025-01-23T00:58:10.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,72.35545335085413,19.362745098039216,1610612737,17,22,2025-01-23T00:58:16Z,980000,False,-153.0,207.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,25.78,Missed,,,,,,,,,,,,,
101,PT04M34.00S,2025-01-23T00:58:14.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,17,22,2025-01-23T00:58:16Z,990000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,100.0,,,,,,,2.0,2.0,0.0,,
102,PT04M27.00S,2025-01-23T00:58:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,7.966491458607096,51.9607843137255,1610612765,17,22,2025-01-23T00:58:26Z,1000000,False,-10.0,22.0,1,left,MISS T. Hardaway Jr. driving Layup,[203501],1610612765.0,DET,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,,,,2.44,Missed,,,,,,,,,,,,,
103,PT04M24.00S,2025-01-23T00:58:24.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,17,22,2025-01-23T00:58:26Z,1010000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,102.0,,,,,,,1.0,1.0,0.0,,
104,PT04M15.00S,2025-01-23T00:58:33.3Z,1,REGULAR,3pt,Jump Shot,[],203992,71.82982917214193,21.813725490196077,1610612737,17,22,2025-01-23T00:58:38Z,1020000,False,-141.0,212.0,1,right,MISS B. Bogdanović 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Left Center,,,,,,25.48,Missed,,,,,,,,,,,,,
105,PT04M12.00S,2025-01-23T00:58:36.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,17,22,2025-01-23T00:58:38Z,1030000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,104.0,,,,,,,1.0,1.0,0.0,,
106,PT03M54.00S,2025-01-23T00:58:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630191,5.732588699080158,49.50980392156863,1610612765,17,24,2025-01-23T00:58:58Z,1040000,False,2.0,1.0,1,left,I. Stewart DUNK (2 PTS) (T. Harris 1 AST),"[1630191, 202699]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,0.29,Made,2.0,,T. Harris,202699.0,1.0,,,,,,,,
108,PT03M38.00S,2025-01-23T00:59:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,86.15308804204993,50.98039215686274,1610612737,19,24,2025-01-23T01:02:03Z,1060000,False,5.0,78.0,1,right,D. Daniels 7' driving floating Jump Shot (6 PTS),[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.79,Made,6.0,,,,,,,,,,,,
109,PT03M28.00S,2025-01-23T00:59:20.8Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,19,24,2025-01-23T00:59:25Z,1070000,False,,,0,,C. Cunningham lost ball TURNOVER (2 TO),"[1630595, 1630700]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2.0,Daniels,1630700.0,,,,,
110,PT03M28.00S,2025-01-23T00:59:20.8Z,1,REGULAR,steal,,[],1630700,,,1610612737,19,24,2025-01-23T00:59:22Z,1080000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
111,PT03M24.00S,2025-01-23T00:59:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630700,91.40932982917214,47.30392156862745,1610612737,21,24,2025-01-23T00:59:35Z,1090000,False,-13.0,28.0,1,right,D. Daniels running finger roll Layup (8 PTS),[1630700],1610612737.0,ATL,running finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,3.14,Made,8.0,,,,,,,,,,,,
112,PT03M24.00S,2025-01-23T00:59:31.2Z,1,REGULAR,foul,personal,['1freethrow'],203501,,,1610612737,21,24,2025-01-23T01:00:01Z,1100000,False,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Daniels 1 FT),"[203501, 1630700]",1610612765.0,DET,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,1199.0,1.0,0.0,Daniels,1630700.0,,,,,,,,,,,,,,,
114,PT03M24.00S,2025-01-23T00:59:42.2Z,1,REGULAR,substitution,out,[],1630595,,,1610612737,21,24,2025-01-23T00:59:59Z,1120000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M24.00S,2025-01-23T00:59:42.2Z,1,REGULAR,substitution,in,[],1631323,,,1610612737,21,24,2025-01-23T00:59:59Z,1130000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M24.00S,2025-01-23T00:59:42.2Z,1,REGULAR,substitution,out,[],203501,,,1610612737,21,24,2025-01-23T01:00:13Z,1135000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M24.00S,2025-01-23T00:59:42.2Z,1,REGULAR,substitution,in,[],1631204,,,1610612737,21,24,2025-01-23T01:00:13Z,1137500,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M24.00S,2025-01-23T01:00:02.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630700,,,1610612737,21,24,2025-01-23T01:00:05Z,1140000,False,,,0,,MISS D. Daniels Free Throw 1 of 1,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
117,PT03M21.00S,2025-01-23T01:00:05.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,21,24,2025-01-23T01:00:05Z,1150000,False,,,0,,I. Stewart REBOUND (Off:1 Def:3),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,116.0,,,,,,,4.0,3.0,1.0,,
120,PT03M05.00S,2025-01-23T01:00:19.8Z,1,REGULAR,2pt,Jump Shot,[],1627736,24.392247043363994,51.225490196078425,1610612765,21,26,2025-01-23T01:00:24Z,1160000,False,-6.0,177.0,1,left,M. Beasley 17' pullup Jump Shot (2 PTS) (I. Stewart 2 AST),"[1627736, 1630191]",1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Center,,,,,,17.69,Made,2.0,,I. Stewart,1630191.0,2.0,,,,,,,,
122,PT02M52.00S,2025-01-23T01:00:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,92.32917214191852,46.568627450980394,1610612737,21,26,2025-01-23T01:00:37Z,1180000,False,-17.0,20.0,1,right,MISS D. Daniels driving Layup,[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,2.61,Missed,,,,,,,,,,,,,
123,PT02M48.00S,2025-01-23T01:00:35.6Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,21,26,2025-01-23T01:00:35Z,1190000,False,,,0,,I. Stewart REBOUND (Off:1 Def:4),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,122.0,,,,,,,5.0,4.0,1.0,,
124,PT02M40.00S,2025-01-23T01:00:45.6Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612765,21,26,2025-01-23T01:00:52Z,1200000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Fontecchio 2 FT),"[203991, 1631323]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Fontecchio,1631323.0,,,,,,,,,,,,,,,
126,PT02M40.00S,2025-01-23T01:01:22.6Z,1,REGULAR,freethrow,1 of 2,[],1631323,,,1610612765,21,27,2025-01-23T01:01:22Z,1220000,False,,,0,,S. Fontecchio Free Throw 1 of 2 (1 PTS),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
127,PT02M40.00S,2025-01-23T01:01:23.4Z,1,REGULAR,substitution,out,[],1630700,,,1610612765,21,27,2025-01-23T01:01:34Z,1230000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M40.00S,2025-01-23T01:01:23.4Z,1,REGULAR,substitution,in,[],1630552,,,1610612765,21,27,2025-01-23T01:01:34Z,1240000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M40.00S,2025-01-23T01:01:38.7Z,1,REGULAR,freethrow,2 of 2,[],1631323,,,1610612765,21,28,2025-01-23T01:01:38Z,1250000,False,,,0,,S. Fontecchio Free Throw 2 of 2 (2 PTS),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
130,PT02M25.00S,2025-01-23T01:01:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630249,93.64323258869908,4.166666666666666,1610612737,24,28,2025-01-23T01:01:59Z,1260000,False,-229.0,7.0,1,right,V. Krejčí 3PT  (6 PTS) (D. Hunter 1 AST),"[1630249, 1629631]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Left Corner 3,24+ Left,,,,,,22.93,Made,6.0,,D. Hunter,1629631.0,1.0,,,,,,,,
132,PT02M06.00S,2025-01-23T01:02:13.0Z,1,REGULAR,2pt,Jump Shot,[],1631323,24.392247043363994,67.40196078431373,1610612765,24,30,2025-01-23T01:02:17Z,1280000,False,-87.0,177.0,1,left,S. Fontecchio 19' pullup Jump Shot (4 PTS),[1631323],1610612765.0,DET,pullup,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,16-24 Left Center,,,,,,19.7,Made,4.0,,,,,,,,,,,,
133,PT01M42.00S,2025-01-23T01:02:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630552,70.64717477003943,24.264705882352942,1610612737,24,30,2025-01-23T01:02:42Z,1290000,False,-129.0,223.0,1,right,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,25.78,Missed,,,,,,,,,,,,,
134,PT01M39.00S,2025-01-23T01:02:40.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,24,30,2025-01-23T01:06:57Z,1300000,False,,,0,,I. Stewart REBOUND (Off:1 Def:5),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,133.0,,,,,,,6.0,5.0,1.0,,
135,PT01M23.00S,2025-01-23T01:02:56.7Z,1,REGULAR,2pt,Jump Shot,[],1631323,5.206964520367937,24.509803921568626,1610612765,24,30,2025-01-23T01:03:00Z,1310000,False,127.0,-4.0,1,left,MISS S. Fontecchio 12' pullup Shot,[1631323],1610612765.0,DET,pullup,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,8-16 Right,,,,,,12.76,Missed,,,,,,,,,,,,,
136,PT01M20.00S,2025-01-23T01:02:59.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,24,30,2025-01-23T01:03:00Z,1320000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,135.0,,,,,,,1.0,1.0,0.0,,
137,PT01M11.00S,2025-01-23T01:03:09.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.85479632063075,50.49019607843137,1610612737,26,30,2025-01-23T01:03:12Z,1330000,False,2.0,15.0,1,right,C. Capela DUNK (2 PTS) (B. Bogdanović 1 AST),"[203991, 203992]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,1.49,Made,2.0,,B. Bogdanović,203992.0,1.0,,,,,,,,
139,PT00M56.80S,2025-01-23T01:03:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,17.559132720105126,51.470588235294116,1610612765,26,30,2025-01-23T01:03:26Z,1350000,False,-7.0,113.0,1,left,MISS T. Harris 11' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.28,Missed,,,,,,,,,,,,,
140,PT00M54.40S,2025-01-23T01:03:25.2Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,26,30,2025-01-23T01:03:26Z,1360000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,139.0,,,,,,,1.0,1.0,0.0,,
141,PT00M45.90S,2025-01-23T01:03:34.7Z,1,REGULAR,2pt,Jump Shot,[],203992,86.28449408672799,9.068627450980392,1610612737,26,30,2025-01-23T01:03:40Z,1370000,False,-205.0,76.0,1,right,MISS B. Bogdanović 21' Jump Shot,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Mid-Range,16-24 Left,,,,,,21.85,Missed,,,,,,,,,,,,,
142,PT00M43.50S,2025-01-23T01:03:37.1Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612765,26,30,2025-01-23T01:03:40Z,1380000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,16-24 Left,,,,,,,,,141.0,,,,,,,1.0,1.0,0.0,,
143,PT00M35.80S,2025-01-23T01:03:44.7Z,1,REGULAR,3pt,Jump Shot,[],1627736,31.225361366622867,54.166666666666664,1610612765,26,33,2025-01-23T01:03:49Z,1390000,False,-21.0,241.0,1,left,M. Beasley 24' 3PT  (5 PTS) (S. Fontecchio 1 AST),"[1627736, 1631323]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,,,,,,24.19,Made,5.0,,S. Fontecchio,1631323.0,1.0,,,,,,,,
145,PT00M23.90S,2025-01-23T01:03:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,78.53153745072274,90.93137254901961,1610612737,26,33,2025-01-23T01:04:04Z,1410000,False,205.0,149.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,,,25.34,Missed,,,,,,,,,,,,,
146,PT00M20.90S,2025-01-23T01:04:02.5Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,26,33,2025-01-23T01:04:02Z,1420000,False,,,0,,I. Stewart REBOUND (Off:1 Def:6),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,145.0,,,,,,,7.0,6.0,1.0,,
147,PT00M04.70S,2025-01-23T01:04:18.7Z,1,REGULAR,3pt,Jump Shot,[],1631323,4.681340341655716,4.166666666666666,1610612765,26,36,2025-01-23T01:04:23Z,1430000,False,229.0,-8.0,1,left,S. Fontecchio 3PT  (7 PTS) (M. Sasser 1 AST),"[1631323, 1631204]",1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,,,,,,22.94,Made,7.0,,M. Sasser,1631204.0,1.0,,,,,,,,
149,PT00M00.60S,2025-01-23T01:04:25.9Z,1,REGULAR,3pt,Jump Shot,[],1630552,85.49605781865965,94.6078431372549,1610612737,26,36,2025-01-23T01:04:43Z,1450000,False,223.0,84.0,1,right,MISS J. Johnson pullup 3PT,[1630552],1610612737.0,ATL,pullup,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,,,23.82,Missed,,,,,,,,,,,,,
150,PT00M00.10S,2025-01-23T01:04:26.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,26,36,2025-01-23T01:04:43Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,149.0,,,,,,,,,,,
151,PT00M00.00S,2025-01-23T01:04:33.1Z,1,REGULAR,period,end,[],0,,,1610612737,26,36,2025-01-23T01:04:33Z,1470000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-01-23T01:05:16.8Z,2,REGULAR,substitution,out,['startperiod'],1630249,,,1610612737,26,36,2025-01-23T01:07:05Z,1480000,False,,,0,,SUB out: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-01-23T01:05:16.8Z,2,REGULAR,substitution,out,['startperiod'],202699,,,1610612737,26,36,2025-01-23T01:07:05Z,1490000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-01-23T01:05:16.8Z,2,REGULAR,substitution,in,['startperiod'],1629027,,,1610612737,26,36,2025-01-23T01:07:05Z,1500000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-01-23T01:05:16.8Z,2,REGULAR,substitution,in,['startperiod'],1641842,,,1610612737,26,36,2025-01-23T01:07:05Z,1510000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-01-23T01:07:18.7Z,2,REGULAR,period,start,[],0,,,1610612737,26,36,2025-01-23T01:07:18Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M40.00S,2025-01-23T01:07:38.6Z,2,REGULAR,3pt,Jump Shot,[],1630552,94.95729303547962,3.6764705882352944,1610612737,26,36,2025-01-23T01:07:44Z,1530000,False,-232.0,-5.0,1,right,MISS J. Johnson 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,23.17,Missed,,,,,,,,,,,,,
158,PT11M36.00S,2025-01-23T01:07:42.6Z,2,REGULAR,rebound,offensive,[],1630552,,,1610612737,26,36,2025-01-23T01:07:44Z,1540000,False,,,0,,J. Johnson REBOUND (Off:1 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,157.0,,,,,,,2.0,1.0,1.0,,
159,PT11M27.00S,2025-01-23T01:07:50.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630552,93.24901445466492,49.01960784313725,1610612737,26,36,2025-01-23T01:07:58Z,1550000,False,-5.0,11.0,1,right,MISS J. Johnson driving DUNK - blocked,"[1630552, 1630191]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,1.2,Missed,,,,,,,,,,,,Stewart,1630191.0
180,PT11M27.00S,2025-01-23T01:07:50.9Z,2,REGULAR,block,,[],1630191,,,1610612737,26,36,2025-01-23T01:11:19Z,1555000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
160,PT11M21.00S,2025-01-23T01:07:56.9Z,2,REGULAR,rebound,defensive,[],1641842,,,1610612765,26,36,2025-01-23T01:07:58Z,1560000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,,,,,,,159.0,,,,,,,1.0,1.0,0.0,,
161,PT11M03.00S,2025-01-23T01:08:13.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,17.0335085413929,40.19607843137255,1610612765,26,36,2025-01-23T01:08:18Z,1570000,False,49.0,108.0,1,left,MISS M. Beasley 11' floating Shot,[1627736],1610612765.0,DET,floating,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.82,Missed,,,,,,,,,,,,,
162,PT11M01.00S,2025-01-23T01:08:15.8Z,2,REGULAR,rebound,offensive,[],1627736,,,1610612765,26,36,2025-01-23T01:10:00Z,1580000,False,,,0,,M. Beasley REBOUND (Off:1 Def:0),[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,161.0,,,,,,,1.0,0.0,1.0,,
