actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
85,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,in,[],1629726,,,1610612738,21,22,2024-11-05T00:57:18Z,840000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,21,22,2024-11-05T00:57:18Z,850000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,21,22,2024-11-05T00:57:18Z,860000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M28.00S,2024-11-05T00:57:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,7.046649145860711,48.28431372549019,1610612738,21,24,2024-11-05T00:57:44Z,870000,False,9.0,14.0,1,left,P. Pritchard cutting Layup (2 PTS) (X. Tillman 2 AST),"[1630202, 1630214]",1610612738.0,BOS,cutting,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.62,,,,X. Tillman,1630214.0,2.0,,
90,PT04M10.00S,2024-11-05T00:57:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,72.61826544021025,83.08823529411765,1610612737,21,24,2024-11-05T00:58:01Z,890000,False,165.0,205.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,26.33,,,,,,,,
91,PT04M07.00S,2024-11-05T00:57:59.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,24,2024-11-05T00:58:01Z,900000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,,
92,PT04M04.00S,2024-11-05T00:58:03.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,30.305519053876477,27.696078431372552,1610612738,21,27,2024-11-05T00:58:09Z,910000,False,112.0,232.0,1,left,P. Pritchard 25' 3PT running pullup (5 PTS) (J. Tatum 2 AST),"[1630202, 1628369]",1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,Made,5.0,,,,,25.78,,,,J. Tatum,1628369.0,2.0,,
94,PT04M02.00S,2024-11-05T00:58:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,21,27,2024-11-05T00:59:22Z,930000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,21,27,2024-11-05T01:00:50Z,940000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,out,[],201143,,,1610612737,21,27,2024-11-05T01:00:50Z,950000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,in,[],1630811,,,1610612737,21,27,2024-11-05T01:00:50Z,960000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,in,[],1641775,,,1610612737,21,27,2024-11-05T01:00:50Z,970000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,out,[],1630214,,,1610612737,21,27,2024-11-05T01:01:09Z,980000,False,,,0,,SUB out: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M02.00S,2024-11-05T01:00:13.8Z,1,REGULAR,substitution,in,[],1628436,,,1610612737,21,27,2024-11-05T01:01:09Z,990000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M47.00S,2024-11-05T01:01:27.6Z,1,REGULAR,3pt,Jump Shot,[],1629726,70.77858081471747,76.7156862745098,1610612737,24,27,2024-11-05T01:01:33Z,1000000,False,134.0,222.0,1,right,G. Mathews 25' 3PT  (3 PTS) (D. Daniels 3 AST),"[1629726, 1630700]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,25.93,,,,D. Daniels,1630700.0,3.0,,
103,PT03M37.00S,2024-11-05T01:01:39.7Z,1,REGULAR,foul,personal,[],1630700,,,1610612738,24,27,2024-11-05T01:01:45Z,1020000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1628369]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,200832.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
105,PT03M37.00S,2024-11-05T01:01:49.6Z,1,REGULAR,substitution,out,[],1630700,,,1610612738,24,27,2024-11-05T01:01:53Z,1040000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M37.00S,2024-11-05T01:01:49.6Z,1,REGULAR,substitution,in,[],1630552,,,1610612738,24,27,2024-11-05T01:01:53Z,1050000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M19.00S,2024-11-05T01:02:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,30.17411300919842,74.50980392156863,1610612738,24,27,2024-11-05T01:02:23Z,1060000,False,-123.0,231.0,1,left,MISS P. Pritchard 26' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.16,,,,,,,,
108,PT03M17.00S,2024-11-05T01:02:20.0Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,24,27,2024-11-05T01:02:23Z,1070000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,107.0,2.0,2.0,0.0,,,,,,,,,
109,PT03M16.00S,2024-11-05T01:02:25.0Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,24,27,2024-11-05T01:02:30Z,1080000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Center,200832.0,,,,,,,,,,,,1.0,,,,,,,
110,PT02M59.00S,2024-11-05T01:02:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,5.995400788436268,46.81372549019608,1610612738,24,29,2024-11-05T01:02:51Z,1090000,False,16.0,4.0,1,left,J. Tatum driving Layup (10 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,1.64,,,,,,,,
111,PT02M59.00S,2024-11-05T01:02:51.1Z,1,REGULAR,foul,personal,['1freethrow'],1630168,,,1610612738,24,29,2024-11-05T01:03:06Z,1100000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Tatum 1 FT),"[1630168, 1628369]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
113,PT02M59.00S,2024-11-05T01:03:13.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628369,,,1610612738,24,29,2024-11-05T01:03:14Z,1120000,False,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
114,PT02M57.00S,2024-11-05T01:03:15.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,24,29,2024-11-05T01:03:14Z,1130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,113.0,3.0,3.0,0.0,,,,,,,,,
115,PT02M41.00S,2024-11-05T01:03:30.4Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,24,29,2024-11-05T01:03:36Z,1140000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1628436]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2.0,Kornet,1628436.0,,,,,
116,PT02M41.00S,2024-11-05T01:03:30.4Z,1,REGULAR,steal,,[],1628436,,,1610612738,24,29,2024-11-05T01:03:32Z,1150000,False,,,0,,L. Kornet STEAL (1 STL),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
117,PT02M36.00S,2024-11-05T01:03:34.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,32.276609724047304,56.61764705882353,1610612738,24,32,2024-11-05T01:03:40Z,1160000,False,-33.0,251.0,1,left,J. Tatum 25' 3PT running pullup (13 PTS),[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,Made,13.0,,,,,25.31,,,,,,,,
119,PT02M14.00S,2024-11-05T01:03:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,91.5407358738502,53.67647058823529,1610612737,26,32,2024-11-05T01:04:02Z,1180000,False,18.0,27.0,1,right,O. Okongwu cutting Layup (2 PTS) (G. Mathews 1 AST),"[1630168, 1629726]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,3.27,,,,G. Mathews,1629726.0,1.0,,
121,PT02M02.00S,2024-11-05T01:04:09.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,26.231931668856767,82.35294117647058,1610612738,26,32,2024-11-05T01:04:13Z,1200000,False,-162.0,194.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.27,,,,,,,,
122,PT01M58.00S,2024-11-05T01:04:13.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,26,32,2024-11-05T01:04:13Z,1210000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,
123,PT01M51.00S,2024-11-05T01:04:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612737,26,32,2024-11-05T01:04:45Z,1220000,False,,,0,,L. Kornet shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1628436, 1630168]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Okongwu,1630168.0,,,,,,,,,,,,,,,
125,PT01M51.00S,2024-11-05T01:04:52.7Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,27,32,2024-11-05T01:04:52Z,1240000,False,,,0,,O. Okongwu Free Throw 1 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
126,PT01M51.00S,2024-11-05T01:05:09.1Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,28,32,2024-11-05T01:05:09Z,1250000,False,,,0,,O. Okongwu Free Throw 2 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
127,PT01M27.00S,2024-11-05T01:05:35.7Z,1,REGULAR,3pt,Jump Shot,[],1641775,22.552562417871222,88.97058823529412,1610612738,28,32,2024-11-05T01:05:42Z,1260000,False,-195.0,159.0,1,left,MISS J. Walsh 25' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.18,,,,,,,,
128,PT01M23.00S,2024-11-05T01:05:39.7Z,1,REGULAR,rebound,defensive,[],1630811,,,1610612737,28,32,2024-11-05T01:05:42Z,1270000,False,,,0,,K. Wallace REBOUND (Off:0 Def:1),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,
129,PT01M06.00S,2024-11-05T01:05:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,86.5473061760841,44.36274509803921,1610612737,28,32,2024-11-05T01:06:03Z,1280000,False,-28.0,74.0,1,right,MISS J. Johnson 7' turnaround Shot,[1630552],1610612737.0,ATL,turnaround,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,7.92,,,,,,,,
130,PT01M04.00S,2024-11-05T01:05:58.8Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,28,32,2024-11-05T01:05:58Z,1290000,False,,,0,,J. Johnson REBOUND (Off:1 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,129.0,4.0,3.0,1.0,,,,,,,,,
131,PT01M03.00S,2024-11-05T01:06:00.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,92.85479632063075,96.81372549019608,1610612737,28,32,2024-11-05T01:06:06Z,1300000,False,234.0,15.0,1,right,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.46,,,,,,,,
132,PT01M00.00S,2024-11-05T01:06:03.0Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,28,32,2024-11-05T01:06:06Z,1310000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Right Corner 3,24+ Right,,,,,,,,131.0,1.0,1.0,0.0,,,,,,,,,
133,PT00M56.40S,2024-11-05T01:06:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,30.831143232588698,31.61764705882353,1610612738,28,32,2024-11-05T01:06:12Z,1320000,False,92.0,237.0,1,left,MISS P. Pritchard 25' running pullup 3PT,[1630202],1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.45,,,,,,,,
134,PT00M53.50S,2024-11-05T01:06:09.6Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,28,32,2024-11-05T01:06:12Z,1330000,False,,,0,,J. Johnson REBOUND (Off:1 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,133.0,5.0,4.0,1.0,,,,,,,,,
135,PT00M45.70S,2024-11-05T01:06:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,82.47371879106439,50.49019607843137,1610612737,28,32,2024-11-05T01:06:23Z,1340000,False,2.0,112.0,1,right,MISS J. Johnson 11' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.22,,,,,,,,
136,PT00M43.00S,2024-11-05T01:06:20.4Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,28,32,2024-11-05T01:06:20Z,1350000,False,,,0,,J. Johnson REBOUND (Off:2 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,135.0,6.0,4.0,2.0,,,,,,,,,
137,PT00M43.00S,2024-11-05T01:06:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,92.72339027595268,50.73529411764706,1610612737,30,32,2024-11-05T01:06:28Z,1360000,False,4.0,16.0,1,right,J. Johnson putback Layup (8 PTS),[1630552],1610612737.0,ATL,putback,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,,,,1.63,,,,,,,,
138,PT00M30.20S,2024-11-05T01:06:36.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.436925098554536,69.11764705882352,1610612738,30,35,2024-11-05T01:06:41Z,1370000,False,-96.0,234.0,1,left,J. Tatum 25' 3PT step back (16 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Made,16.0,,,,,25.24,,,,,,,,
139,PT00M10.30S,2024-11-05T01:07:03.9Z,1,REGULAR,turnover,bad pass,[],1630811,,,1610612737,30,35,2024-11-05T01:07:07Z,1380000,False,,,0,,K. Wallace bad pass TURNOVER (1 TO),"[1630811, 1641775]",1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,Walsh,1641775.0,,,,,
140,PT00M10.30S,2024-11-05T01:07:03.9Z,1,REGULAR,steal,,[],1641775,,,1610612738,30,35,2024-11-05T01:07:06Z,1390000,False,,,0,,J. Walsh STEAL (1 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
141,PT00M04.80S,2024-11-05T01:07:09.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630573,20.05584756898817,7.107843137254902,1610612738,30,35,2024-11-05T01:07:15Z,1400000,False,214.0,136.0,1,left,MISS S. Hauser 25' running pullup 3PT,[1630573],1610612738.0,BOS,running pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.4,,,,,,,,
142,PT00M02.40S,2024-11-05T01:07:13.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,30,35,2024-11-05T01:07:13Z,1410000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,141.0,,,,,,,,,,,,
144,PT00M00.60S,2024-11-05T01:07:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630811,40.949408672798945,12.5,1610612737,30,35,2024-11-05T01:07:43Z,1430000,False,-188.0,503.0,1,right,MISS K. Wallace 53' pullup 3PT,[1630811],1610612737.0,ATL,pullup,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,53.64,,,,,,,,
145,PT00M00.10S,2024-11-05T01:07:28.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,30,35,2024-11-05T01:07:43Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,144.0,,,,,,,,,,,,
146,PT00M00.00S,2024-11-05T01:07:32.2Z,1,REGULAR,period,end,[],0,,,1610612737,30,35,2024-11-05T01:07:32Z,1450000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2024-11-05T01:09:16.1Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612737,30,35,2024-11-05T01:10:04Z,1460000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2024-11-05T01:09:16.1Z,2,REGULAR,substitution,out,['startperiod'],1641775,,,1610612737,30,35,2024-11-05T01:10:04Z,1470000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2024-11-05T01:09:16.1Z,2,REGULAR,substitution,in,['startperiod'],201950,,,1610612737,30,35,2024-11-05T01:10:04Z,1480000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-11-05T01:09:16.1Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612737,30,35,2024-11-05T01:10:04Z,1490000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-11-05T01:10:14.2Z,2,REGULAR,period,start,[],0,,,1610612738,30,35,2024-11-05T01:10:14Z,1500000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M45.00S,2024-11-05T01:10:27.8Z,2,REGULAR,turnover,bad pass,[],1628401,,,1610612738,30,35,2024-11-05T01:10:32Z,1510000,False,,,0,,D. White bad pass TURNOVER (2 TO),"[1628401, 1630552]",1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2.0,Johnson,1630552.0,,,,,
153,PT11M45.00S,2024-11-05T01:10:27.8Z,2,REGULAR,steal,,[],1630552,,,1610612737,30,35,2024-11-05T01:10:30Z,1520000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
154,PT11M38.00S,2024-11-05T01:10:34.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630168,82.34231274638634,50.49019607843137,1610612737,32,35,2024-11-05T01:11:27Z,1530000,False,2.0,113.0,1,right,O. Okongwu 11' driving floating Jump Shot (6 PTS) (K. Wallace 1 AST),"[1630168, 1630811]",1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,6.0,,,,,11.35,,,,K. Wallace,1630811.0,1.0,,
156,PT11M22.00S,2024-11-05T01:10:51.2Z,2,REGULAR,3pt,Jump Shot,[],1630573,32.276609724047304,46.07843137254902,1610612738,32,35,2024-11-05T01:10:56Z,1550000,False,20.0,251.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.17,,,,,,,,
157,PT11M19.00S,2024-11-05T01:10:54.2Z,2,REGULAR,rebound,defensive,[],1631223,,,1610612737,32,35,2024-11-05T01:10:56Z,1560000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Center,,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,
158,PT11M18.00S,2024-11-05T01:10:55.3Z,2,REGULAR,turnover,lost ball,[],1631223,,,1610612737,32,35,2024-11-05T01:11:01Z,1570000,False,,,0,,D. Roddy lost ball TURNOVER (1 TO),"[1631223, 1628401]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,1.0,White,1628401.0,,,,,
159,PT11M18.00S,2024-11-05T01:10:55.3Z,2,REGULAR,steal,,[],1628401,,,1610612738,32,35,2024-11-05T01:10:57Z,1580000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
161,PT11M14.00S,2024-11-05T01:11:22.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,29.77989487516426,25.735294117647058,1610612738,32,38,2024-11-05T01:11:27Z,1600000,False,121.0,227.0,1,left,P. Pritchard 25' 3PT  (8 PTS) (D. White 2 AST),"[1630202, 1628401]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,Made,8.0,,,,,25.77,,,,D. White,1628401.0,2.0,,
163,PT11M02.00S,2024-11-05T01:11:35.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,93.11760840998686,49.754901960784316,1610612737,34,38,2024-11-05T01:11:40Z,1620000,False,-1.0,12.0,1,right,J. Johnson driving Layup (10 PTS) (K. Wallace 2 AST),"[1630552, 1630811]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,1.23,,,,K. Wallace,1630811.0,2.0,,
165,PT11M02.00S,2024-11-05T01:11:39.2Z,2,REGULAR,foul,personal,['1freethrow'],1628436,,,1610612737,34,38,2024-11-05T01:11:55Z,1640000,False,,,0,,L. Kornet shooting personal FOUL (2 PF) (Johnson 1 FT),"[1628436, 1630552]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,200833.0,2.0,0.0,Johnson,1630552.0,,,,,,,,,,,,,,,
167,PT11M02.00S,2024-11-05T01:11:58.9Z,2,REGULAR,freethrow,1 of 1,[],1630552,,,1610612737,35,38,2024-11-05T01:11:58Z,1660000,False,,,0,,J. Johnson Free Throw 1 of 1 (11 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
168,PT10M52.00S,2024-11-05T01:12:11.8Z,2,REGULAR,3pt,Jump Shot,[],1630573,29.25427069645204,70.83333333333334,1610612738,35,38,2024-11-05T01:12:17Z,1670000,False,-104.0,222.0,1,left,MISS S. Hauser 24' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,24.57,,,,,,,,
169,PT10M48.00S,2024-11-05T01:12:15.8Z,2,REGULAR,rebound,defensive,[],1631223,,,1610612737,35,38,2024-11-05T01:12:17Z,1680000,False,,,0,,D. Roddy REBOUND (Off:0 Def:2),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,,
