actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
86,PT05M30.00S,2024-11-05T01:31:39.9Z,1,REGULAR,2pt,Jump Shot,[],201942,82.47371879106439,69.36274509803921,1610612758,12,14,2024-11-05T01:31:46Z,860000,False,97.0,112.0,1,right,D. DeRozan 14' turnaround Jump Shot (4 PTS),[201942],1610612758.0,SAC,turnaround,,,,,,Mid-Range,8-16 Right,14.82,Made,DeRozan,D. DeRozan,,,,,,,4.0,,,,,,,,,,,,
88,PT05M12.00S,2024-11-05T01:31:57.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,8.623521681997373,50.73529411764706,1610612748,14,14,2024-11-05T01:32:23Z,880000,False,-4.0,29.0,1,left,B. Adebayo alley-oop DUNK (2 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,alley-oop,,,,,,Restricted Area,0-8 Center,2.88,Made,Adebayo,B. Adebayo,,,,,,,2.0,,,,,,P. Larsson,1641796.0,1.0,,,,
90,PT04M55.00S,2024-11-05T01:32:14.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,71.56701708278581,76.22549019607843,1610612758,14,14,2024-11-05T02:23:23Z,900000,False,131.0,215.0,1,right,MISS M. Monk 25' pullup 3PT,[1628370],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Right Center,25.16,Missed,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
91,PT04M55.00S,2024-11-05T01:32:14.3Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,14,14,2024-11-05T01:32:27Z,910000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Larsson,P. Larsson,90.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
92,PT04M48.00S,2024-11-05T01:32:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612748,14,14,2024-11-05T01:32:35Z,920000,False,,,0,,M. Monk shooting personal FOUL (1 PF) (Rozier 2 FT),"[1628370, 1626179]",1610612758.0,SAC,shooting,,,,,,Mid-Range,8-16 Right,,,Monk,M. Monk,,101284.0,1.0,0.0,Rozier,1626179.0,,,,,,,,,,,,,
94,PT04M48.00S,2024-11-05T01:32:47.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626179,,,1610612748,14,14,2024-11-05T01:32:47Z,940000,False,,,0,,MISS T. Rozier Free Throw 1 of 2,[1626179],1610612748.0,MIA,,,,,,,,,,Missed,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2024-11-05T01:32:47.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,14,14,2024-11-05T01:32:47Z,950000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,
96,PT04M48.00S,2024-11-05T01:33:14.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626179,,,1610612748,15,14,2024-11-05T01:33:14Z,960000,False,,,0,,T. Rozier Free Throw 2 of 2 (1 PTS),[1626179],1610612748.0,MIA,,,,,,,,,,Made,Rozier,T. Rozier,,,,,,,1.0,,,,,,,,,,,,
97,PT04M28.00S,2024-11-05T01:33:27.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,67.62483574244416,34.31372549019608,1610612758,15,14,2024-11-05T01:33:34Z,970000,False,-78.0,252.0,1,right,MISS D. Sabonis 26' 3PT,[1627734],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,26.37,Missed,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,
98,PT04M25.00S,2024-11-05T01:33:30.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,15,14,2024-11-05T01:33:34Z,980000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Herro,T. Herro,97.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
99,PT04M19.00S,2024-11-05T01:33:40.2Z,1,REGULAR,foul,offensive,[],1629639,,,1610612748,15,14,2024-11-05T01:33:53Z,990000,False,,,0,,T. Herro charge offensive FOUL (1 PF),"[1629639, 1631099]",1610612748.0,MIA,charge,,,,,,In The Paint (Non-RA),0-8 Center,,,Herro,T. Herro,,202053.0,1.0,0.0,Murray,1631099.0,,,,,,,,,,,,,
101,PT04M19.00S,2024-11-05T01:33:40.2Z,1,REGULAR,turnover,offensive foul,[],1629639,,,1610612748,15,14,2024-11-05T01:33:40Z,1010000,False,,,0,,T. Herro offensive foul TURNOVER (2 TO),[1629639],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Herro,T. Herro,,202053.0,,,,,,,,,,,,,,2.0,,,
102,PT04M19.00S,2024-11-05T01:33:49.7Z,1,REGULAR,substitution,out,[],201942,,,1610612758,15,14,2024-11-05T01:34:11Z,1020000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
103,PT04M19.00S,2024-11-05T01:33:49.7Z,1,REGULAR,substitution,out,[],1631165,,,1610612758,15,14,2024-11-05T01:34:11Z,1030000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
104,PT04M19.00S,2024-11-05T01:33:49.7Z,1,REGULAR,substitution,in,[],1626168,,,1610612758,15,14,2024-11-05T01:34:11Z,1040000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,,,,,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,
105,PT04M19.00S,2024-11-05T01:33:49.7Z,1,REGULAR,substitution,in,[],1628368,,,1610612758,15,14,2024-11-05T01:34:11Z,1050000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,,,,,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,
106,PT04M06.00S,2024-11-05T01:34:25.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628368,85.89027595269383,69.6078431372549,1610612758,15,14,2024-11-05T02:25:45Z,1060000,False,98.0,80.0,1,right,MISS D. Fox 12' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,,,,Mid-Range,8-16 Right,12.66,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,,
107,PT04M02.00S,2024-11-05T01:34:29.1Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,15,14,2024-11-05T02:25:45Z,1070000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Right,,,Sabonis,D. Sabonis,106.0,,,,,,,2.0,1.0,1.0,,,,,,,,,
309,PT04M01.00S,2024-11-05T01:34:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,85.3646517739816,54.41176470588235,1610612758,15,14,2024-11-05T02:24:25Z,1075000,False,22.0,85.0,1,right,MISS D. Sabonis 8' tip Layup,[1627734],1610612758.0,SAC,tip,,,,,,In The Paint (Non-RA),8-16 Center,8.79,Missed,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,
310,PT04M00.00S,2024-11-05T01:34:29.7Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,15,14,2024-11-05T02:09:54Z,1077500,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Highsmith,H. Highsmith,309.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
108,PT03M59.00S,2024-11-05T01:34:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629312,29.122864651773984,82.35294117647058,1610612748,15,14,2024-11-05T02:26:26Z,1080000,False,-162.0,221.0,1,left,MISS H. Highsmith 27' 3PT,[1629312],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,27.41,Missed,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,
109,PT03M59.00S,2024-11-05T01:34:32.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,15,14,2024-11-05T01:34:49Z,1090000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,,108.0,,,,,,,,,,,,,,,,,,
111,PT03M56.00S,2024-11-05T01:34:41.9Z,1,REGULAR,substitution,out,[],1629312,,,1610612748,15,14,2024-11-05T01:34:47Z,1110000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,,,,,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,
112,PT03M56.00S,2024-11-05T01:34:41.9Z,1,REGULAR,substitution,in,[],202692,,,1610612748,15,14,2024-11-05T01:34:47Z,1120000,False,,,0,,SUB in: A. Burks,[202692],1610612748.0,MIA,,,,,,,,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
113,PT03M49.00S,2024-11-05T01:35:05.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,13.87976346911958,50.98039215686274,1610612748,15,14,2024-11-05T04:18:52Z,1130000,False,-5.0,78.0,1,left,MISS B. Adebayo 7' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.82,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
114,PT03M46.00S,2024-11-05T01:35:08.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,15,14,2024-11-05T04:18:52Z,1140000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Adebayo,B. Adebayo,113.0,,,,,,,3.0,2.0,1.0,,,,,,,,,
115,PT03M45.00S,2024-11-05T01:35:08.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628389,11.12023653088042,50.98039215686274,1610612748,17,14,2024-11-05T01:35:20Z,1150000,False,-5.0,52.0,1,left,B. Adebayo Hook (4 PTS),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,5.22,Made,Adebayo,B. Adebayo,,,,,,,4.0,,,,,,,,,,,,
116,PT03M39.00S,2024-11-05T01:35:18.8Z,1,REGULAR,foul,personal,[],1628389,,,1610612758,17,14,2024-11-05T01:35:30Z,1160000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1627734]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,Adebayo,B. Adebayo,,101284.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,
118,PT03M39.00S,2024-11-05T01:35:35.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612758,17,14,2024-11-05T01:35:43Z,1180000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
119,PT03M39.00S,2024-11-05T01:35:35.7Z,1,REGULAR,substitution,in,[],1628418,,,1610612758,17,14,2024-11-05T01:35:43Z,1190000,False,,,0,,SUB in: T. Bryant,[1628418],1610612748.0,MIA,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
120,PT03M29.00S,2024-11-05T01:36:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,86.02168199737189,46.568627450980394,1610612758,17,16,2024-11-05T01:36:19Z,1200000,False,-17.0,79.0,1,right,D. Fox 8' driving finger roll Layup (2 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,driving finger roll,,,,,,In The Paint (Non-RA),8-16 Center,8.08,Made,Fox,D. Fox,,,,,,,2.0,,,,,,D. Sabonis,1627734.0,1.0,,,,
121,PT03M12.00S,2024-11-05T01:36:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,24.52365308804205,86.51960784313727,1610612748,20,16,2024-11-05T01:36:36Z,1210000,False,-183.0,178.0,1,left,T. Herro 25' 3PT step back (13 PTS),[1629639],1610612748.0,MIA,step back,,,,,,Above the Break 3,24+ Left Center,25.5,Made,Herro,T. Herro,,,,,,,13.0,,,,,,,,,,,,
122,PT02M53.00S,2024-11-05T01:36:48.7Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,20,16,2024-11-05T01:37:00Z,1220000,False,,,0,,D. Sabonis bad pass TURNOVER (2 TO),"[1627734, 1641796]",1610612758.0,SAC,,,,,,,Mid-Range,8-16 Left,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,2.0,Larsson,1641796.0,
123,PT02M53.00S,2024-11-05T01:36:48.7Z,1,REGULAR,steal,,[],1641796,,,1610612748,20,16,2024-11-05T01:36:51Z,1230000,False,,,0,,P. Larsson STEAL (1 STL),[1641796],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
124,PT02M53.00S,2024-11-05T01:37:02.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,20,16,2024-11-05T01:37:02Z,1240000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M53.00S,2024-11-05T01:38:41.1Z,1,REGULAR,substitution,out,[],1626179,,,1610612748,20,16,2024-11-05T01:39:35Z,1250000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,
126,PT02M53.00S,2024-11-05T01:38:41.1Z,1,REGULAR,substitution,in,[],1626196,,,1610612748,20,16,2024-11-05T01:39:35Z,1260000,False,,,0,,SUB in: J. Richardson,[1626196],1610612748.0,MIA,,,,,,,,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,
127,PT02M38.00S,2024-11-05T01:40:00.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628418,18.74178712220762,52.94117647058824,1610612748,20,16,2024-11-05T02:26:38Z,1270000,False,-15.0,124.0,1,left,MISS T. Bryant 12' Jump Shot,[1628418],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,12.46,Missed,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
128,PT02M35.00S,2024-11-05T01:40:03.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,20,16,2024-11-05T01:40:05Z,1280000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Sabonis,D. Sabonis,127.0,,,,,,,3.0,2.0,1.0,,,,,,,,,
129,PT02M26.00S,2024-11-05T01:40:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,90.62089356110381,56.61764705882353,1610612758,20,18,2024-11-05T01:40:27Z,1290000,False,33.0,36.0,1,right,M. Monk driving Layup (2 PTS) (D. Sabonis 2 AST),"[1628370, 1627734]",1610612758.0,SAC,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.87,Made,Monk,M. Monk,,,,,,,2.0,,,,,,D. Sabonis,1627734.0,2.0,,,,
131,PT02M06.00S,2024-11-05T01:40:35.6Z,1,REGULAR,foul,personal,[],1631099,,,1610612748,20,18,2024-11-05T01:40:48Z,1310000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 1629639]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Murray,K. Murray,,101284.0,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,
133,PT02M06.00S,2024-11-05T01:40:40.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,20,18,2024-11-05T01:40:46Z,1330000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
134,PT02M06.00S,2024-11-05T01:40:40.9Z,1,REGULAR,substitution,in,[],202710,,,1610612748,20,18,2024-11-05T01:40:46Z,1340000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,
135,PT01M56.00S,2024-11-05T01:41:04.9Z,1,REGULAR,3pt,Jump Shot,[],1641796,32.802233902759525,52.20588235294118,1610612748,20,18,2024-11-05T01:41:11Z,1350000,False,-11.0,256.0,1,left,MISS P. Larsson 25' 3PT,[1641796],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,25.6,Missed,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
136,PT01M51.00S,2024-11-05T01:41:09.9Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,20,18,2024-11-05T01:41:11Z,1360000,False,,,0,,D. Fox REBOUND (Off:1 Def:1),[1628368],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Fox,D. Fox,135.0,,,,,,,2.0,1.0,1.0,,,,,,,,,
137,PT01M41.00S,2024-11-05T01:41:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.59198423127464,42.8921568627451,1610612758,20,20,2024-11-05T01:56:57Z,1370000,False,-36.0,17.0,1,right,D. Sabonis driving Layup (5 PTS) (D. Fox 3 AST),"[1627734, 1628368]",1610612758.0,SAC,driving,,,,,,Restricted Area,0-8 Center,3.94,Made,Sabonis,D. Sabonis,,,,,,,5.0,,,,,,D. Fox,1628368.0,3.0,,,,
139,PT01M22.00S,2024-11-05T01:41:39.0Z,1,REGULAR,2pt,Jump Shot,[],202710,4.812746386333772,13.480392156862745,1610612748,20,20,2024-11-05T01:41:45Z,1390000,False,183.0,-7.0,1,left,MISS J. Butler 18' pullup Shot,[202710],1610612748.0,MIA,pullup,,,,,,Mid-Range,16-24 Right,18.27,Missed,Butler,J. Butler,,,,,,,,,,,,,,,,,,,
140,PT01M19.00S,2024-11-05T01:41:42.0Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612748,20,20,2024-11-05T01:41:45Z,1400000,False,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right,,,Bryant,T. Bryant,139.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
141,PT01M16.00S,2024-11-05T01:41:46.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612748,20,20,2024-11-05T01:41:53Z,1410000,False,,,0,,D. Sabonis shooting personal FOUL (2 PF) (Burks 2 FT),"[1627734, 202692]",1610612758.0,SAC,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Sabonis,D. Sabonis,,101284.0,2.0,0.0,Burks,202692.0,,,,,,,,,,,,,
144,PT01M16.00S,2024-11-05T01:42:15.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202692,,,1610612748,21,20,2024-11-05T01:42:15Z,1430000,False,,,0,,A. Burks Free Throw 1 of 2 (1 PTS),[202692],1610612748.0,MIA,,,,,,,,,,Made,Burks,A. Burks,,,,,,,1.0,,,,,,,,,,,,
145,PT01M16.00S,2024-11-05T01:42:16.9Z,1,REGULAR,substitution,out,[],1641796,,,1610612748,21,20,2024-11-05T01:42:28Z,1440000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,,,,,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
146,PT01M16.00S,2024-11-05T01:42:16.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612748,21,20,2024-11-05T01:42:28Z,1450000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,
147,PT01M16.00S,2024-11-05T01:42:16.9Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,21,20,2024-11-05T01:42:28Z,1460000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,
148,PT01M16.00S,2024-11-05T01:42:16.9Z,1,REGULAR,substitution,in,[],203458,,,1610612748,21,20,2024-11-05T01:42:28Z,1470000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,,,,,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,
149,PT01M16.00S,2024-11-05T01:42:40.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202692,,,1610612748,22,20,2024-11-05T01:42:40Z,1480000,False,,,0,,A. Burks Free Throw 2 of 2 (2 PTS),[202692],1610612748.0,MIA,,,,,,,,,,Made,Burks,A. Burks,,,,,,,2.0,,,,,,,,,,,,
150,PT01M02.00S,2024-11-05T01:42:55.8Z,1,REGULAR,turnover,lost ball,[],1628370,,,1610612758,22,20,2024-11-05T01:43:02Z,1490000,False,,,0,,M. Monk lost ball TURNOVER (1 TO),"[1628370, 202692]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Monk,M. Monk,,,,,,,,,,,,,,,,1.0,Burks,202692.0,
151,PT01M02.00S,2024-11-05T01:42:55.8Z,1,REGULAR,steal,,[],202692,,,1610612748,22,20,2024-11-05T01:42:58Z,1500000,False,,,0,,A. Burks STEAL (1 STL),[202692],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
152,PT00M45.40S,2024-11-05T01:43:14.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,16.90210249671485,3.9215686274509802,1610612748,25,20,2024-11-05T01:43:18Z,1510000,False,230.0,106.0,1,left,D. Robinson 25' 3PT  (3 PTS) (J. Butler 3 AST),"[1629130, 202710]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,25.38,Made,Robinson,D. Robinson,,,,,,,3.0,,,,,,J. Butler,202710.0,3.0,,,,
158,PT00M23.30S,2024-11-05T01:43:39.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626196,,,1610612758,25,20,2024-11-05T01:43:47Z,1530000,False,,,0,,J. Richardson shooting personal FOUL (1 PF) (Fox 2 FT),"[1626196, 1628368]",1610612748.0,MIA,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Richardson,J. Richardson,,1628482.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,
160,PT00M23.30S,2024-11-05T01:44:03.8Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,25,21,2024-11-05T01:44:03Z,1550000,False,,,0,,D. Fox Free Throw 1 of 2 (3 PTS),[1628368],1610612758.0,SAC,,,,,,,,,,Made,Fox,D. Fox,,,,,,,3.0,,,,,,,,,,,,
161,PT00M23.30S,2024-11-05T01:44:19.4Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,25,22,2024-11-05T01:44:19Z,1560000,False,,,0,,D. Fox Free Throw 2 of 2 (4 PTS),[1628368],1610612758.0,SAC,,,,,,,,,,Made,Fox,D. Fox,,,,,,,4.0,,,,,,,,,,,,
162,PT00M01.90S,2024-11-05T01:44:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,11.251642575558476,53.67647058823529,1610612748,25,22,2024-11-05T01:44:56Z,1570000,False,-18.0,53.0,1,left,MISS J. Richardson driving finger roll Layup - blocked,"[1626196, 203458]",1610612748.0,MIA,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.64,Missed,Richardson,J. Richardson,,,,,,,,,,,Len,203458.0,,,,,,,
163,PT00M01.90S,2024-11-05T01:44:44.4Z,1,REGULAR,block,,[],203458,,,1610612748,25,22,2024-11-05T01:44:47Z,1580000,False,,,0,,A. Len BLOCK (1 BLK),[203458],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Len,A. Len,,,,,,,,,,,,,,,,,,,
164,PT00M01.90S,2024-11-05T01:44:44.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,25,22,2024-11-05T01:44:56Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,162.0,,,,,,,,,,,,,,,,,,
166,PT00M01.90S,2024-11-05T01:44:53.8Z,1,REGULAR,substitution,out,[],1628418,,,1610612748,25,22,2024-11-05T01:45:04Z,1610000,False,,,0,,SUB out: T. Bryant,[1628418],1610612748.0,MIA,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
168,PT00M01.90S,2024-11-05T01:44:53.8Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,25,22,2024-11-05T01:45:04Z,1630000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
169,PT00M01.90S,2024-11-05T01:44:53.8Z,1,REGULAR,substitution,in,[],1631165,,,1610612748,25,22,2024-11-05T01:45:04Z,1640000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
170,PT00M01.90S,2024-11-05T01:44:53.8Z,1,REGULAR,substitution,out,[],203458,,,1610612748,25,22,2024-11-05T01:45:11Z,1650000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,,,,,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,
171,PT00M00.70S,2024-11-05T01:45:24.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,12.959921156373195,94.6078431372549,1610612748,25,22,2024-11-05T01:45:55Z,1660000,False,-223.0,69.0,1,left,MISS T. Herro fadeaway 3PT,[1629639],1610612748.0,MIA,fadeaway,,,,,,Left Corner 3,24+ Left,23.35,Missed,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
172,PT00M00.10S,2024-11-05T01:45:24.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,25,22,2024-11-05T01:45:55Z,1670000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,,,,,171.0,,,,,,,,,,,,,,,,,,
173,PT00M00.00S,2024-11-05T01:45:29.9Z,1,REGULAR,period,end,[],0,,,1610612748,25,22,2024-11-05T01:45:29Z,1680000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2024-11-05T01:47:37.0Z,2,REGULAR,substitution,out,['startperiod'],1629639,,,1610612748,25,22,2024-11-05T01:47:59Z,1690000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2024-11-05T01:47:37.0Z,2,REGULAR,substitution,out,['startperiod'],1631099,,,1610612748,25,22,2024-11-05T01:47:59Z,1700000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,,,,,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
