actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
84,PT04M38.00S,2025-04-13T17:26:05.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629312,6.258212877792378,3.9215686274509802,1610612748,24,17,2025-04-13T17:26:09Z,840000,False,230.0,6.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Right Corner 3,24+ Right,,,,23.05,Missed,,,,,,,,,,,,,,,
85,PT04M38.00S,2025-04-13T17:26:05.7Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612748,24,17,2025-04-13T17:27:08Z,850000,False,,,0,,T. Rozier REBOUND (Off:2 Def:0),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,,,,,,,84.0,,,,,,,,,2.0,0.0,2.0,,
86,PT04M28.00S,2025-04-13T17:26:15.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642276,5.995400788436268,55.392156862745104,1610612748,24,17,2025-04-13T17:29:08Z,860000,False,-27.0,4.0,1,left,MISS K. Ware driving floating bank Shot,[1642276],1610612748.0,MIA,driving floating bank,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,2.73,Missed,,,,,,,,,,,,,,,
87,PT04M27.00S,2025-04-13T17:26:16.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,24,17,2025-04-13T17:27:19Z,870000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,86.0,,,,,,,,,,,,,
89,PT04M20.00S,2025-04-13T17:26:37.3Z,1,REGULAR,foul,personal,[],1629312,,,1610612764,24,17,2025-04-13T17:27:03Z,890000,False,,,0,,H. Highsmith personal FOUL (1 PF),"[1629312, 1641774]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Center,,,,,,,,1627963.0,1.0,0.0,Vukcevic,1641774.0,,,,,,,,
91,PT04M20.00S,2025-04-13T17:26:43.7Z,1,REGULAR,substitution,out,[],1629312,,,1610612764,24,17,2025-04-13T17:26:55Z,910000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M20.00S,2025-04-13T17:26:43.7Z,1,REGULAR,substitution,in,[],203937,,,1610612764,24,17,2025-04-13T17:26:55Z,920000,False,,,0,,SUB in: K. Anderson,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M17.00S,2025-04-13T17:27:04.7Z,1,REGULAR,2pt,Jump Shot,[],1641774,78.66294349540078,42.40196078431372,1610612764,24,19,2025-04-13T17:27:11Z,930000,False,-38.0,148.0,1,right,T. Vukcevic 15' Jump Shot (4 PTS) (B. Carrington 2 AST),"[1641774, 1642267]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,8-16 Center,,,,15.29,Made,4.0,,,,,,,B. Carrington,1642267.0,2.0,,,,,
95,PT04M04.00S,2025-04-13T17:27:17.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642276,13.485545335085414,48.03921568627451,1610612748,24,19,2025-04-13T17:27:22Z,950000,False,10.0,74.0,1,left,MISS K. Ware 7' turnaround Hook,[1642276],1610612748.0,MIA,turnaround,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,7.49,Missed,,,,,,,,,,,,,,,
96,PT04M04.00S,2025-04-13T17:27:17.1Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,24,19,2025-04-13T17:27:22Z,960000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:1),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,95.0,,,,,,,,,1.0,1.0,0.0,,
97,PT03M52.00S,2025-04-13T17:27:29.5Z,1,REGULAR,3pt,Jump Shot,[],1641774,68.9388961892247,38.23529411764706,1610612764,24,19,2025-04-13T17:27:34Z,970000,False,-59.0,239.0,1,right,MISS T. Vukcevic 24' 3PT,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Center,,,,24.66,Missed,,,,,,,,,,,,,,,
98,PT03M48.00S,2025-04-13T17:27:33.5Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,24,19,2025-04-13T17:27:34Z,980000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,97.0,,,,,,,,,1.0,1.0,0.0,,
99,PT03M42.00S,2025-04-13T17:27:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,12.171484888304862,62.00980392156863,1610612748,24,19,2025-04-13T17:31:38Z,990000,False,-60.0,62.0,1,left,MISS T. Rozier 8' turnaround fadeaway bank Shot,[1626179],1610612748.0,MIA,turnaround fadeaway bank,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Left,,,,8.62,Missed,,,,,,,,,,,,,,,
100,PT03M40.00S,2025-04-13T17:27:41.4Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,24,19,2025-04-13T17:27:43Z,1000000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:2),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,8-16 Left,,,,,,,99.0,,,,,,,,,2.0,2.0,0.0,,
101,PT03M30.00S,2025-04-13T17:27:51.5Z,1,REGULAR,3pt,Jump Shot,[],1641774,70.51576872536137,74.26470588235294,1610612764,24,22,2025-04-13T17:27:55Z,1010000,False,121.0,225.0,1,right,T. Vukcevic 25' 3PT  (7 PTS) (C. Jones 1 AST),"[1641774, 1641732]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,25.54,Made,7.0,,,,,,,C. Jones,1641732.0,1.0,,,,,
103,PT03M13.00S,2025-04-13T17:28:08.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,9.543363994743759,4.6568627450980395,1610612748,24,22,2025-04-13T17:28:15Z,1030000,False,227.0,37.0,1,left,MISS D. Robinson pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,,22.97,Missed,,,,,,,,,,,,,,,
104,PT03M09.00S,2025-04-13T17:28:12.7Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,24,22,2025-04-13T17:28:15Z,1040000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:3),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Right Corner 3,24+ Right,,,,,,,103.0,,,,,,,,,3.0,3.0,0.0,,
105,PT02M57.00S,2025-04-13T17:28:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,90.48948751642575,41.17647058823529,1610612764,24,22,2025-04-13T17:33:11Z,1050000,False,-44.0,37.0,1,right,MISS A. Johnson driving Layup,[1642358],1610612764.0,WAS,driving,,,Johnson,A. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.75,Missed,,,,,,,,,,,,,,,
106,PT02M57.00S,2025-04-13T17:28:24.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,24,22,2025-04-13T17:33:11Z,1060000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,105.0,,,,,,,,,,,,,
107,PT02M57.00S,2025-04-13T17:28:33.3Z,1,REGULAR,foul,personal,[],1641774,,,1610612748,24,22,2025-04-13T17:32:47Z,1070000,False,,,0,,T. Vukcevic loose ball personal FOUL (1 PF),"[1641774, 1642276]",1610612764.0,WAS,loose ball,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,1.0,0.0,Ware,1642276.0,,,,,,,,
109,PT02M57.00S,2025-04-13T17:28:42.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,24,22,2025-04-13T17:28:42Z,1090000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,24,22,2025-04-13T17:31:27Z,1100000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,out,[],1630558,,,1610612748,24,22,2025-04-13T17:31:27Z,1110000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,24,22,2025-04-13T17:31:27Z,1120000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,in,[],1630528,,,1610612748,24,22,2025-04-13T17:31:27Z,1130000,False,,,0,,SUB in: J. Christopher,[1630528],1610612748.0,MIA,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,24,22,2025-04-13T17:31:27Z,1140000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M57.00S,2025-04-13T17:30:47.5Z,1,REGULAR,substitution,in,[],1642352,,,1610612748,24,22,2025-04-13T17:31:27Z,1150000,False,,,0,,SUB in: K. Johnson,[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M40.00S,2025-04-13T17:31:51.0Z,1,REGULAR,2pt,Jump Shot,[],203937,13.222733245729303,89.70588235294117,1610612748,24,22,2025-04-13T17:33:55Z,1160000,False,-199.0,72.0,1,left,MISS K. Anderson 21' Jump Shot,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Left,,,,21.11,Missed,,,,,,,,,,,,,,,
119,PT02M38.00S,2025-04-13T17:31:53.0Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,24,22,2025-04-13T17:31:55Z,1170000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:4),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,16-24 Left,,,,,,,118.0,,,,,,,,,4.0,4.0,0.0,,
120,PT02M26.00S,2025-04-13T17:32:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641732,87.46714848883047,44.6078431372549,1610612764,24,22,2025-04-13T17:32:10Z,1180000,False,-27.0,65.0,1,right,MISS C. Jones 7' driving Layup - blocked,"[1641732, 203937]",1610612764.0,WAS,driving,,,Jones,C. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,7.07,Missed,,,,,,,,,,,,,,Anderson,203937.0
121,PT02M26.00S,2025-04-13T17:32:04.8Z,1,REGULAR,block,,[],203937,,,1610612764,24,22,2025-04-13T17:32:08Z,1190000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
122,PT02M25.00S,2025-04-13T17:32:05.8Z,1,REGULAR,rebound,offensive,[],1630551,,,1610612764,24,22,2025-04-13T17:34:44Z,1200000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,120.0,,,,,,,,,1.0,0.0,1.0,,
123,PT02M23.00S,2025-04-13T17:32:10.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630551,90.88370565045992,49.754901960784316,1610612764,24,24,2025-04-13T17:35:24Z,1210000,False,-1.0,33.0,1,right,J. Champagnie floating Jump Shot (8 PTS),[1630551],1610612764.0,WAS,floating,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,3.32,Made,8.0,,,,,,,,,,,,,,
124,PT02M03.00S,2025-04-13T17:32:27.2Z,1,REGULAR,3pt,Jump Shot,[],1630528,6.258212877792378,95.58823529411765,1610612748,24,24,2025-04-13T17:32:31Z,1220000,False,-228.0,6.0,1,left,MISS J. Christopher step back 3PT,[1630528],1610612748.0,MIA,step back,,,Christopher,J. Christopher,,,,,Left Corner 3,24+ Left,,,,22.8,Missed,,,,,,,,,,,,,,,
125,PT02M01.00S,2025-04-13T17:32:29.2Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,24,24,2025-04-13T17:32:31Z,1230000,False,,,0,,B. Carrington REBOUND (Off:1 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Left Corner 3,24+ Left,,,,,,,124.0,,,,,,,,,2.0,1.0,1.0,,
126,PT01M58.00S,2025-04-13T17:32:32.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642267,67.23061760840999,52.20588235294118,1610612764,24,27,2025-04-13T17:32:39Z,1240000,False,11.0,256.0,1,right,B. Carrington 25' 3PT running pullup (5 PTS),[1642267],1610612764.0,WAS,running pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,25.57,Made,5.0,,,,,,,,,,,,,,
127,PT01M43.00S,2025-04-13T17:32:47.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,13.87976346911958,95.34313725490196,1610612748,24,27,2025-04-13T17:32:52Z,1250000,False,-227.0,78.0,1,left,MISS T. Rozier 3PT,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,23.97,Missed,,,,,,,,,,,,,,,
128,PT01M40.00S,2025-04-13T17:32:51.2Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612748,24,27,2025-04-13T17:32:51Z,1260000,False,,,0,,T. Rozier REBOUND (Off:3 Def:0),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,,,127.0,,,,,,,,,3.0,0.0,3.0,,
129,PT01M37.00S,2025-04-13T17:32:54.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626179,7.835085413929041,51.470588235294116,1610612748,24,27,2025-04-13T17:36:39Z,1270000,False,-7.0,21.0,1,left,MISS T. Rozier driving floating Shot,[1626179],1610612748.0,MIA,driving floating,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,2.24,Missed,,,,,,,,,,,,,,,
130,PT01M36.00S,2025-04-13T17:32:55.0Z,1,REGULAR,rebound,offensive,[],1642352,,,1610612748,24,27,2025-04-13T17:34:11Z,1280000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,129.0,,,,,,,,,1.0,0.0,1.0,,
131,PT01M35.00S,2025-04-13T17:33:04.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642352,5.590000152587891,50.0,1610612748,26,27,2025-04-13T17:36:43Z,1290000,False,0.0,0.0,1,left,K. Johnson tip Layup (2 PTS),[1642352],1610612748.0,MIA,tip,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
132,PT01M17.00S,2025-04-13T17:33:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630551,91.80354796320631,1.715686274509804,1610612764,26,30,2025-04-13T17:33:19Z,1300000,False,-241.0,25.0,1,right,J. Champagnie 24' 3PT  (11 PTS) (T. Vukcevic 1 AST),"[1630551, 1641774]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,24.26,Made,11.0,,,,,,,T. Vukcevic,1641774.0,1.0,,,,,
134,PT01M01.00S,2025-04-13T17:33:29.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,29.6484888304862,72.79411764705883,1610612748,26,30,2025-04-13T17:37:17Z,1320000,False,-114.0,226.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,25.33,Missed,,,,,,,,,,,,,,,
135,PT00M58.50S,2025-04-13T17:33:32.0Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,26,30,2025-04-13T17:33:34Z,1330000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,134.0,,,,,,,,,2.0,1.0,1.0,,
136,PT00M50.80S,2025-04-13T17:33:40.3Z,1,REGULAR,3pt,Jump Shot,[],1642267,66.3107752956636,34.80392156862745,1610612764,26,30,2025-04-13T17:33:45Z,1340000,False,-76.0,264.0,1,right,MISS B. Carrington 27' step back 3PT,[1642267],1610612764.0,WAS,step back,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,27.49,Missed,,,,,,,,,,,,,,,
137,PT00M48.90S,2025-04-13T17:33:42.2Z,1,REGULAR,rebound,defensive,[],1642352,,,1610612748,26,30,2025-04-13T17:33:45Z,1350000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,136.0,,,,,,,,,2.0,1.0,1.0,,
138,PT00M37.90S,2025-04-13T17:33:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,5.338370565045992,52.69607843137255,1610612748,28,30,2025-04-13T17:40:50Z,1360000,False,-13.0,-2.0,1,left,J. Jaquez Jr. driving Layup (7 PTS) (K. Anderson 1 AST),"[1631170, 203937]",1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,1.37,Made,7.0,,,,,,,K. Anderson,203937.0,1.0,,,,,
139,PT00M22.90S,2025-04-13T17:34:13.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642352,,,1610612764,28,30,2025-04-13T17:34:21Z,1370000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Champagnie 2 FT),"[1642352, 1630551]",1610612748.0,MIA,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,101283.0,1.0,0.0,Champagnie,1630551.0,,,,,,,,
141,PT00M22.90S,2025-04-13T17:34:36.7Z,1,REGULAR,freethrow,1 of 2,[],1630551,,,1610612764,28,30,2025-04-13T17:34:36Z,1390000,False,,,0,,MISS J. Champagnie Free Throw 1 of 2,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
142,PT00M22.90S,2025-04-13T17:34:36.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,28,30,2025-04-13T17:34:36Z,1400000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,,
143,PT00M22.90S,2025-04-13T17:34:36.7Z,1,REGULAR,freethrow,2 of 2,[],1630551,,,1610612764,28,30,2025-04-13T17:35:10Z,1410000,False,,,0,,MISS J. Champagnie Free Throw 2 of 2,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
144,PT00M20.50S,2025-04-13T17:34:39.1Z,1,REGULAR,rebound,defensive,[],1642352,,,1610612748,28,30,2025-04-13T17:35:10Z,1420000,False,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,,,,,,,,,143.0,,,,,,,,,3.0,2.0,1.0,,
145,PT00M04.80S,2025-04-13T17:35:14.3Z,1,REGULAR,foul,personal,[],1641732,,,1610612748,28,30,2025-04-13T17:36:03Z,1430000,False,,,0,,C. Jones personal FOUL (1 PF),"[1641732, 203937]",1610612764.0,WAS,,,,Jones,C. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,1627963.0,1.0,0.0,Anderson,203937.0,,,,,,,,
147,PT00M01.40S,2025-04-13T17:35:45.0Z,1,REGULAR,2pt,Jump Shot,[],203937,5.995400788436268,10.784313725490197,1610612748,28,30,2025-04-13T17:36:06Z,1450000,False,196.0,4.0,1,left,MISS K. Anderson 19' Jump Shot,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Right,,,,19.61,Missed,,,,,,,,,,,,,,,
148,PT00M00.10S,2025-04-13T17:35:46.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,28,30,2025-04-13T17:36:06Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,16-24 Right,,,,,,,147.0,,,,,,,,,,,,,
149,PT00M00.00S,2025-04-13T17:35:50.9Z,1,REGULAR,period,end,[],0,,,1610612748,28,30,2025-04-13T17:35:50Z,1470000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-04-13T17:38:10.1Z,2,REGULAR,substitution,out,['startperiod'],1630551,,,1610612748,28,30,2025-04-13T17:38:27Z,1480000,False,,,0,,SUB out: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-04-13T17:38:10.1Z,2,REGULAR,substitution,in,['startperiod'],1642259,,,1610612748,28,30,2025-04-13T17:38:27Z,1490000,False,,,0,,SUB in: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-04-13T17:38:39.8Z,2,REGULAR,period,start,[],0,,,1610612748,28,30,2025-04-13T17:38:39Z,1500000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M52.00S,2025-04-13T17:38:48.4Z,2,REGULAR,violation,kicked ball,[],1641774,,,1610612748,28,30,2025-04-13T17:38:56Z,1510000,False,,,0,,T. Vukcevic kicked ball VIOLATION,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,202058.0,,,,,,,,,,,,
154,PT11M46.00S,2025-04-13T17:39:04.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,9.149145860709593,60.29411764705882,1610612748,28,30,2025-04-13T17:39:10Z,1520000,False,-51.0,34.0,1,left,MISS J. Jaquez Jr. 6' driving bank Shot,[1631170],1610612748.0,MIA,driving bank,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.14,Missed,,,,,,,,,,,,,,,
155,PT11M43.00S,2025-04-13T17:39:07.5Z,2,REGULAR,rebound,defensive,[],1641774,,,1610612764,28,30,2025-04-13T17:39:10Z,1530000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:5),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,154.0,,,,,,,,,5.0,5.0,0.0,,
156,PT11M35.00S,2025-04-13T17:39:15.7Z,2,REGULAR,turnover,bad pass,[],1641774,,,1610612764,28,30,2025-04-13T17:39:21Z,1540000,False,,,0,,T. Vukcevic bad pass TURNOVER (1 TO),"[1641774, 1630528]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,1.0,Christopher,1630528.0,,,,,,,,,,,,,,,,,
157,PT11M35.00S,2025-04-13T17:39:15.7Z,2,REGULAR,steal,,[],1630528,,,1610612748,28,30,2025-04-13T17:43:44Z,1550000,False,,,0,,J. Christopher STEAL (1 STL),[1630528],1610612748.0,MIA,,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
158,PT11M30.00S,2025-04-13T17:39:19.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626179,5.338370565045992,52.94117647058824,1610612748,28,30,2025-04-13T17:39:28Z,1560000,False,-15.0,-2.0,1,left,MISS T. Rozier running reverse Layup,[1626179],1610612748.0,MIA,running reverse,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,1.49,Missed,,,,,,,,,,,,,,,
159,PT11M26.00S,2025-04-13T17:39:23.8Z,2,REGULAR,rebound,defensive,[],1642259,,,1610612764,28,30,2025-04-13T17:47:06Z,1570000,False,,,0,,A. Sarr REBOUND (Off:0 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,158.0,,,,,,,,,3.0,3.0,0.0,,
160,PT11M24.00S,2025-04-13T17:39:26.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641774,93.64323258869908,52.450980392156865,1610612764,28,32,2025-04-13T17:39:35Z,1580000,False,12.0,7.0,1,right,T. Vukcevic running alley-oop DUNK (9 PTS) (A. Johnson 2 AST),"[1641774, 1642358]",1610612764.0,WAS,running alley-oop,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,1.43,Made,9.0,,,,,,,A. Johnson,1642358.0,2.0,,,,,
162,PT11M07.00S,2025-04-13T17:39:43.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,8.623521681997373,41.17647058823529,1610612748,28,32,2025-04-13T17:43:54Z,1600000,False,44.0,29.0,1,left,MISS K. Anderson driving floating bank Shot,[203937],1610612748.0,MIA,driving floating bank,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.26,Missed,,,,,,,,,,,,,,,
163,PT11M07.00S,2025-04-13T17:39:43.0Z,2,REGULAR,rebound,defensive,[],1641732,,,1610612764,28,32,2025-04-13T17:39:53Z,1610000,False,,,0,,C. Jones REBOUND (Off:0 Def:1),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,162.0,,,,,,,,,1.0,1.0,0.0,,
