actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT04M17.00S,2025-03-23T22:27:57.3Z,1,REGULAR,substitution,out,[],1631109,,,1610612748,11,19,2025-03-23T22:28:25Z,810000,False,,,0,,SUB out: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M17.00S,2025-03-23T22:27:57.3Z,1,REGULAR,substitution,in,[],203994,,,1610612748,11,19,2025-03-23T22:28:25Z,820000,False,,,0,,SUB in: J. Nurkić,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2025-03-23T22:27:57.3Z,1,REGULAR,substitution,in,[],1630163,,,1610612748,11,19,2025-03-23T22:28:25Z,830000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M54.00S,2025-03-23T22:28:56.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,70.12155059132719,76.47058823529412,1610612748,14,19,2025-03-23T22:32:38Z,840000,False,132.0,228.0,1,right,T. Herro 26' 3PT step back (8 PTS) (A. Wiggins 1 AST),"[1629639, 203952]",1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Right Center,26.4,Made,8.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,
88,PT03M35.00S,2025-03-23T22:29:14.4Z,1,REGULAR,3pt,Jump Shot,[],1642275,21.23850197109067,88.48039215686273,1610612766,14,22,2025-03-23T22:29:20Z,860000,False,-192.0,147.0,1,left,T. Salaün 24' 3PT  (3 PTS) (L. Ball 3 AST),"[1642275, 1630163]",1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,Above the Break 3,24+ Left Center,24.22,Made,3.0,L. Ball,1630163.0,3.0,,,,,,,,,,,,,
90,PT03M23.00S,2025-03-23T22:29:27.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.9060446780552,49.26470588235294,1610612748,16,22,2025-03-23T22:29:36Z,880000,False,-4.0,5.0,1,right,K. Ware alley-oop DUNK (2 PTS) (D. Mitchell 1 AST),"[1642276, 1630558]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,
92,PT03M10.00S,2025-03-23T22:29:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,11.383048620236531,48.77450980392157,1610612766,16,24,2025-03-23T22:33:23Z,900000,False,6.0,55.0,1,left,J. Nurkić floating Jump Shot (2 PTS) (L. Ball 4 AST),"[203994, 1630163]",1610612766.0,CHA,floating,,,Nurkić,J. Nurkić,,,,,,In The Paint (Non-RA),0-8 Center,5.48,Made,2.0,L. Ball,1630163.0,4.0,,,,,,,,,,,,,
94,PT02M54.00S,2025-03-23T22:29:56.1Z,1,REGULAR,2pt,Jump Shot,[],203952,70.64717477003943,59.31372549019608,1610612748,18,24,2025-03-23T22:30:00Z,920000,False,47.0,223.0,1,right,A. Wiggins 22' pullup Jump Shot (8 PTS) (K. Ware 3 AST),"[203952, 1642276]",1610612748.0,MIA,pullup,,,Wiggins,A. Wiggins,,,,,,Mid-Range,16-24 Center,22.82,Made,8.0,K. Ware,1642276.0,3.0,,,,,,,,,,,,,
96,PT02M39.00S,2025-03-23T22:30:13.0Z,1,REGULAR,foul,offensive,[],203994,,,1610612766,18,24,2025-03-23T22:30:25Z,940000,False,,,0,,J. Nurkić offensive FOUL (1 PF),"[203994, 1630558]",1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,201639.0,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,0.0,Mitchell,1630558.0,,
98,PT02M39.00S,2025-03-23T22:30:13.0Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612766,18,24,2025-03-23T22:30:13Z,960000,False,,,0,,J. Nurkić offensive foul TURNOVER (1 TO),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,201639.0,Above the Break 3,24+ Center,,,,,,,1.0,,,,,,,,,,,,
100,PT02M39.00S,2025-03-23T22:30:24.9Z,1,REGULAR,substitution,out,[],203952,,,1610612748,18,24,2025-03-23T22:30:38Z,970000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M39.00S,2025-03-23T22:30:24.9Z,1,REGULAR,substitution,out,[],1641733,,,1610612748,18,24,2025-03-23T22:30:38Z,980000,False,,,0,,SUB out: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M39.00S,2025-03-23T22:30:24.9Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,18,24,2025-03-23T22:30:38Z,990000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M39.00S,2025-03-23T22:30:24.9Z,1,REGULAR,substitution,in,[],203552,,,1610612748,18,24,2025-03-23T22:30:38Z,1000000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M30.00S,2025-03-23T22:30:42.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,64.33968462549278,32.35294117647059,1610612748,18,24,2025-03-23T22:30:47Z,1010000,False,-88.0,283.0,1,right,MISS T. Herro 29' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Center,29.61,Missed,,,,,,,,,,,,,,,,,
105,PT02M27.00S,2025-03-23T22:30:45.0Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,18,24,2025-03-23T22:30:47Z,1020000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,Above the Break 3,24+ Center,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,
106,PT02M05.00S,2025-03-23T22:31:07.2Z,1,REGULAR,2pt,Jump Shot,[],203552,9.937582128777924,80.3921568627451,1610612766,18,26,2025-03-23T22:31:12Z,1030000,False,-152.0,41.0,1,left,S. Curry 15' pullup Jump Shot (2 PTS) (K. Simpson 1 AST),"[203552, 1642354]",1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,,Mid-Range,8-16 Left,15.74,Made,2.0,K. Simpson,1642354.0,1.0,,,,,,,,,,,,,
109,PT01M46.00S,2025-03-23T22:31:37.4Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,18,26,2025-03-23T22:31:43Z,1060000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT01M46.00S,2025-03-23T22:31:37.4Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,18,26,2025-03-23T22:31:43Z,1070000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT01M38.00S,2025-03-23T22:32:02.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,18,26,2025-03-23T22:32:16Z,1080000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
112,PT01M26.00S,2025-03-23T22:32:26.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,23.99802890932983,86.02941176470588,1610612766,18,26,2025-03-23T22:35:33Z,1090000,False,-180.0,173.0,1,left,MISS L. Ball 24' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,
113,PT01M21.00S,2025-03-23T22:32:31.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,18,26,2025-03-23T22:32:31Z,1100000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Left Center,,,,,,,,112.0,2.0,2.0,0.0,,,,,,,,
114,PT01M16.00S,2025-03-23T22:32:36.3Z,1,REGULAR,turnover,bad pass,[],1631170,,,1610612748,18,26,2025-03-23T22:32:41Z,1110000,False,,,0,,J. Jaquez Jr. bad pass TURNOVER (1 TO),"[1631170, 1630163]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,,,,,,,,,,,Ball,1630163.0
115,PT01M16.00S,2025-03-23T22:32:36.3Z,1,REGULAR,steal,,[],1630163,,,1610612766,18,26,2025-03-23T22:38:19Z,1120000,False,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
116,PT01M07.00S,2025-03-23T22:32:45.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642354,22.421156373193167,5.637254901960785,1610612766,18,26,2025-03-23T22:33:01Z,1130000,False,222.0,158.0,1,left,MISS K. Simpson 27' 3PT,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,Above the Break 3,24+ Right Center,27.25,Missed,,,,,,,,,,,,,,,,,
117,PT01M05.00S,2025-03-23T22:32:53.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,18,26,2025-03-23T22:32:53Z,1140000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,116.0,,,,,,,,,,,
118,PT01M05.00S,2025-03-23T22:32:54.4Z,1,REGULAR,foul,personal,[],1628389,,,1610612766,18,26,2025-03-23T22:33:04Z,1150000,False,,,0,,B. Adebayo loose ball personal FOUL (1 PF),"[1628389, 203994]",1610612748.0,MIA,loose ball,,,Adebayo,B. Adebayo,,,,,1628951.0,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,0.0,Nurkić,203994.0,,
120,PT01M05.00S,2025-03-23T22:33:03.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612766,18,26,2025-03-23T22:33:09Z,1170000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M05.00S,2025-03-23T22:33:03.9Z,1,REGULAR,substitution,in,[],1629130,,,1610612766,18,26,2025-03-23T22:33:09Z,1180000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT00M57.20S,2025-03-23T22:33:22.3Z,1,REGULAR,violation,kicked ball,[],1628389,,,1610612766,18,26,2025-03-23T22:33:36Z,1190000,False,,,0,,B. Adebayo kicked ball VIOLATION,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,1628951.0,,,,,,,,,,,,,,,,,,,,,
123,PT00M45.70S,2025-03-23T22:34:01.4Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,18,26,2025-03-23T22:35:50Z,1200000,False,,,0,,L. Ball lost ball out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,lost ball,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,,,,,,,,,,,,
124,PT00M38.80S,2025-03-23T22:34:22.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,68.67608409986859,31.127450980392158,1610612748,18,26,2025-03-23T22:34:33Z,1210000,False,-94.0,242.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,
125,PT00M33.20S,2025-03-23T22:34:28.5Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,18,26,2025-03-23T22:34:33Z,1220000,False,,,0,,K. Simpson REBOUND (Off:0 Def:2),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,Above the Break 3,24+ Left Center,,,,,,,,124.0,2.0,2.0,0.0,,,,,,,,
126,PT00M30.40S,2025-03-23T22:34:31.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642354,12.171484888304862,47.794117647058826,1610612766,18,26,2025-03-23T22:41:06Z,1230000,False,11.0,62.0,1,left,MISS K. Simpson 6' driving floating Shot,[1642354],1610612766.0,CHA,driving floating,,,Simpson,K. Simpson,,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,
127,PT00M30.40S,2025-03-23T22:34:31.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,18,26,2025-03-23T22:34:39Z,1240000,False,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,126.0,2.0,2.0,0.0,,,,,,,,
128,PT00M07.30S,2025-03-23T22:34:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,93.9060446780552,44.36274509803921,1610612748,20,26,2025-03-23T22:35:00Z,1250000,False,-28.0,5.0,1,right,D. Mitchell driving Layup (2 PTS),[1630558],1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,,,,,,,,,,,,,,,,
129,PT00M04.20S,2025-03-23T22:35:01.3Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,20,26,2025-03-23T22:35:47Z,1260000,False,,,0,,L. Ball lost ball TURNOVER (2 TO),"[1630163, 1628389]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Mid-Range,16-24 Center,,,,,,,2.0,,,,,,,,,,,Adebayo,1628389.0
130,PT00M04.20S,2025-03-23T22:35:01.3Z,1,REGULAR,steal,,[],1628389,,,1610612748,20,26,2025-03-23T22:35:02Z,1270000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
131,PT00M00.50S,2025-03-23T22:35:04.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628389,66.5735873850197,65.19607843137256,1610612748,20,26,2025-03-23T22:42:20Z,1280000,False,76.0,262.0,1,right,MISS B. Adebayo 27' floating 3PT,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,,Above the Break 3,24+ Center,27.25,Missed,,,,,,,,,,,,,,,,,
132,PT00M00.50S,2025-03-23T22:35:04.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,20,26,2025-03-23T22:35:38Z,1290000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,131.0,,,,,,,,,,,
133,PT00M00.00S,2025-03-23T22:35:11.2Z,1,REGULAR,period,end,[],0,,,1610612748,20,26,2025-03-23T22:35:11Z,1300000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT12M00.00S,2025-03-23T22:36:24.8Z,2,REGULAR,substitution,out,['startperiod'],1642354,,,1610612748,20,26,2025-03-23T22:37:57Z,1310000,False,,,0,,SUB out: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2025-03-23T22:36:24.8Z,2,REGULAR,substitution,in,['startperiod'],1629610,,,1610612748,20,26,2025-03-23T22:37:57Z,1320000,False,,,0,,SUB in: D. Jeffries,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2025-03-23T22:38:05.1Z,2,REGULAR,period,start,[],0,,,1610612748,20,26,2025-03-23T22:38:05Z,1330000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT11M48.00S,2025-03-23T22:38:16.4Z,2,REGULAR,2pt,Jump Shot,[],1628389,77.61169513797634,51.71568627450981,1610612748,22,26,2025-03-23T22:38:26Z,1340000,False,9.0,158.0,1,right,B. Adebayo 15' Jump Shot (2 PTS) (J. Jaquez Jr. 1 AST),"[1628389, 1631170]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,8-16 Center,15.82,Made,2.0,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,,,,
139,PT11M28.00S,2025-03-23T22:38:35.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203994,12.828515111695138,49.01960784313725,1610612766,22,26,2025-03-23T22:38:48Z,1360000,False,5.0,68.0,1,left,MISS J. Nurkić 6' turnaround Hook,[203994],1610612766.0,CHA,turnaround,,,Nurkić,J. Nurkić,,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,,,,,,,,,,,,,
140,PT11M27.00S,2025-03-23T22:38:36.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612766,22,26,2025-03-23T22:38:48Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,139.0,,,,,,,,,,,
142,PT11M21.00S,2025-03-23T22:39:02.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,28.203022339027594,83.82352941176471,1610612766,22,29,2025-03-23T22:39:07Z,1390000,False,-169.0,213.0,1,left,L. Ball 27' 3PT  (3 PTS) (J. Nurkić 1 AST),"[1630163, 203994]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,27.16,Made,3.0,J. Nurkić,203994.0,1.0,,,,,,,,,,,,,
143,PT11M06.00S,2025-03-23T22:39:16.2Z,2,REGULAR,turnover,lost ball,[],1629130,,,1610612748,22,29,2025-03-23T22:39:23Z,1400000,False,,,0,,D. Robinson lost ball TURNOVER (1 TO),"[1629130, 1630163]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,,,,,,,,,,,Ball,1630163.0
144,PT11M06.00S,2025-03-23T22:39:16.2Z,2,REGULAR,steal,,[],1630163,,,1610612766,22,29,2025-03-23T22:39:18Z,1410000,False,,,0,,L. Ball STEAL (2 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
145,PT10M53.00S,2025-03-23T22:39:30.1Z,2,REGULAR,foul,personal,['3freethrow'],1630558,,,1610612766,22,29,2025-03-23T22:39:37Z,1420000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Ball 3 FT),"[1630558, 1630163]",1610612748.0,MIA,shooting,,,Mitchell,D. Mitchell,,,,,1630886.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,0.0,Ball,1630163.0,,
147,PT10M53.00S,2025-03-23T22:40:02.2Z,2,REGULAR,freethrow,1 of 3,['fromturnover'],1630163,,,1610612766,22,30,2025-03-23T22:40:02Z,1440000,False,,,0,,L. Ball Free Throw 1 of 3 (4 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
148,PT10M53.00S,2025-03-23T22:40:18.5Z,2,REGULAR,freethrow,2 of 3,['fromturnover'],1630163,,,1610612766,22,31,2025-03-23T22:40:18Z,1450000,False,,,0,,L. Ball Free Throw 2 of 3 (5 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,
149,PT10M53.00S,2025-03-23T22:40:39.7Z,2,REGULAR,freethrow,3 of 3,['fromturnover'],1630163,,,1610612766,22,32,2025-03-23T22:40:39Z,1460000,False,,,0,,L. Ball Free Throw 3 of 3 (6 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,
150,PT10M45.00S,2025-03-23T22:40:48.7Z,2,REGULAR,3pt,Jump Shot,[],1629130,67.09921156373193,59.31372549019608,1610612748,25,32,2025-03-23T22:40:54Z,1470000,False,47.0,257.0,1,right,D. Robinson 26' 3PT pullup (3 PTS) (D. Mitchell 2 AST),"[1629130, 1630558]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,Above the Break 3,24+ Center,26.1,Made,3.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,,
151,PT10M34.00S,2025-03-23T22:40:59.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642275,5.206964520367937,50.73529411764706,1610612766,25,34,2025-03-23T22:41:07Z,1480000,False,-4.0,-4.0,1,left,T. Salaün cutting DUNK (5 PTS) (L. Ball 5 AST),"[1642275, 1630163]",1610612766.0,CHA,cutting,,,Salaün,T. Salaün,,,,,,Restricted Area,0-8 Center,0.52,Made,5.0,L. Ball,1630163.0,5.0,,,,,,,,,,,,,
153,PT10M17.00S,2025-03-23T22:41:46.4Z,2,REGULAR,foul,personal,['2freethrow'],203552,,,1610612748,25,34,2025-03-23T22:42:02Z,1500000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Highsmith 2 FT),"[203552, 1629312]",1610612766.0,CHA,shooting,,,Curry,S. Curry,,,,,1630886.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,0.0,Highsmith,1629312.0,,
156,PT10M17.00S,2025-03-23T22:42:11.0Z,2,REGULAR,freethrow,1 of 2,[],1629312,,,1610612748,26,34,2025-03-23T22:42:11Z,1520000,False,,,0,,H. Highsmith Free Throw 1 of 2 (1 PTS),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
157,PT10M17.00S,2025-03-23T22:42:25.5Z,2,REGULAR,freethrow,2 of 2,[],1629312,,,1610612748,27,34,2025-03-23T22:42:25Z,1530000,False,,,0,,H. Highsmith Free Throw 2 of 2 (2 PTS),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
158,PT10M04.00S,2025-03-23T22:42:40.2Z,2,REGULAR,2pt,Jump Shot,[],1630163,10.85742444152431,27.941176470588236,1610612766,27,36,2025-03-23T22:42:46Z,1540000,False,110.0,50.0,1,left,L. Ball 12' driving floating Jump Shot (8 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,,Mid-Range,8-16 Right,12.09,Made,8.0,,,,,,,,,,,,,,,,
159,PT09M50.00S,2025-03-23T22:42:52.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,81.94809461235218,52.450980392156865,1610612748,29,36,2025-03-23T22:48:53Z,1550000,False,12.0,117.0,1,right,D. Mitchell 11' driving floating Jump Shot (4 PTS),[1630558],1610612748.0,MIA,driving floating,,,Mitchell,D. Mitchell,,,,,,In The Paint (Non-RA),8-16 Center,11.78,Made,4.0,,,,,,,,,,,,,,,,
160,PT09M28.00S,2025-03-23T22:43:15.0Z,2,REGULAR,3pt,Jump Shot,[],203552,33.722076215505915,67.8921568627451,1610612766,29,39,2025-03-23T22:49:25Z,1560000,False,-89.0,264.0,1,left,S. Curry 27' 3PT pullup (5 PTS) (L. Ball 6 AST),"[203552, 1630163]",1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Left Center,27.92,Made,5.0,L. Ball,1630163.0,6.0,,,,,,,,,,,,,
162,PT09M25.00S,2025-03-23T22:43:25.5Z,2,REGULAR,turnover,inbound,[],1629312,,,1610612748,29,39,2025-03-23T22:43:46Z,1580000,False,,,0,,H. Highsmith inbound TURNOVER (1 TO),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,
163,PT09M25.00S,2025-03-23T22:43:42.7Z,2,REGULAR,substitution,out,[],1631170,,,1610612766,29,39,2025-03-23T22:43:58Z,1590000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT09M25.00S,2025-03-23T22:43:42.7Z,2,REGULAR,substitution,in,[],203952,,,1610612766,29,39,2025-03-23T22:43:58Z,1600000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT09M21.00S,2025-03-23T22:43:59.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,6.1268068331143235,50.98039215686274,1610612766,29,41,2025-03-23T22:44:10Z,1610000,False,-5.0,5.0,1,left,L. Ball driving Layup (10 PTS) (J. Nurkić 2 AST),"[1630163, 203994]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,,Restricted Area,0-8 Center,0.71,Made,10.0,J. Nurkić,203994.0,2.0,,,,,,,,,,,,,
166,PT09M20.00S,2025-03-23T22:44:05.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,29,41,2025-03-23T22:44:05Z,1620000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT09M20.00S,2025-03-23T22:46:24.6Z,2,REGULAR,substitution,out,[],1630163,,,1610612748,29,41,2025-03-23T22:46:43Z,1630000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT09M20.00S,2025-03-23T22:46:24.6Z,2,REGULAR,substitution,out,[],203994,,,1610612748,29,41,2025-03-23T22:46:43Z,1640000,False,,,0,,SUB out: J. Nurkić,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M20.00S,2025-03-23T22:46:24.6Z,2,REGULAR,substitution,out,[],1642275,,,1610612748,29,41,2025-03-23T22:46:43Z,1650000,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M20.00S,2025-03-23T22:46:24.6Z,2,REGULAR,substitution,in,[],1628970,,,1610612748,29,41,2025-03-23T22:46:43Z,1660000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
