actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
50,PT07M58.00S,2021-11-23T00:16:51.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,9,9,2021-11-23T00:16:53Z,480000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M55.00S,2021-11-23T00:16:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,61.58015768725361,53.431372549019606,1610612739,12,9,2021-11-23T00:18:58Z,490000,17.0,309.0,1,right,L. Markkanen 30' 3PT  (3 PTS) (D. Garland 2 AST),"[1628374, 1629636]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,30.91,Made,,,,,,,,,,,,3.0,D. Garland,1629636.0,2.0,,,,
53,PT07M32.00S,2021-11-23T00:17:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,8.623521681997373,48.529411764705884,1610612751,12,9,2021-11-23T00:21:33Z,510000,7.0,29.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,2.95,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M31.00S,2021-11-23T00:17:21.6Z,1,REGULAR,rebound,offensive,[],201935,,,1610612751,12,9,2021-11-23T00:21:33Z,520000,,,0,,J. Harden REBOUND (Off:1 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,
55,PT07M30.00S,2021-11-23T00:17:25.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201935,5.590000152587891,50.0,1610612751,12,11,2021-11-23T00:21:40Z,530000,0.0,0.0,1,left,J. Harden tip Layup (2 PTS),[201935],1610612751.0,BKN,tip,,,Harden,J. Harden,,,,,0.0,Made,,,,,,,,,,,,2.0,,,,,,,
56,PT07M07.00S,2021-11-23T00:17:43.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.24901445466492,50.245098039215684,1610612739,14,11,2021-11-23T00:17:48Z,540000,1.0,11.0,1,right,J. Allen alley-oop DUNK (6 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,1.11,Made,,,,,,,,,,,,6.0,D. Garland,1629636.0,3.0,,,,
58,PT06M49.00S,2021-11-23T00:18:00.4Z,1,REGULAR,3pt,Jump Shot,[],1627761,30.962549277266753,37.00980392156863,1610612751,14,11,2021-11-23T00:18:14Z,560000,65.0,239.0,1,left,MISS D. Bembry 24' 3PT,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M47.00S,2021-11-23T00:18:02.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,14,11,2021-11-23T00:18:14Z,570000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,
60,PT06M47.00S,2021-11-23T00:18:07.8Z,1,REGULAR,violation,kicked ball,[],1627761,,,1610612739,14,11,2021-11-23T00:18:25Z,580000,,,0,,D. Bembry kicked ball VIOLATION,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,2004.0,,,,,,,,,,,,
61,PT06M47.00S,2021-11-23T00:18:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,14,11,2021-11-23T00:18:19Z,590000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,14,11,2021-11-23T00:20:51Z,600000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,out,[],201933,,,1610612739,14,11,2021-11-23T00:20:51Z,610000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,out,[],201988,,,1610612739,14,11,2021-11-23T00:20:51Z,620000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,in,[],201567,,,1610612739,14,11,2021-11-23T00:20:51Z,630000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,in,[],200746,,,1610612739,14,11,2021-11-23T00:20:51Z,640000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M47.00S,2021-11-23T00:19:36.1Z,1,REGULAR,substitution,in,[],1628975,,,1610612739,14,11,2021-11-23T00:20:51Z,650000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2021-11-23T00:21:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629731,75.77201051248358,89.95098039215686,1610612739,14,11,2021-11-23T00:21:25Z,660000,200.0,175.0,1,right,MISS D. Wade 26' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M36.00S,2021-11-23T00:21:21.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,14,11,2021-11-23T00:21:21Z,670000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,
93,PT06M36.00S,2021-11-23T00:21:37.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,14,11,2021-11-23T00:23:49Z,675000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M10.00S,2021-11-23T00:21:56.4Z,1,REGULAR,3pt,Jump Shot,[],201935,35.29894875164258,10.53921568627451,1610612751,14,11,2021-11-23T00:22:03Z,680000,197.0,279.0,1,left,MISS J. Harden 34' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,34.2,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M07.00S,2021-11-23T00:21:58.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,14,11,2021-11-23T00:21:58Z,690000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,
73,PT05M58.00S,2021-11-23T00:22:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,94.43166885676742,51.470588235294116,1610612739,14,11,2021-11-23T00:25:09Z,700000,7.0,0.0,1,right,MISS D. Garland floating Shot,[1629636],1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,0.74,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M57.00S,2021-11-23T00:22:09.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,14,11,2021-11-23T00:28:33Z,710000,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,73.0,3.0,1.0,2.0,,,,,,,,,,,,,
75,PT05M54.00S,2021-11-23T00:22:13.5Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,14,11,2021-11-23T00:28:32Z,720000,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 201935]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0,
76,PT05M54.00S,2021-11-23T00:22:13.5Z,1,REGULAR,steal,,[],201935,,,1610612751,14,11,2021-11-23T00:22:15Z,730000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT05M53.00S,2021-11-23T00:22:24.0Z,1,REGULAR,violation,kicked ball,[],1629731,,,1610612751,14,11,2021-11-23T00:27:37Z,745000,,,0,,D. Wade kicked ball VIOLATION,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M53.00S,2021-11-23T00:22:34.6Z,1,REGULAR,substitution,out,[],1627761,,,1610612751,14,11,2021-11-23T00:22:45Z,760000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M53.00S,2021-11-23T00:22:34.6Z,1,REGULAR,substitution,in,[],201949,,,1610612751,14,11,2021-11-23T00:22:45Z,770000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M43.00S,2021-11-23T00:22:46.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,9.280551905387648,47.30392156862745,1610612751,14,11,2021-11-23T00:36:23Z,780000,13.0,35.0,1,left,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2021-11-23T00:22:50.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,14,11,2021-11-23T00:36:23Z,790000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,
83,PT05M30.00S,2021-11-23T00:22:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.77463863337714,53.18627450980392,1610612739,14,11,2021-11-23T00:23:19Z,800000,16.0,6.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,1.7,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M23.00S,2021-11-23T00:23:04.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,14,11,2021-11-23T00:23:04Z,810000,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,83.0,4.0,1.0,3.0,,,,,,,,,,,,,
