actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
99,PT03M45.00S,2022-03-16T23:25:49.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,10,24,2022-03-16T23:26:53Z,875000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612755,10,24,2022-03-16T23:26:12Z,880000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,out,[],201935,,,1610612755,10,24,2022-03-16T23:26:12Z,890000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,out,[],202699,,,1610612755,10,24,2022-03-16T23:26:12Z,900000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,in,[],1629650,,,1610612755,10,24,2022-03-16T23:26:12Z,910000,,,0,,SUB in: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,10,24,2022-03-16T23:26:12Z,920000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M45.00S,2022-03-16T23:25:54.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,10,24,2022-03-16T23:26:12Z,930000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M34.00S,2022-03-16T23:26:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.113666228646515,50.245098039215684,1610612755,10,26,2022-03-16T23:26:31Z,940000,-1.0,99.0,1,left,J. Embiid 9' pullup Jump Shot (13 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,9.9,Made,,,,,13.0,,,,,,,,T. Maxey,1630178.0,1.0,,,,
96,PT03M24.00S,2022-03-16T23:26:37.9Z,1,REGULAR,2pt,Jump Shot,[],1629636,74.98357424441524,50.73529411764706,1610612739,12,26,2022-03-16T23:26:45Z,960000,4.0,183.0,1,right,D. Garland 18' driving floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,18.27,Made,,,,,2.0,,,,,,,,,,,,,,
97,PT03M24.00S,2022-03-16T23:26:41.0Z,1,REGULAR,foul,personal,['1freethrow'],1627777,,,1610612739,12,26,2022-03-16T23:27:03Z,970000,,,0,,G. Niang shooting personal FOUL (1 PF) (Garland 1 FT),"[1627777, 1629636]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,,202058.0,1.0,0.0,Garland,1629636.0,,,,,,,,,
100,PT03M24.00S,2022-03-16T23:26:54.3Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,12,26,2022-03-16T23:26:59Z,990000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M24.00S,2022-03-16T23:26:54.3Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,12,26,2022-03-16T23:26:59Z,1000000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M24.00S,2022-03-16T23:27:16.5Z,1,REGULAR,freethrow,1 of 1,[],1629636,,,1610612739,13,26,2022-03-16T23:27:16Z,1010000,,,0,,D. Garland Free Throw 1 of 1 (3 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
103,PT03M13.00S,2022-03-16T23:27:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,6.258212877792378,49.26470588235294,1610612755,13,26,2022-03-16T23:27:33Z,1020000,4.0,6.0,1,left,MISS M. Thybulle cutting Layup - blocked,"[1629680, 1627747]",1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,0.73,Missed,,,,,,,,,,,LeVert,1627747.0,,,,,,,
104,PT03M13.00S,2022-03-16T23:27:26.8Z,1,REGULAR,block,,[],1627747,,,1610612755,13,26,2022-03-16T23:27:31Z,1030000,,,0,,C. LeVert BLOCK (1 BLK),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M08.00S,2022-03-16T23:27:31.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,13,26,2022-03-16T23:27:33Z,1040000,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,103.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
106,PT03M06.00S,2022-03-16T23:27:34.0Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612739,13,26,2022-03-16T23:28:33Z,1050000,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 201980]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,1.0,Green,201980.0,
107,PT03M06.00S,2022-03-16T23:27:34.0Z,1,REGULAR,steal,,[],201980,,,1610612755,13,26,2022-03-16T23:28:33Z,1060000,,,0,,D. Green STEAL (1 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M05.00S,2022-03-16T23:27:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629680,7.703679369250986,51.470588235294116,1610612755,13,26,2022-03-16T23:28:33Z,1070000,-7.0,20.0,1,left,MISS M. Thybulle reverse Layup,[1629680],1610612755.0,PHI,reverse,,,Thybulle,M. Thybulle,,,,,2.12,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M05.00S,2022-03-16T23:27:41.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,13,26,2022-03-16T23:27:41Z,1080000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,
110,PT03M05.00S,2022-03-16T23:27:42.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,13,26,2022-03-16T23:27:42Z,1090000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M05.00S,2022-03-16T23:27:53.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,13,26,2022-03-16T23:27:53Z,1100000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M05.00S,2022-03-16T23:30:13.1Z,1,REGULAR,substitution,out,[],1629636,,,1610612755,13,26,2022-03-16T23:30:35Z,1110000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M05.00S,2022-03-16T23:30:13.1Z,1,REGULAR,substitution,out,[],1629680,,,1610612755,13,26,2022-03-16T23:30:35Z,1120000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M05.00S,2022-03-16T23:30:13.1Z,1,REGULAR,substitution,in,[],1629164,,,1610612755,13,26,2022-03-16T23:30:35Z,1130000,,,0,,SUB in: B. Goodwin,[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M05.00S,2022-03-16T23:30:13.1Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,13,26,2022-03-16T23:30:35Z,1140000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M04.00S,2022-03-16T23:30:40.9Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,13,26,2022-03-16T23:33:24Z,1150000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1629685]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,1.0,Windler,1629685.0,
128,PT03M04.00S,2022-03-16T23:30:40.9Z,1,REGULAR,steal,,[],1629685,,,1610612739,13,26,2022-03-16T23:32:23Z,1155000,,,0,,D. Windler STEAL (1 STL),[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M00.00S,2022-03-16T23:31:08.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629650,93.51182654402102,50.0,1610612739,15,26,2022-03-16T23:36:18Z,1160000,0.0,8.0,1,right,M. Brown running DUNK (2 PTS) (B. Goodwin 1 AST),"[1629650, 1629164]",1610612739.0,CLE,running,,,Brown,M. Brown,,,,,0.85,Made,,,,,2.0,,,,,,,,B. Goodwin,1629164.0,1.0,,,,
119,PT02M44.00S,2022-03-16T23:31:13.4Z,1,REGULAR,3pt,Jump Shot,[],201980,29.6484888304862,23.52941176470588,1610612755,15,26,2022-03-16T23:31:26Z,1170000,132.0,226.0,1,left,MISS D. Green 26' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
120,PT02M44.00S,2022-03-16T23:31:13.4Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,15,26,2022-03-16T23:31:26Z,1180000,,,0,,K. Love REBOUND (Off:1 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,119.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
121,PT02M27.00S,2022-03-16T23:31:30.7Z,1,REGULAR,2pt,Jump Shot,[],1627747,74.45795006570303,71.81372549019608,1610612739,15,26,2022-03-16T23:36:51Z,1190000,109.0,188.0,1,right,MISS C. LeVert 21' Jump Shot,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,21.7,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M24.00S,2022-03-16T23:31:33.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,26,2022-03-16T23:31:36Z,1200000,,,0,,J. Embiid REBOUND (Off:0 Def:7),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,121.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
123,PT02M15.00S,2022-03-16T23:31:43.2Z,1,REGULAR,3pt,Jump Shot,[],201980,3.4986859395532193,97.30392156862744,1610612755,15,26,2022-03-16T23:31:48Z,1210000,-237.0,-20.0,1,left,MISS D. Green 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,,
124,PT02M12.00S,2022-03-16T23:31:46.2Z,1,REGULAR,rebound,defensive,[],1629164,,,1610612739,15,26,2022-03-16T23:31:48Z,1220000,,,0,,B. Goodwin REBOUND (Off:0 Def:1),[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
125,PT02M11.00S,2022-03-16T23:31:50.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,15,26,2022-03-16T23:31:50Z,1230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M51.00S,2022-03-16T23:32:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,88.38699080157687,62.745098039215684,1610612739,15,26,2022-03-16T23:32:34Z,1250000,64.0,57.0,1,right,MISS C. LeVert 8' driving floating Shot,[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,8.53,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M47.00S,2022-03-16T23:32:28.0Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,15,26,2022-03-16T23:32:34Z,1260000,,,0,,K. Love REBOUND (Off:2 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,129.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
131,PT01M47.00S,2022-03-16T23:32:29.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201567,81.15965834428384,31.61764705882353,1610612739,15,26,2022-03-16T23:33:05Z,1270000,-92.0,125.0,1,right,MISS K. Love 15' turnaround fadeaway Shot,[201567],1610612739.0,CLE,turnaround fadeaway,,,Love,K. Love,,,,,15.48,Missed,,,,,,,,,,,,,,,,,,,
132,PT01M47.00S,2022-03-16T23:32:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,15,26,2022-03-16T23:33:05Z,1280000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,
133,PT01M47.00S,2022-03-16T23:32:35.4Z,1,REGULAR,foul,personal,[],1629003,,,1610612739,15,26,2022-03-16T23:32:42Z,1290000,,,0,,S. Milton loose ball personal FOUL (1 PF),"[1629003, 1629650]",1610612755.0,PHI,loose ball,,,Milton,S. Milton,,,,,,,,,,,,203593.0,1.0,0.0,Brown,1629650.0,,,,,,,,,
135,PT01M31.00S,2022-03-16T23:33:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201567,92.85479632063075,53.92156862745098,1610612739,17,26,2022-03-16T23:33:19Z,1310000,20.0,15.0,1,right,K. Love Layup (2 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,2.45,Made,,,,,2.0,,,,,,,,,,,,,,
136,PT01M18.00S,2022-03-16T23:33:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,5.732588699080158,48.03921568627451,1610612755,17,28,2022-03-16T23:36:23Z,1320000,10.0,1.0,1,left,T. Maxey driving Layup (7 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,0.99,Made,,,,,7.0,,,,,,,,,,,,,,
137,PT01M00.00S,2022-03-16T23:33:38.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201567,86.28449408672799,38.23529411764706,1610612739,19,28,2022-03-16T23:33:44Z,1330000,-59.0,76.0,1,right,K. Love 9' turnaround Hook (4 PTS),[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,9.64,Made,,,,,4.0,,,,,,,,,,,,,,
138,PT00M48.20S,2022-03-16T23:33:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.601182654402102,52.20588235294118,1610612755,19,28,2022-03-16T23:33:57Z,1340000,-11.0,0.0,1,left,MISS J. Embiid Layup - blocked,"[203954, 1629650]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,1.1,Missed,,,,,,,,,,,Brown,1629650.0,,,,,,,
139,PT00M48.20S,2022-03-16T23:33:50.7Z,1,REGULAR,block,,[],1629650,,,1610612755,19,28,2022-03-16T23:33:53Z,1350000,,,0,,M. Brown BLOCK (1 BLK),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M45.10S,2022-03-16T23:33:53.8Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,19,28,2022-03-16T23:33:57Z,1360000,,,0,,J. Embiid REBOUND (Off:1 Def:7),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,138.0,8.0,7.0,1.0,,,,,,,,,,,,,,,
141,PT00M44.80S,2022-03-16T23:33:56.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,33.065045992115635,31.372549019607842,1610612755,19,28,2022-03-16T23:34:04Z,1370000,93.0,258.0,1,left,MISS G. Niang 27' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M44.80S,2022-03-16T23:33:56.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,19,28,2022-03-16T23:34:04Z,1380000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,,
153,PT00M44.80S,2022-03-16T23:33:59.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,19,28,2022-03-16T23:37:02Z,1385000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M44.80S,2022-03-16T23:34:02.2Z,1,REGULAR,substitution,out,[],203954,,,1610612739,19,28,2022-03-16T23:34:08Z,1390000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M44.80S,2022-03-16T23:34:02.2Z,1,REGULAR,substitution,in,[],201599,,,1610612739,19,28,2022-03-16T23:34:08Z,1400000,,,0,,SUB in: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M32.40S,2022-03-16T23:34:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,92.59198423127464,50.245098039215684,1610612739,21,28,2022-03-16T23:34:34Z,1410000,1.0,17.0,1,right,M. Brown cutting Layup (4 PTS) (C. LeVert 1 AST),"[1629650, 1627747]",1610612739.0,CLE,cutting,,,Brown,M. Brown,,,,,1.71,Made,,,,,4.0,,,,,,,,C. LeVert,1627747.0,1.0,,,,
147,PT00M22.10S,2022-03-16T23:34:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.726018396846255,59.068627450980394,1610612755,21,30,2022-03-16T23:34:53Z,1430000,-45.0,48.0,1,left,T. Maxey 6' driving floating Jump Shot (9 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,6.62,Made,,,,,9.0,,,,,,,,,,,,,,
148,PT00M03.20S,2022-03-16T23:35:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,80.50262812089356,45.34313725490196,1610612739,23,30,2022-03-16T23:35:14Z,1440000,-23.0,131.0,1,right,C. LeVert 13' pullup Jump Shot (2 PTS),[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,13.29,Made,,,,,2.0,,,,,,,,,,,,,,
149,PT00M00.00S,2022-03-16T23:35:14.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,41.869250985545335,17.401960784313726,1610612755,23,30,2022-03-16T23:35:20Z,1450000,163.0,341.0,1,left,MISS T. Maxey 37' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,37.8,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2022-03-16T23:35:14.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,23,30,2022-03-16T23:35:20Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2022-03-16T23:35:18.4Z,1,REGULAR,period,end,[],0,,,1610612755,23,30,2022-03-16T23:35:18Z,1470000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,out,['startperiod'],1629003,,,1610612755,23,30,2022-03-16T23:37:39Z,1480000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,out,['startperiod'],1627777,,,1610612755,23,30,2022-03-16T23:37:39Z,1490000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612755,23,30,2022-03-16T23:37:39Z,1500000,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,in,['startperiod'],202699,,,1610612755,23,30,2022-03-16T23:37:39Z,1510000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,out,['startperiod'],1629685,,,1610612755,23,30,2022-03-16T23:42:53Z,1515000,,,0,,SUB out: D. Windler,[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2022-03-16T23:37:07.3Z,2,REGULAR,substitution,in,['startperiod'],1630171,,,1610612755,23,30,2022-03-16T23:42:53Z,1517500,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-03-16T23:37:56.3Z,2,REGULAR,period,start,[],0,,,1610612755,23,30,2022-03-16T23:37:56Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M47.00S,2022-03-16T23:38:08.8Z,2,REGULAR,2pt,Jump Shot,[],202699,20.844283837056505,44.85294117647059,1610612755,23,32,2022-03-16T23:38:15Z,1530000,26.0,143.0,1,left,T. Harris 14' step back Jump Shot (6 PTS),[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,14.57,Made,,,,,6.0,,,,,,,,,,,,,,
160,PT11M31.00S,2022-03-16T23:38:27.1Z,2,REGULAR,turnover,out-of-bounds,[],1627747,,,1610612739,23,32,2022-03-16T23:39:21Z,1540000,,,0,,C. LeVert bad pass out-of-bounds TURNOVER (1 TO),[1627747],1610612739.0,CLE,bad pass,,,LeVert,C. LeVert,,,,,,,,,,,,200834.0,,,,,,,,,,1.0,,,
161,PT11M15.00S,2022-03-16T23:38:45.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201980,6.521024967148489,3.431372549019608,1610612755,23,35,2022-03-16T23:38:56Z,1550000,233.0,9.0,1,left,D. Green 3PT  (3 PTS) (T. Harris 1 AST),"[201980, 202699]",1610612755.0,PHI,,,,Green,D. Green,,,,,23.3,Made,,,,,3.0,,,,,,,,T. Harris,202699.0,1.0,,,,
163,PT11M02.00S,2022-03-16T23:38:57.8Z,2,REGULAR,3pt,Jump Shot,[],201567,95.0886990801577,2.696078431372549,1610612739,23,35,2022-03-16T23:39:03Z,1570000,-237.0,-6.0,1,right,MISS K. Love 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,,
164,PT10M58.00S,2022-03-16T23:39:01.8Z,2,REGULAR,rebound,defensive,[],201599,,,1610612755,23,35,2022-03-16T23:39:03Z,1580000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
165,PT10M50.00S,2022-03-16T23:39:09.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.068988173455978,43.13725490196079,1610612755,23,37,2022-03-16T23:39:17Z,1590000,34.0,42.0,1,left,T. Maxey driving floating Jump Shot (11 PTS) (J. Harden 3 AST),"[1630178, 201935]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,5.43,Made,,,,,11.0,,,,,,,,J. Harden,201935.0,3.0,,,,
167,PT10M38.00S,2022-03-16T23:39:22.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,93.38042049934296,50.49019607843137,1610612739,25,37,2022-03-16T23:39:28Z,1610000,2.0,10.0,1,right,M. Brown Layup (6 PTS) (B. Goodwin 2 AST),"[1629650, 1629164]",1610612739.0,CLE,,,,Brown,M. Brown,,,,,1.0,Made,,,,,6.0,,,,,,,,B. Goodwin,1629164.0,2.0,,,,
169,PT10M27.00S,2022-03-16T23:39:36.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.732588699080158,47.05882352941176,1610612755,25,39,2022-03-16T23:39:43Z,1630000,15.0,1.0,1,left,J. Harden driving Layup (4 PTS) (D. Jordan 1 AST),"[201935, 201599]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,1.48,Made,,,,,4.0,,,,,,,,D. Jordan,201599.0,1.0,,,,
170,PT10M27.00S,2022-03-16T23:39:39.7Z,2,REGULAR,foul,personal,['1freethrow'],1629650,,,1610612755,25,39,2022-03-16T23:40:04Z,1640000,,,0,,M. Brown shooting personal FOUL (1 PF) (Harden 1 FT),"[1629650, 201935]",1610612739.0,CLE,shooting,,,Brown,M. Brown,,,,,,,,,,,,200834.0,1.0,0.0,Harden,201935.0,,,,,,,,,
172,PT10M27.00S,2022-03-16T23:39:47.8Z,2,REGULAR,substitution,out,[],1629650,,,1610612755,25,39,2022-03-16T23:39:55Z,1660000,,,0,,SUB out: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M27.00S,2022-03-16T23:39:47.8Z,2,REGULAR,substitution,in,[],1630596,,,1610612755,25,39,2022-03-16T23:39:55Z,1670000,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M27.00S,2022-03-16T23:40:12.0Z,2,REGULAR,freethrow,1 of 1,[],201935,,,1610612755,25,40,2022-03-16T23:40:12Z,1680000,,,0,,J. Harden Free Throw 1 of 1 (5 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
176,PT10M16.00S,2022-03-16T23:40:24.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,93.51182654402102,52.20588235294118,1610612739,27,40,2022-03-16T23:40:34Z,1690000,11.0,8.0,1,right,I. Okoro driving floating bank Jump Shot (4 PTS) (B. Goodwin 3 AST),"[1630171, 1629164]",1610612739.0,CLE,driving floating bank,,,Okoro,I. Okoro,,,,,1.39,Made,,,,,4.0,,,,,,,,B. Goodwin,1629164.0,3.0,,,,
