actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
52,PT08M21.00S,2021-11-13T00:49:07.0Z,1,REGULAR,freethrow,1 of 1,[],1630171,,,1610612739,8,4,2021-11-13T00:49:10Z,520000,,,0,,MISS I. Okoro Free Throw 1 of 1,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Missed,,,,,,,,,,,,,,
53,PT08M19.00S,2021-11-13T00:49:09.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,8,4,2021-11-13T00:49:10Z,530000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,
54,PT08M00.00S,2021-11-13T00:49:26.7Z,1,REGULAR,2pt,Jump Shot,[],203924,22.683968462549277,42.8921568627451,1610612765,8,4,2021-11-13T00:49:33Z,540000,36.0,161.0,1,left,MISS J. Grant 16' Jump Shot,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,16.46,Missed,,,,,,,,,,,,,,
55,PT07M57.00S,2021-11-13T00:49:30.1Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,8,4,2021-11-13T00:49:30Z,550000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,
56,PT07M52.00S,2021-11-13T00:49:34.7Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,8,4,2021-11-13T00:49:39Z,560000,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1630165]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,1.0,Hayes,1630165.0,,,,,,
57,PT07M52.00S,2021-11-13T00:49:34.7Z,1,REGULAR,steal,,[],1630165,,,1610612765,8,4,2021-11-13T00:51:07Z,570000,,,0,,K. Hayes STEAL (3 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M49.00S,2021-11-13T00:49:43.2Z,1,REGULAR,foul,offensive,[],203924,,,1610612765,8,4,2021-11-13T00:52:52Z,580000,,,0,,J. Grant charge offensive FOUL (2 PF),"[203924, 1630171]",1610612765.0,DET,charge,,,Grant,J. Grant,,,,,201638.0,2.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
60,PT07M49.00S,2021-11-13T00:49:43.2Z,1,REGULAR,turnover,offensive foul,[],203924,,,1610612765,8,4,2021-11-13T00:49:43Z,600000,,,0,,J. Grant offensive foul TURNOVER (1 TO),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,201638.0,,,,,,,,,,,,1.0,,,,,,,,
61,PT07M49.00S,2021-11-13T00:50:05.9Z,1,REGULAR,substitution,out,[],203924,,,1610612739,8,4,2021-11-13T00:50:10Z,610000,,,0,,SUB out: J. Grant,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M49.00S,2021-11-13T00:50:05.9Z,1,REGULAR,substitution,in,[],1628367,,,1610612739,8,4,2021-11-13T00:50:10Z,620000,,,0,,SUB in: J. Jackson,[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M36.00S,2021-11-13T00:50:26.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628386,92.85479632063075,50.0,1610612739,10,4,2021-11-13T00:50:32Z,630000,0.0,15.0,1,right,J. Allen driving DUNK (2 PTS) (I. Okoro 1 AST),"[1628386, 1630171]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,,,,,,1.47,Made,2.0,,,,,,,,I. Okoro,1630171.0,1.0,,,
65,PT07M18.00S,2021-11-13T00:50:43.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630568,5.732588699080158,49.26470588235294,1610612765,10,6,2021-11-13T00:50:50Z,650000,4.0,1.0,1,left,L. Garza cutting DUNK (2 PTS) (C. Cunningham 1 AST),"[1630568, 1630595]",1610612765.0,DET,cutting,,,Garza,L. Garza,,,,,,,,,,0.4,Made,2.0,,,,,,,,C. Cunningham,1630595.0,1.0,,,
67,PT07M07.00S,2021-11-13T00:50:54.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.64323258869908,50.49019607843137,1610612739,12,6,2021-11-13T00:51:01Z,670000,2.0,7.0,1,right,J. Allen alley-oop DUNK (4 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,,,,,,0.77,Made,4.0,,,,,,,,D. Garland,1629636.0,1.0,,,
69,PT06M48.00S,2021-11-13T00:51:13.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630180,10.463206307490145,46.07843137254902,1610612765,12,6,2021-11-13T00:51:18Z,690000,20.0,46.0,1,left,MISS S. Bey turnaround Hook,[1630180],1610612765.0,DET,turnaround,,,Bey,S. Bey,,,,,,,,,,4.99,Missed,,,,,,,,,,,,,,
70,PT06M47.00S,2021-11-13T00:51:15.8Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612765,12,6,2021-11-13T00:51:15Z,700000,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,
71,PT06M44.00S,2021-11-13T00:51:18.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,36.61300919842313,41.17647058823529,1610612765,12,9,2021-11-13T00:51:28Z,710000,44.0,292.0,1,left,C. Cunningham 29' 3PT  (3 PTS) (S. Bey 1 AST),"[1630595, 1630180]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,29.5,Made,3.0,,,,,,,,S. Bey,1630180.0,1.0,,,
73,PT06M19.00S,2021-11-13T00:51:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,88.38699080157687,39.950980392156865,1610612739,12,9,2021-11-13T00:51:46Z,730000,-50.0,57.0,1,right,MISS J. Allen 7' Layup,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,7.57,Missed,,,,,,,,,,,,,,
74,PT06M17.00S,2021-11-13T00:51:44.8Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,12,9,2021-11-13T00:51:46Z,740000,,,0,,S. Bey REBOUND (Off:1 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,73.0,2.0,1.0,1.0,,,,,,,,,
75,PT06M14.00S,2021-11-13T00:51:48.4Z,1,REGULAR,3pt,Jump Shot,[],1630165,19.793035479632064,92.40196078431373,1610612765,12,9,2021-11-13T01:04:10Z,750000,-212.0,134.0,1,left,MISS K. Hayes 25' running 3PT,[1630165],1610612765.0,DET,running,,,Hayes,K. Hayes,,,,,,,,,,25.06,Missed,,,,,,,,,,,,,,
76,PT06M12.00S,2021-11-13T00:51:50.2Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,12,9,2021-11-13T00:51:50Z,760000,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,
77,PT06M07.00S,2021-11-13T00:51:55.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630568,5.206964520367937,83.82352941176471,1610612765,12,9,2021-11-13T00:52:07Z,770000,-169.0,-4.0,1,left,MISS L. Garza 16' Jump Shot,[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,16.91,Missed,,,,,,,,,,,,,,
78,PT06M03.00S,2021-11-13T00:51:59.9Z,1,REGULAR,rebound,offensive,[],1628367,,,1610612765,12,9,2021-11-13T00:55:21Z,780000,,,0,,J. Jackson REBOUND (Off:1 Def:0),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,77.0,1.0,0.0,1.0,,,,,,,,,
