actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
557,PT10M02.00S,2026-03-19T02:23:58.9Z,4,REGULAR,rebound,defensive,[],1628963,,,1610612742,86,105,2026-03-19T02:24:01Z,5510000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:4),[1628963],1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,556.0,4.0,4.0,0.0,,,,,,,,,,,,,,
558,PT09M57.00S,2026-03-19T02:24:04.1Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],202691,19.398817345597898,97.54901960784314,1610612742,89,105,2026-03-19T02:28:51Z,5520000,False,-238.0,130.0,1,left,K. Thompson 27' 3PT running (14 PTS) (C. Flagg 4 AST),"[202691, 1642843]",1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,27.08,Made,,,,,14.0,,,,C. Flagg,1642843.0,4.0,,,,,,,
560,PT09M49.00S,2026-03-19T02:24:12.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203468,92.9862023653088,56.61764705882353,1610612737,89,105,2026-03-19T02:24:20Z,5540000,False,33.0,13.0,1,right,MISS C. McCollum driving Layup,[203468],1610612737.0,ATL,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.57,Missed,,,,,,,,,,,,,,,,,,
561,PT09M48.00S,2026-03-19T02:24:13.5Z,4,REGULAR,rebound,defensive,[],1628963,,,1610612742,89,105,2026-03-19T02:24:20Z,5550000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:5),[1628963],1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,560.0,5.0,5.0,0.0,,,,,,,,,,,,,,
562,PT09M39.00S,2026-03-19T02:24:22.4Z,4,REGULAR,3pt,Jump Shot,[],202691,6.652431011826544,96.81372549019608,1610612742,89,105,2026-03-19T02:30:08Z,5560000,False,-234.0,10.0,1,left,MISS K. Thompson 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,
563,PT09M36.00S,2026-03-19T02:24:25.4Z,4,REGULAR,rebound,defensive,[],1630557,,,1610612737,89,105,2026-03-19T02:24:47Z,5570000,False,,,0,,C. Kispert REBOUND (Off:1 Def:2),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,,,562.0,3.0,2.0,1.0,,,,,,,,,,,,,,
564,PT09M31.00S,2026-03-19T02:24:32.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203468,90.48948751642575,56.372549019607845,1610612737,89,107,2026-03-19T02:30:53Z,5580000,False,32.0,37.0,1,right,C. McCollum driving Layup (19 PTS),[203468],1610612737.0,ATL,driving,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,4.88,Made,,,,,19.0,,,,,,,,,,,,,
565,PT09M31.00S,2026-03-19T02:24:34.5Z,4,REGULAR,foul,personal,['1freethrow'],203114,,,1610612737,89,107,2026-03-19T02:24:54Z,5590000,False,,,0,,K. Middleton shooting personal FOUL (2 PF) (McCollum 1 FT),"[203114, 203468]",1610612742.0,DAL,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202058.0,2.0,0.0,McCollum,203468.0,,
570,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,out,[],202691,,,1610612737,89,107,2026-03-19T02:24:53Z,5610000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
571,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,out,[],1628963,,,1610612737,89,107,2026-03-19T02:24:53Z,5620000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,out,[],1630228,,,1610612737,89,107,2026-03-19T02:24:53Z,5630000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612737.0,ATL,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
573,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,in,[],1629655,,,1610612737,89,107,2026-03-19T02:24:53Z,5640000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
574,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,in,[],1642358,,,1610612737,89,107,2026-03-19T02:24:53Z,5650000,False,,,0,,SUB in: A. Johnson,[1642358],1610612742.0,DAL,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
575,PT09M31.00S,2026-03-19T02:24:45.2Z,4,REGULAR,substitution,in,[],1630552,,,1610612737,89,107,2026-03-19T02:24:53Z,5660000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
576,PT09M31.00S,2026-03-19T02:25:12.6Z,4,REGULAR,freethrow,1 of 1,[],203468,,,1610612737,89,108,2026-03-19T02:25:12Z,5670000,False,,,0,,C. McCollum Free Throw 1 of 1 (20 PTS),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,20.0,,,,,,,,,,,,,
577,PT09M23.00S,2026-03-19T02:25:23.5Z,4,REGULAR,foul,personal,[],1642258,,,1610612742,89,108,2026-03-19T02:26:15Z,5680000,False,,,0,,Z. Risacher personal FOUL (2 PF),"[1642258, 203114]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1629177.0,2.0,0.0,Middleton,203114.0,,
579,PT09M23.00S,2026-03-19T02:25:31.9Z,4,REGULAR,substitution,out,[],203114,,,1610612742,89,108,2026-03-19T02:25:38Z,5700000,False,,,0,,SUB out: K. Middleton,[203114],1610612742.0,DAL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
580,PT09M23.00S,2026-03-19T02:25:31.9Z,4,REGULAR,substitution,in,[],1630230,,,1610612742,89,108,2026-03-19T02:25:38Z,5710000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT09M12.00S,2026-03-19T02:25:56.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,8.09789750328515,54.65686274509803,1610612742,91,108,2026-03-19T02:32:16Z,5720000,False,-23.0,24.0,1,left,D. Gafford driving reverse Layup (18 PTS) (A. Johnson 1 AST),"[1629655, 1642358]",1610612742.0,DAL,driving reverse,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,18.0,,,,A. Johnson,1642358.0,1.0,,,,,,,
583,PT08M59.00S,2026-03-19T02:26:10.5Z,4,REGULAR,foul,personal,['2freethrow'],1631108,,,1610612737,91,108,2026-03-19T02:26:19Z,5740000,False,,,0,,M. Christie shooting personal FOUL (4 PF) (McCollum 2 FT),"[1631108, 203468]",1610612742.0,DAL,shooting,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,201245.0,4.0,0.0,McCollum,203468.0,,
