actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
89,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],1642271,,,1610612742,15,16,2026-01-16T01:57:00Z,890000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],1642268,,,1610612742,15,16,2026-01-16T01:57:00Z,900000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],1642846,,,1610612742,15,16,2026-01-16T01:57:00Z,910000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],202691,,,1610612742,15,16,2026-01-16T01:57:00Z,920000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],1642948,,,1610612742,15,16,2026-01-16T01:57:00Z,930000,False,,,0,,SUB in: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],1630619,,,1610612742,15,16,2026-01-16T01:57:00Z,940000,False,,,0,,SUB in: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],1642383,,,1610612742,15,16,2026-01-16T01:57:00Z,950000,False,,,0,,SUB in: W. Clayton Jr.,[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],203937,,,1610612742,15,16,2026-01-16T01:57:00Z,960000,False,,,0,,SUB in: K. Anderson,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,in,[],1641729,,,1610612742,15,16,2026-01-16T01:57:00Z,970000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M31.00S,2026-01-16T01:57:15.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630619,5.601182654402102,50.245098039215684,1610612742,17,16,2026-01-16T01:57:18Z,980000,False,-1.0,0.0,1,left,M. Cisse DUNK (2 PTS) (K. Thompson 1 AST),"[1630619, 202691]",1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,0.12,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,
100,PT05M15.00S,2026-01-16T01:57:31.5Z,1,REGULAR,3pt,Jump Shot,[],1641729,83.78777923784494,4.166666666666666,1610612762,17,16,2026-01-16T01:57:34Z,1000000,False,-229.0,100.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,,,,25.0,Missed,,,,,,,,,,,,,,,
101,PT05M12.00S,2026-01-16T01:57:34.5Z,1,REGULAR,rebound,defensive,[],1642948,,,1610612742,17,16,2026-01-16T01:57:34Z,1010000,False,,,0,,R. Nembhard REBOUND (Off:0 Def:1),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,100.0,,,1.0,1.0,0.0,,,,,
102,PT05M03.00S,2026-01-16T01:57:47.4Z,1,REGULAR,foul,personal,[],1642262,,,1610612742,17,16,2026-01-16T01:57:53Z,1020000,False,,,0,,C. Williams personal FOUL (2 PF),"[1642262, 1630230]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Marshall,1630230.0
104,PT04M54.00S,2026-01-16T01:58:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642948,5.863994743758213,53.431372549019606,1610612742,19,16,2026-01-16T01:58:18Z,1040000,False,-17.0,3.0,1,left,R. Nembhard driving Layup (2 PTS),[1642948],1610612742.0,DAL,driving,,,Nembhard,R. Nembhard,,,,,Restricted Area,0-8 Center,,,,1.74,Made,2.0,,,,,,,,,,,,,,
105,PT04M42.00S,2026-01-16T01:58:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642383,93.24901445466492,46.81372549019608,1610612762,19,16,2026-01-16T01:58:31Z,1050000,False,-16.0,11.0,1,right,MISS W. Clayton Jr. driving Layup,[1642383],1610612762.0,UTA,driving,,,Clayton Jr.,W. Clayton Jr.,,,,,Restricted Area,0-8 Center,,,,1.93,Missed,,,,,,,,,,,,,,,
106,PT04M40.00S,2026-01-16T01:58:28.7Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,19,16,2026-01-16T01:58:31Z,1060000,False,,,0,,N. Marshall REBOUND (Off:0 Def:3),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,105.0,,,3.0,3.0,0.0,,,,,
107,PT04M35.00S,2026-01-16T01:58:33.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630230,14.799605781865965,46.07843137254902,1610612742,21,16,2026-01-16T02:01:34Z,1070000,False,20.0,87.0,1,left,N. Marshall 8' running pullup Jump Shot (6 PTS),[1630230],1610612742.0,DAL,running pullup,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,8.88,Made,6.0,,,,,,,,,,,,,,
108,PT04M18.00S,2026-01-16T01:58:50.8Z,1,REGULAR,3pt,Jump Shot,[],1642262,86.94152431011827,94.11764705882352,1610612762,21,19,2026-01-16T01:58:54Z,1080000,False,221.0,70.0,1,right,C. Williams 3PT  (9 PTS) (B. Sensabaugh 1 AST),"[1642262, 1641729]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Right Corner 3,24+ Right,,,,23.15,Made,9.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,,
110,PT04M08.00S,2026-01-16T01:59:00.6Z,1,REGULAR,3pt,Jump Shot,[],1642948,31.35676741130092,26.96078431372549,1610612742,21,19,2026-01-16T01:59:05Z,1100000,False,115.0,242.0,1,left,MISS R. Nembhard 26' pullup 3PT,[1642948],1610612742.0,DAL,pullup,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,26.83,Missed,,,,,,,,,,,,,,,
111,PT04M05.00S,2026-01-16T01:59:04.0Z,1,REGULAR,rebound,offensive,[],1630619,,,1610612742,21,19,2026-01-16T01:59:04Z,1110000,False,,,0,,M. Cisse REBOUND (Off:1 Def:0),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,110.0,,,1.0,0.0,1.0,,,,,
112,PT04M03.00S,2026-01-16T01:59:06.0Z,1,REGULAR,turnover,bad pass,[],1630619,,,1610612742,21,19,2026-01-16T01:59:10Z,1120000,False,,,0,,M. Cisse bad pass TURNOVER (1 TO),"[1630619, 1642383]",1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,In The Paint (Non-RA),0-8 Center,1.0,Clayton Jr.,1642383.0,,,,,,,,,,,,,,,,,
113,PT04M03.00S,2026-01-16T01:59:06.0Z,1,REGULAR,steal,,[],1642383,,,1610612762,21,19,2026-01-16T01:59:07Z,1130000,False,,,0,,W. Clayton Jr. STEAL (1 STL),[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
114,PT04M01.00S,2026-01-16T01:59:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1642948,,,1610612762,21,19,2026-01-16T01:59:15Z,1140000,False,,,0,,R. Nembhard shooting personal FOUL (1 PF) (George 2 FT),"[1642948, 1641718]",1610612742.0,DAL,shooting,,,Nembhard,R. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,George,1641718.0
116,PT04M01.00S,2026-01-16T01:59:46.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641718,,,1610612762,21,20,2026-01-16T01:59:46Z,1160000,False,,,0,,K. George Free Throw 1 of 2 (5 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
117,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,out,[],1630230,,,1610612762,21,20,2026-01-16T02:00:05Z,1170000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,out,[],1628997,,,1610612762,21,20,2026-01-16T02:00:05Z,1180000,False,,,0,,SUB out: C. Martin,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,out,[],1642262,,,1610612762,21,20,2026-01-16T02:00:05Z,1190000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,in,[],1630526,,,1610612762,21,20,2026-01-16T02:00:05Z,1200000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,in,[],1642939,,,1610612762,21,20,2026-01-16T02:00:05Z,1210000,False,,,0,,SUB in: M. Kelly,[1642939],1610612742.0,DAL,,,,Kelly,M. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT04M01.00S,2026-01-16T01:59:47.7Z,1,REGULAR,substitution,in,[],1641707,,,1610612762,21,20,2026-01-16T02:00:05Z,1220000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT04M01.00S,2026-01-16T02:00:13.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641718,,,1610612762,21,21,2026-01-16T02:00:13Z,1230000,False,,,0,,K. George Free Throw 2 of 2 (6 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
124,PT03M52.00S,2026-01-16T02:00:23.9Z,1,REGULAR,3pt,Jump Shot,[],202691,32.670827858081466,33.33333333333333,1610612742,24,21,2026-01-16T02:00:28Z,1240000,False,83.0,255.0,1,left,K. Thompson 26' 3PT  (3 PTS) (R. Nembhard 1 AST),"[202691, 1642948]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,26.79,Made,3.0,R. Nembhard,1642948.0,1.0,,,,,,,,,,,
126,PT03M50.00S,2026-01-16T02:00:30.1Z,1,REGULAR,timeout,full,['team'],0,,,1610612762,24,21,2026-01-16T02:00:30Z,1260000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M33.00S,2026-01-16T02:02:34.6Z,1,REGULAR,3pt,Jump Shot,[],1641707,93.24901445466492,95.83333333333334,1610612762,24,21,2026-01-16T02:02:39Z,1280000,False,229.0,11.0,1,right,MISS T. Hendricks 3PT,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Right Corner 3,24+ Right,,,,22.95,Missed,,,,,,,,,,,,,,,
129,PT03M31.00S,2026-01-16T02:02:36.6Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,24,21,2026-01-16T02:04:05Z,1290000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Right Corner 3,24+ Right,,,,,,,,,,128.0,,,1.0,0.0,1.0,,,,,
130,PT03M31.00S,2026-01-16T02:02:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1642939,,,1610612762,24,21,2026-01-16T02:02:48Z,1300000,False,,,0,,M. Kelly shooting personal FOUL (1 PF) (Sensabaugh 2 FT),"[1642939, 1641729]",1610612742.0,DAL,shooting,,,Kelly,M. Kelly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Sensabaugh,1641729.0
132,PT03M31.00S,2026-01-16T02:03:03.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641729,,,1610612762,24,22,2026-01-16T02:03:03Z,1320000,False,,,0,,B. Sensabaugh Free Throw 1 of 2 (1 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
133,PT03M31.00S,2026-01-16T02:03:21.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641729,,,1610612762,24,23,2026-01-16T02:03:21Z,1330000,False,,,0,,B. Sensabaugh Free Throw 2 of 2 (2 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
134,PT03M22.00S,2026-01-16T02:03:31.8Z,1,REGULAR,3pt,Jump Shot,[],202691,4.418528252299605,96.32352941176471,1610612742,24,23,2026-01-16T02:03:35Z,1340000,False,-232.0,-11.0,1,left,MISS K. Thompson 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,,23.19,Missed,,,,,,,,,,,,,,,
135,PT03M19.00S,2026-01-16T02:03:34.8Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,24,23,2026-01-16T02:03:35Z,1350000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,,,,,,,,134.0,,,2.0,1.0,1.0,,,,,
136,PT03M05.00S,2026-01-16T02:03:51.3Z,1,REGULAR,foul,personal,['2freethrow'],1630619,,,1610612762,24,23,2026-01-16T02:03:58Z,1360000,False,,,0,,M. Cisse shooting personal FOUL (1 PF) (Anderson 2 FT),"[1630619, 203937]",1610612742.0,DAL,shooting,,,Cisse,M. Cisse,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Anderson,203937.0
138,PT03M05.00S,2026-01-16T02:04:15.2Z,1,REGULAR,freethrow,1 of 2,[],203937,,,1610612762,24,24,2026-01-16T02:04:15Z,1380000,False,,,0,,K. Anderson Free Throw 1 of 2 (1 PTS),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
139,PT03M05.00S,2026-01-16T02:04:15.2Z,1,REGULAR,freethrow,2 of 2,[],203937,,,1610612762,24,24,2026-01-16T02:04:37Z,1390000,False,,,0,,MISS K. Anderson Free Throw 2 of 2,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
140,PT03M03.00S,2026-01-16T02:04:17.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612742,24,24,2026-01-16T02:04:37Z,1400000,False,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,139.0,,,1.0,1.0,0.0,,,,,
141,PT02M45.00S,2026-01-16T02:04:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630526,9.411957950065702,3.9215686274509802,1610612742,24,24,2026-01-16T02:04:58Z,1410000,False,230.0,36.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,,,,23.32,Missed,,,,,,,,,,,,,,,
142,PT02M41.00S,2026-01-16T02:04:57.6Z,1,REGULAR,rebound,offensive,[],1630619,,,1610612742,24,24,2026-01-16T02:04:58Z,1420000,False,,,0,,M. Cisse REBOUND (Off:2 Def:0),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Right Corner 3,24+ Right,,,,,,,,,,141.0,,,2.0,0.0,2.0,,,,,
143,PT02M38.00S,2026-01-16T02:05:01.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202691,22.470433639947437,64.23866421568627,1610612742,26,24,2026-01-16T02:05:11Z,1430000,False,-71.0,159.0,1,left,K. Thompson 17' driving floating bank Jump Shot (5 PTS) (M. Cisse 1 AST),"[202691, 1630619]",1610612742.0,DAL,driving floating bank,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,17.39,Made,5.0,M. Cisse,1630619.0,1.0,,,,,,,,,,,
145,PT02M29.00S,2026-01-16T02:05:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,92.06636005256242,58.08823529411765,1610612762,26,24,2026-01-16T02:05:14Z,1450000,False,40.0,22.0,1,right,MISS K. George driving Layup,[1641718],1610612762.0,UTA,driving,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,4.6,Missed,,,,,,,,,,,,,,,
147,PT02M29.00S,2026-01-16T02:05:10.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612742,26,24,2026-01-16T02:05:14Z,1470000,False,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,145.0,,,2.0,2.0,0.0,,,,,
148,PT02M21.00S,2026-01-16T02:05:18.3Z,1,REGULAR,3pt,Jump Shot,[],202691,26.363337713534822,17.401960784313726,1610612742,26,24,2026-01-16T02:07:20Z,1480000,False,163.0,195.0,1,left,MISS K. Thompson 25' step back 3PT,[202691],1610612742.0,DAL,step back,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,25.44,Missed,,,,,,,,,,,,,,,
149,PT02M17.00S,2026-01-16T02:05:22.3Z,1,REGULAR,rebound,defensive,[],203937,,,1610612762,26,24,2026-01-16T02:05:23Z,1490000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,148.0,,,1.0,1.0,0.0,,,,,
150,PT02M03.00S,2026-01-16T02:05:35.6Z,1,REGULAR,3pt,Jump Shot,[],1641729,87.33574244415243,4.166666666666666,1610612762,26,24,2026-01-16T02:05:38Z,1500000,False,-229.0,67.0,1,right,MISS B. Sensabaugh 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,,23.87,Missed,,,,,,,,,,,,,,,
151,PT02M01.00S,2026-01-16T02:05:37.6Z,1,REGULAR,rebound,defensive,[],1630619,,,1610612742,26,24,2026-01-16T02:05:38Z,1510000,False,,,0,,M. Cisse REBOUND (Off:2 Def:1),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Left Corner 3,24+ Left,,,,,,,,,,150.0,,,3.0,1.0,2.0,,,,,
152,PT01M57.00S,2026-01-16T02:05:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642948,8.360709592641262,41.911764705882355,1610612742,26,24,2026-01-16T02:06:12Z,1520000,False,40.0,26.0,1,left,MISS R. Nembhard driving Layup - blocked,"[1642948, 203937]",1610612742.0,DAL,driving,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,4.81,Missed,,,,,,Anderson,203937.0,,,,,,,,
153,PT01M57.00S,2026-01-16T02:05:43.2Z,1,REGULAR,block,,[],203937,,,1610612742,26,24,2026-01-16T02:05:45Z,1530000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
154,PT01M56.00S,2026-01-16T02:05:44.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,26,24,2026-01-16T02:06:31Z,1540000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,152.0,,,,,,,,,,
156,PT01M56.00S,2026-01-16T02:05:49.7Z,1,REGULAR,substitution,out,[],1641718,,,1610612762,26,24,2026-01-16T02:06:00Z,1560000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M56.00S,2026-01-16T02:05:49.7Z,1,REGULAR,substitution,in,[],1642846,,,1610612762,26,24,2026-01-16T02:06:00Z,1570000,False,,,0,,SUB in: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M45.00S,2026-01-16T02:06:11.3Z,1,REGULAR,3pt,Jump Shot,[],1642383,69.07030223390277,24.019607843137255,1610612762,26,24,2026-01-16T02:09:58Z,1580000,False,-130.0,238.0,1,right,MISS W. Clayton Jr. 27' pullup 3PT,[1642383],1610612762.0,UTA,pullup,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Left Center,,,,27.13,Missed,,,,,,,,,,,,,,,
159,PT01M42.00S,2026-01-16T02:06:14.3Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612742,26,24,2026-01-16T02:06:18Z,1590000,False,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:3),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,158.0,,,3.0,3.0,0.0,,,,,
160,PT01M34.00S,2026-01-16T02:06:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,13.87976346911958,55.14705882352941,1610612742,28,24,2026-01-16T02:06:25Z,1600000,False,-26.0,78.0,1,left,K. Thompson 8' turnaround fadeaway Jump Shot (7 PTS),[202691],1610612742.0,DAL,turnaround fadeaway,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,8.21,Made,7.0,,,,,,,,,,,,,,
161,PT01M22.00S,2026-01-16T02:06:34.1Z,1,REGULAR,turnover,bad pass,[],203937,,,1610612762,28,24,2026-01-16T02:06:36Z,1610000,False,,,0,,K. Anderson bad pass TURNOVER (1 TO),"[203937, 1630526]",1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,1.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,
162,PT01M22.00S,2026-01-16T02:06:34.1Z,1,REGULAR,steal,,[],1630526,,,1610612742,28,24,2026-01-16T02:06:35Z,1620000,False,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612742.0,DAL,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
163,PT01M18.00S,2026-01-16T02:06:38.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,12.302890932982917,95.34313725490196,1610612742,31,24,2026-01-16T02:06:45Z,1630000,False,-227.0,63.0,1,left,K. Thompson 3PT running (10 PTS) (R. Nembhard 2 AST),"[202691, 1642948]",1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,,23.53,Made,10.0,R. Nembhard,1642948.0,2.0,,,,,,,,,,,
165,PT00M59.50S,2026-01-16T02:06:56.7Z,1,REGULAR,3pt,Jump Shot,[],1641729,72.7496714848883,20.588235294117645,1610612762,31,24,2026-01-16T02:07:00Z,1650000,False,-147.0,204.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,,,,25.13,Missed,,,,,,,,,,,,,,,
166,PT00M57.10S,2026-01-16T02:06:59.1Z,1,REGULAR,rebound,defensive,[],1630619,,,1610612742,31,24,2026-01-16T02:07:00Z,1660000,False,,,0,,M. Cisse REBOUND (Off:2 Def:2),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,165.0,,,4.0,2.0,2.0,,,,,
167,PT00M49.20S,2026-01-16T02:07:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630619,10.726018396846255,44.36274509803921,1610612742,33,24,2026-01-16T02:12:25Z,1670000,False,28.0,48.0,1,left,M. Cisse bank Jump Shot (4 PTS) (K. Thompson 2 AST),"[1630619, 202691]",1610612742.0,DAL,bank,,,Cisse,M. Cisse,,,,,In The Paint (Non-RA),0-8 Center,,,,5.59,Made,4.0,K. Thompson,202691.0,2.0,,,,,,,,,,,
169,PT00M32.50S,2026-01-16T02:07:27.9Z,1,REGULAR,3pt,Jump Shot,[],1642383,68.80749014454665,70.09803921568627,1610612762,33,24,2026-01-16T02:12:53Z,1690000,False,100.0,241.0,1,right,MISS W. Clayton Jr. 26' pullup 3PT,[1642383],1610612762.0,UTA,pullup,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Right Center,,,,26.08,Missed,,,,,,,,,,,,,,,
170,PT00M29.70S,2026-01-16T02:07:30.7Z,1,REGULAR,rebound,defensive,[],1642948,,,1610612742,33,24,2026-01-16T02:07:31Z,1700000,False,,,0,,R. Nembhard REBOUND (Off:0 Def:2),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,169.0,,,2.0,2.0,0.0,,,,,
