actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
195,PT09M36.00S,2023-10-28T00:41:17.6Z,2,REGULAR,rebound,defensive,[],1641705,,,1610612759,29,29,2023-10-28T00:41:19Z,1900000,False,,,0,,V. Wembanyama REBOUND (Off:2 Def:1),[1641705],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Wembanyama,V. Wembanyama,,,,194.0,3.0,1.0,2.0,,,,,,,,,,,
196,PT09M27.00S,2023-10-28T00:41:26.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,6.258212877792378,54.41176470588235,1610612759,31,29,2023-10-28T00:41:33Z,1910000,False,-22.0,6.0,1,left,D. Vassell driving Layup (8 PTS),[1630170],1610612759.0,SAS,driving,,,,,,Restricted Area,0-8 Center,2.3,Made,8.0,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
197,PT09M13.00S,2023-10-28T00:41:40.0Z,2,REGULAR,3pt,Jump Shot,[],203493,71.43561103810775,78.92156862745098,1610612745,31,29,2023-10-28T00:41:51Z,1920000,False,145.0,216.0,1,right,MISS R. Bullock Jr. 25' 3PT,[203493],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,25.99,Missed,,Bullock Jr.,R. Bullock Jr.,,,,,,,,,,,,,,,,,,
198,PT09M12.00S,2023-10-28T00:41:41.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,31,29,2023-10-28T00:41:51Z,1930000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,197.0,,,,,,,,,,,,,,
200,PT09M06.00S,2023-10-28T00:42:08.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,91.67214191852825,53.92156862745098,1610612745,31,31,2023-10-28T00:42:12Z,1950000,False,20.0,26.0,1,right,D. Brooks cutting Layup (6 PTS) (J. Green 1 AST),"[1628415, 201145]",1610612745.0,HOU,cutting,,,,,,Restricted Area,0-8 Center,3.24,Made,6.0,Brooks,D. Brooks,J. Green,201145.0,1.0,,,,,,,,,,,,,,,
202,PT08M53.00S,2023-10-28T00:42:20.7Z,2,REGULAR,3pt,Jump Shot,[],1641705,24.392247043363994,12.5,1610612759,31,31,2023-10-28T00:42:26Z,1970000,False,188.0,177.0,1,left,MISS V. Wembanyama 25' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
203,PT08M52.00S,2023-10-28T00:42:21.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,31,31,2023-10-28T00:42:26Z,1980000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,202.0,,,,,,,,,,,,,,
205,PT08M39.00S,2023-10-28T00:42:51.8Z,2,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612745,31,31,2023-10-28T00:43:13Z,2000000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Sengun 2 FT),"[1641705, 1630578]",1610612759.0,SAS,shooting,,,,,,Restricted Area,0-8 Center,,,,Wembanyama,V. Wembanyama,,,,,,,,,,1627526.0,,,,1.0,0.0,Sengun,1630578.0,
207,PT08M39.00S,2023-10-28T00:43:19.6Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,31,32,2023-10-28T00:43:51Z,2020000,False,,,0,,A. Sengun Free Throw 1 of 2 (5 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,Made,5.0,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
208,PT08M39.00S,2023-10-28T00:43:20.6Z,2,REGULAR,substitution,out,[],1641705,,,1610612745,31,32,2023-10-28T00:43:34Z,2030000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,,,,,,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
209,PT08M39.00S,2023-10-28T00:43:20.6Z,2,REGULAR,substitution,out,[],1630200,,,1610612745,31,32,2023-10-28T00:43:34Z,2040000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
210,PT08M39.00S,2023-10-28T00:43:20.6Z,2,REGULAR,substitution,in,[],1631110,,,1610612745,31,32,2023-10-28T00:43:34Z,2050000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,,,,,,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
211,PT08M39.00S,2023-10-28T00:43:20.6Z,2,REGULAR,substitution,in,[],1628380,,,1610612745,31,32,2023-10-28T00:43:34Z,2060000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,,,,,,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
212,PT08M39.00S,2023-10-28T00:43:19.6Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,31,32,2023-10-28T00:43:51Z,2070000,False,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,,,,,,,Missed,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
213,PT08M37.00S,2023-10-28T00:43:21.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612759,31,32,2023-10-28T00:43:51Z,2080000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,212.0,,,,,,,,,,,,,,
215,PT08M28.00S,2023-10-28T00:44:09.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,8.886333771353483,47.549019607843135,1610612759,33,32,2023-10-28T00:44:18Z,2100000,False,12.0,31.0,1,left,K. Johnson finger roll Layup (2 PTS) (J. Sochan 1 AST),"[1629640, 1631110]",1610612759.0,SAS,finger roll,,,,,,Restricted Area,0-8 Center,3.34,Made,2.0,Johnson,K. Johnson,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,,
216,PT08M10.00S,2023-10-28T00:44:28.2Z,2,REGULAR,3pt,Jump Shot,[],1630578,68.01905387647832,72.79411764705883,1610612745,33,32,2023-10-28T00:44:34Z,2110000,False,114.0,248.0,1,right,MISS A. Sengun 27' 3PT,[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,27.3,Missed,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
217,PT08M06.00S,2023-10-28T00:44:32.2Z,2,REGULAR,rebound,defensive,[],1630170,,,1610612759,33,32,2023-10-28T00:44:34Z,2120000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Vassell,D. Vassell,,,,216.0,1.0,1.0,0.0,,,,,,,,,,,
218,PT07M50.00S,2023-10-28T00:44:47.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628380,11.908672798948752,52.69607843137255,1610612759,33,32,2023-10-28T00:44:53Z,2130000,False,-13.0,59.0,1,left,MISS Z. Collins 6' turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.09,Missed,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
219,PT07M48.00S,2023-10-28T00:44:50.1Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,33,32,2023-10-28T00:44:50Z,2140000,False,,,0,,A. Sengun REBOUND (Off:2 Def:5),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sengun,A. Sengun,,,,218.0,7.0,5.0,2.0,,,,,,,,,,,
220,PT07M41.00S,2023-10-28T00:44:56.5Z,2,REGULAR,2pt,Jump Shot,[],1627832,76.69185282522996,30.392156862745097,1610612745,33,34,2023-10-28T00:45:00Z,2150000,False,-98.0,167.0,1,right,F. VanVleet 19' pullup Jump Shot (7 PTS),[1627832],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Left Center,19.33,Made,7.0,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
221,PT07M29.00S,2023-10-28T00:45:08.5Z,2,REGULAR,3pt,Jump Shot,[],203926,31.882391590013142,29.166666666666668,1610612759,33,34,2023-10-28T00:45:14Z,2160000,False,104.0,247.0,1,left,MISS D. McDermott 26' 3PT,[203926],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,26.83,Missed,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,
222,PT07M26.00S,2023-10-28T00:45:11.5Z,2,REGULAR,rebound,defensive,[],1627832,,,1610612745,33,34,2023-10-28T00:45:14Z,2170000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:3),[1627832],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,VanVleet,F. VanVleet,,,,221.0,3.0,3.0,0.0,,,,,,,,,,,
223,PT07M23.00S,2023-10-28T00:45:15.5Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1627832,71.56701708278581,62.5,1610612745,33,36,2023-10-28T00:57:59Z,2180000,False,62.0,215.0,1,right,F. VanVleet 22' running pullup Jump Shot (9 PTS),[1627832],1610612745.0,HOU,running pullup,,,,,,Mid-Range,16-24 Center,22.37,Made,9.0,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
224,PT07M09.00S,2023-10-28T00:45:28.5Z,2,REGULAR,2pt,Jump Shot,[],1630170,23.603810775295663,57.107843137254896,1610612759,35,36,2023-10-28T00:45:33Z,2190000,False,-36.0,169.0,1,left,D. Vassell 17' pullup Jump Shot (10 PTS) (Z. Collins 3 AST),"[1630170, 1628380]",1610612759.0,SAS,pullup,,,,,,Mid-Range,16-24 Center,17.31,Made,10.0,Vassell,D. Vassell,Z. Collins,1628380.0,3.0,,,,,,,,,,,,,,,
226,PT06M48.00S,2023-10-28T00:45:50.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,83.78777923784494,34.80392156862745,1610612745,35,38,2023-10-28T00:45:54Z,2210000,False,-76.0,100.0,1,right,F. VanVleet 12' pullup Jump Shot (11 PTS),[1627832],1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Left,12.55,Made,11.0,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
227,PT06M34.00S,2023-10-28T00:46:04.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,12.565703022339028,53.431372549019606,1610612759,35,38,2023-10-28T00:46:09Z,2220000,False,-17.0,66.0,1,left,MISS J. Sochan 6' fadeaway Shot,[1631110],1610612759.0,SAS,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,6.78,Missed,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
228,PT06M31.00S,2023-10-28T00:46:07.2Z,2,REGULAR,rebound,defensive,[],203493,,,1610612745,35,38,2023-10-28T00:46:09Z,2230000,False,,,0,,R. Bullock Jr. REBOUND (Off:0 Def:2),[203493],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bullock Jr.,R. Bullock Jr.,,,,227.0,2.0,2.0,0.0,,,,,,,,,,,
229,PT06M22.00S,2023-10-28T00:46:15.9Z,2,REGULAR,turnover,bad pass,[],1627832,,,1610612745,35,38,2023-10-28T00:46:21Z,2240000,False,,,0,,F. VanVleet bad pass TURNOVER (3 TO),"[1627832, 1628380]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,,VanVleet,F. VanVleet,,,,,,,,,,,3.0,Collins,1628380.0,,,,,
230,PT06M22.00S,2023-10-28T00:46:15.9Z,2,REGULAR,steal,,[],1628380,,,1610612759,35,38,2023-10-28T00:46:17Z,2250000,False,,,0,,Z. Collins STEAL (2 STL),[1628380],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
231,PT06M15.00S,2023-10-28T00:46:26.9Z,2,REGULAR,turnover,traveling,[],1631110,,,1610612759,35,38,2023-10-28T00:46:42Z,2260000,False,,,0,,J. Sochan traveling TURNOVER (1 TO),[1631110],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sochan,J. Sochan,,,,,,,,,,202026.0,1.0,,,,,,,
232,PT06M15.00S,2023-10-28T00:46:35.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,35,38,2023-10-28T00:46:35Z,2270000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,out,[],1627832,,,1610612745,35,38,2023-10-28T00:49:27Z,2290000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,,,,,,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
235,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,out,[],203493,,,1610612745,35,38,2023-10-28T00:49:27Z,2300000,False,,,0,,SUB out: R. Bullock Jr.,[203493],1610612745.0,HOU,,,,,,,,,,,,Bullock Jr.,R. Bullock Jr.,,,,,,,,,,,,,,,,,,
236,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,out,[],1630578,,,1610612745,35,38,2023-10-28T00:49:27Z,2310000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
237,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,in,[],1641708,,,1610612745,35,38,2023-10-28T00:49:27Z,2320000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
238,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,in,[],1630224,,,1610612745,35,38,2023-10-28T00:49:27Z,2330000,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
239,PT06M15.00S,2023-10-28T00:49:19.0Z,2,REGULAR,substitution,in,[],1631095,,,1610612745,35,38,2023-10-28T00:49:27Z,2340000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
240,PT06M01.00S,2023-10-28T00:49:43.4Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201145,90.22667542706965,57.107843137254896,1610612745,35,40,2023-10-28T00:49:47Z,2350000,False,36.0,39.0,1,right,J. Green Hook (4 PTS) (D. Brooks 1 AST),"[201145, 1628415]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,5.3,Made,4.0,Green,J. Green,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,,
242,PT05M50.00S,2023-10-28T00:49:56.7Z,2,REGULAR,turnover,traveling,[],1630170,,,1610612759,35,40,2023-10-28T00:50:04Z,2370000,False,,,0,,D. Vassell traveling TURNOVER (1 TO),[1630170],1610612759.0,SAS,,,,,,,Mid-Range,16-24 Right,,,,Vassell,D. Vassell,,,,,,,,,,101283.0,1.0,,,,,,,
243,PT05M50.00S,2023-10-28T00:50:00.6Z,2,REGULAR,substitution,out,[],1628415,,,1610612745,35,40,2023-10-28T00:50:10Z,2380000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,,,,,,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,
244,PT05M50.00S,2023-10-28T00:50:00.6Z,2,REGULAR,substitution,in,[],1630256,,,1610612745,35,40,2023-10-28T00:50:10Z,2390000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
245,PT05M37.00S,2023-10-28T00:50:28.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,71.96123521681997,81.61764705882352,1610612745,35,40,2023-10-28T00:50:33Z,2400000,False,158.0,211.0,1,right,MISS J. Green 26' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Right Center,26.37,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
246,PT05M36.00S,2023-10-28T00:50:29.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612759,35,40,2023-10-28T00:50:33Z,2410000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,245.0,,,,,,,,,,,,,,
248,PT05M25.00S,2023-10-28T00:50:49.3Z,2,REGULAR,foul,personal,[],1630256,,,1610612759,35,40,2023-10-28T00:51:21Z,2430000,False,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1628380]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Tate,J. Tate,,,,,,,,,,202026.0,,,,1.0,0.0,Collins,1628380.0,
250,PT05M17.00S,2023-10-28T00:51:20.3Z,2,REGULAR,foul,technical,['1freethrow'],1630256,,,1610612759,35,40,2023-10-28T00:51:32Z,2450000,False,,,0,,J. Tate defensive-3-second technical FOUL (1 Tech),[1630256],1610612745.0,HOU,defensive-3-second,,,,,,In The Paint (Non-RA),0-8 Center,,,,Tate,J. Tate,,,,,,,,,,101283.0,,,,1.0,1.0,,,
251,PT05M17.00S,2023-10-28T00:51:41.2Z,2,REGULAR,freethrow,1 of 1,[],1630170,,,1610612759,36,40,2023-10-28T00:51:41Z,2460000,False,,,0,,D. Vassell technical Free Throw 1 of 1 (11 PTS),[1630170],1610612759.0,SAS,technical,,,,,,,,,Made,11.0,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
252,PT05M17.00S,2023-10-28T00:52:02.9Z,2,REGULAR,foul,personal,[],201145,,,1610612759,36,40,2023-10-28T00:52:19Z,2470000,False,,,0,,J. Green personal FOUL (1 PF),"[201145, 1628380]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Green,J. Green,,,,,,,,,,202026.0,,,,1.0,0.0,Collins,1628380.0,
254,PT05M05.00S,2023-10-28T00:52:38.3Z,2,REGULAR,3pt,Jump Shot,[],1628380,28.07161629434954,78.18627450980392,1610612759,36,40,2023-10-28T00:52:42Z,2490000,False,-141.0,211.0,1,left,MISS Z. Collins 25' 3PT,[1628380],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
255,PT05M02.00S,2023-10-28T00:52:41.3Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,36,40,2023-10-28T00:52:42Z,2500000,False,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,,254.0,3.0,3.0,0.0,,,,,,,,,,,
256,PT04M45.00S,2023-10-28T00:52:58.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,91.5407358738502,53.431372549019606,1610612745,36,40,2023-10-28T00:53:56Z,2510000,False,17.0,27.0,1,right,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.2,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
257,PT04M43.00S,2023-10-28T00:53:00.2Z,2,REGULAR,rebound,defensive,[],1628380,,,1610612759,36,40,2023-10-28T00:53:06Z,2520000,False,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,,,,Restricted Area,0-8 Center,,,,Collins,Z. Collins,,,,256.0,3.0,3.0,0.0,,,,,,,,,,,
258,PT04M39.00S,2023-10-28T00:53:04.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,28.203022339027594,82.35294117647058,1610612759,36,40,2023-10-28T01:07:00Z,2530000,False,-162.0,213.0,1,left,MISS D. Vassell 26' running 3PT,[1630170],1610612759.0,SAS,running,,,,,,Above the Break 3,24+ Left Center,26.72,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
259,PT04M39.00S,2023-10-28T00:53:04.6Z,2,REGULAR,rebound,defensive,[],201145,,,1610612745,36,40,2023-10-28T00:53:13Z,2540000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,,258.0,1.0,1.0,0.0,,,,,,,,,,,
260,PT04M32.00S,2023-10-28T00:53:13.4Z,2,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612745,36,40,2023-10-28T00:53:21Z,2550000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Thompson 2 FT),"[1628380, 1641708]",1610612759.0,SAS,shooting,,,,,,Restricted Area,0-8 Center,,,,Collins,Z. Collins,,,,,,,,,,202026.0,,,,1.0,0.0,Thompson,1641708.0,
262,PT04M32.00S,2023-10-28T00:53:39.8Z,2,REGULAR,freethrow,1 of 2,[],1641708,,,1610612745,36,40,2023-10-28T00:54:03Z,2570000,False,,,0,,MISS A. Thompson Free Throw 1 of 2,[1641708],1610612745.0,HOU,,,,,,,,,,Missed,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
263,PT04M32.00S,2023-10-28T00:53:39.8Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,36,40,2023-10-28T00:54:03Z,2580000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,
264,PT04M32.00S,2023-10-28T00:53:40.9Z,2,REGULAR,substitution,out,[],1631110,,,1610612745,36,40,2023-10-28T00:53:55Z,2590000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,,,,,,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
265,PT04M32.00S,2023-10-28T00:53:40.9Z,2,REGULAR,substitution,out,[],203926,,,1610612745,36,40,2023-10-28T00:53:55Z,2600000,False,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,,,,,,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,
266,PT04M32.00S,2023-10-28T00:53:40.9Z,2,REGULAR,substitution,in,[],1626224,,,1610612745,36,40,2023-10-28T00:53:55Z,2610000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,
267,PT04M32.00S,2023-10-28T00:53:40.9Z,2,REGULAR,substitution,in,[],1630200,,,1610612745,36,40,2023-10-28T00:53:55Z,2620000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
268,PT04M32.00S,2023-10-28T00:53:39.8Z,2,REGULAR,freethrow,2 of 2,[],1641708,,,1610612745,36,40,2023-10-28T00:54:03Z,2630000,False,,,0,,MISS A. Thompson Free Throw 2 of 2,[1641708],1610612745.0,HOU,,,,,,,,,,Missed,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
269,PT04M28.00S,2023-10-28T00:53:43.8Z,2,REGULAR,rebound,defensive,[],1630170,,,1610612759,36,40,2023-10-28T00:54:03Z,2640000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,,,,,,,,,Vassell,D. Vassell,,,,268.0,2.0,2.0,0.0,,,,,,,,,,,
270,PT04M14.00S,2023-10-28T00:54:17.0Z,2,REGULAR,3pt,Jump Shot,[],1629640,26.231931668856767,13.480392156862745,1610612759,36,40,2023-10-28T00:54:23Z,2650000,False,183.0,194.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,26.65,Missed,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,
271,PT04M11.00S,2023-10-28T00:54:20.0Z,2,REGULAR,rebound,offensive,[],1630200,,,1610612759,36,40,2023-10-28T00:54:23Z,2660000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,T. Jones,,,,270.0,1.0,0.0,1.0,,,,,,,,,,,
272,PT04M02.00S,2023-10-28T00:54:28.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629640,29.25427069645204,16.666666666666664,1610612759,39,40,2023-10-28T00:54:33Z,2670000,False,167.0,222.0,1,left,K. Johnson 27' 3PT  (5 PTS) (T. Jones 2 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,27.8,Made,5.0,Johnson,K. Johnson,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,,
274,PT03M39.00S,2023-10-28T00:54:52.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201145,92.19776609724047,53.431372549019606,1610612745,39,42,2023-10-28T00:54:58Z,2690000,False,17.0,21.0,1,right,J. Green driving finger roll Layup (6 PTS) (A. Thompson 1 AST),"[201145, 1641708]",1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,2.7,Made,6.0,Green,J. Green,A. Thompson,1641708.0,1.0,,,,,,,,,,,,,,,
276,PT03M24.00S,2023-10-28T00:55:11.0Z,2,REGULAR,turnover,out-of-bounds,[],1628380,,,1610612759,39,42,2023-10-28T00:55:17Z,2710000,False,,,0,,Z. Collins step out-of-bounds TURNOVER (2 TO),[1628380],1610612759.0,SAS,step,,,,,,In The Paint (Non-RA),0-8 Center,,,,Collins,Z. Collins,,,,,,,,,,202026.0,2.0,,,,,,,
277,PT03M14.00S,2023-10-28T00:55:23.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630224,91.5407358738502,47.30392156862745,1610612745,39,44,2023-10-28T00:55:30Z,2720000,False,-13.0,27.0,1,right,J. Green driving DUNK (12 PTS),[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.02,Made,12.0,Green,J. Green,,,,,,,,,,,,,,,,,,
278,PT03M01.00S,2023-10-28T00:55:36.4Z,2,REGULAR,3pt,Jump Shot,[],1629640,31.35676741130092,27.205882352941174,1610612759,42,44,2023-10-28T00:55:41Z,2730000,False,114.0,242.0,1,left,K. Johnson 26' 3PT pullup (8 PTS),[1629640],1610612759.0,SAS,pullup,,,,,,Above the Break 3,24+ Right Center,26.78,Made,8.0,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,
279,PT02M53.00S,2023-10-28T00:55:48.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,92.85479632063075,53.67647058823529,1610612745,42,46,2023-10-28T00:55:59Z,2740000,False,18.0,15.0,1,right,J. Tate driving Layup (2 PTS) (A. Thompson 2 AST),"[1630256, 1641708]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,Tate,J. Tate,A. Thompson,1641708.0,2.0,,,,,,,,,,,,,,,
