actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
53,PT07M31.00S,2024-03-22T00:46:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.98488830486202,58.57843137254902,1610612742,10,8,2024-03-22T00:47:05Z,530000,False,-43.0,267.0,1,left,L. Doncic 27' 3PT  (3 PTS) (D. Gafford 1 AST),"[1629029, 1629655]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,27.04,Made,3.0,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,
55,PT07M30.00S,2024-03-22T00:47:05.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,8,2024-03-22T00:47:05Z,550000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M30.00S,2024-03-22T00:47:07.5Z,1,REGULAR,substitution,out,[],1627884,,,1610612762,10,8,2024-03-22T00:49:50Z,560000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M30.00S,2024-03-22T00:47:07.5Z,1,REGULAR,substitution,in,[],203957,,,1610612762,10,8,2024-03-22T00:49:50Z,570000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M16.00S,2024-03-22T00:50:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,84.97043363994744,42.64705882352941,1610612762,10,10,2024-03-22T00:50:20Z,580000,False,-37.0,89.0,1,right,K. George 9' driving floating Jump Shot (2 PTS),[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,9.61,Made,2.0,,,,,,,,,,,,,,,,,
60,PT07M02.00S,2024-03-22T00:50:48.9Z,1,REGULAR,foul,personal,[],1631117,,,1610612742,10,10,2024-03-22T00:51:00Z,600000,False,,,0,,W. Kessler personal FOUL (2 PF),"[1631117, 1629029]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,,,,,,201246.0,2.0,0.0,Doncic,1629029.0,,,,,
62,PT07M02.00S,2024-03-22T00:50:57.7Z,1,REGULAR,substitution,out,[],1628374,,,1610612742,10,10,2024-03-22T00:51:03Z,620000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M02.00S,2024-03-22T00:50:57.7Z,1,REGULAR,substitution,in,[],1629012,,,1610612742,10,10,2024-03-22T00:51:03Z,630000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M55.00S,2024-03-22T00:51:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.931011826544022,45.34313725490196,1610612742,12,10,2024-03-22T00:51:21Z,640000,False,23.0,88.0,1,left,L. Doncic 9' driving floating Jump Shot (5 PTS) (D. Gafford 2 AST),"[1629029, 1629655]",1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,9.09,Made,5.0,D. Gafford,1629655.0,2.0,,,,,,,,,,,,,,
66,PT06M37.00S,2024-03-22T00:51:36.3Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612762,12,10,2024-03-22T00:51:46Z,660000,False,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (1 TO),[1629012],1610612762.0,UTA,lost ball,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202058.0,,,,,1.0,,,,
67,PT06M37.00S,2024-03-22T00:51:40.7Z,1,REGULAR,substitution,out,[],202681,,,1610612742,12,10,2024-03-22T00:51:45Z,670000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2024-03-22T00:51:40.7Z,1,REGULAR,substitution,in,[],203501,,,1610612742,12,10,2024-03-22T00:51:45Z,680000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M25.00S,2024-03-22T00:52:02.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203501,20.318659658344284,33.82352941176471,1610612742,12,10,2024-03-22T00:52:08Z,690000,False,81.0,138.0,1,left,MISS T. Hardaway Jr. 16' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Right,16.04,Missed,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2024-03-22T00:52:05.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,12,10,2024-03-22T00:52:08Z,700000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Right,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,
71,PT06M11.00S,2024-03-22T00:52:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641707,93.9060446780552,53.18627450980392,1610612762,12,12,2024-03-22T01:00:22Z,710000,False,16.0,5.0,1,right,T. Hendricks cutting Layup (2 PTS) (C. Sexton 1 AST),"[1641707, 1629012]",1610612762.0,UTA,cutting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
73,PT05M47.00S,2024-03-22T00:52:39.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,22.421156373193167,76.47058823529412,1610612742,12,12,2024-03-22T00:52:49Z,730000,False,-132.0,158.0,1,left,MISS L. Doncic 20' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,20.64,Missed,,,,,,,,,,,,,,,,,,
74,PT05M45.00S,2024-03-22T00:52:41.8Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,12,12,2024-03-22T00:52:49Z,740000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Left Center,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,
75,PT05M39.00S,2024-03-22T00:52:48.4Z,1,REGULAR,3pt,Jump Shot,[],1641718,71.96123521681997,77.45098039215686,1610612762,12,12,2024-03-22T01:01:21Z,750000,False,137.0,211.0,1,right,MISS K. George 25' step back 3PT,[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2024-03-22T00:52:48.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,12,12,2024-03-22T00:52:55Z,760000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
